title,album,year,lyrics,urls
2 Dogs,Please Be Seated 3,2016,"This is 60 in his element
Spitting bars that don't mean shit, they irrelevant
Fuck around and dis the whole scene for the hell of it
Maybe if I stop fucking around, I'ma celibate (get it, cunt!)
The only rapper with a perfect score
Yo, I've burnt so many bridges that I might as well burn some more
I'm the fake friend you see and then shake hands, make plans with you and cancel before the day ends (ah, forgot I had plans, mate)
It's really hard to make sense
I try to cash a raincheck and still haven't been paid yet
I've been rapping in Pig Latin like adlays
So when I say your ash tray, I really mean you're trash, mate
I'ma make a verse, make it work
Your life's a joke like your date of birth is April first
Your girl keep coming back: Boomerang
She 'bout that life, all she wanna do is bang
The only reason I shot for the stars I couldn't reach
The only reason I landed on earth I couldn't see
So having bad vision's a good look for me
'Cause if I wasn't half blind, here is where I wouldn't be

Okay, I'm back in my zone, your time's up, bitch
I'll give you a right hook with the hand that I write hooks with
Stay clear of me If I am stressed
If I decide to let your blood spill, I'll wipe the floor with you like a polite guest
How come those I see trying to indirect and slightly bliss
Are the same people I see bum licking and riding dick?
We don't play top five, D.O.A
Make the streets go crazy like free cocaine
I'm from the U.K
I don't say ""lit"" and I don't ""turn up"", too stoned to party
If the spliff's lit, then I don't turn up
They should call you the scat man 'cause everything you spit is nonsense
They should call me the scat man 'cause I'm shitting on 'em
Come to the clashes on joke shit and still when they get roasted when I spin 'em like rotisserie chicken
I just bagged an ounce and I'm about to let the Kraken out, I swear
And I'm getting fucked up like I'm at my Grandma's house
The one and only, I'm the blueprint
I'm sick of these average rappers stepping on my toes scuffing my new kicks
I'm talking 'bout no one specific, but if the shoe fits
You still couldn't walk a mile in it, pussy, I do this",https://genius.com/360-2-dogs-lyrics
30 Minutes Tops,Loosies,2013,"Yeah, motherfucking 360 bitch
We made this song in like half an hour tops (Wooh)
Jesus was swag
You know god? He is my dad
Uh
Uh, yeah, yo

Go to an orphanage, kicking the door in
Kidnap her like  strangle her with my foreskin
Yeah, and I'm swimming with dolphins
It's the only way left to release endorphins
I'm on a motherfucking galaxy quest
I'm trying to figure out which planet's the best
Hey yo, I bet that Saturn is next. It makes sense too
That's why I got the motherfucking tat on my neck
Went to the bank to make a balance request
They couldn't understand, all the cash that I've spent
And, if I don't change soon, I won't have any left
Now, even my god damn reality check bounced
Not another fucking rapper again
Kicking me another verse about his pad and his pen
Asking me when me and Kerser fucking battling next
I'm sorry buddy but that ain't going to happen again
No, I ain't scared that I'll damage or wreck
But no cunt will ever go and piggyback me again
Brother, don't take it as a lack of respect
I'm glad I helped you  a tad of success
But I just have to adress something that has to be said (What?)
A snapped neck doesn't need snapping again
Do I think I won the battle? Actually, yes
See the fast fucking flow, it's just a tad for a sec
'Cause if you slow it down and listen to the raps that he said
'Cause, really, how many of his bars do you actually get?
Like Sue from Neighbours ain't it, so you taking a piss
Which human on this earth'd eat a razor and shit?
Which human'd ever eat a razor and live?
And which dude is dumb enough to place in his dick?

Sue from Neighbours' anus
Prawn razors naked
What the fuck cunt?
You taking a piss
(We do it for the love)
Yeah

'Cause if I had to fuck razors or be playing your shit
I think your name would come up in my playlist a bit
Yeah, I lied, but he said I have a Canadian chin
Yeah, I lied, but what the fuck is a Canadian chin?
So, I don't watch our battle anymore, yo I exited
That's two bits broken cunt, imagine the rest of it

Yeah, thirty minute tops
Mate, tops
I'm way too busy brah
(We do it for the love)
Yeah, uh
360",https://genius.com/360-30-minutes-tops-lyrics
360: Rapper Tag #1,Rapper Tag Australia,2010,"It's 360, we're gonna play a bit of rapper tag
So usually in a rap cypher, there's a circle of rappers
There's the guy rapping, and the next guy next to him is the person to go next
So seeing as we're not in a circle right here and it's just like a YouTube cypher, you have to call out the person you want to go next
So I'ma start this off

It's 360, we about to play rapper tag
So I need to know where about's the rapper's at?
You hear the beat in the drums, it's a massive track
So if I mention your name then you have to rap
Three months ago I crashed in a Go Kart
It's cause I'm so fucking good that I don't park
So don't ask how real is that
But I ain't talkin' Go Karts when I kill this track, like
I had a problem with my balls, yo, you don't know what
Some had thought it would be Photoshopped
Yo, I woke up this morning like I'm RoboCop
Stormed outside to go and make my Coco Pops
Yeah, chocolate cereal, gangster shit
Mum poured me the cereal, I said 'thank you, bitch'
Nah I didn't, don't think I'm a G
Yo, I said 'thank you mum' and gave a kiss on the cheek, yeah

Boom son! Rapper tag! I'm calling out - I'm calling out old mate Urthboy. You're next - you're next bro. Don't leave it hanging too long. And then you tag the next person you want to go after you and so on and so forth. Alright, peace out",https://genius.com/360-360-rapper-tag-1-lyrics
Addicted,The Forthwrite Mixtape,2008,"Yeah, uh
Yeah
This is a song about my favourite drug
I think it's safe to say that I'm probably addicted, huh
Yeah, uh
Yeah, one drug, yeah

I see women as drugs, I'm wishin' all of them were givin' it up
'Cause when I’m down, that's what's picking me up
I'm addicted, it sucks, I'm chattin' to 'em like I'm givin' a fuck
All I'm thinkin' is I'm hopin' they might give me a fuck
Enough, 'cause on the real, I've been killin' their trust
And people shrug it off like I'm livin' it up
Deep down, the whole time I've been wishin' for love
Wishin' I could meet a girl who would fit like a glove
Then we force a connection with this innocent lust
As soon as the sex is over then I'm finished, it's done
But am I a bad person? Am I a tad worse than
Anybody who's ever committed mass murders?
'Cause I'm killin' their entire trust in men
I feel like I’m evil 'cause they'll never feel that lust again
Because of me, and now I only trust my friends
But honestly, yo, I'm wishin' I could love again
Any problems of their own and they blame mine
It's like a script, always kickin' all the same lies
Any heroin junkie, we have the same mind
Because we love it and we hate it at the same time",https://genius.com/360-addicted-lyrics
Admission,Vintage Modern,2017,"The most successful people I know have taken more than ten l's
They just kept fightin' while the rest fell
I know success well, but first I had to
Come to understand failure and use it as the best help
See, I learnt more from one time failing
Than all of my success combined, so don't stress now
When everything gettin' sent south
For the height you wanna end up, in time you will be sent down
You prefer how success felt, yes
Instead of cryin' a river it gets you ready to set sail
That's a story lots of men tell
I can't imagine what it's like for women knowin' that flesh helps
I ain't talkin' stem cells
Sex sells, if your chest is XL then you'll excel
If you demand respect
It doesn't matter if you dress well, what matters, where your head's held
Understand knowledge is the best wealth
Put trust in everything your common sense tells
And always give your best self
And no matter how it ends up you knowin' that you meant well
Get it together whenever you mess up
You'll be better than ever, you never been better
But see, the more belief you got the more better you get
Whenever you get in a beef go and dead it, whatever
See, the paper comes and goes, but a friend is forever
Understand time is money, go and spend it together (spend it together)
Chasing the stars, endeavour together
And get your team out the Matrix: Nebuchadnezzar
Keep walkin' a line, we walk on an edge
With no fear in our heart, we got a death wish
We on that next shit, they stay thinkin'
In that Blockbuster video mind, we on that Netflix
You're not defined by the dollars you're in debt with
Investments, all the celebrities on your guest list
The profession that you were blessed with
Friendships, or the many that you have sex with
Uh
Take away the money, fame and drugs
And check out how many exit and cherish the ones you're left with
That's why they call it friendship
'Cause one falling out could rock the boat enough and make the rest sink
What defines you is the hurdles that you're met with
The wounds you accumulate and how you go and mend it
You see a child's birth and how they cry and hurt
From this dyin' Earth and how we left it
I feel sorry for the next generation of kids
And the state of society that they're left with
'Cause we're literally slaves of the digital age
Instead of sayin' what we think we just text it
What kind of message is that sending?
Instead of stepping to our problems we're pretending
Instead of ownin' our mistakes we get defensive
We can't even talk these days without offending

I'm looking in the mirror
Looking in the rearview
Watch should I admit to?

Admit that I am evil
Admit that I'm deceitful
Admit that I am me
Admit that I am me",https://genius.com/360-admission-lyrics
"Amy, Amy, Amy",What You Hear Is What You Buy,2008,"Amy!
Amy! Amy, you listening? Fuckin' hell!
You need to settle the fuck down
You're starting to lose your shit!
It's okay to party and have a bit of fun and shit
But you're fuckin' just, you're going overboard
You're embarrassing me
You're embarrassing your fucking family and friends
Just chill the fuck out for a bit (God)

Okay, goddamn, Amy, Amy, Amy
I've been kind of embarrassed, yo, but who the fuck can blame me?
One day you love me, the next day you hate me
I'm sick of making all these damn excuses for you lately
I've been meaning to talk but I've had to pick the best times
It's not just the drugs though, you're rackin' up the headlines
You have a bump and start rackin' up the next line
And if we have to leave the house, you'll rack 'em up the next time
(Oh, we'll do that next time, yeah?) You're stupid if you think your folks won't know
Come on, let's leave the house, Am', the coke won't go
(Come on, really?) But, really yo, I'm sorry for that low, low blow
I took your arse to rehab, you're like ""No! No! No!""
Yeah, you need to make a suitable choice
Get off the crackie and try and save that beautiful voice
Just stop and think for a minute, yo, you're Amy Winehouse, baby
Just don't overdo it, I'd hate it for you to die now

Amy, Amy, Amy (Fuck yeah)
(Party time now, bitch) Although I've been here before
Amy, Amy, Amy (Yeah)
He's just too hard to ignore (Ayy, chuck us that bottle)
(I know that) Masculine you spin a spell (Yeah, yeah)
I think you'd wear me well (Oh, fuck)
Amy, Amy, Amy (Can't even feel my face, dude)
Where's my moral parallel?

Fuck yeah, Amy, Amy, Amy
The trashiness aside, in the bed, you go crazy
Honestly, I can't get enough of it lately
I'm all for a girl who loves to fuck me like they hate me
Yeah Amy, I fuckin' love you, baby
We've had a non-stop party since the remix with Jay-Z
Yeah, I mighta said it, having drugs is trouble, son
But, while you're up babe, can you rack me up another one?
I ain't done shit, yo, I'm lappin' up the summer fun
Being a fuckin' trashbag, it has me stuck like bubblegum
Yeah, now she's got me equally as trashbag
Walking London streets with half a bottle of Jack Dan's
Having people sayin' maybe I should lie down
Fuck out of my face, I'm all over the high now (You don't fuckin' know me)
I just hope we don't overdo it and die now
But I could give a fuck, as long as I'm in the wine house

Amy, Amy, Amy (Yeah, yeah)
(Fuck yeah, I fuckin' love this shit) Although I've been here before
(I love this life) Amy, Amy, Amy (No reality whatsoever)
Ayy, you're too hard to ignore (Yeah)
Masculine you spin a spell (Ayy, yeah, fuck yeah)
I think you'd wear me well (Ayy, Amy, have another line)
Amy, Amy, Amy (Oi, Amy)
Where's my moral parallel? (Another line)
{Outro]
Amy! Amy! Amy! Fuck!
Amy! Amy! Fuck!
Uh! Fuck!
Yeah, quickly, I need an ambulance! My girlfriend just overdosed
Amy! She's on um, heroin and coke
Send someone over, quickly!
Quick! Amy!
(Amy, Amy, Amy)
Fuck!
(Although I've been here before)
Fucking knew this would happen!
(Amy, Amy, Amy)
Fuck!
(He's just too hard to ignore)
(Masculine, he spins a spell)
Wake up!
Amy, please! Just wake up!
(I think he'd wear me well)
Tried to tell you, tried to tell you to stop this shit!
(Amy, Amy, Amy)
Fucking knew this would happen!
(So where's my moral parallel?)
Fuck!
(Amy, Amy, Amy)
(Although I've been here before, yeah)
(Amy, Amy, Amy)
(He's just too hard to ignore)
(Masculine, he spins a spell)
Amy! Amy! Can you hear me?
(I think he'd wear me well, yeah)
Wake up!
(Oh, please)
Please wake up!
(Where's my moral parallel?)
Fuck!",https://genius.com/360-amy-amy-amy-lyrics
Back to Back,Loosies,2012,"My life, my life is like the craziest fantasy
So I got the urge to be escapin' reality
I write my best shit when I'm sayin' what's bad for me
So in my subconscious I'm praying for tragedy
On that real rap shit, yeah, I'm back on it
Some are thinking that I went and turned my back on it
I just hear a dope beat and then I rap on it
But what's being real to me is if I rap honest
Watched The Secret, got up on my goal shit
Last night stayin' up ticking off the whole list
If you honestly what you're wantin' to achieve
You will probably receive it gift wrapped
Uh, I started followin' my dreams
And I got a little cream when I saw I had a gift: rap
Grateful, can't believe I did that
And now I'm gatherin' everythin' I can give back

Sleeping with my back to yours
Back to back, back to back, we're strung out
Sleeping with my back to yours
Don't walk away, don't walk away

Now I gotta keep it goin': no endin'
And keep the ball rollin': momentum
They wanna bring us down but we won't let them
Fail is a little word that we don't mention
I feel like it's still not true
Put me next to BnE and them Hilltop dudes
But everythin' is me and I guess I'm bein' me
Now I found a winnin' syrup and I will not lose, no
Takin' aim while I scope the crown
It's only gettin' closer and I'm focused now
Got told by the suits I should tone it down
They can go and get fucked, they don't own me now
I hope this doesn't sound negative as hell
But we did on our own without anybody's help
Fuck censoring myself, 'cause me being me
Is a essence of my sales and a credit to myself

Sleeping with my back to yours
Back to back, back to back, we're strung out
Sleeping with my back to yours
Don't walk away, don't walk away

{Chuckles} About six years ago I was an apprentice chippy, and, uh,  PEZ told me to quit and focus on rap, and my boss told me that I wouldn't be shit. Look at me now, dickhead

Uh, I'm sick and tired of being sick and tired
Uh, I'd rather be fit and wired
Yeah, I'd rather be givin' time
To makin' an impact and leavin' these kids inspired
Now I'm someone they can look up to
If you're down, brother, know that you can look up too
If they gettin' in your way you can push on through
And if they tell you that you can't tell 'em, ""Good, fuck you""
Never thought as an innocent teen
That this'd be me, the shit that I breathe, but I love it now
Understand there's a difference between us
Livin' the dream and livin' in dreams, I am above the clouds

Sleeping with my back to yours
Back to back, back to back, we're strung out
Sleeping with my back to yours
Don't walk away, don't walk away",https://genius.com/360-back-to-back-lyrics
Beautiful Place,What You See Is What You Get,2008,"Yo, yeah
Equality's what's needed, when that honesty stays
I have a feeling we'll be livin' in this wondrous place
In my view we need to make the poverty change
Not just hide it like we did during the Commonwealth Games
Yeah, they got the money, they should give 'em a bed
But you know they'd rather dinners instead
With their infinite endless supply of easy living with cheques
And decorated for our visitors friends to leave 'em impressed
Why the fuck are they deleting the trees?
It ain't a known fact that everybody needs them to breathe?
I gotta say now, why wasn't David Hicks back?
Needed to be at home so he could face this riffraff
Uh, save the chitchat excuses you've made
There's never an excuse for the youth you could save
(Never, never) I know the remedy for soothing your pain
You just use a mute view of this beautiful place, it's like that

Sometimes I do think this way
Maybe one day you'll all feel the same
(This way) I'm hoping I can pave the way
Where you're lookin' at an infinite day, come on and tell 'em more
Sometimes I do think this way
Maybe one day you'll all feel the same
(This way) I'm hoping I can pave the way
Where you're lookin' and you're livin' in a beautiful place

Now hear me out, I shouldn't need to repeat
We can all afford words with the freedom of speech
And me, I chase goals, I believe in a dream
And most of all I believe in belief
So I speak to the teens and let 'em know there's hope if you want it
Fight for what you wanted and be openly honestly
And gain profits, I'll be screaming out love to the people
'Cause I'm living in a place where the guns are illegal
(Shot down) I feel cops need to stop the real crimes
Instead of enforcing petty little laws just to kill time (True)
I feel fine 'cause I'm living in the most liveable place
I find it's like an infinite taste
Of what's to come, uh, any day you're under the sun
And any second, yo, the thunder will come
Then I run in to find you all the remedy for soothing your pain
You just use a mute view of this beautiful place, it's like that

Sometimes I do think this way
Maybe one day you'll all feel the same
(This way) I'm hoping I can pave the way
Where you're lookin' at an infinite day, come on and tell 'em more
Sometimes I do think this way
Maybe one day you'll all feel the same
(This way) I'm hoping I can pave the way
Where you're lookin' and you're feelin' like you're livin' in a beautiful place

Melbourne, it's a beautiful place
Victoria, it's a beautiful place
S.A., it's a beautiful place
Australia is a beautiful place
New South Wales, it's a beautiful place
Queensland, it's a beautiful place
Northern Territory, it's a beautiful place
Australia is a beautiful place to live
W.A., Tasmania too (Place to live)
(Yeah, it's a beautiful place to live) A.C.T
And if you didn't know you sure will, sucka",https://genius.com/360-beautiful-place-lyrics
Bedroom Jammin',What You See Is What You Get,2008,"Ah, yeah
Uh, uh, yeah
Funk, soul and hip-hop
Ain't nothing else you need, yeah
Yeah, let's have a bit of fun
Yo, check this out, yeah

Ayo, there's no set method, just kick back and sit and vibe
Crank the drums and jam out and improvise
Intertwine while you're kickin' it and listen live
Empty, it's better, it's evident when it's simplified
Respect those that've passed away
Like Marvin Gaye or even Jam Master Jay
We get tricky with a sexual healing
Same atmosphere as a festival feeling
I'll get respect while I'm skillin' for the wealth
With my headphones 'round my neck, chillin' by myself
This ain't business, see I started vibe and jam
And stay different, me? I'd rather ride a tram
The young silhouette, singing away
Now with the image set, killin' a bass so I can give you a taste
And have you tappin' feet, movin' with some goosebumps
And make your spine tingle, groovin' to the smooth drums

Da da da da da da da
Stay doin' the funky bedroom jammin'
Stay doin' the funky bedroom
The funky bedroom, the funky bedroom jammin'
Da da da da da da da (Hahaha, yeah)
Stay doin' the funky bedroom jammin'
We keep the soul bangin'
And keep the soul bangin' and keep the soul bangin' away

Ayo, I lead stop, live in the spotlight
And go to any measurement you know I want high
The melody raps, I'm tellin' these cats
Irrelevant facts and takin' all their elements back
Ha, the young dude that'll laugh a lot
It's sort of funny that it's hard to stop, man, I'm hard to top
I stay livin' in a life that's so care-free
But don't dare me ever to vote fairly
Never be broke, barely make enough to survive
And that don't bother me at all, I'm still lovin' this life
I still love what I write, havin' fun on the mic
I still make enough money for a son and a wife
You know I'm somethin' to find because I'm one of a kind
I kill that rhythm and tilt back the mission
For another day (yeah) I'm encouraging a noisy time
Take the breaks off people, and enjoy the ride

Da da da da da da da
Stay doin' the funky bedroom jammin'
Stay doin' the funky bedroom
The funky bedroom, the funky bedroom jammin'
Da da da da da da da (Hahaha, yeah)
Stay doin' the funky bedroom jammin'
We keep the soul bangin'
And keep the soul bangin' and keep the soul bangin' away

Skip, bap, boobidy bap bap bap
Skippety bap bap bap bap bap
Skippety, bippety, bippety, bippety
Beep bap, boodoo, beep bap ba-boodoo (ha ha, yeah)
Stay doin' the funky bedroom jammin'",https://genius.com/360-bedroom-jammin-lyrics
Better Than Before,What You Hear Is What You Buy,2008,"Now I’m stealin’ beats from my favourite Canadian cat
So I could hit him with Australian raps, now I’m taking it back
To make payments with no paper or cash
Every word I spit is truth without stating the facts
My statement is that no one not once taking me back
If there’s hate in what you’re sayin’ then my name isn’t Matt
‘Cause I’m waitin’ very patient till my name’s in 
And there’s no excuse for hate, so go on take it on back
And yo, I’m thankful (For what?) Yo, I’m thankful for that
Thankful for every question that you bank on a 
Hopin’ that he might stumble, fallin’ flat on his back
And so polite, most the times no one’s thankin’ him back
It’s that socialite, a certain few are hopin’ he dies
But hoping is inaction so they know he’ll survive
He’s grown to his height, regardless, you still know that he’ll rise
And realise you’ll always see him if you open your eyes

I feel this is what I see
Walkin’ on an empty road
Crooked footsteps underway
Never knowin' where to go
No realness, all a dream
Starin’ at my life below
Hope my life’ll form a trail
To get where I wanna go, I don’t understand

You have doubts believin’ you’ll be somethin’
But doubts are your enemy, lead you to see nothin’
You can’t help it, you’re eager to see somethin’
You’re seein’ your dream stuck and you’re needin’ the freedom to be
One with yourself and you’re runin’ through hell
Lived a life of others, never fell in love with himself
And that’s what’s needed to ever be completed and knowin’ what’s true
Always defeated ‘cause you never will focus on you
And yo, it’s good to be compassionate
But give yourself an itch or somethin’ or your spirit takes some damagin’
There’s no accidents, just fate and destiny too
So why have a million friends and one enemy – you
And I can tell you callin’ for help
You gotta try and work it out and maybe call on yourself
And put down the shield and maybe talk to yourself
That’s your main biggest problem, you’re at war with yourself

In your life, there’s one to find
You gotta know it takes some time
But when you work it out you feel
Better than before
And in your life, there’s one to find
You gotta know it takes some time
But when you work it out you feel
Better than before

I feel this is what I see
Walkin’ on an empty road
Crooked footsteps underway
Never knowin' where to go
No realness, all a dream
Starin’ at my life below
Hope my life’ll form a trail
To get where I wanna go, I don’t understand",https://genius.com/360-better-than-before-lyrics
