title,album,year,lyrics,urls
Jan-26,Reclaim Australia,2016,"[Chorus: Dan Sultan & 
Briggs
]
You can call it what you want
But it just don't mean a thing
No, it just don't mean a thing
Fuck that, homie
You can come and wave your flag
But it don't mean a thing to me
No, it just don't mean a thing
Fuck that, homie
You can call it what you want
But it just don't mean a thing
No, it just don't mean a thing
Fuck that, homie
You can come and wave your flag
But it don't mean a thing to me
No, it just don't mean a thing
Fuck that, homie

They said, ""Hey, Briggs, pick a date"" (Okay)
""You know, one we can celebrate"" (For sure)
""Where we can come together"" (Yeah)
""Talk about the weather, call that Australia Day""
I said, ""How about March 8th?"" (That's a good one)
And we can do it on your Nan's grave (Got that, bitch?)
We can piss up, piss on her face (Hahahaha)
Get lit up and burn out like Mark Skaife
They screaming, ""Love it or leave it"" (Love it)
I got more reason to be here, if you could believe it (Ha)
Won't salute a constitution or who's underneath it (Nope)
Turn that flag to a noose, put a cease to your breathing
I can't get in my whip, I get a ticket for that
I get a DWB, and that's a 'Driving Whilst Black' (Ha)
I turn the other cheek, I get a knife in my back
And I tell 'em it hurts, they say I overreact
So fuck that (Fuck that)
[Chorus: Dan Sultan, 
Briggs
 & 
Trials
]
You can call it what you want
But it just don't mean a thing
No, it just don't mean a thing
(
Hey, Briggs!
) 
Fuck that, homie
You can come and wave your flag
But it don't mean a thing to me
No, it just don't mean a thing

I said celebrate the heretic any time outside Jan 26 (Any time)
That's the date for them suckers doing that sucker shit (That's true)
That's that land-taking, flag-waving attitude
Got this new Captain Cook dance to show you how to move (Move it)
How you wanna raise a flag with a rifle
To make us want to celebrate anything but survival?
Nah, you watching tele for 
The Bachelor
But wouldn’t read a book about a fuckload of massacres? (What?)
I remember all the blood and what carried us (I remember)
They remember twenty recipes for lamingtons (Yum)
Yeah, their ancestors got a boat ride
Both mine saw them coming until they both died (Blaow)
Fuck celebrating days made of misery (Fuck that)
White Aus still got the black history (That's true)
And that shirt'll get you banned from the Parliament
If you ain't having a conversation, well then we starting it
[Chorus: Dan Sultan & 
Briggs
]
You can call it what you want
But it just don't mean a thing
No, it just don't mean a thing
Fuck that, homie
And you can come and wave your flag
But it don't mean a thing to me
No, it just don't mean a thing
[Post-Chorus: Dan Sultan & 
Trials
]
No, it just don't mean a thing
Nah, it just don't mean a thing
No, it just don't mean a thing
Nah, it just don't mean a thing
No, it just don't mean a thing
Nah, it just don't mean a thing
No, it just don't mean a thing
Nah, it just don't mean a motherfucking thing
No, it just don't mean a thing

Wave it, wave it, baby
Wave it, wave it (Eat the flag)
Wave it, wave it, mama
Wave that flaggy (Wear the flag)
Wave it, wave it, baby (What you gonna do?)
Wave it, wave it (Wave it, baby)
Wave it, wave it, mama
Wave that flaggy",https://genius.com/Ab-original-january-26-lyrics
Dumb Things,triple j Like a Version 13,2016,"Welcome strangers to the show
I'm the one who should be lying low
Saw the knives out, turned my back
Heard the train coming, stayed right on that track

In the middle, in the middle
In the middle of a dream
I lost my shirt, I pawned my rings
I've done all the dumb things

Yeah, them dumb things
This goin' out to all my brothers down there in Don Dale
Dealin' with that disaster that them guards are there and not jail
Thinking we gettin' our welfare, huh? Thinking we gettin' our healthcare, huh?
Think about if it was your son, now think about sending some help there, yeah
What's dumber than that mate? What's dumber than dressing up blackface?
What's dumber than doing it knowing it hurts and don't even work to make that change
Let's go

In the middle, in the middle
In the middle of a dream
I lost my shirt, I pawned my rings
I've done all the dumb things

We got
We got islands for the ones who seekin' asylum
We got silence for the ones who died in confinement
If you're complacent to the words of a racist
Don't you dare complain when that's what leading your nation
Send in the clowns, they're blackfacing
They're locking up couples, they're locking up brothers, but they ain't leavin' the station
The date's changin'

In the middle, in the middle
In the middle of a dream
I lost my shirt, I pawned my rings
I've done all the dumb things

Ladies and gentleman. On the keys and drums Mr John, Mr Paul Bartlett AKA SixFour. On the guitar, my brother Dan Sultan. And to my right, Mr Paul Kelly

Yeah, them dumb things
Lumped in, looking for peace, but won't find it
They holdin' us back from closing the gap by keeping them close minded
See, no surprises there, hearing both of them sirens blare
Them coppers where I'm from are kind of fair, if you kinda fair

What's a royal commission to the ones who live on a mission
To the ones who's killed by the system by the ones that's meant to assist 'em
At the hands of policemen, who's gonna police them?
They killin' us Koori's, they got it on footage, they need to release them

In the middle, in the middle
In the middle of a dream
I lost my shirt, I pawned my rings
I've done all the dumb things

Mr John Bartlett


My brother Dan Sultan


Mr Paul Kelly


In the middle, in the middle
In the middle of a dream
I lost my shirt, I pawned my rings
I've done all the dumb things

Yeah, I melted wax to fix my wings
Threw my hat into the ring
I thought that I just had to sing
I've done all the dumb things",https://genius.com/Ab-original-dumb-things-lyrics
2 Black 2 Strong,Reclaim Australia,2016,"The brothers are back, they pay stacks to see 'em
Fuck it up worse than Eso in a wax museum
This plastic scene like Plasticine
You see the mould is old and the facts are being
That I rock shows like I had four clones
Eight microphones, and cuss so much it sounds like Morse Code
So fuck you and where your horse go
Cause once you see dorsal it's too late, that's ya torso

Call me the man that's 
(2 black)
 with a plan that's 
(2 strong)
Said authority keep stopping me then asking me to move on
That's calculated, medicine is out of date and man
They fucking love it when you sound afraid but this is not that one
This my mother's black son, driving like I stole it
Blind-folded and eyes closed, wearing a pair of bifocals
And I'm still rocking, them black bodies still dropping
Still filling prisons, still filling coffins

A.B. Original
A.B. Original
A. (A) B. (B) Original
A. (A) B. (B) Original

It's the blackout, yeah, brothers in the area
Smart black man with a plan, nothing scarier
Now blackout, yeah, they still wanna
Kick the blacks out, yeah, I get the feeling
That I'm dead even though I'm still here walking
All said and done I can still hear talking
Now blackout, yeah, they still wanna
Kick the blacks out, yeah, they still wanna kick the

They could never do it better than this
And if they say that they did then terrorists win
It's the A.B. Orig-in-al they are
Bringing that dope shit even if they aren't
They wouldn't know rap if it jabbed their trap
And snapped their back (damn near put your face in your lap)
I'm like a breath of fresh air in a fresh pair
Watching your demise with a stoggie in a deckchair

I let 'em check the method, roll another blunt until a chest infection
Right up till it sounds like a dial-up internet connection
Get it like it's credit at the deli when you're hanging
More raptours than John Hammond god damn it
Bring a famine to your food court in just one lunch
Till I'm happy as a pig: two girls, one cup
Brother run up and get wrecked mate, Netflix and chill
Till I hit it with that Scott Disick Didick then I peel

Said it don't, it don't, it don't
It don't? It don't get more blacker than this
It don't, it don't, it don't
It don't? It don't get more blacker than this

These motherfuckers just never listen. It's like they never got flogged, they never got hidings. Where's your fucking dads at? Fuck is wrong with you?

It's the blackout, 2 black, 2 strong
2 wrongs made it right, been white too long
It's the blackout, it's everything that you fear
Tired of this shit, like I've had a good year
It's the blackout, like when Suge bailed Pac out
Like what you see before you tap out
It's the blackout, like you didn't see it coming
It's the blackout, like I'm here with my cousins

The atheist afraid couldn't handle the God (you scared?)
They handle the pipe and try to handle the nod
Was gonna dismantle your squad, the damage was done, you flopped
Somethin' like Kardashian socks: Rob

You can catch me at that pie cart
Maxing out my tab with Gina Rinehart (that's frightening)
I hit you with that Andrew Bolt of lighting
Right inside your fucking comfort zone, choking from them undertones
You catered to the nature of the dumb and watched your bunda grow
)]
Too black 
(too black)
Too strong 
(too strong)
Too black 
(too black)
Too strong 
(too strong)
Too black 
(too black)
Too strong 
(too strong)
Too strong 
(too strong)
Too strong 
(too strong)
[Outro: Briggs & 
Trials
]
Yo T, I went to the doctor and he checked my heart
And I bet that it was black
Yeah, he says that shit's not healthy
And I bet that it was black
Yeah, like they're not meant to be black
And I bet that it was black
Yeah, that's what I said
And I bet that it was
That's not right",https://genius.com/Ab-original-2-black-2-strong-lyrics
I C U,Reclaim Australia,2016,"I never hesitate to burn a bridge
Sometimes I just remind 'em what a furnace is
And with the burners lit it feels like the perfect gift
I could see the future, figure out what ya purpose is
You're like a burden on a certain tip
And the iceberg's lurkin' to pull the curtain on a virgin ship
You ducked out while the work was thick
So now I point out to these clowns where the circus is
I am what, you pretend to Be, that might offend you
But I been through, might end you
With no one, to avenge you
Friends come and friends go, that fucks with your mental
Until its just benzos and endones in ya friendzone
So don't ever call me lucky
You don't know what I done, what it was, who I lost, or what it cost me
If our next meetings kind of frosty
Its 'cause you were taking too much time trying to watch me

And you're too busy watching me
When you need to watch yourself
Choose your words more carefully
But play the hand you're dealt
'Cause you come around, with your running mouth
Call me stupid... I see you
'Cause you come around, with your running mouth
Call me stupid... I see you

I never hesitate to burn a bridge
I lift a pint glass then watch the Reichstag when the curtains lift
On the right path to end up in that wrong place
With the reaper, in deeper than Dantes
Yes, aching in my chest is what I'm living with
Stress, youth incarceration's my privilege
Death on the cards since I was a youngling
Paul Kelly with the big belly did them dumb things
I hit 20, they said he might be lucky
Guess that funerals are beautiful and life is ugly
Brothers and my sisters, love 'em and I miss them
Stuck within the system, can I get a witness?
I get the feeling that me breathing is a bonus
But if I'm taking anything I'm doing what they shown us
So when ya call 'ern and you wonder where the cops be
It's cos they taking too much time trying to watch me

And you're too busy watching me
When you need to watch yourself
Choose your words more carefully
But play the hand you're dealt
'Cause you come around, with your running mouth
Call me stupid... I see you
'Cause you come around, with your running mouth
Call me stupid... I see you

My brother - you gotta watch your health
When they come around you better watch yourself
My sister - you gotta watch out for me
I'll watch for you while you're watching police
My niece, my cousin, my nephew
Understand that your fam won't forget you
You gotta get up, breathe - get up, breathe!
Get up, breathe - get up, get up!
[Chorus 2: Thelma Plum (
Briggs & Trials
)]
And you're too busy watching me
When you need to watch yourself
Get up
Choose your words more carefully
But play the hand you're dealt
Get up, breathe!
'Cause you come around, with your running mouth
Call me stupid... I see you
'Cause you come around, with your running mouth
Call me stupid... I see you",https://genius.com/Ab-original-i-c-u-lyrics
Call 'Em Out,Reclaim Australia,2016,"I wonder if you'd believe this as a solution to the 
""Aboriginal problem""
? Herd the worst of the Aborigines into one area, then put a chemical in their water that sent them sterile. In time, there'd be none of them left. 
Well, that solution has been put forward by none other than one of the premier's closest friends, West Australian mining magnate, Lang Hancock

Yeah, my trust in the police died in custody (pow)
Hand cuffed and stuffed inside some fuckery
Double knees to keep my breathing shallow as my grave is
On my best behaviours, till we end up leaking on the pavements (why)
Best believe its racist if we both walk in the same shop tomorrow (tomorrow)
And only one gets followed by the same cop
The only difference is our pigment, at least' that's what the pig meant
They wanna put us all back in the pig pen
But not all are, still thinking we fauna, this real life
Hit 'em with that one-two: Tamir Rice
Clear signs nothings getting better and they ain't gonna let up
Till we get that gut full and fed up (we starving)
That's when they told me looking out for justice was outdated
Deal with it and trust the judges
 (what the fuck?)
Newsflash motherfucker, I don't respect ya (hell no)
Ignoring it is easy when it won't even effect ya
[Chorus: Trials & 
Briggs
]
I call 'em out, what what, I call 'em out
I said I call 'em out, what what, I call 'em out
I said I call 'em out, what what, I call 'em out
I call 'em out, and then I sort 'em out quick
Hey Briggs, you called 'em out? 
Hell yeah, I called 'em out
We did another lap and gave them something else to talk about
We called 'em out, what what, we called 'em out
We called 'em out, and then we sort 'em out quick
Bitch
 - and then we sort 'em out quick
They want beef, then we sort 'em out
Then we sort 'em out quick
And then we sort 'em out quick

The ones that are no good to themselves, can’t accept things
, the half-castes—and this is where most of the trouble comes—I would dope the water up so that they were sterile and would breed themselves out in future and that would solve the problem

Yeah, skin of onyx
Manatronix, sippin' gin and tonic and hittin' chronic
I spit ebonics, fuck the system
I heard they buildin' up another prison
Right outside the subdivision, Officer Friendly
Swallowing Henny, intoxicated off power
Following any vehicle occupied
With people of colour, so I'm keepin' my brother
The powers against me, Mama convinced me
There's good in everybody and e'rybody was good
When they used lynch me and drench me
I'm speaking for victims, many don't have a voice
Shuffled in the system, so we share the wisdom
Speaking of lives lost, they killing our kind
And barely getting' time off
They said we really shouldn't talk about
I say the opposite and call 'em out

Yeah yeah, I call 'em out
I call 'em out, what what, I call 'em out
I said I call 'em out, what what, I call 'em out
I call 'em out, and then I sort 'em out quick

The do-gooders came along and they—these beurocrats and the rest of them who would write great thesis on things down south... and they decided that they better go and civilise these savages of ours, so they brought 'em into the towns

Third class citizen, never got rid of 'em
Locked in the system, no presumption of innocence
I keep the mindstate militant
I keep watch on my brothers because my states killin 'em
I keep my whips inconspicuous
'Cause these pigs give a fuck what you in
'Cause what you drive may be where you die
If you pull over you mightn't pull out alive
Raisin' my hands, drawn a line in the sand
So there's no excuse for a gun and a badge
To let anything fly, if anyone dies
Make sure every cop shop in the city fries
It's easier to kill us than skill us
What good's a gorilla in a world of vanilla
Other rappers ain't finna to talk about (Fuck Boys)
Fuck that, I say the opposite and call 'em out

Now I wouldn't mind Philip, if it was just the black—the true Aborigine—but there are so many hybrides, and they're nearly white, and this is where it hurts me",https://genius.com/Ab-original-call-em-out-lyrics
Take Me Home,Reclaim Australia,2016,"[Verse 1: Briggs & 
Trials
]
You can't contain my authority, restrain the minority
Take the hand, everybody would follow me
From a long line of leaders and warriors
I pathed the path through the face of intolerance
Through the face of a colonist, half-arsed apologist
Celebrating death on Australia Day
More they making a change, more they staying the same
In a blink watch an 
officer
 turn into a coroner
You ain't got the balls to walk these corridors
Rip the claws in Namorrodor's jaws
""Everything's getting heavy,""
 no doubt brother
And if things don't change somebody's getting buried
[Chorus: Briggs & 
Trials
]
You wanna take us home? (Yeah)
Where it at though? I don't know
Where it at though? I don't know
They put a bed in a cell and they call that home
You wanna take us home? (Yeah)
Where it at though? I don't know
Where it at though? I don't know
And when I find out, leave it all behind and then I go
[Verse 2: Briggs & 
Trials
]
Yeah, I stay clever to the man
Hip to the game, watched every claim
Saw them speak up, watch them detained
Again, again, again, again
They claim brotherhood, but never act how a brother would
Put it on my name, we ain't the same, get it understood
And pass a nulla nulla to the other fulla
See, love is cool, but love is blind
You got pride in what son? Leaving kids behind
Until they die and the rest getting locked up
Nah, we making change, no question
Call myself Trials 'cause my people don't get them
[Bridge: Briggs & 
Trials
]
Take me home
Take me home, 
where I live
Where I love, where I fight, where I feel
Take me home, 
where I live
Where I love, where I fight, where I feel
Take me home, 
where I live
Where I love, where I fight, where I feel
Take me home, 
where I live
Where I love, where I fight, where I feel
Take me home, 
where I live
Where I love, where I fight, where I feel
Take me home
(Yo Cleverman)
[Chorus: Briggs & 
Trials
]
You wanna take us home?
Where it at though? I don't know
Where it at though? I don't know
They put a bed in a cell and they call that home
You wanna take us home?
Where it at though? I don't know
Where it at though? I don't know
And when I find out, leave it all behind and then I go

Play me out, brother 
(Yo, Cleverman!)",https://genius.com/Ab-original-take-me-home-lyrics
Report to the Mist,Reclaim Australia,2016,"Again and again, again and again
You know they're killing us right?
Gorillas, gorillas, report to the mist

We got a team with us, you thought we were the good ones
Stepping on our side, that's were you put a foot wrong
Roll call, report for duty
Roll call, report for duty
We got a team with us, you thought we were the good ones
Stepping on our side, that's were you put a foot wrong
Roll call, report for duty
Roll call, report for duty

Australia never had a bad past, where the fuck we get these scars?
Where the fuck you keep those whips? How the fuck can I smoke cigars?
Who's he think he is? What kind of message he to sent the kids
Do what ya want, when ya want and take their money until ya rich
I been out of fucks to give since 86, what the fuck is this?
Death by cop for a traffic stop and all I'm sayin is fuck the pigs
Oh no - shouldn't say that, oh no - that'll come back
Oh no, I know ASIO are listenin' and I could catch one in the back
If you're Aboriginal, in the divisional odds are that they plan on killin' you - coon
You're just paper work, you'll be in the dirt - soon
And they'll get sent away on a paid holiday, funded leave
Brother please, fuck the police is the least I'm gonna say

Gorillas, gorillas That's the least, fuck the police
That's what the system is, the just US 'system
Gorillas, gorrilas Again and again every day
Built to put you inside, keep them out, that's the sickness

I said true that, listen here tho, they wanna make y'all disappear tho
Dialing M for murder heard that triple zero, fucken hero
Get it clear tho, that gets buried, the blacker the berry the more in the dark
Walk into courts a walk in the park, hand on my heart, balls in my palm
I'm charged with being black and always tryna say my peace
They wanna hold me back but suck my dick and ce la vie
Now can I breathe? (uh uh) well can I breathe (uh uh)
Am I charged? (uh uh) well can I leave?

Gorillas, gorillas (There's no such thing a good cop, no such thing as a good police officer. There's good people. The whole system? It doesn't work for us. There's no such thing as a justice system, it's the legal system)

Oh no, oh yeah, tell me how can it be so fair
That we Dying younger, hiding from the, police man over there
Just for breathing in the air they wanna leave me in the chair
Electric shocking body rocking beat streeting me to death
Mr Policeman! Motherfuck you and that whole precinct
The sergeants and inspectors who protects us from protectors said there's
A glimpse of hope then you ain't talking to them kids
Said Gorrilas, gorrillas, report to the mist

My disorders distorted, to the mist I'm reportin'
I put my brother boys on 'cause I can afford it
They say they treatin us equal but they don't treat us like people
These Devils are Evil they got me hatin' their beagles
The blacker the berry the bigger the charge
The whiter the lies the deeper facade
The whiter the crime the looser the cuffs
And the blacker the skin and that noose is for us

We got a team with us, you thought we were the good ones
Stepping on our side, that's were you put a foot wrong
Roll call, report for duty
Roll call, report for duty
We got a team with us, you thought we were the good ones
Stepping on our side, that's were you put a foot wrong
Roll call, report for duty
Roll call, report for duty

Gorillas, gorillas (you thought we were the good ones)
Gorillas, gorillas (that's where you put a foot wrong)
Gorillas, gorillas (report for duty)
Gorillas, gorillas (report for duty)",https://genius.com/Ab-original-report-to-the-mist-lyrics
Dead In A Minute,Reclaim Australia,2016,"[Intro Ad-Libs: Briggs & 
Trials
]
Aye Briggs!
 Yo, whattup?
Yeah we should probably get this record done dog
Yeah, yeah a'ight, 
I got like five minutes left in me
Of life!
 Shit I'm already dead

The clock ticks on (on, on)
Numbers over the face (face)
Every day is a victory
In this invisible race

I will always begin knowing I will never finish
I will always begin knowing I will never finish
I got too much to do
I could be dead in a minute

When I was fifteen they hit me with this midlife crisis
Blood in my background like it’s filmed by ISIS
We mixed breeds and hybrids that run up to your parked car
Hit you with this arm bar, now who got the half-caste?
Nothing sweet as winning when you always got to start last
You Jar-Jar big mistake
, cokeheads lick the plate
Wack rappers lick the sack, government don’t give it back
So we gon’ take it all while we can 
before we take a fall
Like Owen Hart
, they watchin’ me like I
Barbecued half of Noah’s ark and jumped inside a lowered car
With tinted windows while I’m rippin’ indo
Even though I’m sober, but that don’t mean a thing though
(Come here, son) {bang}, I could be dead any minute
They want me out the way, in the grave or the prison
A slave to the system so I’m talkin’ on the mic
To bring black back in fashion as I walk into the light

The clock ticks on (on, on)
Numbers over the face (face)
Every day is a victory
In this invisible race

I will always begin knowing I will never finish
I will always begin knowing I will never finish
I got too much to do
I could be dead in a minute

Throw me the keys to the Lambo, notify the fam though
Call the Ambos, I’m goin’ out like Rambo
Suicide by cop, are you alive or what?
The crisis of midlife got me swinging this Bowie knife
My life is just throwin’ dice and livin’ on borrowed time, I’m
Clappin’ students like I’m bowlin’ for Columbine
The strong and the silent type throw caution to the wind
Gettin’ drawn and quartered, forcing every horse to drink
It’s the awesome force within, thing I’m forced to win
Jesus, you crossed me once but never crossed again mate
Ya kid get a big home and lovely foster kin
Feel awful for the orphan but that’s what imposters get
Let my epitaph read: “come down here and say it”
I’ll be hauntin’ all your prayers and fuckin’ up your séance
I lived half your life but lived twice as nice
I did twice the stuff and lived half the time

I will always begin knowing I will never finish
I will always begin knowing I will never finish
I will always begin knowing I will never finish
I will always begin knowing I will never finish
I will always begin knowing I will never finish
I will always begin knowing I will never finish
I will always begin knowing I will never finish
I got too much to do
I could be dead in a minute
I could be dead in a minute
I could be dead in a minute",https://genius.com/Ab-original-dead-in-a-minute-lyrics
Sorry,Reclaim Australia,2016,"I'm sorry
You're sorry
La di la da di la dah la
I'm sorry, you're sorry
You caught some feelings from me
I might just kill somebody
La di la da di la dah la
I'm sorry, you're sorry
You caught some feelings from me
I might just kill somebody
You make me feel some kind of way
La di la da di la dah la
La di la da di la dah la
La di la da di la dah la
You make me feel some kind of way

Hey B! I said, catch me politickin with this politician ripped him out of office
I promise, we keep it G without a thousand dollars
O our name sake, me and B the same name in camouflage
Dropped so many s's off my chest they it abotage
Camo cars, looking for that buzz like I'm a land on Mars
They tried to ride along, but none could ever handle bars
Heavy on the halion my strings bring Adele'n
Eureka on the speaker that must mean that I'mmagellin
Now I'm back so they stepping, and I'm black so they stressing
That the fact that my weapon is just that - I'm black
So they terrified, put the song on record so it never dies
I did the Wrongs so my son could always get it right
What's being known if you ain't ever leaving home and speakin' on it
You want a gimmick? Try being honest
That's a rare commodity in this here economy
But ayy, me n' B'll make em all C like Pam & Tommy Lee

I'm sorry, you're sorry
You caught some feelings from me
I might just kill somebody
La di la da di la dah la

I took that white money, turned that to my money
Round up the squad, don't worry who I sign buddy
You don't like me or T? That's just fine honey
Talkin' all that bullshit and now they tryna hide from me
Please Briggs you don't wanna shoot messengers
But I wanna do somethin' to leave the messages
Livin' proof you're gonna learn what the lesson is
You fuck around and I'm a have to make a mess of yas
I got a letter from the government, took it where my oven is
Cooked it on the stove top, fuck 'em I want none of it
I asked 'en' where my cousin went? You had him in your fucken pen
Killed him, got a holiday, and that's not a punishment
So line up the white like I'm Maradona
You fucked around made do some shit that I don't wanna
Apologies don't follow me or you're a goner
I know you're sorry, and I'm sorry but I gotta

I'm sorry, you're sorry
You caught some feelings from me
I might just kill somebody
La di la da di la dah la
I'm sorry, you're sorry
You caught some feelings from me
I might just kill somebody
You make me feel some kind of way
La di la da di la dah la
La di la da di la dah la
La di la da di la dah la
Here come the pallbearers
Yeah
Bury, bury, bury you deep
Deep down down down down
La di la da di la dah la
Six feet under",https://genius.com/Ab-original-sorry-lyrics
Blaccout,,2018,"Y'all feel that?
Y'all feel that?

Mosh, mosh, mosh, mosh
Mosh, mosh, mosh
, y'all feel that?
Mosh, mosh, mosh, mosh
Mosh, mosh, mosh
, y'all feel that?
Mosh, mosh, mosh, mosh
Mosh, mosh, mosh
, y'all feel that?
Mosh, mosh, mosh, mosh
, y'all feel that?
Mosh, mosh, mosh
, y'all feel that?

Just blackout
, we pulled the plug
Y'all feel that?
Just blackout
, we pulled the plug
Y'all feel that?

I'm just sellin' what they buyin'
They just tellin' all them lies
They got it black and white
That's just kindling for my fires
This minefield is my field
This bomb shit 
These bones aren't what time heals
It's my time, how that feel? ()
Cameras on every avenue ()
Problems with your attitude ()
You listed, you  ()
Suspicious, then they grab you (give it up)

Mosh, mosh, mosh, mosh
Mosh, mosh, mosh
, y'all feel that?
Mosh, mosh, mosh, mosh
Mosh, mosh, mosh
, y'all feel that?
Mosh, mosh, mosh, mosh
Mosh, mosh, mosh
, y'all feel that?
Mosh, mosh, mosh, mosh
 y'all feel that?
Mosh, mosh, mosh
, y'all feel that?

What you doin' with your life, boy?
Stand up and then fight, boy
You wanna change their minds, boy?
You wanna start them fires, boy?
What you doin' with your life, girl?
Better stand up and then fight, girl
You wanna change their minds, girl?
You wanna start them fires, girl?

Yeah, the big bully built the wall (y'all feel that?)
Yeah, the big bully killed 'em all (y'all feel that?)
Huffin' and puffin', they blew it (blew it)
I don't get stopped, I get through it ()
Y'all step off when I step in
Check out when I check in
Then big bucks in the business
They can't even tell  shit  the mud

Y'all feel that?
Mosh, mosh, mosh, mosh
Mosh, mosh, mosh
, y'all feel that?
Mosh, mosh, mosh, mosh
Mosh, mosh, mosh
, y'all feel that?
Mosh, mosh, mosh, mosh
Mosh
 (go), 
mosh
 (go), 
mosh
 (go), y'all feel that?
Mosh, mosh, mosh, mosh
 y'all feel that?
Mosh, mosh, mosh
, y'all feel that?

Said, ""No, I don't"", said, ""No, I don't""
Said, ""No, I don't believe that"" (we don't believe you)
Said, ""No, I don't"", said, ""No, I don't""
Said, ""No, I don't believe that"" (we don't believe you)
Said, ""No, I don't"", said, ""No, I don't""
Said, ""No, I don't believe that"" (we don't believe you)
Said, ""No, I don't"", said, ""No, I don't""
Said, ""No, I don't believe that"" (y'all feel that?)

 blackout, what, what
What the fuck we doin'?
Y'all feel that? (just blackout)
What, what
What, what
Y'all feel that?
Y'all feel that?",https://genius.com/Ab-original-blaccout-lyrics
