title,album,year,lyrics,urls
Coffin,2013-2015 Songs,2015,"Lil' Chubbs

Yo, this game about to drive my mind cuckoo
I’m not your rival, I'm your fucking style guru
All from a couple shit freestyles up on my YouTube
Shout to ballerinas; like it? I buy two-two
I wouldn't lie to you, I put my hand to God above
I used to be mad he didn't answer us
But then I got more popular
Real as fuck, being honest here
I dreamed of this life on the bus
But last six months I needed drugs
For every time I thought of her
I saw the white van coming for me
But it was just the courier
Dropping off awards I won by accident
I'm like Forrest Gump
A message to my enemies
Thanks for being in my fairy tale
I lay with models like everyday
And treat my laurels like a bed of nails
I used to steal attire as a minor
From Rundle Mall Myer to look flyer
I've lived my life to the fullest and my heart is still ticking
Then I’m going straight to hell
I'm tryna chill with Little Nicky

Angel in my phone, she just said ""Hey""
And I been tryna hit since the tenth grade
Told her, ""I'm for now, not every day""
Because I'll be a problem 'til I’m in my coffin
Angel in my phone, she just said ""Hey""
And I been tryna hit since the tenth grade
Told her, ""I'm for now, not every day""
Because I'll be a problem 'til I’m in my coffin

There's two things I never miss, sessions and women
That's a lie
But lying feels just that much better than wishing
There's two things that I don't mix
Friendship and ambition
I feel like Axl Rose in '87, the present edition
I've got all the girls that heaven is missing
My guardian angels
I got to start going to church
'Cause my life's so good, I got to be thankful
I'm having trouble with falling in love
But fucking, I'll always be able
And I'm such a patriot
Getting more head than a cross into Cahill
I might be the world's most surrounded loner
No wonder that my nose is powder-coated
I know nothing is forever, now's my moment
When you see me, *cough*, now you choking
Yes, I love running this city, I should run for city office
But I'm too busy running the city to run the city
Now that's a tricky problem
And I'm sleeping on their mixtape
Should have called it Egyptian cotton
I get beauty sleep on their catalogues
That's why I’m so pretty looking

Angel in my phone, she just said ""Hey""
And I been tryna hit since the tenth grade
Told her, ""I'm for now, not every day""
Because I'll be a problem 'til I’m in my coffin
Angel in my phone, she just said ""Hey""
And I been tryna hit since the tenth grade
Told her, ""I'm for now, not every day""
Because I'll be a problem 'til I’m in my coffin",https://genius.com/Allday-coffin-lyrics
Harpoon,A Skateboard Soirée - EP,2012,"Uh, thought I wasn’t gonna flex on this EP, huh?
Yeah, Allday, let’s do it

I’m not emotionally retarded, I’m close to being hardened
'Cause I’ve seen a lot of arrows and mostly been the target
If I could take it all back to the moment that I started
Well, I wouldn’t change a thing, man, it’s not only me that suffered
Well, my life’s a rollercoaster, it’s up and down
You guys have balls up in your mouth like a hungry clown
When I was young I couldn’t get a girl to come around
But now they come before I even get my chubby out
Anyway, I guess it’s fair to say they love me now
'Cause everyday I wake up coated in a hundred towels
And everyday I’m taking rappers for their bloody scalps
And punch them in their mouth like Derek in the cubby house
First they diss me, then begin admitting things
I like this indie scene kid in ill-fitting jeans
I scone every jam just so I can swim in cream
I just wanna print my own money like the British queen

Uh, it’s Allday, huh
Always on the grind for the paper
Middle finger to the hater
'Cause I will never break, nah
It’s Allday, huh
Always on the grind for the paper
Middle finger to the hater
'Cause I will never break nah

I met a girl with an upside, but now I’m feeling upset
'Cause I got all in and now I’m wondering what’s up next
It’s all the walls that I erected in my dumb head
Preventing me from humanly connection that I love to get
Mama said, ""I don’t give a fuck"", now your mama's dead
I cut her leg wide open just to see the colour red
Then I let the sucker bleed till there was nothing left
How am I inspired to puncture flesh? Well, drugs, I guess
Dash my family's hope, we don’t have any hose in my garden
I’m retarded from the fucking grams I smoked
Not a barrister, embarrassed getting tacky clothes
There’s no lights in my house, I smoke crack from globes
That’s why you see me on the corner and my hand is closed
I’m gripping Ruby Rose's old pairs of pantyhose
Antisocial taking mushrooms in dark rooms
Humming tunes, killing any intruders with harpoons

Uh, it’s Allday, huh
Always on the grind for the paper
Middle finger to the hater
'Cause I will never break, nah
It’s Allday, huh
Always on the grind for the paper
Middle finger to the hater
'Cause I will never break nah",https://genius.com/Allday-harpoon-lyrics
My World,A Skateboard Soirée - EP,2012,"Welcome to A Skateboard Soirée
Beats by C1, raps by Allday, everyday
Let me introduce myself

I'm twenty-one and stupid
I tell all my poems to everyone through music
I just moved alone to a new city
It's kinda cool but I wish I had my crew with me
Not to mention my dad and my nana Mary
Or my grandfather, who I had to bury
And I'm missing my little brothers too
And my mother too, and my cousins too
And the innocence I had just a year ago
And I'm drinking, but it's not any clearer though
There's many nights here when I feel alone
But even when I go back now I ain't really home
The future side of it is on my mind a bit
Seems like only yesterday I was a tiny kid
And I know it all seems like some minor shit
But my faith in myself is dying quick

So if you come and get me
I'm gonna run away from here
So maybe come and tell me
Baby, you gotta stay right here
In my world, na-na-na-na na-na

Please don't tell me you love me so
'Cause I'll come running right on home
And please don't tell me you love me so
'Cause I'll come running right on home

So if you come and get me
I'm gonna run away from here
So maybe come and tell me
Baby, you gotta stay right here
In my world, na-na-na-na na-na

And I'm insecure, got no inner peace
Got my inner demons all roaming in the streets
And I'm insecure, got no inner peace
Got my inner demons all roaming in the streets
And I'm insecure, got no inner peace
Got my inner demons all roaming in the streets
And I'm insecure, got no inner peace
Got my inner demons all roaming in the streets

So if you come and get me
I'm gonna run away from here
(Runaway, runaway, runaway now
Runaway, runaway, runaway now)
So maybe come and tell me
Baby, you gotta stay right here
In my world, na-na-na-na na-na

""That's funny, that's really funny""
""No, no...""
""Mm-hmm""
""Stop it!""
""Ready? This is from me""
""Nice and drunk!""

Uh, they say you got one, that's cool
Well nowadays everybody's got two
But if you had her, then you get it
Well mine's better than yours, there, I said it
'Cause man, I miss my girl the mostest
Trying to focus on this big world of showbiz
She's back at home studying scholarly
And I'm so proud of her commitment to her law degree
But she should be here courting me
Skype every night, looking at her eyes longingly
There's pain in 'em, that's how I know that
If a guys sweats her, she will tell 'em, ""No, thanks""
And if a girl sweats me, I tell her, ""Nah""
But most of the time I stay home pending bars
Here in this bedroom with my heart black
Just waiting for her plane on the tarmac",https://genius.com/Allday-my-world-lyrics
Not So Bad,A Skateboard Soirée - EP,2012,"I'm not so bad, I'm not so bad, I'm not so bad
Chubby boy, uh

I talk a lot of shit, tell porky pies
If you could crawl inside my mind, you'd be horrified
But let me tell you what it's like
It's mostly dark clouds, it ain't often light
Demons in our minds, we sin
Displeased in a god we don't believe in
And I see things better when I'm drinking
Now I'm sleeping in the day, awaking in the evening
Am I really so wrong, or just young?
A little immature but come on, it's just fun
But am I really so bad, or just dumb?
A little immature and I'm coming undone, like
Da-da-da-da, da-da-da-da, da-da-da-da-da
Da-da, da-da-da-da, da-da-da
Uh, so now I'm wondering

Am I really so wrong?
Am I really so bad?
I should have known all along
That I'm not so bad

You don't know what I did just to get here
Every year, thinking about next year
Every day, hoping for a better one
But most of the time they never come
Watch the news and we feel like monsters
So everybody's problem's on my guilty conscience
And if I had a million dollars
I'd throw it in the river, watch it sink to the bottom
And if I had a mansion in the hills
I would throw a big party full of cannabis and pills
'Cause I am not an example for your kids
I live free and I rap the way I live, like
Da-da-da-da, da-da-da-da, da-da-da-da-da
Da-da, da-da-da-da, da-da-da
Uh, so now I'm wondering

Am I really so wrong?
Am I really so bad?
I should have known all along
That I'm not so bad

Fake New Era caps, scuffed up Emericas
Our parents blame us for fucking up their marriages
We blame them for never fucking telling us
How two people can make it if you care enough
Family portraits, family court dates
So we all get higher than divorce rates
And all of us are born great
'Til they take away our freedom and we all break
'Til they take away our ambition
I'd rather be a killer than a damn victim
Am I really so wrong, or is it you?
Am I really so bad, or is it you? Like
Da-da-da-da, da-da-da-da, da-da-da-da-da
Da-da, da-da-da-da, da-da-da
Uh, so now I'm wondering

Am I really so wrong?
Am I really so bad?
I should have known all along
That I'm not so bad

I'm not so bad, I'm not so bad, I'm not so bad
I'm not so bad, I'm not so bad
I'm not so bad, I'm not so bad, I'm not so bad
I'm not so bad, I'm not so bad

Uh, fuck my enemies, hope you all choke and die
Fuck all bitches, everything you spoke was lies
Fuck the people in high school who called me ugly
I hope you get salmonella from your lunch meat
And I hope you get diabetes
And I hope you get hepatitis A, B, C
Hope you get the whole hepatitis alphabet
Alldeezy",https://genius.com/Allday-not-so-bad-lyrics
Pyramids & Paris,A Skateboard Soirée - EP,2012,"Soon as I get home, I'm gonna call you
Yeah, you'd better call
And tell you how much I love you
You do love me, motherfucker
I feel so good
You do feel good
I love, I love, I love, I love, I love you

I'm faded so much, I'm such a reckless dude
Done so many things I said I would never do
Gone to so many places I should have never been
Puffin' evergreen, shots to everything
These late nights make for the best times
That's why I talk horse like I'm racing 'em equines
Drive around drunk, I'm mistaking the red lights for green
With my sunglasses on, my impaired sight
Now I'm just faded again, fucking brainless again
Fucking chasing the praise of these strangers again
Fucking jaded again, just trying to make it again
'Til everybody love me like I'm Raymond again
And damn, devilish as the earth melts
Tsunamis aren't a worry, I only see 'em as surf swells
That's why they all follow me like the herb smell
Town crying, my dick swinging like church bells

Bottom of the bottle, tip it
Sold my soul, now all I got is spirits
All I get is faded as hell these days
All I get is faded, faded
Bottom of the bottle, tip it
Sold my soul, now all I got is spirits
All I get is faded as hell these days
All I get is faded, faded

Marijuana and vodka, that's my own blend
My mind is broken, man, my mind is broken
And my hem sewn is the size of Stonehenge
Stone grey iris but my spirit is so red
And I should really know better but I don't yet
We're just hairy children, we're never grown men
And now I'm feeling omnipresent in this moment
'Cause now I'm feeling higher than a crows nest
And I'm so heavy already, I'm like space boots
Unwinding, I'm duck diving in Grey Goose
Drunk driving, the sun shining, the day's new
But I'm still hitting this shit hard like I'm Babe Ruth
I need to put my head on straight
I'm passed out, 'cause I'm a outcast like André
Hide now in an enclave, off my face
Can't concentrate from the vodka taste

Bottom of the bottle, tip it
Sold my soul, now all I got is spirits
All I get is faded as hell these days
All I get is faded, faded
Bottom of the bottle, tip it
Sold my soul, now all I got is spirits
All I get is faded as hell these days
All I get is faded, faded

Smoking on the cabbage, bitches, who's the baddest?
Pussy getting ravaged, you know
In my dreams, I never feel sadness
'Cause I dream of pyramids and Paris
If I shall die before I wake
I pray the Lord my Soul to take away
Just take it away, just take it away
Just take it away, motherfucker",https://genius.com/Allday-pyramids-and-paris-lyrics
Run A Mile,A Skateboard Soirée - EP,2012,"Baby, everything has changed since that Friday
Saturday, then every single day
Me without you, I'll be mental in the brain
I can stare at you forever, count the freckles on your face, uh
And that would be my lucky number
All you are is music in the air trying to la-la-la
Nothing other than you, you're my atmosphere
I couldn't breathe at all if I didn't have you here
And if a meteor should happen to appear
We can burn it up, so there's nothing you should fear
I say the sweetest things to your ears
Then prove them over time through the years
So tell me that you want me 'til you can't stop
I'll tell you that you want me til your heart stops
I'll say it every day until the penny drops
I would run forever, to the very top

But you don't believe me, baby
Every time I try to describe what I feel
So if you're up there, baby
You know I will run a mile up a hill
Just to be by your side
I'll be so tired, I could die
But the feeling is right
You're the reason I run a mile up a hill

You call me ""Jigga"", I call you ""Yeezy""
The corner-piece to my puzzle, you sort of complete me
Now I wonder if I got a genie
'Cause I used to say love, it doesn't have a lot of meaning, nah
But you tended all my wounds
And I don't need a doctor 'cause my specialist is you
You know the answer, you're the medicine I choose
But the side effect is now my heart is swollen 'til it's huge
Well, I blame it on me and you
All the love songs on the radio ring true
You're my autumn love and the summer fling, too
And winter and don't forget spring, too
Your eyes are deep blue, sky blue
When I look at you, I lose sight of my blues
So I put this song on your iTunes
To remind you that I'll always be beside you

But you don't believe me, baby
Every time I try to describe what I feel
So if you're up there, baby
You know I will run a mile up a hill
Just to be by your side
I'll be so tired, I could die
But the feeling is right
You're the reason I run a mile up a hill
But you don't believe me, baby
Every time I try to describe what I feel
So if you're up there, baby
You know I will run a mile up a hill
Just to be by your side
I'll be so tired, I could die
But the feeling is right
You're the reason I run a mile up a hill

Baby, I don't want you to go
And baby, I don't want you to go
I know your aeroplane's leaving tomorrow
But baby, I don't want you to go
But I know that you gotta go
And I know that you gotta go home
'Cause your aeroplane's leaving tomorrow
But baby, I don't want you to go",https://genius.com/Allday-run-a-mile-lyrics
So Good,A Skateboard Soirée - EP,2012,"All the shit that you've been through
I don't ever wanna see you down
And I gotta say, ""Me too""
'Cause I've been where you are right now

I was a bright child, wide eyed, my mind was open
Highly motivated to succeed, quite devoted
But eventually I noticed every time I tried to focus
That my mind was kind of bogus, so we sought a diagnosis
I had hypersensitivity; ADD, I'm fidgety
Basically they want to medicate me 'til it fixes me
Man, I don't really think this is the thing for me
I know I'm kind of shitty, but I'm just trying to live in peace
You wanna make me to a zombie 'cause you're lazy
And it's easier on you to say, ""Sorry, you're crazy, man""
And if you don't take this here, you're gonna fail exams
Wait a year, your fate is that of a vagrant tramp
But this ain't making sense, I gotta take a stand
They say I couldn't live without it, well, I say I can
'Cause I never took those poison pills
And I failed school bad, but my choice was still

Good, I feel good
Knock on wood 'cause I wanna feel this way tomorrow
Mono, mono, mono, mono
Good, I feel good
Knock on wood 'cause I wanna feel this way tomorrow
Saying mono, mono, mono, mono

We making bread like Helga's while the rest die helpless
So excuse me for pursuing dreams, guess I'm selfish
Rocking hand-me-down clothes but I'm the eldest
So how the hell does that work out, Mum, can you tell us?
And I know I roll around with some red-eyed fellas
We all wanna be king like the dead guy in Memphis,
Could be living stable but I'd rather live it fast
'Cause I grew up looking shitty, all the other kids would laugh
Now I heard somebody say that I look upper-middle class
Well that's my fucking aim, I'll tell the gutter, kiss my arse
And I don't want to spit these bars but I don't have shit else
So when I'm rapping you can tell that it's my actual self
And so I brag about a girl, whatever tactic helps
To make me feel a little better 'bout the hand I'm dealt
And damn, I'm so ashamed, but at the same time
I know it's all good, I'm having a great time
It's all good

Good, I feel good
Knock on wood 'cause I wanna feel this way tomorrow
Mono, mono, mono, mono
Good, I feel good
Knock on wood 'cause I wanna feel this way tomorrow
Saying mono, mono, mono, mono

All the shit that you've been through
I don't ever wanna see you down
And I gotta say, ""Me too""
'Cause I've been where you are right now
Doesn't matter what you've been through
I don't ever wanna see you down
And I gotta say, ""Me too""
'Cause I've been where you are right now

Good, I feel good
Knock on wood 'cause I wanna feel this way tomorrow
Mono, mono, mono, mono
Good, I feel good
Knock on wood 'cause I wanna feel this way tomorrow
Saying mono, mono, mono, mono
Good, I feel good
Knock on wood 'cause I wanna feel this way tomorrow
Mono, mono, mono, mono
Good, I feel good
Knock on wood 'cause I wanna feel this way tomorrow
Saying mono, mono, mono, mono",https://genius.com/Allday-so-good-lyrics
The City,A Skateboard Soirée - EP,2012,"Cheap highs in the night getting rained on
Faded in the city that I came from
Girls told me fibs, I was too blind to hear 'em
Put apples in the bucket so we bob like Dylan
Remember, driving around an all white Nissan
Thinking about the future using foresight vision
Listening to Dad as the porch light lit him
Welcome to the world of the poor white children
Story of some middle class mall rats
Prank calling everybody in our contacts
Drinking too young, drinking too much
(Drinking too much) Right until we threw up
Then we grew up now, we’re trying to prove stuff
Excuse us, trying to get ahead like a moose tusk
I guess that I’ve been missing it lately
This here’s for the city that shaped me

Wo-wo-woah, I don’t even know
Thinking you can fly, maybe even so
You ain’t fly like me
You ain’t high like me, though
These nights in the city got me feeling out of my mind
These nights in the city got me feeling out of my mind

Yeah, I was a kid in the city that’s sun-soaked
Where some folk smoke a whole bag in one toke
Where marijuana is your partner, it’s marital
The city with more green than a salad bowl
In the city where the barrels roll
And my old girls looked like Bratz dolls
And my new girl looks like a true menace
Used to drive around faded, being too reckless
Recall all the memories in one glimpse
Recall my first loves as a young prince
Got no arse, I had girls with bum chins
Why I celebrate all the dumb things I’ve done since
All the fun shit, ignorant dumb shit
Why do we always gotta try to be smart? Shit
Rekorderlig cider, jet lighter, my blunt's lit
And my girl’s hotter than inside of an armpit

Wo-wo-woah, I don’t even know
Thinking you can fly, maybe even so
You ain’t fly like me
You ain’t high like me, though
These nights in the city got me feeling out of my mind
These nights in the city got me feeling out of my mind

Uh, yeah, the same thing on my mind in my cup again
Make my house feel like Buckingham
Try to understand we don’t have a decent plan
So we keep weed in hand 'til we feel like Peter Pan
Corners we reach fast, underneath stars
Me, deep in love in Dad’s dark green Saab
I'm ticking all the days off the calendar
One hand driving through the hills like a rally car
Faded, never fazed by the real world
And I’m looking real sick but I feel well
And I’m looking real young but I feel aged
Pill taste got me feeling like Bill Gates
Swear I been there, heaven is a real place
But sometimes the old city's a steel cage
With me and my pale-faced compadres
Living out a skateboard soirée

Wo-wo-woah, I don’t even know
Thinking you can fly, maybe even so
You ain’t fly like me
You ain’t high like me, though
These nights in the city got me feeling out of my mind
These nights in the city got me feeling out of my mind

Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh
Oh, oh, oh, oh, oh

Wo-wo-woah, I don’t even know
Thinking you can fly, maybe even so
You ain’t fly like me
You ain’t high like me, though
These nights in the city got me feeling out of my mind
These nights in the city got me feeling out of my mind",https://genius.com/Allday-the-city-lyrics
When I’m Gone,A Skateboard Soirée - EP,2012,"I can rest my sleepy eyes
And know it's all gonna be alright
When I'm gone, when I'm gone

Up February night, born in a flashing light
Another life begun thanks to Barry White
And I'm very white, yeah, my skin is crystal
Little soldier to mould into an individual
Now I'm in the middle, the world revolves around me
It's bound to be about me 'til I'm old, then I'm out-y
'Til I'm gone, 'til I'm gone
The world puts it hands on you and it chews you up
Spits you out, you that you choose your path
We can never do enough
So we try to find some beauty in love, the stupid stuff
We are fatally flawed, we're only human
So in the night hope I leave only ruins
When I'm gone, when I'm gone
When I'm die and put an end to this confusion

When I'm gone, I can R.I.P. in the clouds
And ask God what it's all about
When I'm gone, when I'm gone
When I'm gone, I can rest my sleepy eyes
And everything's gonna be alright
When I'm gone, when I'm gone

Man, what is this life? Shit, you're all getting it?
Me, I'm just choking up, need more Ventalin
Me, I'm on everything medicine when I'm low and blue
They told me much once more and I know it's true
You can never satisfy a stomach that is bottomless
I think I've kind of got a grip on what the problem is
I'm gone, already gone
Yeah, more bitches, that's what I was wishing for
If I had three wishes, I'd wish for four
We work our fingers to the bone and get better shit
Then we can't find a second to spend the shit
And if heaven exists, I'll never get in
All the deadly sins I did and terrible things
I'm gone, I'm so far gone
Remember me, the devilish prince

When I'm gone, I can R.I.P. in the clouds
And ask God what it's all about
When I'm gone, when I'm gone
When I'm gone, I can rest my sleepy eyes
And everything's gonna be alright
When I'm gone, when I'm gone

Maybe I should have done better
Maybe I should have stayed
You could never show me evidence
That this is our fate
And I know you're so headstrong
And I'm just fallen snow

But when I'm gone, but when I'm gone
Just let me go
But when I'm gone, but when I'm gone
Just let me go
But when I'm gone, but when I'm gone
Just let me go
But when I'm gone, but when I'm gone
Just let me go
But when I'm gone, but when I'm gone
Just let me go

When I'm gone, I can R.I.P. in the clouds
And ask God what it's all about
When I'm gone, when I'm gone
When I'm gone, I can rest my sleepy eyes
And everything's gonna be alright
When I'm gone, when I'm gone

""Chris, you're recognised as one of the best pros ever. What tips do you have for anyone who wants to be a pro skater?""
""Just concentrate on your skateboarding and don't get confused with all the business. You've gotta concentrate on that instead of concentrating on who your sponsor is and what they do for you. That'll come to you when you skate good, and that's all you should concentrate on.""",https://genius.com/Allday-when-im-gone-lyrics
A-Team,Euphoria,2012,"'Cause we're just under the upper hand
And go mad for a couple grams
And she don't want to go outside tonight
And in a pipe she flies to the Motherland
Or sells love to another man
It's too cold outside
For angels to fly
Angels to fly

It goes like this, uh
See, when I was young I met a chick
She said ""Hello"", I went red a bit
I just moved school, I was all alone
So her ""Hello"" made me more at home
We talked a bit on the phone
But she had up a wall of stone
She told me that her parents sucked
I was like, ""Well, fair enough""
I just regret I never asked
Why the hell you so scared of trust?
And what the hell's inside your soul?
'Cause I don't believe your smile at all
Guess it slipped my silly mind
I couldn't tell this at the time
She was depressed and then she left
Haven't seen her since that recess
I guess she's

'Cause we're just under the upper hand
And go mad for a couple grams
And she don't want to go outside tonight
And in a pipe she flies to the Motherland
Or sells love to another man
It's too cold outside
For angels to fly
Angels to fly

A year ago my friend mentioned her
""Remember her?"" I'm like, ""Yes, sir""
Haven't thought about her in forever
I hope she's doing a lot better
He's like, ""Ah, nah, she's lost control
I saw that chick, she's on the pole""
I'm like, ""What pole? The voting poll?
The North Pole? The totem pole?""
He's like, ""Nah, dog, she's stripping now""
I'm like, ""Nah, I'm sure you're tripping out
You're smoking crack and sniffing powder""
That couldn't be, she wouldn't think about it
She's too proud, she's too smart
She's too nice, she's too young
But now I know something new, huh?
How far she'll go to shoot up
How far she'll go to shoot up
How far she'll go to shoot up

'Cause we're just under the upper hand
And go mad for a couple grams
And she don't want to go outside tonight
And in a pipe she flies to the Motherland
Or sells love to another man
It's too cold outside
For angels to fly
Angels to fly
Angels to fly
Angels to fly",https://genius.com/Allday-a-team-lyrics
