title,album,year,lyrics,urls
The Key,Area Famous,2018,"Uh
Let me start out with a question, let's treat it like confession
Can see that you been stressin', tell me, are you okay?
Every day has been a lesson, been prayin' for a blessin'
But nothing ever changes so you hope for better days, yeah
Ask me about where I been,  been at war, I been battlin'
Placed some bets that I cannot win, come for air, I need oxygen, Lord
This ain't on TV, nah, this ain't a dream
Made it out, now we're chasin' greater things

'Cause I been down for a minute, but I had to bring it back
The world is like a dog and best believe that we the cat
If you feelin' isolated, a loner even, try
A little bit of love will be the key and that's a fact

I need your love, baby (hey)
Can't get enough, baby (yeah, yeah, yeah)
We want your love, baby (love)
I need to know ya, I need your lovin'

Yeah, I think I'm goin' love crazy, but I ain't just talkin' to the ladies
Human touch that I'm cravin', lost that, this life that I'm chasin'
Told myself I want greatness, on the wall I had the Mercedes
But how times can change, 'cause now my baby wanna have a baby, I'm like
""Hold up, wait a minute, I'm still out here chillin'""
She like, ""Hold up, wait a minute, I need some commitment""
I'm gon' come back and give you the love that you want
But for now just have my back until we take off

'Cause I been down for a minute, but I had to bring it back
The world is like a dog and best believe that we the cat
If you feelin' isolated, a loner even, try
A little bit of love will be the key and that's a fact

I need your love, baby (hey)
Can't get enough, baby (yeah, yeah, yeah)
We want your love, baby (love)
I need to know ya, I need your lovin'

They say you're a dreamer until you get on
But then when they see ya they try to get some
Even though that I need ya, 'cause your day one
I need your love, yeah, I need the lovin'
They say you're a dreamer until you get on
But then when they see ya they try to get some
Uh, you my day one
I need your love, yeah

Check it out, check it—
Out, one two, one—
Two, all right, all right
Hey, yeah

Everything I did, man, I gotta be proud, had to keep up when they kept me down
Proved myself, man, I did those rounds, now I wanna be claimed like a lost and found
Word is  make this pact, when it come to you never turn my back
'Cause a little bit of love would be the key and that's a fact

I need your love, baby (baby)
Can't get enough, baby ()
We want your love, baby ()
I need to know ya, I need your lovin'
I need your love, baby
Can't get enough, baby
We want your love, baby
I need to know ya, I need your lovin'",https://genius.com/B-wise-the-key-lyrics
Feel Something,Area Famous,2017,"I just wanna feel

I've been telling 'em for years I don't think they don't pay no mind, 'cause there's people that don't get me yet
Two-one-seven-oh,  raised, mind frame the same, catch me on the set
Six boys in a five seater, no rego, but you know we got the drinks on deck
Cruise past paddy wagons, everybody be cool, 'cause they haven't left the area yet
Yeah, that's my cuzo, that's my brodie, that's my best friend, that's my G
If we up to no good and they ask me 'bout it I can't see
Put me on that stand, so I can take that oath and swear to Christ
God already knows what I'm like, so I might just tell that lie
Crusin' round till we get in strife, on repeat, yeah, we pumpin' Scribe
Not many, if any, I know a couple motherfuckers not ready

These are the days that I could never trade for nothing
We just young and dumb, hustlin', always getting into something, Hol' up

We standing centre stage, spotlight
We go from night to day, all right (we do it)
We vibin' off away, and I might
Pull up to the spot, put like fifty on my 

I just wanna feel, feel, feel, feel something, yeah
I just wanna feel, feel, feel, feel something, yeah
Pour it in a cup and spill, spill, spill something, yeah
That there is my blood, we fear, fear, fear nothing, yeah

Remember we were little brothers listenin' while the big homies talked
Now that we the big homies, calling shots like the boss
And we were area famous, black and white like the Raiders
Just for kicks we used to cover power lines with our trainers
Now the whole area's changing, you can tell by the faces
Man, I just seen my neighbour, he said I looked like a stranger
We used to post on the lawn and pump out tunes to the dawn
Bone Thugs-n-Harmony  all their songs
Then we would hit up the party, who get it, who get it started, we had the, we had the, uh
Everyone acting retarded, who got the hardest? Guess I just got it from 
Now I'm swimming, swimming, swimming, swimming in this world of bliss
And I really, really, really, really, really can't feel my lips
Uh, too many back to backs, we were crazy, that's a fact
Now it's time to settle down and move like Jigga, fade to black

Those were the days that I could never trade for nothing
We were young and dumb, hustlin'
Always getting into something
Hol' up

We standing centre stage, spotlight
We go from night to day, all right (we do it)
We vibin' off away, and I might
Pull up to the spot, put like fifty on my 

I just wanna feel, feel, feel, feel something, yeah
I just wanna feel, feel, feel, feel something, yeah
Pour it in a cup and spill, spill, spill something, yeah
That there is my blood, we fear, fear, fear nothing, yeah",https://genius.com/B-wise-feel-something-lyrics
The Code,Area Famous,2017,"If you’re not with the code you can lost
Small set of rules, but they do the most
Boys from the area you can’t get close
And I paid all my dues yeah they know the cost (they know the cost)
If you’re not with the code you can lost

I’m on my own time, don’t need your cosign
No time for your time, with the boys then it’s show time (yeah)
Pick apart the competition miss me with the diss and I stay on a mission
I say pick apart the competition miss me with the diss and I stay on a mission

Hey uh, Ninety-six man you know the rules
(?) bout to go to war, out here they call it school
Man I hate the country boy
Used to fuck around with me till I left the country
Now they all salute the boy
Grew big balls in an instant
Mike Tyson in my teens but we distant
I was knocking biggies out when the chose to run their mouth
You could meet the lord like it was a prisoning
Say a pray for the boys that are here
When the rise happened brother I was there
Redfern, Cronulla to Macfields
If you got the text message then you know the deal
Racial tension in the city it was getting high
Wasn’t from the area but we were always down to ride
Two-one-seven-oh, all the boys know the go
Cos we live by the code

If you’re not with the code you can lost (hey)
Small set of rules, but they do the most (they do the most)
Boys from the area you can’t get close (you can’t get close)
And I paid all my dues yeah they know the cost (they know the cost)
If you’re not with the code you can lost  (you can get lost)
If you’re not with the code you can lost
Small set of rules, but they do the most
Boys from the area you can’t get close
And I paid all my dues yeah they know the cost
If you’re not with the code you can lost

I’m on my own time, don’t need your cosign
No time for your time, with the boys then it’s show time (yeah)
Pick apart the competition miss me with the diss and I stay on a mission
I say pick apart the competition miss me with the diss and I stay on a mission

Doing the most in my Lancer, killing competition off like it’s cancer
Call me 
Allen Iverson, I’m the answer
Orange Bay and they bombard me like Fanta
I got all the moves, I’m just like a dancer
Give me top cos I could never romancer
All I wanna see is just a dollar sign
Why I chose a path rapping on the bass lines
Talk about base, i’m the man on the ground
You had a problem, call your man I’m around
You know the Niger boys be holding it down
It's been like that since I moved out to your town
I need the bank building up, counting digits
Just getting started, we're nowhere near finished
Percy like Miller, we build with no limits, cos'

If you’re not with the code you can lost
Small set of rules, but they do the most
Boys from the area you can’t get close
And I paid all my dues yeah they know the cost
If you’re not with the code you can lost",https://genius.com/B-wise-the-code-lyrics
Flex On,Area Famous,2018,"Oh yeah
Twenty-one-seven-oh shit
Ayy

Remember when I was around, ayy
Never would you hear me out, ayy
But now I bless 'em with the sound
I guess I gotta flex on, flex on, flex on
Remember when I was around (yeah, yeah)
Never would you hear me out (yeah, yeah)
But now I bless 'em with the sound (yeah, yeah)
I guess I gotta flex on, flex on, flex on, ayy

Crusin' round the city, I was higher than a ma'fucker
Link up with my guys and we be ridin' like a ma'fucker
Make up with my girl, yeah, she be finer than a ma'fucker
Flex out on a couch, work it out like 
'Member never used to be like this when I was comin' up
Ladies used to play me to the left like I'm a runner up
Nothing's changed, except your man's a fan, and he be on my stuff
Bank account's got a couple bucks, in the streets they show me love, woo
 hear me now
Ray Charles  ladies  see me now
Celebration night and everything was shouted
Snapchat stories saved, so later we can talk about it
Memories, now I get high and everything is gravy (so good)
Satin shirts with buttons open like we're from the eighties ()
Green room bigger than my bedroom, feelin' like we made
Now everything is all good

Remember when I was around (yeah, yeah)
Never would you hear me out (yeah, yeah)
But now I bless 'em with the sound (yeah, yeah)
I guess I gotta flex on, flex on, flex on, ayy

I got this whole shit reloaded
We got this other shit decoded
Yeah, I got everything you needed, 
It's  no money, you can't afford it
I got two or three, if you wanna pop it I got two of these
Roll around the city, I'm the man like what you used to be
Pull up to the venue unexpected, no RSVP
Man, I'm gone like RIP, wish me well with a eulogy
Like woo, hey, look at me now, my brother, you see me around
Remember was standin' in lines and lookin' for handouts, security pattin' me down
But now I pull up at the spot, look at the clock, two AM, bring yo' friend
Never gon' lock us out, rules don't apply, 'cause I put work in, hey

Remember when I was around (yeah, yeah)
Never would you hear me out (yeah, yeah)
But now I bless 'em with the sound (yeah, yeah)
I guess I gotta flex on, flex on, flex on
Remember when I was around (yeah, yeah)
Never would you hear me out (yeah, yeah)
But now I bless 'em with the sound (yeah, yeah)
I guess I gotta flex on, flex on, flex on

'Cause I got this whole shit reloaded, hey
We got this other shit decoded, hey
Oh yeah
Oh yeah
I guess I gotta flex on, flex, flex",https://genius.com/B-wise-flex-on-lyrics
Lead the Way,Area Famous,2017,"Said it’s time to wake up, last night was way up
Mummas in the kitchen and she cooking up that bacon
Man I gotta take her, gotta go and stack this cake up
Imma be late so don’t wait up
So when I say see you later
I’m a beast when it come to this I do it by myself
Or when I’m with the clique
My timing on the watch I check the wrist
We work when they party, that’s how we live
Told you put your faith and trust in me
Home top, that’s where we really wanna be
Secure a plan to feed the family
Sincerely yours Big brother B

Don’t change on me, just let it be
I make a promise to you, I’ll make you see
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)

Uh, moneys always on our mind, stress
Patience is a virtue, good things come to those who work
Let’s change the lesson, we been taught to fail ever since the beginning, now we’re winning
Thats how my sisters act no all happy days, the song we’re singing
Wind in our back, full sail ahead, when everybody else just keeping up
Late nights in the studio, beats in the club
Like bees in the trap, never easing up
I’m going for my, give me my space
Ain't supporting then get out of my face
You don’t like the words in my songs, wasn’t meant for you in the first place
Well this raps gonna be the blueprint to life, how things can change if I really get it right
Hooped in the range and I wanna get inside
We work for days didn’t happen overnight
Keep the fam close, stay grounded still
Wanna lead the way, then you gotta keep it real
I made the promise, always gonna break like steal
And still, and still

Don’t change on me, just let it be
I make a promise to you, I’ll make you see
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)
Don’t change on me, just let it be
I make a promise to you, I’ll make you see
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)

I know why I’m living like this
They wonder why I’m living like this
I don't care, tell ma just what it is
I don't care, tell pa just what it is
I know why I’m living like this
They wonder why I’m living like this
I don't care, tell ma just what it is
You can't tell on me, you my little sis
We came up together more then ever
I put you on my shoulders, lift you up
You looked at me just like like your biggest brother
We hold and fought the fam to keep the love
Everything we did was sacrifice
You did the crime, you know I took the time
The eldest born you know the sacrifice
I put that on my life won’t tell the lie

Don’t change on me, just let it be
I make a promise to you, I’ll make you see
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)
Don’t change on me, just let it be
I make a promise to you, I’ll make you see
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)
Let me lead the way (the way, the way)",https://genius.com/B-wise-lead-the-way-lyrics
Go Grrl,Area Famous,2018,"Cos’ you got it the best, always party the rest
And you know that I want it, I’m coming correct
And it’s on me, me, me to find a way to your heart
And best believe (leve-leve) I’ll be the light in the dark

Say welcome to my world, you know the one boy meets girl
Hope it’s like a fairytale, born in a wishing well
But if I’m gonna wish for something
It’ll be me you loving
Give you my time like it’s nothing
Tell the whole world we coming
Fly over the moon, over the sea, she be the sky
I be the breeze, kid so shy, birds and the bees
Can i take five for the girl of my dreams
Take a few shots in the back
Lay my life down on the line, never knew I do that
All my friends say when I gonna take you to the alter
Shit just where point where dat
Lil’ momma I came up just to be dud, nah so I had to bain up
But the old me, was a cruel me, had to do me
No one ever knew that I would change up
One day I will tell this story
Will it trade for the gold and the glory
And if this is a dream
Don’t wake me in the morning

Cos’ you got it the best, always party the rest
And you know that I want it, I’m coming correct
And it’s on me, me, me to find a way to your heart
And best believe (leve-leve) I’ll be the light in the dark
Cos’ you got it the best, always party the rest
And you know that I want it, I’m coming correct
And it’s on me, me, me to find a way to your heart
And best believe (leve-leve) I’ll be the light in the dark

Now all my fellas with me, say go girl, go girl
All my fellas with me, say go girl, go girl
All our ladies need a little loving
They do so just to get a little something

Tell me what have you done for me lately
At a stu all night actin’ crazy
Every time I hear the same excuse
Tryna make cash money like baby
She please don’t just waste my time
You know I had you down since you were one-nine
I ain’t gon’ fight with you over no girl
This ain’t the song and the boy is mine
Plus I gotta give a little respect
With a little bit of love on the next cheque
Then you wanna go to the islands, look good on the gram
You ain’t been yet, so you know I gotta take you there
Matter fact we’re gonna make it there
First time in designer stores, we’re getting lacy heels
Two kids from the south-west don’t know how to act drop change
I swear if thats what they call love, let’s tick all the above
As we fight then we fuck, cos we can’t get enough
Don’t even like to call me James, she just call me B
Might mess around and probably plant a seed

Cos’ you got it the best, always party the rest
And you know that I want it, I’m coming correct
And it’s on me, me, me to find a way to your heart
And best believe (leve-leve) I’ll be the light in the dark
Cos’ you got it the best, always party the rest
And you know that I want it, I’m coming correct
And it’s on me, me, me to find a way to your heart
And best believe (leve-leve) I’ll be the light in the dark

Now all my fellas with me, say go girl, go girl
All my fellas with me, say go girl, go girl
All our ladies need a little loving
They do so just to get a little something
Now all my fellas with me, say go girl, go girl
All my fellas with me, say go girl, go girl
All our ladies need a little loving
They do so just to get a little something",https://genius.com/B-wise-go-grrl-lyrics
Journal Entry,Area Famous,2018,"Man I mean i’ve been waiting for a long time
Feels so good bro, we fkn' worked for a minute
But we finally here now, I mean we finally here now
Shout out to all the boys man (yeah), all my ladies and shit
Free money and scrap (yeah)

I see the people round here
But where you been, I was nowhere to be seen last year
They want to know about the form and how developed the star
And then the blogs get it talking like I threw in the towel
Get that negative talk from round me, like I’m down and out
Feeling like Jigga in his prime, so ask about me
Im on my smoking nigga ciggy shit
Plus got them kerosene dream, got the city lit
You just a little fish swimming out of water, wedding my future daughter
Tell me what we got outta be working so I afford it
And if the problem won’t stop, tell the problem i’ll solve it
I guess I’m good for anybody, i’ve been out of order
I’m an S-Y bully keep the D for Pussy
No they ain’t gon’ like It but they can never shush me
Once tried to lock me out, but now we holding every keys
Swinging doors tell them watch their mouth
And let’s go baby, now let’s go baby
I feel like Biggy when he’s standing on top of the saying it’s all good baby baby
Man it feels so good, I mean it feels so good
We been working for a minute, I think we finally here now bro
I think we’re finally here now

I never thought i’d see myself on the road doing shows
Making more for thirty minutes then I did from nine to five
Now the numbers adding up, subtract stress from the cut
Now i’m finally taking care of me and mine, that’s what up
And that’s a grown man situation
You can miss me when tryna change the culture out here, like assimilation
Do your research, i’ve been there I’ve done that
Ive fell down, I’ve came back, I’m still here so can’t stab
Now it’s all about bags, got cash, i’ll call back
If it ain't bout that then miss me with your chat
Cos i’ve been out here hustling every since snapback
If you scope ain't that wide you might just fall flat
I made it on my own brodie
I stand tall on my own brodie
Now i’ve seen it all like a tour roadie
Came from the bench, i said it along
I can never be the last one standing all alone
Now let's go",https://genius.com/B-wise-journal-entry-lyrics
The Roast (Interlude),Area Famous,2018,"I was speaking to Wise, actually, the other day
And, um, we were talking, this is when we were young
We were at my house, at my crib playing PlayStation
Man, whooping his ass, you know how it go, bro
Tekken, Mortal Kombat, whatever it is, man
Whoopin' him, whoopin' his ass
But anyway, a bit of a get together at my house, man
'Cause my sister always had, like, mad shorties, like, older than us
We were young, me and Wise were hella young
And I remember, man, they were always looking at this guy like a snack and shit
And one day we were in the room playing, right
We playing, right, so the door busts open
Next thing you know, bro, got like two shorties walking through
And just start hooking up with Wise, bro
(Oh, you finally got here, huh?)
Oh, man, Wise, I was just telling them how
You were like a ladies' man back in the days, bro
Nah, nah, don't do that, man, you're lying, bro
You're lying
I see you got some ladies here, though, what's happenin'?

(And your girl's here too, what the fuck?)
You got exposed, got that whip

You shoulda told me there was some ladies around
Ain't none of my business, man
How's workin' though, man?
It's workin', man, I'm trying to get something
Trying to get this paper, huh?
Trying to make something, bro
Sitting here with you, bro, Dunlop 94 havin' ass
And I'm with you, man
It's like, yo, man, I'm thinking about getting matching Benzes
(In 10 days?)
No what did he say?
(Man, he said if he I gave you matching Benzes in 10 years)
Was it 10 years?
(10 years)
He said, yo, you talking about getting matches in 10 years?
I'm talking about 10 days, baby
That's what I mean, bro",https://genius.com/B-wise-the-roast-interlude-lyrics
No Questions,Semi Pro - EP,2016,"Look where we are
Look where we're going
Man, look where we came from
Back then you had to raise your son like a soldier
You definitely made one
Where I got my name from, Eagle of God
So I pray to the lord
Hoping the letters in my birth certificate brings me closer with my knees to the floor
After grandpa died, well soon I would notice a change
Your boy was becoming a man
But the man became a bigger boy all of the same
Life of an adolescent, doing things that were never tested
I was learning on the go, theory nothing like practice
How was I to know?
But we would have mad fun
When I lived on Gladstone
Can tell I'm my dad's son
'Link with the boys and we get into something
And fucks? We never gave one
Was this the way I was brought up?
Well my mum would kindly disagree
If you see how I was back then, you'd wonder now how I got a degree
Senior year man, that shit was great
High school was only a place to congregate
Out on the oval, lookin' for the bitches
We were just young and being misogynistic
Skinny brown boy, afro real frigid
Provin' to the lads this chick I can get with
Nerdy blonde thing, behind the demountable
Got my first biscuit, damn
Then I got my first real girlfriend after
I'm a big man so I'mma go harder
I was 19, she was 24, had enough of materialism and she wanted more
It never really mattered I was younger
All that mattered is I came with that young love
I was fascinated, infatuated
Until I heard she missed her time of the month
Wait. Wait

If I could take it back, I would live with that
And do it all the same
No questions
If I could take it back, I would live with that
And do it all the same
No questions

Yeah you ain't gonna like it but I'm just tellin' my story
So many reasons and factors I'm here that I just can't take all the glory
Remember the time we got locked in the fishbowl, the racist police were provoking
And in Liverpool if you had the wrong phone you'd get rolled, and sometimes we were rollin 'em
Thankful to Staff for showin' us raps
Me and Young Glove we would write in the kitchen
Thankful to Gasm for giving me beats
No one  was gon' show us the vision
We were just four young brothers rebellin'
And back then they block us but now they all listen
Afro-Australia's making a name
This stage is my slave, and this mic I'm just whippin like
Coming from the underground
Now they gon' see me around
Know that your boy got me holding it down
These critics and blogs they in love with the sound
Yeah from day one, the way that I acted, the way that I talk, wondering where I'm from
You can assume about me all you want
Just listen to all the lines of this song
I hope that they get it, cause me I'm a menace
On beats I'm a villain, this flow I'm relentless
Very best guidance I ever received
""Keep it one hundred and remain authentic.""
That's what I'm doin', I'm a stay true and
Live my life, paint a picture for your viewing
If this was a movie, I am the producer, the star, the director, to tell you to start and stop shootin'
Goddamn

If I could take it back, I would live with that
I'd do it all the same
No questions
If I could take it back, I would live with that
I'd do it all the same
No questions

No
No regrets",https://genius.com/B-wise-no-questions-lyrics
Drugs & Drama,Semi Pro - EP,2016,"Well, uh
Alarm rings wake up in the morning
Uh, Biggie playing in my headphones from last night
Hit the  and get dressed as I'm yawning
Rage is on in the living room
 I would take five
You watch your idols on the TV screen little do you
Know what they were getting into
Do you? Glorify money, women, and the weed
It's all a young nigga really need
And that was the saying engraved on my brain, so
Subconsciously carry that attitude around 'till this day
Now it's getting real, the problems really starting
Too many new faces, all my old friends departed
Hotel parties on the 35th floor
A bunch of hipster women that I have never seen before
A rowdy group of locals, they about to heat the plate
Got a flight in the morning and I don't wanna be late, aye

We know temptation, but we never know peace
I see all this liquor yeah, we 'gon get it for free
And I don't know what is happening to me
I pray to the lord that he come around me
'cause I won't fall when it comes to this scene
Say no to the plugs, I deny all the drugs
And it's all

Drugs, women, and drama
It's all a part of the come-up
Drugs, women, and drama
It's all a part of the come-up
Drugs, women, and drama
It's all a part of the come-up
I just wanna make music, why we so far from it
Drugs, women, and drama
It's all a part of the come-up
Drugs, women, and drama
It's all a part of the come-up
Drugs, women, and drama
It's all a part of the come-up
I just wanna make music, why we far from it

Yeah they hit you on your Instagram thinking you're the
You're the man popping, hit the DM
While I'm so far from what I wanna be like
Got us lost on our way, uh
Remember when we used to pay twenty dollars for the stick
Now everything is all free roll a 20 take a hit, uh
Yeah this is real fucked up man
This is real fucked up
Lord, please shine a light up on me
You gave me eyes, tell me why I can't see
The devil's wearing  in the V.I.P
Accompanied with friends, we 'gon need some I.D
This is really not me
This is definite not what I signed up for
I'm content with my position, figured that I want more
All the vices of entertainment are at my front door
How much am I willing to lose  why can't I afford

We know temptation, but we never know peace
I see all this liquor yeah, we 'gon get it for free
And I don't know what is happening to me
I pray to the lord that he come around me
'cause I won't fall when it comes to this scene
Say no to the plugs, I deny all the drugs
And it's all

Drugs, women, and drama
It's all a part of the come-up
Drugs, women, and drama
It's all a part of the come-up
Drugs, women, and drama
It's all a part of the come-up
I just wanna make music, why we so far from it
Drugs, women, and drama
It's all a part of the come-up
Drugs, women, and drama
It's all a part of the come-up
Drugs, women, and drama
It's all a part of the come-up
I just wanna make music, why we far from it

Far from it
It's all drugs, women, and
Drugs, women, and drama
Drugs, women, and

I just wanna be making the 
All we know is drugs, women, and drama
It's all a part of the come-up
Drugs, women, and drama
Yeah",https://genius.com/B-wise-drugs-and-drama-lyrics
