title,album,year,lyrics,urls
Bears,17/18,2015,"You're so gorgeous
Running through the forest
Long red dress
All the bears want their porridge
My phones off so, call me at a new time
The woods are dark, finding light with the moon shine
The goods have sparked, finding sight but I'm too blind
But damn
She yelling give it cause that doobs mine
I will listen if you try to talk
Give it a couple more minutes then im signing off
I'm the boss, she said
I'm an ass for this
I haven’t asked for this
You're an arsonist
And I keep, burning her soul down
She get right back up, Then fall down

I could call her on the daily
Her eyes shine brighter than her daddy's new Mercedes
That's this years
And when the fifth tear drops we can switch gears
Try and travel to a place end a kiss there
Against the money in the world, probably choose you
You're my honey your my girl your my bluetooth
We connect like one two too
I never knew you could be so true

You're so gorgeous
Running through the forest
Long red dress
All the bears want their porridge
Or its
Me and you
So what you care to do
And you ain't worried bout the grizzlies they scared of you
So run along run along find a new place
And find this song grab my arm I'm tryna lose space
And enter my life
My eye sights, like blind mice
We bumping bright eyes
So call me when the times right


I'm a traveller from a different scene, see how much you mean to me
I close my eyes, and die tonight
It feels so right, it feels so right
I'm a traveller from a different scene, see how much you mean to me
I close my eyes, and die tonight
It feels so right, it feels so right",https://genius.com/Baro-sura-bears-lyrics
LAY U DOWN//SEXY,Just Problems You Need To Know,2017,"On my mind won't you slide through
(Girl you're dripping' gold)
And when you're mine I'll remind you
(Just so that you know)
Baby Baby Baby
I Want to
Lay you down
Oh Baby baby baby
I want to
Lay you down
Lay you down

Let me lay you down
Right here, right now
On the middle of this dancefloor
Let me lay you down
For all those years you'll never be able to lay down
You refuse to lay down
Right now

Dance with a nigga like me
Take a chance with a nigga like me (right now)
Dance with a nigga like me
Take a chance with a nigga like me

I wanna watch you
Watch me watch you
I wanna show you what's really going on
Right here, right now
Together

Hey
You
(Make me want to sing like Marvin Gaye)
Hey
You
(Grab your wings baby let's fly away)
Hey Sexy

I just want to say your name every morning
For a reason
Have you waking up to me when your yawning
I'm never leaving

From my hands on your tits
To your mouth on my dick
My thigh hairs on your clit
That's the best kind of itch
And if your mumma hear this shit
She gon' say Mars you nasty
I don't give a fuck I'm just tryna satisfy you
I told you on moan
I'll make you wetter than the bayou
I wanna make you feel high boo
(You gon' have to put the coke in your nose)
Have your pussy smoking o's
Have your pussy smoking o's

Good morning gorgeous
You look extra beautiful today
You know I might just um
Eat your pussy like some mussels out a shell
And when I get to
I'm gonna tussle out of hell and tell ya

I just want to say your name every morning
For a reason
Have you waking up to me when you're yawning
I'm never leaving
Baby what do you believe In",https://genius.com/Baro-sura-lay-u-down-sexy-lyrics
Wdubi,Just Problems You Need To Know,2016,"All I got is you and you are all I need and
Tell me all your secrets what do you believe in?
All I got is you and you are all I need and
Tell me all your secrets now
All I got is you and you are all I need and
Tell me all your secrets what do you believe in?
All I got is you and you are all I need and
Tell me all your secrets what do you believe in?

Her Papa catch me out the window
Then I'm jumping out the roof
Saying baby if you hear it would you listen to the truth
Holler, even if you were joking
You'd be lying through your tooth
And baby I ain't even sad but I've been crying 'cause of you
I will always fucking love you Whitney Houston, '92
We, running like we kids, we picking daisies tying shoes
You Houdini got me hypnotized (hypnotized)
As soon as beaming baby hit the lights (the lights)

I said I'm hopping off the cement
Like I'm hopping on a Phoenix
With some wings up on my back I'm feeling lighter than bullimics
Whose stomachs is as empty as the space to which I'm fleeting
Bird enclose me in your fire cloak the atmosphere is breathing
Like the dragon that I'm chasing only way I'll get to Venus
Where they say the baddest honey from who cooks and books on weekends
Who'll love me when I'm sleeping
When I'm awake and when I'm dreaming
Safe to say you cursed me with your uh and with your being
And if we have a son I think we'll name him Steven
Boo I'm just a earthling Aphrodite and Athena
The goddess that I'm falling for in the mirror you gon see her
You gon know why all I got is you
All I got is you girl

All I got is you and you are all Im needing
Tell me all your secrets what do you believe in?
All I got is you and you are all Im needing
Tell me all your secrets what do you believe in?

Hands out to the congregation
Oooh let me talk my shit now
I been feeling you since syllables made my 'rents proud
Still so scared of you that's terrible got me stressed out
She unbearable, I tell her to spit my kids out
But I'm comfortable,I mean only when it comes to you
She keep my weed packed like lunchables
I wanna say fuck this tour, but I'll see you in a month or two
I mean, im the only one she want
The only thing she need
And she is all I see, other than this dream
You know the whole RD
Divide and conquer the large scene
But baby you got
Baby baby you got (x3)

All I got is you and you are all I need and
Tell me all your secrets what do you believe in?
All I got is you and you are all I need and
Tell me all your secrets ey
All I got is you and you are all I need and
Tell me all your secrets what do you believe in?
All I got is you and you are all I need and
Tell me all your secrets what do you believe in?
All I got is you, all I need is you
All I got is you, all I need is you",https://genius.com/Baro-sura-wdubi-lyrics
PRETTY,Just Problems You Need To Know,2017,"You a princess, you no other
Introduce me to your mother
We can go and pick her flowers
We can go and get her cake
Baby tell me what you think
She disregard attention
All my niggas think she lesbian
But I
I think you're too pretty for me

I see you in my dreams girl
(When i'm waking you ain't by my side)
I'll lead you through my dreams girl
(And i'm vacant so climb in my ride)
Climb in my ride
Climb in my ride
Baby what you wanna do
Climb in my ride
All you do is shine
Climb in my ride
All you do is shine baby
Baby climb in my ride

We could chill as we talk about the earth
Um I guess it's what you is
'Cause I know just what you worth
From thoughts up in your brain
To the lipstick in your purse
The machete in my chest
Plus it's bleeding
And it hurts baby

And it hurts so bad
And it hurts so bad

Girl I ain't got my licence
But that somethings got you priceless
I think
You're too pretty for me",https://genius.com/Baro-sura-pretty-lyrics
See Less,17/18,2015,"No tasks put the ass in a coffin
Stumbled down a hill now its a cave that i'm lost in
Coughing
Tryna get a grip of happiness
Posted on the couch where my homies sipping actavis
I keep it sharper than a cactus is
Eating Cheetos off a massive bitch
I'm glad that Gladys put her ass in this
Mary acting blasphemous
Cracking out the whip
She acting nasty bet i slap her wrist
Like, Who’s your father?
And who the other man?
Money ain't here so what can fit inside these rubber bands?
Put her in her underpants
Just to see the fucker dance
Put her in her underpants
Just to see her stunning stance
Bitch

We roll deep under night skies
Zoning off a joint and my homies off them white lines
I find that sometimes
I see less
Laughing at them mother fuckers all them v necks
We roll deep under night skies
Zoning off a joint and my homies off them white lines
I find that sometimes
I see less
This old shit corny mother fucker yo its me next

Shit
Yo i probably even bleed red
Smoked a j at school now i'm going home at recess
The teacher yelling at me i don’t do whatever he says
It's hard to be happy but i guess i fucking need stress
I'm depressed
Look at life from another side
Yo your wife and your brother died
Where am I?
Smoking on a tacken while your bitch is on the wagon
I'm a dragon i'm a dragon i'm a mother fucking dragon",https://genius.com/Baro-sura-see-less-lyrics
One Hour,Just Problems You Need To Know,2017,"Uh
Listen closely the hand is speaking
Look all you Niggas acting weak
But I see the weekend
I plan to get up in a cloak
And leave me fucking freezing
And land and dip inside a beamer
When i'm up and leaving
We blowing weed and see police
But we can keep it steaming
I stash the G's so all he sees is the fucking misdemeanour
Mister dreaming if he think he gonna book me
I'm sprinting like a runner
Shit he running like a bookie
Cashed and fitted in some butter goods
They won't find me wearing Stussy
Got my mind up on the tick
But my eyes just on that pussy nigga
Flex your eyelids when you looking nigga
Exercise this and my heart is
When she on mind
Posing on the top
Yo your dome is mine
In a high-vis
I focus on a watch like all I own is time
But it's daylight savings darl

I only get one hour
I only get one hour with you
I only get one hour
So please just hear it
I'm isolated flying girl feed my spirit

Alright, alright, alright ok
It's same occurring everyday
But these feelings just the same
I'm taking durries to the face
Now my voice is getting dim
I'm in a hurry to her place
What if time would never spin
And the night resembles space
It's the way you seem to make me feel
Just so you know that what I'm saying is real
If your love is costly watch me pay the bill
I find the drugs don't cost me a cent
I'm out here asking for cents
Trying to feed my posse of friends
Girl you rolling off in a Benz'
Not that you could offer a lift
Nigga I don't need to pretend
Got me calling Jesus think I need him again
A'int seen a church in a minute
It's just the earth and i'm in it
The way i work is kicking dirt
And Berba spinning (?) percentages
Something like I'm never giving
She leave with 53 i'm only taking 47
But I can't help but like it
There's pythons in the grass my nigga
And the earth the tight bit
I hope you feel this shit and feel enlightened
Real excited
I'm human when am I gonna understand
Going off the shit i'm writing
I'm dammed
Me fighting a man
The lights in my hand
I'm bout to spark it up in
I ain't doing nothing
When you tell me pass the dutch

I only get one hour
I only get one hour with you
I only get one hour
So please just hear it
I'm isolated flying girl feed my spirit
One hour (one hour)
I only get one hour with you (I only get one hour with you)
I only get one hour with you (I only get one hour with you)
I'm isolated flying girl feed my spirit",https://genius.com/Baro-sura-one-hour-lyrics
FUCK THE JUDGE,Just Problems You Need To Know,2016,"Fuck the judge
Fuck the jury
If i do bad
Fucking sue me
But if you shoot me
I won't be dead
Just a body without a head
And I won't find love
I won't find it in this earth
As I pick my heart back up i'm reminded what you're worth

Cos' all I do is think of you
I don't know why I think of you
All I do is think of you
I don't know why I think of you

Fuck the judge
Fuck the jury
If i do bad
Fucking sue me
But if you shoot me
I won't be dead
Just a body without a head
(Kiel Bol: Skit)
Fuck ya'll ya fucking bitch ass nigga
Ya fucking hoe-ass niggas
If I see ya'll niggas again
I'mma kill y'all niggas
And for the cops
Come around the corner nigga
And take your badge off
Fucking hoe-ass nigga

Mr officer if I bring my weed
Backstage to cremate it before I go and teach
Shake a couple hands
Killin' MC
Then roll home in an Uber
Ex looking for sleep
Then why you hassle me sir?
The venue that we are in is at full capacity sir
All the people here are drugged
Smashing the terps
That equals causalities
I just wanna go home and watch anime with my girl
How's that a threat?
Or where's your respect
Last week Miggy got jumped
And smacked in the head
And Slav got got his bag jacked on Flinders Street steps
And you rolled up treating him like suspects
Nah nah piggy that's not correct
I heard your job is serve and protect
But sir your profile like the side of my head
You're racist and inadequate
Can I be more direct?
Get the fuck out of hear

Fuck the judge
Fuck the jury
If i do bad
Fucking sue me
But if you shoot me
I won't be dead
Just a body without a head

Coppa tryna stop a flagrant nigga with a prophecy
I'm popping' something shady
Bet my pappa really proud of me
This shit be really crazy
All my problems get the best of me
Lips forever bare figured you desire therapy
My fists in the air with my suicidal tendencies
(You you you)
Who are my contemparies?
I don't see the difference between a hospital and cemetery
I don't see the difference between a butterfly and centipede
And ain't a fucking difference between a piggy and my enemies
I'm too damn high to chose a side
All the repercussion surfaced now it's do or die
In the city yell at officers to do their job
Kinda silly but its the way I'mma lose my pride
So I'mma slow my roll
I'mma hold my goal
Yo I'm shinning as I'm penning this
And so is my soul
So I could click a trigger on a pistol to bleed
Or I could figure that the one only issue is me

I don't know why i'm so down on myself
You would abolish all these problems
Or at least you might help
I know it
I guess it's about the way you move your body girl
I'mma test the perfect female is it you?
If you fail you are infact the prototype
Come with me you've got nothing to lose
I know it, I
I know it, I
I know it, I",https://genius.com/Baro-sura-fuck-the-judge-lyrics
You Are My Imagination Running Free,Just Problems You Need To Know,2017,"Please, please, please
Can you hold your applause for one
One moment
I just want to introduce myself Baz Ritchie
And the Baz Ritchie quintet
We also got the beautiful Lorry one on vocals today
And I wanna talk to that lady in the back in the green
There are a lot of beautiful women in here tonight
But you are the one that catches my eye
And darling we dimensions apart
But you are right beside me
So I just want to let you know

I think about you baby when I go to sleep
Been thinking bout you girl this a'int the only week
Baby baby baby
You Are My Imagination Running Free
Baby baby baby
Baby You Are My Imagination Running Free

Let's blow some weed up in your room
Let's make it hard to breathe
Baby baby baby
You're all I need
But baby girl I want your company
I wrote a book about your ass they wrote a page or three
Call you in the morning like
Why the fuck you paging me
You lifting through my head like you making cake
I'm patient waiting blatantly
Baby see
You a dime plus nine

(I just need you to be here babe)
You so distant, it's alright but tell me how the fuck you'd feel
(If you were happy lying here babe)
It'd be cool if you were with me but it's cooler that you get me
And you know my wallet empty
And you know the cash is spent on me trying to be your friend
But see you fine all the time
And that's why
That's why
That's why
That's why you a dime aye

I think about you baby when I go to sleep
(Thinking bout' me yeah)
Been thinking bout you girl this a'int the only week
(this ain't the only week yeah)
Baby baby baby
You Are My Imagination Running Free
(Running free, free)
Baby You Are My Imagination Running Free

(And I just need you to be here babe)
You so distant, it's alright but tell me how the fuck you'd feel
(If you were happy lying here babe)
It'd be cool if you were with me but it's cooler that you get me
And you know my wallet empty
And you know the cash is spent on me trying to be your friend
But see you fine all the time
And that's why
That's why
That's why
That's why
That's why you a dime aye
You a dime
Plus Nine
Plus Ninety
Ninety nine dimes
Plus a dime
You a whole fucking dollar

(?)
Beauty with a booty
(?)
Think her name was Lucy
Smoking blunts that fuck with doobies
(?) like you knew me
And slappers with the groupies
And you know they rocking Coogi
Let me take you to the movies shaunty
I just want your coochie on me
When I get a cheque you get a dress
And i'll scoop the homies
But I'm kinda broke
With the smoke
(?)
I'm never moving for feds
If a piggy fucking touch me
Cop a boot to the head",https://genius.com/Baro-sura-you-are-my-imagination-running-free-lyrics
Travellin’ Through Time,HOWGOODISGOOD,2014,"Get your mind right
Rolling up a cigarette
Eyes up on a high flight
Mines mixed Cyanide
I am right
On every finer night
Or a brighter day
I can say
I stay smoking till my eyes are grey
I cut the weed with a Vikings blade
I bust the seeds in a titans face
How do my kids taste
And meanwhile you been checkin all this new shit
Like “baro your raps are tight but they really don’t do shit”
Well fuck that
Still stupid as when I was a rugrat
Now the only thing is I cough crack
Spittin all these rocks the stones flat
That’s just a fun fact
For you fat faggot amateurs
Skiddadle just
Run to the woods with your mother fuckin allergies
Thorns on a bush and that’ll open up bag of bees
And my nuts that’ll clog up your throat
I’m not up these notes
Got the product a hoax

Travelling through time feeling average
Future holds the past get your ass up in a salad dish
Start eating
And quit fuckin beefin
The only thing that’s needed
The future comes with freedom

I need some future from some bad toast
An asshole
With mad flow
It’s baro
Posted where the grass grows
A couple castles
Prolly a pink jet
Where I could light my cigarettes
And a simple rest
Up in the cockpit
Drunk and cathartic
Punk gotten star sick
He strums with guitar picks
Held up in hostage
With a bitch but it’s all bliss
Searching for the ventis but I left them in the office
But for now I’m just chilling in the bungalow
Mum is so
Stressed where her mother fuckin son will go
Charlie on the phone like
""What the fuck you doing man?""
Chopping up these bones feeling loopy like toucan sam
Two can dance
With some jazz and a smooth accent
What kinda proof that send
Like you gotta pay more to get a couple
Or the less they love you
Should invest in double
Cause the guests can subdue
All your dreams and your silly fuckin fantasys
Let em shorten things from whatever you can plan to be
I need a jet
I need a fuckin race car
I need a lil money so I can cop a couple race cards
Till I can face broads
Head high as everest
Talk with my parents knowing they will never stress
Then ill never be depressed",https://genius.com/Baro-sura-travellin-through-time-lyrics
I Never Meant To Hurt U,17/18,2015,"Am I dreaming
Am I dreaming
You got me feigning for that feeling
You got me smoking on my lows now
You got me speeding I won't slow down
And I never meant to hurt you
What was meant for one could really hurt two
And they not worth what you worth
You are worth a trillion dollars
And a mother fucking puppy
I just want you to just love me
I just want to say the stars are fucking ugly now
The sun is out but I'm feeling grouse
She said I hate the fact I left you with no warning
Now I'm here inside my room locked with the accordion
I said it cos' I regret it
Put the pistol to my head and
Make the bullet here impeded
To my brain
Put the stains on my new t-shirt
But that don't matter did my research
About the after life
And fate don't just exist it mother fucking battle right
I hate this bogus shit
I'm battling with Baro's mind
And i just might pull the trigger now
I'm sorry for my stupidness
I'm sorry I couldn't

Am I dreaming
Am I dreaming
You got me feigning for that feeling
You got me smoking on my lows now
You got me speeding I won't slow down
And I never meant to hurt you
What was meant for one could really hurt two
And it's true, and it's true, oh
And it's true, and it's true

There's no room left for us to grow
I loved you enough to let you go
Now nothing left for us to face to fix
We're fixated on loss
When love won't give in
Every time I hear you say
You never meant to cause me pain
You hurt yourself to make me stay
Hurts me more when you say you'll change
You'll change

And I never meant to hurt you
What was meant for one could really hurt two
And it's true, and it's true, oh
And it's true, and it's true
And I never meant to hurt you
What was meant for one could really hurt two
And it's true, and it's true, oh
And it's true, and it's true

It could be all so simple
But you'd rather make it hard
Loving you is like a battle
When we both end up with scars",https://genius.com/Baro-sura-i-never-meant-to-hurt-u-lyrics
