title,album,year,lyrics,urls
Lighthouse,BnE7,2020,"I've been tryin'
Tryna find my way back home
Cannot make it on my own
In the storm
It was raging and roaring
I saw it

Man, I really hope we can all float
In this storm that we're trapped in
'Cause the ocean is so cold
And the water's like black ink
We're all lost at sea
Lookin' for a brighter day
It's like life's full of tidal waves
But believe me, those ups and downs will help you find your way, ayy
And there's a sea full of demons
Tryna get a good grip on my tail ()
But I'm blessed by the breath
Of an angel that keeps putting wind in my sails (Amen)
And if they get your soul
Man, that's somеthing that you'll never get back
'Causе in a world that profits off your self-doubt (Come on)
To love yourself is a rebellious act, yo (Oh)
And there's a house full of lights (Lights)
Always watchin' where I go (Go)
And I'm drawn to it's shine ()
Like a moth to a lightbulb (Bulb)
But just know (Yo)
You can reach heights that no man's climbed (Yeah)
You can breath life into all mankind
'cause you been a light the whole damn time

I've been tryin'
Tryna find my way back home
Cannot make it on my own
In the storm
It was raging and roaring
I saw it

Like a lighthouse
Shining down across the night
Like a million stars inside my mind
It's the fire that ignites
All these diamonds in the dark
Somebody show me the light
Somebody show me the light
Somebody show me the light

4 AM
I'm out on the streets and I'm ridin'
I'm all types of fucked up
It's freezin' cold and dead quiet
Tears runnin' down my face
As I peddle this 10-speed
Man, my girl just left me
Got home and the whole damn wardrobe was empty
She was my bestie
I was at the studio, the irony of a cruel world
'Cause as she was packin', I was rappin'
""Lean on you, all about you, girl""
And I know things haven't been great
But I can't help but think I would've saved this
If I just sped home, I would've played it
But I just missed you, I was too late, shit
I let you slip through my fingers and I know
It's all my fault, I had your love and lost it
Five years of love and laughter
Now down the drain, gone and shipped off in boxes
And now I'm flickin' through the radio
And everyone is playin' Dean Lewis like a twisted joke
And what's more, today is my birthday
I couldn't make story up any worse, ayy
Now I'm callin' up the Devil just to party like a demon
Goin' off the rails 'cause I'm heart broken
Then I plunge into a sea of sadness with a cannonball
Around my neck and now I'm drowning in this ocean
Got Eso calling me like, ""What the hell? You MIA for weeks
And missed a whole 'nother studio session""
Oh, Lord, somebody pull me out the sea
But ain't nobody gonna save me but me

I've been tryin'
Tryna find my way back home
Cannot make it on my own
In the storm
It was raging and roaring
I saw it

Like a lighthouse
Shining down across the night
Like a million stars inside my mind
It's the fire that ignites
All these diamonds in the dark
Somebody show me the light
Somebody show me the light
Somebody show me the light

Ain't nobody gonna save me but me
Ain't nobody gonna pull me out the sea but me
Ain't nobody gonna save you but you
Ain't nobody gonna come and rescue you but you
Ain't nobody gonna save me but me
Ain't nobody gonna pull me out the sea but me
Ain't nobody gonna save you but you
Ain't nobody gonna come and rescue you but you",https://genius.com/Bliss-n-eso-lighthouse-lyrics
Act Your Age,Circus in the Sky,2013,"When I wake up

When I wake in the morning I smile to myself like I'm thanking God
Shit, no more folks like, ""Jonathan, when you gonna grow up and get a job?"" (Uh-uh)
‘Cause I made that job, no Steve, that job's kept me hungry and foolish (Yup)
It's the coolest, I'm ‘a dive in like Kendrick and drink some rum in the pool bitch
Or beers on the roof, it's the workaholic in the magic sun
Till the esky is empty, shit, what's life if you ain't having fun?
So forget your age and those walls, I'm bursting through that maze
On top of the tour bus in a teen wolf mask surfing USA
And we got that baggage packed, happy gas, massive laughs, yes, I can dig it
So I joke like Tom when Josh, Baskin in these toys like a big kid
It's my habitat, I can't leave the trees like an Orangutan, I'm a
Running on air anchorman and I never land like bangarang.

Why don't you act, why don't you just act your age?
Why don't you act, why don't you just act your age?
You know what I'm saying, yo, enough of that shit, check that

Yo, I'm acting the fool, no shame, I came, I shat in the pool
Yeah, better pass that blunt, I'm ‘bout, ‘bout it, you can ask my Mum
She'll tell ya, I'm psycho mate, my ideas make your lightbulbs break
I make it look so damn easy when I rock that Borat mankini
Fuck what they say, you don't miss your chance to eat chocolate cake with your hands
You rock a bubble beard while you're taking a bath and where a simple fart still makes you laugh, like
Hahahaha, blurp blurp, hahaha
And then a big brown shark came, now I'm
On the stage acting up, yelling bombs away while I grab my nuts
Still living it like it's all a movie, still killing shit on Call of Duty
And I still think I can move like the Matrix, real shit, shrooming in Vegas
Or when I play with my dogs, even right now while I'm making this song
So how's about it, let's laugh till there's power outage
That's all I have to say, fuck them all, and don't act your age, I'm makin’ pancakes

Why don't you act, why don't you just act your age?
Why don't you act, why don't you just act your age?
They're always saying to me, they're always saying:
""Why don't you act, why don't you just act your age?""
They're always saying to me, they're always saying:
""Why don't you act, why don't you just act your age?""
They're always saying to me, they're always saying:
""Why don't you act, why don't you just act your age?""
They're always saying to me, they're always saying:
""Why don't you act, why don't you just act your age?""",https://genius.com/Bliss-n-eso-act-your-age-lyrics
Animal Kingdom,Circus in the Sky,2013,"To the kingdom of all creatures
You have risen spirit souls
Don't turn back now, hear the sages
It is time to reach the goal

Back in this bitch, I'mma kick the door down
Down right dirty like shit in your mouth
Nah, just pullin your leg
And all that shit talk, mate, I'mma put it to rest
Yes, you know what this is
Hip-hop, and 
neurolinguistics
I'm real, I don't rap for the dough
Tell it to a friend, bitch, act like you know
I'm a dedicated motherfucker, living my dream
And I'm 'em keep them coming like I'm flicking their bean
Set the kitchen ablaze
Then take to the stage like Ricky Gervais
Tell it like it is in a world gone mad
I paint the town red like a girl on rags
Got three blunts, like tree trunks
You know who it is, ""These Cunts""
Big Macka, doing the do
And with an open mind and beautiful view
I said, mate, check it out, 
it's rough as rugby
Stand back, I'mma fuck this puppy
If you want it, I got it and since you need it, let's get it
I got a chainsaw wrapped around a baseball bat
I said ""Bitch""

Through the who ha, boo-ya, you know what it is
My crew flies, blue skies, on them southern winds
Like ooh ah, woo ha, my eye glides
Out the jungle of my mind, like
Bitch don't kill my high, bye

Matte black bat, out the cave like Gotham
Change my lane when I aim my conscience
Grew from rap, I was raised on Compton
Put 'em in a cage, make a name like Bronson
It's all gold when summer hits autumn
This is my trip and there's nothing this awesome
In a Carl Sagan built ship, with Bill Hicks holding a suitcase from Hunter S. Thompson
Caution, Jonathan's mind's like a spaceship
Trying to hide from the prying eye of the Matrix
I've lost my marbles, hell it's fun though
I left my knowledge in El Segundo
Boo-yah, I don't have time for the who-hah
I'm Martin, massaging my ears like woosah
Woo-hah, I got you all in check
When I busta rhyme and bomb the set with a
Jaw Cracker, gobsmacker
With this hunger I built a life I sought after
The best thing I've ever had, like Eddie Murphy starving, chewing on a raw cracker, shit it's all laughter
(that was rich, that was, they wanted rich)
And right now I'm more ready than I've ever been
It's a zoo and we're heavy as some elephants
Shit the Wolfpack is back on the map
With a crew of cats, riding a semi full of pelicans

Through the who ha, boo-ya, you know what it is
My crew flies, blue skies, on them southern winds
Like ooh ah, woo ha, my eye glides
Out the jungle of my mind, like
Bitch don't kill my high, bye

Thank you for that lovely tune
That funky music will drive us 'til the dawn
Let's go
Let's boogaloo 'til we puke
I've lost my marbles",https://genius.com/Bliss-n-eso-animal-kingdom-lyrics
Bomb Like Banksy,Circus in the Sky,2013,"Yeah! I want it, and they need it
I stay on it, it's no secret
So I talk to you through telekinesis
Then bomb like Banksy, you better believe it
I want it, and they need it
I stay on it, it's no secret
So I talk to you through telekinesis
Then bomb like Banksy, you better believe it

Yo, see I did it for you, I did it for myself
I did it for the crew and when we did it, it was felt
Being phoney is the only fucking image that'll sell
In a room full of mirrors, taking pictures of yourself
So I hit 'em with the belt like Pootie Tang
Tell 'em pull your finger out and introduce my gang
MCs, art freaks, DJs, dreamers
Storytellers, trippers that preach that freedom
Smokers, painters, lovers of the music
Your fam, your clan, the hustle for improvement
The lights, the mics, the roof's on fire
Set that stage ablaze and Krush Grooves all night
I'm that little bugger with a boom box banging
If ya can't hang, better move on Madam
Cuz every moment is honestly magic
Like South Park writers at the Oscars on acid

I want it, and they need it
I stay on it, it's no secret
So I talk to you through telekinesis
Then bomb like Banksy, you better believe it
I want it, and they need it
I stay on it, it's no secret
So I talk to you through telekinesis
Then bomb like Banksy, you better believe it

As a kid, shit, I'd like to challenge what my limit is
And with that pencil, used to draw a lot of images
Now I draw on the mental with the pencil
But it's the words it writes that serve to paint what the picture is
The lyricist and art is like autumn, is fall
So these songs are like the drawings that we bomb on the wall
Catch the array spray in Jonathan's view mode
Breaking out this island like it's Robinson Crusoe
Blue ocean hungry, rock spots, and bungee
Then we're back again, it's like hopscotch with countries
My crew's on the move in one jet, we're flying
With my sights set on that sunset horizon
Sipping sake with Mr Miyagi
Dropping crane kicking, knock you out, wisdom of Gandhi
Facing my fears head on, so I'm into the fray
When it's black and I'm white it's like the end of The Grey, let it play

I want it, and they need it
I stay on it, it's no secret
So I talk to you through telekinesis
Then bomb like Banksy, you better believe it
I want it, and they need it
I stay on it, it's no secret
So I talk to you through telekinesis
Then bomb like Banksy, you better believe it
I want it, and they need it
I stay on it, it's no secret
So I talk to you through telekinesis
Then bomb like Banksy, you better believe it
I want it, and they need it
I stay on it, it's no secret
So I talk to you through telekinesis
Then bomb like Banksy, you better believe it

""My hip-hop will rock and shock the nation""
""Fuck up the party before it even starts""
""My hip-hop will rock and shock the nation""
""Fuck up the party before it even starts""
""My-my-my hip-hop will rock and shock the nation""
""Yes indeedy I wrote graffiti""
""My-my-my hip-hop will rock and shock the nation""
""Fuck up the party - the party""
""My-my-my hip-hop will rock and shock the nation""
""Fuck up the party - the party""
""Yes indeedy I wrote graffiti - I wrote graffiti""
""Fuck up the party before it even starts""
""Yes indeedy""",https://genius.com/Bliss-n-eso-bomb-like-banksy-lyrics
Can’t Get Rid of This Feeling,Circus in the Sky,2013,"I'm not leaving
I'm not leaving
I'm not leaving

Check it out, yeah
Its that moment, when your lost in the feeling
You own it, your on top of the building
Your front row with your favourite shows
You love it loud and you wanna let your neighbours know
That right now, we run the town
Its our chance to dance like no ones around
Love like this can't bite with a buck better
Dig hard for your diamond in the rough
Like me, my girl and a timeless classic
At peace with the world when the vibe is magic
Close your eyes, vision the scene
And for a single moment you'll be living the dream
And even though, it might take a while
When your song comes on bet it makes you smile
Laughing like martin, run and tell that shit
Fact is right now nothing else matters, madness

I can't get rid of this feeling
I can't get rid of this feeling
So you know I ain't leaving
Cause I'll be standing right here
I can't get rid of this feeling
In a world full of angels and demons
Oh you know I ain't leaving

Its times like this that sets me off
It when i get the feeling that lets be lost
The tunes got me so in the mood, its like
My feet just seem to know what to do
And I do set off that energy shift when I
Set the drift on memory bliss
And that ship takes me like I'm just a passenger
Sending me back like a flux capacitor
Into a state where you'll dance if its raining
The jump with the perfect land on the pavement
For me, its a grand in the basement
Where the hairs on my neck stand in ovation
Feeling like a kid back when I can win at this
Back when I had the world at my fingertips
But I still got the world at my fingertips
Every single time I feel like this it is limitless

I can't get rid of this feeling
I can't get rid of this feeling
So you know I ain't leaving
Cause I'll be standing right here
I can't get rid of this feeling
In a world full of angels and demons
Oh you know I ain't leaving
I'll be standing right here

This ain't no accident man, we, we stayin here
This ain't no accident man, we, we stayin here
This ain't no accident man, we, we stayin here

Oh shit, I'm just feeling the vibe ya'll
To stay here is a hell of a right call
Its the moment when the stars align
Its the times with your girl when your hearts combine
The harmony sings, and what it brings is amazing
Propelling me back to relive the occasions
Its the win at the last strike of the clock
When you clock the feeling you got right when it stopped
Yeah, we live life like minutes or hours
And it feels like there's something religious about it, but
This ain't church and I ain't preaching
This won't hurt and I ain't leaving, like
Kids at a party, crew round the barbie
The old couple that dance at the Ari
Touch the lasers marry the beat and carry belief
Till you're happy to be free

I can't get rid of this feeling
I can't get rid of this feeling
So you know I ain't leaving
Cause I'll be standing right here
I can't get rid of this feeling
In a world full of angels and demons
Oh you know I ain't leaving
I'll be standing right here
We don't, we don't, we don't stop, we don't stop
We don't, we don't, we don't stop, we don't stop
We don't, we don't, we don't stop, we don't stop
We don't, we don't, we don't stop, we don't stop
We don't, we don't, we don't stop, we don't stop
We don't, we don't, we don't stop, we don't stop
We don't, we don't, we don't stop, we don't stop
We don't, we don't, we don't stop, we don't stop
We don't stop
This ain't no accident man, we stayin' here",https://genius.com/Bliss-n-eso-cant-get-rid-of-this-feeling-lyrics
Cialis Cuts,Circus in the Sky,2013,"Wha-a-whi-hi
Ladies, gentlemen and loose cunts
Scrichiriririri
Give it up for DJ Izm
A-chic-chic-chichi
Yo, here's a call to all you shit-cunt DJs out there
Whici-A-Whiciticiti-A-whoopidee
This is mah boi DJ Izm man, it's fuckin' convenient man, it's three letters
A-Whippidee-who-whuppidee-wha-wha-wha-a
I Z M, mate
Whippidee-wha-whippidee-wha-o-wha
I Z M, mate
A-a-a-
HERE WE GO AGAIN
-awhwawahwahwa-I HOPE YOU'RE LISTENIN'

Don't even try and fucking compete (with) these fuckin' fingers
They can work those buttons like a thousand little clitorises

The Cialis Cuts
Introduced and brought to you by DJ Izm, Canberra",https://genius.com/Bliss-n-eso-cialis-cuts-lyrics
Home Is Where The Heart Is,Circus in the Sky,2013,"I feel the morning sun, walking to the bus stop
I got my backpack, books and my lunch box
Let's travel back, so you can capture that
Old school image like an Ansel Adams hasselblad
I was on the 208 passing Castlecrag
Headphones pumping, listening to classic rap
Rocked up at school, yeah I was the misfit
Cause I had an accent, bullied by some bitch kids
But this one dude Max, he was a friend of me
We bonded over Cube, Eddie Murphy and Public Enemy
Reciting lines, we'd rap and laugh in a free state
Rolling with our handicapped mate so we could be late to class
Shout out to Bates, we couldn't hear one teach
In the back sharing an ear bud each
Just waiting for lunch when it was B-Ball galore
And back then I swear, we were gonna be pro for sure
After school I went to JP's fortress
He made beats, and that's where me and Macka recorded
See Nug had given him our first beat machine to rock right
Cause we couldn't figure it out, like 'What the fuck is quantize?'
Then Tarik came over for the first time
Blowing us away with cuts to compliment the verse rhyme
Like the missing piece seeing him perform
And that's the night, baby, BnE was born, what a day

Home is where the heart is so hip-hop is right here
Home is where the heart is so hip-hop is right here
Home is where the heart is so hip-hop is right here
Home is where the heart is so hip-hop is right here

Rolling down the road that I know is my home
It's alright, it's okay, yeah
Rolling down the road that I know is my home
It's alright, it's okay, yeah

I awake feeling great while my queen's asleep
My best-friend and lover is what she means to me
She pulls pranks while I least expect it
Trying to make me laugh while I'm eating breakfast
Wife-beater on, throwing out the garbage
Realising that home is where the heart is
Take the dog for a run in the park
A sneaky billy then we jump in the car
Check the fuel, I hope we got some
Let my baby drive, rappers ride shotgun
Then we play fight, when we choose songs
Then we compromise and throw a groove on
Where we go next builds another chapter
As long as we're together then it really doesn't matter
Cause we're two lovers on an open road
Where we're going, brother, no one knows
We connect, and make the world stop
I'm only half here, if my girl's not
Cruising, hearing barks from the back
Freestyling while she laughs at my raps
We're a team, it's a dream and I'm lovin' it
They're only jealous cause they can't fuck with it
It's the simple things that make the world spin
From my dogs, to my job, to my girlfriend

Home is where the heart is so hip-hop is right here
Home is where the heart is so hip-hop is right here
Home is where the heart is so hip-hop is right here
Home is where the heart is so hip-hop is right here

Rolling down the road that I know is my home
It's alright, it's okay, yeah
Rolling down the road that I know is my home
It's alright, it's okay, yeah",https://genius.com/Bliss-n-eso-home-is-where-the-heart-is-lyrics
House of Dreams,Circus in the Sky,2013,"Yeah, yo
Every letter is love and every word's an oasis
Trying to reach new heights like a bird in a spaceship
And you're damn right, we've been working the late shift
Trying to see how far on planet Earth we can take it
This is poetry in motion, the mystery of why
Every motor is in motion and it's visually divine
On a roll like Timmy, and they're stuck in bad traffic
So when I rock it, the bottom looks like Buckingham palace
I feel fucking fantastic, a viking with the rhyme
That lightning in the sky mixed with Tyson in his prime
I tell it how it is and they got nothing to say
I tell the haters I love 'em, just to fuck with their brain
Duck, I'm insane, my flow's like a swordfish
This is one hundred percent straight up uncut raw shit
I can't be bamboozled, that's faker than a dollar sign
Beat me in their dreams and they wake up and apologise
Non-believers, trying to piss in my boots
Don't they know they'll have to fly just to fit in my shoes
Got the world in my palm, and my feet on the dash
So let them bitch and wish I wasn't the reason they rapped
Shit, I'm trying to write a song with insight
So look past the mask, there's diamonds on the inside
We're unplugged, and blessing you with magic
Our drift is in the air, but the question's can you catch it?

And it is love that can set you free
Watching the sun setting on the sea
And you can lift me above the highest mountain peak
And now I see (say what?) live from my balcony
Welcome to my house of dreams

Kind of comic how a kid from DC would Marvel at his superheroes
Draining his Walkman battery juice to zero
A teen with a dream, and since the whole start I've
Been like Quentin, plotting from the video archives
So I direct my film like Jack Sparrow's compass
Cut sick, shooting like a black barrelled gunship
Just like when the rain and thunder hits the planet
Dreamt once in the clouds, now the mothership has landed
God damn, it's spectacular, lock it up and load
With that flip of the tongue and hit of the drum, rock and fucking roll
I spark an idea, ignited from my balls
Add it to the ninety-nine bottles of lightning on my wall
In a boat of hope, on an ocean where the sharks live
Spitting fireflies to paint my poems in the darkness
Connectivity is in my stare
Shit, electricity is in the air
So throw your islands in the sky if you feel the vibe
Hip-Hop is still alive every time we fly
And when I find a line, like a rope I can use it
To lift me out the sea of disposable music
Which can't touch my soul 'cause that dog shit smells
I wanna be taken away like a cosmic spell
So no need to show me the money of bomb hit sales
'Cause this song gives me the quan just like Rod Tidwell, and so

Just let me enjoy this for a minute

And it is love that can set you free
Watching the sun setting on the sea
And you can lift me above the highest mountain peak
And now I see, live from my balcony
Welcome to my house of dreams
And it is love that can set you free
Watching the sun setting on the sea
And you can lift me above the highest mountain peak
And now I see, live from my balcony
Welcome to my house of dreams

""It ain't no shame in our game, we do our thing son""
""Bliss n Eso roll, brothers from other mothers""
""It ain't no shame in our ga-ga-game
We do out thing son""
""Bliss n Eso roll, br-br-brothers from other mothers""
""It ain't no shame in our ga-ga-game
We do out thing son-son-son""",https://genius.com/Bliss-n-eso-house-of-dreams-lyrics
I Am Somebody,Circus in the Sky,2013,"Come along children
Now we're going to have a little music
Like old times

Straight out the gate
This is our story we're scripting
Our film, our glorious vision
Our sound, our score that is written
In this sport, this division
My my, how the tournament's risen
Shit, everybody wants to soar in an instant
Everybody wants to be the Lord of the Ring wins
We laid dormant and listened
Hit ignition, tore up the system
Elevate, accelerate and demonstrate
Live the dream and keep the horns to the mission
The formula's mixing to fire the
Engine up and bring the force to the pistons
Never say never whenever together we give and go
With the flow flipping like Jordan and Pippen
Slam the points home
Incite a roar to ignite the board
Wipe the floor with the notes that we write
And hold down with a mic to strike a chord
And then they can hear that thunder with the hooves
When we come with the hunger of the wolves
They were warned and the red flag flew
And his crewed cracked through, it's the running of the bulls
Today, we are together
Whenever we come together
The writers write
The cameras roll
Because together we got power
That's just rappin'

I said
Ay yo, I'mma
Lay my tracks down, I'm that
Freight train tearing through the
Sky in the clouds, I said
Ay yo, watch this
Hail mary fly, keep on
Runnin' keep on gunnin' with this
Fire in my eyes, and I'm
Sky high
I'm sky high, yeah (yeah, together)
Welcome to the time of my life (raise your fists high)
I'm sky high
I'm sky high, yeah (together)
Welcome to the time of my life

Sun, rain, snow or hail
We never got lost in the storm
And you best to respect that you
Never really know what you've got till it's gone
And a monster was born
With a want to explore
Life's roughest weather
But we know the code so we stuck together, yeah
(Yeah, yeah)
And as life unravels
My mind's what fights my battles
I rhyme like lightning travels
Think quick, how you like them apples
Cuz I'm ready as I'll ever be, my head is in the
Melody, I'm flying now each
Feather is so heavenly, the energy of seven
Seas couldn't tie me down, bitch
So no fucking around dumb
Cunt, one jump and I'm up in the clouds
Trying to make that moment last
On a beat like Heath in a Joker mask
Which means, don't change that dial
Could've, would've, should've, just ain't our style
Shit, we got things to build
If your luck's low just know your wings are real

I said
Ay yo, I'mma
Lay my tracks down, I'm that
Freight train tearing through the
Sky in the clouds, I said
Ay yo, watch this
Hail mary fly, keep on
Runnin' keep on gunnin' with this
Fire in my eyes, and I'm
Sky high
I'm sky high, yeah (yeah, together)
Welcome to the time of my life (raise your fists high)
I'm sky high
I'm sky high, yeah (together)
Welcome to the time of my life

Yo, yo
I'm so ill in my timeless timepiece
I keep a dime piece in arm's reach
Keep it 1000
From the housing projects I found my niche, you better
Find yours, I used to run with a few
Crime lords, Ramadan taught me use the
Mind more, though I'm not religious
Nas y'all, just the realist
My imminent, conspicuous
Synonym, sincere, rhyme and flow
Developed some images up in your
Mind bro, I survived continuing
Criminal enterprises that
Surrounded me, innocent, no
Exaggeration, I don't pimp my
Past, I don't brag, no faking
My apartment had some break-ins
I'm thinking my past is worse than today is
That's when Biz Mark came with the vapours
It was anarchy, live in a heartbeat
Of the city that never sleeps
Niggas will gas you up to handle their beef
Peep game, you're dead if you don't think
Fast enough, we keeping it way
Street

I said
Ay yo, I'mma
Lay my tracks down, I'm that
Freight train tearing through the
Sky in the clouds, I said
Ay yo, watch this
Hail mary fly, keep on
Runnin' keep on gunnin' with this
Fire in my eyes, and I'm
Sky high
I'm sky high, yeah (yeah, together)
Welcome to the time of my life (raise your fists high)
I'm sky high
I'm sky high, yeah (together)
Welcome to the time of my life

And my god, I feel alright
And my god, I feel alright, hey
And my god, I feel alright
And my god, I feel alright, hey
(Real hip-hop)

I said
Ay yo, I'mma
Lay my tracks down, I'm that
Freight train tearing through the
Sky in the clouds, I said
Ay yo, watch this
Hail mary fly, keep on
Runnin' keep on gunnin' with this
Fire in my eyes, and I'm
Sky high
I'm sky high, yeah
Welcome to the time of my life
I'm sky high
I'm sky high, yeah
Welcome to the time of my life
And my god, I feel alright
(together, raise your fists high)
And my god, I feel alright, hey

Our experiences determine the texture, the pace, and the sound of our soul. All of us are one people singing our music, pumping our thing up, and doing our thing. Let's give ourselves a great round of applause",https://genius.com/Bliss-n-eso-i-am-somebody-lyrics
I Feel Free,Circus in the Sky,2013,"Just the other day you walked into my life
And now every time I see you look away, I feel a change
My body starts to shift in shape
The strings to my heart start to break
And everybody looks the same
And I feel free, ooh I feel free
I feel free, cause you're not looking at me
Holding onto memories like rollercoaster handlebars
Holding onto memories like rollercoaster handlebars

Yeah, the lone busker
With no coin in the hat to pay the rent
Music's the only thing that's makin' sense
And he sits there all day, hopin' you hear it
With his eyes closed, he opens his spirit
He's focused and fearless once spoken his lyrics
Like pain in the rain, you wouldn't notice a tear drip
A simple story of a girl and guy
So watch what happens when their worlds collide

It was yesterday, I went walking alone
Out of the corner of my eye there you were
Starin' deep into my soul, I felt different just three days ago
Because now it's me who's in control
Ooh, and I feel free
Oooh, I feel free
I feel free, because you're looking at me

The true artist is
Forever together, nothing can kill this dream
Cause with or without her he'd still be free
Strummin' his heart's strings, striking chords
Every moments a choice like sliding doors
He would roam from home but love was here though
And love’s that stuff that adjusts the bureau
It wouldn't be worth it without his mates
He wouldn't have learnt shit without mistakes

And I feel free
Holding onto memories like rollercoaster handlebars
Oh, I feel free
Holding onto memories like rollercoaster handlebars
I feel free
Holding onto memories like rollercoaster handlebars
Cause you're not looking at me
See we all be kind of fly
Just can’t be scared to spread your wings
Holding onto memories like rollercoaster handlebars
Holding onto memories like rollercoaster handlebars
See we all be kind of fly
See we all be kind of fly
See we all be kind of fly
Just can’t be scared to spread your wings
See we all be kind of fly
See we all be kind of fly
See we all be kind of fly
Just can’t be scared to spread your wings
Just the other day, you walked out of my life...",https://genius.com/Bliss-n-eso-i-feel-free-lyrics
