title,album,year,lyrics,urls
Whut!,Audio Projectile,2010,"Listener's fiendish, like they're addicted to D-trix
Sinking their teeth in, each verse licking their fingers
Spitting the deepest thoughts written in English
Giving this linguist that he admittedly  it
I break lines like Petero Civoniceva
Spreading words like sexually transmitted diseases
Rip you to pieces, beats of paper mâché
Torn like sugar sachets, left in café ashtrays
Fuck the rap breaks, I'm in here with the black trades
Here to milk the world like the planet's made of lactate
So get the facts straight or back away
Or else you're doomed as much as smokers who're lunging over three packs a day
Well I'm admittedly spread, viciously there
I visually stun with the extent of my imagery's depth
I'm in to the end, consider this the final credits
Plutonic Lab, 2Bucks, Dialectrix, what?

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What


I'm such a freak, I make Silverchair look normal
Make a highlander mortal, the perfect awful
I dawdle while you sprint, I mortify the rich
My poor communication can borderline a hint
Cause I rock stupidity one sock to millipedes
And literally epitome of a contradictory act, yo
A similar will never be found
For ever he readily down, with nothing letting me out
Just get serious and drop jokes
I get dissed by the same people who say I'm a top bloke
So what hope do I have to make a hot flow
With what's brutal my page is weak as man, a compo
Not so I just tricked ya
I say the opposite of what I am just to fuck with ya
A rough picture of me is clearly distorted
And even though my game is cheap no one here can afford, it's like

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What

Wha-Wha-Wha-Wha-Wha-Wha-Wha-What",https://genius.com/Dialectrix-whut-lyrics
Zahir,Audio Projectile,2010,"Dialectrix
Wake in the morning I'm yawning and stiff
And stepping to my day with a morbid affliction
Wanting that buzz man it's all that I'm wishing
Unfortunate victim, taunted by liquids
Falling and slumping, appallingly grumpy till boiling a jug
Then I pour it and drink it
Call it addiction, call it obsession
Until I got a drop I got a poor mans attention
Taurine, caffeine, ginko, guarana
The drinks that are bringing the speed of my heart up
Need of a fiend till my thinking is faster
Or shitting my pants like the first fleets of europeans seeing the haka
Teeth decay with the breath of a demon stinking like garbage
Sugar erosion see be the reason its reeking like armpits
As the day dims and it leads into darkness
Switch up gears and I reach for the lagers
Going to the bottleo for me be the target
Sort of like an animal that feasts on a carcass
Hunting down what I want ravenously, as rapping on beats
Has needs as an artist
Stuck with a curse when I fill up a cup man as long as I'm drinking I'm deep in the carnage
Tommy Illfigga
I’m a slave to the booze and the porn
Now a days I’m amazed that I’m using it more
When Abusing the whores in the magazine spreads
When I’m adamantly at it and I’m battin in bed
None of these babes gunna ask for devotion
When their ass on a page in a bath full of lotion
Suits me fine when the coochies mine
When I line up and shoot from the booth behind
The glass in the peepshow where I find the ass
N i Never beat slow so my time‘ll last
Hate to have a wife where u never get the beaver
U know a DVD is never going to leave ya
Free in fact no fees attached
Thum nails the thumbnails and eases back
I ain't social devoted to net
Hoes that drop clothes and pose for the cheque
Never pay for a date to day
Cause my hand got a date with ann angel and Katie fey
Lady ey, ya better down loads
Ya better download on my 80 k
Day to day I’m droppin my draws
Never get it done when mum is knockin on doors
Not gotta stop what I’m doin when It’s locked
Don’t need a lap dance when u gotta lap top
Joe New
Let me start this off to the ones that knock what I drop
With a big fuck off
When they're functioning wrong and they're lunging a bong I put their foot in their mouth like they're munching a thong
Want to bet what I gonna gets, in a bigger brown paper bag and it's wet with a longer neck
What I want to get is atmosphere like I'm on a jet saying your captains here
Tap that when I hit it to the limit
I blow a pay cheque when I sit for a minute
The village idiot I'm in a rhythm when I hit them then I go home yo and admitted that I did it
If I didn't I'd be illegitimate, and a little bit messed up
Got to give it up, never winning it , next up
To the chapter of liquid, I set that trap to capture the victim
Raps an addiction smoking a marbrough
Blaze that up like a shot of galliano
We work the day to make or brake the arvo
Wake up the next day make the macchiato
Get the blood pumping legs running
Head hunting for the next drink coming
Lords of deception, call it obsession
Cause and effect but it's all we invest in",https://genius.com/Dialectrix-zahir-lyrics
"This Is Like, Mental",Audio Projectile,2010,"Yeah, that’s right
The whole world is mental
Nothing makes sense in this bitch
Don’t believe Liberal
Don’t believe Labor
Rip your newspaper to shreds with a cheese grater
Truth more shockin’ than fascist police tazers
And breathe danger like a drunken p-plater
I’m literally mad, actually crazy
The main stream regime insanity made me
I may have just came from an alien ship
The world’s my oyster
Gone off and makin’ me sick
I’m statin’ this shit – the obvious
While witnessing apocalypse
Meditating deep breathing oxygen with smog in it
Fat food, man boobs, heart attacks
And the depressing recess of market crash
We got nazdaq, wall street and adal jones
How it all makes sense only hell knows
Work, eat, sleep, shit, buy and sell homes
While expandin’ at the rate of abnormal cell growth
Cos
This is like
This is like
This is like
This is like Mental
Can’t fuck with that
This is like
This is like
This is like
This is like Mental
I’m just fuckin’ with ya",https://genius.com/Dialectrix-this-is-like-mental-lyrics
Outcast,Cycles Of Survival,2008,"We're bred to acquire an invincibility
And let's simplify to fix this civility
And then minimise existence with liberty
Led down a line which hits instability
A sign of release, Time to unwind
Time to redirect life for frontlines
All I need is one mic and one mind
Isolation helps fight the unkind
When we move forward, A new dawn arrives
But we choose to ignore food for the mind
Who's mortified that we ought to buy a piece of land
In order to form a life?
Who authorised this competitive normality?
Causality's accepting the formalities
Caught battling impetuous mortality
Traumatically misled into storing clarity
Yo
Heaven-forbid I don't be a slave and
Heaven-forbid I go my way man
'Cause I know that it's hard to accept
I'm an outcast, Outcast, Outcast
Yo
Step to the plate, Like a batter up
Who's mad enough to smack the ball out the park
Now, How bizarre, Man, That I act bizarre
As an option I close in and self-destruct
And now I gotta get it together
Whether it's now or never
Make moves, A man is pressure
My plans are never to advance
So we handle better
Inevitably, Your family stands together
A man's dilemma is less where there's unity found
Who can be down of mind, With this movement of ours?
Who, In their cowardice, Who threw in the towel?
Who, In their outcast, Will keep true to themselves?
Because we don't need a reason to boycott our dreams
And follow the lead and I take the lead, Man
With me, I'm the king of my kingdom
Shouting out loud, The things that I'm thinkin
Yo
Heaven-forbid I don't be a slave and
Heaven-forbid I go my way man
'Cause I know that it's hard to accept
I'm an outcast, Outcast, Outcast
Heaven-forbid, Our lives are different
Whether you're choosing to abide by the system
Whether you're losing touch, Like ice addiction
Whether or not you live in a tight position
Whether your cause is based on a righteous mission
Or capitalising and providing riches
I hope your drive'll supply fulfilment
Both ends of the spectrum require persistence
With my religious guide and wisdom
Is like a Christian's bible scripture is
Loving the time that you have on this earth
And just be free, Then capture the worth of a choice
'Cause that's all we've got, At the end of the day
So call the shots, This man in solitude won't change the making and no matter what you do, Someone will hate it so...
Heaven-forbid I don't be a slave and
Heaven-forbid I go my way man
'Cause I know that it's hard to accept
I'm an outcast, Outcast, Outcast
(Repeat)",https://genius.com/Dialectrix-outcast-lyrics
Came For The Sound,Cycles Of Survival,2008,"One, two, we came for the sound
Three, four, we came to get down
Five, six, so let's hear it now
Jump, jump, jump, jump, jump

Jump up and down 'til you're breaking a disc
When you're clutching your  making a fist
When we're pumping the system the neighbours are pissed up
 for the kids who
Come to the shows with their mates and their chicks
Like blazing the  while taking a piss
Breaks in the mix, turntabler spin
And the pretty little things start shaking their tits
We running amok, starting(?) to try hard
Cycles who bust when we come in the club
So don't, don't tell me to stop
You stick around  'til I drop
With  at the top, we be bombing
 the shop when we're rocking the spot, so

One, two, we came for the sound
Three, four, we came to get down
Five, six, so let's hear it now
Jump, jump, jump, jump, jump
One, two, we came for the sound
Three, four, we came to get down
Five, six, so let's hear it now
Jump, jump, jump, jump, jump

'Cause we gotta get a little bit of soul
Back into the place
We getting downtown like minimum ways
Tearing the set to this like paper mache, yeah
We're doing this for  everybody 
Even if it don't  listening
Soothed by the music, it's lifting the heads
And I move to the groove when we flip a little bit of text
Next set to go, I'm wrecking it
To metronomes 
Boast to brag so cope with that
Fuck cafe hip hop, a bogan rap
Man, this is what it is and it is straight live shit
Loose shit, tight shit, nothing quite like it
Liking the hype, all you build the excitement
Join in the chorus and help me recite it

One, two, we came for the sound
Three, four, we came to get down
Five, six, so let's hear it now
Jump, jump, jump, jump, jump
One, two, we came for the sound
Three, four, we came get down
Five, six, so let's hear it now
Jump, jump, jump, jump, jump


You gotta burn it down, can't turn it down
Like Minaj 
Wonder 'round on the prowl
Ladies hanging off my side like a conga sound
Like thunder  where's my payment?
The underground 
 combination
 Dracula
 bachelor
Back to the beat, I rock the heat
Mr D-rapht and D-trix
Yeah, we got Chasm on the beat kid
Oh, hear the bass, hear the snare clap
Snap back like the blade from a bear trap

One, two, we came for the sound
Three, four, we came to get down
Five, six, so let's hear it now
Jump, jump, jump, jump, jump
One, two, we came for the sound
Three, four, we came to get down
Five, six, so let's hear it now
Jump, jump, jump, jump, jump",https://genius.com/Dialectrix-came-for-the-sound-lyrics
Dialectrix: Rapper Tag #44,Rapper Tag Australia,2011,"Well this here is Ruffneck Reality here
And all Rudeboy 
Fire!
Waddup, Dialectrix, DJ 2Buck, alright
Shout outs to Pegz, rest in peace Hunter
Shout outs to MC , we gon' do it like this, yeah

D to the motherfucking
Trix in this bitch tryna get my tag it happening
With DJ 2Buck in it 'cos when you tagging me, you're tagging him
Add it in, mix it up, whatever back my spit
When I pickpocket in every style that a rapper gives
It's packing to the maximum I'm back to the
Have to put it to that it should be actually rappers
 figured it out, now, I'm on a couch slouched
 stopping my psychological meltdown
Because I got a confession: I fall to depression
From all the cause and effect from E to the war recession
Not to mention the attention from doctors and medics street
In my my son's life, like they actually wanted to end it
Wanted to send it straight up to heaven
Chillin' in God's presence, no solitary breath in
And man this life that I let I'll probably regret but
They say that I fucking rock like a paleontology fetish
Shout out to 
 for a punch line to help me moving forward
Star chameleon, picture ambition that's higher than helium
Feeling empowered, I ride and  on this beat
When I thrust in, then I eject, uh
I wreck, sir, whenever the Wish is Def, uh
Be in my ear like ""checka checka check"", uh
I'll make them cheeks shine like them reflectors
Nah, man, shit, just chilling
Spitting out a rhythm on the shit 2Buck's spinning
Sip a little liquor for that gritty sustenance
While I flip my middle fingers at our shitty government, but
Hold back now 'cos I'm all
In to the point, I gotta pick up my pen and let it rip
But I'm still rocking mics, while the rest are sucking dicks
So put the mic down when I'm coming onto the stage,  when I spit

Alright, once again, rest in peace Hunter
This one's for you, man
This is stress release welcome to my rest in peace
The death of my cousin means that I never sleep
McCartney state of mind let it be
With a drink that I flee to like a refugee
But my poisons ain't killing me softly
When I fiend an almighty high - god speed
Truth being the human being is not free
When they're tuned in to heaviness like drop D
Nu metal, new mortar, new concrete
Working like a slave pays for my boss feed
When I should be making you shake your cans like Dondi
But instead I'm the one that's shook - Mobb Deep
I've got to milk my music till I've got cream
Cause my sons eyes are 2Pac - on me
Looking if I've got the goods to raise him properly
Living up at 5th gear at top speed
'Cos my world is a war, peace is the obstacle
War is time, constant and unstoppable
Time is my enemy, limiting what's possible
But enemies are friends whenever they're unconquerable
That's what I'm telling you
If you don't understand, rewind it, say ""yep"" (yep)
You fit into a primitive mould
And you do what you're told, I'm living with a mischievous soul, it's like that

Alright, Joe New, you're up next, brother
I'm outta here, peace",https://genius.com/Dialectrix-dialectrix-rapper-tag-44-lyrics
Go,The Cold Light of Day,2013,"Go! Go!
Go! Go!
Go! Go!

Ya, ya, oh
Hickory dickory dock, I'm watching the clock
That's counting my seconds down
But every hour then amounts 
To my future near, but my present's now
 and the time's on my hands
Left like grand theft taken away
Placed in a cage, waiting for days
Slave to the ways of an age
But I tried  when I 
Said it may change me but I can't change it
I live trapped in the gift of
A pitiful moment 
I  free time killer
Opportunity for me slipper
Waiting in a haze of day-to-day hiccups
Not just in a place ready for pickup
So with or without it
It seems to me I'm sitting here doubting
But forget about it
Time is ours and we claiming it now
Let's go!

I hear my time ticking down (Go!)
As the world goes around (Go!)
I hear my time ticking down (Go!)
As the world goes around (Go!)
I hear my time ticking down (Go!)
As the world goes around (Go!)

Land of the giants, clash of the titans
Man vs. science, stamped in the fire
Stand in defiance, add to the riots
Anger and violence, ambulance sirens
Where time just keep spinning and
Swing like a fork like pendulums
And then begin to take a seat
And wait and see what the day can bring
Many  lives some A to B
Tick, tick, gone - that's the way it seems
And some will drink it or smoke
It or lose it any way they can
We gladly pass it by
Thrown to the wind left asking, ""why?""
We part with time like a Grand Exchange
And think for the now, don't plan next day
Just go!

I hear my time ticking down (Go!)
As the world goes around (Go!)
I hear my time ticking down (Go!)
As the world goes around (Go!)
I hear my time ticking down (Go!)
As the world goes around (Go!)

Yo, peace, love, war, hate
Crossing calendars of dates
Work, eat, sleep, play
Wait to see another day
Live fast, die young
Past is gone, what's done is done
Tick tock, tick tock
Live for the minute I got on my watch
I roll with the masses, home of the facists
This my home where I soak in the madness
High density, identity
Everybody wanna go where the cash is
Madman living, man made prison
Life behind bars, we doing our time
Losing our lives, setting in stone
As our time will
Go!

I hear my time ticking down (Go!)
As the world goes around (Go!)
I hear my time ticking down (Go!)
As the world goes around (Go!)
I hear my time ticking down (Go!)
As the world goes around (Go!)",https://genius.com/Dialectrix-go-lyrics
Take Flight,The Cold Light of Day,2013,"So check the life of the new rap I write and choose
Cause there's no other type of life that I would like to do
And people criticise and tell me what they're thinking of it
An immature daydreamer with a drinking problem
So while others go to get careers to be a man
I'm forever young and never age like I'm Peter Pan
For me, the plan is working hard to feed a greedy fan
And keep 'em amped up with every beat I speak on, man
I play the best type of beats in my stereo
And try to keep my happiness high, and stress level low
I hit the road like it's part of life's episode
And everywhere I go is sort of like a second home
I'm soaking in the sunset and the summer breeze
I'm feeling utterly inundated and under siege
From the north to southerly scape suddenly
We banging these beats, boys, from Byron Bay to Bungaree

Take flight, I'll see you when I get back
I'll see you when I get back
Excuse me as I kiss the sky
Take flight, I'll see you when I get back
I'll see you when I get back
(That's why I can't be caught up in all the hype)
(I keep my song tight, let these lines stay flight)
Yo, I'm a tradie in the day and a muser in the night
Then I'm going through some new tracks and dutifully I write
When the weekend comes, I'm cruising on a flight
To my next destination, get you moving on the mic
From the mountainous ridge to the Valley of Bris
I scour the rim of this land for the crowds of my gigs
Whether it's out in the sticks or surrounded by bricks
I got more pound in that fist like the Alex da Kid
And I savour all the faces I ever seen
And next year, there's plenty more places that I've never been
We're from a soil that is ancient with deadly beings
Spanning the vast desolation to evergreens
My destiny got me adrenaline packed
From my pen and my pad to everywhere I been on the map
I spiritually levitate every second I rap
These fleeting moments are history I'll never get back
And so...
(Excuse me as I kiss the sky)

From skateboarding or wake boarding on clean waters
My temperament is envious of extreme sportsmen
Surrounded by recreational resources
And all I do is sit on my arse like Steve Hawking
But I head to the snow and get on the slopes
Of Victoria mountainsides and perilous roads
And I'm down to endeavour to get out in the weather
And when I'm ready I get up to shred the powder or perish
And so, from the heat to the freezing cold climates
We're dealing with the needs of the greedy coal miners
Plus, we got the symbol of simplified credence
Who gave my stars in the sky, a stigmatised meaning, yeah
From the opulence of gold and treasures
My gratitude conflicts with unwholesome ethics
And my memories are gems which I hold and cherish
But they're like tainted jewels from a stolen premise
It goes
(Take flight... Ooh, ooh, ooh)",https://genius.com/Dialectrix-take-flight-lyrics
Black and Gold,The Cold Light of Day,2013,"Getting my piece of the pie I hustle away with the work and the deadline
While leaving behind my catalogue with a story like bed time
Leaving my freedom even ignoring importance of sleep
Dreaming of living large in a big apartment on boulevard settings by the sea
See I've been down a bit been out of it sort of like a raving mad man
Inadequate to handle shit all I do is work on my rapping
Chronically on it honestly losing the use of my mind
I need a holiday and bath off a bay my face wrapped in a bit of sunshine
But wait now hold up wake up older no ultimatum weights on my shoulders
Got enough thoughts that are taking their toll going
All around the head like the lines of a bowl cut
Under the pressure of getting shredded I know that it's bold but
I've been up and then down down and I'm ready for the winter when the snow and the cold come

I've seen the greenest hills things that give me freezing chills
But still my work can be my weakness like Achilles' heel
It's not a pretty deal living with this gritty feel
I keep it real black and gold no frills son
I've seen the greenest hills things that give me freezing chills
But still my work can be my weakness like Achilles' heel
It's not a pretty deal living with this gritty feel
I keep it real black and gold no frills son

Day in day out my life will see the
Same things play out it might just be the
Way that I'm paving my future soon it is clear that I need to
Change this break out to find more freedom

It's sort of like the shining so isolated and dedicated to not wasting time that it's
Driving craziness into my life. I need to stop need to let my hair down and watch
Watch all the world that is surrounding me not thinking of then
What's around the corner when I wake up in the morning
Man I better get up all of what I'm waiting for to pile up
On a platter put upon the shoulders heavy with the burden
Betting all of what I want to get is unattainable to pull off
Voice that's inside me forever needing to speak and release
I'm never going to get ahead what I want to do and now
I'm taking time off living life free
I take it day to day while witnessing this beauty
And then I find that place of all the things I'm losing
Claiming it back and attracting all of the things that I need
For my whole life toward the raw light the thought is all right with joy to just be

I've seen the greenest hills things that give me freezing chills
But still my work can be my weakness like Achilles' heel
It's not a pretty deal living with this gritty feel
I keep it real black and gold no frills son
I've seen the greenest hills things that give me freezing chills
But still my work can be my weakness like Achilles' heel
It's not a pretty deal living with this gritty feel
I keep it real black and gold no frills son
I keep it real black and gold no frills son
I keep it real black and gold no frills son
I keep it real black and gold no frills son
I keep it real black and gold no frills son

Day in day out my life will see the
Same things play out it might just be the
Way that I'm paving my future soon it is clear that I need to
Change this break out to find more freedom",https://genius.com/Dialectrix-black-and-gold-lyrics
Fire in the Blood,The Cold Light of Day,2013,"First off fuck the world I'm straight over it
No debt to no man I owe no one shit
Yo life's a bitch and fucking turned into one
Taking on slavery in order just to feed my son
And be an M.C trying to push boundaries
And pay rent each week with another mouth to feed
It's almost impossible to come to grips with
The Sick 66 nature of art and business
There used to be artists who inspired me
Made me want to rhyme on beats
One signed me others want to fight with me
26 still on minimum wage
But destroying other rappers when I spit on a stage
It's ridiculous shit I've got the skills to get paid
But the bullshit of the world man it fills me rage
It's the flame in the blood that I can't escape
And it's too late to turn around now can't start again

Fire in my blood ignites in my veins
(Visualise the flame - flame - flames)
Boiling inferno the flow of the flames
(Lemme tell you 'bout my - my life)
Fire in my blood ignites in my veins
(It's in my blood - blood line)
Boiling inferno the flow of the flames

My life is a mess violently stressed tired and restless
Dreaming of squeezing guns against the side of my head
With that Jake the Muss blood line history of violence
Breaking all the rules and unwilling with compliance
And it's harmful to see as a father to be
That the apple really doesn't fall far from the tree
Yo and every man should try to aim or want to be a better Dad
When they've got a child and give them what they never had
I'm scared shitless of the flame in my veins
Or the fact we stoke the fire with the way that we raise
Our children if they copy what they see and what they see's disgraceful
We pass it on to the next seed up in the navel, yo

Fire in my blood ignites in my veins
(Visualise the flame - flame - flames)
Boiling inferno the flow of the flames
(Lemme tell you 'bout my - my life)
Fire in my blood ignites in my veins
(It's in my blood - blood line)
Boiling inferno the flow of the flames

Bi polar, depressed, insane, schizophrenic
Psycho, alcoholic, drop kick with depression
That's what you're called when you go against the grain
A by-product of the fire blood blazing flames
No longer playing games I've got to make a change
I can't raise my child living with these crazy ways
And so suitably I need to lose lunacy
Learning to love life just like I love Lucius Leaf
The powers that be and the powers within
The gamble ain't worth it no more because the house always wins
I'll forget the whole world forget about it for him
And freeze the blood lines, the dousing begins

Fire in my blood ignites in my veins
(Visualise the flame - flame - flames)
Boiling inferno the flow of the flames
(Lemme tell you 'bout my - my life)
Fire in my blood ignites in my veins
(It's in my blood - blood line)
Boiling inferno the flow of the flames",https://genius.com/Dialectrix-fire-in-the-blood-lyrics
