title,album,year,lyrics,urls
You Sleep Out Here,Against All Odds (artist: Devious),2014,"You sleep out here sleep out here
Can't be sleep out here
Mark of the beast out here they feast out here
Ain't  no peace out here
You sleep out here sleep out here
Can't be sleep out here
Can't show no teeth out here teeth here
Mark of the beast out here
Verse 1(Devious)
Land of the free how can we sleep
What are we doing?
Stand up for me hand up for me what ya pursuing?
Death or it's life life or it's death
Ashes to ashes or take your first breath
Take you a right or take you a left
But never just chill with the cousin of death
How could you judge how do you know what is the premise
They kill in the hood but livin is good
Look at our prisons
And dreams are deferred when life is a blur but mind ya own bizness
And god has the gavel and god is the jury who is the witness
Through peril and famine our teens carry hammers and go to the slammer
No thought of regret or presence of mind and nothing's examined
They pay it no mind they see but they blind they narcoleptics
But how could you sleep and never consider who's really affected? Who Knows
Chorus
You sleep out here sleep out here
Can't be sleep out here
Mark of the beast out here
Ain't  no peace out here
You sleep out here sleep out here
Can't be sleep out here can't  show no teeth out here
Mark of the beast out here
Verse 2 (Kevin Gates)
Psychoanalysis which I performed on myself
What that is? Alarming myself
Seeking help from the higher power divine knowledge can't call on myself (Oh Lord!)
Thought that I may have encountered my happiness
Only in that I made it hard on myself
Spirit willing when the flesh weak
Profit of god in the makin
In the mirror I see it my left eye is evil
I'm beautiful, Lucifer, Satan
In the kitchen we cookin no apron
Providing the poison who willing to take it (it's raw)
Selling they soul like when we sellin gold
Only led to a cell and me layin alone
My plug on the line my delivery comin
I'm tormented lord just deliver me from it (Get on the ground!)
Jumpin up outta my sleep to get money or could I be rushing to an early death (Blat!)
Ran in the streets lotta ignorant hustlin
Guns go to bussin they'll burn ya chest (ew!)
On my knees in the hospital another chance and I'm back in it
Lied to God in jail again said I was quittin but I'm back with it
Chorus
You sleep out here sleep out here
Can't be sleep out here
Mark of the beast out here
Ain't  no peace out here
You sleep out here sleep out here
Can't be sleep out here
Can't show no teeth out here
Mark of the beast out here
Verse 3 (Devious)
Tossin and turnin twistin and burnin what are you learning
Who to believe are u deceived
What are you earnin
What's if it's right what's if wrong
Turn on ya phone check out this song
Should you rebel or should you condone who got the answer to carry us home
That's deep huh like Plato, that's devious and gates yo
No sleep huh just wake bro that's confidence or that's faith yo
All in the mind all in the brain who can protect it
Keepin you in or keepin you out now what is neglected
The prince of our peace r the mark of the beast
Should we go west or should we go east
Free from it all or tied  on a leash
Whatever the answer we never gon sleep
----we meditate, we all wanna go inside heaven gates
Compliments of Devious, courtesy of Kevin Gates

Chorus
You sleep out here sleep out here
Can't be sleep out here
Mark of the beast out here
Ain't  no peace out here
You sleep out here sleep out here
Can't be sleep out here
Can't show no teeth out here
Mark of the beast out here",https://genius.com/Devious-you-sleep-out-here-lyrics
Welcome To The Birthplace,,2013,"This is New Orleans. The crescent city. Paris of America
It's squashed in the middle of the Mississippi mud with
The levies of the 19th century mist on one side the dykes
Of modern Industrialism on the other. And the old
French Quarter, bright eyed and exciting automating the
Cities beginning. Tourists still gasp at its enchanting courtyards...

Welcome to the birthplace NOLA is the first place
Where every day we party non-stop like it's your birthday
More than the murder rate, Southern hospitality
Katrina was a lifestyle we lived in actuality
Meet me on Bourbon Street stop and get a daiquiri
And take it to the Calliope, the domicile the Master P
Grubbin' by the Manchu , hangin' on the Riverview
Ridin' on the streetcar coolin' at the House of Blues
Dancin' at the Zulu Ball chillin' by the Port of Call
You can see the Indians and brass bands going off
We can hit St. Claude get a Gene's PO-boy
And every single night somebody gotta show boy

We get to showin' out, get-get to showin' out
We get to showin' out, get-get to showin' out
(Groove City, Groove City, Groove City)

Yeah they got a place where everybody go
You already know it's Groove City N-O
Mardi Gras mambo craw fish gumbo
Take it to the 9th ward, Hollygrove or Congo
The land of the Who Dat the city of the breeze
Where the ladies love to bounce and the fellas stackin' G's
Mondays never blue we eating rice and red beans
Anywhere you go you can taste the cuisine
Chillin' on the lake barbecuing on the grill
Deep in the Superdome aka the battlefield
From the 3rd Ward to 17
Eastbank to West
My city is unique
New Orleans is the best",https://genius.com/Devious-welcome-to-the-birthplace-lyrics
Take The Pain Away,,2015,"Verse (Devious)
We gon hit the mall cop brand new everything
Livin in the moment take a trip away from the pain
Sunny outside we might as well make it rain
For all the hardwork and good times in the game
Hair hang it low while you spending the dough
If you Feel a lil needy gon spend you some mo
Got a diamond on your finger and one on your toe
Late nights in Jamaica dance slow on the  flow
Royal West Indies feel the breeze at ease
Satisfy all my needs like ya name  appease
Hit the parasail tmrrw don't forget jet skis
Do it all to make you smile cause you do it for me
Let's take the pain away
Hook
You Take The Pain Away, when you by my side I feel alright
You Take the pain away, at my darkest times you give me life (2X)
Verse (Christian Radke)
Some days I'm stressed don't wanna see what's next
Then you come around and I feel so blessed
You light me up you're my excitement baby
You're the reason why I'm smiling
If I had the money then I'd get you your own Island
Yeah And you can be whoever you wan be
And you can do whatever you wan do
But see me I just wanna put it on you
Oh oh, I love the way that you move it
Girl let's get into it
And go and go and go and go and go and go and go and go
Hook
You Take The Pain Away, when you by my side I feel alright
You Take the pain away, at my darkest times you give me life (2X)",https://genius.com/Devious-take-the-pain-away-lyrics
Bounce That,,2019,"(BlaqNMild intro)
BlaqNMild you a genius
(Bridge)
Look for her look for her look for her
Look for her look for her look for her
Look for her look for her look for her
Look for her look for her look for her
(Verse 1)-Devious
Where she at? There she go
Bouncing on the dance floor
Slayin' everything in sight
Beauty in the house tonight
Shaking that thang, she a heart breaker
Bouncing that thang, she a heart taker
It's gotta be the cash, she a money maker
Now they gon make it rain, she a hunnid breaker
She gon catch the wall, biggy bounce for yall
Whenever you see her, you  gon break her off
(Chorus)
Bounce that thang girl (Do it, do it)
Wobble that thang girl (Do it, do it)
Twerk that thang girl (Do it, do it)
Bouncety bouncety bounce bounce that thang
Bounce that thang girl (Do it, do it)
Wobble that thang girl (Do it, do it)
Twerk that thang girl (Do it, do it)
Bouncety bouncety bounce bounce that thang
(Bridge)
Look for her look for her look for her
Look for her look for her look for her
Look for her look for her look for her
Look for her look for her look for her
(Verse 2)-Devious
Drop it low drop it low watch her when she move the crowd
She the type to show you how She gon make her body bounce
Looking back looking back loving how she work wit it
To the left to the right loving how she twerk with it
Shaking that thang she a heart breaker
Bouncing that thang she a heart taker
Now she in a zone she can feel that beat
Got it goin on she gon kill that beat
(Chorus)
Bounce that thang girl (Do it, do it)
Wobble that thang girl (Do it, do it)
Twerk that thang girl (Do it, do it)
Bouncety bouncety bounce bounce that thang
Bounce that thang girl (Do it, do it)
Wobble that thang girl (Do it, do it)
Twerk that thang girl (Do it, do it)
Bouncety bouncety bounce bounce that thang
(Bridge)
Look for her look for her look for her
Look for her look for her look for her
Look for her look for her look for her
Look for her look for her look for her
(Verse 3)-Devious
Where she at? There she go
Bouncing on the dance floor
Slayin' everything in sight
Beauty in the house tonight
Shaking that thang, she a heart breaker
Bouncing that thang, she a heart taker
It's gotta be the cash, she a money maker
Now they gon make it rain, she a hunnid breaker
She gon catch the wall, biggy bounce for yall
Whenever you see her, you  gon break her off
(Chorus)
Bounce that thang girl (Do it, do it)
Wobble that thang girl (Do it, do it)
Twerk that thang girl (Do it, do it)
Bouncety bouncety bounce bounce that thang
Bounce that thang girl (Do it, do it)
Wobble that thang girl (Do it, do it)
Twerk that thang girl (Do it, do it)
Bouncety bouncety bounce bounce that thang
(Bridge)
Look for her look for her look for her
Look for her look for her look for her
Look for her look for her look for her
Look for her look for her look for her",https://genius.com/Devious-bounce-that-lyrics
Fly High King,Fly High King,2017,"Fly High King by Devious
(Verse One)
When it comes to my brother imma spit through your speaker
That's the heart of a warrior that's my goon and  my keeper
That's my first so it's major who can't Hear me or feel me
That's a language unspoken yo that's a reason to kill me
Cause my bloodline my guidance; you know that I miss him
All his homies still ridin', they was there standing with him
Do this one for my mother for my sisters and cousins
For my family's pain cause it flow through our veins
But the heavens are smiling though; it's lonely at Christmas
All your kings and your queens they still be postin your pictures
We had nickels and quarters, we went to chasing them millions
They can hear what I'm saying but they can't see what I'm feeling
And they can never be another you
My brother Country is a legend, dog I love that dude
So Imma keep your spirit living strong
It's no more pain but still we hurt because your body gone
(Body gone  body gone)
(Chorus)
Man we traveled the states shrimp and steak on the plate
Hollygrove to Hollywood my destiny to be great
Fly High King you got your wings now you Smilin
Fly High King and if its beef then we riding
Man we traveled the states shrimp and steak on the plate
Hollygrove to Hollywood my destiny to be great
Fly High King you got your wings now you Smilin
Fly High King and if its beef then we riding
(Verse Two)
See we been through it all, we surviving these streets
From 86 on the block; up in the lab on these beats
I'm the day; you the night, still we one in the same
And you taught me the game on how to handle these lames
We used to ride out to Texas letting nothing affect us
And When the devil tried to kill us; only God could protect us
But your heart made a gold, and you stayed with your fam
Never holding on to grudges but you know how I am
I ain't taking no woodens; Imma make em respect it
When them boys tried to jump me; you were there acting reckless
That's the badge of a brother and you know that you wore it
Even when we would argue but still the love you would show it
And they can never be another you
My brother Country is a legend dog I love that dude
So imma keep your spirit living strong
It's no more pain but still we hurt because your body gone
(Chorus)
Man we traveled the states shrimp and steak on the plate
Hollygrove to Hollywood my destiny to be great
Fly High King you got your wings now you Smilin
Fly High King and if its beef then we riding
Man we traveled the states shrimp and steak on the plate
Hollygrove to Hollywood my destiny to be great
Fly High King you got your wings now you Smilin
Fly High King and if its beef then we riding",https://genius.com/Devious-fly-high-king-lyrics
This Life That I Lead,,2015,"(Chorus)
This
 life that I lead, that I lead, that I lead, that I lead kinda hard to believe
This life that I lead, that I lead, that I lead, that I lead got some scars you can see
(Verse One)
Try to hide that 
feel
 but the heart pumps real
Took em off my sleeves but they still wouldn't leave
So I get it now I'm frigid you can call that freeze
But my mind on ease and I chase that cheese
But I'm down on earth and I found my worth
Been a passionate soul since my mom gave birth
Good times came last bad times came first
If you walked my shoes you could talk my blues
But I stayed in tune battled with my wounds
Had a smile at 6 had a frown by noon
But I still can't lose I will always win
I was hurt by 5, back on the grind by ten
(Chorus)
This life that I lead, that I lead, that I lead, that I lead kinda hard to believe
This life that I lead, that I lead, that I lead, that I lead got some scars you can see
(Verse Two)
Some will call that luck, but it was destiny's child
Now I'm all grown up I been here for a while
Yeah I paid my dues, I'm in the black with the rap
Spent a whole lotta time to hit the map with the rap
Yeah I sacrificed love that's a heavy price
Just to get it out the mud, missed the married life
Wasn't travelin outta town or seeing baby showers
Just a blessed songwriter working navy hours
Never cast your pearls because of images
Or be mad at the world and seeking vengeances
Have a plan b and c to start up businesses
And every book ever written was only sentences
(Chorus)
This life that I lead, that I lead, that I lead, that I lead kinda hard to believe
This life that I lead, that I lead, that I lead, that I lead got some scars you can see",https://genius.com/Devious-this-life-that-i-lead-lyrics
100 or Nothin’,,2017,"Chorus (Derelyn)
Be who you are until they feel it
Trust in your heart don't play yourself you gotta keep it real
Keep it real
(You gotta keep it real)
Keep it real
(You gotta keep it real)
Verse One (Devious)
Rule one keep it real, never squeal
Family over all, never tell em how you feel
50 ain't enough, need to whole thang homie
Never be afraid to put the whole thing on it
Rule two, small circle, just me and you
Gotta read the same page if we making moves
Ask the most high for strength and serenity
Keep it solid, long time til infinity
Rule three, play your part, do the teamwork
No Judases allowed, make the dream work
Gotta rock with your day ones, same click
New hustle but you roll with who you came with
A hundred or nothin!
Chorus (Derelyn)
Be who you are until they feel it
Trust in your heart don't play yourself you gotta keep it real
Keep it real
(You gotta keep it real)
Keep it real
(You gotta keep it real)
Verse Two (Devious)
Nothin stand before us, nothing is above us
No reason to question Loyalty, it's within us
Major code we live by, values that we die on
Death before dishonor, so I honor you (right on!)
Guess they built us like that, Nola soldiers on that
Unity determine victory, where we strong at
Good, bad, and the ugly, I'll be standing right there
You'll be standing with me and trust me we don't fight fair
I'm my brothers keeper, she's my ride or die chic
Luca is my homie and I trust him with my life kid
Yeah they call me Vito, Dionici, Devo
Dino stay one hundred, bleed the same way as my people
Or Nothin!!
Chorus (Derelyn)
Be who you are until they feel it
Trust in your heart don't play yourself you gotta keep it real
Keep it real
(You gotta keep it real)
Keep it real
(You gotta keep it real)",https://genius.com/Devious-100-or-nothin-lyrics
Coffee House,,2018,"Coffee House feat Fiend
Bridge (Devious)
Is it Latte or coffee
Machiatto or iced tea
Just pour it up in my cup for me
Freshly brewed is the wave and the mood B
Verse One (Devious)
Push the button on the whip to start up
All I need is sunshine and Starbucks
Sadday mornings windows down to feel the breeze
Switching lanes on my way to Magazine
Cop a caramel drizzle, have a seat
Surf the internet a while, then I'll leave
My ambition stimulated feeling free
Now a Cuban cigar is all I need
Then I saw her out the corner of my eye
Call her mocha she was ebony and fly
Could hear the beauty in her voice passing by
She caught me looking and politely told me hi
At the coffee house
Chorus (Fiend)
It's that wake up wake up wake up won't you wake up
I hope your morning be good as a cup of coffee
(wake up wake up wake up)
That's what she said softly
She told me wake up wake up wake up baby  wake up
I hope your morning be good as a cup of coffee
(wake up wake up wake up)
That's what she said softly
Bridge (Devious)
Is it Latte or coffee
Machiatto or iced tea
Just pour it up in my cup for me
Freshly brewed is the wave and the mood B
Verse Two (Fiend)
Morning espresso, help me shine like my bezel
Staying focused, keep both of my pockets without the echoes
Bow ties, sport jackets, and retro
Yo, toasted croissant I'm in effect mode
Drive through a dine-in, it all depends on the shedual
Sometimes I get good vibes when I  ride so I  let it flow
Up before the roosters and hens let me begin
Cool as dewdrops on leaves from oil vapin
Meetings and emails go together like large bodies
Of water and seashells
And women let tea spill
My name Jones and everything we could talk about
But not on social media fam, meet me at the coffee house
Chorus (Fiend)
It's  that wake up wake up wake up won't you wake up
I hope your morning be good as a cup of coffee
(wake up wake up wake up)
That's what she said softly
She told me wake up wake up wake up baby  wake up
I hope your morning be good as a cup of coffee
(wake up wake up wake up)
That's what she said softly
Bridge (Devious)
Is it Latte or coffee
Machiatto or iced tea
Just pour it up in my cup for me
Freshly brewed is the wave and the mood B",https://genius.com/Devious-coffee-house-feat-fiend-lyrics
I Really Miss You,,2019," Joshua Wiest:
Less than i was before feelin like i know much more so damn bored in my my head  so  worthless x2
I feel like im less feel so unblessed it’s a burning bridge nothin to see nothin to be
But so worthless oh x2 im so worthless
When i keep my spirits up  its like im using up the rest of my love just get through not feeling
Worthless so worthless.
 
It’s dark in my head i can’t get ahead of myself  im ready to follow a path where i can open up and make a past it’s a decision i keep lookin at and i'm just not feelin so good cause i feel worthless oh so worthless im so worthless Shorty why you hereee.  I'm just going baaaaaaad. I'm just going maaaaaaaad. I just don't ride faaaaaaaaast. ohhh
 Devious:
Feeling really lost, yeah i'm feeling really cold. Losing my soul. Grabbing my coat. (Woah) Feeling like i'm dead at the same time. I just wanna reach your deadline. Take a step back from my mind.
 
I don't wanna live another lie. Ripping out my motha flipping spine. Cuz I wonder why. Heavens in the sky. Hells in the ground. Couldn't hear a sound. I lost sight, of the finish line. I lost sight it's not fucking mine. I rip out my eyes, I don' wanna, see you die. Oh so fine
 Joshua Wiest:
Less than i was before feelin like i know much more so damn bored in my my head  so  worthless x2
I feel like im less feel so unblessed it’s a burning bridge nothin to see nothin to be
But so worthless oh x2 im so worthless
When i keep my spirits up  its like im using up the rest of my love just get through not feeling
Worthless so worthless.
 
It’s dark in my head i can’t get ahead of myself  im ready to follow a path where i can open up and make a past it’s a decision i keep lookin at and im just not feelin so good cause i feel worthless oh so worthless im so worthless Shorty why you hereeeeeee.  I'm just going baaaaaaaaaaaaad. I'm just going maaaaaaaad. I just don't ride faaaaaaaaast. ohhh
 Devious
Spitting I like it, heart doesn't feel shit. Like a bart simpson.
 
Just like Neil Armstrong imma be the first man, but instead it's to make a song.
 
I don't wonder wrong. uh I'm in my direction. yuh I wanna be  be with you forever ohhhhhh think about you all day. Think about getting paid. Not fucked in the face man fuck the bass (yuh)",https://genius.com/Devious-i-really-miss-you-lyrics
Pronounce,,2019,"Intro: Man go open da sky and drop dem a grung,
Darkness crawl down bad weather can't done,
Pussy dem mussy think man drunk offa rum,
Everything a dead now tonight no spear non.
Chours: Pronounce dem dead pan di bloodcatt spot,
Pronounce dem dead pan di bloodcatt spot,
We no tell bwoy say we soon come back,
Four time scope pitch out dem headback,
(Pussy dem a run when di war get hot,
All dem gal in har face we clap that.)
Klum Klum
Verse1: Check da body deh make sure everybody dead,
If nobody move no itch fi put 2 Inna dem head,
Man go spread dem easy  like da butter pan a bread,
Yea the sniper position got da red pan him forehead,
You shoulda Lowe da badman profile,
Go look a gal and get a heads more while
Man go step it up and show dem killer style,
Ketch u gal then mi send har fi stab u wid u knife,
Inna life don’t take up this life,
Badman thing we travel wid it as we like,
Never bummy, never frighten,
real killer style, man max out pan di drive.
Chours: Pronounce dem dead pan di bloodcatt spot,
Pronounce dem dead pan di bloodcatt spot,
We no tell bwoy say we soon come back,
Four time scope pitch out dem headback,
(Pussy dem a run when di war get hot,
All dem gal in har face we clap that.)
Verse2:
suck your mother mi no care whe u don think,
Owna gun Owna shot, No care whe some man link,
Ask any wirebrain pan ur lane bout da damn thing,
K a buss it never rust, da fire pin well active,
Browning fi da crowning da angle look attractive,
Things a buss loud dem nuclear and radio active,
Get da intel, da adresss and find whe da bird live,
Face flat, dem face fat, god kno dem deserve  this.
(Pussy dem)
Chours: Pronounce dem dead pan di bloodcatt spot,
Pronounce dem dead pan di bloodcatt spot,
We no tell bwoy say we soon come back,
Four time scope pitch out dem headback,",https://genius.com/Devious-pronounce-annotated
