title,album,year,lyrics,urls
Debris Told Me,2011 Golden Era Mixtape,2011,"We got DJ Madcap breaking it down right now. This next track got left off State of the Art and it's a goddamn tribute to the DJ. Debris wassup!

He told he set it, 'I set it off'
Debris told me to set it, 'Set it off, man!'
He told he set it, 'I set it off'
Debris told me to set it, 'Set it off, man!'
""Set it off, get it off, let it off—Get it""
""Set it off, get it off, let it off—Get it""
""Set it off, get it off, let it off—Get it""
Moving while, we keep it moving while
""Set it off, get it off, let it off—Get it""
We keep it moving while, we keep it moving

Man, I been 'round the world representin', where've you been to?
Begin to realise we've been down, we've been true
'Cause hitting the booth, not spittin' 'bout what you've been through's
Like going to the toilet and putting *clears throat* in you
 watch you like
You could sell records but it's just that you choose not to (Right)
Well not true, I got something to drop for ya
You're not underground bro, you're just unpopular
'Cause underground's a state of mind, it's a place in your heart
It's when your breaks and your rhymes are fuckin' state of the art
And this is State of the Art, you should've stayed in the yard
""Whinging and moaning aren't ya
You never stop moaning and whinging
And whinging and moaning
Moaning, whinging"" princess you're breaking my heart
Meg Ryan, I've never ever seen someone fake it this hard
And I'ma take 'em apart
And set this off, it's like the pube in the urinal
Getting aimed at by a dude in a cubical, man, I'm pissed off

He told he set it, 'I set it off'
Debris told me to set it, 'Set it off, man!'
He told he set it, 'I set it off'
Debris told me to set it, 'Set it off, man!'
""Set it off, get it off, let it off—Get it""
""Set it off, get it off, let it off—Get it""
""Set it off, get it off, let it off—Get it""
Moving while, we keep it moving while
""Set it off, get it off, let it off—Get it""
We keep it moving while, we keep it moving

Hey sweetie! I'm fuckin' out of this world, believe me
Reaching me means you got a short skirt and ouiji
Debris be the keeper of cuts
If your older brother hates the Oars your younger sister's sneaking us up
Chump! You fresh? Fuck whatever you said
That still remains to be seen like identifying the dead
It's the mister speaking shit, fucking with Trials
Is like fucking your wife and waking up with a leaky dick
Suspicious, come run with us
Crammed in a car like pretty women and one mirror (Jump in)
It ain't like I'm something famous
I'll be lucky if the girl I f— (Oh yeah) can remember what my name is
(Who are you?!) They still sookin' like I owe somethin'
Fuck 'em, rum dry lime on ice like Ben Cousins'
And I'm done wit 'em, *psst* pigeon
Livin', shittin', I'm pickin' the crumbs Debris give 'em
Set it off, man!

He told he set it, 'I set it off'
Debris told me to set it, 'Set it off, man!'
He told he set it, 'I set it off'
Debris told me to set it, 'Set it off, man!'
""Set it off, get it off, let it off—Get it""
""Set it off, get it off, let it off—Get it""
""Set it off, get it off, let it off—Get it""
Moving while, we keep it moving while
""Set it off, get it off, let it off—Get it""
We keep it moving while, we keep it moving

""The important thing here is a fucking bunch of motherfuckers we don't even know calling us assholes on the Internet to teenagers and guys who can't even get laid. Putting a stop to that is the most important thing we could ever do.""",https://genius.com/Hilltop-hoods-debris-told-me-lyrics
1979,A Matter of Time,1999,"Know what I'm saying, in nineteen-seventy-nine
I was a two-year-old kid from 
Adelaide
I wasn't a fourteen-year-old kid from the Bronx
It seems to me that in nineteen-ninety-nine
Hip-hop's a business, in nineteen-seventy-nine it's culture
And I miss it

You're so fake, it's plain to see who you truly are
Looking less like a b-boy, more like a movie star
Forget the funk and go hook up those disco breaks
Sit down punk and take a look at what you make
It's not hip-hop, it's something more sad, sick and seedy
What's popping that Gucci got to do with graffiti?
And your R&B dance-steps, what about finger-popping
B-boy electric shocking, windmills, body rocking?
So body-body rock, body-body rock, I take it back
Break your back, realise b-boys aren't faking that
Funk that you've forgotten hoe, how could you have gotten so
Far gone that you could never stop and go
Back to the roots, nineteen-seventy-nine
Birth place of the scratch, birth place of the rhyme
Feel it in your spine like your first taste of wine
We'll make it back; it'll just take some time

Remember Kangol hats, fat laces and lino mats
Kids spinning on their backs to the Sugarhill wax
Now the sugar hills collapsed and the sweets turned sour
Money's walking my culture through its darkest hour
Now I wanna take you back, walk along through time
I was two years old in nineteen-seventy-nine
But it's a time that I miss; you ask ""What's the difference?""
Hip-hop was then a culture, now hip-hop's a business

""The—The music—The—The—The music
The—The—The music—The—The—The music
The—The—The music—The—The—The music
The music of our youth
From—From nineteen—From—From—From nineteen
Nine—Nine—Nineteen-seventy-nine
Nine—Nineteen-seven—Nineteen-sev—
Nineteen-sev—sev—seventy-nine

Zulu's started b-boying as a form of expression
To channel youths stress and their aggression, now through the suggestion
Of record companies MC's are pumping these
Problems back into your section 
(And isn't it ironic?)
But not the sort that makes you laugh
'Cause MC's are building futures by raping the past
Taking a glass of Chardonnay and putting it to your lips
I'd rather take a razor blade and put it to my wrist
Than sell records on the basis that I have to promote
Sniffing and selling coke, toting guns and smoking dope
You're all weaving the rope that you'll hang yourself with
My only consolation is within the hip-hop nation is
B-boy elements that could still get me open
Like Graff mags from Berlin, mixtapes from Oakland
Breakers from Rock Steady, plus anything from Tribe
And old school New York that's still got the vibe

Remember Kangol hats, fat laces and lino mats
Kids spinning on their backs to the Sugarhill wax
Now the sugar hills collapsed and the sweets turned sour
Money's walking my culture through its darkest hour
Now I wanna take you back, walk along through time
I was two years old in nineteen-seventy-nine
But it's a time that I miss; you ask ""What's the difference?""
Hip-hop was then a culture, now hip-hop's a business

""The—The music—The—The—The music
The—The—The music—The—The—The music
The—The—The music—The—The—The music
The music of our youth
From—From nineteen—From—From—From nineteen
From—From nineteen—From—From—From nineteen
Nine—Nineteen-seven—Nineteen-sev—
Nineteen-sev—sev—seventy-nine",https://genius.com/Hilltop-hoods-1979-lyrics
A Matter Of Time,A Matter of Time,1999,"""Matter of time""
""Matter of time""
""Matter of time""
""Matter of time""
""Matter of time""
""Time will tell everything""
""Matter of time""
""Time will tell everything""
""That's all it takes
Pressure... and time""

It's just a matter, now what's the matter?
At a point in time it seems my mind just clatters
Rappers  in my sight, fill 'em with spite and grudges
When all the fools around, I want you falling down like Michael Douglas
So, royal, imperial, dude you're speaking anorexia
Your toilet material like force feeding anorexics
I'm official like this track that you're getting this song
You're living in the past, while my name'll live long
That foolery ain't used that's why the greats are calling me
When you get given shows, I swear you're cloaked in jewelery
'Cause all I need is a sense of pride, regardless if I make it
While I shine like a jewel, you singing ""Who will save your soul""
Fakers fold when the break is sold, step off
Sucking so much dick, that's what you'll do for twenty percent off
With your budget nametag, talk up Adelaide fag
I'm just doing my thing, while you're screaming your name's bad
And they find no thing toy, they find no thing
I know you can sing boy, I know you can sing
But you dissing me's a joke and that is
Rapping faster than a epileptic spitting words at speed
Did it occur that you need to slow down, think about it
While I toast to a bottle and MC's are drinking out it
So I run up in your game like your girlfriend's a sport
I meat your names as lyrics, and shit in that food for thought
I wonder who would've bought this if I had a name
Social crimes can't dispute this sliding down the laderless frame
It's a status game, cause what you wanna claim
Is the baddest name, even that is the same
For gather the fame, it's the same, repetitive
So to make moves I play chips and sedatives, you better 
My heart's on this track now, I'ma take yours from you
It's just a matter of time before the Pressure puts it on ya

""Matter of time""
""Time will tell everything""
""Matter of time""
""Time will tell everything""
""Matter of time""
""Time will tell everything""
""Matter of time""
""Time will tell everything""

Ha, hah
Seconds pass man it's passed, selfless path
Like, sands of time through an hourglass
For now I bask in the summertime Australian
On towards the dawn of the dead, the Armageddon
Mankind in 2000 is frightening
The violence is no longer hiding
It's riding this storm that's approaching
Pandora's box and the
Hood's are coming, the storm we riding on
We'll hit the ground running when we crash like a comet
To the surface, it's us versus the worthless
Turn the world into a furnace when we bust first
The Earth is a lyric, insane with the flow
Verse, when you hear it you, can't let it go
You're trapped in a trap, immersed in sound, sometimes
We stash surface dwellers, then take 'em underground
See the world from our side, reverse polarity
And look through our eyes, the curse of clarity
Everyone's fake, self centered
Demented, street centred snakes
But on the flip side, I guess there's a bright side
But on the dark side, it's actual windy like a riptide
If I give into stress I guess I, give into anything
So it's best I keep on like perpetual motion
And ignore the storm clouds gathering on the coast
And not give into emotion, be strong
Keep on running like roues as time creeps on
And keeps on, we sleep on out feet dreaming
We should probably seem as to be gone, be gone
The time sneaks on, another minute and we're blind
At least with the track you can press rewind, kid, it's time

""Matter of time""
""Matter of time""
""Matter of time""
""Matter of time""
""Matter of time""
""Matter of time""",https://genius.com/Hilltop-hoods-a-matter-of-time-lyrics
B-Boy Battlegear,A Matter of Time,1999,"Night time in winter, it has a certain atmosphere
I enter, the outer with a leash on my Staffordshire
Clasping my right hand, my mask is a darkness
My hoody and my headphones are the B-Boy Battlegear
My walkman grinds a tape that's been in there since the night before
A rapper makes a statement that sends shivers down my spinal chord
Soul is in my walkman, and spirits in my step, a
Leash is in my right hand and my pocket hugs my left, a
Night has so much power, when I step I feel the streets scream
It's just a light shower but the rain, it makes the streets steam
It all seems familiar, I know that I've been here before
I notice an engravement on the pavement I made years before
The statement from before, finds it's way back into my mind
Inspired, my mind's fired up with subconscious freestyle rhymes
I fall into my own world, my status is trance like
I haven't felt like this in ages, well that is since last night
Like a Sadas with a glass, but I exhale tragedy
And gradually, start to inhale positivity
The dignity in knowing that you have no regrets
And everything you have and own is built through your own sweat
And toil, keep it moving, keep on burning midnight oil
And as I walk the night, my Nikes leave impressions in the soil
I check for cars and cross the road, cause I've finally found a pay phone
I pick up the receiver and I'm greeted by the dial tone
The night has so much power, I want to be a part of it
This is a light shower and I'm walking through the heart of it
The night time realm, I'm overwhelmed by the atmosphere
My hoody and my headphones are the B-Boy Battlegear
The night has so much power...
It's just a light shower...
The night time realm...
My hoody and my... (echoes)
""B-Boy Battlegear"" x8

Hello
How you going mate?
It's Matty
Yeah
How you doing?
Not bad, what are you up to?
Um not much man, just kicking back, writing a few rhymes, trying to figure out what to do tonight
About what time?
Whenever man
Alright, we should hook up, I'll drop round
Yeah cool
Alright, umm I'll come around in about an hour then
Yep
Ok
See ya then mate
Chill
Chill",https://genius.com/Hilltop-hoods-b-boy-battlegear-lyrics
Clap Your Hands To The...,A Matter of Time,1999,"STH
Oh Yes Yes Yes

And just clap your hands to the beat box
I said ah clap your hands to the beat what
Just clap your hands to the beat box
And
Just clap your hands to the beat what

I step in the dirt, listen to this man flex
You make me sick like guys with man breasts
You make me wanna throw up 
I grew up in the hilltop
I've got the rhymes that will still rock

I'm sicken on this track, it's not fair
But this beat box is thicker than DJ Dyems' chest hair
He keeps flowing with his stiffens are poking out
Of his ....

It gets looser than an elephant nine months pregnant
I could say I represent but that's just irrelevant
This is all for jamming cause dammall for ranbull they call me Dan 'cause I slam

Oh learn to be slaming
Oh learn to be slamming on on on on on
Oh learn to be slammding
Take me out with the
Scratches scratches scratches",https://genius.com/Hilltop-hoods-clap-your-hands-to-the-lyrics
Common Streets,A Matter of Time,1999,"It's all the same, regardless of your rep or your name
Rappers walking in the rain, tryin' to state their claim
I can take the weight, I just take the back pain
There's much to be gained from the money and fame
(It's like that) I feel the power when I hear it in the streets
(It's like rap) Used to be about the lyrics and beats
(Behind that) Then turned my rhythm to commercialism
And now this curb is a prison for us to walk common streets

Now if my flesh is weak, my passion is my shield
And my strength is my speech in which I'll make men yield
'Cause in this field of expertise, many rappers flex with ease
Using hip hop as gimmicks and wish to gain sex with ease
With a joint or a bottle and a picturing posing crew
The only thing I learned is I can only trust a chosen few
I got respect for my crew and love for my home
Never claimed a crown or throne from the use of microphones
Just let me rise while all you critics clothing minor skies
Penetrating you're fakin' as you look into my eyes
And my surmise will be the day that hip-hop dies
Or at least until the day the mass of boys stop telling lies
With every step more of your faith companies supporting any
Every breath or laugh I take makes me gag in nausea
It's just the asthma; It's chokin' me, vocally
Provokin' me to live with frustation with words colloquially
'Cause globally I'm fucked, if you ever notice me
So I cling to what I got and rock the spot with a pro to see
'Cause sometimes, the people just don't want to let go
Now put that mic down before you get crushed like Thredbo
But hold it now, who said we're walking common streets?
You just kept robbing them beats, hip-hop got stolen, foul
Some lost their creativy and our sense of pride was humbled
Ali threw in the gloves so now I'm Rumble in the Jungle
Don't you worry cos them punks will fall off figures, time's our only shackle
You lost that love I feel, you fall but I'm fine, but crackles
And only time is able to heal the wounds, that was open
From much choking the community and food bag
'Cause hypocrites, contradicting shit, every bit of it
I've heard more to say from dads to their children that be illiterate
I just hung my head in my hands and kept working on them beats
For now we're walking foreign lands, maybe one day common streets

It's all the same, regardless of your rep or your name
Rappers walking in the rain, trying to state their claim
(I can take the weight, I just take the back pain)
There's much to be gained from the money and fame
(It's like that) I feel the power when I hear it in the streets
(It's like rap) Used to be about the lyrics and beats
(Behind that) Then turned my rhythm to commercialism
And now this curb is a prison for us to walk common streets

It's all the same
Common streets

""Can you feel it? Can you feel the vibe?""
(Seems I'm in a dream as I walk through just outside)
""Can you feel it? Can you feel the vibe?
Looks like we're leaving to the people walking by""
""Can you feel it?""
""Can you feel the vibe?
Looks like we're leaving to the people walking by""",https://genius.com/Hilltop-hoods-common-streets-lyrics
Deaf Can Hear,A Matter of Time,1999,"Oh my God boy, Bukue One here with the Hilltop Hoods man
Come and hear, aiyyo
The year 2000, we got something new
We on some next, way out of here
We got stuff so dope you know
Guess what, even the deaf can hear, yeah

It's the Hilltop Hoods and Bukue in the place
From the place where kids rhyme with flies on their face
(Australia) and the Oakland crew
(Star Fighter number one to y'all, Bukue)
Hear us, they feel it in their spirit and they cheer us
Fabulous flows from the three life feelers
Fact met your match yep, the fact test, I snap necks
Like whiplash, I get down, I get smashed, so sit down
Don't get rash, just check out, the kick out ...
Now hear this, I'ma tell you what I like
I like crowds when they scream, hate when they booing
Hip Hop that's clean, not rap that's diluted
I like to dispute the ... undisputed
Like to kick a style, teaching Howard how to do it
Now hear this, don't read my lips
The only sign I want to see in the air is a fist

Sign language not needed when we appear
With these flows so deep even the (deaf can hear)
Heartfelt delivery is loud and clear
Simple telepathy so the (deaf can hear)
If you're not feeling this then disappear
We don't need you cos the (deaf can hear)
Our sounds penetrate like the ancient spears
Penetrating the soul so the (deaf can hear)

Top of the hills with contents under Pressure
Star Fighter Bukue makes you Sufferer
Now hear this ...
Irresistible lyricism with compatible turntable techniques
Speaking with vocal presence of a messiah
Who inspires all, sets tracks on fire
You be torched out, radiating heat no doubt
Burning toys from the inside out
Crowds burst into flame, each bomb makes it hotter
Before the show I hid all extinguishers
Hahaha, no way of prevention
It was either burn to death or smoke inhalation
Alleviates you a painful existence
Allow your spirit to ascend (rest in peace)
All this seen at the show very clear
Rhymes penetrate so even the deaf can hear

Sign language not needed when we appear
With these flows so deep even the (deaf can hear)
Heartfelt delivery is loud and clear
Simple telepathy so the (deaf can hear)
If you're not feeling this then disappear
We don't need you cos the (deaf can hear)
Our sounds penetrate like the ancient spears
Penetrating the soul so the (deaf can hear)

It's the Hoods, you can't hear this? Then get my picture
Cause all I need's a beat, bass and lip twitcher
To fix ya, it's audible without the use of sign wave
As I sways, your mind play, now emcees do it my way
Now I'll wait, cause time's ticking, my rhymes kicking
I feel my mind tripping on words and phrases, the lines thicken
My memory, from the next emcee's telepathy
But I leave 'em deaf and dumb and put in double jeopardy
Regrettably, some are hard in their interior
Even the deafest emcees be yelling ""Crack it man, I'm hearing ya""
Now whether the fans are cheering ya or whether they're rivals
Whether their freestyle recitals just be needing some titles
They all listen in, to rhyme slander
It's the 
highlanders
, full pride demander
Beats might slam ya, and your peer's weak
Radiate toxic thoughts over deaf, hear me clearly

Sign language not needed when we appear
With these flows so deep even the (deaf can hear)
Heartfelt delivery is loud and clear
Simple telepathy so the (deaf can hear)
If you're not feeling this then disappear
We don't need you cos the (deaf can hear)
Our sounds penetrate like the ancient spears
Penetrating the soul so the (deaf can hear)",https://genius.com/Hilltop-hoods-deaf-can-hear-lyrics
Give it Up,A Matter of Time,1999,"I clutch my chest for some breath that eludes me
Plain and truly, you try and comprehend your words but you lose me
Stubborn my character, I'm hanging loosely, to some loose leaf
Sign wave, it's my face, the motion moves me
I stagger awkwardly, unfortunately most can't walk with me
I thought we'd be of similar faith, yet still they talk of me
I've got a heart full of soul, yet all the hawkers be
Thoughtlessly moving through life forgetting this importancy
Now lessons taught to me fly by me like memories
That's when embers leap out, I sit produce the tendencies
I shift my energy to enemies who pretend to be
A friend of me, regularly play the greater tongue tenancies

You gots to give it up cause it's a matter of time right
I rhyme tight, it's fine like a model in the limelight
I shine light, so gets the message like a sign right
You'll find high lyrics then regret it in hindsight
I shine bright in rhyme fights with my mind right
You looking blindside and rhyme bite, kid tonight is my night
I might, blind your eyesight with my analogy
Let's clear the stage if you want to come battle me
Expand it like the cells and calories, so challenge me
I harness the beat, that's how to ring em', bring the cavalry
Shallow be MC's, irritating like an allergy
Hallowed be thy name if you want fame or salary

Give it up, give it up, give it up, give it up, give it up
Everybody sing
Give it up, give it up, give it up, give it up, give it up
Everybody sing
Give it up, give it up, give it up, give it up, give it up
Everybody sing
Give it up, give it up, give it up, give it up, give it up
Everybody sing

...You gots, you gots, you gots
You gots to give it up cause I know that you're on it
A B-Boy, the force in my soul is sonic
My words are commen-tating on the planet
The earth I tread, my sneakers hit the granite
And I'm moving, at the speed of sunrays reflecting
Off mirrored city buildings (my sneaks keep in step)
Along the city streets that I'm walking
Inside my Walkman, I feel the vibe of an MC talking
(Speaking... spoken...)
The words tap your soul and the verse gets you open
Like the mind of a bass head hitting the pipe
I step through the day and walk into the night

Give up the one-liners then I break em' in half
Give em' two back to take back in the arse, just for faking my art
Now they faint in the heart, just for making the chart
I gots to break em' apart and forsake em, depart
From my path like a Jehovah's Witness
I move the crowd 'til they got motion sickness, in flows my sickness
From the cream of the crop, who rose the thickest?
I run a stage just to show my fitness, and post a witness
My microphone durability, your crew admittedly you knew was feeling me
Come from my true stability
I draw energy from MC provoking
But I don't draw breath just to leave words unspoken

Give it up, give it up, give it up, give it up, give it up
Everybody sing
Give it up, give it up, give it up, give it up, give it up
Everybody sing
Give it up, give it up, give it up, give it up, give it up
Everybody sing
Give it up, give it up, give it up, give it up, give it up
Everybody sing",https://genius.com/Hilltop-hoods-give-it-up-lyrics
The Anthem,A Matter of Time,1999,"Daaa... da da da...
Da da da... da da da, da da da, danana

""My Style is the craziest""
Hilltop
""That style is the craziest""
Suffa you know your rhymes amaze me just
""Get on the mic""
Let's show em' who'se craziest

This be the Suffa MC enhancing the track
I treat the mic like a show girl, romancing her lap
So when it's time for tips don't forget my rhyming tricks
So live it's on the (starlist???) cos I got the vinyl licks
Ya spine'll rip open and I'll make your mind eclips
Independant, giving major labels minor fits
I'ma rip, (polyflip??) and give MC's them siezures
You're rapping like the Dala in Indonesia, I see ya
And it's your fate I see, it's like a two dollar hooker with HIV
You wanna step and be friendly? I'll rip your style apart
You'll end up like Kenny from Southpark
So just try to fade me, just try to fade me just, try to fade me kid
We're the craziest
I've seen others and I was like ""shit he sucked""
I bring the stress to your chest like a hooker getting titty fucked
This kid errupts from the hills, I guess he got skills so
MC's are getting treated like a dyke with a dildo
It feels so good you'll moan like Tabatha Cash
As Nick scratch this vinal like the record had a rash
Like cash I'm errupting, styles have you suffering
The air that you suck has your lungs rupturing
Suffa bring invincability, ya can't hurt me jerk
Just pass a cold one cos it seems thirsty work like

""My Style is the craziest""
Hilltop
""That style is the craziest""
Pressure you know your rhymes amaze me just
""Get on the mic""
Let's show em' who'se craziest

Now this be the capital pressure, from Hilltop these MC's flex
Deeper than the bonet proof of nexus (??) the MC says
'The Hoods release text
I bet that you'll release threats for the next to sweat'
Now please let ya mind follow me like a preist to his panthem
The anthem, if they left standing then I hand them
The tool of my trade reflects the trade of my tool
I cool in the shade now Suffa take em' to school
But it's cool, MC's are made to be broken like rules
I take my chance and either walk away a king or a fool
The waters deep my friend, you can't wait your turn so
They choose to burn boats then turncoat like Cherral Kerno
They'll learn though, as time takes it's course my rhyme breaks the force
Of ya spine to make ya toss, so convulsive, so repulsive until your mind is numb
Now just stop your encroaching by, your time has come
Now I'm the one, but to tango it takes two
Cos MC's be talkin' hard times but to me it's easy
I ran through life's lessons, tript on, survived destines
To shoot my fate, could ecumulate my mic lessons
But I didn't - I made what I got from just the spittings and persistance
I got to nurse my baby, what's the differnce?
A little patience and let time be, you go through situations
Lessons full of life's vibrations

""My Style is the craziest""
Hilltop
""That style is the craziest""
Next you know your cuts amaze me just
Get on the decks
""Show em' who'se craziest""

Get on the mic
Na... na na na... na na na... na na na nana",https://genius.com/Hilltop-hoods-the-anthem-lyrics
Time Wasted,A Matter of Time,1999,"Anything lost can be found again, except for time wasted
Anything lost can be found again, except for time wasted
Anything lost can be found again, except for time wasted
Time wasted, time wasted
Anything lost can be found again, except for time wasted
Anything lost can be found again",https://genius.com/Hilltop-hoods-time-wasted-lyrics
