title,album,year,lyrics,urls
6 Shooter,Bring It Back,2012,"Yo, this joint right here is dedicated to all the motherfuckers who fell off (yeah)
And the motherfuckers who’s about to fall off

It's uh Mr 'If The-If The City Had A'
Turn the bass up till the place jump and the window shatter
Miss me with the banter, my man, I been a factor
The benefactor with ink - your man's the missing chapter
Phizzle, this a banger
, Illy let's get it cracking
Twist the fabric of time with a rhyme, my style is systematic
I scribble something so ill you wish that you didn’t catch it
Twist a fat one and sprinkle this here with a little magic
When you and your friends rhyme it's bedtime, I'm snoring
Whether or not I headline, yes I’m supporting
Flavour drip through the speaker when I’m recording
If charisma’s a disease I could be dead by the morning
My man, we are the entire fuck out here
Lights up, Ryan's up, fire up the sound gear
Been accused of the recklessness but I don’t dispute the evidence
I just reload the clip and shoot the messenger

Hey it's that bloke from the water’s edge
One stroke gets your daughter wet
You're getting served like you haven’t ordered yet
I score a rep by putting verses in the morgue
Till my services are more sought after than a whore’s
I’m getting plenty buddy, how you getting yours?
I’m getting paid the pen and page, add a little more
We smack a stage till it needs to be restored
And I do this shit because I love it not because I’m bored
Moved away from Beauy but it’s pumping through my heart
Now I represent the Frankston line and going fucking hard
Aiming for the stars, been rolling from the start
Now I’m sharing tracks with motherfuckers holding golden plaques
Braithwaite Steeze, Wild animal mentality
And haters getting mad at rappers doubling their salary
They’re talking shit, I ain’t hearing what they telling me
The colour that they seeing's greener than a stick of celery
Celery

Yeah
Introductions aside, you askin' who am I?
I’m the owner of a gallery, your tour guide
And you can leave with stained shirts
'Cause tryna understand how my brain works is suicide
I got a beautiful mind covered in sewer slime
And if you look a little closer there’s a clue inside
To get past the putrid grime like few have tried
Then you could possibly ruin your eyes
Am I crazy? You decide
All I know is my rhymes are so pimped that I write them in a suit and tie
I’m Superman flying through the sky
But you guys wouldn’t recognise a hero in a new disguise
Life’s like shooting the dice or gambling
But you just rambling, standing with your hand on the mic
I ain’t battling an amateur, get your calibre right
I’ll leave you pussies afraid like you’re Hannibal’s wife

Check the floodgates (what) that door needs closing shut
They’re like a fuckface in porn scenes, I know they suck
Put ‘em on parole so they can walk free to go get fucked
Get your own style 'cause y'all seem to be clones of us
With no character, boring stoner cunts
It’s so embarrassing, it’s like the Portuguese showing up
The Spanish with Brazil, the whole East is owned by us
I have 'em crashing at will like torpedoes blowing up (boom)
Hit the battleship and all fleets that floated sunk
Quicker than a cattle whip on raw meat drove to cuts
The prodigal son, since fourteen token bud
Still tropical sun with tall trees and coconuts
My art sells for peanuts like poor street folk that busk
The Cartel Team bust with more heat than smoking guns (blam)
One of the finest, If you fought me you only just survived if you’re Irish
Four-leaf clover luck

Uh
If you were gifted then it must have been a lump of coal
But still you’re full of yourself like one of them Russian dolls
If you’re shooting for the top you should adjust the goals
If I walked a mile in your shoes it would crush my soul
Saw you live, who would pay though to book yah?
If you tried to get some girls there then they overlooked yah
Men, men, men like that lame show with Kutcher
Total sausage fest like a trade show for butchers
Uh, this is Adelaide talking, I’m an animal coursing
Through my preys, natural habitat stalking
Just hungry, if there’s beef then I’m jabbing my fork in
At the mere fuckin' mention of a battle they walking
And if not then they got more than your standard death wish
Weird, most of them are sweeter than a candy necklace
Always got something left to write like I was ambidextrous (
yeah
)
And if my music’s declined. how come my fans accept it? (
yo
)

Chopping up with blunt papes, rocking with a verse
Hopping off the runway, dropping in a 
vert
Either way I’m rolling, optimal at worst
You ain’t seeing me unless you got binoculars at work (bi-atch)
But don’t get mad about it, be a man about it
Chin up, it's brand-spanking steeze, hand back the hand-me-downers
Swap those rhymes and swallow pride
They still paying dues off 'em on borrowed time
And cue my flows monsoon shit
You pals dog food, barking up the wrong eucalypt
Six-shooters, grip mics
We see red and blast like a hoover crip
Higher than thread counts on your goose-down dooners, bitch
It's big kahuna shit, and I ain’t heard of you
Small fries in big towns, man up or sit down
Mercenary spits, hired guns on the disc, bound
To kill by the contract, and keep putting hits out",https://genius.com/Illy-6-shooter-lyrics
98 Bulls Freestyle,Friday Flips: Season 3,2020,"Fuck your thirty-for-thirty, I'm one-on-one
Givin' off rope, puttin' opponents in double dutch
Singular focus, triple threat from the jump
Too much drive to fade away in these Nike dumps
Eat rappers for breakfast, songwriters for lunch
Catch up, go hard in the pain and the clutch
Letter lane, got my lane, pass, school me to your game, pass
Yeah, I'll pass on everything but the bump
Game tired, strong D, mean offence
Wannabes playin', go please, you ain't top ten
Couple seasons past beginner's luck
A few multi-plat, beyond givin' a fuck
Yeah, these monsters nonsense, your beast modes?
I don't see those, I guess you're lochness
I'm stopped in on free throws, got hits, yeah, heaps of those
Franchise player, take the loss on the gym
But keep goin', better devil, the one you know
How you tall poppies? Your statch shorter than Muggsy Bogues
Please, I'm all ears, no lie
I'm Paul Pierce on the mic, no question, I'm AI
Losin' don't compute me and Bluff, ally oup
I will not rest long as there's shots left to shoot
Play ball, man, I'm on my best, when it's war
Ain't no run I test, I run press, I am not impressed
Don the ones for the title defense
Brushed every rival's advance, they hide at the bench
Pushed it up inside of they heads, fuck walls over beds
I'ma posterise your life, tryna follow me steps
Me vers a whole world seem fit
'Cause in a fair one, you're lost before a ball been kicked
Yeah, y'all wouldn't know what longevity is
Empires rise and fall but legacies live

Pick your role, either be inside it or be inspired
Push peers to leave, retire or reach higher
Process of desire, one
Two, three
Stay three steps ahead before I bounce; travel
Only final scores count; actual
All star, bring that all razzle dazzle
Make things complicated now
Better skate, boy, never catch me on a break, boy
No pool table to sink an eight, boy
Up late, no weight can bake, this a cakewalk
Man, all my joints got 808s, boy
Teen work, make the dream work, listen
I still put my town on my back, who I lent it
They go for my lane, ashamed, the shoes ain't fit 'em
Since all they songs got my footprints in 'em
Play their game to my image, Jerry West
I will not lose, nah, Jigga said it best
Try to catch an L, try again, add apostrophe S
I do me thing, nothing but net
I love this game, stay afloat as the currents change
Let's go, what's another ring?
Man, it's like Jordan to the magic
They only champions of the East in my absence
I got the league shook off the crossover
Got high, got Js, SEA, got Nova
Live from where you'd rather be, no Corona
No to wolves or my timber, Minnesota
I hit the coat of NXL
I never ask nothin' I don't demand of myself
Rather be the bag out the leaders and stand as fell
'Cause history's written by what winners tell, like",https://genius.com/Illy-98-bulls-freestyle-lyrics
All The Above,Bring It Back,2012,"Yo, allow me to introduce, allow me to redirect your views
Allow me to reconnect the roots, ready shoot
Stick and move, flicking ciggies at the suits
I got too much soul to be fitting in them boots
Could be the love of lifestyle, rhyme or coin
But whether I'm here to light, write or buy the joint
The fuck you sweating on my final choice
Aussie rules baby, fact is, my goals is beside the point
You dig? I'm deep, they shovel you shit by the week
We speak, we mean something, they sheep, they just bleat
The chase and foreverlutionaries link
We steady the ship, these motherfuckers look ready to sink
And elsewhere, i'll see that they dealt fair
Beat 'em in life, die, meet 'em in hell, and beat 'em as well there
Can I get a hell yea (hell yea)
Fuck bel air, the fresh prince of m e l's in here, and

I ain't in it for the fame, I'm in it for the love
I ain't into getting framed, I ain't into getting cuffed
Y'all already know the name, we came get it done
This is dope, fresh, fly shit, all the above

Ayo it's obvious
There's plenty of half wits that are more popular
But ain't too many artists that could open up your oculars
Yo what it is
Went from anonymous to eponymous to bombing shit
To this posish where ain't nobody stopping us
All aboard the rocket ship
I'm taking y'all to outer space
I display astounding grace while haters eating sour grapes
This is for my people feeling out of place
I'm working on another album mate so grab your calendar and count the days
Time's ticking on simpleton rhyme spitters
The wickedest bi-linguist my lyrics worth five figures
Some people think that it's hard to define brilliance
But I find the definition reflected in my mirror
Don't mean to brag and boast
But we're ripping the maddest quotes
The difference 'tween a panadol and sniffing on a gram of coke
Consider this the antidote to the anti-dope
Kicking cannon balls at ya cantaloupe now adios yo I'm a ghost

I ain't in it for the fame, I'm in it for the love
I ain't into getting framed, I ain't into getting cuffed
Y'all already know the name, we came get it done
This is dope, fresh, fly shit, all the above

Up and at 'em, my body nothing but a vessel
Use to wonder what would happen
Once the dust had come to settle
But for now I'll probably down a couple red bulls
Help a brother butter up his mental
And rush in another schedule
I'm running amongst the madness, rusty has-beens
Asking ""who's that fucker Tuka? Snatchy, he raps in funny accents""
Wants some monkey magic
Suck on my banana
While I fly on carpets
Munging cactus with my pack of mayan shamans
Lion hearted, enlighten darknesss, my mind is universal
Catch me chatting with tiny martians
In hybrid human circles, my life's a music journal
Inspired by buddha sticks and stupid shit
I'm kinda quirky, like a stanley kubrick flick
(The voice of god) I join the dots
Like manuva and tuna fish, who is it?
Holler at your boy, get in tune with it
Dropped it like it's nuclear, I'm getting suited up
Thundakats and Illy
 on smash from here to Jupiter

I ain't in it for the fame, I'm in it for the love
I ain't into getting framed, I ain't into getting cuffed
Y'all already know the name, we came get it done
This is dope, fresh, fly shit, all the above",https://genius.com/Illy-all-the-above-lyrics
Am Yours,Cinematic,2013,"How do I even start?
Like, where do you start this?
I don't know

I'm only starting to understand it
I apologise if I'm running late
But it's so easy to miss the magic
When you're seeing it every day
And if I ever took that for granted
Well the hard times caught me out
Because we got it down, no matter how, you held it down
How'd you do that?
Cause you're the warmth in my embrace
And you're the heart that got my heart beating
And I don't know your ways
I'm just thankful I'm there to see them
And I don't know how you're so amazing
And I'll probably never understand
So I wrote this song to let you knowhow proud I am of you
And mum I hope you know its all us
You're beyond compare
I could lay my whole soul bare
Long as you're right there I know I'm in luck
And I love you so much, tell you all the time
But sometimes all the time still don't seem like its enough
No, I am here forever
I am here forever, I am here forever
I am yours forever, I am yours

Haven't heard dad cry more than a handful of times in my life
So that tearful phone call where we both broke down still burns right hot in my mind
Long nights, scared sleepless
Through your hospital stage where our whole world fell apart
You never blinked, just let it pass
I'll never ask you how'd you do that
Cause I don't even need the answer
Its just a miracles work I guess
How you stare in the face of cancer
Fight it and never once lose your breath
And for the rest of my days I'm awestruck
And for them all I won't ever forget
That you are still the most beautiful
And you didn't need a hair on your head
How'd you do that
How'd you do that
How'd you do that
How'd you do that
And this is all for you
I am here forever
I am here forever
I am here forever
I am yours forever
I am yours",https://genius.com/Illy-am-yours-lyrics
Ausmusic Medley,Cinematic,2013,"It goes round full circle, yeah, there’s diamonds in the rough
We got a motherfucking earthful
Patience is a virtue, but time's of the essence
As attention spans get shorter
It's hard to drink, must be something in that water
A nationwide celebration of creative sides
So, ain't no surprise if you make the time
Man, it's amazing what you may just find
Whatever flavour you like
Take your pick, bars, guitars, serato from far and wide
The artists from our own backyard here to Carry on tradition
Looking up at the stars, saying
""One day we’re gonna be where they are,"" and
You wait till tomorrow
You wait till tomorrow
That well-worn routine shows that you reap what you sow
So those seeds gonna grow
Get dope, get unearthed and leave home for the road
And as what the seasons change, ebb and flow
New crops fall in love with the people in the front row
Right? Now I know something 'bout that
I was a fresh faced seventeen, snuck in the back
I couldn’t buy you a round, but I could jump with the pack
What a great night, thank Pressure and Suffa for that
Under the surface, a scene bubbled and hissed
Too many kings to name, countless others to list
And like that, doors broke and the flood commenced
And now our hip hop's all up in this bitch
Watched a fresh style be bedded in the psyche
Of the general mass by gentlemen just like me
Every unlikely leader, was getting live (if it's your flavour)
If it's your flavour, celebrate it beside me because
My happiness is slowly creeping back
(Why's that?) Just gotta listen to the song, bro
I found it off my head with my friends in the front row
And I looked around, the faces I’d know
I fell in love with the people in the front row
And I looked around, the faces I’d know
I fell in love with the people in the front row
Now don’t get it twisted, the gigs didn’t teeth it
It's been here for years, shhh, that’s our little secret
Now, it might not have gave birth to a genre
But it found its feet in between rehearsals and encores
Soon enough, tours done for
And then it's back to the lab again, the pen and pad again
For soul and glory, word to Paul
We love those great tellers of Australian stories, right
And he said since I left you
I know, not somebody that I used to
Leave lonely, she said better be home soon
Or something’s gotta give
Man, it's the tale of the travelling musician
She knew, but still struggled with the distance
And he wished a big jet plane could take her with him
'Cause it's always better when she's near
He was shaking in his seat, riding through the street
From a Virgin flight, to her
Shaking in his seat, riding through the streets
To Newtown and straight to her door
To her door
To her door
To her door
And so it goes full circle, as those stories of yesteryear
Give way and the next appear
No less revered, nah, they’re treasured as legend here
But new diamonds in the rough make their presence clear
And all they want in this life is the chance to do their thing
But who got next can wait, I got now, I say
I want the top, top, top, top, top, top
All my people in the back of the spot
I want the top, top, top, top, top, top
If you know me you don’t know me to stop
I want the top, top, top, top, top, top
All my people in the back of the spot, let off a shot
Bringing that knife through butter flow out
Got summer sewn round my pinkie
One, two, won’t suffer no clowns
Didn’t know then, they about to know now
We run this shit like the buses broke down, huh
Now that’s one for the kids
Two for the stories, three for the gigs
Four for the right now and it don’t stop
When Cinematic drop, bets off
I said I want the top
I want the top, top, top, top, top, top
All my people in the back of the spot
I want the top, top, top, top, top
If you know me you don’t know me to stop
I want the top, top, top, top, top
All my people in the back of the spot, let off a shot",https://genius.com/Illy-ausmusic-medley-lyrics
"Back, Back, Forward",Bring It Back,2012,"Yeah, you what they say
Everything's gotta start somewhere, right
Well that's what this shit's about
In order to get to wherever we're going
We gotta go back, way back, like
Back in time

We going back, back, forward
Always looking past where I brought it
The choice is yours, you can let it pass
Or take part, regardless, this is where it starts
We going back, back, forward (We're going back to get forward)
Always looking past where I brought it
This choice is yours, you can let it pass
(Always remembering and always being ahead)
Or take part, regardless, this is where it starts
(So shut up and listen, yeah)

Before it’s performed, and before it’s released
Before it’s recorded, before it’s written, before I scored the beat
Before the emails back and forth, hassling Trigga
For whatever heat, The Quickening ain’t need
Before sold out tours, where the runs on the board
Got it looking like I never been bowled out before
And sure, it’s before daughters and sisters and Mrs nationwide
Caught a glimpse and turned vicious, uh
Before listeners dissed 'cause the kids had a run
That’d leave Usain Bolt in the dust
Going three years young, what I’ve done with The Chase
The whole country embraced, they still rapping to their mates
So that love turned hate, when this unknown punk
Turned famed and it happened at an unheard rate
But before they lay blame, put ‘em up on this
Before they gave a fuck what I did, I been doing it

We going back, back, forward
Always looking past where I brought it
The choice is yours, you can let it pass
Or take part, regardless, this is where it starts
We going back, back, forward (yeah, yeah)
Always looking past where I brought it (right, right)
This choice is yours, you can let it pass (so )
Or take part, regardless, this is where it starts (yeah)

Before hitting my bed, after driving from Tullamarine
Before a flight spent trying to sleep
Before lying in the lounge, waiting on a plane
Still higher than the clouds looking out through the window pane
Before check in, packing, dressing
Before sitting in the shower for like half an hour
Before our tour manager is banging on my door (fuck off!)
Waking me up, before I pass out blind drunk
Before shot after shot after whatever the fuck
Punters got for me, cut for me, crushed or rolled up for me
Before I step off stage, before I kill it for an hour straight
Before Cam hits the first snare, and we away
For the set, before I pray, before I stretch
Before I chase straight vodka with the redbull that’s left
It’s just three motherfuckers sitting backstage
Hungover like “I swear I ain’t drinking again”, so

We going back, back, forward
Always looking past where I brought it
The choice is yours, you can let it pass
Or take part, regardless, this is where it starts (where it starts, man)
We going back, back, forward (yeah)
Always looking past where I brought it (and this is where it's goin')
This choice is yours, you can let it pass (check it out)
Or take part, regardless, this is where it starts (yeah)

Before I’m gone, before I’m old
Before I’m big into classical and twilight strolls
Before I retire, fuck it, before I’m hired
Before milestones acquired, in my time in this rap shit
Before my business man’s on, before they try and market this shit as a brand, stop
Before my whole damn camp’s on
Known as the Frankston Line Champ
And each fan thanked by hand, before
The whole future has come
I’ll be chilling right here writing raps in tune with the drum
The truth hard to swallow when you don’t chew once
Still hungry, dummies saying I already blew up
Nah, you don’t believe me, watch
I got the next decade locked, by doing what I’ve done from the dot
So before I start talking like somebody I’m not
To please other’s I'ma be in a box, like peace out (peace!)

We going back, back, forward
Always looking past where I brought it
Yeah man
The choice is yours, you can let it pass
Or take part, regardless, this is where it starts
(It's up to you, what you wanna do man?)
We going back, back, forward
Always looking past where I brought it (gotta start somewhere like)
This choice is yours, you can let it pass
Or take part, regardless, this is where it starts (so let me know, yeah)
We going back, back, forward (yeah, dude)
Always looking past where I brought it
This choice is yours, you can let it pass ( back to go forward)
Or take part, regardless, this is where it starts
(Trigga Trials on the beat)
We going back, back, forward (Illy Al on the mic)
Always looking past where I brought it (like that)
This choice is yours, you can let it pass
Or take part, regardless, this is where it starts",https://genius.com/Illy-back-back-forward-lyrics
Before I Leave,,2007,"[Verse 1 - Drapht:]
Define me like a lion defines a whole jungle
Definition of street and humble
Like Bruce Lee in Rumble in the Bronx
Summoned to the tops like we just stumbled across
Rapunzel's locks ahh, whatever Barney Gumble gots
I want it, Plutonic blaze, hitting harder than bubonic
Plague a convict, confiscate
Record to take the weight off like Fonda's tapes
Everyone's like Charlie Chapplin
And Tom Cruise is acting like Michael Jackson
It's crazy, maybe the global warming
Or maybe, just the famous are falling
Call me Pauly Polter, roll in a six
White like a polar bear stare a solar eclipse
Kick the goal like kids switch kick flipping the rock and roll
On top of the bowl, that's control

[Hook - All:]
It's Obese, here to leave impressions
Beathedz, bring the heat relentless
Crooked eye, bout to speak the essence
""I came too far not to be respected""

[Verse 2 - Illy:]
Before I leave, I'm setting benchmarks each release
Rock, debut drop retiree and every disc between
And I'm a be seen with at least one Veronica sitting on a beach
Sipping something sweet, somewhere in the tropics
Fat wallet in my deep pockets
For now I got no cash, no smash hit
Just dash and tip the next shit, no slash, no Asterix
When the champagne bottles pop, victory cigars lit
I'll leave my classics and an arse to kiss
You believe the cheek of this kid?
Believing nobody out equal this except a few at the top
Before he hit the door, I thought I'd drop a send off fit for a boss
I'm on a track with Pegz, so that's one less task left
On my list to address, before I leave

[Hook]

[Verse 3 - Patto:]
Before I leave, I want a house with no lease
And bed down with a fatter momma than obese
Drunk in the streets, running a muck
Junk hanging out the front like a Peking duck
Pump mad weights, get large as hell
So I can hang around with pussy like Gargamle
From getting blow once a year like a birthday candle
To getting more chicks than Heffner can handle
Moved from Coburg to Coburg North
From a bedroom house, to a house with a porch
Get mad rich, make a smash hit song
And be the first in the charts that won't feature Akon
Go triple plat with best rap tune
Collect my award in an Adidas bapsuit
It it's all bad and my plan turns shitty
At least they can say that he rocked burn city

[Hook]

[Verse 4 - Pegz:]
Yeah
I thought I knew the difference, between the music business
And gay rappers break dancing on Euro Vision
But who will listen to somebody with a shoe addiction?
Living with their mums, talking about their crew is pimping
Spinal tap with laptops and final scratch
This is for my real DJ's bringing the vinyl back
On a diamond back, with a biker's patch
20 inch biceps, covered in tribal tats
Chasing hits like a junkie ho
One dole day, walking down Studley Road
Got a beautiful mind and a heart of gold
But you don't want to push me around like Russell Crowe
Not a role model, Godfather that's not me
If I touch a few souls that's extraordinary
But all I want is respect, before I leave
Paying homage to the New York streets
Come on

[Hook]",http://www.azlyrics.com/lyrics/illy/beforeileave.html
Bills, Friday Flips: Season 2,2015,"[Intro: Illy & 
LunchMoney Lewis
]
Friday Flips, Friday Flips
Goddamn, goddamn, goddamn, goddamn
Goddamn this song
Oh man, oh man, oh man
, oh man
Let's give it a shot, Nic!

I got bills
I got bills
Bills, bills
Work, work
Bills, bills
Goddamn, goddamn, work, work
Bills
Oh man, oh man, I got

Yeah
Yeah, money in the trunk
Pockets so deep, ain't dug in them for months (nope)
Nah, Wednesday's still a hump (yep)
Hungry as fuck, tummy like a krump
Yeah, I been eating rappers for lunch
Still eating rappers for lunch
But these lightweights don't seem to get my calories up
And I don't share drinks, yeah boom, no punch

I got bills I gotta pay
So I'm gon' work, work, work everyday (everyday, everday)
I got mouths I gotta feed
So I'm gon' make sure everybody eats
I got bills

Look man, I could school bookworms (true)
Every rapper I welcomed took Burns (true)
Drop punted, jumped into this foot-first
Truth hurts, I'm as Melbourne as hook turns
Can't care less what the government says
Demented, push back every time Telstra presses
Had a paid plan, guess I messed it up
Charlie, no XCX's
Been three months of phone calls, SMS's
Mailbox full, think they get the message
And no matter how fuckin' read the text is
I'm still not shook on collection letters
Like, ""Dear Mr Police, thanks for the fine
Top of the garbage, back of the mind
Take me to court, happily oblige
See you in six months, actually psych""
That was my way through a lot
Now they pull me over, I'm payin' on the spot
I give a fuck what the neighbourhood wants
Want this bass down? Take it up with the cops
What's the point if we can't get a vibe
 when did sick cunts get marginalised?
Man is magic, hit targets in life
Just a part of the price and I got

Bills I gotta pay
So I'm gon' work work work everyday (everyday, everyday)
I got mouths I gotta feed
So I'm gon' make sure everybody eats
I got bills

Yo, special shoutout to Nic Martin for making this beat something crazy. And all you rappers talkin' like you got no bills

You ain't here to talk shop, get the hell out
Everyone so quick to say sellout
But the back catalogue's full of sweet shit
And a whole lotta pimpin' themselves in the mailout
Still, they talkin' harder than club bouncers
Dummies throw steel bars through the glass houses
Till they tire them arms out, let your guard down
Then we barge round and go Rick James all over your white couch
We kill shit, and every  from the past vouches
And I'm hardly for narcissists
The same way these arseholes are hardly for artists
Stay out the , they are the martyrs
It's as if a decade ain't passed us
It's as if my rhymes aren't so fat
That you don't hear the net weight then gasp, mate, you asked
Gone off-topic
Half-cocked it, you scissor, bitch, I rock it
This isn't for giggles and shits
It's honest work, boy, got a pocket, 'cause I got bills
[Chorus (Extended): LunchMoney Lewis & 
Illy
]
I, I, I got
Bills
I got bills
Bills, work, work
Bills, goddamn, goddamn
Work, work
Bills, oh man, oh man
Look, I got bills
Mama got bills (everybody got fuckin' bills, man)
Your daddy got bills
Your sister got bills (I'm just bein' honest about it)
Your aunty got bills
Your mama got bills (Friday Flips)
Everybody got bills (Lunchbox, LunchMoney Lewis)
Everybody got bills (whatever the cunt's fuckin' name is)
Everybody got bills

Shit, why do I keep calling him Lunchbox, man?",https://genius.com/Illy-bills-lyrics
Black Cap Rap,Long Story Short,2009," *gunshot*
""Now let me tell you—
What it's all about""
""Baby, you better work it out""
""Now let me tell you—
What it's all about""
""Nah, y'all  hear me""
""""

Yeah
Step in the gridlock blastin' Aussie hip-hop
I'd rather listen to Hilltop's than Kid Rock
Watch Chris Pop? I'd rather sit on my arse
Swiggin' a Draught in Windsor Park laughin' at Tin Dog
Ain't ill, next to who? I'm yet to met the dude
They go an extra mile, I go an extra few
Since in utero the flow super soak
Pistol Pete meet Bazooka Joe, I'm Rufio
To the pack, locked in a lab, my studio tan
Got my face white as Kabuki's with a nose full of brat
Heard the meek inherit the Earth, but for what it's worth
I'ma strong-arm this shit till I'm six foot in dirt
With raised middle fingers, big game winners
Burn City born, bred, goin' nowhere in a
Hurry motherfucker, Illy Al Murray motherfucker
Obese, Crooked Eye in this bitch, like what

Black cap, hoodie on my back
Obese on the track, we got it like that
And I'm ready for war, my words are my weaponry
Step to me ("" hear me"")
Black cap, hoodie on my back
Obese on the track, we got it like that
And I'm ready for war, my words are my weaponry
Step to me

Yeah, yeah, yeah, yeah
You're cold chillin', we're cryogenically frozen
Waitin' till your motherfuckin' mind's ready to open
Pegz and Illy, the biochemistry's woven
Hypothetically killin' the rhymes of any opponent
You know I worked from the bottom up
And turned my life round from the start I got
From emergin'  to Burn philosopher
With verses strong enough for virgin polymer
I dropped science in theology class
Like, ""How long will the motherfuckin' novelty last
Before knowledge is born, autonomy scars?""
The new jack give 'em polygraphs, wobbly arms
Comin' off like another self-righteous zealot
Never worked a day, singin' ""fight the power""
Gettin' paid in records to paid by the hour
Now I write the cheques to sign the talent, come on!

Black cap, hoodie on my back
Obese on the track, we got it like that
And I'm ready for war, my words are my weaponry
Step to me ("" hear me"")
Black cap, hoodie on my back
Obese on the track, we got it like that
And I'm ready for war, my words are my weaponry
Step to me

""What's goin'–what's goin'
What's goin' down around town, what?""
"" hear me""
""What's goin' down around town, what?""
""What?–what?–what?–what?–what?""

Black cap, hoodie on my back
Obese on the track, we got it like that
And I'm ready for war, my words are my weaponry
Step to me ("" hear me"")
Black cap, hoodie on my back
Obese on the track, we got it like that
And I'm ready for war, my words are my weaponry
Step to me",https://genius.com/Illy-black-cap-rap-lyrics
Bring It Back,Bring It Back,2012,"Yeah, we're losing 'em, the call rang out
Only a few ran for helping hands, most dudes stared blankly
Standing mute, fame whores off where the new fad's at
While fans cried ""bring that boom bap back""
Saw lines crossed between hip-hop dudes and dance acts
So I U-turned my arse out the booth
Told my label, new plan I'ma take it to my roots
With the new jam after that resume programming
So I gathered beats, got at MC's, mapped the strategy out
The chase sequel's in the background for now, sorry
A little longer until that album's out
Doubters can either back down, tap out or bounce
Either way, pay that no mind, our two cents bound to count
Uh, their two cents get rounded down
Uh, this for the love of the rap
Breath it life 'til our lungs collapse, and bring it back like that

It's like that, heard 'em saying ""bring it back""
Screaming (breathe motherfucker) like that, see the flash
Of the ambulance lights and the sirens on smash
Like (woop woop), and they like (woop woop) and they like that
Like that, heard 'em saying ""bring it back""
Screaming (breathe motherfucker) like that, see the flash
Of the ambulance lights and the sirens on smash
Like (woop woop) and they like (woop woop) and they like that

I'd be lying if I said this wasn't to serve
As to remind and alert your mates
I have returned, tighter
Harder better faster stronger, vying for the first
Had to decide on the circuit
Took a ride on a detour
To tie up any loose wires, inspired to work
By the words of those sayings I lost my nerve
So if you wonder why this music ain't my usual sound
I needed shit to do in my time out
I'm dropping records in between rounds
This a break in play, I'm of the court, beating them at their game
But this more than a training sesh for the main event
Sparring hard with the nation's best, even a day's rest
Is still at a breakneck pace too much to bear for the brain-dead
Tear through the pain threshold, fuck a taste setter, fuck a pay-cheque
This for the love of the rap
Hit it hard, clean up my act, then flip and relapse, bring it back

It's like that, heard 'em saying ""bring it back""
Screaming (breathe motherfucker) like that, see the flash
Of the ambulance lights and the sirens on smash
Like (woop woop), and they like (woop woop) and they like that
Like that, heard 'em saying ""bring it back""
Screaming (breathe motherfucker) like that, see the flash
Of the ambulance lights and the sirens on smash
Like (woop woop) and they like (woop woop) and they like that

And you fucked up young guns, I like you but you're crazy
Two-year Facebook careers don't entitle you
To write about your haters, I'm two-fifty shows deep in the majors
So it's real life when I talk status
Ain't saying I'm the saviour, just saying I'm invested
In whatever's coming later I just ask you be creative
Foundations were laid, we just building other layers
Of design spec's for a sky scraper
We started on a higher plane thanks to pioneers that were able
To break doors down for us
So love thy neighbour
Bet the house on it, they sent our music through the roof
Some jealous, some overzealous, out to wet the fuse
Just know better than to let a clown effect your view
Only fools get influenced by the loudest in the room
So uh, ignore that, this for the love of the rap
And in order to advance where we at, we gotta bring it back
We gotta bring it back!

It's like that, heard 'em saying ""bring it back""
Screaming (breathe motherfucker) like that, see the flash
Of the ambulance lights and the sirens on smash
Like (woop woop), and they like (woop woop) and they like that
Like that, heard 'em saying ""bring it back""
Screaming (breathe motherfucker) like that, see the flash
Of the ambulance lights and the sirens on smash
Like (woop woop) and they like (woop woop) and they like that",https://genius.com/Illy-bring-it-back-lyrics
