title,album,year,lyrics,urls
Fire,Fire,2015,":
Yo I cook that right up in my basement
Make your bitch go ape shit
While you be feeling vacant
I'm a sex pistol, boy
Bang my bullet into who I want
Ooze dirty rotten but he vicious if a punk wanna start him up
Oh fuck I love to run amok
That's why in school I always flunked
But now my jobs to stand in front
Of a packed house and make 'em jump
Like I be Kris Kross, like I'm House of Pain
Like Busta Rhymes, like DJ Kool
If y'all motherfuckers didn't know me
Then I'm gonna show you how I overrule
On point like that damn decimal
While I'm grabbing on my genitals
And yes bitch they're fucking edible
So after this, we'll get flexible
I got what you want, I got what you need
So let's begin this stampede
Wait we playing Jumanji
Nah just smoked too much weed
:
I love to get higher, oh I can be your supplier
See I got what you require when it comes to your desire
I be that hyper, nicer, live wire, power voice like twenty choirs, fresh attire
I'm like Springfield tyres
 x4
I bring the fucking fire

Bump, bump, bump this shit
Get my people in the back door quick
We cause havoc
Never ever gonna stop this shit
Always let loose 'til the belt fit
I spit that lava which
Melt another rapper like the Wicked Witch
Turn a rich girl to the baddest bitch
Make her suck dick in a nurse outfit
Uzi's sick
See these lames all sound the same
What do they hope to attain
Biting Drake
They biting Wayne
Bite anyone with current fame
But the thing about me, I'm original
And for this rap game yeah that's a miracle
And artists fucking hate it
But at my pinnacle
The love they'll give will seem unconditional
Oh, so you wanna know about my dope flow?
From here to Tokyo they call me Godzilla
Cause Ivan much iller
Monster walking through streets
Blue power beams gleam
When i un-clench my teeth
I roar rap, I soar
But leave many listeners craving for more
I ignore little fucking bad sports
Shit in 2 years you'll be my supports
You better watch what you say
Hope you comprende
Cause I know a few goons
From another platoon
That won't let you see your next birthday
Ey, ey, ey, I gotta get it
Shredding like I'm Eddie Vedder
And sever any competitor
Cause they ain't nothing et cetera
Never regular
I'm always better amongst a nebular
Got a little letter messenger
I bring that fucking fire
 x3
I bring that fucking fire
 x4
I bring the fucking fire (fire)",https://genius.com/Ivan-ooze-fire-lyrics
Bills,,2016,"One, two, three, four
Blaka blaka blaka ah

I got bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I stay one-hunnid while I split these bills
You don't know what it's like to not eat three meals
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I keep shit right, eat her pussy, tight
It's okay motherfucker, it's chill, chill
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I stay one-hunnid while I split these bills
You don't know what it's like to not eat three meals
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
Y'all motherfuckers don't keep shit real
Y'all motherfuckers don't keep shit real

Bills, bills
I fuckin' got them bills
I ain't talkin' 'bout them stacks
So get back to movin' them pills
Do you really think we wanna drug deal?
Do you think we wanna lie, cheat and steal?
Ransack, fill the backpack, jump into the hatchback
Move them wheels and off we peel
These streets don't give you nothin'
That's why I gotta take me somethin'
I mother be strugglin', hustlin'
Payin' her mortgage, rent, water, debt
Torture, dis-order, never been poorer
Hard to get employment when you're always on tour
Fuck this system, that's what I oughta do
So I preach this to ya daughter

One, two, three, four
Blaka blaka blaka ah

I got bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I stay one-hunnid while I split these bills
You don't know what it's like to not eat three meals
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I keep shit right, eat her pussy, tight
It's okay motherfucker, it's chill, chill
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I stay one-hunnid while I split these bills
You don't know what it's like to not eat three meals
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
Y'all motherfuckers don't keep shit real
Y'all motherfuckers don't keep shit real

Real, real
Till I'm pushin' up them daisies
Yeah, I tell it how it is
Live this shit up on the daily
See I'm tryna stay positive
But when your bank account say negative
You feel the whole world be your nemesis
I know one way to reap benefits
Mask it up
Forever, forever ever, forever ever?
I never say never, but I never say much
Collect dirty cheddar then I send it in a letter
To my mother motherfucker, just to get her through the winter
So bitter damn, I'm a bitter man
But since I've been immoral had time to plan
While the sand fall my team expands
In high demand, fuck a reg program ergh

One, two, three, four
Blaka blaka blaka ah

I got bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I stay one-hunnid while I split these bills
You don't know what it's like to not eat three meals
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I keep shit right, eat her pussy, tight
It's okay motherfucker, it's chill, chill
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I stay one-hunnid while I split these bills
You don't know what it's like to not eat three meals
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
Y'all motherfuckers don't keep shit real
Y'all motherfuckers don't keep shit real

Babies cryin', homies dyin'
That's one of the reasons I keep that iron
Every little hollow-head get to flyin'
Protect where I rest at like a lion
Bills, bills, for it I kill
How could I let my kids sleep with no meal?
You don't even know how much blood I would spill
If I can't put meat or grilled cheese on the grill
My landlord want that rent
Baby mama screamin' she broke
Car dealer need that note
My old lady need new coat
Listen, I need that green like a bottle of scope
Every month take care of my folks
Flow like clear blue water under a boat
Before I leave the game, they like ""That motherfucker, he spoke""

One, two, three, four
Blaka blaka blaka ah

I got bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I stay one-hunnid while I split these bills
You don't know what it's like to not eat three meals
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I keep shit right, eat her pussy, tight
It's okay motherfucker, it's chill, chill
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
I stay one-hunnid while I split these bills
You don't know what it's like to not eat three meals
Bills, bills, I got bills
Y'all motherfuckers don't keep shit real
Y'all motherfuckers don't keep shit real
Y'all motherfuckers don't keep shit real

Yo, y'all motherfuckers don't keep shit real
Yo, y'all motherfuckers don't keep shit real",https://genius.com/Ivan-ooze-bills-lyrics
Ivan Ooze Friday Freestyle #3,,,"Dah, swag god legend
Chillin' out in the car right now
Yeah we in peak hour traffic, and I go loud, ooh, ohh wow
Yeah yeah, do you like my style?
Do you like my steez? Do you like my dough?
Do you like my weed? Do you like what I blow?
Do you like my shit and a woah-oh-oh??
Yeah, chilling in the car with Sharni
Yeah motherfucker we get started
I been doing this shit, drinking lots of Bacardi and rum
Yeah motherfucker, when I go to the party everybody yell ""Oh gnarly"" I been doing this shit
My name Ivan Ooze, in your vicinity, yeah clearly
Where the fuck he be at? Coming straight now
Yeah, holy water, Ivan Ooze come to slaughter
Yeah motherfucker we the midnight marauder
Yeah motherfucker we the game and the slaughter
Uh, uh, take my it, yo yo now you can't take my shit
Who the fuck else woulda rep this shit?
Who the fuck else be stuck in traffic lights?
When I  recite my rhymes I'm so devine
Like gin and tonic with that lime, Ivan Uzi's bitch
It's one, two, cheese, with that oh, oh, shit
Yeah, Ivan Uzi rep that shit, oh, so legit
So I be playing my beats, playing my shows
Playing my shit with a brand new flow
Yeah motherfucker with the game on show
Yeah motherfucker where the game is shawty, yeah
I do this shit when I come to the party
Yeah, who the else wanna get started?
Yeah, who the else wanna drop naughty?
Stop looking at me bitch, I can see you in the camera
She does be starring at me looking all fucking like Eric Banner
""Oh gnarly, Ivan Ooze oowoow...""
*hahaha*
Swag god legend chilling
*hahaha*
-Dammnit
-Shit",https://genius.com/Ivan-ooze-ivan-ooze-friday-freestyle-3-lyrics
District 9,The Social Alien Mixtape,2015,"I got that, smooth shit, all up in ya mouth like a tooth pick
Tune girls tight like acoustic
Who's sick, got that bang bang music
Fuck therapeutic, Uzi just loose it
Growing on you dickheads like fungus
Changing up judgements, bringing more ruckus
Check ya compass, I'm the right direction
That beast from the east, gaining all that attention
But I ain't cocky no no
Got a dynamo flow, on audio
Hypnotic like a row of falling dominoes
You know my manifesto when it comes to hoes
I fuck em, feed em then leave 'em
Maybe keep one cuddled for the winter season
No drama, more marijuana, spitting with iguanas
Over fruity loops, man thatâ€™s bananas

I'm outta my mind, yeah man, I'm outta my mind
I'ma alien god damn, you can catch me at district 9
I'm outta my mind, I'm outta my mind, yeah man, I'm outta my mind
I'ma alien god damn, you can catch me at district 9
I'm outta my mind

Yeah this that shit
Biggidy Bumpin' out a Cadillac
Smoked out, smoke bomb, window cracked
Slow reactions from the ziggidy zags
Ziggidy zags, iddy biddy drags, mind lagged out
On route, gotta gotta get to that house
Gotta gotta get up in a blouse, arouse a south mouth
Pound it down like a porterhouse
One to many swigs of the 151
Yum rum in my tum tum, come get some
Fee-fi-fo-fum, feeling very large son
Little precaution, please watch my tongue
Smart ass, ever since class
Yelling obscenities behind glass
Undoing bras, yeah a little bastard
But who the fuck else gonna make you laugh

I'm outta my mind, yeah man, I'm outta my mind
I'ma alien god damn, you can catch me at district 9
I'm outta my mind, I'm outta my mind, yeah man, I'm outta my mind
I'ma alien god damn, you can catch me at district 9
I'm outta my mind
I'm outta my mind, yeah man, I'm outta my mind
I'ma alien god damn, you can catch me at district 9
I'm outta my mind, I'm outta my mind, yeah man, I'm outta my mind
I'ma alien god damn, you can catch me at district 9
I'm outta my mind
I'm outta my mind, yeah man, I'm outta my mind
I'ma alien god damn, you can catch me at district 9
I'm outta my mind, I'm outta my mind, yeah man, I'm outta my mind
I'ma alien god damn, you can catch me at district 9
I'm outta my mind",https://genius.com/Ivan-ooze-district-9-lyrics
Jimi Hendrix,The Social Alien Mixtape,2015,"This weed got me looking Asian
Hit me harder than a hurricane
I been running on this pain like an ankle sprain
Bullshit holding the wheel, driving me insane
Okay, feeling little relaxed now
Little reefer it be helping me out, roll that shit no doubt
I can feel it flowing up my snout
Smoke forming rings out my mouth, Look like a wolf when he howl, 
Oooooo, life much better
When you relieve pressure, so you spend a little cheddar
Get the bag of weed, invite a friend indeed
Blow trees in the winter breeze, seize that
Need to please, utilize the substance
Comfort the adjustments, bring it all to justice
Hold that joint right up to sky
And show these fuckers how you getting by, this is the reason to why

I used to look up to Jimi, used to listen to Marley
Teen influences have me doing DUI's
Baby why I like to get high
Spark the joint, baby give it a try
And you just smoke that, toke that, up in the air
Yeah, I smoke that, toke that, up in the air
Smoke that, toke that, up in the air
Mind becomes so clear, oh so clear

Eyes red, lounging by the bed spread
Equip the headset, spark another red head
Sliding by, high, dread head on a bobsled
Cool Running's mother fucker, I ain't even dead yet
Was upset, in debt, laced a cigarette
Now I forget my threats, and thoughts I regret
Little space cadet, never hurt nobody
My silhouettes the only dark image, radiating do you copy?
Houston we don't have no problem
Blue didn't solve them, Mr. Green got to the bottom
It was Ivan with the scissors, in the bedroom
Gloom and doom evaporated from these fumes that bloom
My face got craters like moons, a self conscious buffoon
Yet when I'm blow sticky monsoons, I sing a different tune
So come and chief with me, share this leaf with me
And enjoy life ever so peacefully

I used to look up to Jimi, used to listen to Marley
Teen influences have me doing DUI's
Baby why I like to get high
Spark the joint, baby give it a try
And you just smoke that, toke that, up in the air
Yeah, I smoke that, toke that, up in the air
Smoke that, toke that, up in the air
Mind becomes so clear, oh so clear

And your mind becomes so clear
Oh so clear",https://genius.com/Ivan-ooze-jimi-hendrix-lyrics
Eroc,The Social Alien Mixtape,2015,"(Bratttt) Highjack this track, how the fuck are you gonna react
When these trap fiends stream this crack, hit those veins, cardiac
Bag and tag, this Ebola contagious, Zombies surround these stages
Feeding off earthquake vibrations, enables their elevation
Uh uh uh, getting higher, bring that fire
Put them pills up in my mouth and suck my dick until I'm tired
I don't give a fuck about no ho, no no no, if she wanna go slow, no no go go
Get buck like a rodeo, till I blow, now her head be swimmin' like vertigo
And oh shit, Oh god, she keeping my cock hard
She slurping, teasing, give me a reason to not hit it raw
My tongue all up in her clitoris and I be speaking that Arabic
You fucking nothing, you celibate and I'm insane, where's my therapist
I'm chill, drop that Xanax, brains mechanics, in a panic
Eyes erratic, reaping havoc, breathing deeper, so asthmatic
Am I gonna die, I'm flying, intergalactic, feeling like 2pacs      holographic
Feeling like Diddy rubbing fur fabric, this cocktail bring a whole new magic
Faded, sedated 'n' situated on earth
Deactivated reality, activated rebirth
Nor for the better or worse, just wanted to feel diverse
And stamp my feet down on this universes turf till it burst

You now fucking with the I-V-A-N double O-Z-E
R dot L dot G R I M E, who this be?
Burn this house down to debris, ain't no fancy jamboree
Place looking like the dirty film clip when Christina Aguilera had them bangin' titties
Now all my honeys with them double dee's, if you wanna fuck tonight then say please
All my fellas up in this bitch, hope you packing your jimmies
Cause we riding, she riding, she bumping, she biting that neck to neck
Ecstatic, dramatic, acrobatic you know that freaky sex
Oh I fucks with that, my brain always fluxing that
Top 10's stop through my habitat, so hot they pop my thermostat
They drop, they drop, then bring it back, I counter attack with a wack, wack, smack
Cheeks glowing red, while getting head mother fucker milking this spot light like being breast feed
And you know, I got it, ye, ye, I get it
The best to do it, rest to prove it, this that boom banging music
This that tune to fucking lose it, this that beat that I'm abusing
This that uzi fusing a new level, try fucking stepping to it",https://genius.com/Ivan-ooze-eroc-lyrics
Same Ol',Ringwood Rich EP,2014,"I walk the streets with only shrapnel in my pocket
Wallet full of dead moths
And no shopping dockets
I work two to three shifts a week at best
Barely enough money to buy a new tee to impress
Im broke it ain'tâ€™ no joke
Thatâ€™s why I smoke
To shake the door out of the broke neck choke
I know a lot of you people can relate
Got a boss ya hate co workers irritate but can't retaliate
We in the same boat like immigrants
Show the world our innocence yes theyâ€™ll feel the imprisonment
Work every day remain diligent
Still treated like a piece of shit
Power makes the billions ignorant
All I want is a bike with handle bars
Some strings on my guitar
And a home brand caviar
You might think thatâ€™s bizarre but im sick of being poor
Sicka sick of sitting at the bar
Pour me another one aaar
Same olâ€™ day
Same olâ€™ shit
Same olâ€™ paycheck in your midst
Same olâ€™ arse snoring in the same ol' lips
Same olâ€™ barstool were I take my sips
Call it the same griss and I must admit
That the same olâ€™ me is much better than this
Its just the same olâ€™ same olâ€™ yea yea
Its just the same olâ€™ same olâ€™ yea yea
(buzz) (buzz)
Theres another buzzer another soul crusher
Another 5 oclock start
Doesnâ€™t get much ruffer
Empty toilet roll
There goes another soul
Sometimes I just think it would be easier just on the dole
Washing machines leaking
Life is fully peaking
The only time I get away is when im daydreaming
My real estate agent called speaking
My rents over due have until the weekend or I must be leaving
So fuck it ima do my own thing
Ima make the cha ching
Ima make the crowd sing
Ima be the next thing
Ima make my name ring
Ima live like a king
Ima buy some bling bling
Might be a rapper
Might be an actor
Might be the guy that cans the x factor
Whatever I can be i'll reamin me
And Transform my life to bigger things like bumble bee you feel me
Same olâ€™ day
Same olâ€™ shit
Same olâ€™ paycheck in your midst
Same olâ€™ arse snoring in the same ol' lips
Same olâ€™ barstool were I take my sips
Call it the same griss and I must admit
That the same olâ€™ me is much better than this
Its just the same olâ€™ same olâ€™ yea yea
Its just the same olâ€™ same olâ€™ yea yea yea",https://genius.com/Ivan-ooze-same-ol-lyrics
On & On,Ringwood Rich EP,2014," x2
No matter what we do the world goes on and on
Whatever you've been through, the world goes on and on
Forget your blues, taboos, the world goes on and on
The world goes on and on
The world goes on and on

Yep
You know that feeling you get, when your flooded with debt
Quit smoking but you light a cigarette
Had a one night stand, fired from your job man
Or even issues with the missus but she still don't understand
Got ya hand in ya face, happiness, not a trace
Scrolling down and down for hours on the social cyberspace
Erasing, regret, will take, time
Guys we've all been through it, look at us, were all fine
I had a crazy ass bitch I missed, I know it's hard to resist
We used to kiss, now she doesn't exist
I felt like the s-h to the it, liquor helped me a bit
Dug myself a ditch, was ready to quit
Despite the sad plight I brought upon myself
Time heals everything from the emotions to the health
Fuck the farewells, screw the goodbyes, be some words of wise
Exercise what lies and remember
 x2

(Man I don't even know what I'd tell them, like what would I say? Alright)
Well the message I would send would be kick it with ya friends
Laugh about the dividends, they'll help straighten your bends
Have a night in town, you'll end up at Crown
Clowning around at Velvet Bar until your sorrow's been drowned
There's no hour, minute, second to spare, life can be unfair
But no room for depression in there
Girls saying yeah yeah yeah Uzi blah blah blah
Got the boys covered, how about us honeys with bras
Pfft, Women easy peasy, tub of ice cream and a TV
Sex in the city, cuddled up to ya kitty, when ya feeling shitty
Don't take life so seriously
Fuck self pity, let ya mind be free
No matter what we do the world goes on and on
Whatever you've been through the world goes on and (yeah, you know)
 x4",https://genius.com/Ivan-ooze-on-and-on-lyrics
D. Triumphant,The Social Alien Mixtape,2015,"The long awaited, highly anticipated return of the faded
Favourite, making them classic statements, up up on ya playlist
Got them eyes shaded, rolling off the highway
Cruising down my driveway, singing thank fuck thank fuck it's Friday
Feeling like Bruce Almighty, while dancing in my tighty whities, boys mouth must be spicy, what he spitting, so hot
Non-stop, pussy poppin', it's ludicrous, popularity
New to this, Optus telling me to upgrade my usages
Guess I'm in it for the long haul now, raw hide
Ivan Uzi blown wide, competition terrified
Why, oh why, would you fuck with a cut throat looking samurai
My soul has already died, replenished, ready to rise
Spent a childhood memorising rap anthems
So hidden in my atoms is patterns to afford mansions
Shit I used to imagine, is something giving me chances
Hard work finally paying off in unlikely circumstances

This ain't that Donald trump shit, this be Donald triumphant
All my life been at the bottom, now I'm making it something
When this crowd go (ohhhhh), and when that crowd say (hey)
All I know is I'm alright, ok ok, alright, ok, alright
Alright, alright, ok, let these people out to play
I say, I say, I drink, I sway, I lay, I lay, until away
Then I wake up, coffee fill this cup
I caught break what, he caught a break what

The illest civilian living within the village
Reputation growing stronger like my fans are cans of spinach
In a minute I diminish push it to the limit, every visit
Leave heads spinning like a pivot, grab a girlies digits even if she frigid
Uzi does it, Uzi did it, GBC the first to spit it
Ivan wicked, never caught behind, unless I'm playing cricket
There's a wicket, guess I'm out, bounce, bounce coming on bounce
Loudmouthed hooligans, forever we shall speak our clout
I'm proud to be representing myself on these stages
All different races come together to hear my pages
Shit I used to imagine, is something giving me chances
Hard work finally paying off in unlikely circumstances",https://genius.com/Ivan-ooze-d-triumphant-lyrics
Trippin',The Social Alien Mixtape,2015,"She say I ain't gonna make it, my mama be trippin'
Journey ever so forsaken, my mama be trippin'
You ain't bringin' home this bacon, my mama be trippin'
Mama be trippin', mother, mother don't listen
She say I ain't gonna make it, my mama be trippin'
Journey ever so forsaken, my mama be trippin'
You ain't bringin' home this bacon, my mama be trippin'
Mama be trippin', mother, mother don't listen

Caught up with the drinking, while she thinking
Her son's clothes stinking, marijuana Oder, brain shrinking
He plays that boom bap boom boom boom smack
Over the head, would make him listen to things I once said
Study, study, study, fuck a fuck buddy, buddy
You'll be dressing cruddy for the rest of your damn near life
Pick up the pencil, yes you have the potential, up in ya mental
To pedal and achieve a lovely house with wife
He retaliates, hates what I'd like to create
Would rather go skate, get baked, dig threw these damn so called crates
He's concealing his fate, I can't take it
Threw these halls I be pacing, waiting, hoping, he changes this mind-state
Losing hair, stressed, he don't care
Can tell by his glare, was once my little boy now I'm scared
He's so unaware, I am always there but it's useless
Like a 3 legged chair, he's beyond repair

She say I ain't gonna make it, my mama be trippin'
Journey ever so forsaken, my mama be trippin'
You ain't bringin' home this bacon, my mama be trippin'
Mama be trippin', mother, mother don't listen
She say I ain't gonna make it, my mama be trippin'
Journey ever so forsaken, my mama be trippin'
You ain't bringin' home this bacon, my mama be trippin'
Mama be trippin', mother, mother don't listen

Caught up with a dream and vision
Pumping through his sound system is a 90s rhythm
Scribbling words nouns verbs, plain Dr. Seuss rhyme
Adjusts the pattern and in due time his name will shine
But mother ain't to sure, every second through the door
Grow the fuck up Benjamin, hip hop is immature
You really think your gonna make living gripping microphones
It's in my blood mama, fathers done it since he left home
Music's the one thing that brightens my day
If it went a stray I could say I probably wouldn't be here today
This is more than a hobby, this my gold and diamonds
I was born to spit shit so fucking oath I'mma keep trying
If I don't succeed, please don't be mad at me
Know my blood, sweat and tears entered every single story
No guts, no glory, when I'm in the laboratory
Every song is to make you proud, I'm sorry

She say I ain't gonna make it, my mama be trippin'
Journey ever so forsaken, my mama be trippin'
You ain't bringin' home this bacon, my mama be trippin'
Mama be trippin', mother, mother don't listen
She say I ain't gonna make it, my mama be trippin'
Journey ever so forsaken, my mama be trippin'
You ain't bringin' home this bacon, my mama be trippin'
Mama be trippin', mother, mother don't listen",https://genius.com/Ivan-ooze-trippin-lyrics
