title,album,year,lyrics,urls
Junior Spirit,Joonya Spirit,2018,"I know you don't wanna whisper my name
In the arms of another
My love is a prison
And it lifts you up by your hair
I have been defeated every time I've tried to leave
Your tenderness
But if you can go get better
Go get better
Go get better
Go get better
Go get better

But then you
You wake up, you wake up
Next to me
You wake up, you wake up
Next to me
I know this, the truth
I know that
I'll get over it and
I'll yeah
I know this is hard work
Yeah, this is hard

I know I don't wanna whisper your name
In the arms of another
Your love is a prison
And it lifts me up by my hair
I have been defeated every time I've tried to leave
Your tenderness
But if you can go and get better
Go get better
Go get better
Go get better
Go get better

Why don't ya
Ya breakup, ya breakup, breakup with me
Ya breakup, ya breakup, breakup with me
I know this, the truth
That my heart beats boo-hoo for you
I know it's because of you
I know this, the truth
I know that
I'll get over it and
I'll, I know that
You'll get over me and
I know that
I'll get over it and
I'll, I know this is hard work
Yeah, I'm hard work
Yeah, this is hard work
For now

Maybe I could blame it on
Yeah, maybe I could blame it on
A junior spirit
Blame it on a
Junior, junior spirit

Why don't ya
Ya breakup, ya breakup, breakup with me
Breakup, ya breakup, breakup with me
Breakup, ya breakup, breakup with me
Ya breakup, ya breakup, breakup with me",https://genius.com/Jaala-junior-spirit-lyrics
Salt Shaker,Hard Hold,2015,"I lick the salt right off my hand
Helps me to feel that I'm still by that ocean
That's where I left my whole family
I'm pretty sure God made us lot big broken

They all forgive me when they're dead
They all forgive me when they're dead and gone

Those happy, holy, heinous houses
They spread out and out for mileses
Oh, I'd rather give my two good playin’ hands
Than to stay in that hot climate
And marry one of those men

They all forgive me when they're dead
They all forgive me when they're dead and gone

Oh, oh, oh, oh
Whoo
King tight crescent moon mud crack
Shelley Brown and George and all the moral vested trolley boys
Large, hard hands holding half empty cans whilst drivin’
Yeah, I was pourin’ pints for fuck heads at the Berlin Point Hotel

They all forget me when they're dead
They all forget me if they haven't already yet

Ooh, ooh, ooh, ooh
Ooh
See I got my focus on salt shaker
I got my baby on
Salt shaker
Yeah, I got my furry on
Salt shaker
Yeah, I got my furry on
Salt shaker
Oh",https://genius.com/Jaala-salt-shaker-annotated
Horn,Joonya Spirit,2018,"How come you smell amphibian?
Well this is simple
I did convince you
That you've got

Most definitely some gold
Buried in that horn
Ha-horn
Ha-horn
Ha-horn
Soon I'll grow horns

Yeah, my head feels hot
I weaved a web out of your loneliness
Was it selfish?
I did convince you, yes
That you've got

Most definitely some gold
Buried in that horn
Ha-horn
Ha-horn
Ha-horn
Soon I'll grow horns

Yeah, my head feels hot
I'll be bad
I'll behave, be brave
But only for you
I'll be bad
I'll behave, be brave
But only for you
I huff and I puff
But I only blow in the
Direction of you
I huff and I puff
But I only blow in the
Direction of you
Oh yeah, you roughed me up
Yeah, you rough me up
Yeah, you rough me up
Yeah, you roughed me up

When you come back to me
I want you, I want
I want to be the best
I'm willing
Yeah, when you come back to love
I want you, I want
I want to be the best
You call
I hear you call
I hear you call
I hear you call
You call, you call, you call
Yeah, you call out
I hear you call
I hear you call
You call
I hear you call
I hear you call
I hear you call
You call, you call, you call
I hear you call out
You called
You called
You called
You called
Now I don't want nothing from you",https://genius.com/Jaala-horn-lyrics
Double Dutch,Hard Hold,2016,"How we rose to ask
Please, just one more sip?
Even if we do not want
Any of it
That's how you trick the mind
To overdose on it
That's why you got to be kind
That is why I ask myself

How, how to make
Make it ring
Make it whole
So I know- just so I-
Know how to make
Make it right
Make it whole
So I know- just so I
Know how to make
Make up- we make it up
So I know - just so I
Know

As safe as it sounds
Closeness can evolve
Into that something else
But how you're going to know 
How you gonna make ends meet?
How you gonna make a wedding ring?

How, how to make
Make it ring
Make it whole
So I know- just so I-
Know how to make
Make it right
Make it whole
So I know- just so I
Know how to make
Make up- we make it all
So I know - just so I
Know

I double dutched on your heart
Show me the marks that you got
Double dutch, these are the marks on my heart
And I can't get em off
Ow, ow, ow, wow
Ow, ow, ow, wow
Why do I
Do only the things that suit me just fine?
How
Can I spit in the hand that keeps me alive?
Why
Do I stay in the place that keeps me hid?
Ow, ow, ow, wow
Ow, ow, ow, wow

How, how to make
Make it ring
Make it whole
So I know- just so I-
Know how to make
Make it right
Make it whole
So I know- just so I
Know how to make
Make up- we make it all
So I know - just so I

Know how to make, how to make, how to make
How to make it all whole so i
Know how to make, how to make, how to make
How to make it whole so I
Know how to make, how to make, how to make
How to make it whole so I
Know how to make, how to make, how to make
How to make it whole so I",https://genius.com/Jaala-double-dutch-lyrics
Lowlands,Hard Hold,2016,"Don't you take my hand
I'll just lead you down to the lowlands
That's where I bide my time
M-U-M
It rests on my wrists
And that's where it will sit forevermore
I could get to know my way around
Your crowded mouth
Like I know my way
Around, 'round, 'round
Your yard
Around, 'round, 'round
The park
Yeah, I would do anything
For anything, anything
What's better to be doing this, everything for nothing
There's not much reason to be leaving now
When you're running down St David street
Yeah, I can feel you coming to me
You know your way
Around, 'round, 'round
My yard
Around, 'round, 'round
The park
Oh, you
You robbed me of my love
Oh, you
You got me under your thumbs
Oh, you
You robbed me
You robbed me
Oh
Stay around
Stay around
Stay right there
Oh
Stay around
Stay around

Oh so take this word
Oh, hush
Fly it to my body
'Till you got to get some rest
So I take this word
Stop
Stop
Oh, I'll fly it to my clone
Till you just won't go
On and on and on and on and
I know my way
I know my way
I know my way
Round, 'round, 'round
Your yard
Around, 'round, 'round
The park",https://genius.com/Jaala-lowlands-lyrics
Sames,Joonya Spirit,2018,"I don't wanna stay the same
I don't wanna stay the same, ever
I don't wanna stay the same
I don't wanna stay the same, ever again
I don't wanna stay the same
I don't wanna stay the same, ever again
I don't want to stay the same
I don't wanna stay in the same place

I will, I'll shine
You took me to my idols
If the meek will inherit the earth
At least let us see it
If the meek will inherit the earth
At least let me see it

Change, change, change
Change, change, change
Change, change, change
Change, change, change
Change, change, change
Change, change, change

I don't wanna stay the same
I don't wanna stay the same
I don't wanna stay the same
I don't want to stay the same
I don't wanna stay the same, same
I don't wanna stay the same
I don't wanna stay the same
I don't wanna stay the same
I don't wanna stay the same
I don't wanna stay the same, same
I don't wanna stay the same
I don't want to stay in the same place",https://genius.com/Jaala-sames-lyrics
Dog,Joonya Spirit,2018,"You said
Gimme, gimme, gimme, gimme all you've got
Place head here
Chopping block
Now I know better not to go around
Yeah, is there even enough to go around now?

Now that you pat me like a dog
Like you're trying to warm me up
Always patting
Well I guess you love me now like a family dog

I pass our building on every street
My ears are ringing and I'm looking down
At my feet
Why did you have to make such a big, big, big
Impression on me?
Tell me, why did you have to make such a big impression?

Now that you pat me like a dog
Like you're trying to warm me up
Always pat me like a dog
Like you're trying to warm me up
Always patting me
Well I guess you love me now like a family dog
Well I guess you love me now like a family dog
Well I guess you love me now like family

I don't wanna be your
I don't wanna be
Dog, oh
I don't wanna be
I don't wanna be
Dog, oh
I don't wanna be your dog
I don't wanna be your
Dog, oh
I don't wanna be your dog
I don't wanna be your
Oh, oh

Pat me like a dog
You're trying to warm me up
Oh, pat me like a dog
You're trying to warm me up
Oh, pat me like a dog
You're trying to warm me up
Always pet me
Well I guess you love me now like family",https://genius.com/Jaala-dog-lyrics
Order,Hard Hold,2016,"All this woe
In perfect working order
All this love
In perfect working order
All this beat
Order
Melody in a particular
Order
Orders
No wonder you find it hard
You were being ridden
No wonder you find it hard to rise up
You were being riddled
Under sixty-two moons
Hidden only by the distance
Nothing much else to do but
Revel like an infant at the
Order
Orders
Order
Yea- order
If you want to rise up as sweet angels do
Rid all of this trouble over her
The answers aren't going to propose to you
But all of this trouble over her
All this trouble over the hill

Huh-
No wonder I find it hard
Bathing in the system
Well no wonder I find it hard
Im warmed in my nepotism
Oh, there's nothing much else to do but
Ssssshhhhhhhhhhh-
Oh, there's nothing much else left to but
Give up trying to hide it
Order
Yeah, Order
Order
Yeah, Order
There will be no one
That will keep me still
I never felt I was born in God's graces
There will be no one
That will keep me still
I never felt I was born in God's graces",https://genius.com/Jaala-order-lyrics
Hard Hold,Hard Hold,2016,"Hard, hard hold
Hard, hard hold
Never got old with you
The hard, hard hold
Hard, hard hold
Never got old with you
Then, you confessed
You found it hard
How will I recover?
I'm still in love with you

It's hard, hard to
Hard, too hard to
Unfold this hold with you
It's hard, hard to
Hard, too hard to
Unfold this hold with you
Then I realised
It's just a matter of trying
So I'll have a little slice of bread
To help dilute the drunkenness
Drunkenness
Drunkenness

It's hard, hard to
Hard, too hard to
Unfold this hold with you
It's hard, hard to
Hard, too hard to
Unfold this hold with you
Then, you fell apart
And now I feel so tired
How will I recover?
Im still in love with him
Love with him
Love with him

I'll have a little slice of bread
To help dilute the drunkenness
Drunkenness
Drunkenness
It's only after you heard the fact
You find they stole your whole alphabet
Alphabet
Alphabet
Then you can justify why you put up with it
Up with it
Up with it

So can you putty up the holes in my heart?
Can you hold onto my lonely heart?
Can you straighten up my crooked mind?
Sharing is a bowl of soup
But you drunk it dry
It dry, It dry
Drunk it dry

So I beg for more than ageing as the cruel
Oh, here I'll leave it
Oh, here I'll tie it to my youth
Yeah, I got new strength
You cannot have none
Or find me
Here I will find rest
Yeah, here I will find rest
Yeah, here I will find rest
Yeah, here I will find rest
How, how, how?
How, how, how?
How, how, how?
How, now, how?",https://genius.com/Jaala-hard-hold-lyrics
Gwynne,Joonya Spirit,2018,"You've gave me a, a little height
So I could clear the huddle
Wide
So I could face the view
You've gave me a, a little stride
So I could get to it
A nudge in the right direction
So I could get it right
Uh!
Cheers

You made every mistake
Seemed like a happy holiday
Yeah, I am so glad to have met you
I, I am so glad to have met you
You showed me the hair to win
Cut right off your head
Well I couldn't believe it was dead
Still looked attached
A shiny somethin' blonde
Blonde
Now you go to the other side of the world
To be with a man called Toast
I would, I'd like to come and visit if I can get
That money together
Together
Together
Together

You've gave me a, a little hide
So I could clear the huddle
Wide
So I could face the view
You've gave me a little stride
So I could get to it
A nudge in the right direction
So I could get it right
Spirits of you
Of your
Eyes, oh eyes
Illuminate
Of the mightiness
In mind
Spirits of you
Of your
Eyes, oh eyes
Illuminate
Of the mightiness
In your mind
Your mind",https://genius.com/Jaala-gwynne-lyrics
