title,album,year,lyrics,urls
Out Of The Blue,Blue Volume,2014,"Out of the blue, it all changed in an instant
He was nineteen when she told him she was pregnant
Barely out of high school, living in a small town
Neither of 'em had a job or money in the bank
He got work on the factory floor
Struggling to make ends meet but she adored him
Always in his corner when her parents started on her, like
""He won't ever amount to that much""
The baby arrived, really, they tried
She said, ""Let's do the best we can, a day at a time""
He started staying out all night, getting drunk
Convinced he couldn't deal with what he had and what he'd done
He lost his job and that was no surprise
She said, ""I can't go on watching you destroy your life
You need to get it together or I'm leaving with our kid""
He said, ""It's probably best if you left,"" so she did
[Chorus: Kaity Dunstan & 
Joelistics
]
So when you gonna learn?
It'll hit you hard
Even if it hurts
And it always does
So when you gonna learn?
Let it in your heart
We come together and fall apart
Out of the blue, my love

Five years later and she's living in the city
She'd severed all contact to her old life
Her little girl's at school, and she was working days
Staying up late and studying through the night
Out of the blue, he called up and they talked
He said he'd got a job up north on fishing trawlers
He hadn't touched a drink, for two years, he'd been clean
Plus he saved some money on the side in between
He cleared his throat, made an awkward joke
And asked, ""Maybe I could come and visit you both?
But only if you think it's alright, I mean""
She said she'd think about it, the next day, she agreed
[Chorus: Kaity Dunstan & 
Joelistics
]
It'll hit you hard
Even if it hurts
Like it always does
So when you gonna learn?
Let it in your heart
We come together and fall apart
Out of the blue, my love
Out of the blue
Out of the blue
Out of the blue, my love

He got on a plane and flew across the desert
Watching as the world flew by
It felt like he held his breath from the airport
All the way to her front door the whole time
He knocked soft and she opened up
And they looked at each other, both dumbstruck
Each waiting for the other one to speak first
But neither of 'em could find any words, then
Out of the blue, as if on cue
Trying to hold back the tears in their eyes
And with a voice full of cracks and a heart fit to burst
She said, ""Well, you took your time""

These moments make up a lifetime
Mistakes we make are not fixed in stone
People we love are a lifeline
And none of us can do it on our own
Out of the blue
Out of the blue
Out of the blue, love saves us
Out of the blue, we all learn that lesson
[Chorus: Kaity Dunstan & 
Joelistics
]
So when you gonna learn?
It'll hit you hard
Even if it hurts
Like it always does
So when you gonna learn?
Let it in your heart
We come together and fall apart
Out of the blue, my love",https://genius.com/Joelistics-out-of-the-blue-lyrics
In The Morning,Blue Volume,2014,"My generation had a lot on their plate
Tryna escape mistakes that our parents made
My generation had too much to think
Now it's all about careers and the gym and the kids
We spent our twenties on various sofas
Woke up in our thirties with a bangin hang over
Economic outcasts listening to outcast
Tryna make sense of the world with a sound heart
I don't know if it's sad or dumb
But the best nights I've ever had have blurred in to one
They run the long gamut, tragic to fun
And now I'm not but the night is still young
We are golden. we are godless
One day everyone you know will just cease to exist
In the midst of all the meaningless mess
I embrace it cause fuck it, this is all we get, right?

A thousand wasted nights
I don't know what's right
I was high, I was high
In the morning
A thousand ringing sirens
All I hear is silence
I'll be fine, I'll be fine
In the morning

Stop and pause for a second take a look around
Make a note on how the Earth looks from in the clouds
It's not about weather or not your gonna fall
It's about the lesson that you learn when you hit the ground
Feel the rush, feel the buzz when the day is done
I keep a clear head stocked for what ever comes
A lot of weird people raise their voice
But don't say a damn thing they're just making noise
This moment is perfect and you know that
Burn it in your memory and make it a kodak
Keep it in a file for the times you go mad
The world is my week end, tonight I own that
Grim reaper keep away from my friends
Middle finger salute to you, fuck you death
May the lights of the city be a sign of strength
And may the world one day make sense
I'm a reach for the stars

A thousand wasted nights
I don't know what's right
I was high, I was high
In the morning
A thousand ringing sirens
All I hear is silence
I'll be fine, I'll be fine
In the morning

I was looking at a face in the mirror this morning
Tryna recognize who was standing before me
True to form, I let the feeling grow
But I'm a different guy to who I was a year ago
A little more patient, a little more humble
A little bit older, a little more comfortable
I guess it comes for us all in the end
And then it never happens again

A thousand wasted nights
I don't know what's right
I was high, I was high
In the morning
A thousand ringing sirens
All I hear is silence
I'll be fine, I'll be fine
In the morning",https://genius.com/Joelistics-in-the-morning-lyrics
Nostromo,Blue Volume,2014,"You taught me that anger could be useful
You taught me that pain was never my fault

The streets are empty as shit
And we just ride them like ghosts
In the place where we live
We've got no where to go
Pushbikes on the road
We take flight with the crows
The night sky above and tarmac below us
The city lights are majestic off in the distance
Over the roof tops we float
Above the dreams of a suburban night
We snuck out while my parents slept
Take a ride and we
We ride our bikes to the bay
Take a walk of the wharf
Sit on the edge and light a ciggie like a torch
You turn and you talk to me, I'm looking away
I'm listening to every single thing that you say
You say ""The future's bright man, tomorrow is ours
And there will come a day soon where we leave this town""
The clouds they start to gather and we get up and leave
And we're home before the dawn even touches the trees

I'm saying
It's more than with your own life you are playing
And I understand you
My friend, I've fucked up too
But I'm just saying, I'm just saying

We always said that these suburbs were like cemetery
You always said you'd escape that's what you said to me
You got away, not in the way that you thought
Now I'm walking down old tracks and I'm looking for yours
And in the middle of similar looking scenes
As I step off from the gutter and gather the things I need
Midnight light makes the night life look lifelike
The antennas and tennis courts, this town is menopause
And yeah I know my way around, and I could play it down
The streets are like the back of my hand
And memories abound but now it's different
I'm different, the difference is that I visit
I don't stick around, I don't even miss it
I get a vision of a version of my highschool days
Most weekends you would spend at my place
Your face is in these streets and it haunts me now
That's why I struggle when I head homebound


You always had your own rhythm
To keep the comedy coming
You were as close as a brother man
I think of you often
How you talked with a passion
How you rationed you cash
You stood six foot tall above the rats
You had a habit of thinking you were the
Smartest motherfucker in the room
And it was generally true
On the real you were a hero
A friend of the highest order
A companion when the girls that we chased
Were all we thought of
Whoever you are, wherever you're from
We all get given time then it's time to move on
One day you're in the midst of it
The next you are gone
And if you think it's different to that you're wrong
Life's an addiction, we're all in the nod
And it's a beautiful dream so dreamer dream on
Breathe in, remember everything from the start
The end is the beginning, the beginning is past

First thing I noticed was just how thin you'd got
Hot the powerful mind that you once held was lost
And in the little corridor out of the corner of my eyes
I saw your eyes close, the tired lines on your face grew
 x2",https://genius.com/Joelistics-nostromo-lyrics
Say I'm Good,Blue Volume,2014,"This is for those inbetweeners
Who don't follow no one, follow no leaders
Follow no trend or the sheep that are led
Follow no fool, never fall in step
I am not another voice in the choir
Kicking out jams or the party line
No I am not your poster child
Do my own thing in my own damn style
I would never assume to talk
On the behalf of anybody but myself
When I see anybody on a soapbox
All I hear are the warning bells
And even if we're on the same side
I don't follow blind, I am not that guy
And those pigeon holes are only made
To hold the kind of bird that's afraid to fly

They say, say, say I'm good
I'm rocking like I should
I'm doing thing, thing, thing, thing
Thing, things you only wish you could
You only wish you could
You only, only, only, only ever wish you could

This morning on the internet
I discovered our destruction's imminent
So we all get to act uninhibited
Take two of these and relax with a cigarette
Aw naw, here come the idiots, the oblivious
And the militant bigots and affiliates
Scares of the boats and they gays and the blacks
Pulling quotes from Leviticus
Here come the cause and effect of a country
Caught up in patriotic bullshit
And I don't fit and I don't care
I'm a square peg in a round role here
In the cross hairs I'm a bit weird
And it's not fair and it's not clear
So the whingers whinge and I cringe inside
When they simplify things that are complex

They say, say, say I'm good
I'm rocking like I should
I'm doing thing, thing, thing, thing
Thing, things you only wish you could
You only wish you could
You only, only, only, only ever wish you could
They say, say, say I'm good
I'm rocking like I should
I'm doing thing, thing, thing, thing
Thing, things you only wish you could

It ain't my fault, I got no love
I'm at a pub complaining how this country sucks
I'm an oddball, on the wrong team
All my friends are out of step with the mainstream
And the nightmare is in full swing
And the right-wing fucking up the whole thing
And it might be this stifling frightening feeling
Is really only felt on the fringes
But I doubt it, I re-rout it
Dope with a beat I need to speak about it
For the kids of the Labor left
Who got a bone to pic, we didn't vote for that fuckstick
I don't dig the kid, I don't kick the kid
I don't think it'd change if you made the switch
I don't dig the kid, I don't kick the kid
I don't think it'd change if you made the switch
I don't dig the kid, I don't kick the kid
I don't think it'd change if you made the switch
I don't buy the bullshit dreams
Of an aspirationalist modern Australia",https://genius.com/Joelistics-say-im-good-lyrics
Days,Voyager,2011,"I never did it for the money
I did it because I had a lot of time on my hands
Now I've got plans, to make more plans
All of my friends grew up and push prams
It hits you like bam, what's it all for?
Music was my life then life got ignored
Then I lost hope, then I got broke
Then all I wrote came out as old folk
There goes my genius, blink and you missed it
Loop up the chorus, learn how to whistle it
If ya get an idea try not to fist it
It's like god whispered something insisted
Try not to block it, try not to drop it
When you get your grubby little paws on it
You gotta rock it, You gotta rock it
You gotta rock it to the moon get on it

And it might not mean that much to you
It means a lot to me, and its got to be
Something strange and familiar I still wanna feel it
I still wanna feel the music
As the days go by..

My boys said ""kid, you redefine dope
Plus you had the presence of mind to rock the boat
Plus you had some hits from the rhymes in your folder
Had a bit of shine, and fell into a coma
Get back out there and do it all sober
Milk that shit until the cow falls over
Do it for the music, do it for the moment
Even if it never blows up, own it.""
Kids these days want posters on their walls
Friends on facebook, and ironic rap quotes
Me, I've got bad jokes, personal anecdotes
Songs for perennial underachievers
You want a revolution, move to Beijing
You wanna get high and sing along then join in
Its all good, mad props
Truth of the matter salvation is ad hoc

And it might not mean that much to you
It means a lot to me, and its got to be
Something strange and familiar I still wanna feel it
I still wanna feel the music
As the days go by....

It all breaks down to pride
A search for what makes the ride worthwhile
Look for the content, look for the star
Strap your shoes on and run that mile
Keep the fire inside alive
Cos the world gets cold and it can pass you by
You can pass on the risk, convince the hurt
But that's a real bad way for you to pass the time
I used to want to see my name in lights
I used to wanna be the one holding the mic
But these days man I've got nothing to prove
And its evident it might mean nothing to you
But if I didn't do it I'd have nothing to do
I'd probably have nothing to do with you
So until the day, there's nothing more to say
I'm-a keep on singing the tune
As the days go by...
As the days go by...
As the days go by...
As the days say goodbye...",https://genius.com/Joelistics-days-lyrics
Not In My Name,Blue Volume,2014,"Lately I've been losing all my faith in humanity
And to think I am a part of it's embarrassing
I read the paper and I keep up with the news
I can't recognise what we do as even human
It's out of wack, out of balance, out of control
The lies told and the attitude that unfold
This fucking country has a rotten bitter hard soul
These are laws of the land that the Crown stole
I hear them talk, talk, talking on the radio
They spit fever pitch panic on what they oppose
I read the columns, the letters and opinion pieces
At every pub everybody's got prepared speeches
Misunderstanding all the pain in the politics
They only want a scapegoat and kept promises
And all the anger and the fear and resentment grows
The brutality of lucky country village folk
It's not enough to turn back a bunch of leaky boats
It's not enough to kill their dreams then we kill their hope
It's not enough to deprive them of their human rights
It's not enough, until somebody lose their life
Dark shadows gather history will judge us hard
One day you'll ask yourself ""did I do enough?""
And how much cruelty did we allow to be dealt
To a group of desperate people asking for some help

How does it sit with you?
How do you sleep at night?
Does it worry you at all occupy your mind?
I hang my head, heavy heart, I am so ashamed
It's in my backyard, but not in my name

The journalists gather, the cameras click clack
And at the podium the speaker's putting on his act
He talks in double speak, Orwellian reports
Empty words but his body language says it all
His hands are outstretched, now his arms are crossed
His white face sweats bullets and he nods a lot
Official press release, massive fact omissions
The purpose so clear - dehumanise the victims
Appoint an expert, launch enquiries
Pass the buck, obfuscation by any means
He answers all the questions with the party line
Repeats the focus group emotion heavy catch cries
He knows his audience, and how to handle them
Talk tough, keep it simple, act the larrikin
Make them think that your one of them just like a mate
Repeat the sentiment - ""ain't this fucking country great""
Now he's hit his stride, he's got them hypnotised
Convince them there's a threat to their very way of life
And now the lights fade and he walks away
He played it perfectly to keep the power one more day

[How does it sit with you?
How do you sleep at night?
Does it worry you at all are you dead inside?
I hang my head, heavy heart, I am so ashamed
It's in my backyard, but not in my name]

The sun beats down hot upon a prison camp
A family huddles in a tent with no ceiling fan
The days roll in to each other in the worst way
A young boy celebrates his 9th birthday
At night he hears people weeping it's a common sound
He's used to to seeing things he saw his sister drown
He wonders if it's real, he wonders who to trust
His mum and dad are like ghosts they don't talk too much
He kicks a soccer ball in an empty field
One of the guards kicks it back and compliments his skill
The boy tells the guard ""I turned nine today""
The guard smiles, stops, then he looks away
He says ""Little man one day I hope you understand
When you're older and your dignity is still intact
And you look back at this vicious treatment
Not all were complicit, not all were indecent""

[How does it sit with you?
How do you sleep at night?
Does it worry you at do you sympathise?
I hang my head, heavy heart, I am so ashamed
It's in my backyard, but not in my name
Not in my name
Not in my name
Not in my name!]",https://genius.com/Joelistics-not-in-my-name-lyrics
Bang The Boogie,Blue Volume,2014,"It goes, one for the money, two for the privilege
I grew up in the inner city of Sydney
Problems, I had a whole lot of them in me
Smoked a lot of weed at the age of sixteen
Spend time tryna find out my history
Wondering what it was the wind was whispering
I'm from a land where the sunlight's blistering
And everybody's got their own get-rich-quick scheme
Money, money, money, make more money quickly
Build machinery to mine and dig deep
The new gold rush economic dick tease
Snap your neck back at a break neck quick speed
High school assembly signing the anthem
The words sound empty and I can't stand them
Even back then I had to deal with the phantom
I called myself Australian short hand for random

Bang to the boogie, bang, bang the boogie
Bang to the boogie, bang, bang the boogie
Bang to the boogie, bang, bang the boogie
Bang to the Lucky Country boogie the beat

I got a Chinese father and a white mother
And I was a punk drummer back when I was just a youngun
I'm a mixed bag, mixed race, mixed up kid
(What you got) with something to give, and I give what I can
I'm from a land where blokes are blokes
And they yell stop the boats and It gets them votes
And they brag and they boast and promote a fair go
The closer you look the more you see they don't
And you hope that this changes excepting it won't
Like somewhere along the way that's all she wrote
Summerland really has a heart of snow
Where the temperature and attitudes are 40 below
But I still call Australia home
I still hit the road with a hunger to roam
And pack a little piece of the place in my heart and bones
Every single time I get up and go, now here we go


I am from a cashed up land of pirates
A beautiful island with a sense of entitlement
Me first attitudes, highly competitive
Perched inbetween pioneering and irrelevant
Casually racist overly cautious
We lock the boarders up like it was a fortress
Suffocated by a sense of importance
And governed by minds that suffer from smallness
So much focus on the money, I'm nauseous
With no thought for those less fortunate
And this portrait is far from flawless
A little distorted and we're all caught in it
I'm so board of it, it;s so fraudulent
We can afford it but don't press pause on it
You can complain or change your coordinates
Me, I stay steady tryna get at the source of it


And you don't stop, rock to the rhythm you don't stop
Make money money money make a lot, too much just ain't enough",https://genius.com/Joelistics-bang-the-boogie-lyrics
Glorious Feeling,Voyager,2011,"It's a glorious feeling
I'm up on my feet again
God gave up on the human race
He said based upon the data that I've had to face
You've really made a mess of the place that I've made for you
And then you turn around and you ask me to save you
Jews blame the Christians, Christians the Muslims
Atheists admitted they were wrong but right
The pope said, well, I guess that's that then
Collectively we all breathe out a sigh
All of the damage that religion had done
Was put into perspective underneath the sun
And God said faith is a beautiful thing
But it's time for you to take responsibility kids
Cause I don't know what you've been told
But the streets of heaven aren't lined with gold
You don't know what you've got till it's gone
It's a glorious feeling
I'm up on my feet again
The human race gave up on god
And said it's high time that we all got along
The arguments about who the hell she loved best
Were seen for what they were and laid to rest
And politicians stopped using God as an excuse
To commit the most blatant abuse of power
Loud like ringing in the ears
The sounds of the prayers of the cheers
From the people released
All baptized at the miracle of life
Without the regrets and the guilt and the threats
Sex was celebrated, life was embraced
The basic thing was maintain respect
And I don't know what you've been told
But the streets of heaven aren't lined with gold
You don't know what you've got till it's gone
On the streets of the cities of the world you find them
People of all types who climb the horizon
Fresh newborn's and the fresh new morning
Lovers in the night who fly and then fall
The march of survivors, designers, tyrants, messiahs, limousine drivers
Colonels, brigadiers, sergeants, privates
The scientists smashing particles together
The junkies, the tradies, the gentlemen, the ladies, the babies
The aged and infirm, the hermits, the perverts, the servants, the surgeons
The insurgents killing in the name of god
The slow and the steady who were ready for anything
The war on the menacing, and even center-link
And the ones who were pedaling stories
Of the grace and the glory
It's a glorious feeling
I'm up on my feet again",https://genius.com/Joelistics-glorious-feeling-lyrics
Fly Away,Blue Volume,2014,"I used to brush it off like it didn't matter
Dark clouds in the sky brother, let 'em gather
Now it's all cuts a little deeper and has an effect
Similar to what it is when glass shatters
So we drive like Kerouac use to do
Smoking cigarettes, eating up junk food
With both windows down and the stereo up
We lift a coffee cut in the sun
Leave behind the skyline
Full of terracotta rooftops in a shitbox town
Living in us too long
All these suburbs sing their own proverbs
And hold a million heart breaks in between the commerce
And I can see it all for miles around
I'm getting dizzy from the sight and sound
At the top of the hill we stop and we chill
Then boost, take time to get your head out the noose

You can let a good thing go by
It might not happen again
We can go where ever we like
Sunshine on the window, yeah
I said let's get in the car
Maybe we could drive for days
Nothing was built to last
Get loose and fly away

I used to waste time like I'd live forever
Always on the hunt to find something better
Now it all shakes me up and I'm breathless
It has an effect similar to something like an earth tremor
The car's outside and the tank is full
And to take time off is impractical
But we leave on a whim to do the damn thing
Freedom in the air and the wind sings songs
Of a generation passed and present, the car is headed
Along the coastline inland, up through the desert
And we savour all the sights and the sound and moods
And even eat the meat pies and the road house food
And you can see what's up in rear view
Get pumped up by the look of a clear view
Out across the vista, kiss the stars in the night
Brother, what a beautiful sight


I used to place bets of my sanity
Caught up in between the dream an the art and the parody
Tryna figure out if it was meant to be
For me to work and breed, buy a house and get married in it
Just to be like they are on TV
But those dreams never really seemed to fit
And I've been jugglin' and jigglin' every day that I live
And there's things that I just can't fix
You were always telling me to take better care with it
Don't rush a good thing or get scared of it
Disconnect your telephone for a couple of days
And hit the highway to watch the scenery change
Responsibility it ain't nothing to fun from
Some wrongs are right, some rights become wrong
And every now and then when reality slip
I take five and get away for a bit",https://genius.com/Joelistics-fly-away-lyrics
Modern World,Voyager,2011,"It all about status updates, sample drum brakes
A hole in the head, and the lifelong Monday
Baby bloomers and new computers
Social networks, billion users
Information, Infomercials
Crop circles and trophy wives
Hard drives and hate crimes
State lies, free steak knives
Right-wrong riots and rising tides
Catalogs buy and a lord of brides
Brand names and video games
All it takes in minimum wage
Wiki leaks in the world of police
Secret files and cover up leads
The hunger, the feast
The church and the priest
And the prelate facing the east
(East!)
This modern world
Keeps me spinning around
My god, my feet
Don't touch the ground
You can live life online
You can live a life of crime
You can live mine
Whatever you want you can find
You can get fined
You can get filmed from behind
It's a gold rush, let's get famous
Act shameless, call it neighbors
You can call it art
You can call it us
You can call it pop
And watch it climb the charts
High rollers and child soldiers
Party people and jive holders
Cash culture and clashed cultures
Market crashes, atlas shrugs
It's a leaky boat that we're all in
And the privileged life is a-callin'
Through the country's boarders you're pourin'
Put your hands up now the sky is fallin'
This modern world
Keeps me spinning around
My god, my feet
Don't touch the ground
This modern world
Keeps me spinning around
My god, my feet
Don't touch the ground
We are alive in desperate times
The best of times, messed up times
Build that fire, chase that prize
Everybody wants a bigger piece of the pie
These are the days of the disconnect
Distant satellites intercept
Warfare fought in infrared
Everything you think is incorrect
My intellect needs disinfectant
Too much information
Too hectic
Twenty-first century I'm shipwrecked in it
And we're all just tryin' to connect with it
And oh my god where do I fit in
Apocalypse now every now and then
The world is a book with a cliffhanger plot
And we all want to know how it ends
This modern world
Keeps me spinning around
My god, my feet
Don't touch the ground",https://genius.com/Joelistics-modern-world-lyrics
