title,album,year,lyrics,urls
4 The Fans,S.C.O.T.,2013,"I can save your life; shit won’t even take no time
Walked through hell to get here, now I’m meant to fucking make it rhyme
I had the ground pulled from under me so come with me
Said I was the sickest, somehow still I kept humble, geez!
I seen what you seen, maybe seen a little more
I been there hungry, empty stomach, living fucking poor
I’ve seen them fights on the street, domestic shit too
One stage was crazy the whole hood was dacking shivs, truth
I've seen them guns drawn for fun, add a DS
That's fun chasing funds, they was street fresh
Now they in a cell, I watched it fall apart
Talk to Sero's mum, it hurts to hear her when she pours her heart
Plus my own mum, she ain't wanna hear my shit
She's best to block it out if I was her I'd break to bits
What to do? I'm just trying to save my fans now
So it's fuck the world, drinking liquor with my pants down

This for you, now you, you the fans now
This for all the fans who feeling like they need a new route
You can do it if I did it, find a better place
You can turn your future, wiping out your yesterdays
This for her, this for him, this for your life
I'm paying back my fans, so I'm a gonna give 'em more rhymes
No matter what they say...fuck impossible
Make it possible, remove the IM, that's the obstacle

When I heard nightmare I didn't sleep for nights; swear
Me and Rates the same so put us in a psych, yeah
Is that the answer? Is it? Lock down the whole crew?
Half in prison, half in rehab, half in doll ques
I guess I fluked it then, why I sitting at the top?
You decide, 'cause these cunts won't ever bring me props
Jealousy will probably overrule the whole world
I'm with my fans, we just chilling in our own world
I've got my crew too, the ones that made it through the struggle
Mind you, those who didn't make it, I'm still here just know I love you
I should be idolised, I'm proof that the gutter grows
If you do it properly, turn that gutter to a fucking rose
I don't fucking know, I'm eating Xanny tabs
'Cause anxiety has got me feeling like I have attacks
But you don't care for me, I know where to play my part
I won't get lost, I've did it, proven that I'm way too smart

This for you, now you, you the fans now
This for all the fans who feeling like they need a new route
You can do it if I did it, find a better place
You can turn your future, wiping out your yesterdays
This for her, this for him, this for your life
I'm paying back my fans, so I'm a gonna give 'em more rhymes
No matter what they say...fuck impossible
Make it possible, remove the IM, that's the obstacle

And I still spin out. Is this a dream or something?
Nebs my brother and I thank him 'cause he's seen something
When they was doubting me, Nebs was like fuck that
He's like ""
We got this, man. I see we gonna run rap
""
And look what fucking happened. I thank you mad fam
I thank Sarm for giving patience, shout outs to That's Them
And my best mate Boobz I owe my life to
If I never met him never would have picked up mics,
 phew!
That was high school, and they were high still
He said I'm the best in Oz, and he's right still
Shouts to Rates one; fuck, he knew this day would come
And his day is coming from the streets I guess we fucking won
Shouts to Jay Dee, he on top of shit
His music hitting hard, I can't see 'em stopping him
Oh yeah, and April forget them broke days
I told you that I love you, plus I made 'em go away

This for you, now you, you the fans now
This for all the fans who feeling like they need a new route
You can do it if I did it, find a better place
You can turn your future, wiping out your yesterdays
This for her, this for him, this for your life
I'm paying back my fans, so I'm a gonna give 'em more rhymes
No matter what they say...fuck impossible
Make it possible, remove the IM, that's the obstacle",https://genius.com/Kerser-4-the-fans-lyrics
9 Outta 9,S.C.O.T.,2013,"My raps is a note, that's a hundred letters
Grew up way different so the cunts won’t get it
While you was at school, you was trying to pass lots
Rates was showing me how to weigh up a half oz
My first choof, I was twelve years old
Felt hooked since then, guess the world is cold
Tip of the iceberg, tip of the iceberg
Will be when the ice burns thinking back, I turned
Sixteen when I lit the pipe
With Boobz at a bus stop 'round Christmas night
Back then, shit you see the crystal move
Uneducated like it was the shit to do
I turned into a rap star, proved them wrong
I ain't need another pipe, give me the doob or bong
I'ma move along call me the business man
'Cause I’m busy, no rest, that's a business plan

Move on, I’m the shinin' bit
Rhymin' sick, time tick, you can ride the dick
Ripe tits, nice hips and she grindin' it
Nine hits out of nine when my lines are spit
Move on, I’m the shinin' bit
Rhymin' sick, time tick, you can ride the dick
Ripe tits, nice hips and she grindin' it
Nine hits out of nine when my lines are spit

Break down on the shit I say
I got a different fuckin' pipe for every single day
We won’t say what we don’t need, nah
Eyes half closed, you can blame the codeine, brah
Back on my king shit, rap like a king, shit
Wonder why they call me king, you hearin' what a king is
Big boss hustle, hustle the music
And just like a dealer, my customers abuse it
Word play with a metaphor
I still root rap, that's what I met it for
Kiss the ring bitch, it's the hand of a boss
Beef shit these days, shit, I dare 'em to cross
Need it to sell, I'm the one you still come after
You oh so making money 'cause I'm numb with a gun
On a hoodie that was worn by the Kerser one
If Kerser didn't rock the hood, he probably would've sold none
It's all up

Move on, I’m the shinin' bit
Rhymin' sick, time tick, you can ride the dick
Ripe tits, nice hips and she grindin' it
Nine hits out of nine when my lines are spit
Move on, I’m the shinin' bit
Rhymin' sick, time tick, you can ride the dick
Ripe tits, nice hips and she grindin' it
Nine hits out of nine when my lines are spit

Hot car without the number plates
On the run for another fuckin' hundred days
My raps in your brain, pull your back out your frame
Now you're gaspin' in pain, I'm attackin' the game
This rap shit here in Oz is mine
If you want beef, sweet but not with rhymes
Let's handle it the street way, send your boys
Come back beat up, you a pretender boy
Let me tell you what's dangerous and fun
Rates with a gun
Mind set dangerous when I write like this
The flows switchin' up like the lights on pigs
Hear me rip this shit, you should see me live
Your set's so dirty, got to clean my eyes
Fresh shit yeah, you know where to find it
Head to the stores, find Kers and buy it

Move on, I’m the shinin' bit
Rhymin' sick, time tick, you can ride the dick
Ripe tits, nice hips and she grindin' it
Nine hits out of nine when my lines are spit
Move on, I’m the shinin' bit
Rhymin' sick, time tick, you can ride the dick
Ripe tits, nice hips and she grindin' it
Nine hits out of nine when my lines are spit",https://genius.com/Kerser-9-outta-9-lyrics
Airplay,Engraved In The Game,2017,"ABK Records, everybody wanna sign a deal
To impress me, you gotta rack a line of pills
You gotta have some big tits, wearin' nine-inch heels
And show us how the pussy work, fuck your rhyming skills
I’m walking in to Centrelink like ""remember me?""
I’m rich now, I got a house you can rent for free
I’m only here from when you cut my fuckin' payments
Back in two-thousand-and-eight and I ain’t say shit
Well this my payback, petrol on the front desk
Lit it up, thank you all, then I fuckin' left
They see my getaway, I think it was an Audi
It could’ve been a Range Rover, I don’t know he’s out here
What kind of car was it? Man this shit is marvelous
I just popped like fifty pills and I was meant to halve the shit
Fuck your bitch with a satty full of x pills
Now slit the bag so she trippin', I’m a mess still

Bitches get your tits out, put your fuckin' hands up
All my real song just time for us to stand up
I made this for the radio, I hope I get the airplay
Cunt, clitoris, fuck, I wasn’t meant to swear mate
Bitches get your tits out, put your fuckin' hands up
All my real song just time for us to stand up
I made this for the radio, I hope I get the airplay
Cunt, clitoris, fuck, I wasn’t meant to swear mate

So I was down the beach right, sittin’ on my beach towel
I heard a bitch scream, it sounded like a big ""ah""
I though ""hmm, Kerser to the rescue?""
I let the bitch drown, I had to use the restroom
No wonder parents ain’t let the kids listen up
Hey kids, sniff glue and you can say ""cunt""
Don’t listen to the teachers, don’t even stay in school
But if we talkin’ 'bout my daughter, we got different rules
She a princess and I have double standards
Okay my aim's done, I pissed off all the parents
What about the other night, I was eatin' mushrooms
I tripped the fuck out and hit my missus with a dust broom
Mamma, God, I’m sorry babe, I don’t know what was happening
I know I promised you, I wouldn’t say it in a rap again
But I did as I wheelie on a push bike
I don’t even know these rappers' names or what they look like

Bitches get your tits out, put your fuckin' hands up
All my real song just time for us to stand up
I made this for the radio, I hope I get the airplay
Cunt, clitoris, fuck, I wasn’t meant to swear mate
Bitches get your tits out, put your fuckin' hands up
All my real song just time for us to stand up
I made this for the radio, I hope I get the airplay
Cunt, clitoris, fuck, I wasn’t meant to swear mate

This the part where I’m gettin’ on my sad stuff
And have a sook like ""my life isn’t adding up""
Here’s a tablet bruh, look into the camera
Now take a photo, you’re lookin’ like an amateur
Shut the fuck up, my rappin’ like a nail bomb
I'ma drop it all off at a nail salon
Bitches runnin’ now, you could say I nailed ‘em
And I wonder why the public keep hatin’ man

Bitches get your tits out, put your fuckin' hands up
All my real song just time for us to stand up
I made this for the radio, I hope I get the airplay
Cunt, clitoris, fuck, I wasn’t meant to swear mate
Bitches get your tits out, put your fuckin' hands up
All my real song just time for us to stand up
I made this for the radio, I hope I get the airplay
Cunt, clitoris, fuck, I wasn’t meant to swear mate",https://genius.com/Kerser-airplay-lyrics
All i see,,2015,"Can you feel my pain?
Ohhh
I'll be on my way

Fuck just happened there?
Did i cross the line?
Thought i had it worked out
Till i lost my mind
And i'm just standing in the middle of the traffic
With my finger in the air
Cause i see the world is classic and
All this shit is havoc
Everyone causing commotion
And they point the finger at me
Tryna say that i'm promoting all the wrong shit why?
I'm honest i won't lie
My mind is scrambled eggs
I was looking for a high man
Should be happy when i'm chasing my dream
If i forget to take my tablets then i'm making a scene
You ever felt so fucked up
That you nearly chucked
Everything inside wanna die
Like your luck's up
What the fuck's up
Need another new day
Hold my shit together
But i wonder if it's too late
Plus i just got a call from my doctor
She said the progress comin' to a stop fuck

Underneath a sky so grey
And all i see is pain and hate
Look in my face
Tell me that it's all okay
The sun is gonna shine
It's a brand new day
Talking like you on my page
Tell me do you feel my pain?
But still i Pray
Everything will be okay
The sun is gonna shine
I'll be on my way

This my last drop of purple
Spinning in a circle
Just for the fuck of it
Xannies with the Serical 
Blaze a joint
Now i think i'm on the right path
Light that up
Instant change in my eyes Brah
5 star to 5 star
Flight after flight I
Never stop with rap
Till i die or retire
I'm higher and higher
But low at the same time
I can't explain it
You would have to be in the brain of mine
To understand the upper hand
I've never ever fuckin' ran
From any problems
Gotta stand
And face 'em like a fucking man
And able sense
Got you falling asleep
At the wheel, Jesus Christ
Is this the warning for me
I didn't take it if it was
And now i'm fucking famous
All eyes on me
So it makes it more dangerous
I'ma mess I'ma wreck
But the rap shit
I run that
I need a bit of space
Ain't ever had to come back


Rappers won't admit
I'ma major role and inspiration
Instead they type on keyboards
And start with all the hatin'
No debating, I'm slaying these tracks
Till i'm laid on my back
Or i'm sprayed with a Gat
You can't say it like that
You can't stay with my raps
Till the day i collapse
Fans know i got their back's
ABK 225
They my bro's man
14 Smoking weed through a coke can
Now i'm on a program
Don't it all make sense?
If you a hater
I can change your mind in 8 seconds
Fuck you if you didn't get
Scrap that, you're not a fan
You fucking idiot
You hating on me
And i'll bring you to the pit of it
Take you to the industry
And make you smell the shit of it
Where my brain at?
Did the fame effect it?
It's the Kers
On my way to the death bitch",https://genius.com/Kerser-all-i-see-lyrics
Always Been Here For You,Next Step,2015,"(Been here for you
Listen to your heart)

In a space of my own I spent days on the phone
Trying to make this shit happen, felt dazed and alone
Always blazing the cone, still king of this Oz rap
Next decade, tell ‘em chill, cos I got that
Quarter past four wine glass with some high notch
Bottles worth, more than what Sonya Mann’s fly watch
Someone questioned me the other day
They asked me was it worth it with all of the fuckin fame?
I had to think about it, still I don’t know
But if I didn’t rap I’d still be that one broke
But the fuckin fame, oh, man, the fuckin fame
Enough to make me want to hide and never make return to game
But it’s a life that I asked for, what to say
That wanna do shit and I just smashed the ottlebay
Thinking fuck rap, I’d rather live normal
Than that fucking cash sending me immortal
[Hook: Emmy Mack & 
Kerser
]
Listen to your heart, when it’s tough we’ll get through
Listen to your heart, I’ve always been here for you
You know that I’m here, know that I’m there, I be there for you
Without a doubt, that’s my promise and I swear
Listen to your heart…

I watch rappers come and I watch rappers go
But they all crawling back cos they realise it’s my show
And the label that we running, they be chasing for that dotted line
But you gotta be special if you thinking Scott'll sign
I’m writing this, penthouse on the balcony
Put myself in your shoes, I’m thinking how can he
Rise up, run shit like a true bosh
Shooters in my crew, so I’m set if they do cross
Pray every day, so I ain’t see my world messed
Holding shit down, but I stress when my girl’s stressed
All my crew stressed and we gotta move yes
Take our competition, we don’t beef on no computers
We keep it real, if you see me in the new whip
It means I got another park next to my other two
Nothing rented straight invested, I’m the smart one
Cash for life, got it pumping through my heart
[Hook: Emmy Mack & 
Kerser
]
Listen to your heart, when it’s tough we’ll get through
Listen to your heart, I’ve always been here for you
You know that I’m here, know that I’m there, I be there for you
Without a doubt, that’s my promise and I swear
Listen to your heart, (
got it pumping my heart
)

Man, this all spins me out, how I make it out C-Town
They call me king and get the crown
Got these haters facing down
And I’m howdy, pacing round, fuckin stage to stage
Doing show to show, switching flow to flow
And oh you know, I top charts without radio
And that include ARIA’s, don’t you say it so?
DVD’s, CD’s, number one
And when this drops, guaranteed number one
Have to brag, put these haters in their place
Rub it in a doubter’s face like I told you mate, I’m great
And what’s the Kers to do, oh god, it’s hurting you
I’ve got tricks up my sleeve, I could burst with news
Element of surprise, see your eyes and you cry
Cos you watched me from the fucking start and knew I had the drive
And that’s shit you need (shit you need)
[Hook: Emmy Mack & 
Kerser
]
Listen to your heart, when it’s tough we’ll get through
Listen to your heart, I’ve always been here for you
You know that I’m here, know that I’m there, I be there for you
Without a doubt, that’s my promise and I swear
Listen to your heart",https://genius.com/Kerser-always-been-here-for-you-lyrics
Attitude been stuck,,2016,"I'm not scared of your stolen power
See right through you any hour
You'll be taking it slow
Feeding my flame
Shuffling the cards of your game
And just in time
In the right place
Suddenly I will play my ace

A fucking mess man 
I wanna see your head slam
I threaten with weapons
They say they hold my blessing
In a shitty rap scene, fucking rappers do my head in
Think they on my level but they Facebook on a webcam
I wear my gold wherever, you might catch me in an ally
If you say you gonna get me, god have mercy on your balley
Ri-ridiculous, so sick of this, predicted it that I ripped the shit
The critics hit, try rip to bits the difference is that I live for this
They criticize how I live my life but I come from the bottom
Got rich, you cried
Why oh why did I hate so much deny and deny now they ain't my stuff
I'll take you to my old style that'll leave you in a hole stole
You realized that the whole world these rappers took my whole style
Never been mad just move along, I made it clear that I'm moving on
Till I die make abusive songs, my main victory I proved em' wrong
Just go hard till album 10
Blame xanex or the valium
Cause at the top it's kinda strange
ABK till my dying day


I chase the dreams and I make sure that they all come true
That's why they hate cause they can't make theirs real
Yeah they got 1 too
Fuckin' skitzin lately attitude been stuck on fuck you
If you think that's gonna change, you fucking sucked the nuts too
Blacklisted from Triple J, they didn't think I'd get by
But I topped like every chart, my names now in the headlines
What you think about Kers or Scott? Fuck school too
I was burning pot, bad advise fucking turn me off
Here's some more never work a job
What you take me for a piece of shit?
Till I saved your kid he was feening this
I helped when harm, I'll leave a twist
My last enemy had bleeding lips
That stopped the talking, why you stalking?
Kerser round you see me balling
My boys strapped with itchy fingers
Talking stops when it hits your winders
Fucken crazy ain't it, don't care if you rate it, hate it
Since I came into the game, the most hated is what I stay with
No one ever cop the hate first like the Kers man
And fuckin' spin out, half you haters turn to Kerser fans, facts",https://genius.com/Kerser-attitude-been-stuck-lyrics
Bad Habits,Tradition,2016,"I don't know how deep to go
But I'ma let it all out so come peep the show
Got my first Xanny of my mate, I ain't gonna say his name
It was fun at the start, I used to treat it like a game
This around the time when 
The Nebulizer
 dropped
I was on all types of shit, but there’s one I couldn’t stop
And it played with my brain, but I focused on the music
I focused so much, didn't realize I abused it
Never had a plan to stop, not in that prediction
Going through fame, couldn't see I had addictions
One turned to two, turned to three, turned to four
Then I need about six a day, a little bit more
Mixin' it with lean, gotta stop people seein'
What damages can be by lookin' at me, shit
What to do 'cause I feel like a fool
And I hate any rapper makin' Xannies look cool
Shit was gettin' bad, I was filled up with hateful
Thoughts in my mind, I would argue with April
Agreed I would stop, shit I'll give it a go
By the first fuckin' night, felt like slittin' my throat
Second night, my body shaking the ambulance appear
And I'm thinkin' in my mind, what the fuck they doing here?
Suddenly I'm caught up and there's no time to muck 'round
Lucky I got here, 'cause my body 'bout to shut down

Back to square one, nah man, you can't quit
You gotta wean yourself off, that's some hard shit
What the fuck man, my brain is a mess
I can't remember that much, feel the pain in my legs
I wish it was that easy, I could give up and go
And people still got the hide to tell me pick up my phone
Maybe that's my fault, I didn't speak on it much
I didn't see it as a problem, I would keep it from cunts
Rates could always tell, when I couldn't pronounce
Certain words, brain dead, yeah should I be proud?
Anxiety was killin' me, the doctors couldn't deal with me
Put me on a program cut me down off the pills and weed
All scared, 'cause I feel on my own
I told 'em ""let me chill"", now they think I'm dissin' 'em bro
Waking up tired, I gotta take more pills
And I don't even wanna take 'em, is this fuckin' for real?
Losin' touch with myself, it's like reality's false
It's like I’m walkin' around without havin' a pulse
It's a feelin' of death, or like nothin' is left
Lose air, I'm holdin' my chest, just put a hole in my head
You see the older I get, it's gettin' scary as fuck
I'm like an eighteen in the head, I weren't aware of those drugs
The shit that they cause, I talk to mirrors on walls
I don't need this shit ever, but to pills I will fall

I opened up on 
No Rest
, told cunts everything
That I done ice, didn't leave out anything
I quit that shit, yeah, I left it flat dead
That was five years ago, they still think I'm a crackhead
If that's what we're goin' off, fuck me dead
In five years, I'll be clean, they'll be calling me a Xanny head
Funny how the world works for a paycheck
Once the fame hit, I became a train wreck
I wasn't shit anyway, so why does it count?
Why so many people love me? I can't figure it out
But I'm tellin' you now, don't you follow my path
Look you couldn’t if you tried, 'cause I'm goin' in hard
Fuck it, poppin' a pill, just to go out today
How'd I end up like this? I don't know, it's a way
Well I'm blamin' the fame, yeah, I said it before
But it's enough to make me high, feel like endin' it all, but I

Brush it off, got the fans on my side too
And my girl and my brothers and the whole crew
Spillin' the truth, it's like all I can do
That's why I don't have time for rappers that are saying they true
When they lie to their fans, apologise in the end
I never lied to mine and this is why I'm the man
I tell you what I'm goin' through, I don't care what they think
That's why I'm triple popping pills, leaning over the sink
I'm almost fuckin' crying as I'm writin' this shit
'Cause of all my close ones, and the lives I affect
I came from the bottom, I made it my problem
Created the option, now fame has adopted
My brain gotta stop it, insane I am not this
Strange we got 
Scott
 sick, I'ma watch a clock tick
Just fuck off, I said it just fuck off
If I won't have my tablets I'll find a bridge to jump off
Fucking idiots, thinking that the shit is cool
Till they dyin' in the vomit of there own drool
What I meant to say? Don’t do what I done
I've cut down on the program, yeah I've won
Repped it from the street, turned into a star then
Caught a fucking habit on the Xanax but the bars went
Crazy and I'm just dealin' with fame
I just want my fans to know that I’ll still be the same
I'm good",https://genius.com/Kerser-bad-habits-lyrics
Battlefield,The Nebulizer,2011,"Love is a battlefield

This is the final straw, yeah, he's high for sure
He's gone to buy some more, stay up from night to dawn
And they always fight, they at it all the time
But, this time, something's changing, yeah it's different tonight
She sick of living her life, she plans to get up and run away
With her kids and just live in another state
They struggle now just to feed 'cause they're poor
Where the kids playing raw, he's leaving needles on floor
He's raging bad like ""don't look at me bitch""
You go cook for the kids or cop a hook to the chin
And it wouldn't be the first, he's always smacking her up
They were deeply in love, but now he's smacking it up
His vain first priority then the kids probably
She knows this shit is going to be a hard move but honestly
She's got to go he needs his drugs and he has to steal
Escape it all 'cause his love is a battlefield

Love is a battlefield

First night without a dime in her purse
They have nowhere to go, she has to find a reserve
But she feels better with her kids by her side
And the known fact you'll never injure her right
Well, she feels freedom but she's hungry at the same time
Stress is on her mind, her kids are sickened, all night they cry
It ain't right 'cause back home he wakes up
Loads his shotty, wants revenge so he scrapes up
Enough dollars to be catching a bus
To the first place they ever met but he must
Hold it all together or he ending it forever
Never see his kid and never find connection any better
But they're long gone it was the same reserve
Her sister rang her up and said you're staying with her
So he's back roaming on the search for his next hit
He's been through the best shit is mind state is hectic

Love is a battlefield

She's living life, it's been a week and the kids' laughter
Happy at last not like a back at the start
But he's got tracks on his arms still tracking them down
He don't want to make it right he wants to smack her on down
Put a gat in her mouth like what look what you've done
He's sipping on bottles of rum over what has become
But he needs a hit to escape all his brain's thoughts
It only been four hours and he's hit like more than eight wroughts
Cashed up, pays a visit to his dealer
Pays his tick and gets some more it can't get any realer
She's long gone he's in love with a ghost
Might be dead to him so he doubles his dose
Eyes roll back, can't talk can't move
See her face move then his kids too
Out cold heart stops head falls
Love is a battlefield and that's what he's dead for

Love is a battlefield",https://genius.com/Kerser-battlefield-lyrics
Be Patient,Next Step,2015,"Kick it off now, got the outro
One shout-out to the cunts who doubt bro
Proved 'em wrong but still they hate
Couldn't have done better, I'm real they fake
And I heard 'em ask if I beef with cunts
No beef, I'm just too far in front
If that cause beef then so be it
Stop asking if I'm sober yet
I'm over it, go ten for ten
Seen the closest mates turn greedy man
And that's enough when I cut you off
Then they all call back like ""I love you Scott""
I've seen two sides, if I quit the rap
Pretty sure you wouldn't be ringin' back
Everyone around me wantin' something
What you do for me? You do fuckin' nothing
Shout to the crew though, always on the move bro
One main rule I'll never ever lose yo
Gotta say my rap, my life
Everything I've sacrificed
Everything I have, I tried
Non stop work, rap has my life
But I'll stay here, for my fans, for my fam and for my friends
Until the end I'll be the Kers
Always here to feed a verse
Feels like that like every day
Covered everything, what's left to say?
I just wanna be like left alone
Can't end up in a mental home
Been chasing my dreams for half my life
Now I'm waiting for the part where I die

This the way it goes, be patient, let me break it down
Done a couple things I'm never gonna say out loud
Thank you all the crew that got my back
They knew from my first rap there's no stopping that
This the way it goes, be patient, let me break it down
Done a couple things I'm never gonna say out loud
Thank you all the crew that got my back
They knew from my first rap there's no stopping that

Steppin' up shit every time I drop
That's the main reason they kind to Scott
And I'm kinda lost but I find a way
Thinkin' ""I'm ahead should I hide away?""
I'm gonna lose patience, time me lad
I don't even wanna write another rhyme with that
I want a clear mind, it's all I want
But everyone's dramas fall on Scott
And I'm sitting in the back like what is what?
Thinking should I just call it off?
But I came so far, too far to quit
I'll write another rhyme and ask you this
If you were me, what would you do?
Would you get personal when they write a review?
Piss on these rappers that doubted you?
Would you get a clear mind from a clouded view?
I'm losing my mind, when I rhyme I don't choose a side
Ready to make career suicide
Dunno what to do, I'll cruise all right
Shout to the fans, you pull me through
Shout to the haters, I'm hurting you
Ain't no tellin' what Kerser do
Last thing that you wanted was me verse you
But I'm lucky as fuck, I got my girl
And she makes sure that Scott's her world
And that shit there, that helps me heaps
More than any other one helping me
Walk a tightrope, don't slip and fall
And with hip hop I give my all
Album five, I'm signin' out
Until next time, all right, we out

This the way it goes, be patient, let me break it down
Done a couple things I'm never gonna say out loud
Thank you all the crew that got my back
They knew from my first rap there's no stopping that
This the way it goes, be patient, let me break it down
Done a couple things I'm never gonna say out loud
Thank you all the crew that got my back
They knew from my first rap there's no stopping that",https://genius.com/Kerser-be-patient-lyrics
Bible 4 My Enemies,S.C.O.T.,2013,"Kerser
I'm just chilling in the studio with Nebs
You know turch
Never know you down like this, Look

ABK heard that clique
Even coppers getting stomped squashed at the gigs
I've learned a lot in the last past five years
I can get your brain shot grab your mum wipe tears
'Cause when you make it to a certain success
You got the boys in the street who want to come with you, yes
So in order for that, that's how they're paying me back
To fuck you up on any circumstances, play with me lad
This ain't a gangster act, not by any means
This the bible for my enemies
I'll leave a legacy behind they can blame me
The first Oz rap to bring the street to the mainstream
And I ain't main stream, but it's strange see
As many people sussing that seem to play me
Ninth wonder of the world, you can lock it in
Read the bible, even close it says I'm gonna win
Says I gotta win, you a ought to been
I'm a fresh motherfucking rocking solid bling
You won't understand if you ain't come up like I did
That's why we laughing when these young-in's fucking biting this
I'll have a stub nose put to your grub nose
Plan the shit perfect even coppers thinking ""fuck knows?""
My boys crazy and they wiling out
If you diss me man I hope that they don't find you out
You'll be six feet under that's a final round
And I don't give a fuck if you want vinyl sound
'Cause we group up and we learned in a violent town
No disrespect but this shit ain't the 90s now
This a whole new era I'm the king of it all
You gotta move with the times or get evicted and walk
We gonna bully all these rappers cos they softer than a waterbed
Said you wanted war instead, man you should've thought ahead
Street shit, backed by the best
X on your chest, hacked to your death
Kers, Rates, ABK and a bunch o' 'nother cunts
225 signing out, didn't think we running up what's up?

 225
 ... sickest cunt out there
If they spit a diss to Kers , fuck 'em
 maximum security jail
And what?
Cunt we hate these fuck wits
Bitches 225
All the way",https://genius.com/Kerser-bible-4-my-enemies-lyrics
