title,album,year,lyrics,urls
Fuego,,2018,"Yeah
Oh yeah
So, so, so

I’m on the move
I got it poppin’ like no one else and I kept my cool
See we can go to Kumasi, just me and you
And don’t you stress about flaws baby, just gotta embrace ‘em
I’m just tryna stretch you out, look (sheesh)
I don’t wanna be that nasty dude
I gotta be that classy dude
I don’t wanna be the nigga go ahead and go slap a dude
I don’t even wanna wreck the mood
I’m just really tryna set the mood
She like hey, hey
You run around like you the man, and you known
You come around, you don’t do a thing, you a phony
I told that bitch, do not play that shit, I’m grown (I'm grown)
I told that bitch, I’ll be rich as fuck and beyond

The sun out shining so the girls out
Summer dresses so it’s all out
And you impressive got my thoughts wild
But I’m already taken got a girl now
And she so, Fuego
I don’t need to leave I’ll stay home
And we gon’ lay low
And see the whole world from our bedroom

Damn
I know what I did  eventually drove you crazy (drove you crazy yeah)
No lie, you were number 1, my lady
You was way back even before the navy Mercedes (skrt)
The boy that ran around suddenly got wavy (yeah)
See I’m going on a world tour
And if it’s loyalty that you asking girl, then shit, I’m here for it (here for it)
Let’s catch flights, let's kill time
We can see places ’round the world
There ain’t no pimping around my girl, shit shit
Cause honesty and trust, this is what I call rich
And now we on (we on it)
The flyest one in the room and shit you know it (you know it)
I ain’t tryna be the one to steal your moment (yeah, yeah)
The feeling I get inside is so euphoric (yeah, yeah)
I’m out here for it
My heart you own it, yeah
But I told that bitch do not play that shit, I’m grown
I told that bitch I’ll be rich as fuck and beyond

The sun out shining so the girls out
Summer dresses so it’s all out
And you impressive got my thoughts wild
But I’m already taken got a girl now
And she so, Fuego
I don’t need to leave I’ll stay home
And we gon’ lay low
And see the whole world from our bedroom

Get in my zone
Switch off your phone
My space ship coupe
Go zoom zoom zoom
Don’t leave me alone
I’m on my own tonight
Don’t leave me alone
Don’t leave me alone
Get in my zone (Get in my zone)
Switch off your phone (Switch off your phone)
My space ship coupe (My space ship coupe)
Go zoom zoom zoom (Go zoom zoom zoom)
Don’t leave me alone (Don't leave me alone)
I’m on my own tonight (I'm on my own tonight)
Don’t leave me alone
Don’t leave me alone
Get in my zone
Switch off your phone
My space ship coupe
Go zoom zoom zoom
Don’t leave me alone",https://genius.com/Manu-crooks-fuego-lyrics
Blowin' Up,,2016,"We just livin' young and livin' dumb
We do what we want, do what we want
Still don't show no love to all 
these hoes
Blow it up to the sky, we blowin' up

Young and livin' dumb, you know how it go
We just havin' fun
Puffin' on some good, smoke up in my lungs
Coke up on my gum
Uber everywhere just to fuck a nigga
Say she love it though
Pussy pulsin'
Had to put that D up in that dio cabrio, yo
I got loads more like way more
We roll up, we pour up sober
Forever young, we unstoppable
We all workin' hard, I just want it more
And this feelin', yo, is incredible

We just livin' young and livin' dumb
We do what we want, do what we want
Still don't show no love to all these hoes
Blow it to the sky, we blowin' up
Young, dumb and dangerous, tryna get the paper up
Hatin' on us, fakin' on us, they ain't ever gon' take us
Every day we workin', workin' tryna get a brotha from the dirt
Blow it to the sky, we blowin' up

We goin' up, we blowin' up
They know what's up, they know what's up
They know it's real, they know it's fate
They know the deal, they know what's up
And I ain't got nothin' to lose, I ain't got nothin' to prove, boy
I just do it better than all the people that you see, boy
Yeah, and I bet they come around just when I'm not around
Wish they run their mouths, switch game for a while
Kiss ass when I'm out, wrist game goin' wild
And they love the flow like they love to hate me
They'll never admit it, guess they're goin' crazy
I got women messagin' me on the daily, that's crazy
Forreal, oh the life we live
All the sights we've seen
Got the things we need, yeah
No stress, just breathe
Let the fakes all leave
It is fine with me, yeah

We just livin' young and livin' dumb
We do what we want, do what we want
Still don't show no love to all these hoes
Blow it to the sky, we blowin' up
Young, dumb and dangerous, tryna get the paper up
Hatin' on us, fakin' on us, they ain't ever gon' take us
Every day we workin', workin' tryna get a brotha from the dirt
Blow it to the sky, we blowin' up
Young, dumb and dangerous, tryna get the paper up
Hatin' on us, fakin' on us, they ain't ever gon' take us
Every day we workin', workin' tryna get a brotha from the dirt
Blow it to the sky, we blowin' up",https://genius.com/Manu-crooks-blowin-up-lyrics
Different League,,2018,"Everything cool round here, yeah
Like the way the she move, yeah
God damn she new round here
Lot of a vibe and we groove (Lot of a vibe and we groove)

Yeah, first time caught a vibe
Had me thinking she was mine
I was loving all the signs
She was loving all of mine
First time caught a vibe
Had me thinking she was mine
I was loving all the signs
She was seeing dollar signs

Yeah, different league
Got some numbers on our backs like we a team, yeah
Overseas says we flyin' just to follow what they dream

Look, there ain't no time to waste
There ain't no time to faint
There ain't no time to hate
Got a lot on my plate
Oh my god, what a taste
A little smoke and we baked
A little sass and they late, uh
And I'm sippin
Spit a little game and now that shorty dippin'
Ain't no feelings
Ain't no strings
Everything cool round here, yeah
Like the way the she move, yeah
God damn she new round here
Lot of a vibe and we groove (Lot of a vibe and we groove)

Yeah
All of my business got caught in my feelings
Im out here tryna break the world record
Cos I'm no Guinness
I'm bossed up, no apprentice
The time we put in, horrendous
But the hustle so damn tremendous
Got a tunnel vision thats endless
Ain't nobody fucking with me, no
Ain't nobody fucking with the team, no
Greece, Paris, Berlin, London
All sing my tunes
Talking bout i'm just twenty four
Got twenty four til im out of here
Different league in a different scene
I'm a different breed getting different freaks
Different shows getting different fees
On another level getting different C's
Yeah I'm getting paid now and its cliche now
Couple Euros turning European now, woah
I was plotting in my room just last year, yeah
Now i'm overseas and that vision is so f... clear

First time caught a vibe
Had me thinking she was mine
I was loving all the signs
She was loving all of mine
First time caught a vibe
Had me thinking she was mine
I was loving all the signs
She was seeing dollar signs

Yeah, (yo, yo, yo)
Different league (different league)
Got some numbers on our backs like we a team, yeah
Overseas says we flyin' just to follow what they dream",https://genius.com/Manu-crooks-different-league-lyrics
Everyday,,2016,"Everyday... niggas really get bigger and bigger

I been working I don't need no holiday
When they see me bet they catch the harlem shakes
I know you see me shining from a mile away
You know I do this everyday!
Everyday, everyday
Me and my squad, we don't play
Roll up to the club and pour some chardonnay
You know I do this everyday

We don't really mean to be flexing
Got a merc' but I roll with Alexis
I do not chase and I show no love but I see a couple O's with my X's
I been down my whole life and I'm still tryna build like tetris
The boy so fly but down to earth like ancestors
Hol up
I been tryna whip but my whip broke down
I been tryna settle but the bitch go down
I been tryna tell these niggas that I'm back and I ain't going nowhere cause I been so wild
Been so wild it's been a while now
Look at all these people on my dick now
Back in high school, I couldn't get a bitch now they all want a piece now, good lord!

I been working I don't need no holiday
When they see me bet they catch the harlem shakes
I know you see me shining from a mile away
You know I do this everyday!
Everyday, everyday
Me and my squad, no, we don't play
Roll up to the club and pour some chardonnay
You know I do this everyday

Rolling with the squad, that's everyday
They blowing up my phone, that's everyday
I'm working on the low, that's everyday
I put on for my city and that's everyday

Wake up in the morning, man I gotta get it
I don't waste time, meant it when I said
I'm not the one to call like I'm out of credit
You know my last name Adu like I'm at a wedding
I don't pay mind, don't tax me
If you ain't my girl, don't stress me
If you ain't with the clique then you ain't with the biz bitch
Please don't call or text me
'cause i'm working on the daily swear to God I can not pretend
Gotta be outstanding that's the reason we do not attend
I'm aiming for the stars that's the reason we do not decend
And everyday we pray the lord becomes our closest friend (God damn)

I been working I don't need no holiday
When they see me bet they catch the harlem shakes
I know you see me shining from a mile away
You know I do this everyday!
Everyday, everyday
Me and my squad, we don't play
Roll up to the club and pour some chardonnay
You know I do this everyday",https://genius.com/Manu-crooks-everyday-lyrics
Day Ones,Mood Forever,2017,"Hold up
Don't fuck with my day ones
I skeem with the day ones
Got love for my day ones
I'm there for my day ones
I roll with the day ones
Yeah we should begin
Mmm, start moving to the ceiling
Aye
Day ones
Day ones
I roll with the day ones

I just let em' know
I can't let em' go
Show love to the realest
No love when I'm hating tho
With the fam I go toe to toe
Blow for blow
Rap too much I might overflow
The boy never gon' overdose
Yeah never had a girl for a minute
Cos' i've been down for a minute
I pull up on late by a minute
See we don't even care for a minute
I only been here for a minute
Yeah and they bugging me
They threaten me
Cos' you don't see no rivalry

Hold up
Don't fuck with my day ones
I skeem with the day ones
Got love for my day ones
I'm there for my day ones
I roll with the day ones
Yeah we should begin
Mmm, start start moving to the ceiling
Aye
Day ones
Day ones
I roll with the day ones

Switch on
That's something I never do
That shit is so pitiful
You people like Jigga-boos
You people are cynical
I'm really not into you
Huh fuck it
I think I play too much
Back back to the topic, woah
We don't care what you packing, woah
We don't go with no option, no
We just playing with no problems, no
I see no no new friends
Cos we don't fuck with nobody, no
We don't just nobody, no
I put my trust in nobody, no

Don't fuck with my day ones
I skeem with the day ones
Got love for my day ones
I'm there for my day ones
I roll with the day ones
Yeah we should begin
Mmm, start start moving to the ceiling
Aye
Day ones
Day ones
I roll with the day ones

Whizza on this bullshit
Matty on this bullshit
Echuca on this bullshit
We got no time for bullshit
Tony on this bullshit
Niro on this bullshit
Ziggy plot the whole shit
So we never back up on the bullshit
I should name the whole click
My fam and friends the whole shit
With me? Don't you know this?
If you show me love i'm taking notice
Solo on this bullshit
Willy on this bullshit
Manny on this bullshit
Dwight on this bullshit
Whole team on this bullshit
Hey could've named like a hook
Omar on this bullshit na I'm just playing",https://genius.com/Manu-crooks-day-ones-lyrics
Hectic,,2019,"Ayy, ayy
I tell 'em keep that same energy
You know that shit can get hectic
You know that shit can get hectic
You know that shit can get hectic
All that talks never in front of me
Hmm, that's hectic
You don't want shit to get hectic
(You don't want shit to get hectic)

Yeah, yeah
Home is wherever the west (West)
Home is wherever the bredrins (Bredrins)
Less of the shorties I'm messin' with (Text)
Ayy, ayy (Hectic)
Youngin' and also the veteran
They just think what we do is irrelevant
We just tryna inspire and be better and (Woo)
Yeah, yeah
We just tryna inspire and be better and
We done came up relyin' on centre link
Manifested the dream, now we livin' it
Now I got bigger fish to fry
I been stressin' 'bout this life
Why you wantin' all my time?

Lately, I'm sensitive
I be so negative
I be so reckless
Usually I'm arkin' up
I am the bigger kid
I am the better man
I am embodiment of what the dream is
Ayy, look
If I'm gone, it's gon' be for a reason
I could've stayed for the whole damn season
Hell if I inherit what they beefin'
Look, free Scrap, Raph
Should put your face on a shirt
We put the greats on my merch
We leave the opp in the dirt
Then we left his with his girl, like skrrt, skrrt
Blood, sweat, tears
We put in all of the work
Really we came from the dirt
And it's cool if you cannot relate (Cannot relate)

I tell 'em keep that same energy (Energy)
You know that shit can get hectic (Hectic)
You know that shit can get hectic (Call me)
You know that shit can get hectic (Hectic)
All that talks never in front of me (Front of me)
Hmm, that's hectic (Hectic)
You don't want shit to get hectic
(You don't want shit to get hectic)

A lot of stamps in my passports
You cannot mention me in the same sentences
The company that you keep
Don't come close to my bredrins, no
We can't afford to lose hope (We can't afford to lose hope)
And you can't afford to blow smoke

Ayy, ayy
Don't come 'round the crew
If you know what we do and your heart's too soft (True)
Don't hang with the gang
If you don't bang when the gang kicks shit off (True)
I don't wanna see Ds in the cut
No good when the Ds interrupt
If he talks tough, then his knees gettin' brucked
Then we gotta cut 'cause we got Ps in the truck
If he wants beef, then we're heatin' it up
Trust, we're gon' teach him a lesson
I'm puttin' on for my brothers
Yeah, this for my bros in the pen' that I see in correction
This shit can get hectic
'70
 my brother, bitch you guessed it
Just another brother on the guest list
They didn't need a rubber, I was destined
This shit can get hectic
Was a runner, then I got arrested
Now I'm running, running where the best is
Bitch, I was undercover, now I'm flexin', ayy

I tell 'em keep that same energy (Energy)
You know that shit can get hectic (Hectic)
You know that shit can get hectic (Call me)
You know that shit can get hectic (Hectic)
All that talks never in front of me (Front of me)
Hmm, that's hectic (Hectic)
You don't want shit to get hectic
(You don't want shit to get hectic)",https://genius.com/Manu-crooks-hectic-lyrics
Ridin,Mood Forever,2017,"Pull up to your crib, I got the commo & I'm swerving
Say I'm not your man but I'll be right there at your service
You the type to change a nigga, got me feeling nervous
You the type to make a nigga flip on fucking purpose

Never at the crib, we at the hotel
I never called you bitch, but this a wholesale
I never call you bitch, and leave a voicemail
I never wanna be the one you played with
I always change my mind, when you come around
And you so strange girl, you so dangerous
Always change my mind, when you put it down
See you so shameless!

Yeah I'm riding
I'm rolling
I'm sliding in you girl
(What you wanna do)
(What you tryna do)
(Tell me what it do)
Yeah I'm riding
I'm rolling
I'm sliding in you girl
(What you wanna do)
(What you tryna do)
(Tell me what it do)

I wanna be the main not the side bitch
I gotta be the one that you fight with
Like a pillow on the bed, you can lay with me
Also wanna be the one you get high with
You can take me out house treat me real good
Buy me dinner on the rocks with a good view
That's only way we fuckin' when I come through
I let the whole city know bout us two!

You are all the same
All I hear the same
It's the same shit
They throw dirt on my name
But everytime they see me they on my (dick)
See me ducking all the feelings
I ain't tryna be your next
I ain't trying no
Never hit you with a text
Never hit you with a call

Yeah I'm riding
I'm rolling
I'm sliding in you girl
(What you wanna do)
(What you tryna do)
(Tell me what it do)
Yeah I'm riding
I'm rolling
I'm sliding in you girl
(What you wanna do)
(What you tryna do)
(Tell me what it do)
You know, you know!

Pull up to your crib, I got the commo & I'm swerving
Say I'm not your man but I'll be right there at your service
You the type to change a nigga, got me feeling nervous
You the type to make a nigga flip on fucking purpose

Yeah I'm riding
I'm rolling
I'm sliding in you girl
(What you wanna do)
(What you tryna do)
(Tell me what it do)
Yeah I'm riding
I'm rolling
I'm sliding in you girl
(What you wanna do)
(What you tryna do)
(Tell me what it do)
Yeah I'm riding
I'm rolling
I'm sliding in you girl
(What you wanna do)
(What you tryna do)
(Tell me what it do)
Yeah I'm riding
I'm rolling
I'm sliding in you girl
(What you wanna do)
(What you tryna do)
(Tell me what it do)
You know, you know

Let me tell you 'bout a, woah
I can tell you 'bout a, woah
Let me tell you 'bout a, woah
Let me tell you 'bout a, woah",https://genius.com/Manu-crooks-ridin-lyrics
Presence,,2017,"Lately I been feeling myself, I think I'm way too much
I been down and out my whole life, I think I'm way too up
If they don't understand
We don't spend the time, that's the way it is
I be way too
Understand I'm in the zone
Understand I got it going
Understand my feet are tired
All because I run the show
You been running through my mind
You the one that's by my side
Fuck with me, you love the vibe
Fuck with us, you love the tribe
Hold me down, I hold you down
You the one that's always round!
All these hoes that think they know what’s up
We got next and now they know what’s up
Get at the boy there is no one else
Way to the top, I been rolling up
I don't want no bitch get involved
I’ve been ready just to set it off
All these problems, I don't want no problems
If there is a problem, then I fuck it off

Life just turn me to a savage
I don’t fuck girls that are average
Cut ‘em all off, don’t need baggage
Cut ‘em all off, don’t need baggage
If you bring me down, don’t need you around
Not athletic but I run the town
With the set cause they all hold me down
Feel my presence though I’m not around

Young and restless, they don’t get it
Money coming, money flipping
And fuck that club life, ain’t with it
Unless I’m in it getting richer, hold it
I need my cheque out like pronto
Got my formula right, no Alonzo
No more forming a line out the club though
Less I’m in there getting paid with my kinfolk
I just chucked 30K for the feature
I don’t know who gon’ pay for that feature
Fuck is someone gonna pay for that feature?
With my bitch kicking back playing FIFA
Count count count count me out
That just gave me more to think about
That just gave me more to write about
That just gave me more to get it out
That just gave me more motivation
When I write it down, wish I could see their faces
When I’m with the girl, I call it trading places, yeah
Call it trading places yeah

Life just turn me to a savage
I don’t fuck girls that are average
Cut ‘em all off, don’t need baggage
Cut ‘em all off, don’t need baggage
If you bring me down, don’t need you around
Not athletic but I run the town
With the set cause they all hold me down
Feel my presence though I’m not around

See me roll around with day ones
If you got a problem, then you say something
If them bitches bad, we gotta slay some
If them bitches bad, we gotta slay something yeah
I don’t trust in no bitch
I don’t fuck with no bitch
Better stay cuffin’ your bitch
I don’t wanna turn your bitch, to my bitch
Just picked up the phone yeah
She call me as soon as she home yeah
I tell her that I’m in the zone yeah
If I’m coming you giving dome yeah, and then I'll be gone yeah
(Dickhead)
You the type to say you want nothing but we both know that you want it bad
You the type to throw the pussy wide and shit, I ain’t really bout that
I don’t trust in no bitch
I don’t fuck with no bitch
Better stay cuffin’ your bitch
I don’t wanna turn your bitch, to my bitch

Life just turn me to a savage
I don’t fuck girls that are average
Cut ‘em all off, don’t need baggage
Cut ‘em all off, don’t need baggage
If you bring me down, don’t need you around
Not athletic but I run the town
With the set cause they all hold me down
Feel my presence though I’m not around",https://genius.com/Manu-crooks-presence-lyrics
Touchdown,Mood Forever,2017,"I just touched down, know it's late, yeah
I hit your phone up, I'm on my way
No matter what the vibe we be rollin
'cause she don't really care about her heart stolen
Look
I hate it when you switch off, switch off
So get down like you don't know I'm that nigga
In my feelings
I been sipping too much liquor
She's like, you the man right?
You got a plan, right?
Never do you wrong, but always see me wrong, right?
When it's over you gonna keep your word, right
You talking reckless, and so it's just a that fight

Hundreds of miles from me to earth
Just touched down, I know it's late
Haven't see you and I need your love
Just touched down, I know it's late
Uber straight to your place
Baby I'm not here to play
Just touched down and I know it's late
Uber straight to your place

She come by, she get undressed yeah
Touched down, I get a text, yah
You the one, like the champ yeah
Who you ride about to rest ya
Not even tryin' to flex ya
Look
Straight up, straight up
You ain't gotta wait up
I know we made plans, but I'm also with the paper
You got me reminiscing, the kissin and the touchin
Never catch me fallin' because I'm duckin' all the feelings, yeah
A lot of women, yeah
Think I'm playing, yeah
Why the boy so fly
Now I'm at your place
You all up in my face
We can just get high
Wild sex on the top floor, yeah
You butt naked and you want more, yeah
I give it to you how you want it
We put the lights out, make it all about the sounds, yeah

Hundreds of miles from me to earth
Just touched down, I know it's late
Haven't see you and I need your love
Just touched down, I know it's late
Uber straight to your place
Baby I'm not here to play
Just touched down and know it's late
Uber straight to your place

Damn my baby
Damn my baby
Damn my baby
Got me wrapped around
Damn my baby
I won't hesitate to show you all around
Damn my baby
Damn my baby
Damn my baby
Got me wrapped around
Not really about that, no

Baby I'm not here to play
Just touched down, I know it's late
Uber straight to your place
Baby I'm not here to play
Just touched down, I know it's late
Uber straight to your place",https://genius.com/Manu-crooks-touchdown-lyrics
Assumptions,,2017,"Yeah, ready
Yeah, ready (ready)
Chyeah

I do not like all the bum shit
I do not fuck with the nonsense
All of the bitches, they think that they know me
But all of them making assumptions
You are not part of my fraction
I turn up to turn up the function
I turn up to turn up the function
I turn up to turn up the function

They throwing some dirt on my name
Bitch I ain't part of your game
All of the bullshit, all the involvement
Honestly I'm so ashamed
Switching these bitches like flows yeah
I cannot save any hoe yeah
Hanging around with these white girls
It's like we just making it snow, yeah

I do not like all the bum shit
I do not fuck with the nonsense
All of the bitches, they think that they know me
But all of them making assumptions
You are not part of my fraction
I turn up to turn up the function
I turn up to turn up the function
I turn up to turn up the function

They know I don't surf
But I'm already on top of the wave, yeah
They know its my turf
So you're walking the way that I paved
The way that I'm sway, like this in the morning
Records I'm dropping whenever it's boring
Records I'm dropping it's part of the story
Records on records that shit is so awesome, yeah
I got the vision like GoPro
Balling so hard I could go pro
Working the stick like a pogo
She back it up for me in slow-mo
She work work work work
You think she RiRi
Do me dirt dirt dirt dirt
You think she RiRi, Ay

I do not like all the bum shit
I do not fuck with the nonsense
All of the bitches, they think that they know me
But all of them making assumptions
You are not part of my fraction
I turn up to turn up the function
I turn up to turn up the function
I turn up to turn up the function
I turn up to turn up the function
I turn up to turn up the function

Yeah, we turn up to turn up yeah
You know how this shit go
With the squad and we so lit
You know how this shit go

I keep the sound to myself,yeah
Can't get a hold of myself, yeah
I got these bitches they tryna' finesse me
I'm already feeling myself, yeah
I'm just so sick of the favourites
Time to be cold like a glacier
Gotta stay sharp like a razor
Save it again I'm the saviour
 x2
Assumptions, Assumptions
Don't come here bluffing
He say that she say
That shit mean nothing

I do not like all the bum shit
I do not fuck with the nonsense
All of the bitches, they think that they know me
But all of them making assumptions
You are not part of my fraction
I turn up to turn up the function
I turn up to turn up the function
I turn up to turn up the function
I turn up to turn up the function
I turn up to turn up the function",https://genius.com/Manu-crooks-assumptions-lyrics
