title,album,year,lyrics,urls
7 Days 6 Nights,Burn City,2007,"Seven days, six nights in paradise
Eleven months of hard work building an appetite
A lifetime of dedication to keep you satisfied
Catch a mystery flight into a rapper's mind
Unwind like a beach in Byron
Or a full moon party at the Phi Phi Islands
Find relief, when you need reviving
Leave behind the city like freedom fighters
Stress relief like sex on ecstasy
Forty eight weeks to invest in equity
Don't sleep like meth dependency
You'll get gunned down like Tibetan refugees
Nothing lasts forever, it's impermanence
Turn you into fossil fuels and keep burning it
Every day starting from scratch and relearning it
Every day study the math and seek purposes

""One""
, One dirty mind
""Two""
, Two murky eyes
""Three""
, Three early flights
Ten thousand miles from a perfect life, it goes..
""Four""
, Four Bourbon Drys
""Five""
, And I'm first in line
""Six""
, 7 Days 6 Nights
Ten thousand miles from a perfect life

Seven days, six nights of animal instincts
A one-way ticket, travelling business
Random acts of passion and kinship
Back packing through Paris in winter
Damage your liver, with a Japanese stripper
And wake up in a national geographical picture
It don't matter if a mans got millions
If his minds still living in the Bangkok Hilton
As the clock ticks and the hand strikes midnight
Drinks flowing like a Bondi riptide
Whole crew sitting front row ringside
Shining like northern lights with insight
Pack my bags, build my posterior
Like an old Enfield across India
Ride till the wheels come off in Bolivia
Intoxicated, lost in Siberia

""One""
, One dirty mind
""Two""
, Two murky eyes
""Three""
, Three early flights
Ten thousand miles from a perfect life, it goes..
""Four""
, Four Bourbon Drys
""Five""
, And I'm first in line
""Six""
, 7 Days 6 Nights
Ten thousand miles from a perfect life

Seven days, six nights, an annual vacation
Depart from the everyday stress of maintaining
Arrive wherever the next wave takes us
Fugitives running from yesterdays wasted
Forget about cars, petrol, parking
Forget about leaving the rental market
Forget about debt to the sheriff's department
And the government made us a terrorist target
Seven days, six nights, five early flights
Four clubs, three bottles of Bourbon Dry
Two murky eyes, one dirty mind
No regrets for anything I learn in life

""One""
, One dirty mind
""Two""
, Two murky eyes
""Three""
, Three early flights
Ten thousand miles from a perfect life, it goes..
""Four""
, Four Bourbon Drys
""Five""
, And I'm first in line
""Six""
, 7 Days 6 Nights
Ten thousand miles from a perfect life",https://genius.com/Pegz-7-days-6-nights-lyrics
Ali Shuffle,Burn City,2007,"Yeah, yeah, yeah

Suede Air Stabs, shaved hair cut
Black Evisu's with one leg cuffed
Bape up top with the raider's death touch
Obese knuckle duster, take the head off
Oh! Felling better now, polo frames keep the weather out
Stainless tag keeps ahead of now
Terry towel Kangol, ready to wet the crowd
Tipsy off the breath of Jennifer's wedding vows
Take your best shot, we can box for twenty rounds
Believed in myself so nobody could tear me down
Building confidence like a Bricky's callous'
And fifty thousand dark and risky challenges
People wrote me off like Jason Donovan
Every breath I take's a waste of oxygen
Now my names synonymous with great accomplishments
Ultimate Hater couldn't shake my confidence

Gotta work hard to not break the hearts that love you
The rest is all show like the Ali Shuffle
The rest is all show, the rest is all show
The rest is all show like the Ali Shuffle

I didn't wait for a deal to get my name on the bill
I came up on my own, putting faith in the skill1
Hitting switches on the grave shift radio real
Pushing cherry bar battles didn't pay the bills
But it laid the foundation, gave me salvation
Taught me how to handle the biz without patience
They said I'd never make it off Central Station
And I exceeded everyone's expectations
Gotta do my thing cause death is waiting
Like desperate housewives on medication
Oh! feeling better now, ready to get it out
More conviction than a politician's rent-a-crowd
Spitting a phrase with hip-hop relevance
Gripping the breaks like six pot callipers
Scum's so dirty, can't rinse off elements
Building confidence like a kid's intelligence

Gotta work hard and not break the hearts that love you
The rest is all show like the Ali Shuffle
The rest is all show, the rest is all show
The rest is all show like the Ali Shuffle
Gotta work hard and not break the hearts that love you
The rest is all show like the Ali Shuffle
The rest is all show, the rest is all show
The rest is all show like the Ali Shuffle

I'm feeling optimistic but it's hard to come through
'Cause making music's not half the struggle
Gotta work hard and not break the hearts that love you
The rest is all show like the Ali Shuffle
Boo yah boo yah, take a glimpse of the future
No crystal ball, we got kids in the schoolyard
Kings on the street like linked by computer
Clockers on the rooftop singing like a crooner
No pain, no gain, some drown, some break
Some people just survive to tell their fate
Some dedicate everything to elevate
Some fall off and only got themselves to blame
I'm not intimidating, it's not a competition
I'm building confidence every song I've written
Trying to push my sounds beyond the limits
Like the Wu-Tang tape in my Honda Civic

Gotta work hard and not break the hearts that love you
The rest is all show like the Ali Shuffle
The rest is all show, the rest is all show
The rest is all show like the Ali Shuffle",https://genius.com/Pegz-ali-shuffle-lyrics
Back Then,Axis,2005,"Yeah!
Back then, didn't need the buzz
Russian Alex had Reebok pumps
Big Gaz had Nike T dubs
Everybody wanted Nike sneakers
I saved up for a pair of Jordans
And spent all day dubbing tapes for Walkmans
Who remembers Ice T was king?
Flat tops were in, Swatches were bling
I couldn't comprehend my sisters intrepidity
Mohawks, Cherry Docs, Dead Kennedy's
Pegz memories are bonafide
But perceptions change over time
Yeah I still love cars and motorbikes
Give me coconut sauce and a bowl of rice
Keep my soul alive, control the mics
Bruce Lee versus poltergeist

Back then wasn't easy, back then things worked out
Back then I wish you were now
Back then wasn't easy, back then things worked out
Back then I wish you were now

Ducking transit cops and gumbies
Menzies Ave was a real Jumanji
Windsor flats, St. Kilda junkies
Steal your money like which bank?
Girls didn't seem so superficial
Levi jeans and a blue light disco
Let's go back when baseball caps meant
Racking cans, police harassment
Star Wars, street assassin
Collector's Corner, feed the passion
Bootlegs from Central Station
KRS One's revelation
Knowledge and self-preservation
Fuck racism and president Reagan
Remember days when I first tried rapping
Cabs were black white, ""till you get enough""

Back then wasn't easy, back then things worked out
Back then I wish you were now
Back then wasn't easy, back then things worked out
Back then I wish you were now

Everyone had humble intentions
DJ Koopz had a couple of lessons
Belt-drives, double cassette decks
Tandy mics with the budget connections
Back then, I scrubbed floors and packed shelves
And left school to get away and hang out
Phone boxes, pinball parlours
Showing off like an ignoramus
Whole crew had a crush on Tiffany
And got played like a Mozart symphony
Bronx infamy, Compton attitude
Flannelette shirts and Adidas parachutes
Bomber jackets, turtle Ray Bans
New Balance, purple stained hands
Little Ben got burned by spray cans
And I'm still hear reverberations

Back then, didn't need the buzz
Back then, hadn't seen enough
Back then, always dreaming of
B-girls in the classroom steaming hot
Homeboys at the station being hard
Beat box on the train, MC in the park
Getting chased by cops, piss in the yards
Back then, I lived the meaning of art

Back then wasn't easy, back then things worked out
Back then I wish you were now
Back then wasn't easy, back then things worked out
Back then I wish you were now
Back then wasn't easy, back then things worked out
Back then I wish you were now",https://genius.com/Pegz-back-then-lyrics
Before I Leave,Burn City,2007,"Define me like a lion defines the whole jungle
Definition of street and humble
Like Bruce Lee in Rumble in the Bronx summoned to the top
Like we just stumbled across Rapunzel's locks, ah
Whatever Barney Gumble gots I want it
Plutonic blaze, hitting harder than bubonic plague
A convict, confiscate
Record to take the weight off like Fonda's tapes (yo)
Everyone's like Charlie Chaplin
And Tom Cruise is actin' like Michael Jackson
It's crazy, maybe the global warming
Or maybe, just the famous are fallin'
Call me Pauly Polter, roll in a six
White like a polar bear stare a solar eclipse
Kick the goal like kids switch kick flippin' the rock and roll
On top of the bowl, that's control
[Chorus: 
Pegz
, 
Patto
, 
Illy
 & 
""Evidence""
]
It's Obese
 here to leave impressions
Beathedz
 bring the heat relentless
Crooked eye
 'bout to speak the essence
""I came too far not to be respected""

Before I leave, I'm settin' benchmarks each release
Rock, debut drop retiree
And every disc between and I'ma be seen
With at least one Veronica, sittin' on a beach
Sippin' something sweet, somewhere in the tropics
Fat wallet in my deep pockets
For now I got no cash, no smash hit
Just dash and tip the next shit, no slash, no asterix
When the champagne bottles pop, victory cigars lit
I'll leave my classics and an arse to kiss
You believe the cheek of this kid?
Believing nobody out equal this except a few at the top
Before he hit the door, I thought I'd drop a send off fit for a boss
I'm on a track with Pegz, so that's one less task left
On my list to address before I leave
[Chorus: 
Pegz
, 
Patto
, 
Illy
 & 
""Evidence""
]
It's Obese
 here to leave impressions
Beathedz
 bring the heat relentless
Crooked eye
 'bout to speak the essence
""I came too far not to be respected""

Before I leave, I want a house with no lease
And bed down with a fatter mamma than Obese
Drunk in the streets, running a muck
Junk hanging out the front like a Peking duck
Pump mad weights, get large as hell
So I can hang around with pussy like Gargamel
From getting blow once a year like a birthday candle
To getting more chicks than Heffner can handle
Moved from Coburg to Coburg North
From a bedroom flat, to a house with a porch
Get mad rich, make a smash hit song
And be the first in the charts that won't feature Akon
Go triple plat with the best rap tune
Collect my award in an Adidas bapsuit
If it's all bad and my plan turns shitty
At least they can say that he rocked burn city
[Chorus: 
Pegz
, 
Patto
, 
Illy
 & 
""Evidence""
]
It's Obese
 here to leave impressions
Beathedz
 bring the heat relentless
Crooked eye
 'bout to speak the essence
""I came too far not to be respected""

Yeah
I thought I knew the difference, between the music business
And gay rappers break dancin' on Euro Vision
But who will listen to somebody with a shoe addiction?
Livin' with their mums, talking about their crew is pimpin'
Spinal tap with laptops and final scratch
This is for my real DJs, bringin' the vinyl back
On a diamond back, with a biker's patch
Twenty inch biceps, covered in tribal tats
Chasin' hits like a junkie ho
One dole day, walkin' down Studley Road
Got a beautiful mind and a heart of gold
But you don't want to push me 'round like Russell Crowe
Not a role model, God father, that's not me
If I touch a few souls, that's extraordinary
But all I want is respect, before I leave
Paying homage to the New York streets, come on
[Chorus: 
Pegz
, 
Patto
, 
Illy
 & 
""Evidence""
]
It's Obese
 here to leave impressions
Beathedz
 bring the heat relentless
Crooked eye
 'bout to speak the essence
""I came too far not to be respected""",https://genius.com/Pegz-before-i-leave-lyrics
Blind Man,Drama,2010,"Blind man standing on the corner
Crying out the blues
He said, ""I don't want a dollar and don't you give me a dime
Until you bring back that little girl of mine""

Yeah, yeah, yeah, yeah
Kissing you on the commission flat rooftops
Cops sirens harmonising like doo-wop
Dogs barking, bottles bombarding
Somebody screamed ""Fuck the pigs!"", we started laughing
True romance, cigarettes and a goon bag
Sixty three cents and a pocket of food stamps
I'd do anything to have you back for that
First night, talking about family crap
But I was a blind man, listen to my heart skip a beat
When you asked about my dreams and the scar on my sleeve
We cried at the blues like a mark of the bleeds
To the blood on our hands  such a relief
It was love like you and I, to align synthesis
Fewer than city lights, suicide witnesses
Blue lights flickering, moonlight glistening
Illuminating life, purified innocents
(What?)

She's from a place where you have to believe
Where a buckled bike rims hang from the trees
And if you squint when the full moon captures the street
Blind man you can see!
He's from a place where you have to believe
Watching your family collapse to their knees
Broken glass everywhere from the shattered dreams
Blind man you can see!

""You're blind from the facts"" ""Man, can't you see?""
""And it's hard to explain like humanity's vision""
""You're blind baby""

Yeah, yeah, yeah
We heard bass drums echo in the stairways
Heavy screen doors slamming like rear brakes
A symphony of old V8s revvin' sent a
Shiver up my spine, like a DJ's records
For one second we were consciously lucid
And everything else was an optical illusion
Blind to intrusion and constant confusion
Removed like the truth in historical blueprints
First love, last goodbye
See these bags under my eyes? I earned my stripes
First love, last goodbye
See these bags under my eyes?

She's from a place where you have to believe
Where a buckled bike rims hang from the trees
And if you squint when the full moon captures the street
Blind man you can see!
He's from a place where you have to believe
Watching your family collapse to their knees
Broken glass everywhere from the shattered dreams
Blind man you can see!

""You're blind from the facts"" ""Man, can't you see?""
""And it's hard to explain like humanity's vision""
""You're blind baby""

Fourteen, left home and look for the meaning
Fifteen, found gangs and hooked on graffiti
Sixteen, the whole world is crooked and greedy
Seventeen, stop pushing me 'round like Mussolini
Nothing to hide, used to hustle and grind
Eighteen, you're never too young to die!
We do what it takes, losing our patience
Suffer defeat and humiliation
We come from the streets and move on the pavement
And you still don't recognise truth in my statement
This bad blood needs purification
Slash my wrists and spill on their music of phazes, yeah

She's from a place where you have to believe
Where a buckled bike rims hang from the trees
And if you squint when the full moon captures the street
Blind man you can see!
He's from a place where you have to believe
Watching your family collapse to their knees
Broken glass everywhere from the shattered dreams
Blind man you can see!

""You're blind from the facts"" ""Man, can't you see?""
""And it's hard to explain like humanity's vision""
""All y'all fake motherfuckers up in the joint, huh""
""Watch me!""
""Why you wear those glasses? Ooh I can see!""",https://genius.com/Pegz-blind-man-lyrics
Block to Block,Burn City,2007,"I got a problem with bullshit and politicing
If there's a war going on, outside sunny, setty chillin'
Rappers is happy to hop on a dick for a dollar
While I drop it hotter, they gotta cop it, shit's proper
Fuck the brag when it's self-evident
I'm feelin' at home at the sound of impeach the president
Drunk veteran smelling like piddle and rummy
While I'm slapping them bitches with big sunnies
Pedal meet to divas, eagle spread eager
Peace out, the wingspan's lethal
You can ask Acca Dacca, she probably had a
Jack up her sleeve and I don't need that shit neither
So ya plan need be plan B
'Cause ayy, first off, you fucked with the family
But you already know it so it
Ain't no point in keep goin' (take a shit)

It's Pegz and Funkoars on set
Nothin' needs to be said, put em up like Knockout Ned
'Cause we're block to block killin' it, block to block killin' it
Jase on the beat so we're block to block killin' it

"" you keep killin' it""
""Stop  and start killin' shit""

Nah, nah, nah, nah
Yeah
That's like Vents, one verses twenty cops
Corrupt politicians and self-righteous demigods
With The Greatest Hits since brekkie bongs
And Kings Cross hookers with fishnet leggings on
Sketchy Hons, one of rapping's finest
Walking the red carpet with a pack of lions
Female fans flashing their privates like
Janet Jackson and Axle Whitehead
It's the life of a rap star, driving a Jaguar
Hide in the mansion, dinin' on caviar
Smile for the camera, fire the manager
All in one breath like Trials with the stamina
Don't believe the hype, it's not luxury jets
It's not penthouse suites, it's bunking in beds
Fucking with Ses', end up on A Current Affair
With a dozen baby mummas lining up for a cheque

It's Pegz and Funkoars on set
Nothin' needs to be said, put em up like Knockout Ned
'Cause we're block to block killin' it, block to block killin' it
Jase on the beat so we're block to block killin' it

"" you keep killin' it""
""Stop  and start killin' shit""

It's the return of the motherfuckin' Honson man
I get blazed with Pegz, till I lost it, damn
I still use my CD, to try to cop blowjobs
Like I gave Tony Montana my CV, Hons
Still ripping it, while I'm still as empty
As that pocket you've been pissin' in, listen in
Now you already met the family
Mr Trials jackin' breaks at knifepoint life Pammi Lee's mammaries
So understandably, I don't have to wear a shirt
That's pastel to try to mack girls
'Cause, soon as the plane hits the tarmac
Yo, my game on point, I can't miss like a car acc’
You don't wanna start that shit, you ain't ill
You're a hypochondriac with a bad limp, slam this
In your car till your speakers fucking haemorrhage
Jase on the boards with dirty Oars and Pegasus

It's Pegz and Funkoars on set
Nothin' needs to be said, put em up like Knockout Ned
'Cause we're block to block killin' it, block to block killin' it
Jase on the beat so we're block to block killin' it

"" you keep killin' it""
""Stop  and start killin' shit""

Hey, hey, hey
Fuck your flow, find me at the neighbour's home
Waiting for the water to flow, so I can go and steal your soap
See I'm broke, no bullshit, if broke was bullshit
I'd be buried knee deep, dressed red in a bull pit
I'm fucked financially, I don't play it up to be dope
For real, I've gots to save up to be broke
I made a few beats on a couple big sellers
Spent the funds getting drunk on enough to fill a big cellar
Hey big fella, would you mind movin' out the way?
Ask a hill, what the fuck you think a mountain say?
I'm not moving from my bar stool unless a girl that passed school
But looks like she didn't wants to pass through
They say booze kills the brain cells
But um, uh, um, ayy fuck it ayy
What if I make bail? I'm bad news
Like Miss Macro hearing a rap flow thinking she can too

It's Pegz and Funkoars on set
Nothin' needs to be said, put em up like Knockout Ned
'Cause we're block to block killin' it, block to block killin' it
Jase on the beat so we're block to block killin' it

"" you keep killin' it""
""Stop  and start killin' shit""

It's Pegz and Funkoars on set
Nothin' needs to be said, put em up like Knockout Ned
'Cause we're block to block killin' it, block to block killin' it",https://genius.com/Pegz-block-to-block-lyrics
Bombs Away,Drama,2011,"I heard he rode into town in the private Learjet
With five hot chicken heads, high on crystal meth
People said they wore black ties and ear sets
Snake skin boots with diamond fish nets
Bullshit, I was 'bout to light a cigarette
The prime minister said ""Sign my tits Pegz""
I jumped in a limousine with Assange from Wikileaks
And threw a whiskey bottle at a bunch of dignitaries
People talk a lot of bullshit that's miscellaneous
Syndicated 'cross the world, so instantaneous
I heard he was raised by dingoes in Australia
And might be the missin' baby of Lindy Chamberlain
You know the stadium, the haters keep hatin' him
And people got shit for brains fillin' their cranium
He's no saint like Mary McKillop
But god knows, he's a vicarious spirit

Man, you ain't hardcore! Keep talkin', talkin'
Man, this shit'll never blow! Keep talkin', talkin'
Hip-hop sucks! Keep talkin', talkin'
I got your whole crew singin' the chorus

 (bombs away)
 (the guy everybody loves to hate)
 (bombs away)
 (the guy everybody loves to hate)

I heard he dropped past Winsdor castle
Did lines with a chef in the women's bathroom
Had a parma and chips on a flimsy barstool
Watching Die Antwood sing soprano
People said he nearly caused a big debacle
On the dance floor with an old English couple
He's no saint like Mary McKillop
But gods knows he's a good vicarious spirit

Graffiti ain't art! Keep talkin', talkin'
Rap music's for thugs!Keep talkin', talkin'
DJs are whack! Keep talkin', talkin'
I got your whole crew singin' the chorus

 (bombs away)
 (the guy everybody loves to hate)
 (bombs away)
 (the guy everybody loves to hate)

Did you hear it through the grapevine? Read it on internet?
Watch it on TV? Receive it as a Twitter text?
People said he painted flying pigs on a police station
And pulled a peacemaker on a chief mason
Seekin' danger like a teenage P-plater
Gettin' chased by satellites and three agents
Cuttin' streets like freeways through green acres
In a V8 with three Collingwood team players
Don't believe the hype, he's just a normal guy
People spreading rumours, tellin' porky pies
Today's headline in the New York Times
Read: Pegz sex tape with Warnie's wife
It's all lies, people never thought he'd rise
They wrote him off like turbo four-wheel-drives
He's no saint like Mary McKillop
But God knows he's a vicarious spirit

 (bombs away)
 (the guy everybody loves to hate)
 (bombs away)
 (the guy everybody loves to hate)",https://genius.com/Pegz-bombs-away-lyrics
Burn City,Burn City,2007,"They say life's not worth livin' in Burn City
Work forty hours a week until you turn sixty
Earn fifty grand a year, debt for eternity
No sleep, no rest is a certainty
We choose to adhere, persuin' careers
Like border men on parades, the brute with sincere
Losing our rights, using our fears
Burn City, one day I'll be moving from here
Goin' back to the cave, the embrionic stage
Before the, black clouds and atomic rain
Before the, black wave on Boxing Day
Before the, man-made economic plague
Burn City lost her way, she's not the same
She forgot about the streets we populate
So we compensate in a lot of ways
And intoxicate ourselves to stop the pain

Burn City, what happened to the passion we had?
I know you like the back of my hand
Burn City, I told you I'd be packing my bags
If you ever turned your back on my fam
Burn City, that's the sound of an angry crowd singing
""Burn this bitch to the ground!""
Burn, burn, burn, Burn City

Yeah, I see blue collars sweating, their families stressing
I see, white collars on anti-depressants
I see, unemployed looking anxiously reckless
Everybody's trying to manage gravity's pressures
Has the standard of livin' gradually risen?
We're like battery hens, mechanically driven
And it's hard to explain like humanity's vision
And who's to blame for the planet's condition?
Every day, another chapter is written with passionate lyrics
Another character witness is tragically missing
Another young kid's landed in prison
We all slip through the cracks and abandon the system
Burn City, you don't own the streets
We closed our minds and postponed our dreams
You sold us out and promoted greed
But you won't defeat my people's only beef

Burn City, what happened to the passion we had?
I know you like the back of my hand
Burn City, I told you I'd be packing my bags
If you ever turned your back on my fam
Burn City, that's the sound of an angry crowd singing
""Burn this bitch to the ground!""
Burn, burn, burn, Burn City

We lose confidence glued to computer monitors
Worlds apart within a few kilometres
I still love it but it's never the same
Yesterday she dreads the bay like empty space
Before, dust settled on the temperature gauge
She build apartments on a resident's grave
And, at the end of the day, reckless, insane
Burn City spiked a river like a heroin vein
I know things change when Centrelink pay
The streets are regulated like a benefit claim
And my generation has made petrometal mistakes
But every step we take up

Burn City, what happened to the passion we had?
I know you like the back of my hand
Burn City, I told you I'd be packing my bags
If you ever turned your back on my fam
Burn City, that's the sound of an angry crowd singing
""Burn this bitch to the ground!""
Burn, burn, burn, Burn City

Well I made it this far, built it all from scratch
When all things were looking bad, yo I needed to step back
So I gripped all my senses and I pushed on through
And I got out of that mess and I saw the light",https://genius.com/Pegz-burn-city-lyrics
Capital P,Drama,2011,"""Fuck the game""
""Time to play that ass—
Time to play that ass""
""Fuck the game""
""Time to pull again—pull again""
""Time to play that ass""
""Fuck the game""
""Time to play that ass""
""What""
""Fuck the game""

Ready, aim, fire, ya crew don't want it
Right hand like a taipan's neurotoxin
Sumo dropping like the euro dollars
We got uno options, keep it Hugo Boss'n
Girls shake that tail like the bureau watchin'
It's a pseudo Robinson Crusoe novel
We're the Muay Thai boxers of human conscious
In a game of death against Bruce and Norris
Pegz back! Gather ya boys, anarchist join weapons
Activate and destroy ya canibinoid receptors
In a brave new world of paranoid perception
I don't wanna believe but you can't avoid the question
Tell me, who kicked our Prime Minister out
And makes billion dollar profits off shit in the ground?
Tell me, who finances political power
Like blood money flowing through Swiss accounts?
[Chorus: Damajah & 
Pegz
]
 we like their country
 we like their country
Capital P, capital E, capital G
Z, 

 we like their country
Give me the capital P to the capital E
To the G to the Z

Pegz back! From the farthest steps of Nirvana
Studied the seven chakras and zen with the masters
Healing deep scars of a mental stigmata
Doing Mescaline shots with American shaman
Now I'm back with the drama, repping Obama
Taking apart the caste of a secular Dharma
From South London, to the slums of Calcutta
Kids asking ""Who's this cunt from Down Under""
Tell Tim Dog ya heard this song on the radio
Fucking with Pegz—""You got a long way to go""
Worldwide spitting rhymes lyrically crazy
I transcend politics and military regimes
I rise from the rumble like the children of Haiti
With a slight misogynist appeal to the ladies
Heads know Pegz flow, I don't fit in the mainstream
I'm a cult leader with a spiritual awakening
[Chorus: Damajah & 
Pegz
]
 we like their country
 we like their country
Capital P, capital E, capital G
Z, 

 we like their country
Give me the capital P to the capital E
To the G to the Z

We're intellectually free drinks and ecstasy
Giving family first a hysterectomy
It's G.P. Gully Platoon, ya disrespecting me
The cyclones born from a whim of treachery
Who write rhymes like ransom letters?
Fucking with Pegz? You need to take dancing lessons
I'm a man of peace but my hands are weapons
Like Stanmore strength with a stash of records
This is hip-hop gangs of desperate adolescence
Manifesting into a chance of redemption
About to bum rush parliament and tag the benches
Please legalise weed
 'cause it's mad expensive
[Chorus: Damajah & 
Pegz
]
 we like their country
 we like their country
Capital P, capital E, capital G
Z, 

 we like their country
Give me the capital P to the capital E
To the G to the Z",https://genius.com/Pegz-capital-p-lyrics
Chechen Gorilla,Axis,2005,"]

Who's got the shit locked, reppin' St. Kilda
Step in the milkbar, dressed as a chechen gorilla
Nobody move, I taught my dog, Zeus, “sick balls”
Give me a chocolate Big M and a pie with sauce
Kid, I'm twice as raw, I listen to Funkoars
While getting head, blowing a spliff in my ClubSport
Don't think I'm strictly 'bout laying the cut
When I'm drunk, sing Jimmy Barnes or play the guitar
Take a bath while you preach ‘bout keeping it raw
I'm from Melbourne not the fucking streets of New York
I never been to Jamaica, Queens or the Bronx
But I've seen a lot of shit so believe what you want
I'd rather watch SBS than MTV
I'd rather read Stealth Mag than HHC
Plutonic Lab beats smash up the city
Pegz rips the text like Agatha Christie
Man of mystery in hip-hop's Holocaust
Kicking Nazis off stage in two dollar thongs
Dropping bombs on your RipCurl trucker hats
Rockin’ a show in a Burn hood and tucker bag

Party don't stop till cops kick the door in
Party don't stop till cops kick the door in
Party don't stop till cops kick the door in
And shoot the DJ at six in the morning

I sell out for a chicken wing with dipping sauce
Dance in a tampon ad like Wickid Force
Sick of all you corny fools claiming your shit is raw
Replicating ‘93 and can't bring it forward
You can listen to metal or wear Dunlops
Party at a rave, new breed 
DJ Selekt, something for you hard rocks
Cuttin’ to the sounds of Plutonic Lab drum shots
We come from the bedroom to liberate movement
Like 3D graffiti walls by bi-lumen
Unanticipated, innovative music
Eliminate your school yard, bully blueprint
Keep frontin' 'cause when it all backfires
You get baptised like vampires
Obese crew, catch and wreck with our hands tied
Leavin' competition jackknifed with flat tires

Party don't stop till cops kick the door in
Party don't stop till cops kick the door in
Party don't stop till cops kick the door in
And shoot the DJ at six in the morning

Mad dux, ahead of the class, bred for the task
Step in the club with a muddy Predator's mask (what?)
Sipping veteran's blood out a gentleman's flask
And ice grillin' newjack's for the adrenaline rush
We're from a city heroin loves, the devil's in charge
Rebels cover the streets with incredible art
Beware of the deadly snakes like Wayne Carey
Generic accents to make my brain haemorrhage
""Step to me and get shot unsuspectedly
I take you out like a vasectomy""
""Thank you ladies and gentlemen"" ""Alright Melbourne, thanks for having us""
""Peace, keep it real""
 Yeah, yeah
The sole arbitrator, chase burners like a fire brigade
And lick the cream off the pie in my face
High with my mates, who can burn us?
Shoot and murder James Hardie for abusing workers
You gotta ask, ""Where did we lose the purpose?""
Rupert Murdoch's God and the truth is worthless
The universe is being explored, freedom’s ignored
And Little George is the demon of war

Party don't stop till cops kick the door in
Party don't stop till cops kick the door in
Party don't stop till cops kick the door in
And shoot the DJ at six in the morning
]

{Gunshot} {Female screams}",https://genius.com/Pegz-chechen-gorilla-lyrics
