title,album,year,lyrics,urls
2 4,2 4 - Single,2016,"Yeah yeah yeah yeah
2 and 4 come and get on the floor
You know I reinvent it I’m gonna get on the floor
Yeah I know
Yeah I know
Yeah I know
2 and 4 come and get on the floor
You know I reinvent it I’m gonna get on the floor
Yeah I know
Yeah I know
Yeah I know

2 4 come and get on the floor
2 4 come and get on the floor
2 4 get on the floor
2 4 come and get on the floor
Everlasting happiness (happiness)
This happiness
It’s happening
Happening
I have everlasting happiness


2 and 4 come and get on the floor
You know I reinvent it I’m gonna get on the floor
Yeah I know
Yeah I know
Yeah I know
2 and 4 come and get on the floor
You know I reinvent it I’m gonna get on the floor
Yeah I know
Yeah I know
Yeah I know

2 4 come and get on the floor
2 4 come and get on the floor
2 4 get on the floor
2 4 come and get on the floor
Everlasting happiness (happiness)
This happiness
It’s happening
Happening
I have everlasting happiness

Cuz all your cooking",https://genius.com/Sampa-the-great-2-4-annotated
Any Day,The Return,2019,"Good God
Check the varn on the lexicon
Sound horn
To the song so they sing along
One round
On the lawn
With the African sun
Sun Ra make a God
Wish he never born
Yah yah
Building wealth
For the seeds of jah
But y’all
Make a call from the money board
It’s art this I know but it seem that y’all
Wanna have a brawl
Judge and jury
We can do it
Chorus
Any day, Any day
Any day, Any dah
*8
Whosane
Don’t forget the
Hands that feed yah
Don’t depend upon
*2
-
Sampa
Busy bee
Father I object this
Talking ‘bout the next this
Everything is everything
I’m writing my objectives
Art is so subjective
Leave us while you sing along
Monkey with a rifle
Winning idols
At the best award
That’s to your accord
Recognise my art
I don’t need your praise
To write the chords
All smoke and
All mirror shit
It’s not art with
No niggas in it
Rooting for the youngest
Who are covered
In gorilla spit
Shouting we unworthy
‘Cos our families are all immigrants
Who decides the bar
And who decide to raise it yuh
Same song sing along
If you play it
Token art and
Token legacy
All rigged up
In the industry
No vision
No visionaries
White out in
All my ancestry
CHORUS
Whosane
Don’t forget the
Hands that feed yah
Don’t depend on it
-
Woe is me
Past is still the past
It’s a choice if you erase it
Facts still the facts
Making noise on my playlist
How I’m ‘pose to learn
My mistakes If you erase it
Know my self If you debase it
Love myself if you degrade it
I’m too proud though
Too uppity
Tryna fit in
Too ruggedly
Speaking loud noise
To disturb the peace
We don’t want no peace
8 straight years hip-hop
Didn’t look like me
Now it’s all change
Don’t applaud for no empathy
Smiling all around
I won’t stop until I look
And see a black run festival
Owned by some melanin
Ahead I’m in
Age and mentality
Phase your normality
Rage abnormality
Freedom totality
Straight black Alchemy
We can do it
CHORUS
Whosane
Don’t forget the
Hands that feed you
Don’t depend on it
*4
We can do it
Anyday, Anyday",https://genius.com/Sampa-the-great-any-day-lyrics
Black Dignity,Black Dignity,2016,"I waited up for you
I waited up for you
I waited up for you
I whip it out for you
I know you are only gone
You will be gone for a minute
I’m writing in this song and
I’m writing for a minute yea
I know you are only gone
You’ll be gone for a minute
I’m writing in this song and
I’m writing for a minute yea

And I keep up the momentum
Anytime you be my blessing
An I know we be stressing when
Waiting up for you for you for you
For you for you and I keep up the momentum
And in time you’ll be my blessing
And I know that I’m not stressing
Waiting up for you for you you for you for you

Time is nearly gone spending it all on my lyrical
Vibes nearly gone
Me and they have been making miracles
Have a passion for it
Passion is delight
Wish there were never distance right now
I would be your wife wah
Go on to the world yea only for a minute
Girls throwing shade on yah for a minute
In the light of day the kinda way you make me feel
I’ve been thinking for a minute and I know
It’s only real the way I was been real
Don’t even have to fake it
The make up and my sneakers baggy pants
I don’t fake it
Raw on the outside, I’m from beautiful
Physical majestic it’s spiritual connected
I'd like to open your third eye, and look inside
Your spirit is long your heart is white
(Your spirit is long your heart is white)

And I keep up the momentum
And in time you’ll be my blessing
And I know I’m only stressing
Waiting up for you
For you for you for you for you

And I keep up the momentum
And in time you’ll be my blessing
And I know I’m only stressing
Waiting up for you
For you for you for you for you

And we can tour the world but
I know I only just met you
And in another life
That’s when I currently get you
Expectations never been sailing on tomorrow
Juggling with happiness
Strutting with my sorrows
Maybe I just felt you
Maybe preservation
Maybe I’m not thinking straight
Time for meditation
Meaning you were fireworks standing dynamite
And maybe rainbows in the middle of the night
I'd to open your third eyes
And look inside
Your spirit is long your heart is white

And I keep up the momentum
And in time you’ll be my blessing
And I know I’m only stressing
Waiting up for you
For you for you for you for you

And I keep up the momentum
And in time you’ll be my blessing
And I know I’m only stressing
Waiting up for you
For you for you for you for you

I know you are only gone
I know you are only gone yea",https://genius.com/Sampa-the-great-black-dignity-lyrics
Black Girl Magik,Birds And The BEE9,2017,"Abracadabra here I come
Magic carpet styling
Proof Black Magik excellence
Poof you need reminding
Gaining ground and losing some
Ooh! my word she back again
You will never end the reign
We keep multiplying
Running through the evidence
There’s just no denying
Something 'bout magnificence
It just keep on shining
Ohh! that lady got some lip
From my Mom I got the gift
We just pour some peace in it
Least we keep on trying

Nooo
Hold on my youth
Hold on my youth
I told you I was coming
I gave you forewarning
Forewarned is forearmed
Hold on my youth
Hold on my youth
I told you I was coming
I gave you forewarning
Now I can't stand your black girl magik
I can feel it in the air
It’s so strong is like a magnet
You would think that God is here
I can't stand your Black Girl Magik
I can feel it in the air
It’s so strong it’s like a magnet
You would think that God is here

Yemaya told me in a dream I was conscious
No I was not woke I was live in a concert
And I spread my voice I was choked and belittled
Then I resurrected part two as the sequel
No I'm not your voice I just wanna be equal
Gotta stand tall we the ones we the people
Look me in the eyes this the cards you’ve been dealt
I don't need your table I can sit by myself
Poof
Then let's take it back again
Back back to Africa
Matriarchy is a fact
Black women per capita
Aye aye captain
You remain my queen
I saw it in my mother when I saw it in a dream
Holy Spirit
Hoe, is she?
You disrespect the womb
Where life all come from and it is to whom
You're praises due or your race is doomed
Eat pussy like the last supper then kudos to you

Nah
Hold on my youth
Hold on my youth
I told you I was coming
I gave you forewarning
Forewarned is forearmed
Nah
Hold on my youth
Hold on my youth
I told you I was coming
I gave you forewarning
I can't stand your Black Girl Magik
I can feel it in the air
It’s so strong is like a magnet
You would think that God is here
I can't stand your Black Girl Magik
I can feel it in the air
It’s so strong it’s like a magnet
You would think that God is here
And God is here
God is here
God is her
And God is here",https://genius.com/Sampa-the-great-black-girl-magik-lyrics
Blessings,,2016,"Tet tereret tet tet
Ne ne ne nen nen nen..

I think I'll give a shoutout
To the birth of a dream
I paint a pretty picture
Since I got the right team
My life's been picture perfect
Overnight and it seems
The support I've been receiving
Is the best that I've seen
And I’m keen
Oh and it’s amazing
Yes I have been guessin’
What this queen has landed from
Africa has landed from
Everyone has landed in my world, take your landing gear
Everyone's a visitor, thank you all for landing here (woah)

Life takes many turns and I go
Mine was clearly chosen I know
Every step I take premeditated
Every night I meditated
Now my soul is educated
Laaa la-la-la-la-la la la
Laaa la-la-la-la-la la la

Every aspect of life
All in all it's a blessing
Every aspect of life
All in all it's a blessing

So sorrow come, sorrow sorrow come
So sorrow come, sorrow sorrow come
So sorrow come, now I’m finally free
Living in the moment
Living just for me",https://genius.com/Sampa-the-great-blessings-lyrics
Blue Boss,Blue Boss (single),2015,"Can I get it a bit higher?

Got up exactly in the age
Probably
The hunger had struck me
The push to stay alive is a part of me
When I wash I wash the pain
So over that my work’s in vain
No access to being out of life
Sometimes the force change
I respect
And I bleed, bleed even if there is no blood
My family washing out my tears
Their water thinner than blood
And I ain’t talk to them in years for them my shit my blood
And now they shot me in the street I thought that we were blood
It’s not enough
Walk my fingers to the born land uh
It’s not enough
This mic I’m spitting on, and my fridge is not enough
I’m an artist, this how long in the streets
Not enough
And when the world stop treating people like they think we ain’t enough
Sweet life under a rock my G
Flawless with no eyes, we’re watching God, I awoke my G
Honest, then I order the revolt that we sought my G
Honest, we listen to our hearts change but
But we been on it

Mama said
Use your head, girl you’re stuck up in the clouds
Well I think we fly high cause we stuck up in the clouds
We no longer in this world, cause we stuck up in the clouds
All we do is blow trees when you stuck up in the clouds
Damn, see that
Damn, Freedom
Damn, Damn, Freedom, Freedom
Damn, Damn, Freedom, you see that

Heart beat, free
Heart beat, free
Heart beat

Revolution, honestly you open til you dead
Then she kitchen for a fix and for her life crackhead
Then go ahead, and try to tell me we ain’t living in two different worlds my uh
It’s time for you to see
That this is democracy
If the rich are getting richer boy how poor we gona be
Oh how dumb we gona be
Freedom is the lullaby
Under you breath “for free my uh”
Sweet life under, I rep my G flawless
Ain’t no eye’s we’re watching my God I awoke my G honest
Then I order the revolt that we sought my G honest
Listen to our hearts and show you what they really wanted

Mama said
Use your head, girl you’re stuck up in the clouds
Well I think we fly high cause we stuck up in the clouds
We no longer in this world, cause we stuck up in the clouds
All we do is blow trees when you stuck up in the clouds
Damn, see that
Damn, Freedom
Damn, Damn, Freedom, Freedom
Damn, Damn, Freedom, you see that",https://genius.com/Sampa-the-great-blue-boss-lyrics
Born To Be Blue,The Great Mixtape,2015,"Great, you great, you great and we great
I'm great and you great
Great nice to meet ya (???)
Great nice to meet ya
Know what I just thought of?
Trees, blue, skies and walking in the park
Maybe eatin' ice cream, but after dark
A-a-and, and laughing with my friends and have them barbecues and even though I'm vegetarian
You know? Fry legumes out
Drink the soda and I'll drink the juice and
Bring along your friends your crews and
And we'll sit and we'll talk about the world and
And how we take over
Do you understand?
Great, you great, you great and we great
I'm great and you great
Great nice to meet ya (???)
Great nice to meet ya (???)
Great great great
Know what I just thought of?
Trees, blue, skies and walking in the park
Maybe eatin' ice cream, but after dark
A-a-and, and laughing with my friends and have them barbecues and even though I'm vegetarian
You know? Fry legumes out
Drink the soda, I'll drink the juice and
Bring along your friends your crews and
And we'll sit and we'll talk about the world and
How we take over
Do you understand?
I'm great, you great, you great and we great
I'm great and you great
Great nice to meet ya (???)
Great nice to meet ya (???)
Great great great",https://genius.com/Sampa-the-great-born-to-be-blue-lyrics
Brand New,The Return,2019,"Sampa
Yeah
I picture all of the best shit
On to the next shit
Unedit all the shit that make it perfect
Yes and
Leaving out the shit I gotta work through
Hurt you
Blamed it on the doubt I know you work through
Uh
Running fast just mash up the meter
Hard pacing hot by the heater
Heating up every girl inna all of 7 meters
Just testing
Me and asking for a beat up
Uh
Mad I didn't give it all up
You deserve the best
Yeah
Better if you gave it all up
You deserve the best
Promise you
We gon’ do our best the next chance
Promise you
It’s no fairytale that’s facts
Promise you
We gon do our best next chance and it’s all because of you
CHORUS
Silentjay
Cos you make me feel brand new
I sing this all for you
You make me feel brand new
It’s all because of you
You make me feel brand new
I sing this all for you
You make me feel brand new
It’s all because of you
Sampa
Ain't it better if we laughing through the winter
Or sipping lemonade at dinner
You came prepared
Writing all the notes
See you tired of the jokes
Cos you you know I made it worse
And I know
You know
I know
I hope you still see a glimmer of hope
All through the chaos
I K.O.’d
When you told me it won’t work
Cos it’s broke
It’s no joke
I smile hard when I choke
Fix it Felix think we’re destined to be
Pointing all the fingers fact they pointing at me
Thanks for all the love I know it’s given by choice
I hear you clear
With no sound of your voice
So rejoice
And all the case of the bitters
Just in case they can’t hear us
All the angels are near us
All the case of the bitters
Just in case they can’t hear us
All because of you
CHORUS
Silentjay
You make me feel brand new
I sing this all for you
You make me feel brand new
It’s all because of you
You make me feel brand new
I sing this all for you
You make me feel brand new
It’s all because of you
OUTRO
Ooh
You make me feel brand new
3*
You do, you do, you do",https://genius.com/Sampa-the-great-brand-new-lyrics
Bye River,Birds And The BEE9,2017,"Bye bye bye bye bye bye bye bye river
Bye bye bye bye bye bye bye bye river
Bye bye bye bye bye bye bye bye river
Bye bye bye bye bye bye bye bye river
River, river, river river, river
River, river, river river, river
River, river, river river, river
River, river, river river, river

Three steps forward
Five steps back
We make the strides
We knock ‘em back
I'm so confused
Matter of fact
I think I'm being advertised as
Your bubble see through
Token black
One mask fits all but mine is getting
Uncomfortable, uncomfortable
Uncomfortable, uncomfortable

Flow, bye river, bye river
Bye river, bye river
Flow, bye river, bye river
Bye river, bye river
I heard it from Mars
Ooh break it down two rivers are meeting now
I heard it from mars
Ooh break it down
Two rivers are meeting now

Let your yes be yes and your no be no
Gained the whole world for the price of your soul
When your enemies won't reach their goal
All the memories will bring you home
One step back for your inspiration
Never keep pressed on your situation
Always be sure in, third eye open
Still enforcing, so exhausting
River flow deep in silent motion
Raised on seeds of mass proportion
Growing in a world of mass distortion
Please keep you through trials forcing
Through hella, five feet Bella
One slick talking, black Cinderella
Real fast walking
Smooth shit jazz shit smile through rain and sing through havoc

She goes through deep shores
She flows through deep storms
She knows where she goes
Bye river, bye river, bye river
I heard it from Mars
Ooh break it down two rivers are meeting now
I heard it from mars
Ooh break it down
Two rivers are meeting now

River, river, river
River, river, river
River, river, river

Queen shit tho, cautious
How do you navigate through all this systematic
System antics, still keep smiling stuck in traffic
Masking itch face
I'm tired of asking, bitch face
Shy as fuck, I'm new on turf
My days are numbered on this earth
An ocean almost carried you Down Under
You're gonna have to find your tune Down Under
Shit really look Snow White down under
How you supposed to, be black down under
The puzzle piece the match is fixed
The new wave has been here for years
The same two step and the same blueprint
Old school meets bold school takeover shit
Action on plan, fan on fam
Now I am who I am
Uncomfortable uncomfortable
Uncomfortable uncomfortable

She goes through deep shores
She flows through deep storms
She knows where she goes
Bye river, bye river, bye river
I heard it from Mars
Ooh break it down

She knows where she goes
She knows where she goes
She knows where she goes
She knows where she goes",https://genius.com/Sampa-the-great-bye-river-lyrics
Can I Get A Key,Birds And The BEE9,2017,"Pretty stars in her eyes
Pretty sure a baseball bat
Would have figured made her pretty figure
When you’re running real hard realise it's all a game face palm nigga
All from inner
Memories enemies fall
And when you catch em gotta catch small
Every little moment is a season not afraid to fall
And it all happened for a reason I answer the calls
Because of you
Why are you blaming
My fingers they pointing all to you
Inner what's your inner
Imma be clear this for beginners
Never knew me my voice nor inners
Imma be clear this for beginner
Inner
Inner what's your inner
Imma be clear this for beginners
Never knew me my voice nor inners
Lemme be clear this for beginners
Inner
Resurrected born again
Christ
With a case full of fears
And the holes in your hands
Plans to turn the money into grands
Built a couple schools let the people own their land in the motherland
Ase
‘member me everything you view
Is not everything you see
Everything you hear is not every part of me
If a part of me is dead then a part of me is free
Ooh must be the tone
Wrote a couple poems and I turned them into songs
Must be the age throw me in a cage bury me in faith when I raise a fist in anger then you tell me I'm in rage
I'm a jitsu raised by the Gods
Every step I take is from the ancestors
Every little mimic every gimmick I applaud
Cos I'm doing me and you should be doing yours
Clause
Inner what's your inner
Imma be clear this for beginners
Never knew me my voice nor inner’s
Lemme be clear this for beginner
Inner
Inner what's your inner
Imma be clear this for beginners
Never knew me my voice nor inner’s
Lemme be clear this for beginner
Inner
Inner what's your inner
Imma be clear this for beginners
Never knew me my voice nor inner’s
Lemme be clear this for be
Can I get a key tho
Can I get a key
Can I get a key tho
Can I get a key
Can I get a key tho
Can I get a key
Can i get a key tho
Can I get a key
Cos it's in my mind I can't take it
Told that folks like we we won't make it
Gate keepers locked my creative
Gatekeepers locked my creative
Can I get a key tho
Can I get a key
Can I get a key tho
Can I get a key
Please please
I'm not gonna beg
Get out of your way and get it in your head
This my seat and the tables been set
This my seat and the tables been set
This my seat the beat that's beat the beat my feet the beat the bars the beat the bees the beat my clause the guys the guns the cash the cars that's all that's yours the heart the soul the love the goal the thing I know the thing I grow
That's all that's all
The hard is hah
We won it all
We won it all
A little less a little more
Sampa
Sampa the great
Sampa Tembo
Sampa The Great
Sampa Tembo
Sampa Tembo is Sampa The Great",https://genius.com/Sampa-the-great-can-i-get-a-key-lyrics
