title,album,year,lyrics,urls
All Fall Down,Computer Love,2008,"Joelistics Verse 1
Twin towers, new police powers, petrol in the bowsers
We all fall down
Big liars, new world messiahs, political survivors
We all fall down from
New concern, bird flu's and phantoms strike back at random
We all fall down like
Idea's and pop stars careers and fear of the fact that we all fall down like
Kids playing games, smacked up veins
We all feel pain and we all fall down like
Rodeo riders or lovers intertwined
We all climb high then we all fall down
How long do we have to wait
Before we realise it's too late
How long most we sing this song
Before we know something is wrong
Joelistics verse 2
Flag waving, chest pounding, war waging
We all fall down
Race riots, proud violence, big silence
We all fall down
Old hatreds, drunk celebrations, confrontation
We all fall down like
Mark Latham, Pauline Hanson or Skase in his mansion
We all fall down
Misused authority, refused apology's, world wide economy's
We all fall down
Resource robbery, third world poverty, hushed up atrocity
We all fall down
How long do we have to wait
Before we realise it's too late
How long most we sing this song
Before we know something is wrong
How long do we have to wait
Before we realise it's too late
How long most we sing this song
Before we know something is wrong",https://genius.com/Tzu-all-fall-down-lyrics
Axis Tilt,Computer Love,2008,"The city is on acid
The city is on... fiyaah!
The city is on acid... fiyaah!

Paint a picture with language and memory
Beaten into shape with the rhythm and melody
My performance more like therapy
Translate poetry to punishable heresy
And so you know it, cliche's the enemy
Freestyle skill level more like telepathy
Word play grey matter designed for damaging
Down for chaos, getting up to anarchy
And I'm managing, heart beat galloping
And I'm actually gravity's mannequin
And I'm back again, there in the front
Tryna make sense but sense don't come
It don't matter, tonight I'm brave
My behaviour strange and depraved
I stay awake for days on end
With an MPC and a mic and a pen
I got a problem with space, there's lots of it
In the city, I can't get enough of it
I like the touch of it, infinite rush of it
In life, we stand on the cusp of it
In death, we dress in the best of it
That's the promise that we keep when we borrow from it
It takes a body and a heart to stay solid
You got a heart, tell me what you get from it


City got reception, cross interference
Speed through tunnels, rap feel got the clearance
Slack on the beat like smack on the dealers
Watch the beat drop, street got heat
Not one of them on me, fear not, I'm fearless
You can fake fantasy but can't fake the realness
Cause the dumpsters got the landfill in it
And the waste of the city, some stealing it
And these words are a back alley deal and it
Ain't that hard for you to tell who's feeling it
Cause mama got a gun and she's holding it
Hip Hop interrogator still not solving it
Dropout demonstrator, finger on the pulse
Can't ever take the heart or the soul from it
Drunk, sober, the night ticks over
As the rays of the sun draw closer
Shed light on the ugliness running this
In a cipher outside the pub and shit
Magic, ignite like matchstick
Still pumping out smoke with the factories
Plug into the feed, now fantasy
No game, now to play all reality
No switch for you to go and rerecord it
Move foreword, the future calls
And all four walls are like Mediatronic
Snow crash the brain, no trees for the forest
The streets in chaos, are the demons upon us?
Or are we the beings who be bringing on the ruckus?

Language is a virus that breeds in the silence
Feeds on the minds of people who devised it
Books and the poems and the slang that designed it
Reality defined by the words we assign it
We gave a name to the apple and the diamond
Dive in the depth in the realm of Poseidon
Speak with a breath that ring like the horizon
Meaning has a melody that rings like a siren
Sings like a siren, spins like a DJ
Playing for the players in the Arkham Asylum
Now hit the replay and analyse timing
And look what I made harnessing lightning
To battle the right-wing and travel the day
See what the night bring, get out of the way",https://genius.com/Tzu-axis-tilt-lyrics
Burning Up,Computer Love,2008,"You might be on the street with a
Feeling that's got you beat and you
Can't wake and cannot sleep ever
The pain is burning
Deep, Deeper now
But don't you worry
Hey, yeah
I'm burning up I'm burning up
One more time, yeah
Just burning up just burning up
One more time, I'm
I'm burning up I'm burning up one more time
Over there
Yeah burning up yeah burning up one more time
Stand up if you hear me
All you have is what you need and the
Light is on now don't you see ever
Just wake up from your sleep brother
Get off that mercy seat
When you fall you'll find your feat coz I
Know you got something beating up, beating up
Got something burning deep in ya
Can you feel that fire heating up?
I feed the fire with the fuel of my words
I hold a match to my lips so i can sit and watch it burn
Your burden is mine man I've seen when you shine
But now i can't recognise nothing in you
I called you up to pursue you just brushed me off
I don't judge the drugs i just need you to stop
The cost is the people you've lost and for what
You got burnt chasing dragons from the madness they breathe
You're murdering dreams and that's just simple and plain
And it's the saddest thing to watch you nodding off on a train
And everyone who loves you feels they are to blame
And now we watch on as you fade (as you fade)
I wanna shake every dealer and slap him in the face
I wanna take away your craving for just one more taste
I wanna see you get your life back on track and win
Cause if you conquer this you can do anything
Well it's a fine fine line
It's a fine fine line
Everytime
You'll all forgive him for all the people he's hurt
For every unkind word for every turn for the worse
Well it's a fine fine line
And it's hard to define, but don't you worry
Hey, yeah
I'm burning up I'm burning up
One more time, yeah
Just burning up just burning up
One more time, I'm
I'm burning up I'm burning up one more time
Over there
Yeah burning up yeah burning up one more time
I am the voice of the people that you let down
I am the noise in ya head that don't make a sound
The cold sweats and the walls that you crawl around
The light shining on you when you're in your dark hour
I am the gunpowder that you start the fire with
The fire burning in your chest there beneath your ribs
I am the differences that you're now forgiven for
The hard worn lesson learnt that regret taught
I am the tympani the strings in your symphony
The things you do differently the things you'll do eventually
I am the dignity of overcoming pain
I am the flame and the blaze and the ash that remains
I am you and my name is change
It's a fine fine line
And it's hard to define, but don't you worry
Hey, yeah
I'm burning up I'm burning up
One more time, yeah
Just burning up just burning up
One more time, I'm
I'm burning up I'm burning up one more time
Over there
Yeah burning up yeah burning up one more time
Yeah
I'm burning up I'm burning up
One more time, yeah
Just burning up just burning up
One more time, I'm
I'm burning up I'm burning up one more time
Over there
Yeah burning up yeah burning up one more time
I'm burning up I'm burning up
One more time, yeah
Just burning up just burning up
One more time, I'm
I'm burning up I'm burning up one more time
Over there
Yeah burning up yeah burning up one more time
Stand up if you hear me",https://genius.com/Tzu-burning-up-lyrics
Computer Love,Computer Love,2008,"Every planet that we come across
Is empty and there's only us
Fall down, then we get back up
Hard wired for computer love
Computer love, computer love
Computer love, computer love
Hard wired for computer love

I'm a modern day +Blade Runner+, take cover
Code breaker with a stun gun called a microphone
Take an upper and a painkiller brother
Insane how we suffer on this planet that we call home
Time travelling through the universe
Third stone from the sun on battleship Earth
Hunt down all the +Replicants+, clones in the tenements
Probe this planet for intelligence
Is there life on Mars or on any other stars?
Is there anybody out there or are we all alone?
Call on the telephone, only get a dead tone
Maybe this is all that there is right?
Send a satellite out into the dark night
Knowing that the whole time it might be lifeless
Split an atom with a drum pattern
These are the impressions of a planet in crisis


Yo, computer love
Jump in cortex brain response
Limbs shake, this bass is way beyond
On this ball we all dance upon
Stratosphere, atmosphere and love
Up in the cosmic octave
We chase down alien life to rock with
And back on Earth we just got this
Hot piece of rock that we call the shots with
We're just a blister in the sun
In the infinite distance up above
You go fathom universal forces
Oh shit, I think I just lost my orbit
But fear is a fact that I forfeit
So I walk where the eye of the storm is
Let your mind spin right off course
Into a black hole full of soul, so gorgeous",https://genius.com/Tzu-computer-love-lyrics
Crazy Thinker,Computer Love,2008,"I'm a crazy thinker, oh
Know how to paint a picture, oh
So if you catch where I'm drifting, oh
Then you're a crazy think too
Colour and light {*Repeated softly in background*}
Cascade landscape
Midnight gotta lock, translate
Kick back, light shift
That's how I control my spaceship
Colour and light {*Repeated softly in background*}
I'm a crazy thinker, oh
Know how to paint a picture, oh
So if you catch where I'm drifting, oh
Then you're a crazy think too
Colour and light {*Repeated softly in background*}
Snow crash, dot dash
Jigsaw got 'em all crosshatched
Cause of that I jump back
And I leave them, fall away
I'm a crazy thinker, oh
Know how to paint a picture, oh
So if you catch where I'm drifting, oh
Then you're a crazy think too
Crazy thinker
Paint a picture
Of you crazy thinkers
So paint your picture",https://genius.com/Tzu-crazy-thinker-lyrics
Get Up,Computer Love,2008,"Get up, come on {X2}
Don't get stuck

Get up, get up {X4}

I got a good fan, a valuable lady
And we used to live close, then she moved away yeah
She was having a sea change, then she met a man
With working hands and a bitter can
What can you do? You give 'em your blessings and give a damn
Well hold up, a couple months later
It turns out her man is something of a hater
So far away from us was an emotional cripple sounding dangerous
Well I said ""Get out"" and she said ""Hold on""
And the tone went dead on the telephone, c'mon

Get up, get up
(Pack up your bags and move on)
Get up, get up
(Don't let this madness go on)
Get up, get up
(Pack up them bags and move on)
Get up, get up
(Don't let this madness go on)

He was a young man out to get what he could man
A prodigal son who would never let anyone inside his head
Never the less he'd captured this girl
With a head full of dreams under her curls
She'd changed his world but couldn't sustain it
Complicated that was his life it seems
He wasn't all bad, he dreamt of a fam
He never had anything to do with his dad
Quick to get mad and raise up his fists
And fuck with the things he treasured the most
Treating his girl like property
Never been taught how to love properly
Jealously burning his brain
A poisonous venom, aggression, he's making no sense
Preventing her leaving and seeing her friends
Telling her things that sounded like threats
No one could guess why she was with him
Tomorrow he's gonna be different, is he?

 {X2}
He gets you down
He gets you down
Just look around, I know it
Always seems so hard to get out",https://genius.com/Tzu-get-up-lyrics
Got to Do,Computer Love,2008,"It just hit the season, everyone breeding
Slap on my face, elevate my breathing
I just gotta see her so I'm off and leaving
Tracks wind back to the coliseum
The villagers and aristocrats uneasy
Horde for the spectacle, they want to see me
The sun done shine as they take their seating
Arms in the air, wave around like seaweed
And nothing be as good as you chick
We got a special unique loose fit
And everything we do is to prove we tuned in
We sticking to each other like paper to glue stick
Reminds me of kittens and newspaper
Slipping in and out of it all like two vapours
Intertwined and we smoke ring crusaders
Caught in a crux, I'm calling it love or
All that above and below the surface
This contact sport got me sort of nervous
Bliss, with an itty-bitty sort of purpose
Likely to cause all sorts of hurt, let's go

One thing that I really want to do
Get close and personal with you
That's one thing I just got to do
Eh, eh, eh
Caught deep in the deepness of the blue
I'm sick from the sweetness of ah you
You're one thing I just got to do
Eh, eh, eh

You got class like red wine and soul tunes
And when you laugh, you can light up a whole room
You play your mind like a beautiful instrument
Cut a fool down to size with your intellect
Yeah I know you're kind of scared of getting intimate
We both hold back from really getting into this
Well let's risk it, see what come
Because we fit together like bass line to bass drum
I know you got a lot to do love
We all do love, looking for true love
And ain't it just like love to get you confused love
Win and lose love, well then we'll make new love
We all run from something so strong
We give up, then we get back on
We both get busy with a lot to do
But if you'd like, well I'd like to do a lot with you, so c'mon



Sometimes it's early in the morning
Outside the sun is shining
So we just stay in bed
The world is ours, we can pretend
Sometimes it's late into the evening
We are silent, we ain't speaking
Because nothing can be said
Round and round it goes again
 {X2}",https://genius.com/Tzu-got-to-do-lyrics
Mondays,Computer Love,2008,"Alarm bells and ringing and I'm up and out of bed
Coffee's in the pot, it's on the go, it's on the boil
Six in the morning and I'm jumping on the train and
Once again it's Groundhog Day
And I catch a glimpse of the man I am
My life did go according to plan
I went to high school, university and then a steady job
Two kids and a divorce I got burnt from
I pay my tax like everyone else
And I can't relax like anyone else
And I can't believe that it's coming around
So I brace myself for a nervous break down
Quick step, I ain't got time to think
More stress every single time I blink
The nine to five lullaby worldwide
Day to day grind got me asking if there's more to life, c'mon

Wake up on Mondays, uh oh
Making my coffee, uh oh
Day's fall like dominoes
That's just what I know
All I need to know, uh oh

All I need to know
Lunch break coming and I need a pickup
I got nothing but some emptiness inside of my gut
I got rubbing eyes crazily, I'm vaguely lost
I've got automatic pilot on the albatross
When you take a good look and see it piling up
An order will be executed by the robots
Cause they running the show, yeah they calling the shots
And every Monday morning we just want to call it all off
But even in the thick of it different trials are lost
In a court that we thought would never suffer a loss
I'm taking a long walk, no I ain't taking a bus
I need a minute to configure or I'm gonna combust, so wake up


We walk into the walls like ghosts that haunt the night
Almost dead before we die
And this ain't no kind of lie
Takes more than all of these long days to make me face up
To the fact that nothing changes
What is this that keeps me running?
What is this that keeps me running?
What is this that keeps me running?

Newspapers talking bout war in the Middle East
I don't see it so I leave it to the war chiefs
Murder one gunman in the city streets
I don't feel it cause it's just another news brief
To get my wage I've lost lots of days
I've locked up my rage for the money that I'm paid
And my attitude is do what you need
But what will it mean next century?
And I'm daydreaming that today will be my last day
I'll either leave or throw grenades in my work place
And would I even know if the world explodes?
I'mma quit my job, pack my bags and go
 {X2}",https://genius.com/Tzu-mondays-lyrics
Myriam's Song,Computer Love,2008,"This is the story of a girl and boy who fell in love
And then love kicked them both in the groin
It all began when they were both young fresh out of high school
Clutching at their hearts like a soldier does a rifle
She was on a holiday, He was on a road trip
They both arrived up North like postage
He was from a working class suburb of Sydney
She was from a European Family of privilege
And then they met and suddenly there’s romance
They took the ride like look ma no hands
Six million human beings living on the planet
These two managed to meet and make magic
French Chorus
She said she saw him for the first time outside
Dancing in the rain to the rhythm of a swing band
He said his memory of meeting her was vague
He claimed that his friend introduced them on the boulevard
They had a chemistry like lightning and kite flying
They both recognised fate in the fine print
He had a quick mind and she had a sharp wit
They used to make love and both feel their heart’s skip
They lived together on an island on a river
Coconut diet fresh fish caught for dinner
Naked in the morning when they bathed and washed
They were happily lost like time had stopped
They were first time lovers in an endless summer
Sleeping in a hammock with no need for covers
Hearts full of courage reminiscing of thunderstorms
Learnin how to love like it had never been done before
French Chorus
Reminisce
It makes me sad when I think about it now how
They fought hard when they made it to the third round
Mistrust crept in and they both dropped the ball
Neither one read what was written there on the wall
Eventually she left and she flew back home
To start a new life in a different time zone
He got a phone call 5 years down the road
Maybe they could meet, have a drink and maybe say hello
They had dinner and compared their memories
Had a little cry about all their petty jealousies
He didn’t blame her and she didn’t blame him
First time love is such a delicate thing and still
Since then they’ve become good friends
They talk about their new lovers in the present tense
And as a monument to what had come and gone
They sat down together and they wrote a sweet love song
French Chorus",https://genius.com/Tzu-myriams-song-lyrics
Number One,Computer Love,2008,"I got to be number one, gotta be number one
Come on, yeah
Count Bounce verse 1
Love and politics, sex and sadness
Step by step all tryna be the baddest
When the storm come better check your ballast
I and pray that the wind blow dust upon your canvas
Reach for the stars, pray not for failure
When you're stuck in the pit with all the other gladiators
Lookin for more meaning reason to keep living
Climb to the top cause the race needs winning
Want to be a radiant sun that shines forever
Through better or worse we gotta keep things spinning
Fame, recognition, purpose and vision
With a small little snake in your ear cold hissing
Want to hear the music? Go buy tickets
But kick it on the street with the freaks in the village
Feelin too green, soak up the spillage
Who is the number one champion in your village?
I got to be number one
Wanna be number one? Gotta beat on your drum like this
Gotta be number one
Like that, close your eyes and imagine how it feels to be like that
I got to be number one
Wanna be number one? Gotta beat on your drum like this
Gotta be number one
Like that, and the whole world's going along with your act
Yeah Yeah
Joelistics verse 2
Said the world's obsessed with the competition winner
But all that glitter's not gold, (no)
The trophy and the cheddar don't define a man's measure
Man you gotta get it in your soul
And you can heed the pressure or turn your back
Follow your own path or follow the pack brother
Go discover what you love in life
The aim of the game is to love your life
And if daddy don't tolerate loser's in the family
You tell him he can stick his sausage in the pantry
If he gets hot headed then pull a funny face
Kick him in the shins and choke him with a shoelace
Cash athletics. You commin last?
Become an academic, give your life to the arts
You'll get more girls and have more fun
And anyway the mainstream's for suckers and chumps
I got to be number one
Wanna be number one? Gotta beat on your drum like this
Gotta be number one
Like that, close your eyes and imagine how it feels to be like that
I got to be number one
Wanna be number one? Gotta beat on your drum like this
Gotta be number one
Like that, and the whole world's going along with your act
Everybody now
Everybody now
(Repeat Chorus)",https://genius.com/Tzu-number-one-lyrics
