title,album,year,lyrics,urls
77%,An Elefant Never Forgets,2003,"""77% of Australians, um, agree with John Howard's actions on the Tampa""
""What happened to the others?""
""The thing is to use military force, er, against, er, refugees, isn't that, er, a little overkill?""
""A spokesman for the line that owns the ship says Australian SAS troops are in danger of breaking the laws of piracy""
""Undoubtedly this is the most popular decision, as far as the Australian public are concerned, the government's made during its reign""
""The captain's been pulling our strings in Australian waters, he had sent out a distress signal""
""Clearly, our solution was, um, well, it wasn't only farcical, it was, um, it was immoral""
""I wish that this problem were not ours""

Well, I'm left sitting here staring into a beer
Shaking my head at the same old loathing and fear
Stranger in my own land, can't understand
How the very word 'Australian' has just been damned
I fuckin' hate myself, take 'Ozi' from my name
Erase this endless shame, forever casting blame
If you don't act the same, will I destroy you?
Everyone looks the same beaten black and blue
So I've had enough of these redneck pricks
When fact is the only real shit that sticks
Watch as I tear the very skin from my face
So none'll see my race, my deep disgrace
You're not even from here in the first place
And those that are, you wanna further debase?
Nup, no more, never again whether by fist or pen
I will defend, 'cause I'm at a loose end
The shattered remnants of Aussie dignity
I'm a skip, whitey, round-eye, surprise me
Use your shrivelled brain to please explain
How the clever country just went down the drain
We rode the sheep's back, now the sheep ride you
If this is how it's gonna be, don't call me ""true blue""
I denounce my ancestors, wounds still fester
If you say it ain't so, I suggest ya wake up

Wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up
Wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up
Wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up
Wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up

Talkback squawking hacks won't relax
Until Jonesy, Zemanek and Laws are all axed
77% of Aussies are racist
If you're here, I'll say it to your faces
Rich redneck pricks still hold all the aces
I'll buy you a beer with an arsenic chaser
""Better off dead?"" Is that what I've said?
Tempting to take for all the blood you've shed
No doubt you're as bad as your dads and your mums
Mainstream media making me so fuckin' glum
Just Anglo reality, intellectual cavities
Channel 9 fostering prejudiced mentalities
I won't be a casualty, just mention casually
I can't stand for you shit-eating bullies
Preying on peeps without a mainstream voice
Most of you stay silent, but I've got no choice

Wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up
Wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up
Wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up
Wake up, this country needs a fuckin' shake-up
Wake up

Well, I've yelled my lungs out but to no avail
Well, I've yelled my lungs out but to no avail
Well, I've yelled my lungs out but to no fuckin' avail
That you're a stranger yourself, now that's the sting in the tail

Captain Cook was the very first queue-jumper
It was immigrant labour that made Australia plumper
Enough is enough, whiteys, go pack your stuff
Don't wanna live in England? That's fuckin' tough
I'm sick and tired of this redneck wonderland
Most of you stay silent and I can't understand
I just can't understand (Understand)

It's time for you to wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up
Fuckin' wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up
Wake up, this country needs a fuckin' shake-up
Wake up, these cunts need a shake-up
Wake up, this country needs a fuckin' shake-up
Wake up",https://genius.com/The-herd-77-lyrics
Burn Down the Parliament,An Elefant Never Forgets,2003,"Burn down a pub, we heat up a club
Get a punter feeling hot like they use dencorub
When we do what we love
Smell the smoke above
With a hot-headed approach
Turning push to shove
Like a bushfire in scrub
We ambush the dub
Set alight our rap books like a pencil stub
It's essential cuz, feel it heat ya blood
We be blazing on the mic like Nimbin blazes bud

Singe the ears keep it lit like gear
With no laws to fear, let it burn in here
Flush you out like a sniffer dog prowling near
Cos it's arson dear, get the crowd to cheer
The beats got an edge like dropping off cliffs
It's a major risk, just like nature is
Leave us with no choice when you make it fizz
Throwing fire on your lukewarm liquid disc

Let these words incite, like molotovs in flight
And set a panic in the public like a meteorite strike
Have you got a light? I've got a bomb tonight
And I will set it off when I feel the mood is right
Firebugs delight, as the fuel ignites
And turn a civilised affair into construction site
When our raps are tight fire burning bright
We make the others look about as hot as Michael Stipe
 {x2}
Burn down a parliament, we burn down a flag
Burn down a liar like we burn ounce bag
And the dutch oven cooks with the smoke that was grabbed
So the fire flew fast and the flame licked the red rag

It's the place to be like South Park hell
Call your agency, better tell Ma Bell
But there's no place to sell and no vacancies
As the furnace starts to melt I smell baked MCs
But it's pay per view so just close your eyes
While the conflagration spraypaints the sky
It's not humid, so why do these fellas need fluids
Man pass the joint, we're near boiling point

Was a quiet show, now an inferno
Fire start to make you disappear like 
Sheryl Kernot
In a riot below, watch the fire grow
Outta control like a pushy when the tire blows
Let the word be known let a flag be flown
We take the mic in heavy fire and make the stage our own
Til the fakes go home, place is set to blow
Cos this rhythms dynamite and the spark is the poem

You don't need no torch with the background scorched
Cos the char will report, this is not just sport
Sport could never be bought in this circumstance
Unlike ghetto street clothes or urban dance
Turn up your clock radios to nightmare awakening
Crank the beat, enhance the de-stabling
The Herd confuse the labeling
Just here to make you think, we're near ya
We're here to take it in
 {x2}",https://genius.com/The-herd-burn-down-the-parliament-lyrics
LG,An Elefant Never Forgets,2003,"A moment passes as life flows through glasses
And I hear laughter from the long grasses
Babes in baskets and drinking from casks
Now cigarette throats crackle and rasp
Asking questions about my family and folken
A real conversation with no jingles or tokens
The circle is broken it's split wide open
Now a spliff is lit and the perimeter is floating
Lips that are split become angry and spit
Yo backflipping pollies create a shit pit
Now swags dragged away forms filled in with ink
With bolt cutters drawn they're snapping the link
The most social of cultures judged anti-social
For living with families out in the open
Whereas we live in boxes preoccupied foxes
Yet nobody stops when an old lady crosses
Hey
The game's begun
The dice rolled
Now move along
I said hey
The game's begun
The dice is rolled
Now who has won
As i look into the eyes of these old fellas
As they look up into mine these storytellers
For the richness of culture I get jealous
As we hold up the cup and we drink from the chalice
Legs spread cross-legged again in the park
Hard fed stories inspirational spark
Dragonflies (??) signaling dark
Over my shoulder yes a night patrol car
Mob's moving song's soothing path choosing
Perimeter perusing has become a way of prooving
Displacement adjacent to the concrete jungle
But once whispered currawong to warraguls
I can't help but be a little bit ropeable
Hey
The game's begun
The dice rolled
Now move along
I said hey
The game's begun
The dice is rolled
Now who has won
I take flight with my bike and go cruise through the night
When confronted by shadows in an absence of light
My palms are getting sweaty I'm already forgetting
The netting of the bedding when the sun before setting
The shadows unravel telling stories of travel
And long (joyless?) walks across car-parks of gravel
Oval smiles pasted dials worthwhile tales for conversational styles
While all the while our canines hear/hit fences
An imaginary defense against walking a while
I dabble then I dibble when I'm stuck in the middle
Could you buy a vowel to help me solve this riddle
Piddles and skiddles and size mc jiggles (???)
Selectively alert now plays the fiddle
Hey
The game's begun
The dice rolled
Now move along
I said hey
The game's begun
The dice is rolled
Now who has won x 2",https://genius.com/The-herd-lg-lyrics
Ray Of Sun,An Elefant Never Forgets,2003,"31 in the shade and I can't understand
How i feel like the only man left in Iceland
It's rainy and cold and everyone looks glum
But I feel like I'm standing in a ray of sun
Motorbike on a kickstand, waiting for Zen maintenance
Broke down on the highway and stationary ever since
It all seems futile, count the hours till sleep
With every breath a little closer to death I creep
Man, don't sink too deep, don't be so f**king heavy man
Just keep on writing raps with a steady hand
Because that's all that matters, infact, it's all there is
I got spite and envy mixed up for married life with kids
I fear the path of least resistance, so, time for a rain dance
To make sure I don't dry up, like, never took a chance
But I' wouldn't rap on a Polka, so who 'm I talking to?
Maybe like the Buddhist's say, life's like a GroundHog day
We're all stuck in our cycles, forever and eternal
Perfecting our lines, and making notes in our journal
If there's one kernal of truth in everything I've known
It's at the end of it all we're really all alone
If you stress out and try to answer all the questions
Life will be like a spacebar, a series of depressions
All I know is I'm as insignificant as a flee
But yet the most important thing that's ever happened to me
And that will set you free, even if shit looks bleak
And you can change your way any day of the week
But who am I to speak for any but myself
'cause I can only see the cards that I've been dealt
Now you can diss the dealer, 'cause the dealers corrupt
Or you can do like Krakatoa and just go errupt
If you've had enough, don't call the dealer's bluff
Just walk away from the table, like you don't give a stuff
It's like Metallica say, nothing else matters
The game is full of checia cats and mad hatters
It's 31 in the shade and I can't understand
How i feel like the only man left in Iceland
Rainy and cold and everyone looks glum
But I feel like I'm standing in a ray of sun
I can't see my way -
It's like a wall, you see, you can't really see over it from that side
You can't see the other side, but you still know it's there
What's there? -
Man, everything's f**ked up, I can't find my way
But you were still alive at the break of day
Oh that's just like you, eternal optimist
But you get so negative when you get so pissed
I'm only drinking 'cause I'm sober and not going places
Yeah, but then you diss everything on the value of faces
But if you dig deeper things will seem even worse
Man, life is more like a bicycle than a herse
Don't you ever feel like an old lady with an empty purse?
If that's your attitude maybe you should get a wet nurse
Oh so I'm immature 'cause I see how it is
Yeah but just having a whinge is acting just like a kid
You can't take every twist and turn without skids
But you can stick to the road if you don't blow your lid
Man, I don't really see the point to all your advice
Yeah but one day you'll look back and you'll see that I'm right
It's 31 in the shade and I can't understand
How i feel like the only man left in Iceland
It's rainy and cold and everyone looks glum
But I feel like I'm standing in a ray of sun
It's 31 in the shade, I can't understand
How i feel like the only man left in Iceland
Rainy and cold and everyone looks glum
But I feel like I'm standing in a ray of sun",https://genius.com/The-herd-ray-of-sun-lyrics
States of Transit,An Elefant Never Forgets,2003,"...East Hills line
First stop Green Square, Mascot, Domestic Terminal, International Airport
...Sydenham, Marickville, Hurlstone Park, Canterbury, Campsie
And then all stations to Bankstown
Then Yagoona, Birrong, then all stations to Lidcombe

You smile to yourself as you ride past the panel beaters
New pieces last night, early morning on the bike
Eight hours in the shop most days of the week
Maintaining food on your plate and your place in the street
Keep one eye on the clock and so you're ready to bail
Learnt long ago never to rely on CityRail
When you ride the Sydney system, you're up there with the best
They're all laughing out loud at that ridiculous nest
Past the park with the Tai Chi stretch and Yoga heads
And the people with the bottles and the benches for beds
Hell for leather down Crown, hold your breath at the lights
Keep monoxide from your lungs and keep it fresh for the mic
Band practice tonight to try and keep the set tight
But before then, spend time with the love of your life
Got priorities right, maintaining love with respect
There's a thousand roads to travel but you know your direction

Same line, same day, all on the same track
We cross paths but barely interact
You got no time to chit chat, you've got a schedule to keep
Shooting straight across the city and you're dodging the sheep
It's the same line, same day, all on the same track
We cross paths but barely interact
One more 24 hour stretch from daylight to dusk and dusk down to desk

Waiting for the 4:28
Ragged old suit briefcase looks much older than his age
Like to catch the bus home
Not concerned by the traffic and the lights and the ticket price hikes
Kinda like the bus, no one talks that much
Keep the conversation hush, the city's pretty at dusk
And most places are expressionless, pressing the bell
While peak hour reeks perfume that you just can't sell
From Central up to King Street, window washers hussle all the cars
The bus driver just looks and laughs
I pass fools in parks and pass people by
He's content, never meeting with no reason why
You have a cold yet? Comfortable, welcome at home
A little bachelor pad, a gold fish and a phone
Where he'll go back to sleep dream and wake up at eight
Get prepared, catch the bus back to work again... it's like

Same line, same day, all on the same track
We cross paths but barely interact
One more 24 hour stretch from daylight to dusk and dusk down to desk
Same line, same day, all on the same track
We cross paths but barely interact
(It's all I ask of this complex town
Share a tale or two and watch the sun go down)

The sun set so fast I didn't see it happen
Like I look back on days just to see the patterns
See the way the last rays of the day are scattered
In such a different way to when I first sat here
(Another beer?) You know the more some things change
The more some things are bound to stay the same
It's a shame about those units across the street though
We used to get that much more light in the arvo
Still it's a good place to sit for a while
Even if these days I don't quite fit the style
It's the people I come here for though, not the decor
And they don't seem to think of me as too much of an old bore
I used to live just round the corner
But then the rent got too dear so I moved from here
Still it's not so far, and just to come for a beer
I'm not a local but I'm still a local here

Same line, same day, all on the same track
We cross paths but barely interact
You got no time to chit chat, you've got a schedule to keep
Shooting straight across the city and your're dodging the sheep
Same line, same day, all on the same track
We cross paths but barely interact
(It's all I ask of this complex town
Share a tale or two and watch the sun go down)

...St Peters, Sydenham, Marickville, Dulwich Hill, Hurlstone Park
Canterbury, Campsie, then all stations to Bankstown
Then Yagoona, Birrong, then all stations to Lidcombe",https://genius.com/The-herd-states-of-transit-lyrics
Superweeds,An Elefant Never Forgets,2003,"SAMPLE
""It is time to act""
END
SAMPLE (x2)
""It's not about what I cannot do
I'm gonna try not to waste today
Break my pattern into something new
I gotta hear what I need to say
It's not about what I cannot do
I'm gonna try not to waste today
Break my pattern into something new
I gotta hear what I need to say.""
END
I try to think global
Remain hopeful
Act local
Necessarly vocal
And so social
I ate now I'm so full
And bloated to excess
On the plate there's nothing left
Gotta take it to the chest
Complete it like a test
Or maybe not
Should I not be saying yes?
Knowing when to stop
Looking for the best place for a great feast
In the U.S., half the population is obese
Meat follows soup
Move your feet if you can see 'em
Seems we're all consumers
But rarely human beings
The soup's got controls
Caviar and gold plates
Environment raise down more ways (?)
We grew food
Genetically engineered more food
More processed food
These factories to force you to get in touch with your chemical side
Your pesticide
This whole enterprise makes me question why
We've got it so wrong
One too many swan songs (?)
Is sustainability long gone or what?
Am I right to call out these criticisms?
A full bellied outspoken straight contradiction
I look into the face of those who are starving
Asking myself am I just making noise
With half the planet poised, waiting for an answer
I hold my place in the protest with an anchor
""It's not about what I cannot do
I'm gonna try not to waste today
Break my pattern into something new
I gotta hear what I need to say.""
I try to think global
Remain hopeful
Act local
Necessarily vocal
Annd so social
I'm noble as the next man
And that's generally poor
We're self absorbed and hard to deplore
And in order to afford it
Wack it on the plastic
Snap it like a brittle wooden match stick
Come with me
To gluttony
Accumulate and destroy
Repudiate and employ
Rejuvinate and enjoy
Hormone injected burgers
Make them little cattle bones grow quicker
The skin sits but quivers (?)
These God damn fast food chains
Food looks strange
Let alone like anything the ads claim
Marketed to families
Get 'em young
Do the sums
Sell it by the tonne
Where to run?
One ad campaign across the whole planet
So we can sing the same jingle they branded
This is my candle-lit vigil
I'm standing fearful
We got pulled in by a lame ritual
I'm not a rock
I think despite what I'm not I'd sink
It's over when we blink in unison on the brink
Well I pump myself up with more pharmaceuticals
Add more life to my expectancy
It may affect your pregnancy
But it might be profitable
Jump blindly into whatever's possible
""It's not about what I cannot do
I'm gonna try not to waste today
Break my pattern into something new
I gotta hear what I need to say.""
""It's not about what I cannot do
I'm gonna try not to waste today
Break my pattern into something new
I gotta hear what I need to say.""",https://genius.com/The-herd-superweeds-lyrics
The Plunderers,An Elefant Never Forgets,2003,"Dear overseer
It's ages since you graced my pages
But this shit goes in stages
How the machine rages
I've got a spanner for your works
Whole patches of industry
I've got no manners for you jerks
You wouldn't listen to me
An Eco friendly emblem on a petrol station
Like a fucking referendum for a queen without a nation
Lies about land rights
Build uranium mines, avoiding millions in tax
You've never paid a fine
When, in the ear of our leaders, to start a war like that
If we don't know who were fighting, well then we won't fight back
So I'm calling you out
To let you know we know
Your branding shines like gold
And hides the shit below
Ever thought that's why Jordan is no politics major
Because he can't stand the thought of his slaves in asia
Who puts a B-boy and a surfer in the same ad break?
I beat the real thing, because it's so fucking fake
He tells a pack of lies and then tries to murder the truth
He's just the same two guys, who tell you all the news
And who's that chimpanzee, straight out a western movie
And here come little Johnny wanna be his deputy
The world is cleft you see
Made to fight one another
Economic big brother operating deep cover
So Im calling you out
To let you know we know
Your branding shines like gold
And hides the shit below
Because everything is really not okay
Despite the forecast of another beautiful grey
I mean a beautiful day
Blessed with optimism
A few more companies are killing off their competition
Even blackouts couldn't make these devils sto-op and listen
A rat race, that's disgraced and should not be forgiven
It's not your pipe to piss in
So there's a price to pay
Whilst burning you'll be thinking about it everyday
The gap gets greater
And so I'd watch your step
Once slip and there goes your neck
Sleep with a sweat
There's too many now looking for your downfall
In the eighties all they thought about was how tall
Could a corp climb higher than a star sign
Make money marry money
And make more money
Mankind suckered out like a bloodthirsty vampire
They call you citizens upstanding
But we call you damn liars
Image built brand empires all targets
We'll ""boycott attack"" and defame just for starters
Press charges? And bring your lawyers to the table?
But the tables are turning so get out while your able
SAMPLE
""I love convenience, I love corporations because they give me convenience
I I i-saw on the news that there's all these people trying to stop these corporations spread the convenience
And that's err.. that's why we've got to help the developing nations get their mc'donalds, get their 7/11s
Ahmean they haven't even tasted the goodness yet man.""
END
Whilst ever there's oppression up will rise dissent
Seen through every century, the anger finds a vent
US forces - Just like WWF
Iraq's getting body-slammed - By george dubya's best
Keep pushing till the point comes - Where the people have had enough
And disillusion cause of ills - That are struck or are corrupt
Can't trust a cop, a politician or a tv set
Now everyone's upset
And yet they still forget
Forget facts
Remember brands
We get jacked
But bite our hand
The media is on crack
And (they) hide our heads in the sand
Now every Woman and Man
Sing your favourote theme song
That catchy jingle
Opposite to what really goes on
Our movement's strong
We're going from strength to strength
Your fradgulant future's - Something that we can prevent
We've come to cause a dissonance - Within your picket fence
If you still say dismissing your staff's - Good business sense
More protesters will die
As more companies collapse
So we're questioning the false wisdom - Lying behind that
Shout to the people - To stand against this crap
And revolutionaries who act with beats and raps",https://genius.com/The-herd-the-plunderers-lyrics
Urban Lady Saloon,An Elefant Never Forgets,2003,"If you really want to step to my crew
Then I suggest that you try new
Approaches or you will slide to
My point of view
High noon (?) get hit by typhoon
Most clowns who act just like buffoon
Are tripping like magic mushroom
On broken tune
Every whore's the same (?)
What to say
I will ride the trail
My own way
Save us all the pain
Hey just see (?)
And save yourself the shame
Too shady
No one else to blame
So maybe
To go against the grain
Will save me
Forget about my name
Too hazy
Re-ignite the flame
Go crazy
Every town's a maze
Find a key
Every maze a day
Anarchy
Can it be what saves
You and me
From becoming slaves
Too early
Still the feeling stays
Memory
Robbin' on highways
Aged fifteen
What will be the way
That I see
To change your wild ways
Centuries
Blurring into one
Starin' at the sun
Are we just a (stun?)
To end what we've begun
Sound of sherrif's gun
The Wild West is run
The prizes weigh a ton
But was it any fun?
If you really want to step to my crew
Then I suggest that you try new
Approaches or you will slide to
My point of view
High noon (?) get hit by typhoon
Most clowns who act just like buffoon
Are tripping like magic mushroom
On broken tune
If you really want to step to my crew
Then I suggest that you try new
Approaches or you will slide to
My point of view
High noon (?) get hit by typhoon
Most clowns who act just like buffoon
Are tripping like magic mushroom
On broken tune
Sherrif shot to shit
Who did it?
But everyone's the kid
The crime fits
I will say I did
Cop the hit
And who will raise the beer (?)
Drop the chips
Pass the gun survive (?)
Tell the tale
Last to go the mile
Beyond pale
The undertaker's smile
Drive the nail
Into the (?)
We're not stale
In will come the law
They will say everybody on the floor
Who will pay for the fallen officer
Ash 'n' grey
Rub our faces in the dirt is the way
But they are just a tool
Of the powers rule
The government aren't a fool (?)
And creep away (?)
They sit you down a stool
So you can tell them bull
Until there is a fool
When what they think is cool (?)
If you really want to step to my crew
Then I suggest that you try new
Approaches or you will slide to
My point of view
High noon (?) get hit by typhoon
Most clowns who act just like buffoon
Are tripping like magic mushroom
On broken tune
If you really want to step to my crew
Then I suggest that you try new
Approaches or you will slide to
My point of view
High noon (?) get hit by typhoon
Most clowns who act just like buffoon
Are tripping like magic mushroom
...
FINISHED, but not all words known/necessarily correct
---------------",https://genius.com/The-herd-urban-lady-saloon-lyrics
Darkened Paradise,Better Alive EP,2012,"Verse 1:
I flew here for a bargain souvenir at the markets and
Baskets and artwork, extra stamps in my passport
I've worked hard in my office and read all the brochures
These beaches aren't like they are in the posters
Shower me in roses (?)
Be on the walls of the resort
I hear gunshots, screams and calls
It ain't relaxing at all
I don't wanna see this, hear this, smell this, street kids, beggars diseases
I wanna do as I please
Cocktails, desk chairs, tropical breeze
(Hook)
Exercise a high degree of caution in the streets
Watch your back
Don't get lost in a paradise
Best beware of where you place your feet
Please come back to our mirage of a paradise
We advise you stay indoors, 'cos when night falls
In our darkened paradise
Every dream has a prize
(Verse 2):
You come and go like the tides
You'll never know my mind
Unless you spend the time to meet these friends of mine
In this new best place to spend your time
They're the ones who never smile
But when I told you all the trials of being me (?)
You just looked away and checked the scenery
And what was meant to be a problem
Is all too easily forgotten
And it's so hard to get to the bottom of this conundrum
Please come on in, I left flowers on your pillow to make you feel young again
Please come on in, be my guest
In my uniform all starched, depressed
To impress our visitors, well, everyone will give their all
Because there's a vast difference between sleeping on a bed and on the floor
And as long as you have a ball
And you tell your friends to stay with us
There's an extra dollar in it for me if you make our paradise famous
(Hook)
Exercise a high degree of caution in the streets
Watch your back
Don't get lost in a paradise
Best beware of where you place your feet
Please come back to our mirage of a paradise
We advise you stay indoors, 'cos when night falls
In our darkened paradise
Every dream has a prize",https://genius.com/The-herd-darkened-paradise-lyrics
Like a Riddle,Better Alive EP,2012,"You never lived your life like a riddle
I cannot imagine what you went through in the middle
Here I stand, inspired by a great, he was a giant of a man
Verse 1 (Urthboy):
Around 36, a baby was born in a town called Alice
In the middle of a storm
The kid had a gift for soccer
Took him overseas to England where he tried out proper
Had a real career and retired at 28
About the same time very significantly he would graduate
That was 65 and that’s a civil ?right??
Little did they know he would lead the freedom rides
Chorus (Urthboy):
You never lived your life like a riddle
I cannot imagine what you went through in the middle
Here I stand, inspired by a great, he was a giant of a man
Chorus (Jane Tyrell):
??? getting grown in Melbourne
Schooling up, radio up under the pillow
???? shy in the early years ??? ??? ??? ???
Flying overseas, leading the way
When she left, ??? ??? ??? ??? ??? ???
A man’s world but she was ??? royalty? ??? ??? ??? ??? ???
Verse 2 (Ozi Batla) :
Born near Goulburn at the height of the gold rush
Taught in Broken Hill and preached social justice
With Lawson she wrote about what a nation could be
Then moved to Paraguay chasing utopian dreams
She edited the Worker, wrote for the people
The first, the oppressed, to her they were all equal
A union is too radical but more progressive than most
She was scoffed to see her face on a bank note
Chorus (Ozi Batla):
You never lived your life like a riddle
I cannot imagine what you went through in the middle
Here I stand, inspired by a great, she was a giant of a men
She was a giant with the pen",https://genius.com/The-herd-like-a-riddle-lyrics
