title,album,year,lyrics,urls
Blessings,14 With A Dream,2018,"I wake up and count my
I wake up and count my

I wake up and count my blessings, never stressing
I wake up I pray to God lead me in the right direction
Yeah, wake up I count my
Blessings, never stressing
I wake up I pray to God hoping that he get my message, yeah
I've been on the low, low, low
I do not know, know, know
Just what I want, want, want
So got me Lord, Lord, Lord
I’ve been on the low, low, low
I do not know, know, know
Just what I want, want, want
So got me Lord, Lord, Lord

No one ever saw the vision
Told me I was too young
Too calm in this game
But I envisioned something different
Yeah they turned me down
Told me I was tripping
Now we planning trips
And plotting on the mission
And because of my age, man there's been division
They say pave the way, man that's my decision
Never been forced
Honestly its sickenin’
Now they making claims (They making claims)
Man that's so insane
Talking about I changed
But I've been this way
They said your dream's too big
Now take a look at what I did
About to take over the game
No questions boy, that's it

I wake up and count my blessings, never stressing
Every night I pray to God lead me in the right direction
Yeah, wake up and count my
Blessings, never stressing
I wake up I pray to God hoping that he get my message, yeah
I been on the low, low, low
I do not know, know, know
Just what I want, want, want
So got me Lord, Lord, Lord
I been on the low, low, low
I do not know, know, know
Just what I want, want, want
So got me Lord, Lord, Lord

I know they hatin'
I pay them no attention
They trying to imitate me
But I should probably mention
There's only one little kid
Couldn't care less about what you did
Or what you doing honestly
Too concentrated on my biz
I don’t got time for their games
Don’t pay no mind to these lames
I'm in my own separate lane
I mean I’m just saying
I'm gonna put in honest work
I've seen how far I can get
See all the hate it don't work
We got the platinum on set

I wake up and count my blessings, never stressing
Every night I pray to God lead me in the right direction
Yeah, wake up and count my
Blessings, never stressing
I wake up I pray to God hoping that he get my message, yeah
I been on the low, low, low
I do not know, know, know
Just what I want, want, want
So got me Lord, Lord, Lord
I been on the low, low, low
I do not know, know, know
Just what I want, want, want
So got me Lord, Lord, Lord",https://genius.com/The-kid-laroi-blessings-lyrics
Boss Up,14 With A Dream,2018,"Yo -
Yo, what’s up what’s up?
Nah, I’m at the studio right now
N-Nah, but I’ll give you a call after the session
Alright, bye

Damn!
Isn’t it funny how far I came?
Told me my dream was a reach
So I reached for the stars and it since hasn’t been the same
And ever since I paved my own lane
They’ve been looking for directions
And ever since they’ve tried to clone me
But they don’t got the same connection (WOOO!)
Haven’t been posting on Instagram
Keep myself secluded from the rest of them
Hitting up my line, they keep pestering
They ask for features, well it just depends
‘Bout to be a boss in this business
‘Bout to be a cost just to witness
Yeah, you popping now, enjoy it while you can
It’ll last for 5 minutes (Yeah)
I swear
Had this dream all my life, convinced myself to chase it
Now things are starting to happen
And I’m making moves and landing all these placements
Landing in all these new places
God damn, it’s outrageous
I’ve been in it for a minute
Trynna get it, I just gotta have patience

Boss up, boss up, the young boy dun bossed up!
Bossed up, boss up, the young boy dun bossed up!
Boss up, bossed up, the young boy dun bossed up!
Boss up, boss up, the young boy dun bossed up!
Boss up, boss up, the young boy dun bossed up!
Bossed up, bossed up, the young boy dun bossed up!
Damn, you know I dun bossed up! Ha!

Yeah, hello
Mum, mum
Uhh
Yeah, I’m -
Mum, I’m com-
Mum, I’m coming
I’m -
Mum -
Okay, okay
I love you
I love you
I love you
Bye, bye",https://genius.com/The-kid-laroi-boss-up-lyrics
Disconnect (Demo),14 With A Dream,2018,"Yeah, ooh
Yeah, hold on
Yeah
Let me tell it
Okay, yeah
Yeah
Yeah

All I wanted was respect
Just want to be accept-ed
Too focused on being perfect
And now that I reflect
I was blind and I shouldn’t have listened to what you said
Now there’s a disconnect
Between me and you
Now I’m true to myself
And I make my own moves
I used to try and be cool
Impress the kids at school
But I wasn’t being true to my Goddamn roots
(Hol' up)

I speak from my heart, not my throat
I said no longer I’d be told the person I am
Still finding myself, I really don’t need you to hold me back
No holding me back, no more discussions 'bout that
Boy it’s a wrap
Used to worry about so called “friends”, but they’d never hit me back
Like damn
Look at how far I’ve come
But I’ve only just begun
I tried to run from the person that I was
Goddamn, how I was so dumb
But I don’t need your judgement
Was somebody I wasn’t
But now I’m here to change that
And take over the country, oh man

All I wanted was respect
Just want to be accept-ed
Too focused on being perfect
And now that I reflect
I was blind and I shouldn’t have listened to what you said
Now there’s a disconnect between me and you
Now I’m true to myself and I make my own moves
I used to try and be cool, impress the kids at school
But I wasn’t being true to my Goddamn roots
(Hol' up)",https://genius.com/The-kid-laroi-disconnect-demo-lyrics
GO GET IT,14 With A Dream,2018,"Have you ever had a dream that you, um, you had, your, you- you could, you’ll do, you- you wants, you, you could do so, you- you’ll do, you could- you, you want, you want them to do you so much you could do anything?

Know your place (oh yeah), know your worth (know it)
They feel a way, they throwin' dirt (oh yeah)
My mumma told me you gon get what you deserve (you gon' get it)
So when they're throwin' shade I sit there with a smirk (woah)
I cannot relate to what they're saying (cannot relate)
I could never change and it's always been this way
I'm different they don't look at me the same (no they don't)
It was like that since an infant and I take that to my grave boy
I was lookin' out for way too many (lookin' out)
So I started looking up, hopefully my uncle hear me
God damn just thinkin' 'bout him gets me teary
'Cause I remember that last conversation that we had so clearly

He said; ""Boy you got a dream so go and make it work
If you listen to them others they gon' put you in the dirt
Yeah they always be watchin', quietly they'll lurk
And I want you to remember this until you're in a hearse""
I said; ""Okay I got a dream, so I'ma make it work
I won't listen to them others, they gon' put me in the dirt
Yeah I know they always watchin', quietly they'll lurk
And I promise I'll remember 'til I'm all up in a hearse"", ah yeah

Yea-uh, now they tryna tag along
I can not mess with that 'cause dey ain't always been around
Couldn't care about  but  to them all
From the studio to the stage you know that I shut it down
Woah, hold up, wait a minute, just spare me the moment
My uncle told me; ""Get it, put your stamp on it and own it""
And I told him ""yeah I get it"", at the time I didn't know but
I'm all the way up and to him I kinda owe it

He said; ""Boy you got a dream so go and make it work
If you listen to them others they gon' put you in the dirt
Yea they always be watchin', quietly they'll lurk
And I want you to remember this until you're in a hearse""
I said; ""Okay I got a dream, so I'ma make it work
I won't listen to them others, they gon' put me in the dirt
Yeah I know they always watchin', quietly they'll lurk
And I promise I'll remember 'til I'm all up in a hearse"" ah yea

Know your place (know your place), know your worth (know your)
They feel a way (feel a way), they throwin' dirt aye (they throwin' dirt)
Throwin' dirt aye (they throwin' dirt), they throw'd it, throw'd it
They throwin' dirt aye
Know your place, know your worth (know your worth)
They feel a way, they throwin' dirt aye
Throwin' dirt aye, they throw'd it, throw'd it
They throwin' dirt aye

Ah yeah, ah yea, ah yeah-uh
I'm a get it, now you're gone
All these people runnin' to me, they all tryna tag along (eh)
They haven't been here since day one, now they realizing the vision tryna copy what I'm on like yeah
I'm a get it, now you're gone
All these people runnin' to me, they all tryna tag along (eh)
They haven't been here since day one, now they realizing the vision tryna copy what I'm on like",https://genius.com/The-kid-laroi-go-get-it-lyrics
LATELY,14 With A Dream,2018,"My whole life is changin'
All these people I don’t know sayin' they made me
Here forever yeah I'm stayin’
In the game we don't play I'm just sayin' (Yeah)
My whole life is changin'
All these people I don't know sayin' they made me
Here forever yeah I'm stayin’
In the game we don’t play I'm just sayin’ (Yeah)

Lately, they all love to hate me
I feel like they'd do anything just to stop and break me
If you don't got my trust we cannot discuss what I'm making
Look at me in disgust, bitches know that it won’t change me
I don't care if you don't feel this cause it's just the way I feel
They all making promises but which of them was real
Seein' all these rappers going straight in for the kill
If you wanna be successful then you gonna have to fail

My whole life is changin'
All these people I don't know sayin' they made me
Here forever yeah I'm stayin'
In the game we don't play I'm just sayin' (Yeah)
My whole life is changin'
All these people I don't know sayin' they made me
Here forever yeah I'm stayin'
In the game we don't play I'm just sayin' (Yeah)

No old news had to glo' up
Just watch the kid go and blow up
I've been in it for a minute
Business is the only thing that I'm consumed of
Now I've got a vision planned out
All these rappers in a bad drought
Know I'm the man with the plan now
All you boys in the background
Used to laugh like it was funny somethin'
Don't talk to me you can't tell me nothin'
Rappers do the most man they always frontin'
If I buy it too man they always bluffin'
So how you feel how you feel
Now the kid is trill
Yeah I made my dreams real
You already know the deal

My whole life is changin'
All these people I don't know sayin' they made me
Here forever yeah I'm stayin'
In the game we don't play I'm just sayin'
My whole life is changin'
All these people I don't know sayin' they made me
Here forever yeah I'm stayin'
In the game we don't play I'm just sayin' (Yeah)",https://genius.com/The-kid-laroi-lately-lyrics
ERASE U,F*CK LOVE,2020,"I thought you was all mine, yeah
You said that you love me, but it's all lies, yeah
Shoulda known from when I looked in your eye
If I could erase you from my mind
Then I'd be alright, yeah, I'd be alright
You said you was all mine, yeah
You said that you love me, but it's all lies, yeah
Shoulda known from when I looked in your eye
If I could erase you from my mind
Then I'd be alright, yeah, I'd be alright

Shit ain't been the same since you left now
Only thing going through my head is regret now
Waiting for you, I almost let my bread down
You got me stressed out
Left me to get let down
But somehow I'm still wishin' you all the best now
I think it's better now
'Cause you really put my ego up in check now
And I'm upset now
Ever since you let me down
And I'm upset now

'Cause I thought you was all mine, yeah
You said that you love me, but it's all lies, yeah
Shoulda known from when I looked in your eye
If I could erase you from my mind
Then I'd be alright, yeah, I'd be alright
You said you was all mine, yeah
You said that you love me, but it's all lies, yeah
Shoulda known from when I looked in your eye
If I could erase you from my mind
Then I'd be alright, yeah, I'd be alright",https://genius.com/The-kid-laroi-erase-u-lyrics
I WISH,F*CK LOVE,2020,"Rio (Rio)

Yeah, I wish there was a way I could take away the pain
Yeah, I wish there was a way I could give you everything
Damn, I wish there was a way I could tell you everything
But I can't, I wish I could, this shit affects me every day
Yeah, I wish there was a way I could take away the pain
Yeah, I wish there was a way I could give you everything
Damn, I wish there was a way I could tell you everything
But I can't, I wish I could, this shit affects me every day

Every night I saw it, skeletons in my closet
Still got all these problems, I thought money would solve 'em
Blood all on the walls and tears drop down, they fallin'
I don't even wanna think about all that, but it's like I can't help it
You say you can't help me, I gotta help myself but
I need help with that 'cause I feel so helpless
I feel like I've been to Hell and back by myself and
There ain't nothin' in the way no more, only myself is

I'm in the way, I'm in the way of myself
I'm in the way, I'm in the way, I need help
Need it today, I wish I could kill this pain
I wish I could kill this pain, I wish I could kill these days

Yeah, I wish there was a way I could take away the pain
Yeah, I wish there was a way I could give you everything
Damn, I wish there was a way I could tell you everything
But I can't, I wish I could, this shit affects me every day
Yeah, I wish there was a way I could take away the pain
Yeah, I wish there was a way I could give you everything
Damn, I wish there was a way I could tell you everything
But I can't, I wish I could, this shit affects me every day",https://genius.com/The-kid-laroi-i-wish-lyrics
MAYBE,F*CK LOVE,2020,"Drown my sorrows in this bottle
Won't like wakin' up tomorrow
I'm the only one that cares about myself
And you don't need me like I need you
So if I go, maybe I'll free you
But I'll be lost, to tell the truth, I need your help
And even you can't fix my problems
Like you once did, I'm too hollow
I can't talk to you no more and I can't tell
If it's me or if it's you, 'cause
You don't even pick up my calls no more
I'm drunk and left alone with all my thoughts

So maybe, maybe I'm drivin' me crazy
Maybe it's me and it's not you
I'm not too good at admitting when I fuck up
But maybe, maybe it's you who can save me
I got love for you, but I hate me
So maybe there's no way to change me
So maybe, maybe I'm drivin' me crazy
Maybe it's me and it's not you
I'm not too good at admitting when I fuck up
But maybe, maybe it's you who could save me
I got love for you, but I hate me
So maybe there's no way to change me, yeah

No way that I'll ever change
So I'm down to lay down next to my brain
I said I'm okay, but no way
It's more than I can take
And there's no one to blame but me
No need to wait for me
Why do you pick me up just to break me?
That's what you say to me
Why do you play with me?
You won't ever understand

So maybe, maybe I'm drivin' me crazy
Maybe it's me and it's not you
I'm not too good at admitting when I fuck up
But maybe, maybe it's you who can save me
I got love for you, but I hate me
So maybe there's no way to change me
So maybe, maybe I'm drivin' me crazy
Maybe it's me and it's not you
I'm not too good at admitting when I fuck up
But maybe, maybe it's you who could save me
I got love for you, but I hate me
So maybe there's no way to change me",https://genius.com/The-kid-laroi-maybe-lyrics
NEED YOU MOST (So Sick),F*CK LOVE,2020,"We fight every day and night
You want me to make the time
You always get mad and say what you coulda had
And that you want me to make it right, uh
I couldn't do that to save my life
You always tell me you ain't surprised
You said it's the last time, I guess that you were right
'Cause I'ma do one with you tonight

And now I'm so sick of these love songs, so sad and slow
And I'm so sick of wishin' I had you on my own
And oh, baby, I've been fucked up ever since you've been gone
I can't bring myself to even pick up my phone
I need you the most, I need you the most
I need you the most, I need you the most, I need you the most

I ain't gon' lie, oh, baby I've been fucked up
I said I was sorry for all of the times I fucked up
Fuck love, got me thinkin' while I pour my cup up
Tonight is in memory of you, I'm gettin' fucked up
Oh, just one more chance to make it right
Promise I got you, so tell me what's up?
I don't think that I can keep goin' this way
I can't take it

Now I'm so sick of these love songs, so sad and slow
And I'm so sick of wishin' I had you on my own
And oh, baby, I've been fucked up ever since you've been gone
I can't bring myself to even pick up my phone
I need you the most, I need you the most
I need you the most, I need you the most, I need you the most",https://genius.com/The-kid-laroi-need-you-most-so-sick-lyrics
NOT FAIR,F*CK LOVE,2020,"I can't cum unless you kiss me
I don't know her but she saying that she miss me
Rolling with that 450
Why they wanna send me under, fucking six feet?
I cope how they want, yeah I keep the safe off
Never out in public 'cause they talk
Got a taste and got shell-shocked
Drive me to Hell in a drop-top

Uh, drive me to Hell in a drop-top
I need you to save me 'fore I fuck up and go too far
I hate that you blame me for the things that I cannot control
I'm out here tryna make it work for us, it's too much
On my plate, got it all at stake
Say you hate me now, but you're at my place
Tell me lies, tell me that it's all okay
Tell me why you love me, even if it's fake

It's not fair
No matter what, I'm still gon' be here
It's hard for me to show you I care
Crash and burn, Princess Diana
Better off, better off dead
You don't wanna come around here
It's hard for me to show you I care
Don't wanna be myself, I'm too scared
Yeah-yeah, I'm too scared

Even if it isn't real, I wanna hear it (Oh, Oh)
Pour my heart out on the floor and now it's leaking (Oh, Oh)
Spent two-thousand on an F and N, don't make me squeeze it
I don't care if it was all pretend, I wanna feel it

M.O.B. 'cause if I lose it all, you leavin'
Bitch, you don't love me, that's a lie, I don't believe it (Nah, nah)
Money make these bitches go insane, yeah, I done seen it (Oh, no)
I don't wanna hear it anymore if you don't mean it
(I don't want, I don't want) Don't wanna fall too deep
Trust issues, it's too hard to give you all of me
Love isn't what you see and what you want it to be
I want you, but I just can't give you all of me

It's not fair
No matter what, I'm still gon' be here
It's hard for me to show you I care
Crash and burn, Princess Diana
Better off, better off dead
You don't wanna come around here
It's hard for me to show you I care
Don't wanna be myself, I'm too scared
Yeah-yeah, I'm too scared",https://genius.com/The-kid-laroi-not-fair-lyrics
