title,album,year,lyrics,urls
21 Grams,Everyone We Know,2016,"Did you ever believe, yeah
This life owes you more than you have?
Try take it from me, no-oh
Got nothing to lose but 21 grams, uh-huh
Just let it all go (Oh-ho), don’t fuck with your man (Ah-ha)
When the weight of a soul (Yeah-hair) just 21 grams (Ah-hoo)
Just let it all go (Oh-ho), send love to your fam (Ah-ha)
When the weight of a soul (Yeah-hair) just 21 grams
It ain’t but 21 grams, ain’t but 21 grams
Just 21 grams

Cheah
One life here to foster, no time here to squander
Grew wiser and stronger, yet still tryna conjure a little ray of sunshine in a Quagmire
For the prize on offer, we divide and we conquer
If I fight any longer I’ma start looking like all my rivals and in time will give rise to a monster
Gotta be more to life than sort of like every morning rise and shine
I wanna see all the lights on tour life then immortalised in time
What’s the weight of a human soul? Does it change if bruised or old?
Famine or fame, man, it’s all the same, that’s what you stand to gain vs. lose it all

All that glitters ain't gold, what's royal is loyalty shown to your fam
What’s the weight of your soul? They say it nuttin' but 21 grams
Slow dance with the devil, he asked for my signature written in blood
I won’t bow to that level, know I can do better in death, hope my spirits arisen above
But, yo, will I be judged on the good and the bad that I've done in my life?
When I'm writing these songs, I'm righting my wrongs, that’s how it feels with each word I recite
Like I’m earning the right to be making amends, apologies given to all of my friends
If ever I dissed you know that I didn’t mean to offend

Did you ever believe, yeah
This life owes you more than you have?
Try take it from me, no-oh
Got nothing to lose but 21 grams, uh-huh
Just let it all go (Oh-ho), don’t fuck with your man (Ah-ha)
When the weight of a soul (Yeah-hair) just 21 grams (Ah-hoo)
Just let it all go (Oh-ho), send love to your fam (Ah-ha)
When the weight of a soul (Yeah-hair) just 21 grams
It ain’t but 21 grams, ain’t but 21 grams
Just 21 grams

And I
Can’t help but feel a little blessed like yes, I’ma do it better than the best I can
I’ma get it in with whatever I have like damn by chance
Do you wanna take my hand? Do you wanna dance in the middle of the street like me?
Side step it to the left of the centre ‘cause I’ve never been a fan of that right wing bullshit and negativity
Check it, I don’t mean to preach, this is not an anthem, Tuka’s on a rant let me pen a bit of peace, fuck a hand gun
If your head’s buried in the sand then understand I’m just tryna get a bit of free in me
Get a bit of free in me, dive deep, sightseeing the earth on cloud nine
Dreaming free as a bird, try to focus when the scenery blurs

Bringing life into this world's like bringing a grain of sand to the beach, but
Thing is that this little girl's like ten point five grams of you and me, love
Everythin’ from our past is passed on, it survived, it’s alive in our daughter
You ever think there's a link when we pass on? She might have passed on five and a quarter
Immortalised, I thought that I had everything I wanted
It all was lies, there's more to life, couldn't put my finger on it
My daughter’s eyes, I see my parents, see your parents too
Apparent when you stare into her eyes and she got a pair like you

Did you ever believe, yeah
This life owes you more than you have?
Try take it from me, no-oh
Got nothing to lose but 21 grams, uh-huh
Just let it all go (Oh-ho), don’t fuck with your man (Ah-ha)
When the weight of a soul (Yeah-hair) just 21 grams (Ah-hoo)
Just let it all go (Oh-ho), send love to your fam (Ah-ha)
When the weight of a soul (Yeah-hair) just 21 grams
It ain’t but 21 grams, ain’t but 21 grams
Just 21 grams

Just 21 grams
Did you ever believe, yeah
This life owes you more than you have?
Try take it from me, no-oh
Got nothing to lose but 21 grams",https://genius.com/Thundamentals-21-grams-lyrics
Sally,Everyone We Know,2017,"Everybody knows that Sally can’t dance
But damn she’s so fine that nobody’s gon' tell her
Two left feet, one beautiful smile
Hot damn she’s so fly whenever we’re together

And here we go yo, I think it was a Friday night
I was kicking it at my place, aight...
I could feel my thigh vibrate, Sally's on my cell phone
She was at a club but she was by her self though
Sipping on a Bombay, telling me to drop by
I could be her hot date, Jiggy in the spot light
Karaoke contest, she was gonna rock mics
We could sing Beyoncé songs till the clock chimes
One in the morning and the party was boring
When I walked in Sally must have caught me yawning
She said “Quit stalling boy meet me on the dance floor
I’ma cut a couple shapes up like a band saw”
So under the disco ball we all
Shake it like a Polaroid singing la-di-da
Down and dirty yo, Sally ain’t no Barbie doll
Goofy as hell but who cares, blasé blah

Everybody knows that Sally can’t dance
But damn she’s so fine that nobody’s gon' tell her
Two left feet, one beautiful smile
Hot damn she’s so fly whenever we’re together

Once upon a time in my neighbourhood
Me and all of my next-door neighbours would
Get the whole block jumping to the latest jams
Rocking out to the sound of our favourite bands
I remember one summer on a Friday night
We had Morg dog spinning so the party's hype
I saw my home girl Sally from across the way
An intelligent lady with a lot to say
She had a shimmer in her eyes and a smile to match
Skinny waist line but the style is fat
Just a glimpse of her face it could brighten the mood
Any place that she went she would light up the room
I was like let's bust a groove, she said “cool”
But she moves like she's rocking two busted shoes
She got two left feet and can't work the beat
She can't dance but Sally’s still perfect to me
[Pre-Chorus: Mataya & 
Tuka
]
I don't wanna hurt nobody, I just wanna move my body
She's sweet like marmalade
, and tastes like oooh la-la-la
La—la—la-la-la-la—la—la
A-la-di-da, a-la-di-da-di-da, ayy
A-la-di-da, a-la-di-da-di-da

Everybody knows that Sally can’t dance
But damn she’s so fine that nobody’s gon' tell her
Two left feet, one beautiful smile
Hot damn she’s so fly whenever we’re together

She don’t foxtrot, two-step or minuet but
She’s so fresh I don’t interject
There’s no skip to her lou or the do–si–do
But that's cool I could still be her Romeo
You know
[Pre-Chorus: Mataya & 
Tuka
]
I don't wanna hurt nobody, I just wanna move my body
She's sweet like marmalade
, and tastes like oooh la-la-la
La—la—la-la-la-la—la—la
A-la-di-da, a-la-di-da-di-da, ayy
A-la-di-da, a-la-di-da-di-da

Everybody knows that Sally can’t dance
But damn she’s so fine that nobody’s gon' tell her
Two left feet, one beautiful smile
Hot damn she’s so fly whenever we’re together
Everybody knows that Sally can’t dance
But damn she’s so fine that nobody’s gon' tell her
Two left feet, one beautiful smile
Hot damn she’s so fly whenever we’re together",https://genius.com/Thundamentals-sally-lyrics
Think About It,Everyone We Know,2016,"When all you can do is
Feel like everyone else just know
You're not alone, you're just by yourself
And it's all that I think about
Think about it

I wrote your name as a tattoo in my mind
Tryna fill the void in my chest
I bang on it like a baboon
It's like I'm tryna dead that noise in my head
Telling me your bad news, am I blind?
Am I just a boy in your bed?
But I ain't stressin' on your taboos, it's alright
I'm just tryna see the poise in your step
We go dancing in the moonlight
When everything is feeling okay
And I don't really know the answer
Why I'm fascinated by you most days
She wanna keep me on the side, that's cool
It doesn't happen every day, that's fine
But when she wanna play, lasso
I'm already on the way, cab rides

When all you can do is
Feel like everyone else just know
You're not alone, you're just by yourself
And it's all that I think about
Think about it
Calling on me
You can call me on the telephone
When you feel like everyone else
Just know that you're all that I think about
Think about it

You got me living like a vampire 'cause
I only see you when the sun is down
We get lit like campfire wood
But one day we're gonna run this town
Maybe we could build an empire, cool
But first you gotta take that dive
You want something to believe in, true
Believe me, baby so do I
So we party on the weekend
Show me yours, I'll show you mine
Skinny-dipping in the deep end
We just tryna stay afloat tonight
And we don't ever wanna pretend
Really we already both knew why
You only call me when you're peaking
I'm your number one go-to guy

When all you can do is
Feel like everyone else just know
You're not alone, you're just by yourself
And it's all that I think about
Think about it
Calling on me
You can call me on the telephone
When you feel like everyone else
Just know that you're all that I think about
Think about it

Come on and give me your, come and give me your
Come and give me your, come and give me your love
Your love, your love
Come on and give me your, come and give me your
Come and give me your, come and give me your love
Your love, your love

We don't wanna fight
We're just gonna waste time
They got no clue 'bout what we're doing
So till then we ain't gonna lie
They call us foolish, but we fooled them
And maybe that's why, why, why
I can be your go-to guy

When all you can do is
Feel like everyone else just know
You're not alone, you're just by yourself
And it's all that I think about
Think about it
Calling on me
You can call me on the telephone
When you feel like everyone else
Just know that you're all that I think about
Think about it",https://genius.com/Thundamentals-think-about-it-lyrics
Never Say Never,Everyone We Know,2016,"If I had the answer, I could make it better
Give you everything you wanted just so you would stay forever
Instead I say never say, never say never
Never say, never say never, never ever

Yeah, shout out to my mother, shout out to my mother
She never told my pops about the stash of marijuana
That was hidden in the cupboard, lifted like a buzzard
Rapping for the fuck of it, I'm dumber than a dullard
Finna bring the ruckus when I'm singin' for my supper
Funky as a drummer from the city to the suburbs
I tell you what is absurd, we spun a couple verses
For the lovebirds, now Thundamentals is the buzzword
Finger on the buzzer, but we ain't seein' dollars
Feelin' pretty far from baller, still I'm pickin' up your daughter
In a '94 Corolla and I'm reppin' it regardless
The motor on it's older than a fuckin' penny farthing
If you're sellin' out your concert then they rollin' out the carpet
While you chillin' at the summit, don't forget to get your ass kissed
'Cause one minute it's poppin', next, you're sittin' on a park bench
Literally starving, reminiscing on the past tense

If I had the answer, I could make it better
Give you everything you wanted just so you would stay forever
Instead I say never say, never say never
Never say, never say never, never ever
It's the modern day era, so I can be anybody
Got me sippin' on liquor, someday I'll be an artist
Instead I say never say, never say never
Never say, never say never, never ever


Fuck it
If it didn't kill me, then it's gonna make me stronger
One day I'll make a killin', you should probly date a doctor homie
Let's be honest, I ain't waitin' on a coffin
I already got it bodied like I'm bangin' on a shotgun
Save it for the judge, call me later when the cops come
Blame it on the funk, baby, shake it if you got some
Hate me if you want, but my lady knows I got love
So if she wants some brain, I ain't singin' her a love song
I ain't in a hurry, I ain't bankin' on no pot luck
Till we bathe in milk and honey naked in a hot tub
Sippin' champagne, maybe we can get a top-up?
Gettin' busy all day, high as helicopters
Flyin' on a jet plane, red eye not a problem
On my way to Cali, gonna blaze one in the hot sun
Add a dash of lemonade and lime to my vodka
Got a genie in a bottle, still I'm dreamin' that I was one

If I had the answer, I could make it better
Give you everything you wanted just so you would stay forever
Instead I say never say, never say never
Never say, never say never, never ever
It's the modern day era, so I can be anybody
Got me sippin' on liquor, someday I'll be an artist
Instead I say never say, never say never
Never say, never say never

'Cause just when you think
That you lost it so you toss it in the trash
Lean back and watch it blossom in your hands
Lean back, never say, never say never
Never say, never say never
Whatever you think, think the opposite of that
Kick back and watch your opposite attract
Lean back, never say, never say never
Never say, never say never, never ever

If I had the answer, I could make it better
Give you everything you wanted just so you would stay forever
Instead I say never say, never say never
Never say, never say never, never ever
It's the modern day era, so I can be anybody
Got me sippin' on liquor, someday I'll be an artist
Instead I say never say, never say never
Never say, never say never, never ever",https://genius.com/Thundamentals-never-say-never-lyrics
Milk & Honey,Everyone We Know,2017,"Biddy by bit I dip, I dive, I bob, I weave
I rock my 
steez
 like Astro Boy with rocket feet on cloud 9
Biddy by bit I lift my mind up fly as fuck
Got a bird’s eye view on what I see, I don't need no down time

They said you can have it all
‘Cause in the land of milk and honey everything is catered for
They said you can have it all
‘Cause in the land of milk and honey, honey you can make a home
They said you can have it all
‘Cause in the land of milk and honey, buddy you can paint it gold
They said you can have it all, save your filthy money yuppie
What you in it for? I be on a roll

Hey yo if this is just a ride I'ma ride it till the saddle breaks
Bust my hide shake it like a hundred hungry rattle snakes
If it's greener on the other side I'ma be
A busy bee knee deep in pollen while the motherfucking cattle graze
But see I'm from Sydney city streets where the gritty teeth
Of piggies feed on silly sheep in sticky marinade
Sit and salivate as I pick a pretty peach and nab
A bag of apples from that trippy tree that Eve and Adam ate
Namaste, catch me sipping hippie tea, listen while I politic
On life and what it really means, that shit cray
Snatch a patty cake, my team be whipping cream, crème brûlée
Live the dream, no sour grapes, I'm down to build, so how you feel? What can I say?
Get up off of my case, quit tryna block my shine
I'm tryna knot my lace so I don't botch my clim, watch my rise way up high
Straight up why, reach for the sky
I said I'm just tryna reach for the sky, that's why

Biddy by bit I dip, I dive, I bob, I weave
I rock my 
steez
 like Astro Boy with rocket feet on cloud 9
Biddy by bit I lift my mind up fly as fuck
Got a bird’s eye view on what I see, I don't need no down time
Biddy by bit I dip, I dive, I bob, I weave
I rock my 
steez
 like Astro Boy with rocket feet on cloud 9
Biddy by bit I lift my mind up fly as fuck
Got a bird’s eye view on what I see, I don't need no down time

They said you can have it all
‘Cause in the land of milk and honey
 everything is catered for
They said you can have it all
‘Cause in the land of milk and honey, honey you can make a home
They said you can have it all
‘Cause in the land of milk and honey, buddy you can paint it gold
They said you can have it all, save your filthy money yuppie
What you in it for? I be on a roll

I'm on a roll again, well I guess we gotta roll again, we play to win
So spread them angel wings and let my soul ascend don’t cage me in
I’m rare as polar bears and as old as sin, I can see the light
That golden glare like a camera catching a panoramic solar flare
In the heat of night I’ma redefine what it is to be alive
Wanna glimpse then feast them eagle eyes
Heed advice, freedom is a piece of mind
Want a hint? Gotta read between them lines, this world is owned by pigs
They be disguised, little bird told me never throw my fist so instead I know my shit
I be defiant, beef with giants, defeat goliath with a mighty pen
When I speak in rhymes
I’ma buck them trends, mother fuck what Simon says
Got a liquor lip loaded gun, I’ma do my thing till my thing is done
Find me filling my cup, Jesse getting poured up, when I wasn’t on top y’all didn’t call once
Been spilling my guts ya’ll calling it emo, it’s all love from a brother like me though
I be chilling at the beach in the middle of the week with a blunt and a bottle of the pinot grigio
Vino for all my people that’s been repping the crew since day dot
We got rocket feet full of rocket fuel, call me Astro boy, ‘bout to take off

Biddy by bit I dip, I dive, I bob, I weave
I rock my steez like Astro Boy with rocket feet on cloud 9
Biddy by bit I lift my mind up fly as fuck
Got a bird’s eye view on what I see, I don't need no down time
Biddy by bit I dip, I dive, I bob, I weave
I rock my steez like Astro Boy with rocket feet on cloud 9
Biddy by bit I lift my mind up fly as fuck
Got a bird’s eye view on what I see, I don't need no down time

They said you can have it all
‘Cause in the land of milk and honey everything is catered for
They said you can have it all
‘Cause in the land of milk and honey, honey you can make a home
They said you can have it all
‘Cause in the land of milk and honey, buddy you can paint it gold
They said you can have it all, save your filthy money yuppie
What you in it for? I be on a roll
They said you can have it all
‘Cause in the land of milk and honey everything is catered for
They said you can have it all
‘Cause in the land of milk and honey, honey you can make a home
They said you can have it all
‘Cause in the land of milk and honey, buddy you can paint it gold
They said you can have it all, save your filthy money yuppie
What you in it for? I be on a roll",https://genius.com/Thundamentals-milk-and-honey-lyrics
Déjà Vu,Everyone We Know,2017,"Same shit, different day shift
Late night, hit the light switch
I used to feel safe in this blanket
I used to dream bigger than inside of my eyelids
But tonight I'm wide-awake
Waiting for them sheep to count
Wishing I could find a way to break the cycles I’ve built
‘Cause right now I'm freaking out

‘Cause it’s true, I've been sleeping
I've been sleeping on my dreams for way too long
That’s why you hear me saying
Déjà vu
Maybe one day I'll wake up
‘Cause I’ve been waiting on that day to come for way too long
That’s why you hear me saying
Déjà vu

I bought a ticket for the lottery
And I got every single number right
But I left it in the pocket of my grotty jeans
That were ruined when I threw them in the tumble dry
So now I’m sitting here staring out a window pane
Satisfied with this fat slice of humble pie
And I ain’t really down with this fucking rain but
I’ma stick around for the sunny side
Up at the crack of dawn, home in the dead of night
No time to dedicate, no time to set aside
Instead I get in line, I wish that I had it all
Slave to a dollar sign, pass me the Panadol
I’ve been on the edge, I’ve been tripping tripping
Yo, can I get a grip, I’ve been slipping, slipping
Yo, let me reminisce on this feeling, I’m feeling
Sick of hearing one day, I’ma make a killing but don’t

I've been sleeping on my dreams for way too long
That’s why you hear me saying
Déjà vu
Maybe one day I'll wake up
‘Cause I’ve been waiting on that day to come for way too long
That’s why you hear me saying
Déjà vu

I reminisce so much, déjà vu
I reminisce so much, déjà vu
Like Pete Rock and CL Smooth
Ayo, I reminisce over you, my god, déjà vu
I reminisce so much, déjà vu
I reminisce so much, déjà vu
Like Pete Rock and CL Smooth
Ayo, I reminisce over you, my god

I got a fire in my belly, you can see it in my eyes
Inspired by the many who could reach for the skies
Or light up the room in the dark with the vibrance of youth
Stay wise to the truth in your heart
An indigo child, spilt from the movement of stars
Soon to depart, only visitors sightsee
All I see is me and my team
Tryna add a dash of future that we scooped from the past
Flying at light speed, I been riding on a pipe dream
And it's got you thinking what one might be
Do you know the difference? Do you know what I mean?
Homie, be chill like ice tea, can you go the distance?
Tai chi, can you flow with me still?
Or are you sickened ‘cause my poetry’s ill?
Do you remember now we're older thinking back about the road that we built?
Are we over the hill? If it could only be real

Same shit, different day shift
Late night, hit the light switch
I used to feel safe in this blanket
I used to dream bigger than inside of my eyelids
But tonight I'm wide-awake
Waiting for them sheep to count
Wishing I could find a way to break the cycles I’ve built
‘Cause right now I'm freaking out

‘Cause it’s true, I've been sleeping
I've been sleeping on my dreams for way too long
That’s why you hear me saying
Déjà vu
Maybe one day I'll wake up
‘Cause I’ve been waiting on that day to come for way too long
That’s why you hear me saying
Déjà vu

I reminisce so much, déjà vu
I reminisce so much, déjà vu
Like Pete Rock and CL Smooth
Ayo, I reminisce over you, my god, déjà vu
I reminisce so much, déjà vu
I reminisce so much, déjà vu
Like Pete Rock and CL Smooth
Ayo, I reminisce over you, my god",https://genius.com/Thundamentals-deja-vu-lyrics
Blue Balloons (B.B’s Song),Everyone We Know,2017,"I wrote this for my friend
A friend I never knew
Now every single stage we grace they know your name
It's safe to say they throw their lighters in the air
I know that you were there
On that sun drenched afternoon
I felt your spirit in the wind
We threw a hundred blue balloons for you
A hundred blue balloons for you
I can not forget the view
And I've never known the truth
Like the words they spoke for you my friend, it's not the end
We're sending you a hundred blue balloons
A hundred blue balloons for you
I could not forget the view
And I've never known the truth
Like the words they spoke for you my friend, it's not the end
We're sending you a hundred blue balloons
A hundred blue balloons
A hundred blue balloons
A hundred blue balloons
A hundred blue balloons

W'dup brother, I'm penning you this letter
And you know I gotta send it even though we never met up
But I hope that you get this wherever you are
I hope you know in my heart I consider us connected
See myself reflected in you
A few years difference but rolling with a similar crew
We were two young fellas tryna make it out the mountains
And by all accounts man you sounded astounding
I know, yeah I know you were amazing
'Cause I recognise the written on the faces
Of your family and friends, I'm sorry for their loss
I'm offering my them my commiserations
This a dedication to the life
Of a beautiful soul I wish that I could've known
But I don't so I'm writing this poem just to say
I will never forget how I felt on that day

I wrote this for my friend
A friend I never knew
Now every single stage we grace they know your name
It's safe to say they throw their lighters in the air
I know that you were there
On that sun drenched afternoon
I felt your spirit in the wind
We threw a hundred blue balloons for you
A hundred blue balloons for you
We threw a hundred blue balloons for you
A hundred blue balloons for you
We threw a hundred blue balloons
A hundred blue balloons
A hundred blue balloons

This one's for everyone that's ever lost anyone
Does real closure even exist? Tryna find a bit of peace
Can't help but feel like everything is said and done
We're still left stricken with grief
And there's no time limits to heartbreak
So hard we can't shake the pain so we dwell on the loss
'Cause memories live on in the minds of your loved ones
Each tear's a memento shed in every drop
So if you're listening in just know that you were a gift
You're someone I'll never forget and it feels so surreal
That I never even met you in a pass life
I reckon we were probably friends
For those who did it goes one foot after the other
Tryna hold it together while bearing the weight
Just know I got love for the brother, I'll hold it forever
I feel blessed just to mention your name

I wrote this for my friend
A friend I never knew
Now every single stage we grace they know your name
It's safe to say they throw their lighters in the air
I know that you were there
On that sun drenched afternoon
I felt your spirit in the wind
We threw a hundred blue balloons for you
A hundred blue balloons for you
I can not forget the view
And I've never known the truth
Like the words they spoke for you my friend, it's not the end
We're sending you a hundred blue balloons
A hundred blue balloons for you
I could not forget the view
And I've never known the truth
Like the words they spoke for you my friend, it's not the end
We're sending you a hundred blue balloons
A hundred blue balloons
A hundred blue balloons
A hundred blue balloons
A hundred blue balloons",https://genius.com/Thundamentals-blue-balloons-bbs-song-lyrics
Ignorance Is Bliss,Everyone We Know,2017,"Whats poppin' bruh?
Yeah tell me what's crackin', yo what the fuck's happenin?
I’m half Anglo-Saxon dawg
The other half’s Latin, I'm basically smashin' it
I blend in with the masses but
I live in a spot where reality’s hideous
I gotta come clean on my privilege
I gotta tell you how it really is
I got male privilege
Straight privilege, white privilege
Get it every single second of the day
Every minute of the night type privilege
So when I hear a white person whinging
About how really they don’t see privilege
I'm like you’re a straight up idiot
You cannot be serious
If you don’t see that the systems insidious
Twisted and really designed for your benefit
Then you’re the silliest cracker I’ve ever met
Renderin' all your opinions irrelevant
Whoa! And I ain't reppin' it
But can choose to ignore so I'm livin' at large
The agendas supremacist
Look at my skin, I guess that i'm guilty as charged

Ignorance is bliss
Ignorance is bliss
But there's ignorance in my pigment
Do I get ignorant and get lit
If I don't admit to my privilege
From the pigment up in my skin
Then that's dumb shit, play the victim
'Bout as ignorant as it gets
Ignorance is bliss
Ignorance is bliss
But there's ignorance in my pigment
Do I get ignorant and get lit
If I don't admit to my privilege
From the pigment up in my skin
Then that's dumb shit, play the victim
'Bout as ignorant as it gets

Am I that boy in the bubble?
Am I oblivious? Am I indifferent?
Is prejudice something I've never experienced?
Have I avoided that struggle?
Have I been ignorant? Is it significant?
Something I choose to ignore or
Do I get defensive when the shit comes up?
Even though I never fed food to that thought
Hot damn!
Am I losin' my mind?
School forgot to mention racism is institutionalised
God damn!
Does that mean I’ve done something wrong?
Is it uncomfortable to hear the words that are sung in this song?
My bad
Have I been runnin' my lip or have I been runnin' away?
Has it been under my nose?
Has it been in front of my face?
Why do I have nothing to say?
White man
This world keeps screaming at you
Are you to insecure to listen to the inconvenient truth

Ignorance is bliss
Ignorance is bliss
But there's ignorance in my pigment
Do I get ignorant and get lit
If I don't admit to my privilege
From the pigment up in my skin
Then that's dumb shit, play the victim
'Bout as ignorant as it gets
Ignorance is bliss
Ignorance is bliss
But there's ignorance in my pigment
Do I get ignorant and get lit
If I don't admit to my privilege
From the pigment up in my skin
Then that's dumb shit, play the victim
'Bout as ignorant as it gets

I'm gon' get it right
One day we gon' get it right
Right, I'm gon' get it right
One day we gon' get it right
Right, I'm gon' get it right
One day we gon' get it right
Right, I'm gon' get it right
One day",https://genius.com/Thundamentals-ignorance-is-bliss-lyrics
My Friends Say,Everyone We Know,2017,"My friends say
To wait, I should be patient
Fuck that
I say
This life is for the taking
Don't look down

Middle finger to a hater throwing shade upon the life that I love
Ayo ayo ayo ay
And we don't listen when they're saying to be patient, I’ma take what I want
Ayo ayo ay
Keep your head up, baby, don’t look down
Keep your head up, baby, don’t look down
I’m only ever gonna hold you up so
Don’t look down

My friends tell me to wait my turn but I don't waste time
Earn a bit of respect right before I take flight
See it all with my third eye from a great height, that's a bird’s eye
Stage dive on these snake types that be circling like great whites
Fuck a shark attack, I'm too smart for that, but this life ain't what it seems
It’s hard for people to understand the type of life I lead
I be jumping up on that airplane, steady chasing that cream
I might make a bit of paper, but it's never making me

My friends say
To wait, I should be patient
Fuck that
I say
This life is for the taking
Don't look down

Middle finger to a hater throwing shade upon the life that I love
Ayo ayo ayo ay
And we don't listen when they're saying to be patient, I’ma take what I want
Ayo ayo ay
Keep your head up, baby, don’t look down
Keep your head up, baby, don’t look down
I’m only ever gonna hold you up so
Don’t look down

Before I had to start again I thought I’d hit my peak
I guess that man in the mirror he must of been kidding me and
I’m still tryna build that home in my head
You call me crazy, what’s the deal homie? Be fair
Spare me the grief
Instead stare at the stars with not a care in the world
I'm not scared to believe
On a search for a heart of gold
I wear it on my sleeve
Everywhere I go
Tryna find that inner peace just like everyone we know
So when

My friends say
To wait, I should be patient
Fuck that
I say
This life is for the taking
Don't look down

Middle finger to a hater throwing shade upon the life that I love
Ayo ayo ayo ay
And we don't listen when they're saying to be patient, I’ma take what I want
Ayo ayo ay
Keep your head up, baby, don’t look down
Keep your head up, baby, don’t look down
I’m only ever gonna hold you up so
Don’t look down",https://genius.com/Thundamentals-my-friends-say-lyrics
Reebok Pumps,Everyone We Know,2017,"I’ma twist a swisher, we can roll a tree
You can get up on it homie, pass the OCBs
I’m getting older, riding dirty like I’m ODB
And since a young’un I’ve been suffering from that OCD
I guess I got a problem never wanna get my sneakers scuffed
I remember working jobs saving up for months and months
Ever since I saw Dee Brown do a no look dunk
I been on the hunt for the original, the Reebok Pumps
Omni lights, there was something ‘bout the way it was
Black and White, with the b-ball logo all up on the tongue
It was love, had no other options but the high tops
When I’m dead and buried want a pair up in my pine box
My gosh, lads be repping TNs on their Nike Max
Fuck around I bring the '80s and the '90s back
That’s just how it is for me, feels like the epitome of hot
Like my honey with some Pumps on her pretty feet

You’re blowing up the spot in your Reebok Pumps
Damn girl you do it every time
It’s all I ever wanted, yo, it must have been a sign
A slice of the heavenly divine, ‘cause you keep
Blowing up the spot in your Reebok Pumps
Damn girl you’re fucking up my mind
It’s all I ever wanted, yo, it must have been a sign
A slice of the heavenly divine in your Reebok Pumps

Pump it up, up, up, up, up, up, up, up, up, up
In your Reebok Pumps
Air it out, out, out, out, out, out, out, out, out
In your Reebok Pumps

Yo, let me take you down that memory lane
Before I used to ride a skateboard down it everyday
Growing up I never really felt like all the other kids
With their pumped up kicks like their feet were puffer fish
Bro, let’s be honest here I never owned a pair
Until I hooked a mate up with some chronic and they loaned me theirs
Pump it up, air it out, YOLO fucking swag
Stuff them crummy bubble wrap booties in your bummy duffle bag
I be rolling deep like it's 1989
Retro classic shit, custom fit, fabulous, I’m crazy fly
Holy cow, I be balling on a budget now
Space Jam T check me out, Bugs up on the front, don’t fuck around
Shout out to my Nike heads, they one-upped the stakes
But but Reebok run the game back when I was underage
That’s just how it is for me, feels like the epitome of hot
Like my honey with some pumps on her pretty feet

You’re blowing up the spot in your Reebok Pumps
Damn girl you do it every time
It’s all I ever wanted, yo, it must have been a sign
A slice of the heavenly divine, ‘cause you keep
Blowing up the spot in your Reebok Pumps
Damn girl you’re fucking up my mind
It’s all I ever wanted, yo, it must have been a sign
A slice of the heavenly divine in your Reebok Pumps

Pump it up, up, up, up, up, up, up, up, up, up
In your Reebok Pumps
Air it out, out, out, out, out, out, out, out, out",https://genius.com/Thundamentals-reebok-pumps-lyrics
