title,album,year,lyrics,urls
24K,"Last Year Was Weird, Vol. 2",2020,"Oh yeah, top of the morning, ladies and gentlemen
We flyin' above the sky
It's thirty thousand feet in the air right now
Last Year Was Weird
LYWW Radio, let's go

Days fly by witnessed
But you're caught up in the minute
Mind your own business (Yeah, yeah, yeah, yeah)
Mind your own
Days fly by witnessed
But you're caught up in the minute
Mind your own business (Ayy)
Mind your own

Yeah, I'm really on that private
Flow nice, but I'm never autopilot
Niggas tryna get accustomed to my climate
Finest tarot card, I'm the highest
Flightless birds running like a virus
You can't ride with me, solo ride pirate
And my ego bigger than the Mack truck
Tryna act tough, you might have to cut the banter
And give me five feet stat, nigga, back up
Gettin' way too close with that bad luck
Diamonds are the only ones that match up
And mad ones in my crew tryna pass up
I'm in my element, less is relevant, on a regimen
To my excellence, bitch, do not disturb
Say it once, not twice or I pick up the nerve
I'ma say it one time, better do not disturb
I'ma raise my fees, drive the Benz with the skrrt
Make a nigga wanna hit it but it do not occur
Make a rude bitch mad 'cause my ice got the brr
And your friends pullin' up 'cause my M's lookin' up
Yeah, young, reckless, you can't test it
My game bigger 'cause I'm built like Tetris
New thing, got a groove like Elvis
Going too ham, yeah, don't touch my precious

Days fly by witnessed
But you're caught up in the minute
Mind your own business
Mind your own
Days fly by witnessed
But you're caught up in the minute
Mind your own business
Mind your own

Do you mind?
We don't have no reasons to rewind
Give me two feet, we're out of time
We don't have no reasons to rewind
Mind your own (Yeah)

I been blessed by the gods (Yeah)
Divine my spirit, I'm against all the odds
But I keep winning 'cause I pledge what I say
Yeah, I do what I say, you can leave me alone
Been a wallflower but I lead by my own
Cleared though, chakra, left my demons at home
Got a LV bag with a 40 tag
I be way too clean, you can't jack my swag
Nigga wanna hate, well, that's way too bad
Too much on my plate that I can't compromise
If you can't keep the rhythm, gotta take what you have
'Cause everybody works, I'ma take all my time
If you ain't know know, now you best know now
The one-one, mighty and the best know-how
On to the next, never do slow down
Yeah, they wanna peep, but they can't solve mine

I didn't need a present
Didn't you learn your lesson?
Why did you think that I would let you in?
No, I don't roll that way
I didn't need a present
Didn't you learn your lesson?
Why did you think that I would let you in?
No, I don't roll that way

Days fly by witnessed
But you're caught up in the minute
Mind your own business
Mind your own
Days fly by witnessed
But you're caught up in the minute
Mind your own business
Mind your own

Do you mind?
We don't have no reasons to rewind
Give me two feet, we're out of time
We don't have no reasons to rewind
Mind your own
Do you mind?
We don't have no reasons to rewind
Give me two feet, we're out of time
We don't have no reasons to rewind
Mind your own

Oh yeah, you listening to that LYWW Radio
Sounds of weird shit",https://genius.com/Tkay-maidza-24k-lyrics
Afterglow,TKAY,2016,"Where did everybody go?
Where did everybody go?
I'm still standing on my own
Basking in the afterglow
Where did everybody go?
Quick they come and fast they go
I'm still standing on my own
Wait too long you'll miss the outro
I'm shifting gears
I'm clearing all the angles
Told you that you should
Watch now my zone has no tangles
Now bright as the day, their talking is ample
They said I was falling off til I left
Them having like bangles
(Why they?)
Saying numbers, they never move the ball
(Why they?)
Picture places i see them hot and cold
(What they think)
Isn't real they were out when it was told
They doing chinese whispers
Telling tales to fit the mould

I'll take advantage
Land on these people
They in atlantis
They pray for magic
I just be in it
Straight edge not manic
Panic, sheep they panic
Look for light in the stables
Might have to show the diff
I'm moving up the cable
I've seen it, seen it and been frustrated -started
Focused only, attention will not be catered
Save it, save it, seeing, seeing no one
I go in
I'm super saiyan
Never Playing
They blaming
Can't contain it
If I'm rested It's looking dangerous
 x 2
Chances you can find me's
A needle right in the haystack
Too busy looking up they're coming at
Me with payback
If you're not making sense then
Come back when you have status
And keep it quiet x2
 x2
Where did everybody go?
Quick they come and fast they go
Where did everybody go?
Wait too long you'll",https://genius.com/Tkay-maidza-afterglow-lyrics
Always Been,TKAY,2016,"What, what, what, what
What, what, what, what
What, what, what, what
What, what, what, go
(Hey!) What, hey, hey
(Hey!)What, what, yo yo
(Hey!) Always been going in
(Hey!) Always been going in

Yes, I'm a self-made disaster
But there won't be anyone after
They'll look at my name and they will see my reign
And they'll want to experience rapture
They comin' but this a new chapter
And this ain't no ark I revive than I shatter
I'm haunting these niggas
Like my name is Casper
And they'll say my name until you're calling a pastor (Huh!)
I feast on the words of the matter
If this was a race would you catch up?
They tripping and I'm going faster (Huh!)
And I be working no time to elaborate
Killing them softly and I don't exaggerate
Spitting so hard that I need to re-hydrate (Hit it)

Always been going in
(I be I be)
Always been going in
(I be I be)
Always been going in
(I be I be)
Always been going in

Yo, I will capitalize on these fractions
Pay no mind these are my actions
Dusty ass bitches they asking
Fuck every question you asking
They ain't legit but I always been
Wanna be on top but I always been
Niggas the same and they always been
And I never with them and that's always been
Always been going in
Gotta line up but I'm always in
There is no limit I'm going in
And when it's my time, yup I'm going in
Always been going in
They all the same and they always been
Right on my grind and I'm going in
And I stay with my team and I always been
Huh!
(Always been)
Always been going in
Huh!
Always been going in
Huh!
Always been going in
Huh!
Always been going in

They all can suck it like they have sore thumbs
Question my thoughts am I really alone?
Been here since day one and this is the sum
I bet when people see me they stick on like gum
Checking my list because I have in mind
Chasing beyond what is seen at this time
They over the moon but they seem to forget
The time is what matters and then getting it right
When I work and I work all these people they search for
They wrong they don't get that I'm really rehearsed
Seen all their words and it really gets cloudy
These people can't use what I've been in their sound (Huh!)
Soon, I'll be dropping my cards
And everything else that has happened so far
Because they were wrong when they said I was timed

But they wrong (laughs)
But they wrong
But they wrong
Like, they wrong
I don't know, I just kill it every day
(I know right?)
(But what, yeah)

Yo, I will capitalize on these fractions
Pay no mind these are my actions
Dusty ass bitches they asking
Fuck every question you asking
They ain't legit but I always been
Wanna be on top but I always been
Niggas the same and they always been
And I never with them and that's always been
Always been going in
Gotta line up but I'm always in
There is no limit I'm going in
And when it's my time, yup I'm going in
Always been going in
They all the same and they always been
Right on my grind and I'm going in
And I stay with my team and that's always been
(Huh!)
Hey hey hey hey!
(What)
(Huh!)
Hey hey hey hey!
(What)
 
(Huh!)
I alway-alway-always been
Going in",https://genius.com/Tkay-maidza-always-been-lyrics
At Least I Know,TKAY,2016,"1 + 1 equals 2
All of your people can't add up the two
Trying to flex but can't tie up a shoe
Who are you to ask me where I've been?
You haven't paid attention I'm moving the cubes
Trying to stop me but not paying dues
Never be seeing what you have accused
I know better better 'cause I've seen it
Wanted to be what you wanted and now
You cannot see what is real in this cloud
Surrounded yourself with what you didn't count
Right off the radar like planes in the south
Changing the scripts, leaving you in the out
It's  nothing to you, you're better left now
Know what to lose and what you shouldn't doubt
'Cause I am still here, what is yours isn't ours anymore
Can you look at how you turned things inside out?
Flames caught fire from what we laughed about
At least I know that you weren't right for anything
At least I know that you weren't right for anything
The way that I'd seen you couldn't have changed
At least I know that you weren't right for anything
At least I know that you weren't right for anything
Round it up up, til they go down
Looser now 'cause the place sold out
Missing you but I've made more progress
Since you been a mess grinding hard
I'm in this I go, I been out
Your conditions weren't vibing loud
I get the distance all made you trip
But a listen in will make you sprout
Seeing the difference I now see what matters
Some want me to stay for their own and some scatter
Better alone and I'm dreaming the battle
Is not with some immature people who babble
I'm in a different minds state, you don't travel
Look in my head, you can see it unravel
Constantly questioning why all these people
Are stuck in a box never changing the channel
If you had your way I know you
Would've taken all of me
I couldn't handle it
If you had your way I know you
Would've taken all of me
I wouldn't handle it",https://genius.com/Tkay-maidza-at-least-i-know-lyrics
Awake,"Last Year Was Weird, Vol. 2",2019,"Wake up!

Late night, probably awake (Yeah)
Text me, probably awake
FaceTime, probably awake
Rollin', rollin' up and down the place (Yeah, yeah, yeah, woo)
Late night, probably awake (Alright)
Text me, probably awake (FaceTime)
FaceTime, probably awake
Rollin', rollin' up and down the place

Yeah, I take the wheel with my one hand
Devil in a dress, carry tricks in a bum bag
Swervin' on the beat, drop the heat, then I dispatch
Cutting all the weak leeches like a wristband
Late night hitman, focused, tryna get the big bag
Bass big slap, make your neck feel the whiplash
Ain't no motherfucker with the drip, quit the chit-chat (Shut up)
Had to pop some niggas off my list like a Tic-Tac, yeah
I don't really know how to be tired (To be tired)
I don't really know how to be tired (Adderall)
ADD, my day's like a riot (Flames)
If the beat is David, I'm Goliath (I'm giant)
I don't really know how to be tired (Woo)
Waving black flags like a pirate (Uh)
24/7, I be wired (Alright)
365, I'm alive

Late night, probably awake (Yeah)
Text me, probably awake
FaceTime, probably awake
Rollin', rollin' up and down the place (Yeah, yeah, yeah, woo)
Late night, probably awake (Alright)
Text me, probably awake (FaceTime)
FaceTime, probably awake
Rollin', rollin' up and down the place

Creeping (Uh), one deep outside, we sleeping (Yeah)
P226, I'm a demon (Huh)
Double heat, double the fun, double meaning (Ooh)
Niggas can't even handle what I be concealing
Selling 'caine, you're not able to have a weekend (Nah)
Now you're hostile (Wow)
Is it because I'm getting money like a Rothschild?
I'm never sniffin' the charts, but I'm puttin' the hits out (Yeah, nigga)
I'm making snuff films, bitch, I got the clip out
These silly niggas happy that I got a roll now
Real rapping (Uh), real niggas get money, kill actors
Pussy, I'm pullin' up on you because you cappin' (Yeah, yeah)
Niggas be pullin' up on you like, ""Yo, what happened?""
Your bitch ass on Instagram taggin' (Huh, huh)
Bitch, I play tag with a motherfuckin' handgun (Huh)
Set a nigga up, I'ma make it look random
Cock that shit and hit the pussy from the back
They gon' think you slipped and lost your balance
Johnny got blitzed, he wasn't playing Madden (Huh)
Uh, sucka ass niggas shoulda kept to rapping
Bitch

Late night, probably awake (Yeah)
Text me, probably awake
FaceTime, probably awake
Rollin', rollin' up and down the place (Yeah, yeah, yeah, woo)
Late night, probably awake (Alright)
Text me, probably awake (FaceTime)
FaceTime, probably awake
Rollin', rollin' up and down the place

Go to sleep, pray for weeks
Lock your doors and count your sheeps
I'm doing drive-bys in the twilight
High like cicadas in the wildlife
CC-TV on the side
I green night vision, open wide
I cannot go to bed

Late night, probably awake (Woo)
Text me, probably awake
FaceTime, probably awake (Yeah, yeah, yeah, woo)
Rollin', rollin' up and down the place (Woo, alright)
Late night, probably awake (FaceTime)
Text me, probably awake
FaceTime, probably awake
Rollin', rollin' up and down the place (Woo, yeah)

Stress and anxiety can lead to substantial barriers to sleep
So now look at your clock and tell me to increase pressure, like that sleep
Creating new habits are obviously something to be remembered
If you're having a nice night of sleep by doing them
Lastly, the best way to overcome insomnia is preparing your brain for sleep
For sleep
For sleep
For sleep
For sleep",https://genius.com/Tkay-maidza-awake-lyrics
Big Things,"Last Year Was Weird, Vol. 1",2018,"Big things come and they run away
Take it as it comes, there's no time to waste
Big things come and they run away
Take it as it comes, as it comes

Big things come and they run away
Take it as it comes, there's no time to waste
Big things come and they run away
Take it as it comes, as it comes

One door opens, another closes
I wonder yeah, I wonder that's the way it goes
Remind me that there's no way I will ever lose control
Eyes for the clouds, higher than life I go
One door opens, another closes
I'm driving to the sunrise, confidently low
And no one  between the words of an open road
Eyes for the prize, I see the light

And I can almost touch the sun but
What is the price I have to pay?
And I don't need one to survive
Just like my father always said

Big things come and they run away
Take it as it comes, there's no time to waste
Big things come and they run away
Take it as it comes, as it comes, as it comes
Big things come, we don't shy away
Take it as it comes, there's no time to waste
Big things come and they run away
Take it as it comes, as it comes

Destiny never comes in late
It's on my mind, they told me time isn't on my hands
I've known what's smart since I was 9 and I see (?)
Eyes for the clouds, higher than the life I go
I'll take a minute but I won't give up
Tears is good but fear is all you know
Always fit where they say don't belong
Stirring my own wheel
I'm driving blind but it's worth fighting for

Big things come and they run away
Take it as it comes, there's no time to waste
Big things come and they run away
Take it as it comes, as it comes, as it comes
Big things come, we don't shy away
Take it as it comes, there's no time to waste
Big things come and they run away
Take it as it comes, as it comes
Big things come and they run away
Take it as it comes, there's no time to waste
Big things come and they run away
Take it as it comes, as it comes, as it comes
Big things come, we don't shy away
Take it as it comes, there's no time to waste
Big things come and they run away
Take it as it comes, as it comes

And I can almost touch the sun but
What is the price I have to pay?
And I don't need one to survive
Just like my father always said
Big things come and they run away
Take it as it comes, there's no time to waste
Big things come and they run away
Take it as it comes, as it comes",https://genius.com/Tkay-maidza-big-things-lyrics
Brontosaurus,,2013,"Stomp your feet like a Brontosaurus
Your feet like a Brontosaurus
Stomp your feet
Stomp your feet
Stomp your feet like a Brontosaurus

Who you be
You niggas ain't got enough crew to be
Don't set in the water appeal to me
I'm chilling, I'm doing my thangs
You niggas is in different range
Ain't new to me, staring like you've got a clue to be
Another who bothers my stew you please
Be clearing my ceiling you wang, I'm all by myself got no rang

Walk your feet, walk, walk, walk your feet
Walk your feet, now move your feet
One, two, move your feet, move your feet
Now step the beat, left, right, step the beat
Step the beat, now stomp your feet
Stomp, stomp, stomp your feet
Stomp your feet
Stomp your feet like a brontosaurus
Your feet like a brontosaurus
Stomp your feet
Stomp your feet
Stomp your feet like a Brontosaurus
Stomp your feet like a Brontosaurus
Stomp your feet like a Brontosaurus


It should be me you thank
But you's still be rank
I know what I know what I got to see
My nigga is gone like a jubilee
Your fellas and bella is pedigree
Were stomping our feet like before the pre's
I got me some gold and some 80G's
You got you no gold but some 80s Jeans",https://genius.com/Tkay-maidza-brontosaurus-lyrics
Carry On,TKAY,2016,"They say they’re coming for me
But I don’t want none 'cause I really don’t care and I’m still kinda young
Ruthless ready renegade they all want some this may be communism but I tell you this is mine

Watch, what you've been thinking (I said it all)
Watch, what you've been thinking (Now carry on)
Watch, what you've been thinking (I said it all
Watch, what you've been thinking (Now carry on)

All these people popping round
I swear I need an Adderall
But I won't let them witness
It's enclosed what I think
Teacher keep on questioning
And pointing out my novice
Now they jamming to my jingles like they're on a ice rink
Rocking jeans from Crossroads, and reading out the Cosmos
If they're looking like an issue, wipe them off the windshield
Nothing left to lose I'm stepping with the same attire
And I know you feel the heat because I'm nothing less than fire

They say they’re coming for me
But I don’t want none 'cause I really don’t care and I’m still kinda young
Ruthless ready renegade they all want some this may be communism but I tell you this is mine

What, what you've been thinking (I said it all
What, what you've been thinking (Now carry on)
What, what you've been thinking (I said it all)
What, what you've been thinking (Now carry on)

Yo

Hey Tkay baby they be hating your fresh
The more you rise they tell you comprise your best
I say fuck em I say get that bullshit off your chest
Don’t let a hater cause a bead of sweat on your breast
Baby keep it cool it’s the first day of school
Knowing you’re a rebel and about to break the rules
The old folks scared and they want you to be too
Handling you like a toddler. What they want you to be to?
Shit handling like pride tell them no bish no
The world is for the taking take all bish all
You the game oner I say ball baby ball
You the shit no toilet paper no stall
And baby I’m the butt naked truth no drawl
Anybody this SQUEAKY get the ooh and the uh
And that’s from your brother from another mother
Make sure you stunt hard and you shine on a SUCKMOTHER

They say they’re coming for me
But i don’t want none cause i really don’t care and i’m still kinda young
Ruthless ready renegade they all want some this may be communism but i tell you this is mine

I set it off
Now carry on
I set it off
Now carry on
I set it off
Now carry on
I set it off
Now carry on

Still kinda young—I'm still kinda young
Still—still—still—still kinda young
Still kinda young—I'm still kinda young
Still—still—still—still kinda young

High like the Himalayas I'll keep it and they be nothing
Tryna get on this scale
But they tripping
Slipping and puffing
Killing the mic with Killer Mike
Busy, and moving moving
The circle is smaller, smaller
But focus
Made me a nuisance. Witness, witness
Got no business
I don't hinder, why you vicious?
Minutes minutes
I don’t have, you not really fitted
Then forget it
Carry on, you’ll never find me, if you get in there
You see, that I don’t care
Cause I’m too young
To be prepared

They say they’re coming for you
But i don’t want none cause i really don’t care and i’m still kinda young
Ruthless ready renegade they all want some this may be communism but i tell you this is mine

Watch what you've been thinking (I said it all)
Watch what you've been thinking (Now carry on)
Watch what you've been thinking (I said it all)
Watch what you've been thinking (Now carry on)",https://genius.com/Tkay-maidza-carry-on-lyrics
Castle In the Sky,TKAY,2016,"We're in the castle and they're trying to get into our heads
We're dreaming wild now, visions are burning up red
Keep it down, down, down, but the rhythm won't spare
We're in the castle high painting skies with our own flair

It's like we are the rolling stones and it's the battle of the ages
Our dreams are made of flesh and bones, guarding our fortress from the dangers

We're in the castle and they're trying to get into our souls
We see no limit so high so we really can't fall
Another round, round, round
Yeah we're swimming in gold
We're in our castle they're jelly
Cause they're watching us glow

It's like we are the rolling stones and it's the battle of the ages
Our dreams are made of flesh and bones, guarding our fortress from the dangers 

We're in the castle and they're trying to get into our heads
We're dreaming wild now, visions are burning up red
Keep it down, down, down, but the rhythm won't spare
We're in the castle high painting skies with our own flair

We're rolling, and falling
We're rolling, and falling
We're rolling, and falling
We're rolling, and falling
We're rolling",https://genius.com/Tkay-maidza-castle-in-the-sky-lyrics
Don't Call Again,"Last Year Was Weird, Vol. 2",2020,"I said it all, all I need to say
No, don't hit my line (
No
)
Please don't call again
I said it all, all I need to say
No, don't hit my line
Please don't call again, ayy

Persistin' with the story, you're still tellin' lies
I seen it all before you, boy, so many times
Tryna get ahead, pokin' into my view
But you're messy with the plan, see the smoke in the mirrors
Distant with the truth, tryna get control
Instead you're causin' damage you don't even know
You just carry on carelessly, not alarmed
Trippin' over, fallin' back

Ooh, I fell
Ain't no switchin' up now (Ain't no switchin' up)
Ain't no change of heart (Ain't no change of heart)
No, there's no other way

I said it all, all I need to say
No, don't hit my line (
No
)
Please don't call again
I said it all, all I need to say
No, don't hit my line
Please don't call again, ayy

I'ma keep it a buck with ya, I don't fuck with ya
You can't come around, I won't smoke no 'rill with ya
Tried to play me like I'm crazy, lately, you been movin' shady
Thought I was your lady and one day we'd ride Mercedes
But now the love is dead, can't believe a thing you said
Must've slipped and bumped your head, you should probably get that checked
'Cause I saw you on the scene with that bitch named Antoinette
I regret the day we met, would rather be strangers instead, so
[Pre-Chorus: Tkay Maidza 
with Kari Faux
]
Ooh, we fell
Ain't no turnin' back now
Because once I am through with you
Know that you can't bang my line

I said it all, all I need to say
No, don't hit my line (
No
)
Please don't call again
I said it all, all I need to say
No, don't hit my line
Please don't call again, ayy (I said it all)

I got some new emotions in me, hope you never notice
You got my vision hazy, hangin', almost lost my focus
Out of murky water, I would blossom like lotus
I guess that getting hurt is just a big part of the process
You go on, you go on with it (
On with it
)
Ridin' 'round like a thief that spent low for it (
Yeah
)
This probation got you where you at, fade to black
There's no way to retract, get you back on the track

All I need to say
I said it all
All I need to say",https://genius.com/Tkay-maidza-dont-call-again-lyrics
