title,album,year,lyrics,urls
Last Chance,Distant Sense of Random Menace,2004,"Somewhere in the desert is a telegraph pole
Holding up a telephone line full of copper wires
With your voice and mine and a profound silence
Trying to build a word-bridge between our islands
I'd like to hold you but like I told you it's hard
To look beyond tomorrow with this wounded heart
Like a lion tamer who got mauled by his favourite
This memory's still painful, time won't erase it
And you've been through the same shit, ain't this, strange how, life shifts
When you least expect it, Cupid beckons
And love can live or die in a second
So I'll say it now or forever wonder if, if
Would our grip have slipped or was this the real shit?
I pour some more change into the payphone
And If there's something that you gotta say, please say so

The last chance, this'll be the last time
This'll ever feel like this so don't miss
The last chance, this'll be the last time
This'll ever feel like this so don't miss

I met her when I wasn't in a good state
Sore sight couldn't sleep right toss and turning all night
You see I've never been a ladies man so wasn't like
I whispered softly in her ear ""yo baby let me take your hand""
I try to play it cool though inside I'm inanimate
Frozen up impossible to play like a real candidate
Yeah I'm an MC they all call me 'wordsmith'
But somehow the context changed and all the words miss
But who'se to say you're not my life's purpose, It's Urth
At your service, for once there's no question I'm certain
But little does it translate, until the dam breaks
I've got no rabbit in my hat yeah I'm not Mandrake
I haven't got a trick, and no pick-up line
Give me a sign and I'll repay it in kind
Multiply it a by a dozen and we can call it a day
And if you were inside my arms then this is what I would say

The last chance, this will be the last time
This will ever feel like this so don't miss
The last chance, this will be the last time
This will ever feel like this so don't miss

I would've told you I was inspired, in awe
Enthralled captivated by the way you bring
Your self to the task, food for the starved, love
For the heart, talking deeply, still sharing laughs
And if I'm half what you are well I'm content
When I have a couple kids I hope to pass on your sense
And damn, I've seen the way that life can slip through the fingers
Death might interrupt but the love will still linger
My friend said that losing love is like a death
But then love lingers long after the final breath
And these sentiments I'm thinking of in retrospect
Got me really wishing that you hadn't left us yet
And if I'd known of what you were gonna do what could I say?
A magic phrase or two which would've made you stay?
In the storm cloud of your life you were the silver lining
And in each one of our hearts your star is still shining

Resolve it all before you sleep man
This could be your last chance (this could be your last chance)
It's water underneath the bridge man
This could be your last chance (this could be your last chance)
Because no one lives forever man
This could be your last chance (this could be your last chance)
It's either do it or regret it man
This could be your
 {x2}
Last chance, this will be the last time
This will ever feel like this so don't miss
The last chance, this will be the last time
This will ever feel like this so don't miss",https://genius.com/Urthboy-last-chance-lyrics
No Rider,Distant Sense of Random Menace,2004,"I was working as an MC the other day
With a cup o' instant coffee and some marmalade
It's hard to play when just wanna run away
It's underlay underlay since underage
Then the phone rang ""It's Urthboy here
I'm Elefant Traks just like Kenny Sabir""
""Hi, someone led me to believe you're an MC
I've got an offer that would maybe even tempt me
What I meant means we give you a set fee
You play at our gig for peanuts and a little prestige""
Ah so the rest see me as a success
But I'm struggling to pay rent with records to press
But yes I agree to it, how can you not?
Thinking of the fluid with the international slot
I've got no time for rhymers, slash social climbers
It's just another gig I'm doing for the rider

There is no rider my friend, so why we doing this then?
We all go broke by night end (like, broke as hell, can't you tell)
There is no rider my friend, so why we doing this then?
We all go broke by night end (broke as hell, it's not hard to tell)

Leave the house, lock the door, catch the bus
Or the train, it's a rush tame the peak hour crush
To the venue, nothing but trouble on the menu
Cock-rocking headstrong soundmen to get through
This shit can really send you to the pub next door
Either that or make sure he leaves with a broken jaw
(Ahh) nah man I'm just joking around
Just hoping to soundcheck without choking this clown
I'm just about over it now and I'm not hopeful
Can I get a test vocal from the pleb locals
This opals got rough edges and a hard centre
I'm doing it for the love music's my warm sweater
Kinda like a second placenta so when I enter
In performance endeavours there's Desmond Decker-like measure
And ever different, but listen, there is that divider
Drink up cos the other act will steal all ya rider

There is no rider my friend, so why we doing this then?
We all go broke by night end (broke as hell, it's not hard to tell)
There is no rider my friend, so why we doing this then?
We all go broke by night end (broke as hell, it's not hard to tell)

I was working as an MC the other night
With a couple shitty mics and an appetite
Cook MCs like, look it's a parasite
Eat em up but first wipe the dirt out of sight
I'm your superman's cryptonite talkback
Shock jock sponsorship, politicians dirty money
Heard you coming from a mile away you got the
Right-of-way yeah that's what all the rhymers say
I'm inclined to play cos in the end it's entertainment
Crafted and created, loungeroom and the basement
Break-in, and of the things stolen by the sly crooks
Cash, backpack, laptop and rhymebook
Start from scratch, and scrap the last seventy-ish
Pull out every second hair and tear em to bits
Material things are gone with the pied piper
(Okay Winona, I'll do it for the Ryder)

There is no rider my friend, so why we doing this then?
We all go broke by night end (broke as hell, it's not hard to tell)
There is no rider my friend, so why we doing this then?
We all go broke by night end (broke as hell, it's not hard to tell)",https://genius.com/Urthboy-no-rider-lyrics
Come Around,Distant Sense of Random Menace,2004,"Now don't ever come around unannounced
Nor if you announce there's one too many run of outs
One too many counts far too many dumb it down
I came here to do my job, not to hear your run-around
I do okay believe me man I ain't come to pounce
I haven't come to scrounge I haven't come to cut you down
I don't want no gown, I'm not trying to hunt your crown
No twenty-one gun salute flags or trumpet sounds
I'm just running now, and yeah it's summer now
It's warmer in the water yet I sorta wonder how
How it's cold now, I see your thunder clouds
But you should keep it in a teacup and just shut your mouth
Simply cut it out your one number I'm rubbing out
Not number one or even 101 still you strut about
From middle to the mainstream and the underground
Your not in this struggle so don't you ever come around
""Get out of my sphere""

Yeah I'm warm but that's volcano ash
Followed by scolding golden molten lava trapped
It's no, party track it's a, heart attack
It's a master's tact with scars to match
It's a card saying don't come back I'm part of that
It's upside your neck til you start to scratch
But I'll stand my ground put on a harder hat
It's impossible to get here if you can't adapt
To the karma-strapped, to the ignorant and out-spoken
Talkback radio always with their mouths open
Big money brokers dressed all sugar coated
All the way to presidents who never should've got voted
In, treacherous seas we all sail hoping
Tomorrow's calm but I can't cos your arms choking
This little neck of mine, but don't look for tears
Just simply don't attempt to ever come around here

There's a million other places underneath the stars
It's an extra large planet filled with people and cars
But I'll tell you this again if it's not quite clear
That I don't want you coming round here
There's a million places underneath the stars to see
It's an extra large planet filled with Adam and Eve
But I'll tell you this again if it's not clear
""Get out of my sphere""

I don't want your money nor your pre-emptive wars
Or your small talk hawks or your live cause
You can keep your Porsche mansions and tennis courts
Interact with power tripping like it's intercourse
Let me have my book, let there be a pen with ink and
Silence in a busy day to have a little time to think
Let a little peace prosper in the middle east
Without politicians boiling up the bitter heat
Drop a feast at famines feet do you follow me?
There's so much more to life than fueling the economy
Give apologies acknowledge we're on stolen land
Say the obvious it's conscience, not the dollars man
I'm just a common man, I like the simple life
Thankful for my luck is how I'm livin' right
I thought I made it clear, do you understand dear?
Don't ever think of coming back around here!
 {x2}
There's a million other places underneath the stars
It's an extra large planet filled with people and cars
But I'll tell you this again if it's not quite clear
That I don't want you coming round here
There's a million places underneath the stars to see
It's an extra large planet filled with Adam and Eve
But I'll tell you this again if it's not clear
""Get out of my sphere""",https://genius.com/Urthboy-come-around-lyrics
Keep It Relevant,Distant Sense of Random Menace,2004,"I never ever entered any beauty contest
And I never gave a shit about a supermodel search
And this verse first busted on my twenty-third birthday
Earned some cash for rent, now it's rehashed and bent
Spent like government cents, in the the bank
Out the bank like the  tell us their thanks
 crank it up like the PA at a death metal gig
This is no lecture or a lesson, I'm just 
You wanna show the world your flow bro 
I listened to your whole album and it wasn't that great
Haven't dug into crates as much as searching my mind
You're looking for the perfect beat, I'm looking for the perfect rhyme
 patient, practice takes exercise
It's like tryna look at someone with the sun in your eyes
I never compromise integrity, I'm not a sellout
My perspective is  no penthouse
So get the hell out like a rabbit at the races
These greyhounds in suits got murder written all over their faces
Stressed out like paces, place your fake 
Create an image from the simplest speech, it takes weeks
I beat the drum like single mum: till exhausted
Devoted to what's important, what's my calling
So caution, I'm forced in and trampling like elephants
You wanna contribute son? Then keep it relevant

You're gonna use your effort and your time, use your wretched little mind
Don't forget your spine and get the rhythm relevant
You wanna rock the spot and give the people what they want
But who cares what you give 'em 'less you get the rhythm relevant
You're gonna use your effort and your time, use your wretched little mind
Don't forget your spine and get the rhythm relevant
You wanna rock the spot and give the people what they want
But who cares what you give 'em 'less you get the rhythm relevant


This is for the people and only for the people to consume
It' a method of relaxing, spark 'em up and write tunes
It's just a little thing we developed in our rooms
Voice, pen, pad and computer, tools of a user
Machinery accompanies the raucous 
And vocal rhymes, a pleasing little fiery collision, isn't
It 'I wanna rip the mic up to bits
I wanna dance like a breaker with wings on  hips
Surely we don't need another half-arsed braindead
Well-dressed breastfed volume annoying emcee
On this stage talking Benzies, cash flows and cars
In a whack induced frenzy,  your own stars
Please man don't even tempt me, you cut yourself in half
With your empty bag of battle raps that's tearing us apart
Not looking for the last laugh nor the past etiquette
I'm just here to contribute and keep it relevant

You're gonna use your effort and your time, use your wretched little mind
Don't forget your spine and get the rhythm relevant
You wanna rock the spot and give the people what they want
But who cares what you give 'em 'less you get the rhythm relevant
You're gonna use your effort and your time, use your wretched little mind
Don't forget your spine and get the rhythm relevant
You wanna rock the spot and give the people what they want
But who cares what you give 'em 'less you get the rhythm relevant

This is for the losers and the bruisers who just 
 skills built from useless, now take 'em in
Improvised on the fly, no, there's no instructions to read
 be in doubt, plus no 
Another day, December 31, the time has been felt
Another year has pasted him,  ring of a bell
Am I that much older or that much an 
I'm at clubs or , bum-rushing for a verse, I'm not a rambler
Microphone fiend shit chatterer
Not a pro nor an amateur, I'm not a barrister
More like Ozi Batla, live and full frontal
Got the flows mixed with substance to confront you
We run through like streakers, freak the whole show
Not a game ladies and gents, it's all about the pros
That's in poetry sense, plus some samplers computers
Here to alienate the damn pop consumers
Lessons but no tuners, all day with the Biro
With or without hyrdo, filling out the rhyme book
Just wait for the side look, I'm runnin' at you like an elephant
If you wanna contribute then make it relevant",https://genius.com/Urthboy-keep-it-relevant-lyrics
Natural Progression,Distant Sense of Random Menace,2004,"Who'd have ever known it'd come to this trying to
Predict your future sitch is simple as peace is a flick of a switch
Hitter. No prizes for not guessing that there'll be some days
Where I get most of my protein from this paper that I write on
This same little 
Timmy
 was a sporty kid, and yeah the sun
Worked its fryer on my pail skin funny thing frailty
I kept attending practice when my dad was having episodes
That left behind a family in tatters
And the subsequent descent under the poverty line
Still we had a roof above our heads and friends to grow and build with
And who'd have known of who I'd be if I had different early cards
But whose to ask what might've been I exercise my right to turn a
Blind eye to the rear vision, at which point the third eye'll hopefully
Kick in and then make a mark or something maybe
We can all look forward to some added time to sleep in
And do some home improvements on the weekend out in Eden
Or, if it's okay, don't ask me any questions
Just let the pen make a natural progression
If it's okay don't ask me any questions
Just let the pen make a natural progression

I'd have never even tried to guess from three to thirteen
To eighteen what's now got me on full court press yes
In retrospect the hints were there, timid as a billboard
A 
batsman, keeper
, graffiti writing creature
Sort of wrote a bit, it's now embarrassing but there's love
For those nursery rhyme raps in primary school Nug
They were bugged out but as if we weren't I copped
A tonne of verbal abuse but I'd say thankyou sir
I never came to cause trouble, we even wrote a rap
As peace offerings to Mr Beaumont when he had a baby
That was at 11, at 15 you could've seen them early morning
Petty crime schemes I've got a pin inside my foot to prove it
You'd be stupid to assume that there were no regrets
But it's not over yet, I wind my window down a bit
Shifting gears from fourth to fifth
Left the career back at the tollway
Generation cynic Y2K without the rollplay
 {x3}
Stranger things have happened, and it's not shock horror
And if you were to buy the bio then I wouldn't bother
It's just the way it is, call it my live review
Yeah I remember all these things while I'm hyping you

I had a fella tell me once of all his ideologies
You know the kind of scholarly filled chemical philosophies
Significance of numbers and your stars and your bloodlines
Scars from the sunshine tragedies and punchlines
Premature deaths occur before the person's ready
Said the fella before gently falling down and passing out
Well there you go the emporer proudly put out all he had on show
And here's a million bucks for guessing what tomorrow holds
Bank vaults and catapaults a liberal dose of smelling salts
To snap you back to Urth and yeah I've got present tense on lock
Known to deviate a little I guess, solving the how'd I get here
Riddle and yes, there's still a bit on my chest
Was it the year I was completely depressed 
I swore I'd
Never take for granted when the skin disease left
. And still don't
Still evokes potently as turning points tend to do
And sometimes I reflect on this while I'm hyping you
 {x3]
Stranger things have happened, and it's not shock horror
And if you were to buy the bio then I wouldn't bother
It's just the way it is, call it my live review
Yeah I remember all these things while I'm hyping you",https://genius.com/Urthboy-natural-progression-lyrics
Distant Sense of Random Menace,Distant Sense of Random Menace,2004,"Maybe it's too complicated, maybe it's a minefield
Maybe it's like someone else's murder, it's not quite real
Buried page 10 of today's paper
Read about another road rage of a crazed teenager
The mother gives the vox grab saying she's just
Sad, and all the justice in the world won't bring her daughter back
Flavour of the 48 hours til the news finds another
Utter tragedy to increase the views
And you still never know if you've reached the truth
30 seconds to a minute and you're in it up to the tips of your toes
And the truth can be a dodgy uncle
Media moguls and leaders act like Simon & Garfunkle
The, right wing squarks for yet more hawks
And the, left wing calls for yet more peace talks
And many people left are asking who to believe
Cos reality is as muddy as token olive leaves
And apparently you can't wear your heart on your sleeve
Cos the menace is too distant for listeners to grieve
And even umm, I've been numbed til the cartoon alternative
Just trying to learn to live

Kigali
It's just a distant sense of random menace
Chechnya
It's just a distant sense of random menace
Lebanon
It's just a distant sense of random menace
Woomera
It's just a distant sense of random menace

Try as I might I cannot get my head around the
Hutus slaughtering the Tutsis in Rwanda one-nine-nine-four
And then on top to comprehend how the United Nations
Let it happen with their blue helmets armed by the door
Eight hundred thousand in less than
Ninety days, is Africa just too far away
Or is the genocide convention only mentioned in connection
With the Nazis and the Jews during World War Two
Cos your world views seen through the same few that drew
Their bloody colonial maps for custodial taxes
Historical pacts, treaties and age-old arrangements ignore
In order for the dominant order to be restored
Warlords, dictators, puppet regimes installed
While cold wars and old walls did fall
Wars on drugs and wars on terror
Later on there'll be concessions made by governments of intelligence errors
Is to understand to simplify? Black and white, good
And bad, learn not to sympathise unless it's of an allied flag
I'll be damned if my land is the fifty-first state
Both a realist and idealist on the same day

Vietnam
It's just a distant sense of random menace
Sierra Leone
It's just a distant sense of random menace
Zimbabwe
It's just a distant sense of random menace
Bosnia
It's just a distant sense of random menace

It's not a soapbox, or at least I hope not
These are things that affect me so much they're what I dream of
Dream of different endings where lessons are learnt
Before good and bad were copyright foreign policy terms
Before hip hop was either barbeque or bling
Before it seemed like everyone was operated by string
So align yourself, define yourself, design yourself
With any luck your life will all work out
And you won't find yourself the victim of an effort to ethnically cleanse
Left to defend the rest of these men
Women and children, from rape, pillage and killing cos
Every evil got it's coalition of the goddamn willing
So forgive me if I can't give you something to laugh to
This is for you to argue, shake your mind and arse to
It's for me to ask you just who can you trust
Dust to dust, and if tomorrow is us? What if...

Kashmir
It's just a distant sense of random menace
Guam
It's just a distant sense of random menace
Kabul
It's just a distant sense of random menace
San Salvador
It's just a distant sense of random menace
Gaza Strip
It's just a distant sense of random menace
East Timor
It's just a distant sense of random menace...",https://genius.com/Urthboy-distant-sense-of-random-menace-lyrics
Whose Morals,Distant Sense of Random Menace,2004,"At full volume, you let all know you know whats going on
What's right to one to others is wrong
You can force feed it, 'til we passively receive it
Is one opinion better than none if you don't need it?
Minds become uniform in groups
And there's nothing quite as flexible as truth
And that's true
Commodities like truth have got any definition
And money changes hands in secure payments
Pick your favourite, and proudly propagandise
Make sure to run forth and hype it like it'll save our lives
And fight the other side like you were paid to lie
Smile for the camera and say that they provoked attack
Keep it like a boy's club you're free with G.W.B
But you can't chose your sisters, and brothers, and others
With chins high as midsummer
Talking loud throughout a dead rubber
You need your meaning of live more than i need yours
I've got one that functions ok though, scattered as it is
Home is where the attic is
And the heart is where panic lives
What matters is not outstretched hands from false prophets
Trying in vain to catch the substance like a comet
There's just to much that they could never understand
And with such great plans we're all confused as ever

What do you expect of us?
If you want our trust
Then try you must
To reach with an honest hand
What do you expect of us?
If you want our trust
Then try you must
To speak like an honest man

I'm not asking for a moral, a patriotic motto
A try-your-luck emotion angle lotto
I'm quite happy without influence
And my intuition stays tight with trust
So you can imagine I could never accept your truth
Version or moral view or what you expect of the youth
What you expect of the peace-brining troops or minority groups
What you expect of the feds when your storing up nukes
How to respect someone who's ignoring you
And contradicting all with doctrinated values
And malnutrition, ethical foundations
Of which you take aim from
Means I'll never wait on your every word
Is that more misinformation I heard?
Or a policy i heard to actually serve people over profits
How can I follow in footsteps of those in office
When every speech is just another empty promise?
How can I follow in footsteps of those in office
When every speech is just another empty promise?",https://genius.com/Urthboy-whose-morals-lyrics
Long Walk Home,Distant Sense of Random Menace,2004,"If you look just through the mist in front it’s there it’s small but you can just see it
See what
You can just see it through there just look a bit more carefully
Yeah but there's like nothing there
And that’s cause your looking out my window look out your own window man
Float back

It’s gonna be a long walk home
And I’m just a stone’s throw from a telephone tone
You can tell from the groan it’s engaged, throw the phone
In a rage, rip the yellow paper page like a poem
Watch me show’ em say the lips to the mountains wide hips
Smiling like a crisis before applying like this
Keep calm let the mist take you by its blind vision
Walk slowly don’t bother with the offers to be driven
There ain’t nothing like living, stay cunning fight systems
Keep running right writtens, speak something like missions
Don't sleep but if you do then dream freaky bright thrills
Steal souls like television, listen if you will
Fill her up drill it out spill your beans like a journal
Still the scenes never certain with my verbal in reversal
Get immersed in your words, create verse and wake up
A long walk a short day and no place to stay stuck
With the mind not fully made up, but up and going
In a time when a rookie gets cut for not glowing
Open trips throwing ship it’s whatever way possible
It's gonna be a long walk home but not optional


Its gonna be a long walk back
I never asked for directions now I’m guessing which track
There many and the maps like a riddle with a trap
I collapse in the quicksand its gripping like sap
Isolated and exhilarated biting off a chunk of a cloud
Throw the scrapes to the crowds open mouths
As it drops hear ‘em shout, watch the doubt fade away
While all pals find the minutes in the day to conversate
As opposed to conglomerate, we operated our intellectual property
And act beyond rhetorical philosophy
Another moon another odyssey with clipped wing
An anomaly on instinct hanging on to thin string
Laughing at your lip sync sinking for success
It’s a long road I think you need a rest, catch a breath
Yells the city to the soul but deaf ears were to cold
So fresh beers were sold cheap to the questions unsolved
And the page folds easily, the hero failed dismally
The crowd applaud decently, and they hear of no conspiracy
The advice is too rich for me, delivered by clones
I reject it and keep going on the long road home


There ain’t nothing like living
Speak something like missions",https://genius.com/Urthboy-long-walk-home-lyrics
Urthboy: Rapper Tag #2,Rapper Tag Australia,2010,"Ayo, thanks for the tag Six
And thanks to the neighbours for the bandwidth
MCs in the cypher I stand with
No stage, no records, just damage
Yeah, I'm talkin' 'bout lounge rooms
Outside gigs, no soundproof
For real that's the ground crew
No one buyin' these days so fuck it if that ain't value
To me, the cyph' is a ripped couch
Longneck mob, bowl and a big mouth
Lot of dog rappers that you never hear about
We talk shit then  we kicked out
What we do to get a rep?
Mates know what I've done like Thirteenth Son said
So who got next?
Shout to the king, Brad Strut, yo the stage is set",https://genius.com/Urthboy-urthboy-rapper-tag-2-lyrics
Stories,Smokey’s Haunt,2012,"When I get to you, no I won't forget
What it took and takes, by the book and breaks
By the crate and limb, by the state I'm in
By the skin of my teeth took it on the chin
I was up for it, ""yep"" more than ""no""
I was down for the cause and you ought to know
Spent all day on it at work and then brought it home
Something like an addiction, never fought it though
Got a debt to the stars, debt to the gutter
A debt to the bars, debt for the wisdom
That I will discard, you can bet I'll do it
In the future as I have in the past
All of it has scarred me but I'm still here
Through the imperfections that interfered
Feeling like a thief, stole a whole career
Wanna know? Let me lend your ear

I had to
Go about it, ride it out and
Find it myself, and there's some
Stories I can tell you
I had to
Fail, had to fall just for
What I did well, and there's some
Stories I can tell you

Don't get it twisted though
I don't wanna blink and then miss its glow
Get choked and saved by the same rope
By the time you hear this you already know
Dear future me, nothing you can do for me
Sorry you are not what you used to be
Whatever you've got is news to me
What I handed you wasn't handled beautifully but it's done
Tainted blood cells and bad ankles
I did damage that was substantial
The body's a temple but I am a vandal
That could not live life at a standstill
I'm unapologetic of my path
But by the time you're me it's all of your past
Hope you remember this when you're falling apart
If not I wrote down a few remarks

I had to
Go about it, ride it out and
Find it myself, and there's some
Stories I can tell you
I had to
Fail, had to fall just for
What I did well, and there's some
Stories I can tell you

You've got to go about it
You're going to ride it out
You're going to know about it
You're going to let it out
You've got to go about it
You're going to ride it out
You're going to know about it
You're going to let it out

Bet it all on the vocal chords
Reassure the in-laws, dear lord
You're girl's in safe hands we're making great plans
That we will make sense one day
Maybe when I'm grey, if this can pay into old age?
Someone get that granddad down off stage
Hey kids, your gramps never drank kool-aid
In his own time did it with a few failed greats
But what? Worse the story, better the redemption
Worse the quandary, better the retention
I ain't breezing and I ain't George Benson
I ain't protected brother I ain't fenced in
If my future questions my current senses
That'd be the same we've been doing for centuries
So sorry if I ran it to empty
I wrote this so you know what I meant here

I had to
Go about it, ride it out and
Find it myself, and there's some
Stories I can tell you (yeah)
I had to
Fail, had to fall just for
What I did well, and there's some
Stories I can tell you
(Some stories I can tell you) I had to
Go about it, ride it out and
Find it myself, and there's some
Stories I can tell you
(Some stories I can tell you) I had to
Fail, had to fall just for
What I did well, and there's some
Stories I can tell you
(Listen up, listen up)

You've got to go about it
You're going to ride it out
You're going to know about it
You're going to let it out",https://genius.com/Urthboy-stories-lyrics
