title,album,year,lyrics,urls
Fuck 12,"All the smoke, vol. 1",2019,"Ay turn me up Track01
(Yeroc)
Moving that pack and I got all the ounces
You niggas broke yeah you wait on allowance
40 gon’ hit you you can’t hold your balance
Fuck on they pussy they ain’t got no talons
Ride with the goons yeah you know they my niggas gon’ bust it
I cheat on my bitch I’m like fuck it
Yeah I’m the plug, I get that shit for the low
Like KD I’m getting them buckets
(Lul Tune)
Bitch I go crazy they told me to chill
If I catch her I be getting popped like a pill
I’m letting out shots while I’m gripping the wheel
Just popped me an h now I roll like a wheel
Your bitch want to fuck I go in for the kill
Con’t fuck with no fuck niggas they quick to squeal
I got the glick on me know that I pop it
Hit up C4 he gon’ hit you with the rocket
Late night in the lab bitch you know that I’m plotting
Spin back on your block and you know we not stopping
(C4)
Yeah we not stopping you know that we spinning
Shoot at your snapback and knock off your fitted
He think I’m pussy I showed him I’m with it
I rock the gucci I don’t need no damn tennis
My niggas they with it they straight out the jungle
Call up Yeroc he gon’ knock off your uncle
We sliding on ops we do that in the summer
Run that shit up get that shit by the bundles
(Yeroc)
These niggas scary they put on a front
Feel like Tom Brady I win with a bunch
Your bitch she fucking eat dick like it’s lunch
My time is now and I call it the crunch
No you ain't gang and lil nigga you knew that
When we pull up on you niggas don’t shoot back
I got the pounds and they stuffed in this bootbag
She want the big boat nigga you too mad
(Lul Tune)
I send my guerillas to come back and miss
Hop out the back of the ‘lac hit his ass with a tec
F and N blew, tore it right through his chest
Like Nike just do it I get me a check
We run through your city we step on your neck
He acting too tough when he type through them texts
Push up with the scope put it right through his neck
(C4)
Your niggas 3 stooges you thought we was clueless
He thought someone was pussy we showed him we ruthless
The Glock got a clock with a stick and a ruler
If I spot an op I’ma pop his medulla
They say that I’m crazy they say I’m retarded
You know I’m that nigga that shot up the party
Can’t trust these bitches they always say sorry
I’m shaking my dreads you know I get gnarly",https://genius.com/Yeroc-fuck-12-lyrics
Tom Brady,"All the smoke, vol. 1",2019,"Ay turn me up Track01
Treetime
Pull up on your block
I’m blowing up, and nigga you not
Nigga’s made he ain’t getting plays
I fuck on his bitch she all on my page
She eating me like snacks I’m all in her month
I’m chasing the bag you chasing the clout
You chasing them hoes they come to my house
Feel like Tom Brady calling the plays
You niggas broke on minimum wage
Call in a wraith ‘cause I need a fade
Cop me a zip because I’m getting paid
I need some lean but that nigga be taxing
Not playin’ tennis we making a racket
I feel like Stone Cold my niggas be wrestling
Moving that pack, applying the pressure
She drop me a round, I call up my tesla
What lil nigga, pull up on me get shot lil nigga
I’m with them goons on the block lil nigga
Keepin’ them grams in my sock lil nigga
I’m on the block, I’m with your hoe
She snorting coke, it’s all on her nose
Me and Heaven trained a couple of bitches
Can’t trust em really these niggas be snitches
Look Like the pacific lil nigga I’m dripping
Call me a hood rat I need some chicken
Shoot like Ray Allen I’m playing the game
I see yall it’s first 48
The head is so great but I don’t know her name
12 pulled me over for switching them lanes
I bonded out lil nigga I’m banging
First day out, go run that shit back
You want my old shit, go play that shit back
Yeroc that nigga you know I’ma snap
That nigga be tweaking I serve him the crack
Put one in his head, put two in his back
12 be searching they scoping the scene
They baggin’ the body we got away clean
Hey lil nigga get your racks up
Chasin’ the bag got our bands up
I fuck that bitch got my hands up
Your bitch a nympho she ready to fuck
She taking this dick she swallowing nut
Feel like a ratchet take her in the butt
Pull up to v-live I’m rolling these woods
Go to any hood you know that I’m good
G37 that’s all on my whip
Glock 45 keep that on my hip",https://genius.com/Yeroc-tom-brady-lyrics
Feds,"All the smoke, vol. 1",2019,"Ay turn me up Track01
We spin on your block with a mac
My niggas be bustin we aim at your back
You loving these bitches these bitches be rats
But when I walk in they be like who that
These niggas they hate on the kid ‘cause I’m shining
We got the same 24 why you whining
Look at my diamonds you know that they blinding
I’m blowing up this shit perfect timing
Pull up to third ward with a mac
Put the extended clip in the back
Steady telling hoes we gon’ be back
Hit up the gala we spending them racks
Me and my niggas we pulling up we fresh
Look at my diamonds they vvs
I got the shit tatted on my chest
Bot you ain’t shooting you ain’t got a tec
Boy we stay smoking on muh’fucking gas
If you want smoke it’s puff puff pass
Can not touch that bitch if she don’t got no ass
Can’t book me if you don’t got cash
Momma told me that these niggas gon’ hate
That shit in my blood, that’s how I was raised
I pray up to God I’m beating this case
Your niggas be be hoeing be snitching to jail
My bitches gon’ ride ‘til I’m in the grave
Cut that bitch off but didn’t have a blade
Used to eat noodles but now I eat steak
Now I just bang on my chest like an ape
My bitch mad I don’t give a fuck
I pull up at home I tear her shit up
They hate on the kid ‘cause I’m making bucks
Why you hate on me, ‘cause you suck
I’m sipping that activis pouring up lean
Please do not hate on me I’m in your dreams
Your bitch so wet you know she a fiend
I’m counting that blue and counting that green
I feel like the rock ‘cause you know I won’t lose
My niggas pull up and we give you the blues
My bitch fuck your bitch then we go on a cruise
You niggas so weird addicted to juuls
I’m riding around, you won’t see me lacking
Your bitch hit me up, she like what I’m packing
I got that drank, you know that I’m taxing
I keep a 40 you know that I’m blasting
Yeah we just pull up and murk on your block
Your bitch fucking because i’m in a drop
Yeah it’s yeroc and you know I won’t stop
Just like a pill you niggas get popped",https://genius.com/Yeroc-feds-lyrics
Spaghetti Freestyle,"All the smoke, vol. 1",2019,"That nigga be cappin’ he ain’t shooting shit
These niggas be pussy they snitch to the pigs
We spin on your block like a merry go round
Nigga I’m up, and nigga you down
That bitch steady worrying if a nigga cheating
Walked in the label we having a meeting
She opened up ‘cause a nigga be beating
Please move over because this is my season
That bitch steady mad don’t know why
Don’t really care, I tell that bitch bye
After I nut I get different feelings
I cut you off ‘cause you ain't chasing millions
Niggas be capping they broke as hell
Free tay-k they won’t give him bail
My niggas shooters we’ send you to hell
I got them bricks and we servin’ them bells
Give up nigga, you a pussy got you stuck nigga
You really testing your luck nigga
Why you hanging round them fuck niggas
I’m chasing cheddar you chasing bitches
Talking to God I need forgiveness
You on my side, I need a witness
We got the racket but no tennis
My niggas pour we sippin’ purp
Fuck on your bitch now you feelin’ hurt
You got a job you is a clerk
No Rihanna bout to make them Work
I’m ballin all 4 seasons
Got these niggas praying to God like a deacon
Fucked on the bitch just for one weekend
My city hate on me they sleeping
Don’t really care I got them racks
My niggas pull up and bust at your back
Go to the mall then pop them tags
Nigga you tweaking you know your shit wack
Nigga you miss what you aiming at
Boy a fight coming you know he ain’t slap
Nigga gon’ move in, slip, and slide
Your bitch wet like a slip and slide
Nigga stay fresh like I’m wearing a tie
Nigga ain’t rich then I know he lied
Fuckin’ these bitches I’m loving me 2
No you not gang nigga who is you
Yeah I stay strapped with that green and blue
Stuck here in the kitchen like we cooking stew
Rocking that red like a mother fucking devil
Look at my watch like some muh’fucking pebbles
Nigga got a problem he don’t want to settle
Nigga so corny his nickname kettle
Your bitch know the muh’fucking truth
Nigga I’m hot, who the fuck is you
Yeroc on top, look at his crew
No I don’t bang but I’m countin’ blue
You can come for me I be at the stu
Nigga not tough, he really ain’t shit
Been on your block after we hit a lick",https://genius.com/Yeroc-spaghetti-freestyle-lyrics
On The Weekends,"All the smoke, vol. 1",2019,"Slide on your block all my niggas on fuck shit
That nigga he pussy you know he won’t bust shit
That bitch be laughin she said that you bust quick
She sucked the dick but you know she can’t touch it
I’m blowing up, and nigga you not
When I get a mil I’ma cop me a drop
That nigga be pussy he snitched to the cops
We might hit a lick and slide on your block
Just fucked on a bitch and she famous on insta
I been through some pain but I keep my chin up
This shit getting old to me nigga I been up
If I marry that bitch then she signing a prenup
You go to the gala to walk around
I go to the gala to cop some pounds
That nigga clip empty he ain’t got no rounds
There go 12 boy don’t make a sound
Yeah I got 20s they stacked in my whip
Walk in the restaurant no I don’t tip
Three for a feat, five for a show
Feel like KD when he come through the hole
I was like 18 just whipping the bowl
Your bitch need a jacket my diamonds on froze
These niggas be pussies they really ain’t shooting
I’m number one I feel like Cam Newton
Got a white bitch she allergic to gluten
Smoking on turtle that teenage mutant
I know that my niggas they want me to win
Just pray up to God and hope I don’t sin
I like having hoes with a wife that’s a blend
I fuck on that bitch and I fuck on her friends
I got a white bitch I pay for her tans
She open her legs up like it’s a can
I shoot my shot and I feel like the man
I smoked me a blunt I don’t fuck with them xans
They calling me tiger I stay with the woods
I need me a bad bitch that’d be good
You ain’t never struggle you ain’t from the hood
You from the town where everything good
Boy you ain’t gangster you know you a hoe
Can’t take you serious we know you a joke
How you a gangbanger got no ops
Niggas be bitches that’s word to my pops
Pull up with a truck leave out with a drop
Yeroc in this bitch and you know I won’t stop",https://genius.com/Yeroc-on-the-weekends-lyrics
First Day Out,"All the smoke, vol. 1",2019,"Ay Turn Me Up Track01
This is my first day out I just might hit a lick
Nigga fuck 12, nigga fuck all the pigs
Deon Sanders I just might catching the pick
I just be catching that pack and I might catch a flip
Niggas hating on my muh’fucking line
See 12 nigga I’m closing the blinds
Fuckin’ on bitches I’m loving my shine
Playing my music they pressing rewind
Hundred rounds stuffed in my muh’fucking drum
Look at your chains nigga you is a bum
I got bread and I pay off my bonds
I’m just eating good and your bitch pay for lunch
I’m just eating chicken we might go to Rudy’s
Shoutout to migos my bitch bad and boujee
Walk through the back with my muh’fucking toolie
Your bitch hit my line they all wanna pull me
Niggas be so mad because I’m strapped with that bape
Dude say he hard but won’t bust a grape
We smoking nugs and you smoking shake
Niggas they try to book me but they can’t pay a k
Shoot like Kobe, bricks like Shaq
Nigga is mad, he want his bitch back
He in my DMs she all in my snap
Nigga don’t run up you might just get clapped
20s they stacked in my muh’fucking whip
Yeah we count blues like muh’fucking crips
Pack came in we might take a trip
Eating good food but I won’t leave a tip
First day out, feeling so blessed
Niggas be capping they ain’t got a tec
Scoring on niggas then take off the net
Fucking on boo but I don’t want the neck
Yeroc trend setting nigga he hot
Yeah he be sizzling just like a pot
Listen to Drip Drop I see all the plot
Keep a couple grams stuffed in my sock
Niggas they hate when they see me on TV
Walk in the show and they look at my VVs
Niggas they hate but they just want to be me
Feel like John Cena lil niggas can’t see me
Ooh
Fuck on these bitches in 2
I just might fuck on the crew
No you not gang then who is you
Got out of jail and then hopped in the booth
Go to the mall cop a ‘fit
Drinking the syrup like I’m sick
My bitch is steady just having them fits
Deep down inside I just don’t give a shit
Bitches be mad ‘cause a young nigga up
I carry the Colt bitch I’m Andrew Luck
Fuckin on Taylor I’m wearing them Chucks
This is my year nigga fuck a wave
This is my world fuck a stage
Yeah I stay fresh nigga like I’m glade
Track01 in jail watching Blade
That bitch is so stupid she thinks she getting paid",https://genius.com/Yeroc-first-day-out-lyrics
Percocet,"All the smoke, vol. 1",2019,"NTL shit
Shoutout Track01
Ay Turn Me Up Track01
What a time to be alive we serving that dope
Jay hit my phone told me bring him some more
Glock 17 it came with no holster
Fuckin with gang leave his ass on a poster
Midnight they ain’t serving dope to a fiend
He tried to rob me got hit with the beam
Knocked his ass out now he think it’s a dream
We think it’s jokes turn his ass to a meme
She say I’m hungry I feed her some racks
Shoutout Rihanna you know she a snack
Don’t want a barbie I want me a brat
You gon’ think he performing way he get clapped
Shoutout my niggas that’s holding it down
I’m gon’ put on we gon’ flex on these clowns
Just brought an AR we loading the rounds
My nigga just reuped he brought us a pound
Walk on the sidewalk just smoking that gas
Blow smoke at the cops man you know that they mad
I get anywhere I wanna go, I’m just 20 in the liquor store
Bought me a chain yeah I’m hitting up Johnny
Look at my sweater you know that it’s Tommy
She coming over to clean up my laundry
If I like that bitch I’ma make her a mommy
This wood double stuffed I call it an oreo
I fuck that bitch same story hoe
Now she a freak we using a gloryhole
Hit out the park I feel like an Oriole
Y’all already know these niggas wanna be me
Blood on my pendant shining yeah it’s VV
Feel like the president might fly to DC
Go to the mall and just cop me some Givys
Walked in the studio fucked on a groupie hoe
Nigga the truth be told you still like yu-gi-oh
Now she just dance for them racks on the stripper pole
Now she just steady handing me the money rolls
After we count it up you know that we moving up
Yeroc a demon you know he don’t give a fuck
Feel like I’m JJ I’m having a good time
She heard my music she pressing that rewind
What did he say? That young nigga snapped
Yeroc that nigga you ain’t know he rapped?
Check our his insta young nigga up
He got them Ps, they say he the plug
They saying they tough, I’m calling they bluff
I’m calling you out but you testing your luck
If you can be confident you can get hoes
That bitch say I’m dominant head to toe
Drive to the H double back to Dallas
I got more hoes than all of the Mavericks
Niggas they mad we laugh at they ass
I don’t fuck with debit I only want cash
Money rolls lil bitch money rolls
Money rolls lil bitch money rolls
Money rolls lil bitch money rolls
Money rolls lil bitch money rolls",https://genius.com/Yeroc-percocet-lyrics
Nudes To My Group,"All the smoke, vol. 1",2019,"These bitches they get on they knees
I don’t give a fuck ‘cause that bitch is a tease
I’m never afraid got blood on the leaves
Niggas be stealing my sauce ‘cause they thieves
She cleaning my mess just like she a maid
You a pussy might just run to the J
I’m so icy when I’m rocking the stage
You working at UPS rocking that beige
All of these niggas I swear that they fools
I’m rocking that red while counting that blue
Go overseas I don’t live in Peru
You not touching me when I hop in the booth
You niggas so weird you worshipping satan
Fuck the pigs, I stopped eating bacon
I’ma find you like we in taken
These niggas hate before young nigga make it
My hoe is so bad, my hoe is the truth
Got like three hoes they don’t fuck with you
My girl’s hair longer than your mom
I’m blowing up like a ticking bomb
You a slave nigga like Uncle Tom
Killing you nigga get your palm pawned
Fuck with a condom I can’t get burned
Walk in the party you know that I’m turnt
When she see me lift up her skirt
Put my fingers in I make that bitch squirt
That bitch telling me she love a real nigga
Why would she love you, you gon’ squeal nigga
You broke as hell you can’t pay your bills
You hit her for loan she like come here
Your mom even mad like “this nigga here”?
Talk down on my name make you disappear
Just like Obama nigga I’m great
Nigga fuck Trump nigga you gay
Building a wall to keep away workers
Nigga you served up some hamburgers
Hit that woah, then we stop, then we make that pussy pop
Never stop, Yeroc keep like 2 Glocks
Freestyling off the muh’fucking head
That bitch won’t leave me ‘lone, I leave her on read
She all on my phone she sending me nudes
I save them hoes and show my crew
If I don’t like her I’m showing the group like who the fuck wanna see some boo
Nigga I’m hot I don’t need a feat, this shit is natural don’t need a teacher",https://genius.com/Yeroc-nudes-to-my-group-lyrics
Wit A Stick,"All the smoke, vol. 1",2019,"Treetime
Pull up on the block with a stick
Yeah we shoot we hit don’t miss
We might hit you in the whip
Yeah that nigga lame on gang, yeah that nigga is a bitch
Talking down on my name we gon’ light you like a bic
I’m with the gang and I might fuck a leo
Got a young bitch and I think that she creole
These niggas pussy they hate on my name
I cannot fuck with these bitches they lame
Yeah I keep a tool
Fuck on these bitches don’t love them until
No you not gang nigga who is you
I’m rocking red but I’m counting the blue
We like stop
Pull up making mosh pits
Diss me we gon’ drop shit
With your bitch we pop shit
These niggas steady wanting my fame
Bitch I’m yeroc, you know that’s my name
Clean up your blood, we won’t leave a stain
Bitch come here I ain’t playing games
My niggas some snipers you know we got aim
Pull up on the block with a stick
Yeah we shoot we hit don’t miss
We might hit you in the whip
Yeah that nigga lame on gang, yeah that nigga is a bitch
Talking down on my name we gon’ light you like a bic
(TJ TurnUp)
TJ got the juice
All my diamonds hittin
Everybody say I’m going missing
First seen they ass, where you been
I ain’t seen you in a minute
Gotta keep my distance
Can’t let nobody know how you move
That’s how you get shit confused
On my mind on my mind lately I been smoking all the time
I can’t tell no lies
I be in my zone
Pull up on the block with a stick
Yeah we shoot we hit don’t miss
We might hit you in the whip
Yeah that nigga lame on gang, yeah that nigga is a bitch
Talking down on my name we gon’ light you like a bic",https://genius.com/Yeroc-wit-a-stick-lyrics
I See,"All the smoke, vol. 1",2019,"I get high, suppress the pain
I’m so loose when I’m off that drank
Fucked up mom and it’s hard to think
I see everything, I don’t wanna blink
I see niggas that say they proud
But on the low wanna send me to the clouds
I see bitches they fake as fuck too
Set you up by another nigga crew
I get high, suppress the pain
I’m so loose when I’m off that drank
Fucked up mom and it’s hard to think
I see everything, I don’t wanna blink
I see bitches they fake as fuck too
Set you up by another nigga crew
God had told me he didn’t want me to shoot
That’s the only reason I spared you
Go get the pack, bust it down
Go get the scale make sure it’s a pound
Do you need an o, fuck a gram
I’m shooting threes nigga fuck a slam
I’m roll round on your block
Where your guns nigga pull up stop
You in this picture I had to crop
How many hoes you got? A lot
Nigga a lot, nigga a lot
Fucked up my wrist just scraping the plot
They seeing my shows you know they want slots
Just re-uped it came in a box
Nigga you riding round thinking you hard
Pull up to my city need bodyguards
Triple D bitch, that’s on the star
Pulling them strings like I’m playing the harp
I get high, suppress the pain
I’m so loose when I’m off that drank
Fucked up mom and it’s hard to think
I see everything, I don’t wanna blink
I see niggas that say they proud
But on the low wanna send me to the clouds
I see bitches they fake as fuck too
Set you up by another nigga crew
I get high, suppress the pain
I’m so loose when I’m off that drank
Fucked up mom and it’s hard to think
I see everything, I don’t wanna blink
I see bitches they fake as fuck too
Set you up by another nigga crew
God had told me he didn’t want me to shoot
That’s the only reason I spared you",https://genius.com/Yeroc-i-see-lyrics
