title,album,year,lyrics,urls
On The Run (I Wish I Knew Natalie Portman),Yes!,2009.0,"(k-os)
I'm on the run, for my life
It's seems that everything that you said was right
Has come undone, lost my sight
But have you ever thought you've done your best
When you were under the gun, that's right
I know I've seen this place before, but it's never been so fun
Never been so fun
I've been on the run
This Shadow weighs a ton
It's starting to make sense to me
I can't really make you love me
No I can't really make you love me
(chorus)
I've been on the run
Shadow weighs a ton
I know I found a recipe, for me
But I can't really make you love me
(Oh no, you know I)
No I can't really make you love me
(Saukrates)
You know I'm haunted on overseas
Haunted on each coast
Play them like Ebenezer
I made them see the ghost
Back from the future donned in Japanese kimonos
Even though the streets show love to try to see me grow
I often see me floating, but my shadow it weighs a ton
Call it baggage, I use it all to advantage
But I can't make you love me
This time it's on you
And you can't try to deny, these words when they're true
I'm on the run
(chorus)
(k-os)
Let's gets a steppin
Your tongue is like a weapon
This is Kheaven from heaven and yet
So are ye, since the age of seventeen
I've been taking apart microphones
You've been taking apart men you've blown
And throwing skeleton bones
In the closet, animals strike curious poses
They feel the heat between us
But you needs a woman's glorious diamonds I'm a defeatist
Carry my fetus
I'm like the man in the moon, when we kiss then you swoon
On the run
(chorus)
I can't really make you love me
I can't really make you love me
I can't really make you love me
I can't really make you love me",https://genius.com/K-os-on-the-run-i-wish-i-knew-natalie-portman-lyrics
The Love Song,Joyful Rebellion,2004.0,"Contrary to popular belief
You know what, yo

This is not a love song, it's a sonnet
Damn it feels good to have people up on it but
I'm just a fool playing with the master's tools
Learing how to break the rules of this record company pool
Hallucination, I see with my eyes
But my heart's telling me lies, why do I fantasize
Why am I telling lies to the people from the stage
Pretending it's all good when inside it's fire and rage
Cause I can't understand
How a man lives off the life of another man
Trying to pimp the universe, that's a joke
I stay rocking the boat down to my last note
It's murder she wrote, assassination vocabulary
I see your termination is heavily necessary
I should'a known, they do it for forbes alone
I do it to break the walls if I fell off then let me know people

It's funny how life can go
First you ride high then you might lay low
Don't get high off your own supply
Someone said first before a fall comes pride
This is my message to the world
Just trying to reach every boy and girl
Not trying to say if it's right or wrong (you know what, yo)
This is just a love song

Lyrical optometrist with twenty-twenty vision
Servin' rhymes like my granny used to serve provision
Chaotical amniotical fluid, the rap jewett that's fluent
In the art of onomatopoeia
Metaphysical microscopic topic dropper
When I was a kid I wanted roller skates and a bike chopper
But alas, pop, pop, never thought to keep me in style
That's why I'm schizophrenic now so
God bless the child that has his own
The harvest we reap is what we sown
Chrome microphone, shoot it, towards the dome
Of computer digital clones, that mimic philosopher stones
Saying the style's their own, when they bite like mike from brownsville
That sounds ill, relationship is a mirror
But ch'ya see yourself within, and the picture is clearer
That's why I'm on the scene wit a mic, like ernesto guevara
While they exploit your life like geraldo rivera, they just

It's funny how life can go
First you ride high then you might lay low
Don't get high off your own supply
Someone said first before a fall comes pride
This is my message to the world
Just trying to reach every boy and girl
Not trying to say if it's right or wrong (yeah)
This is just a love song (check it)

It's easy not to care, what people say
It's harder to pretend to try
Cause they can only love you, from yesterday
I'm looking at the nile, it rose high
I'm just a man who's walking
They stand around and keep talking
They tried to clip my wings
But wisdom fills so many things say it again
I'm just a man who's walking
They stand around and keep talking
They tried to clip my wings
But wisdom says so many things, to love, love

It's funny how life can go
Don't get high off your own supply
This is my message to the world
Not trying to say if it's right or wrong
This is just a love song",https://genius.com/K-os-the-love-song-lyrics
Crabbuckit,Joyful Rebellion,2004,"It's high now
So low it's high
Like this, check it out yo

Took a trip on a bus that didn't know
Met a girl sellin' drinks at the disco
Said truth comes back when you let it go
Seems complicated cause it's really so simple
Walkin' down Yonge Street on a Friday
Can't follow them, gotta do it my way
No fast lane
, still on a highway
Movin' in and out, no doubt there's a brighter day

No time to get down cause I'm moving up
No time to get down cause I'm moving up
No time to get down cause I'm moving up
Ahh, haa... Check out the crabs in the bucket
No time to get down cause I'm moving up
No time to get down cause I'm moving up
No time to get down cause I'm moving up
Ahh, haa... Check out the crabs in the bucket

It's like this, It's like this...
It's like fly in a room, scream, writing on walls
Swear this clone been havin' a ball
Claimin' themselves just before last call
Tic-a-tic-a-toc, tic-a-tic-a-toc
Clock strikes twelve, clock strikes one
Smoking gun put these fools on the run
I know it's not that simple, I know it's not that hard
Where's your goal?

No time to get down cause I'm moving up
No time to get down cause I'm moving up
No time to get down cause I'm moving up
Ahh, haa... Check out the crabs in the bucket
No time to get down cause I'm moving up
No time to get down cause I'm moving up
No time to get down cause I'm moving up
Ahh, haa... Check out the crabs in the bucket

Yeah na I mean
Yeah, I heard you man, yo, check, yo, yo
It's a 
conniption, fit when the microphone's lit
I take it higher like a 
bird on a wire
, 
retire the fire
I'll never cause I'm just moving on up
Choosin' to touch, the unseen, craving the clutch
The most inevitable, legible pyro-mania
Slaying the devil, and send him back to Transylvania
Strangely enough, I avoid that side of the ghetto
From my heavy metal, will settle the puppets like Gepetto
Damn, if mirrors where created by sand
Then I'm looking in the water for reflections of man
Understand the minds above time when it's empty
Emcee, 
tragically hip, ahead by a century
, rrahh

No time to get down cause I'm moving up
No time to get down cause I'm moving up
No time to get down cause I'm moving up
Ahh, haa... Check out the crabs in the bucket
No time to get down cause I'm moving up
No time to get down cause I'm moving up
No time to get down cause I'm moving up
Ahh, haa... Check out the crabs in the bucket",https://genius.com/K-os-crabbuckit-lyrics
Man I Used to Be,Joyful Rebellion,2004.0,"I tried it, I couldn't find it
Now I just wanna get back to me
Awe baby, hoo hoo
Back into the man I used to be

Things that I said I wouldn't do, I did 'em
Secrets below the surface of truth I hid 'em
This mankind is past, but can he erase
The tears of a million years is human race
Of animals, that taught to walk upright
Then slave all day and fall in a trance at night
Flowing the planet, trying to find missing links
Like the men we used to be and always suppose to think
Mysteries, maybe not
It's getting hot, we better configure the plot, but
I hold a pen with the grip so tight
That'a squeeze the ink out'ta the page, and write a song for the people
Came up from the underground, now I write above on a hovercraft sound
This microphone, like an an amphetamine
Keeping me clean, speaking in dreams
So nature can intervene, just for a scene


I walk the long path alone, my feet hurt
Lost some friends along the way, I did dirt
I went to church, I tried everything
From leaving my body, to watching the birds sing
For hours, so I could feel heavenly powers
Had been across the universe and inside of flowers
But what is it worth, I'm still just a man on the earth
Rappers are acting like man tan
Can I be candid, I can't stand it
Rap bandit, got Kheaven acting frantic
I wanna swing my sword decapitate
But what is a man if he acts like an ape
So I sit back, planning my great escape
Load up my EPS and peruse my record crate
The man I used to be, I can only see by looking beyone me
So what is reality, I don't know


Oops, wrong song, stop it stop it
You know what
I woke up in the morning
I took a trip to the corner store
That's when I heard my calling
But i'd never heard the voice of truth before
So I kept on walking
Pretended I didn't see
Walked by a window and my reflection said to me
You could try all the same
But you'll never know this mystery
There's no pilot on your plane
So you're not the man you used to be
Try all the game, but you'll never know this mystery
When your pilot has no plane
Said you're the man you used to be seen
Holla and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Ya holler and ya holla, you folla you fall
Yo, microphones get ripped holding us back
K dash rocking it out, rocking the cold style
Making it up, go along singing my song
Woke up, in the early morn didn't know what was going on
Whatever, I don't really know
Flows like an immaculate goat what up, whatever",https://genius.com/K-os-man-i-used-to-be-lyrics
One Time (HainesVox),BLack On BLonde,2012,"Intro:
One time, I give em one time
I give em one time
Verse 1:
Watch to choke and don't bust
Got the juice so don't bound with us
Rock a faith, but don't wear things down
Rock a boat but they're landing now
Cheat things up, but don't die for the mill
Rock the truth and go home fulfilled
Back in the days I would hunt for the full, the blunts, and rip the mic at McGill
Just get down, one time
Try taking just one step back
Choking, smoking, macking lacking
Causing witchcraft blow, black
I choose the facts
Make a hit, then coast to coast and come back
You thought rap was over, but thank Jehovah I'm back
Taking over year, yeah beat that
Hook:
One time, I give em one time
I give em one time
Verse 2:
Forget the past and lets hang
No need to blast or gang bang
Lets be real because life's too short
Told ya girl to absorb them thoughts
Kick the truth but don't die to be right
Then again I like how you fight
Back in the days I would come over to your place from exchanging latex all night
Ye-ye-ye-yeah, one time...
Baby just take one step back
When I met you girl I stretch you, wet you
You twist the facts, make it seem like you and I are not back
You thought we were over, but thank Jehovah we swag
Kick him to the curb, lean back
Hook:
One time, I give em one time
I give em one time
Bridge:
Youre just another lonely girl
So who gives if you run the world
Youre just another lonely girl
A lonely girl, yeah
Verse 3:
Back to the middle, to the front, don't front
On the style that was made, to be quiet and played
Like a child with a new toy, this is dope boy
Never know I never did coke boy
Used to drink Jag, chug it back till I yak
When I rolled with a pack of wolves on a black chop (Now I'm not)
Keep it reverential like my Pop, you can say I like to cope like Spock boy
Our solar system is floating through outer space
We don't know our own face
Won't act like a human race
We strictly wasting our rhymes
Thus wasting these young minds
Realize you are human kind, lick a shot one time!
Outro:
One time, I give em one time
I give em one time",https://genius.com/K-os-one-time-hainesvox-lyrics
Faith,The Anchorman Mixtape,UnKnown,"Pay attention, its on
Staring at my city lights through the plane window as I write this song
Have faith, when I do it
I’ma do it bigger than they think
I dont just flow I over flow I be filling up the sink
Like I left the water on I run this bitch if anybody ask
Ain't much change since high school
Niggas still be in and out of class
S class or the brand new CL5 on them haters
Black paint, chrome trim same color as the logo for the raiders
I just said that cause I'm out in California in the studio with Tez
You should give us credit niggas killin people we can be all doin that instead..
But we not, we just kill the summer every single time I come around
Never chase hoes but we do we laugh at them niggas tryin to run em down
Not I, not me, YMOB,
 call jaz, call c
Bet both of them would agree
Get viewed, get judged, get booed, get loved
Shit get done round here, do you, not us

Im gon do what I want
Cause this life’s made for living
You got to know nothings for sure
Faith in the stars
Im gon do what I want
Cause this life’s what I’m given
Gotta keep my faith in the dark clouds

Once upon a time I met
On this cold explosive dosage she wrote this
But tell me who chose this
Sin city’s innocent really when its inside my mind
And co-sign with a rhyme and a big pen
Once again it’s an even odd
Can’t applaud with one hand
Can’t be God with one fan
Or can you stan you
If not pastor jackson daniels rip that hit that
Now I sip that lightly when I’m on my mic tightly
And I write nightly like Spike Lee
Let me break it down
I been having a maid since the 8th grade with a fade
Rapping by the swings
And the bell never really rings
Class in session there’s no recession
For this upper echelon mic testing its
K-dash-O-S F-R-E-S-H in the place
With a grace in and outta space
Mind that gotta race
Don’t be something that you really not
Sabotage the universal plot
When the planet earth rock gets hot
From the sun don’t get got just get God yeah see that
(Do you believe)",https://genius.com/K-os-faith-lyrics
Sunday Morning,Atlantis: Hymns for Disco,2006.0,"Everyday is Saturday night, but I can't wait for Sunday morning, Sunday morning

It's the same thing, back in the cold
People know people come and go it bores me
Same thing
Seems like I'm trapped in the world where the servants they serve time
Time waits on no man
So when people fall like me
I

Everyday is Saturday night, but I can't wait for Sunday morning, Sunday morning
Everyday is Saturday night, but I can't wait for Sunday morning, Sunday morning

Walking down blocks
Pictures don't stop
Pictures inside my dome
This is not me
I'm just afraid to be here all alone
Hurry up, wait
Quit it don't stop
I'm drowning in the self
This is not me
Where is my revolution, but
If you want to own me
I am not concerned
If you follow me
I know that I can learn
You might be the greatest thing I've ever seen
All I know is music
All, All I've ever known

Everyday is Saturday night, but I can't wait for Sunday morning, Sunday morning
Everyday is Saturday night, but I can't wait for Sunday morning, Sunday morning
(Let's go!)
(Let's go!)
(Let's go!)
(Let's go!)

Everyday is Saturday night, but I can't wait for Sunday morning, Sunday morning
Everyday is Saturday night, but I can't wait for Sunday morning, Sunday morning
Everyday is Saturday night, but I can't wait...",https://genius.com/K-os-sunday-morning-lyrics
Superstarr Part Zero,Exit,2002.0,"Subtext
Today, in the year 2002, the cultural artform called HIP HOP has been
Desecrated by false profits and ergonomics. It's all very strange:
Emcees want to be rockstars, and rockstars want to be emcees
Obviously, we're all posing
Just like blues, jazz, and other African musical tradition, HIP HOP
Has been diluted and presented to the mainstream as a vehicle for
Money, fame, and power. Everybody wants a piece, taking but never
Giving anything back to the culture
This video is dedicated to HIP HOP, as a voice for those who are
Physically and psychologically oppressed. Lo and behold, the
Universal Law of Cause and Effect is swift and true, and those
Who have manipulated will reap what they sow. Still, at this
Time the state of HIP HOP is enough to make an emcee go crazy
Here is a Story of one who did
Intro
Yo the year is 2002
It's the end of the jiggy era
People on the planet Earth are tired
In an effort to aid a great shipment millions of bodies incarnate (GET UP!)
To rock mic's
Complex, this hip hop alchemy
When I was a kid I watched Electric Company
Now I'm all grown living life to the bone
New tone, spaceship take me home
Back to the seventh sun the seventh one
When I drop patience, Kheaven's done
This eloquent vernacular is black enough
To bring a change to Dracula
Uh, I'm hitting them with synonym adrenaline
Then I send em up into the kingdom of the heavens
A matter of time before this rhyme
Infiltrates the bloodstream into the mind
Of a man living a life in Babylonia
I'm lonely as she went to California
Frisco, hypno's, get clothes
Crystals, taking it back to the raw rap

(You, you blind baby. You're blind from the fact.. oh yeah cause you're
Watching that garbage!)
(Chorus) x2
Ooh I love this girl
She's a superstar
You can change the world
You're a superstar
Okay, here we go. Verse two
Yo, I got lyrical shots aimin at 
T. Dot
Telling me that you are, when you know that you're not
Uptown, chilling at the corner store
Thinking, ""Why the hell do I front, I'm hardcore""
Like Castro, master flows pass the golden links
Whatever you think its all old, you get it?
Whatever the cost I will not floss
Emcees actin a boss they all get tossed
Off the plank
Hold the dank I don't burn
I got a lot to say but really lots to learn
Turn, baby you're just not concerned
Whatever earned, thinking of the most high earned
I flip with this some hit, some miss
Don't get fooled by lyrical ventriloquist the twist
Most flee I'm Krishnaji
Come back to flip rap
Do it to crowd; make 'em clap
Superstar, superstar, superstar
(Chorus) x2
Ooh I love this girl
She's a superstar
You can't change the world
You're a superstar
(Get up! Get up! Come on!)",https://genius.com/K-os-superstarr-part-zero-lyrics
Spraying My Pen,BLack On BLonde,2012,"Turn the lights down low and listen to the masters radio
Get in touch with God
You're sittin' on a fence, you sit on a wall
Wasting time and you're trying to stall
But when the bough breaks, I tell you, my friend
I'm comin' downtown and I'm sprayin' sprayin'

Whether Rock-A-Bye, or Humpty Dumpt'
Ain't no apprentice, I'm Donald Trump
Get money, get money, I don't succumb
Stayin' in my lane, on a hundred meter run
My Usain Bolt, my insane quotes
Yes, I stay close to my enemy
No it ain't you; You wish it was
It ain't nothin' but time, so far you're a friend of me
Backstabbers, smilin' faces
I'm da Vinci with a pen and pad, go 'head and trace it
Picture yourself with all my tendencies and platinum bracelets
You still a bitch, I hang you with my bitch's tennis anklet
Beggin' my pardon, pardon my French but I leave you starvin'
You jivin' turkey, I'll let you watch while I'm turkey carvin'
Gone 'til November, dismember you while my guts enlargin'
Lookin' for sympathy, no empathy, shit, you a nigga in the wrong department
Next stop is the purgatory, let the universe choose while you're waitin' horny
Got my bread, got my bitch, not my house, can't pay to call me
Hang up the phone, I'll page you when you can play again, with a major pimp
Ain't talkin' 'bout hoes, I'll say it again
You fuckin' with a made man I'm sprayin' my pen

Sittin' on a fence, you sit on a wall
Wasting time and you're trying to stall
But when the bough breaks, I tell you, my friend
I'm comin' downtown and I'm sprayin' my pen
Sprayin' my pen, sprayin' my pen
Say it again, I said I'm sprayin' my pen
Sprayin' my pen, sprayin' my pen
Say it again

K-OS and Sauks can I gatecrash
I just heard a couple AK's blast
I'll pull out my pen and spray cats
I'll pack a whole novel, my Great Gatsby
Ready to spray 'em if they gas
No facemask, I do it asap
Me and K dash, we laid back
That's my anchorman, we stay classy
That pen game, that stage craft
You know I'm crazy with it no straight jacket
That crazy cake, I don't bake that
So I don't waste stacks on no Maybachs
See I take the cash and I save that
When I make scratch like I'm A-Trak
And we blaze rappers, y'all rate that
That's slang from the place where I'm based at
It's where Drake's at, it's where I pay tax
It's Van city out to Ajax
And Montreal out to H Fax
And we learn, y'all, I ace classes
I'm old school, like way back
Dwayne Wayne glasses, no face tats
No save as, just ADAT
Y'all say good night when we say blat
No graff paint but we spray that
Me, Sauks and K-OS slay tracks
No graff paint but we spray that
Your body shows we slay tracks

Sittin' on a fence, you sit on a wall
Wasting time and you're trying to stall
But when the bough breaks, I tell you, my friend
I'm comin' downtown and I'm sprayin' my pen
Sprayin' my pen, sprayin' my pen
Say it again, I said I'm sprayin' my pen
Sprayin' my pen, sprayin' my pen
Say it again

You know when you love someone
And they love you too
But uh
Cataclysmic with a gold Bic
I'm a mystic lemme know quick, where my girl at?
Is she LA, in the New York
Is she back home, Forest Hill, I heard her new man's wack
But of course cause he ain't me
All the rappers on the block try to paint me
But they can't see, cause I'm livin' in the water
And I'm comin' in the form of Krishna Murti
I'm not worthy like the human serviette
Damn girl, I wish I was your cigarette
Cause you zig-a-zig-a-zi so tightly
And I'm bad for your health but bitely
So, cause hip hop is punk rock
And it just don't quit and it don't stop
And if you mess with ? and Saukrates
Then Shad-K's gonna spray and you'll get dropped, hot
Nobody's gonna stop our rise
To the top cause we rap like crop
Circles of the alien race so face the facts
We gold from black with platinum plaque
? Don't stop, get it get it get it when I hit it
I remain committed to walk her for a minute
Down to split the atom bomb, analytical
And I did it, split it with Glenfiddich
Wow, we're so alive
Dip, dip, dive, socialize
Tell no lies, Kevin Brereton
Like rap's Al Iverson, I'm the livest one and Poseidon's son

Sittin' on a fence, you sit on a wall
Wasting time and you're trying to stall
But when the bough breaks, I tell you, my friend
I'm comin' downtown and I'm sprayin' my pen
Sprayin' my pen, sprayin' my pen
Say it again, I said I'm sprayin' my pen
Sprayin' my pen, sprayin' my pen
Say it again",https://genius.com/K-os-spraying-my-pen-lyrics
Crucial,Joyful Rebellion,2004,"See this here
This is Crucial, yeah

This is an emergency
They shot down in the dark
They did it cause it paid a fee
Now there's nothing to can die for
All the kids from miles around
Are fools in paradise
Don't know about the firing sound
So the scene is an eyesore
Coming back we fly away
Jah-jah coming so I live to see another day
All I think about if I were just to run away
Would I come back to love you girl?

I don't wanna change the world
I only want to stop pretending
What you say? Come again
What you say? Come again now
Nothing left to do but let it burn
I only hope we're all ascending high
What you say? Come again?
What you say? Come again now?

All around my hometown
They tried to chop me down
But the truth shall not forsake me
Take me up to higher ground
And you-ou-ou-ou-ou
You're the light when the feeling is dark
You're pretending the game is a race
Because you're born and you die'll in my heart

I don't wanna change the world
I only want to stop pretending
What you say? Come again?
What you say? Come again now?

I will never let you down
I'll be right here beside you, hanging around
So if you think you let me down
Leave me here in silence, without a sound
Change words
Ch-Change burns
We came first
That's why we're in chains
And there's no one to blame it on",https://genius.com/K-os-crucial-lyrics
