title,album,year,lyrics,urls
Fayette,AK1*,2020,"J'peux plus le faire, j'ai plus repère
Seulement mon teh, seul dans le 'blème, oh oh
Ils s'sont laissés faire, quel est ce bruit ?
J'entends l'eau, j'suis seul dans le vice, deux pines-co, j'suis drogué depuis longtemps
J'écris ces lignes seul dans la ville
Un peu de weed, un peu de vitamines
Et si je perds, j'tombe dans le vide, eh

Chickity check, j'ai de la weed, eh
J'suis dans la drogue, j'ai de la han c'est pas du riff, eh
C'est de la folle, c'est de la han ah, c'est du vice, hey
T'apprends l'amour, c'est dans l'square, pas dans les livres, hey
T'apprends l'amour, c'est dans l'square, pas dans les livres, hey
(Pas les livres, pas les livres, pas les livres, pas les livres)
Appelle-moi le cœur cassé
Avec toi, rien ne se passe comme prévu
Quand la nuit tombe, on s'en va d'ici
Okay, danse avec moi un dernier soir, ne parle surtout pas
J'ai des envies, on s'en bat l'espoir
J'fais des cauchemars où l'on n'survit pas
Juste caresse-moi jusqu'à l'extase, j'te r'ssens dans le noir
Souris-moi, vie sale, on n's'arrête pas
Si t'as envie qu'on s'écroule

Okay, là, j'suis dans la ville
On met d'la liqueur dans des cups plastiques
On a invité des filles
Ça va finir comme un porn casting
Okay, là, j'suis dans la ville
On met d'la liqueur dans des cups plastiques
On a invité des filles
Ça va finir comme un (comme un woohoo)

Okay, danse avec moi un dernier soir, ne parle surtout pas
J'ai des envies, on s'en bat l'espoir
J'fais des cauchemars où l'on n'survit pas
Juste caresse-moi jusqu'à l'extase, j'te r'ssens dans le noir
Sous moi, vis ça, on n's'arrête pas
Si t'as envie qu'on s'écroule
Dans le vide",https://genius.com/Ashkidd-fayette-lyrics
Arizona,AK1*,2020,"          
            Lyrics for this song have yet to be released. Please check back once the song has been released.
          
        ",https://genius.com/Ashkidd-arizona-lyrics
7AM,Chillance Avenue - EP,2013,"Le soleil m'tape sur la tête
Negro je m'en vais, negro elle me prend la tête
Moi je perds un thème, viens on prend la teil
On finira comme des gens qui se perdent, en vrai c'est pas la peine
Pleine de weed, un souffle là je tire un trait
Minuit sur ma montre, j'suis toujours pas rentré
J'vois au dessus, l'avenir est quelque part
Ramène des filles à l'appart, on finira dans quelque part
Voir le large savoir qu'on est fourrés
Avec tous mes 
loco lean
 et bourrés
Faire beaucoup plus de biff amène des filles on est
Posés sur les bords on est contents qu'elles veuillent se promener
Après minuit, une heure tu m'rejoins au tel-ho
BLV
 dans la suite les hoes adorent le tel-ho
Le bruit des glaçons, mes gars s'rafraîchissent
Et pour la nuit d'ma vie trois-quatre jolies métisses

Faut qu'on parle de nous
Faut qu'on parle de tout
Faut qu'on parle du sun et ces gens qui se perdent au milieu de la foule
Faut qu'on parle de folies
Faut qu'on profite de nos vies
Vu que le temps ne nous laisse rien
On préfère jeter nos desseins

Et j'veux la 
paie
, j'veux les hoes et j'veux les femmes et j'veux des roses
On pardonne tout, on se laisse rien, on remet tout au lendemain
On traîne le soir, on vous dit rien mais on rêve de ça et on fuit les autres
On parle moins que vous
On ferme la porte, on voit des choses mes negros et moi
On s'balade frais dans ma putain d'ville
Frais negro putain d'vie
On prie pour que le million suive
On voit des bling quand sort le Lonsdale
On aurait pu suivre un million de lignes
Mais on préfère chiller la nuit
Pendant que vous autres ne nous envient
Passer des coup-de-fils voulant chiller
Bouteille de champ'
On fête nos anniv' dans ta chambre
On a l'air cool roulant le chanvre
Mais bon le duplex et gloire sont les chants
Mannequin qui passe souvent
Voulez-vous que je vous explique comment
Le rêve nous suit, là tu veux nous filmer

Faut qu'on parle de nous
Faut qu'on parle de tout
Faut qu'on parle du sun et ces gens qui se perdent au milieu de la foule
Faut qu'on parle de folies
Faut qu'on profite de nos vies
Vu que le temps ne nous laisse rien
On préfère jeter nos desseins",https://genius.com/Ashkidd-7am-lyrics
Allume un blunt,Chillance Avenue - EP,2014,"Allume un blunt, éteint la lumière
Ouvre le Dom Péri, mets-en dans mon verre
On est posés, posés, trop bien posés
On fait des choses que les autres ne veulent pas oser
Roule un jolie cône, bleu est la liqueur
Ouvre de la bonne humeur, mets-en dans mon coeur
On cherche les hoes, l'argent, le million
Et des femmes qui nous veulent, qui nous surnomment les mignons, négro

Là-bas y a pas d'hiver, j'suis dans la carrera, ta meuf raconte des balivernes, négro (x2)

Allume un blunt, éteint la lumière
Ouvre le Dom Péri, mets-en dans mon verre
Mets-en dans mon verre
Éteint la lumière
Mets-en dans mon verre

Allume un feu, port de plage Cali
Renverse le champagne, toi t'es dans le Nord-Pas-De-Calais
On s'tape les filles qui prétendent qu'on regarde en haut
Et elles veulent voir la nuit, l'aube juste rire au près de l'eau
Mais baby mets un short moulant, monte dans la Bugatti
Roulant ivres et riches
 
.
, là où j'trainais plus petit
On veut des billets roses, des mannequins et des choses
Vous autres étant des fausses cette bitch voit pas de défauts, négro

Là-bas y a pas d'hiver, j'suis dans la carrera, ta meuf raconte des balivernes, négro (x2)

Allume un blunt, éteint la lumière
Ouvre le Dom Péri, mets-en dans mon verre
Mets-en dans mon verre
Éteint la lumière
Mets-en dans mon verre",https://genius.com/Ashkidd-allume-un-blunt-lyrics
Jade,Chillance Avenue - EP,2014,"Hey wassup
Issa ouais

J'me rappelle ce 1er avril 09
J'tirais pas sur le blunt mais les potes faisaient des ré-soi
Jeune et fou, jeune négro venant de l'espla
On grillait tous Issa pour qu'les filles viennent danser
2 heures avant minuit buvant comme des jeunes rois
Tous cons et bien fourré et dans l'appart à l'Oscar
Il m'a fallu 2 minutes pour v'nir te draguer
J'disais que des bêtises mais toi tu restais là
T'avais pas de téléphone je me rappelle alors j'ai pris celui de ta pote tu croyais que c'était pour elle
On était tous les 2 cotés, tous nos potes voulaient nous voir, moi je voulais te voir juste avant que ta daronne dise de rentrer
Je me rappelle de tout alors j'écris un track, première fois qu'on... je me rappelle t'avais le trac, ouais
Le temps d'un couplet, je mets 6 lots dans la cassette, je retire mon index de la gâchette

Et on pouvait donner tout pour nous, les regarder faire les 400 coups
On était jeunes, on était parfaits
Parfaits pour se blesser
Et on pouvait donner tout pour nous, les regarder faire les 400 coups
Après tout on voyait rien venir on voulait juste chiller,  dépenser, sortir ce qu'il y avait dans nos pensées
Ma chérie wassup?
Ma chérie wassup?
Hey wassup?
Ma chérie wassup?
Ça fait drôle genre
Ma chérie wassup?
Hey wassup?
Yeah

Les temps changent
Mais genre, ça restera toujours quelque chose de personnel
Pas quelque chose d'artificiel où... où la..

On faisait l'amour toute la nuit, se prenait la tête comme Tom et Jerry
Un resto, sèche tes larmes on ira peut être au Jelly, ma chérie
Voir l'amour noyé dans le coca cherry, au yavé, bénis mes exs car elles étaient bien jolies, zidi
Trouve toi un mec qui (?)
Et vu tout ce que je sais j'oublie là tout ce que j'ai et tout ce que j'aime
Une pause sur laquelle t'écris des choses belle métisse belle pause rouge au bouquet de roses
Je sais pas, elles sont pas comme toi
Elles veulent maquer, dans un club pour me smacker
Aujourd'hui je vois des bad bitches aucune d'entre elles me fait oublier, oui j'ai menti je n'ai pas pieds, j'ai nagé je n'avais pas pieds
Maintenant les filles me disent du genre ""t'es beau garçon"", je t'avoue que j'ai mes façons elles veulent laver mes caleçons
Je préférais quand tu prenais soin de moi, tu disais ""JC passe à la maison""

Et on pouvait donner tout pour nous, les regarder faire les 400 coups
On était jeunes, on était parfaits
Parfaits pour se blesser
Et on pouvait donner tout pour nous, les regarder faire les 400 coups
Après tout on voyait rien venir on voulait juste chiller, dépenser, sortir ce qu'il y avait dans nos pensées
Ma chérie wassup?
Ma chérie wassup?
Hey wassup?
Ma chérie wassup?
Yeah
Ma chérie wassup?
Hey wassup?
Yeah
Hey wassup?
Ash Kidd, mon négro
Yeah",https://genius.com/Ashkidd-jade-lyrics
1997,Chillance Avenue - EP,2014,"Met pas tes yeux sur ma cheek
Cette pute ne voit que le fric
Après le blunt j'aurais sûrement la trique
J'graille je ne vois que les frites
Tu prie le dieu, tu pries le jeu, tu prône
Et j'roule un cône
Avec une conne au cul semblable a Kim
Bat les couilles du taux de mort dans ta section
J'suis dans ma zone on fait les choix pour une élection
Le roi, le peuple personne t'écoute on fourre ta salope de copine
On fourre jusqu’à gratter les titres
Et yo jusqu’à rater les tirs
La vie est dur donc j'ai le barreau souvent, gros
La mort approche comme un cayenne au Soudan, gros
J'partirais pas libre s'ils ne partent pas les chicos pleins d'sang
Pluie d'balles prend la douche ou finit dans un bain d'sang
500 billets d'euros pete un cable
Les couilles en or comme Billy
Je jette les giffles jette un peu d'regards
Parlez de nous de nos effectifs, la biffle est respective
Au fond du trou pour les effets tire, yo pour les laisser dire
Uno dué.. como esta pétasse ?
J'pleurs des océans de papiers tout vert
Smoke and lean négro je vois tout vert
Cette pute devra tout faire
Tout les dimanche elle prend tout bien jusqu'a s'étouffer eh Yo jusqu'a s'étouffer
Eh yo tatoo sur les avant bras, de l'or sur les dents du pape
Du pain trempé dans du lait,du lait trempé dans du pain
Négro t'es dupe tu veux trouver mon crew, gros nique ta mère
Ces pédés nous ressemblent pas j'ai jurer la vie d'ma mère
Voila qu'j'deviens pas crédible, ne dis que des méchancetés
Mais vous vouliez nous faire la guerre quand on faisait nos veux de chasteté
Y'a que les moutons qui suivent le troupeaux
Nous tirâmes et ils coururent
On va devoir prendre vos peaux au couteau
Les tirâmes et les fourrures
Négro je ne vois que des tas de seins",https://genius.com/Ashkidd-1997-lyrics
Gainsbourg,Chillance Avenue - EP,2014,"Bisous sur la bouche avec la langue
Coco Chanel je deviens très lent
A chaque fois qu'on passe on voit des pussy ass'
XXX dans le XXX
Prend cette coke , met toi bien
Regarde le sky, pense pas à demain
La nuit je plane comme Aladin, j'veux de la verte
Ouvre donc le coffre
J'renferme mon cœur il est recouvert d'or
La vie genre Gainsbourg
Le nègre n'est pas matinal
Peignoir et cigarettes
J'demande à ma pétasse arrête
Un classique genre quatre vingt douze
Donne moi tes lèvres qu'est ce qu'elles sont douces
Qu'est ce qu'elles sont douces
Prend cette coke , met toi bien
Regarde le sky, pense pas à demain
La nuit je plane comme Aladin
Bitch donne ma buddha cheese
Dis toi toutes les putains d'pétasses qu'on attire
Tu sais pas XXX
Vrai, vrai, vrai",https://genius.com/Ashkidd-gainsbourg-annotated
Motel,CRUISE,2015,"Who wants to know
All that is gold is rusted

Viens prendre le large avec moi
Laisse même tes ffaires-a, laisse-moi gérer ça
On a du temps à gagner, des billets à prendre
Calé sur la mer, le gun calé sur la tempe
Bébé j’pourrais pas attendre
Quand la nuit m'aperçoit
J’repense à nos exploits
Nos merveilles nos réssoi
J’veux recommencer là
Mêmes parfums, mêmes endroits
Laisse tomber les cours, on sera jamais calés en droit

Tu veux qu’on fume la bonne kush
Ma main passant dans tes cheveux
J’y passerais bien la nuit
La journée, même la vie
Tu veux des balades nocturnes
À boire l’amour comme opium
À s’droguer pour la même pure
Même vue, même vie
À se dope à s’tuer ensemble
Who wants to know
All that is gold is rusted

On n'est plus les mêmes, on n'a plus le nerf
Y'a plus de larmes en perles sur ton blouson laine
On laisse passer le temps, on reprend on sait qu’on s’aime
La nuit m’apprend la ride, m’épargne de ses conseils
À cruise encore le soir pour qu’apparaisse la flamme
J’aimerais tuer la diablesse qui est dans la femme
Tes copines restent là par ce que j’suis dans la fête
Ohh ohh j’prend ton coeur m’enfuis avec
Nous on est pas des amoureux du bas
J’veux d’toi les yeux fermés, j’entend pas quand tu parles
Qui nie la voix la jalousie la haine l’amour la tempête
Les cris de joie les grandes blessures la guerre la foire en grande perte
Non, non la vie sans toi je n’connais pas
J’avoue j’captais des pétasses, c’était au départ
Maintenant on danse sur la musique
Tu ris sur l’air de trompette
Tu veux qu’on cruise qu’on baise
Tu laisses ton rouge à lèvres sur mon pet'

Tu veux qu’on fume la bonne kush
Ma main passant dans tes cheveux
J’y passerais bien la nuit
La journée, même la vie
Tu veux des balades nocturnes
À boire l’amour comme opium
À s’droguer pour la même pure
Même vue, même vie
À se dope à s’tuer ensemble
Who wants to know
All that is gold is rusted",https://genius.com/Ashkidd-motel-lyrics
Nostalgie,CRUISE,2015,"J’ai demandé à la lune
Si elle voulait m'bercer le soir
Elle m’a dit j’ai pas l’habitude
De croiser des negros comme toi
Maman n’sait pas
Que je fume la pure
Elle voudrait pas me voir en bas
Finir comme les mecs de ma ur
Avec du jack dans le coca
Mais tous les jours
J’pense qu'à faire de la tune
A prendre les chicks dans la re-soi
J’avoue que j’perds de l’altitude
Quand j’lean le sirop violet noir

Lalalala lalalala

Et j’ai demandé a cette brune
Si on pouvait s'voir quelques soirs
Elle m’a dit : ""Claude, mais oui bien sûr""
J’adore quand tu m’prends sous tes draps
Mais toi et moi, c’est pas une histoire sûre
T'as vu les filles qui tournent autour de toi
Tes yeux reflètent ton amertume
Faudrait peut-être qu’on s’arrête la

Lalalala lalalala

Tous les jours on lean, mane
Prêt à couper l’business, à l’Opinel
On ride on fait en finesse
Millionaire en vitesse
Avant qu’nos fils naissent
C’est pas la même que nous les gars
On cruise encore le soir
On met les bad bitch dans la tire
Negro tu les tires en bas
On prend le temps de boire
On fume la kush au square
On rêve de millions noirs
Nos cœurs encore s’emballent
On prie on vit que le soir
J’vais loin toutes les nuits j’y pense
J’préfère pas me faire mal
Mais j’bois et je rentre dans la danse
Quel cauchemar infernal
Toujours et toujours plus fort
J’ai raison donc j’ferais toujours à tord
Je sais qu’on va trop vite
Alors je fais le vide
Les larmes qu’on laisse
Evite les drames, on prend des risques
Tu sais on avance encore

Lalalala Lalalala",https://genius.com/Ashkidd-nostalgie-lyrics
Parfum,CRUISE,2015,"Elle est née un soir d'hiver
Cocaïne dans mon parc
Crack dans le nez
J'chante que des poèmes dans mon bat'
On sortait même tous les soirs
Paie des faits d'ivresses
Mais qu'est-ce que je pourrais faire pour elle?
Elle a de la magie dans les yeux
Des tonnes de couleurs dans les tresses
Du pognon dans ma veste
En polo dans la tess'
Surligne ton prénom dans ma thèse
Et les mecs qu'est-ce qu'il en reste?
Un poison pour la peste
Un démon dans la messe
Une bombe en plein coeur de Budapest
J'me pique à l'héro et j'encaisse
Pour que tu deviennes ma princesse
J'ai cherché de la coke dans l'Everest
J'pourrais pas remplir ma veste
Toujours dans la fête, ton parfum sur moi
À remplir des verres, danser jusqu'à 4 heures du mat'
J'vois les erreurs qu'on a fait
Un cœur noir sur la Terre
Les crimes qu'on a pas su commettre
Mais toi t'as fait brûler le mat
J'me demande si tu rêves encore
Poser tes mains sur mon corps
La nuit j'te vois, la nuit j'adore
La vie me noie mais je deale encore
(Ton parfum)
(Ton parfum)
(Sentir ton parfum)

Ok, ok, monte dans ma tire, ma tire
L'argent et toi, y'a que ça qui m'attire, m'attire
J'te vois recouverte, noire de saphir
J'veux partir, je sais que les autres aimeraient que ça tire
Sur ce qu'on veut bâtir
Mais la nuit t'es toute à moi
On peut rien te refuser
Je nous imagine dans le noir
Ou dans le feu d'une fusée
Rien à foutre de ces chicks
J'suis déjà épuisé
J'parle de toi qu'à Dieu, il pourra pas mépriser
Tous les flags qu'on a hissé
Minuit dans mon bat', une heure dans ton lit
J'réécris l'histoire que les autres aimeraient qu'on lise
On fume de la drogue, on traîne dans la ville
Quand vient la nuit, on baise, on casse un gramme
On meurt, on répète
À deux sous les draps
Quand se fait sentir la tempête
Y'a des billets sous la table
On fuit quand tout semble bête
Crache ton parfum sur la flamme
On prend la poudre d'escampette
J'veux ton parfum, ton parfum

(ton parfum), yeah, (ton parfum), yeah, (ton parfum)",https://genius.com/Ashkidd-parfum-lyrics
