title,album,year,lyrics,urls
Je suis chez moi,Éternel Insatisfait ,2016,"Tout le monde me regarde
A travers mon innocence je pense qu'ils me charment
Ma maîtresse d'école m'a dit que j'étais chez moi
Mais mon papa lui pourtant se méfie d'elle, est-elle fidèle ?
La France est belle
Mais elle me regarde de haut comme la Tour Eiffel
Mes parents m'ont pas mis au monde pour toucher les aides
J'ai vu que Marion m'a twitté d'quoi elle se mêle ?
 
Je sais qu'elle m'aime

Je suis français
Ils veulent pas que Marianne soit ma fiancée
Peut-être parce qu'ils me trouvent trop foncé
Laisse moi juste l'inviter à danser, j'vais l'ambiancer
Je suis français
Ils veulent pas que Marianne soit ma fiancée
Peut-être parce qu'ils me trouvent trop foncé
Laisse moi juste l'inviter à danser, j'vais l'ambiancer

J'paye mes impôts moi
J'pensais pas qu'l'amour pouvait être un combat
A la base j'voulais juste lui rendre un hommage
J'suis tiraillé comme mon grand-père ils le savent
, c'est dommage
Jolie Marianne
J'préfère ne rien voir comme Amadou et Mariam
J't'invite à manger un bon mafé d'chez ma tata
Je sais qu'un jour tu me déclareras ta flamme, aïe aïe aïe

Je suis français
Ils veulent pas que Marianne soit ma fiancée
Peut-être parce qu'ils me trouvent trop foncé
Laisse moi juste l'inviter à danser, j'vais l'ambiancer
Je suis français
Ils veulent pas que Marianne soit ma fiancée
Peut-être parce qu'ils me trouvent trop foncé
Laisse moi juste l'inviter à danser, j'vais l'ambiancer

Je suis chez moi (chez moi, chez moi)
Je suis chez moi (chez moi, chez moi, chez moi)
Je suis chez moi (chez moi, chez moi)
Je suis chez moi (chez moi, chez moi)
Je suis français (chez moi, chez moi)
Ils veulent pas que Marianne soit ma fiancée (chez moi, chez moi)
Peut-être parce-qu'ils me trouvent trop foncé (chez moi, chez moi)
Laisse moi juste l'inviter à danser (chez moi, chez moi) J'vais l'ambiancer

Je suis français
Ils veulent pas que Marianne soit ma fiancée
Peut-être parce qu'ils me trouvent trop foncé
Laisse moi juste l'inviter à danser, j'vais l'ambiancer

Je suis noir
Je suis beur
Je suis jaune
Je suis blanc
Je suis un être humain comme toi
Je suis chez moi
Fier d'être français d'origine guinéenne
Fier d'être le fils de monsieur Diallo
Éternellement insatisfait
A suivre...",https://genius.com/Black-m-je-suis-chez-moi-lyrics
À l’ouest,Éternel Insatisfait ,2016,"Guinée-Conakry
Conakry-Guinée
Big Black, MHD
Regarde ça en HD
Demande à Dany Synthé

Je viens d'un endroit où on ne connait pas les dollars, yeah
J'ai vu qu'ils ont peur de moi comme si j'étais Ebola, yeah
Je tape des pas comme si l'ennemi m'avait bout-mara, yeah
Ne m'en voulez pas parce que...

Je suis à l'ouest
 
(Bambara, malinké, soussou, diakhanké)
À l'ouest, à l'ouest
Afrique de l'ouest
 
(Bambara, soninké, diola et bété)
À l'ouest, à l'ouest
Je suis à l'ouest
 
(Conakry, Bamako, Dakar, Abidjan)
À l'ouest, à l'ouest
Afrique de l'ouest
 
(Banjul, Ouagadougou, Lomé, XXX)
À l'ouest, à l'ouest
Je suis à l'ouest

J'suis constant comme Kévin
, 
j'dis plus mon blaze, à toi de deviner
Il caille en février, posons les armes, direction la Guinée
J'crois qu'ils m'ont matrixé, 
j'suis dans mon truc un peu trop paro'
Et Néné me dit d'représenter mon bled à la Fode Baro
Je me suis toujours demandé pourquoi les jaloux ils parlaient si mal
J'suis toujours sur ma route comme maître Yaya mon fidèle taximan
Sandales déchirées, j'revois l'sin-cou en train de chercher à taffer
La vie c'est bizarre, à la fin on va te demander qu'est-c'que t'as fait

Je viens d'un endroit où on ne connaît pas les dollars, yeah
J'ai vu qu'ils ont peur de moi comme si j'étais Ebola, yeah
Je tape des pas comme si l'ennemi m'avait bout-mara, yeah
Ne m'en voulez pas parce que...

Je suis à l'ouest
 
(Bambara, malinké, soussou, diakhanké)
À l'ouest, à l'ouest
Afrique de l'ouest
 
(Bambara, soninké, diola et bété)
À l'ouest, à l'ouest
Je suis à l'ouest
 
(Conakry, Bamako, Dakar, Abidjan)
À l'ouest, à l'ouest
Afrique de l'ouest
 
(Banjul, Ouagadougou, Lomé, XXX)
À l'ouest, à l'ouest
Je suis à l'ouest

Eh, ngatié,
 
trop d'amour pour mon peuple, tricolore, rouge, jaune, vert, au moins c'est dit
On m'a dit ""vas-y tout seul""
, 
j'veux marquer l'époque comme Titi au Syli
Une boule au ventre, on associe mon bled à l'Ebola
Mais ça change rien, ce soir j'me pavane dans la capitale
0.224, veuillez baissez les armes
, 
j'ai quitté Paris, j'suis au bord de la mer
Vos guerres débiles ne servent à rien, réveillez-vous, au fond on est tous les mêmes
Ce soir j'suis au pays, on descend sans papiers
Un p'tit tour à Madina,
 le drapeau sur l'dos, la jeunesse peut se lever

Je viens d'un endroit où on ne connait pas les dollars, yeah
J'ai vu qu'ils ont peur de moi comme si j'étais Ebola, yeah
Je tape des pas comme si l'ennemi m'avait bout-mara, yeah
Ne m'en voulez pas parce que...

Je suis à l'ouest
 
(Bambara, malinké, soussou, diakhanké)
À l'ouest, à l'ouest
Afrique de l'ouest
 
(Bambara, soninké, diola et bété)
À l'ouest, à l'ouest
Je suis à l'ouest
 
(Conakry, Bamako, Dakar, Abidjan)
À l'ouest, à l'ouest
Afrique de l'ouest
 
(Banjul, Ouagadougou, Lomé, XXX)
À l'ouest, à l'ouest
Je suis à l'ouest
[Pont : Black M & 
MHD
]
On va tout contrôler comme au barrage 36
Tout contrôler comme au barrage 36
On va tout contrôler comme au barrage 36
Tout contrôler comme au barrage 36
Abédi abédi...
Black M abédi, ngatié abédi
Ngatié abédi, abédi...

Je suis à l'ouest
 
(Bambara, malinké, soussou, diakhanké)
À l'ouest, à l'ouest
Afrique de l'ouest
 
(Bambara, soninké, diola et bété)
À l'ouest, à l'ouest
Je suis à l'ouest
 
(Conakry, Bamako, Dakar, Abidjan)
À l'ouest, à l'ouest
Afrique de l'ouest
 
(Banjul, Ouagadougou, Lomé, XXX)
À l'ouest, à l'ouest
Je suis à l'ouest",https://genius.com/Black-m-a-louest-lyrics
French kiss,Éternel Insatisfait ,2016,"Trop de fierté pour avouer
Les sentiments, il faut pas jouer
Les sentiments, ils te font douter
Arrête de dire qu'il te dégoûte
Oh, ma copine, ma copine
Raisonne-toi, arrête tes sottises
T'es sous 'tise, t'es sous 'tise
Pour parler d'amour : pas besoin de sous-titres
J'te vois, tu soupires, tu soupires
Laisse-le partir, je suis là au pire
Bah ouais, ton cœur est brisé
Toutes les femmes te disent : c'est l'homme le fautif

Je l'aime à la folie, un peu beaucoup, passionnément
Pas du tout, pas du tout
Je l'aime à la folie, un peu beaucoup, passionnément
Pas du tout, pas du tout

French Kiss
Je l'aime à la folie; French Kiss
Je l'aime un peu, beaucoup; French Kiss
Je l'aime passionnément; French Kiss
Pas du tout

Tu t'es fait complètement envouté
Regarde maintenant ce que ça t'as coûté
Y'a certaines choses qu'il ne faut pas goûter
Arrête de dire qu'elle te dégoûte
Ah, mon gars vas, mon gars vas, tes frérots sont là
T'inquiète pas, ça va
Comment ça ? Comment ça ?
Oublie-la, tu peux tout recommencer
Une de perdue, dix de retrouvées
Toi tu veux retrouver celle que t'as perdue
Bah ouais, quand le coeur est brisé
Tous les hommes ne font que dramatiser

Je l'aime à la folie, un peu beaucoup, passionnément
Pas du tout, pas du tout
Je l'aime à la folie, un peu beaucoup, passionnément
Pas du tout, pas du tout

French Kiss
Je l'aime à la folie; French Kiss
Je l'aime un peu, beaucoup; French Kiss
Je l'aime passionnément; French Kiss
Pas du tout

Tu n'es jamais sûr de toi
Tu sais pas ce que tu veux, toi
Tu le veux sous le même toit
Tu la veux sous le même toit
En amour, 'suffit pas d'y croire
Tu vis dans le doute et l'espoir
Quand t'es seul face à ton mirroir
Tu te refais l'histoire
Mais tu l'aimes (tu l'aimes, tu l'aimes)
Hein, tu l'aimes (tu l'aimes, tu l'aimes)

Je l'aime à la folie, un peu beaucoup, passionnément, pas du tout, pas du tout
Je l'aime à la folie, un peu beaucoup, passionnément, pas du tout, pas du tout

French Kiss
Je l'aime à la folie; French Kiss
Je l'aime un peu, beaucoup; French Kiss
Je l'aime passionnément; French Kiss
Pas du tout

French Kiss
French Kiss
French Kiss
French Kiss
French Kiss",https://genius.com/Black-m-french-kiss-lyrics
Tout ce qu’il faut,Éternel Insatisfait ,2017,"Je te vois (je, je, je, je te vois)
Pas besoin, pas, pas, pas, pas besoin d'en faire trop
T'es la reine de la jungle
Tu n'as rien à craindre
Tu les as rendu bêtes
Beaucoup d'entre eux t'tournent autour comme des vautours
Et moi, tu ne le sais pas, mais je te protège (eh !)

Je te vois ne t'en fais pas (je te vois ne t'en fais pas)
Oh ! Je te vois ne t'en fais pas (je te vois ne t'en fais pas)

Tu as tout c'qu'il faut où il faut
Tu as tout c'qu'il faut où il faut
Tu n'as pas besoin d'en faire trop
Pas besoin d'en faire trop (pas besoin d'en faire trop)
Tu n'as pas besoin d'en faire trop
Pas besoin d'en faire trop (pas besoin d'en faire trop)

Tu as tout c'qu'il faut
Tu n'as rien à envier à aucune go
Tu n'as rien à voir avec ces bimbos
Tu n'as pas le vécu de ces michtos
Les hommes rêvent de t'avoir en binôme à huit clos
Tout c'qu'il faut
Ma go, quand t'es là je n'vois pas les autres

Ah ! J't'ai vue direct, j't'ai mise sur le tec', tec', tec'
Oui la belle, elle m'a rendu trop bête, bête, bête
Sans blague, viens on se met d'acc', d'acc', d'acc'
Donne moi ta main, j't'enfile la bague, bague, bague
Trop parler peut tuer, j'vais peut-être m'enterrer vivant
Pour toi, pour toi, m'enterrer vivant
J'te briefe, on fera la diff', diff', diff'
Love to love, ça sera le kiff, kiff, kiff
Si l'amour rend aveugle, tu m'as crevé les yeux
J'te suivrai pour le meilleur et l'pire, pire, pire

Je te vois ne t'en fais pas (je te vois ne t'en fais pas)
Oh ! Je te vois ne t'en fais pas (je te vois ne t'en fais pas)

Tu as tout c'qu'il faut où il faut
Tu as tout c'qu'il faut où il faut
Tu n'as pas besoin d'en faire trop
Pas besoin d'en faire trop (pas besoin d'en faire trop)
Tu n'as pas besoin d'en faire trop
Pas besoin d'en faire trop (pas besoin d'en faire trop)

La nuit tombée, elle sort de son trou
Je l'aperçois mais je trace ma route
Ils te trouvent tous bonne, j'en pense pas moins
Regarde moi ces gav, ils perdent leurs moyens
J'ai vu que tu m'as vu entouré d'mes zins
Mais tu ne m'approche pas, tu veux pas passer pour une michto
Tu sais que mon charisme parle de lui-même
Henoune, j'peux te faire oublier que t'es belle
Tu me vois devant toi, demain sur Snapchat
Tu ne m'oublieras pas j'suis déjà dans une autre go, une autre go
Tu n'as pas besoin d'en faire trop
No, no, no, no, no, no, no, no, no, no

Elle a un petit bodjo, eh oh
Mais ça dérange pas parce que sheguey n'aime que les gros lolos
Elle est che-fraî, oui elle est nne-bo
Elle me fait cracher plus vite que le dernier Lambo
Elle s'en fout des siste-gro, remballe ta gue-dro
Dans son répertoire c'est Messi, Ronaldo
Donc arrête de chercher son numéro
Elle s'en fout d'la saint Valentin
Tout c'qu'elle veut, c'est des Valentino
Si t'es nne-bo, monte dans le Merco
Bébé, oui j'ai tout c'qu'il faut

Je te vois ne t'en fais pas (je te vois ne t'en fais pas)
Oh ! Je te vois ne t'en fais pas (je te vois ne t'en fais pas)

Tu as tout c'qu'il faut où il faut
Tu as tout c'qu'il faut où il faut
Tu n'as pas besoin d'en faire trop
Pas besoin d'en faire trop (pas besoin d'en faire trop)
Tu n'as pas besoin d'en faire trop
Pas besoin d'en faire trop (pas besoin d'en faire trop)

T'es la reine de la jungle
Tu n'as rien à craindre
Tu les as rendu bêtes
Beaucoup d'entre eux t'tournent autour comme des vautours
Et moi, tu ne le sais pas, mais je te protège (eh !)",https://genius.com/Black-m-tout-ce-quil-faut-lyrics
Comme moi,Éternel Insatisfait ,2016,"I'm leaving with a broken heart
Never meant to do you harm
Don't ever wanna see you cry, again
And everybody hurts sometimes
I never meant to do you wrong
I know you're gonna be just fine, he said

J'ai prié pour nous, tard le soir
Tu m'as tourné le dos plus d'une fois
Personne ne t'aimera comme moi
Personne ne t'aimera comme moi
Maintenant faut me laisser m'en aller
Faut me laisser, t'es condamnée
Tu m'as délaissé depuis tant d'années
Mais saches que personne ne t'aimera comme moi
Maintenant faut me laisser m'en aller
Faut me laisser, t'es condamnée
Tu m'as délaissé depuis tant d'années
Mais saches que personne ne t'aimera comme moi

I'm leaving with a broken heart
Never meant to do you harm
Don't ever wanna see you cry, again
And everybody hurts sometimes
I never meant to do you wrong
I know you're gonna be just fine, he said

J'avais des problèmes, tu t'en foutais
Des problèmes de riches, on m'a vu manger seul au Fouquet's
Pour toi j'aurai tout fait, je me serai laisser étouffé
Façon de parler, mais tous les hommes sont pas pareils
Rends-moi la pareil ou alors on arrête
Je m'étais juré que tu serais la seule dans mon harem
Oui, tu ressembles à ma reum, c'est pour ça, j'suis piqué
Mais dis-moi de quoi t'as reu-p', on est juste en train de s'expliquer

I'm leaving with a broken heart
Never meant to do you harm
Don't ever wanna see you cry, again
And everybody hurts sometimes
I never meant to do you wrong
I know you're gonna be just fine, he said

I wish we could go back in time
See the world with different eyes
Knowing what we both know now
Could've made it work somehow
But we said what we said
And what we made, we can't unmake
And what we get is what we gave
And this is that we're stuck with now
Maintenant faut me laisser m'en aller
Faut me laisser, t'es condamnée
Tu m'as délaissé depuis tant d'années
Mais saches que personne ne t'aimera comme moi
Do you remember how you used to get lost in my eyes
(I remember)
Do you remember how you promised you'd never say goodbye?
I remember, I remember, I remember

Faut me laisser m'en aller
Faut me laisser, t'es condamnée
Tu m'as délaissé depuis tant d'années
Mais saches que personne ne t'aimera comme moi
But we said, whatever that we said
And what we made, you know we can’t unmake
And what we get is only what we gave
Mais saches que personne ne t'aimera comme moi",https://genius.com/Black-m-comme-moi-lyrics
Frérot,Éternel Insatisfait ,2016,"Mon frérot

Les histoires d’amitié ça fait mal
J’ai vu des frères y laisser leur vie au final (oh)
Oui quand le diable s’en mêle
Il dira t’es l'seul à pouvoir aller au sommet
J’ai voulu soulager mon ego
J'me répète j'voulais pas faire de mal à mon frérot (oh)
On a fait les 400 coups
Tout c'qui s'passe autour de moi mes vrais gars s’en foutent
Ensemble depuis tout petit
Mon cœur se resserre à l’idée qu’on est devenu ennemis
Des hommes aujourd’hui, c’est plus la même
Mon ami je suis devenu un père de famille
[Refrain : Black M & 
Soprano
]
Mon ego (ego)
Pas devant les frérots (frérots)
Je voulais juste un vrai rôle (frérot)
Pas faire du mal à mon frérot (frérot)
Oh mon ego (ego)
Dites-le moi si j’en fait trop (fait trop)
Devrais-je repartir à zéro ? (zéro)
Pas faire du mal à mon frérot (frérot)
Frérot
Mon frérot
Mon frérot, mon frérot
Mon frérot, mon frérot
Mon frérot, mon frérot
Mon frérot, mon frérot
Frérot

C’est fou comme les années sont passées
On m'dit que ta fille va bientôt rentrer au lycée (oh oh)
Elle doit être trop belle
Connaît-elle notre histoire, nos liens fraternels ?
Je sais que mes rêves m’ont éloigné
Mais pour toucher les étoiles faut savoir s’envoler ! (oh oh)
Ça me fait d'la peine
Quand tu penses que j’ai changé pour de l’oseille
Un vrai frère ne doute pas du cœur d’un frère surtout quand il se bat pour s’en sortir
Avec tout ce qu’on a traversé j’espère que la vie a prévu de nous réunir
[Refrain : Black M & 
Soprano
]
Mon ego (ego)
Pas devant les frérots (frérots)
Je voulais juste un vrai rôle (frérot)
Pas faire du mal à mon frérot (frérot)
Oh mon ego (ego)
Dites-le moi si j’en fait trop (fait trop)
Devrais-je repartir à zéro ? (zéro)
Pas faire du mal à mon frérot (frérot)
Frérot
Mon frérot
Mon frérot, mon frérot
Mon frérot, mon frérot
Mon frérot, mon frérot
Mon frérot, mon frérot
Frérot

Pardonne-moi si je t’ai blessé
Pardonne-moi si je t’ai touché
Mais ce n’était pas mon intention
Mon frérot
Pardonne-moi si je t’ai blessé
Pardonne-moi si je t’ai touché
Mais quoi qu’il arrive tu resteras mon frérot
[Refrain : Black M & 
Soprano
]
Mon ego (ego)
Pas devant les frérots (frérots)
Je voulais juste un vrai rôle (frérot)
Pas faire du mal à mon frérot (frérot)
Oh mon ego (ego)
Dites-le moi si j’en fait trop (fait trop)
Devrais-je repartir à zéro ? (zéro)
Pas faire du mal à mon frérot (frérot)
Frérot
Mon frérot
Mon frérot, mon frérot
Mon frérot, mon frérot
Mon frérot, mon frérot
Mon frérot, mon frérot
Frérot
[Outro : Black M & 
Soprano
]
Mister Big Black M, Sopra M'baba
 (Mon frérot)
Éternel Insatisfait, L'Everest
 (Mon frérot)
2017, 2018, 2019, jusqu'à tant plus
 (Mon frérot)
Frérot, mes kwells !",https://genius.com/Black-m-frerot-lyrics
#Askip,Éternel Insatisfait ,2016,"Welcome, welcome
Ladies and gentlemen, welcome
Askip TV, FM, comme vous voulez
One, two, one, two

Askip le rap est démodé
On est loin de l'époque de M.O.P
Askip, le Black est surcôté
Sa fin est proche, il devrait se mettre sur l'côté
Askip, si je n'vais pas voter
Ils vont renvoyer ma communauté
Askip, j'suis revenu pour tout rafler
Dites aux jaloux qu'ils pourront jamais me saboter (oh)

The roof is on fire
Mes gars sont tous die
La miss, elle fait des manières
Et, moi, j'suis complètement ailleurs
The roof is on fire
Mes gars sont tous die
La miss, elle fait des manières
Et, moi, j'suis complètement ailleurs, ailleurs, ailleurs, ailleurs

Askip, j'suis revenu faire le show
J'en fais un peu trop
J'vais vous faire oublier
Vos super-héros
Askip, j'suis revenu faire le show
J'en fais un peu trop
J'vais vous faire oublier
Huh, huh

Pour commencer, je vous emmerde tous
J'ai commencé et je finirai tout seul
Ils font zerma, mais ils m'écoutent en douce
Bienvenue dans mon monde où tu peux pas dire : ""Pouce""
T'as pas un rond, les gens vont te dire : ""Pousse-toi""
C'est pas marrant quand tu viens de la brousse
Demande à papa qui s'est fait éclabousser
À peine arrivé, on te dit : ""Allez, ouste""
Il y a de l'or mais je me demande : ""Où ça ?""
T'es dans la merde si tu t'appelles Moussa
Ils veulent ma peau parce que j'ai dit le mot *****
Je suis comme Michael, je me demande : ""Who's bad ?""
À la base, j'ai pas demandé tout ça
Va là-bas, le rap, c'est nous, on ne bouge pas
Paw-paw-paw : ça tire, mais ça ne me touche pas
Bla-bla-bla : marmonne le forum sur Booska

The roof is on fire
Mes gars sont tous die
La miss, elle fait des manières
Et, moi, j'suis complètement ailleurs
The roof is on fire
Mes gars sont tous die
La miss, elle fait des manières
Et, moi, j'suis complètement ailleurs, ailleurs, ailleurs, ailleurs

Askip, j'suis revenu faire le show
J'en fais un peu trop
J'vais vous faire oublier
Vos super-héros
Askip, j'suis revenu faire le show
J'en fais un peu trop
J'vais vous faire oublier
Huh, huh

Ouais, c'est du son pour nous ou c'est du son pour 'tou-bab' ?
Les yeux sur toi et tu te prends pour 2Pac
Ils attendent d'être validés par Booba
Moi, j'attends mon chèque mais, ça, faut le dire tout bas
Baisse la tête au cas où le coup part
J'suis comme Benzema : j'suis pas du tout coupable
Non, messieurs, je ne suis pas un loubard
Mais, Dawa', dis-leur que quand on tire, on ne loupe pas
Fouille ma vie, regarde-la à la loupe
Tu verras la racine africaine à la Fally Ipupa
J'sais qu'ça dérange les pures souches
Odeur mafé, gros couscous
Sûr de moi, non, je n'ai pas la frousse
Je suis comme Mesrine vs. le commissaire Broussard
Depuis l'début, ils sont tous à mes trousses
Sexion d'Assaut, Wati B, akhi, oui, c'est mon crew, ça

Et on dit (on dit)
On dit (on dit)
Que je suis (que je suis)
Dans ma folie (oh, oh)
Oui, on dit (oui, on dit)
On dit (on dit)
Que je suis (que je suis)
Dans ma folie (oh, oh, oh)
Oui, on dit (oui, on dit)
On dit (on dit)
Que je suis (que je suis)
Dans ma folie

The roof is on fire
Mes gars sont tous die
La miss, elle fait des manières
Et, moi, j'suis complètement ailleurs
The roof is on fire
Mes gars sont tous die
La miss, elle fait des manières
Et, moi, j'suis complètement ailleurs, ailleurs, ailleurs, ailleurs

Askip, j'suis revenu faire le show
J'en fais un peu trop
J'vais vous faire oublier
Vos super-héros
Askip, j'suis revenu faire le show
J'en fais un peu trop
J'vais vous faire oublier
Huh, huh",https://genius.com/Black-m-askip-lyrics
La Nuit Porte Conseil,Éternel Insatisfait ,2016,"Je suis venu, j'ai vu, et j'ai failli perdre la raison
Peut-être que j'aurai dû simplement rester dans ma maison
La vie est dure et je n'fais que subir toute sorte de pression
Mon passé me rappelle que je dois tout donner dans mon présent
Le futur est flou, demain je ne vais peut être plus voir mes parents
Mes parents qui se battent pour rentrer voir les leurs, au moins une fois par an
Je redoute la fin parce que sur le chemin, j'ai dû clairement blesser
Si tu vois que j'veux tout stopper, mon ami faut me laisser

Et j'ai cogité toute la nuit (
toute la nuit
)
Et j'ai cogité toute la nuit (
toute la nuit, toute la nuit
)
Et j'en ai fait le tour d'ma vie (
toute la nuit
)
Et j'ai cogité toute la nuit (
toute la nuit
), toute la nuit

On dit que la nuit porte conseil
J'ai les yeux rivés vers le ciel
On dit qu'la nuit porte conseil
Porte conseil, porte conseil

Et elle, quand elle est rentrée dans ma vie, j'ai vu la passion
La passion qui t'fait faire toute sorte de chose dans l'feu de l'action
Le feu de l'action qui brûle peu importe ta décision
J'aurai pas dû faire de ma réalité une fiction
Peut-être que foncer tête baissée, telle est la vraie définition de l'amour
La fierté c'est bien, mais quand la femme de ta vie te regarde, faut que t'avoues
J'ai beau faire le dur, mais c'est elle qui porte mon enfant avec bravoure
Et tout c'qui s'passe autour, je n'sais pas vraiment si ça vaut l'coup

Et j'ai cogité toute la nuit (
toute la nuit
)
Et j'ai cogité toute la nuit (
toute la nuit, toute la nuit
)
Et j'en ai fait le tour d'ma vie (
toute la nuit
)
Et j'ai cogité toute la nuit (
toute la nuit
), toute la nuit

On dit que la nuit porte conseil
J'ai les yeux rivés vers le ciel
On dit qu'la nuit porte conseil
Porte conseil, porte conseil

Laissez-moi, ce soir je n'veux pas sortir
J'veux m'isoler, je suis déboussolé
Même avec du monde, je me sens seul
J'veux m'isoler, j'suis désolé

Et j'ai cogité toute la nuit (
toute la nuit
)
Et j'ai cogité toute la nuit (
toute la nuit, toute la nuit
)
Et j'en ai fait le tour d'ma vie (
toute la nuit
)
Et j'ai cogité toute la nuit (
toute la nuit
), toute la nuit
 :
On dit que la nuit porte conseil
J'ai les yeux rivés vers le ciel
On dit qu'la nuit porte conseil
Porte conseil, porte conseil",https://genius.com/Black-m-la-nuit-porte-conseil-lyrics
Parle-moi,Éternel Insatisfait ,2016,"Parle-moi, parle-moi j’ai tant de choses à te dire
Aide-moi, aide-moi à ne pas souffrir

Le première fois que je l’ai vu; j’avoue que je suis resté bête
J’ai ma propre version d'l’histoire de La belle et la bête
Je sais, je pourrai passer pour un négro fragile
Je lui ai fait croire que c’est moi, j’ai rendu Paris magique
J’avais pas un centime mais beaucoup de sentiments
Des problèmes qui s’empilent, un parcours qui en dit long
Je voyais en elle, celle qui allait faire de moi un homme
Un genre d'Casanova du ghetto qui fait le loveur
Parfois j’ai du mentir, faire le dur à cuire
Et chaque fois j’étais en tort, je crois qu’elle endure
J'parle mal et je m’énerve parce que je suis réservé
J'vois pas ce qu’elle veut dire et je m’emporte

Parle-moi, parle-moi j’ai tant de choses à te dire
Aide-moi, aide-moi à ne pas souffrir
Aime-moi, aime-moi j’ai tant de choses à t’offrir
Toi et moi, toi et moi on va s’en sortir
Au delà des mots, de tous nos défauts
Quand on est tombé de haut, c’est du temps qu’il nous faut
Au delà des mots, de tous nos défauts
Quand on est tombé de haut, c’est du temps qu’il nous faut

J'suis peut-être habité, ou peut-être habitué
Il faut que je change, elle va me buter, elle va me quitter
On a du mal à communiquer, j’suis complètement niqué
Elle ne sait pas que j’suis encore piqué, je pourrai pas l’expliquer
La vérité : un goût amer, le rêve n’est pas bleu
J'dessine l’avenir en couleur sur un petit tableau
J’aimerai tellement lui dire des choses mais l’orgueil veut pas
Biensûr, l’amour ça rend aveugle, y’a des choses que j'vois pas
On a passé le stade des disquettes
Je peux plus faire ça parce que mon fils guette
On résout pas tout sur un week-end
Mais si tu veux tout savoir : oui j't’aime !

Parle-moi, parle-moi j’ai tant de choses à te dire
Aide-moi, aide-moi à ne pas souffrir
Aime-moi, aime-moi j’ai tant de choses à t’offrir
Toi et moi, toi et moi on va s’en sortir
Au delà des mots, de tous nos défauts
Quand on est tombé de haut, c’est du temps qu’il nous faut
Au delà des mots, de tous nos défauts
Quand on est tombé de haut, c’est du temps qu’il nous faut

Parle-moi, parle-moi
Mais j’ai pourtant tout donné même si j’ai déconné
Oui, sans toi je suis pommé, je n'trouve plus le sommeil
Je parle en langage codé, je ne suis plus moi-même
Parle-moi, parle-moi
Mais j’ai pourtant tout donné, même si j’ai déconné
Oui, sans toi je suis pommé, je n'trouve plus le sommeil
Je parle en langage codé, je ne suis plus moi-même

Au delà des mots, de tous nos défauts
Quand on est tombé de haut, c’est du temps qu’il nous faut
Au delà des mots, de tous nos défauts
Quand on est tombé de haut, c’est du temps qu’il nous faut
Au delà des mots, de tous nos défauts
Quand on est tombé de haut, c’est du temps qu’il nous faut
Parle-moi, parle-moi j’ai tant de choses à te dire",https://genius.com/Black-m-parle-moi-lyrics
Cheveux blancs,Éternel Insatisfait ,2016,"J'ai rien vu, pourtant j'suis net, j'ai rien bu, peut-être que je m'en souviens plus
Bien que j'sois là, je perdure (Oh je perdure)
Dans ma gamberge, je n'ai pas connu mon grand-père, dans ma famille, j'suis le grand frère
Ils comptent sur moi, ça me rend fier, suis-je exemplaire?
Si je n'le suis pas, veuillez m'excuser, mon exemple, mon père
Mais le temps est contre nous, abusé, j'sais plus comment faire
Plus je vieillis, plus j'réfléchis, je veux pas qu'on m'enterre
La vie est ainsi, je vois beaucoup d'signes

J'ai rien vu passer (Oooooh no)
Bloqué dans l'passé (Oooooh oh oh no)
Je me sens menacé
Par le temps, cheveux blancs
J'ai rien vu passer (Oooooh oh oh no)
J'ai rien vu passer

J'ai rien vu, à peine cligné des yeux, déjà un mini moi
Les jours passent comme des heures et les années comme des mois
Je vois maman vieillir mais le temps l'embellit
Et dans ces moments j'me dis : ""Suis-je exemplaire ?""
Si je n'le suis pas, veuillez m'excuser, mon exemple, mon père
Mais le temps est contre nous, abusé, j'sais plus comment faire
Plus je vieillis, plus j'réfléchis, je veux pas qu'on m'enterre
La vie est ainsi, je vois beaucoup d'signes

J'ai rien vu passer (Oooooh no)
Bloqué dans l'passé (Oooooh oh oh no)
Je me sens menacé
Par le temps, cheveux blancs
J'ai rien vu passer (Oooooh oh oh no)
J'ai rien vu passer (Oooooh no)
Bloqué dans l'passé (Oooooh oh oh no)
Je me sens menacé
Par le temps, cheveux blancs
J'ai rien vu passer
J'ai rien vu passer (Oooooh no)
(Oooooh oh oh no)

Le temps est précieux, mon petit, ne sois pas pressé
Prends le temps d'apprécier, parce qu'on finira tous aux cieux
Tu verras, le temps est précieux, mon petit, ne sois pas pressé
Prends le temps d'apprécier, parce qu'on finira tous aux cieux
Tu verras (Oooooh no)
Tu verras (Oooooh oh oh no)

J'ai rien vu passer (Oooooh no)
Bloqué dans l'passé (Oooooh oh oh no)
Je me sens menacé
Par le temps, cheveux blancs
J'ai rien vu passer (Oooooh oh oh no)
J'ai rien vu passer (Oooooh no)
Bloqué dans l'passé (Oooooh oh oh no)
Je me sens menacé
Par le temps, cheveux blancs
J'ai rien vu passer (Oooooh oh oh no)
J'ai rien vu passer

C'est à moi qu' tu parles ?
Hein ?!
C'est à moi qu'tu parles mec ?
Oh !
C'est à moi qui parle cet enculé
C'est à moi qu'tu parles mec ?
Hein ?!",https://genius.com/Black-m-cheveux-blancs-lyrics
