title,album,year,lyrics,urls
Atlantis #1,Atlantis,2020,"DF85 try

Hein, eh, D.R.Y
Yeah, hinhin
Eh, cocktail molotov pour un michoui (si si, si si)

Hin, cocktail molotov pour un michoui
On va les défouraille' comme Karim Achoui
T'as donné tous tes potos, ashem
Hum, assume ta peine même si t'as l'seum (chut)

Pour un strike, un 1.43 j'empoigne
Haine est déguisée ici, la be-bar ne fait pas l'moine
Diable jamais ne s'assagie (jamais)
On ne descend pas du singe mais instinct animal nous agite
Donc cogite et zéro pour s'payer l'irréel
J'ai à sser-ca pillon contre litrons pour trouver l'sommeil
Dans ma zone où les affaires d'été deviennent des affaires d'État
Val-de-Meurtre endetté, pour la five à David Guetta
Hum, 9.4 m'a appris oser
Pour violences et débrouilles, on était tous pré-disposé
Pas nos gueules dans Closer (nan), discret comme maison close
Si tu lis nos places dans l'Parigot, bah t'en connais la cause (hein)
Justice à deux vitesses, nos vies d'cléb's
Bercées sur du Jack mais c'tait tigresse
Pleins d'fitness, souhaitent à l'échelle black mais c'est darkness
Qu'est-c'qu'on ferait pas pour le full access
Avant qu'mort nous claque, sait qu'on porte toutes nos casquettes
Dans casse-pipe on s'est foutu, sur des missions casquées
Mais casse-cou, son cash, casse des gueules
C'est pas des clichés (nan nan)

Wouh, c'est pas des clichés (breh breh)
Eh, viens pas nous glige'-né (9.4, 9.4)
On va te briser, si si (wouh, wouh)

Hin, cocktail molotov pour un michoui
On va les défouraille' comme Karim Achoui
T'as donné tous tes potos, ashem
Hum, assume ta peine même si t'as l'seum (chut)

Cocktail molotov pour un michoui (cocktail molotov pour un michoui)
Michoui, michoui (ouais ouais, ouais ouais)
On va les défouraille' comme Karim Achoui (reh, reh, reh)
Si si (reh), yeah, D.R.Y (yeah)
Hinhin",https://genius.com/Dry-atlantis-1-lyrics
Atlantis #2,Atlantis,2020,"Yeah, D.R.Y
Si les derniers s'ront les premiers 
(ouais)
Hum, ça sent la remontada, hin

Eh, les sons hostiles, qu'ils fassent la file, c'est pas les States
Mais ferme ta gueule, car seul les flingues la ramènent
Hein, te parle de bus', souvent en kil', le cause en tonne
Rien qui mythonne, sache le

Gros son de yous-voy dans la caisse, block noir reste planqué sous la veste
Boulard de bâtard à ma droite, négro donc contrôle au faciès
Middle finger à la S.Pri, comme Nessbeal, oui on aime ça
Gros Big-Big Up à mes cassos, devant casse-pipe, ne reculent pas
9.4, on cherche le milli' 
(ouais)
, lourd allégera les délits
Toujours respecter les délais, pour salaire à Balotelli 
(ouais)
Le quartier c'est trafico, narco, El Clásico
Brigante comme Karlito, Carnalito, ah
Ami n'est que futur ennemi, balle dans la tête à la Kennedy
Sous mes pas, la banlieue s'illumine 
(chut)
Loubout' et car ma rue s'élimine 
(ouais)
Au fond, je te mets au parfum
Te pisse dessus, un peu comme Guerlain 
(ouais ouais)
Dans la rue, j'ai gagné mes gallons 
(yeah yeah yeah)
Qui peut s'asseoir à ma table pour m'égaler ? Ah
Hijo de la calle, comme mes cailles vient te détailler
Genou jamais ployer, aucun d' dès qu'il faut mailler
Aucun regret donc ne me retourne pas
Accélère dès que jaloux veut m'mettre au pas
Les pieds dans la merde, on veut planer mais réveil au cri du Beretta 
(ouais ouais)

Les sons hostiles, qu'ils fassent la file, c'est pas les States
Mais ferme ta gueule, car seul les flingues la ramènent
Hein, te parle de bus', souvent en kil', le cause en tonne
Rien qui mythonne, refourgue des tonnes, yeah

D.R.Y, si si",https://genius.com/Dry-atlantis-2-lyrics
Jon Snow,De la pure pour les durs 2 vol.1,2017,"Jon Snow, Jon Snow
Jon Snow, Jon Snow
Jon Jon Snow, Jon Snow
The King

Nous-nous c'est fast life, mais n'y aura pas de scéna'
Veulent mon deadline, avant que je goutte aux soirées DSK
Mets-mets des one-punch man, pour ne pas te Gomorra
La vie fait une manie, si tu fais tourner Tony Montana
La rue j'ai voulu pas trop, trop de...
Donnie Brasco comme du narco-dealer
Man, j'vais les kill, appelle-moi Negan, ma haine va les 
J'te kille et , même si dans la rue, les miens m'ont tout donné
Perte de mémoire, que des Jondo
Si tu veux ma Mista, moi je vais te Django

J'ai tendu la main, ils m'ont arraché tout l'bras
Disent qu'ils ont faim, veulent que ma fin, donc je me suis cobra
Cherche pas la miff ou bien, l'ami, on va s'KalashCriminel
J'fais des euros sur ta vie comme Bernard, où ses chiens veut me plaire
Les corbeaux veulent me Jon Snow, Jon Snow
Jon Snow, Jon Snow
Les corbeaux veulent me Jon Snow, Jon Snow
Jon Snow, Jon Snow

Moi, je suis Mafia K'1 Fry, ose lève le glaive
Même si la rue m'a Kennedy, gros, viens pas tester
Si tu vises la Lune, on va te Titanic, goûtes à mes 50 nuances de haines
La devise c'est crime, arnaque et botanique, vois la haine sur la muraille de Frênes
Et ces Sarko' veulent me Kadhafi, mais comme  ne fait que ressusciter
C'est Koh-Lanta dans le game, les Cassius Clay sera mon immunité
Les Georges, peu de Frank Lucas, quand je vois ma rue sous white noise
Tu vas pleurer du sang comme Joffrey, les héros on les kikasse

J'ai tendu la main, ils m'ont arraché tout l'bras
Disent qu'ils ont faim, veulent que ma fin, donc je me suis cobra
Cherche pas la miff ou bien, l'ami, on va s'KalashCriminel
J'fais des euros sur ta vie comme Bernard, où ses chiens veut me plaire
Les corbeaux veulent me Jon Snow, Jon Snow
Jon Snow, Jon Snow
Les corbeaux veulent me Jon Snow, Jon Snow
Jon Snow, Jon Snow

J'suis mignon comme Anakin
J'fais Dark Vador tous ces padawan
Les flics veulent nos racines, bientôt on va tous les doberman
Tes clowns ont des Coluches, même s'il y'a Calèche
Si tu Zemmour, on te Balavoine
J'rêve de hits comme De Niro, fuite avec le blé et ma Wonder Woman
Ils veulent que des Pac, que le D, sous Whitney à s'en faire une O.D
Le passé me hante, j'vais Marty McFly, revoir les frères qu'on m'a volé
Peser la rue, moi j'l'ai volé, quand les cailles-ra sont les condés
Ces connards me traitent de bamboula (ma)
Toute Planète des Singes, ils vont m'trouver


J'ai tendu la main, ils m'ont arraché tout l'bras
Disent qu'ils ont faim, veulent que ma fin, donc je me suis cobra
Cherche pas la miff ou bien, l'ami, on va s'KalashCriminel
J'fais des euros sur ta vie comme Bernard, donc ses chiens veut me plaire
Les corbeaux veulent me Jon Snow, Jon Snow
Jon Snow, Jon Snow
Les corbeaux veulent me Jon Snow, Jon Snow
Jon Snow, Jon Snow

Jon Snow",https://genius.com/Dry-jon-snow-lyrics
Fallait le faire,De la pure pour les durs 2 vol.1,2018,"Zeg P on the track, baby!
[Refrain: Dry & 
Lefa
]
Y'en a qui attendent la mort et 
y'en a qui la vendent
Si tu voulais nous raisonner, bah fallait l'faire avant
Le temps passe aussi vite qu'un go fast dans un fer allemand
Si ça bloque à la douane, faudra s'y prendre différemment (Sku ! Sku ! Sku ! Sku !)
Y'en a qui la rentrent, y'en a qui la sortent
Si tu voulais nous raisonner, bah fallait l'faire avant
Le temps passe aussi vite qu'un go fast dans un fer allemand
Si ça bloque à la douane, faudra s'y prendre différemment (Sku ! Sku !)

Êh ! Ma vie, c'est des barbares
Toujours dans des bad trips
Un strike avec une balle
Baisse courbe démographique
Entasse les kil' en palettes
Installe les kings aux manettes
Mise sur les chevaux du Cayenne
L'instinct d'survie est
Pour faire le blé, contrôle le fer
Un peu comme Magnéto
Que des anges destinés à l'enfer
À vouloir mailler tôt
Le seul but: un hat-trick
Respecte p'tasses, zeillo
Le final n'est que tragique
La rue ne fait que des Pequeños
Donc, j'ai misé sur la zik ; comme Paris, j'suis magique
Spliff dans mon 4Matic ; un couplet, j'kill ta clique
Bullet dans Reebok classique;
À l'aise comme au ciné
J'guette la street orgasmique
Quand tous veulent se baiser
Ôh ! Tema tous les frères sans chicot
À force de serrer les dents
Pas besoin que ça cause en kilo
Pour soulever le jonc
Grosses coupures dans le Louis Vui' ah !
Busy, mais grizzly ah !
Easy ah !
Quand il s'agit d'faire crier le fusil hum !
[Refrain: 
Lefa
 & Dry]
Y'en a qui attendent la mort, y'en a qui la vendent
Si tu voulais nous raisonner, bah fallait l'faire avant
Le temps passe aussi vite qu'un go fast dans un fer allemand
Si ça bloque à la douane, faudra s'y prendre différemment (Sku ! Sku ! Sku ! Sku !)
Y'en a qui la rentrent, y'en a qui la sortent
Si tu voulais nous raisonner, bah fallait l'faire avant
Le temps passe aussi vite qu'un go fast dans un fer allemand
Si ça bloque à la douane, faudra s'y prendre différemment (Sku ! Sku !)

Yôh, me regarde pas comme si j'étais paro
Comme si j'étais rentré par effraction, en cassant l'carreau
L'habitude de rentrer tard
Ouais ! Trop souvent, sur le départ
Non, t'attache pas, j'ferai saigner ton cœur, mais j'te laisserai pas sans garrot (j'te laisserai pas sans garrot)
Yôh !
J'connais aucun homme qui ait pas d'vice, (Hey !)
Aucun homme qui ne se trompe pas, fils (Hey !)
J'ai vu aucun homme bâtir son empire en bossant gratis (Nan !)
Quelques niggas in Paris
À la recherche de femmes en bas résilles, sous pilon, paresseux, les âmes sombres sont par ici
Laisse-moi m'tirer, l'faire la malle
Papier filigrané dans une mallette attachée au poignet
J'ai l'air pas net
Mais, j'ai pas d'sang sur la manita, non
Comme S.Pri, j'veux faire le tour d'la planète
Première classe, j'dis pas: "" Non ! "" Hey !
N'attire pas trop l'attention parce que la retraite sera pas longue hey !
Si tu meurs d'une balle avant d'entendre le bruit du canon hey !
Ou si tu t'allonges au ballon
En pensant prendre du galon
Pendant que les parents suivent le procès devant la télé du salon hey !
[Refrain: Dry & 
Lefa
]
Y'en a qui attendent la mort et y'en a qui la vendent
Si tu voulais nous raisonner, bah fallait l'faire avant
Le temps passe aussi vite qu'un go fast dans un fer allemand
Si ça bloque à la douane, faudra s'y prendre différemment (Sku ! Sku ! Sku ! Sku !)
Y'en a qui la rentrent, y'en a qui la sortent
Si tu voulais nous raisonner, bah fallait l'faire avant
Le temps passe aussi vite qu'un go fast dans un fer allemand
Si ça bloque à la douane, faudra s'y prendre différemment (Sku ! Sku !)",https://genius.com/Dry-fallait-le-faire-lyrics
No pain no gain,De la pure pour les durs 2 vol.1,2018,"Yeah, perdre son temps à rêver sa vie
Tu peux voir le futur, quand ton passé a un XXX
Marcher, collé au mur, quand XXX tres-traî' agissent
Je penchais sur l'oseille, au lieu de voir nos chiens nous fléchir
Faire du sale pour mailler pour mes frères et racailler
La colle des draps , puis faire maigrir les gros bras, comme on les traumatisés

No pain no gain, tant pis on l'a fait
Dans la roue des vandales, nous on prend les trottoirs
No pain no gain, j'tai dit : ""j'l'ai fait""
Rien à foutre des remparts, pour refaire les remparts
No pain no gain

Persévère, au lieu de père ténèbre, s'il y a la poisse, t'es abonné
Mieux que père s'énerve à l'heure où mère s'éveille car la volaille lui rit au nez
Tu voudrais des milliers, des cents, décembre à décembre, t'as lé-saou' les gros-né'
Nos vies c'est boulot, dodo, un pot bendo, pour ne pas les violer
La haine sur nous comme une bombe Sabac, des classes qui sont pas colonisées
Amish,  dans le tabac, pas d'ceinture pour les terroriser
T'as misé sur les Champs-Élysées, vois l'amour déguisé en escorte
Moi, j'ai visé la Lune et foulé des pavés, pourtant mon son s'exporte
Drainé, dealé sur le parvis, XXX les risqués, mais plutôt voir mon vent à l'abri
Je laisse les étoiles, mais finis sous comme des débris
Il n'y a que le concert, la toile, qui sur nos vies font des débrits
Faire du bif' me fait barrer, car les taulis m'ont rafalé
J'vais m'faire crasher, cavaler, et faire taire tous leurs débats, rabats m'les a traumatisés

No pain no gain, tant pis on l'a fait
Dans la roue des vandales, nous on prend les trottoirs
No pain no gain, j'tai dit : ""j'l'ai fait""
Rien à foutre des remparts, pour refaire les ros'pa'
No pain no gain

Un peu d'humilité te ferait du bien, et ça c'est pas des LOL
J'ai vu la vérité nous faire du mal quand l'amitié nous chasse le cœur
Plus les frères se font la bise au couteau, pour dess leggins tu soutiens que l'erreur
Le respect s'est perdu dans le triangle des Bermudes pour ceux qui n'ont pas nos mœurs
Évite tes keufs bluffs, c'est le tuff, après ta mort, tous dans la tuff
Besoin d'un pare-balles, tant de barbares rodent sur Paname pour les seuls
Ici, la nuit ne fut peu pas du loup, car la bergerie est devenue la jungle
Maintenant les bourreaux n'font que porter plainte, et les victimes ici n'sont pas les plus à craindre
Perdre son temps à briser des vies, tu penses tenir le manche, alors que ton destin chavire
Tu feras fuir l'innocence au loin quand la justice sévit
Tu vois la différence entre toutes épreuves, tout est dit
S'en sortir il fallait, la nouvelle rue peut nous caler
Je donne, je troque pour me brailler, entre nous de gros débats, pour ça, j'les ai traumatisés

No pain no gain, tant pis on l'a fait
Dans la roue des vandales, nous on prend les trottoirs
No pain no gain, j'tai dit : ""j'l'ai fait""
Rien à foutre des remparts, pour refaire les ros-pa'
No pain no gain

No pain no gain
WA WA WA WA",https://genius.com/Dry-no-pain-no-gain-lyrics
DLV,De la pure pour les durs 2 vol.1,2018,"Tout c'que je sais, c'est que j'tais dans les veines
Je sens que j'vais perdre la raison, à suivre ma danse que tu mènes
Fais pas semblant, car mon amour est illimité
Sur mon divan, tes baisers font fuir la réalité
Elle a mis des XXX, j'oublie les pertes de dignité
La meilleure chose à faire : te bannir et goûter à la liberté
Pour toi la nuit, je ne dors, plus de lit, plus de toi, j'suis à court
Hors de tes bras, nous sommes perdus, ma moitié, mon alter ego
Chaque fois, tu me chuchotes : ""laisse-toi faire""
Mais tes traumas XXX même je  enfer
On me dit : ""stop, stop, stop"", mais je lâcherai pas l'affaire
Te quitter pour moi, c'était perdre du poids, là pourquoi j'te considère

J'tai dans les veines, je ne fais que dilammer
J'tai dans les veines, mon plaisir n'est pas simulé
Pas si dissimulé, mon addiction j'ai assimilé
J'tai dans les veines, notre amour en XXX
J'tai dans les veines, je ne fais que dilammer
J'tai dans les veines, mon plaisir n'est pas simulé
Pas si dissimulé, mon addiction j'ai assimilé
J'tai dans les veines, notre amour en XXX

Dans une feuille ou une pipe, je peux trouver la jouissance
Mon cœur sur un pic, pour te prouver ma dépendance
Ça met l’alcoolique, je flotte toutes les nuits, faut sauver l'état d'urgence
Après nos corps a corps, je faiblis, et que je cogite sur mon existence
Peu importe, la forme dans le son je t'apporte
Ton amour en norme, me reprend mes remords
Je vois qu'au fond du puits, ton soleil m'en décore
C'est sans effort, j'en demande encore et encore
La nuit nous font tes bisous, je m'écrase sur le lit après tous nos bouche-à-bouche
Un cœur de glace, mais j'te fous le feu, même j'en connais tous les enjeux

J'tai dans les veines, je ne fais que dilammer
J'tai dans les veines, mon plaisir n'est pas simulé
Pas si dissimulé, mon addiction j'ai assimilé
J'tai dans les veines, notre amour en XXX
J'tai dans les veines, je ne fais que dilammer
J'tai dans les veines, mon plaisir n'est pas simulé
Pas si dissimulé, mon addiction j'ai assimilé
J'tai dans les veines, notre amour en XXX

Les matins m'ont flairo, mais j'arrête pas
La nuit sur mon ego, mais j'arrête pas, nan
Le manque me rend schizo', mais j'arrête pas
Mais j'suis père d'un toxico, j'crois qu'c'est l'overdose, deux Oid' qui m'arrêtera
Les matins m'ont flairo, mais j'arrête pas
La nuit sur mon ego, mais j'arrête pas, nan
Le manque me rend schizo', mais j'arrête pas
Mais j'suis père d'un toxico, j'crois qu'c'est l'overdose, deux Oid' qui m'arrêtera
Qui m'arrêtera, j'te dans les veines
J'tai dans les veines, j'tais dans veines veines

J'tai dans les veines, je ne fais que dilammer
J'tai dans les veines, mon désir n'est pas simulé
Pas si dissimulé, mon addiction j'ai assimilé
J'tai dans les veines

J'tai dans les veines
J'tai dans les, j'tai dans les, j'tai dans les veines
J'tai dans les veines, han",https://genius.com/Dry-dlv-lyrics
VFE,De la pure pour les durs 2 vol.1,2018,"Vas faire 
enculo
, vas faire enculo
Vas faire enculo, vas faire enculo
Vas faire enculo, vas faire enculo
Marre de laisser couler
Vas faire enculo, vas faire enculo
Vas faire enculo, vas faire enculo
Vas faire enculo, vas faire enculo
Vas faire enculo

Tu me guettes passant où j'suis noir, est-ce un défaut, puis demande mais bafouer l'égalité
Remballe, mon sheitan veut pas qu'le sang s'étale, c'est réel pas 
voter
 les réalités
A c'qu'il paraît, c'est légal de faire dans l'illégal ou d'être corrompu quand t'es haut placé
Voir un pote la mettre à un autre, en pinant sa meuf; de nos jours, c'est plus déplacé, non
Sombre est la réalité, ouais, planète pleine d'hypocrites
Mentent avec véracité, ouais, peut-être qu'on est tous dans la matrice
Avant je ne voulais qu'inciter, à s'élever, pas se précipiter
Moins du LV, moi j'ai jamais cité, mais les soulever s'il y a nécessité
Ne juge pas nos capacités, tout ça parce qu'on 
devient décidés
Faux sangs deviennent l'amitié, ouais, quand elle se résume à des pessos
Tape son rail devant la voisine qui fait la mule pour le fou qui avoisine
Son mari, lui, sait faire la maca, s'est frotté à des bras longs, cols d'acier

Vas faire enculo (vas faire enculo)
Vas faire enculo (vas faire enculo)
J'vais finir par casser des gueules, j'crois que j'vais même les enculer
Vas faire enculo (vas faire enculo)
Vas faire enculo (vas faire enculo)
J'vais finir par tout vous dire, marre de laisser couler
Vas faire enculo (vas faire enculo)
Vas faire enculo (vas faire enculo)
J'vais finir par casser des gueules, j'crois que j'vais même les enculer
Vas faire enculo (vas faire enculo)
Vas faire enculo (vas faire enculo)
J'vais finir par tout vous dire, marre de laisser couler

Moi, j'ai vu des bâtards-tards, Dry veut des mecs qui font ra-ta-ta
Tenus par la queue-queue, mais plein qui te traitent comme Mufasa
Amateurs de bonnes beuh-beuh, ils mettent la coque que c'est en deux-deux-deux
Brelique qu'on va faire le feu-feu-feu, pour des histoires à deux-eux-eux, je sais
La France est raciste, jugée à l’œil, donc les gonzesses sont coupables, han
Comment soigner nos cicatrices, quand les médoc' sont des coups de matraque
Nos enfants leur donnent du tracas, 
n'achètent
 plus les choses, mais les braquent
Au lieu de devenir des cracs, j'cherche le bonheur dans les crames de craca
Les médias où on dissone les cerveaux, malheureusement c'est qu'on ne fait pas sous serment
Les bouffons du web font les nerves, jusqu'au jour où on va briser des segments
H&M ou Benetton, non c'est pas vos mères que nous pénétrons
D'égalité, respect nous méritons, et pour nos frères, jamais de tels étrons, oh non

Vas faire enculo (vas faire enculo)
Vas faire enculo (vas faire enculo)
J'vais finir par casser des gueules, j'crois que j'vais même les enculer
Vas faire enculo (vas faire enculo)
Vas faire enculo (vas faire enculo)
J'vais finir par tout vous dire, marre de laisser couler
Vas faire enculo (vas faire enculo)
Vas faire enculo (vas faire enculo)
J'vais finir par casser des gueules, j'crois que j'vais même les enculer
Vas faire enculo (vas faire enculo)
Vas faire enculo (vas faire enculo)
J'vais finir par tout vous dire, marre de laisser couler

Vas faire enculo, vas faire enculo
Vas faire enculo, vas faire enculo
Vas faire enculo, vas faire enculo
Vas faire enculo, vas faire enculo
Vas faire enculo, vas faire enculo
Vas faire enculo, vas faire enculo
Vas faire enculo, vas faire enculo
Vas faire enculo",https://genius.com/Dry-vfe-lyrics
Authentik,De la pure pour les durs 2 vol.1,2017,"Ici le respect ne s'achète pas
Neuf quatre mille raisons de vouloir ma mort
J'ai vu la fin dans l'œil du Beretta
Mais mon âme n'a toujours pas quitté mon corps
J'ai cherché ma voix, ça du sud au nord; trainé du 20ième au quartier nord
J'ai des frères et des frères écroués décédés, leurs courages étaient leurs tords
Trop vu de gros bras se faire détailler
Couper, enterrer, faut être embrouillé
Doigt sur la gachette, j'en ai fait mouiller
Que des hommes fontaines quand ça vient les douiller
D'euros à 11, les compteurs à zéro-ro
Les euros, ça vient par milliers
Maintenant c'est sur les gorges qu'on fait des carreaux-reaux
Les kho tuent moins que les billets, 
authentique

Moi j'ai voulu dealer, faire du sale
La rue ne m'a offert que des funérailles
Moi j'ai voulu rimer, faire la maille
Mais la vie m'a fait chuter de mon pied d'estale
Mais je suis resté authentique, authentique, authentique
Mais je suis resté authentique, authentique, authentique

Cent ennemis sur le carrenage
J'avance intouchable un peu comme un carritas
Je me sens à l'aise comme Néo dans la tise, même quand il s'agit de fouler les favelas
Si t'as des couilles, y'a du parrainage
Un gros big-up à mes frères incarcérés
La mort ou la prison notre héritage
Car les balances pèsent et ne cessent d'opérer
En enfer on se verra, là-bas tout se paiera
La note sera salée comme le sale qu'on a fait
Dans nos vies pas de miracles, on souffre comme en Irak
Pour une go, un regard contour à la craie
C'est vrai que la chronique on effraie-fraie
Ça même les jours de décès
La mentale des anciens n'a plus d'effet
Ouais car ici plus rien ne nous effraie, 
authentique

Moi j'ai voulu dealer, faire du sale
La rue ne m'a offert que des funérailles
Moi j'ai voulu rimer, faire la maille
Mais la vie m'a fait chuter de mon pied d'estale
Mais je suis resté authentique, authentique, authentique
Mais je suis resté authentique, authentique, authentique

Je suis né dans la douleur, grandi dans l'horreur
Donc face à la vie, moi j'ai mis les gants
Ils disent que ma couleur, synonyme de malheur
Sans valeur la vie d'une peau black élégant
J'ai couché des mecs gantés, fuck des condés
Pour des K.O, j'suis toujours dans les temps
Et si ça dégénère, on déterre la hache
On ne laisse pas de trace sur ton corps dans les temps
Je crois qu'il est temps de fuir le ciment sous les draps à mes mômes
Ne pas voir les miens faire l'aumône, voir mon fils rêver de trône
Dans nos ruelles en tirant sur un condé
Toi tu veux ma vie oui, mais dit de Orly Levy
Pour la survie j'ai dû payer le prix, fuis si t'as pas les couilles de Tony, 
authentique

Moi j'ai voulu dealer, faire du sale
La rue ne m'a offert que des funérailles
Moi j'ai voulu rimer, faire la maille
Mais la vie m'a fait chuter de mon pied d'estale
Mais je suis resté authentique, authentique, authentique
Mais je suis resté authentique, authentique, authentique",https://genius.com/Dry-authentik-lyrics
Seul,De la pure pour les durs 2 vol.1,2018,"Dorénavant, j'serai seul, n'me demande pas pourquoi frère, j'ai incendié des gens
J'ai l'seul (j'ai l'seul), les mecs deviennent des chiens cons, tu peux vraiment les re-plai', essaie
Moi j'en ai rien à foutre, j'suis dans mon côté, je fais mes sohr
Avant que j'ne lâche mon dernier souffle
J'ai trop marché avec la colère, tant qu'on sème sa collègue
Il n'y a que le tré haut qui peut m'punir, jusqu'à la famille proche pour me tenir
Le sale ne pourra plus m'étonner, t'façon j'ai le calme d'un bétonné
Semaine après semaine je marche seul, personne pour me dire t'a déconné, là, t'a déconné

Je sais, j'fais pas d'effort, ouais, j'vais me zoner (solo solo solo solo)
Je sais, même si j'ai mes torts, je vais juste m'isoler (solo solo solo solo)
Seul, seul (seul), seul (seul), seul, laissez-moi seul
Seul, seul, je muris tout seul comme 
Seul, seul (seul), seul (seul), seul, laissez-moi seul
Seul, seul, seul, seul

J'roule dans les rues du 9.4, la force et la batte, j'vais la puiser
J'vois les mêmes roues de la vagues, j'vois les mêmes bâtiments grisés
Et je sais que j'suis dans le love, je roule tout seul jusqu'à l'aube
Je n'ai pas les mots, vous parlez de tous mes mots, je passe sous zen effacé effacé
Tout ça, c'est dur, la rue c'est cuit, tous les négros qui sont posés dans le périmètre
Vu que c'est du monde au seille-o' c'est sûr, il n'y a pas d'excuses, il faut sortir d'la de-mer'
Mais rouler c'est l'moment, les temps blessés
Mais moi, j'suis seul au monde, est-ce une A.V.C. ?

Je sais, j'fais pas d'effort, ouais, j'vais me zoner (solo solo solo solo)
Je sais, même si j'ai mes torts, je vais juste m'isoler (solo solo solo solo)
Seul, seul (seul), seul (seul), seul, laissez-moi seul
Seul, seul, je muris tout seul comme 
Seul, seul (seul), seul (seul), seul, laissez-moi seul
Seul, seul, seul, seul

Laisse-moi traîner seul, sur ma planète seule
Laisse-moi m'isoler
Laisse-moi traîner seul, sur ma planète seule
Laisse-moi m'isoler
Laissez-moi, laissez-moi, laissez-moi seul (solo solo solo solo)
Laissez-moi, laissez-moi, laissez-moi seul, laissez-moi m'isoler, laissez-moi (solo solo solo solo)
Laissez-moi, laissez-moi, laissez-moi seul, laissez-moi (solo solo solo solo)
Laissez-moi, laissez-moi, laissez-moi seul, laissez-moi, laissez-moi (solo solo solo solo)
Laissez-moi, laissez-moi, laissez-moi seul, laissez-moi, laissez-moi, laissez-moi seul
Laissez-moi, laissez-moi, laissez-moi seul (seul seul seul) laissez-moi, laissez-moi
Laissez",https://genius.com/Dry-seul-lyrics
CPG,De la pure pour les durs 2 vol.2,2019,"Passe décisif pour D.R.Y, O.R.L.Y (Orly)
La street de la street, on a la recette (Ouais ouais)
Pour D.R.Y
, les plus chauds de la zone qu'on respecte (9.4)
AK-47, la street de la street, on a la recette, heuss D.R.Y

Mises à l'amende, que des mises à l'amende
Mises à l'amende, que des mises à l'amende
Mises à l'amende, que des mises à l'amende
Mises à l'amende, que des mises à l'amende
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil

A l'heure où le courage se prend dans les narines
Les vrais bonhommes sont en apnée
Légendaire comme Titi
, Henri tu t'feras déclasser deuspi par des petits M'Bappé
Mental se lègue de père en fils, chassé par l’octrice
Sous la A86, 9.4 où l'école du vice est toujours en lice
A bercé même fast police
Car publics ennemis sont mes voisines de hood
Sécu c'est une de poqué, les culs plus animé qu'Anibal lourd
On a trop bouffé l'bitume pour kiffer l'fouckets
Les miens de sorti, accompagnés de quelques loups
L'alcool est mauvais, toujours broliké donc gardez le mood
Mais thug life nos destinés, on ne peut que pété l'score, même au ciné
J'ai trop vu de vrais bonhommes se faire décimé
C'est réel, c'est pas leur putain de mode ciné
Terrain miné de te-traî, toujours en retrait
Qu'on voit juste ma carte de retrait (ouais ouais)
Violent, nos secrets, Mafia, la rue ça crée
Dis-moi, à part nous, qui la rue supporterait ?

Mises à l'amende, que des mises à l'amende
Mises à l'amende, que des mises à l'amende
Mises à l'amende, que des mises à l'amende
Mises à l'amende, que des mises à l'amende
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil

Tout le Game retient sa respi', rap de guerre a toujours de l'inspi'
Cascade, tétra, non sans la conspi', ton équipe là, sent la transpi
9.4 la ssan-pui, il pleut des balles sous ton parapluie
Toi, tu payes pour faire du (grapling?), Glock qu'on payes, on t'allume gratuit
J'incendie ta boîte comme les gars de 'treil, 
on se mélange pas comme mes gars de Corbeil
Ta hlel, tu la cajoles car je lui plais, kickage, kickage tu mets en replay
Tout cet oseille ne t'empêche pas d'être une grosse mierda
J'commande ta mort comme une pizza
Tu me hais parce qu'au fond t'es en lère-ga
J'te regarde pas, j'suis mieux que toi, même au card-pla
J'suis en mode victoire, j'fais 30k, en trente minute
Ils font les re-sta, ils ont pas l'habitude
La femme de tes rêves m'envoie des nudes
Depuis fille bien, y'a moins en moins de pute
J'te fais l'amour comme une brute
J'ai le flow qui t'insulte, j'termine ce couplet rho'
Y'a uppercut

Mises à l'amende, que des mises à l'amende
Mises à l'amende, que des mises à l'amende
Mises à l'amende, que des mises à l'amende
Mises à l'amende, que des mises à l'amende
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil

Mon frère ça fait zizir, au ghetto
Quand tu regardes la rue on a coupé une grosse part du gâteau
Mais tous ne savaient, savaient pas, ne savaient, savaient pas
Nous tester il fallait, fallait pas, fallait, fallait pas
Rien à prouver

Mises à l'amende, que des mises à l'amende (des mises à l'amende)
Mises à l'amende, que des mises à l'amende (des mises à l'amende)
Mises à l'amende, que des mises à l'amende (des mises à l'amende)
Mises à l'amende, que des mises à l'amende (des mises à l'amende)
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil ça
Aaaaaah c'est pas gentil ça (c'est pas gentil)
Aaaaaah c'est pas gentil

Hein c'est pas gentil ça, ouais
Yeah D.R.Y, R.O.H.2.F le bitume chante",https://genius.com/Dry-cpg-lyrics
