title,album,year,lyrics,urls
Traître,Émotions,2016," (x2)
Ouais y'a que des traîtres
Ouais y'a que des traîtres
Ouais y'a que des traîtres
Ouais y'a que...

Voilà maintenant quand je parle ils rigolent
Malade il fait le voyou, il pigeonne
Lala, il fait le fou pour une folle
Lala, on sait tous que tu mythonnes, on te connaît
C'est un traitre, il vole même sa famille on le reconnaît pas
Il donne ses amis, il regrette même pas
Il t'l'a fait à l'envers tu le vois même pas
Comme il fait du mal, j'te raconte même pas

Pourquoi on est seul quand tout va mal ?
C'est pas grave on s'en remet
Et ils sont où les mandats ?
Dans l'alcool, envolés
C'est Wanted, D'or Et D'Platine
On s'en bat les c' de ta life
Tu vois pas que tu nous fatigues ?

T'as trahi tout l'monde, espèce de traître
Devant les gens tu t'montres, espèce de traître
De notre équipe tu t'moques, espèce de traître que tu es
On va t'faire redescendre
T'as trahi tout l'monde, espèce de traître
Devant les gens tu t'montres, espèce de traître
De notre équipe tu t'moques, espèce de traître que tu es
On va t'faire redescendre

C'était un traitre on l'a démasqué
Ce fils de pute m'appelle en masqué
Il peut t'espionner ou même te traquer
Il fera tout pour te faire craquer
Moi j'ai envie que les niquer
Pas trahir on s'était promis
Obliger de zoner broliqué
Même si on sait que c'est tous des comiques
P'tite folle, on sait qui t'es
P'tite folle, on t'a pisté
P'tite folle, tu vas regretter
Mais dis-moi où ils sont, les sous que j't'ai prétés ?
P'tite folle, on sait qui t'es
P'tite folle, on t'a pisté
P'tite folle, tu vas regretter
Mais dis-moi où ils sont....

Espèce de traître, espèce de traître
Espèce de traitre que tu es
Espèce de traître, espèce de traître
Espèce de traître que tu es

On va t'faire redescendre
T'as trahi tout l'monde, espèce de traître
Devant les gens tu t'montres, espèce de traître
De notre équipe tu t'moques, espèce de traître que tu es
On va t'faire redescendre
T'as trahi tout l'monde, espèce de traître
Devant les gens tu t'montres, espèce de traître
De notre équipe tu t'moques, espèce de traître que tu es
On va t'faire redescendre
 (x2)
Ouais y'a que des traîtres
Ouais y'a que des traîtres
Ouais y'a que des traîtres
Ouais y'a que...

T'a trahis tout l'monde
Devant les gens tu t'montres
De notre équipe tu t'moques
On va t'faire redescendre",https://genius.com/Jul-traitre-lyrics
Toujours La Dalle,Émotions,2016," (x2)
Toujours la banane, les crocs, la dalle
Ils veulent des passes ils font jamais tourner la balle
On m’a dit “faut qu’tu vois loin, faut tourner la page”

Ils m’font les capos, les crapuleux comme Renato
S'ils veulent ma peau, dis-leur qu'j'ai 400 chevaux sous l'capot
Et ils ont beau critiquer mon son, ils sont accros
Et ils sont beaux, ils m’font les grossistes comme dans Blow
Et ouais mon pote, c’est pas ma faute si j’ai trop la cote
Va la faire à d’autres, ta femme elle elle m’adore
J'cherche mon trésor oh, oh ouais ma gow
J'évite ces folles, tu as vu ma gueule
 (x2)
Toujours la banane, les crocs, la dalle
Ils veulent des passes ils font jamais tourner la balle
On m’a dit “faut qu’tu vois loin, faut tourner la page”

Wesh mon petit, faut apprendre à fermer ta bouche
Ferme ta gueule, regarde pas d’travers quand j’suis au feu rouge
Wesh mon petit, faut apprendre à fermer ta bouche
Ferme ta gueule, regarde pas d’travers quand j’suis au feu rouge

C’est chaud, ils ont tout mis dans l’nasaux
J’ai mon poto qui veut maltraiter son co’
Et calmato, j’vois qu’la miss t’a mis un râteau
Même solo l’arche dans l’eau, j’avancerai avec mon radeau
Et j’parle pas trop, quand j’dis qu’j’esquive télés, plateaux
Moi j’parle pas trop, j’me suis cloué l’bec au marteau
Quoi ? Tu t’mêles d’ma vie, j’dois rien à toi
Textes plein d’ratures, j’veux dire c’que j’pense mais j’me lâche pas
Wesh alors coño, tu fais des poussettes mais y’a foye
Comme Montana Antonio, j’veux un tigre dans mon foyer
Wesh alors coño, tu fais des poussettes mais y’a foye
Comme Montana Antonio, j’veux un tigre dans mon foyer
 (x2)
Toujours la banane, les crocs, la dalle
Ils veulent des passes ils font jamais tourner la balle
On m’a dit “faut qu’tu vois loin, faut tourner la page”
 (x3)
Wesh mon petit, faut apprendre à fermer ta bouche
Ferme ta gueule, regarde pas d’travers quand j’suis au feu rouge
Wesh mon petit, faut apprendre à fermer ta bouche
Ferme ta gueule, regarde pas d’travers quand j’suis au feu rouge",https://genius.com/Jul-toujours-la-dalle-lyrics
Ciro,Émotions,2016,"Aux flics tu voulais raconter
Coup monté avec le Conte
Savastano tu veux affronter ?
T’es qu’un traître tu fous la honte

Tu vois qu’les gens ils sont fous et toi tu veux t’en mêler
Regarde ce que t’as fait pour retrouver Danielle
Les gens t’aimaient au début, ils ont fini par t’haïr
Donna Imma sentait que t’allais tous les trahir
Pour t’en sortir tu mythonnes, tu gérais bien le réseau
Les petits ont fini par vouloir t’fumer dans ta maison
Tu fais l'traître, qu'une raison : le pouvoir, l’argent
À un traître comme toi on souhaite la mort, la prison
Toi tu fais l’boss, mais que dans l’dos de Genny
J’avoue pour le baiser t’as des idées de génie
On t’appelle “l’Immortel”, t’esquives les balles, les grenades
T’es fort dans l’engrenage mais tu fermes ta gueule dans les engueulades
T’es prêt à tout, même à emboucaner les daronnes
Tu t’fais passer pour un bon, pour un mec qu’à qu’une parole
Ciro, tu m’as choqué comme jamais
J’ai compris maintenant pourquoi tu t’fais jamais condamner
Ciro t’as fait l’con ils veulent t’interdire de la ville
T’as pas respecté la loi, 
pourquoi t’as fait ça à la fille ?
Ciro t’as fait l’con ils veulent t’interdire de la ville
T’as pas respecté la loi, 
pourquoi t’as fait ça à la fille ?
 (x2)
Ciro, aux flics tu voulais raconter
Ciro, coup monté avec le Conte
Ciro, Savastano tu veux affronter ?
Ciro, t'es qu'un traître tu fous la honte

Ça t’envoyait en mission, n’oublie pas t’étais rien
Bon c’est vrai c’est toi qui faisait l’boulot sur le terrain
Tu vois d’l’argent facile, j’comprends ton appétit
Mais Ciro, pourquoi t’emboucanes les grands contre les petits?
Ça t’envoyait en mission, n’oublie pas t’étais rien
Bon c’est vrai c’est toi qui faisait l’boulot sur le terrain
Tu vois d’l’argent facile, j’comprends ton appétit
Mais Ciro, pourquoi t’emboucanes les grands contre les petits?
Couilles en béton, regard vide, tu sais Ciro tout va vite
Sûrement qu’un jour tu verras une Kalash posée sur ta vitre
Pour moi, Ciro, tu n’es qu’un traître
Pietro t'as mis bien, t’as retourné ta veste
Pourtant y'a des guerres, c’est ça la zone on veut guerre
On sait qu’t’as plus d’sentiments et que t’as un cœur de pierre
T’as fait honte à ta deuxième famille
T’as beaucoup d’ennemis et pas trop d’amis
Tu fais confiance à Conté, on voit qui t'ruse
Tu t’retrouves en galère à jouer à la roulette russe
Ciro, moi tu m’as déçu
Ils t’ont fait confiance et t’as voulu leur monter dessus
 (x2)
Ciro, aux flics tu voulais raconter
Ciro, coup monté avec le Conte
Ciro, Savastano tu veux affronter ?
Ciro, t'es qu'un traître tu fous la honte

Aux flics tu voulais raconter
Coup monté avec le Conte
Savastano tu veux affronter ?
T’es qu’un traître tu fous la honte

Ciro, Ciro
Ciro, Ciro",https://genius.com/Jul-ciro-lyrics
Allez Le Sang,Émotions,2016,"C’est D’or Et De Platine, écoute mon son j’t’emmène
Survêt, Asics et j’rentre en boite, j’t’emmerde
T’es comme le rosé, toi tu m’as pris en traître
J’suis l’capitaine, j’tire les pénos, les corners (Allez le sang)
J’sais pas c’qui m’retient de mettre des gifles aux commères
Y’a même pas un stade dans mon quartier, j’en veux au maire
J’cachais mes yeux, ma bouche, mes oreilles, ouais j’connais l’omert’
Arrêtez d’parler d’moi un peu le con de vos mères
J’fume le shit et la chicha, j’vois qu’y’a plein de gadjis
J’allais en boite en Twingo, j’étais loin du Maserati
 (allez le sang)
Pourquoi tu m’fais le gros ? J’te le répète moi j’suis pas l’king
Eh nique sa mère on fait bagarre sur l’parking

Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout

Bouge ton boule là j'vais pas rigoler, bouge tes hanches et danse collé
J’t’ai chauffé, j’t’ai emboucané, ‘scuse le sang j’ai trop picolé
Bouge ton boule là j'vais pas rigoler, bouge tes hanches et danse collé
J’t’ai chauffé, j’t’ai emboucané, ‘scuse le sang j’ai trop picolé
Tu m’plais, j’vais pas te courir derrière
J’regarde ta tête, tes seins, ton derrière
Ouais j’sais c’qu’tu fais, fais gaffe avec ton verre
Tu vas m’chauffer là sur grand-père
Si un jour j’la croise j’fais faire l’signe JuL à Rihanna
J’cours plus j’fais plus d’sport à part quand ça crie akha

Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout
Allez le sang, allez on nique tout

Allez le sang, allez le sang
Allez le sang, allez le sang",https://genius.com/Jul-allez-le-sang-lyrics
Où je vais,Émotions,2016,"C'est pour les grosses et les p'tites têtes
Les p'tits steaks qui mettent le 2 roues en Y
Pour ceux qui savent, ceux qui respectent
Pour ceux qui s'plaignent jamais même à sec-sec
C'est même pour ceux qui critiquent ma team
Et reviennent chuper quand j'fais un platine
J'me fais discret comme le bonheur
Comme ce p'tit qu'a troué l'charbonneur
Y'a longtemps qu'j'me lève plus d'bonne heure
Longtemps que j'me lève plus en colère
C'est pour ceux qui m'ont oublié
Ceux qui croyaient plus en moi quand je voulais tout plier
Mais bon j'ai trié pour en arriver là où j'en suis
Si tu savais combien de fois le bon Dieu j'ai prié
Pour ceux qui changent pas même avec des billets
Pour ceux qui s'rappellent la valeur d'l'argent
Pour ceux qui aident leurs mères au lieu d's'habiller
Quitte à faire courir monsieur l'agent

Qu'est ce que je fais ?
Où je vais je ne sais pas
Rien n'm'empêche
De dire aux gens ce qui ne me plait pas
J'viens dire aux gens
Peut-être tout c'qu'ils ne savent pas
J'veux monter en haut
Eux veulent me tirer vers le bas

Pour ceux qui font les choses de bon cœur, de bon cœur
Des mecs comme ça est-ce qu'il y en a encore ?
Pour ceux qui reconnaissent les menteurs
Ceux qui font plein de grimaces quand ils sont en tort
Ceux abandonnés, comme ce bateau dans l'port
Ca m'a fait des blessures dans le corps
Seul comme ce p'tit sans son père dans le parc
Et on s'dit encore qu'c'est la vie, qu'c'est son sort
Je me vois comme rien, eux m'voient comme une star
Alors des fois j'me cache quand j'sors
Pour vous ça peut paraître bizarre
Quand j'arrive en showcase en short
C'est pour les durs, les vaillants
Ceux qui font du chemin avec les voyants
C'est pour les durs, les vaillants
Ceux qui font du chemin avec les voyants
 (x2)
Qu'est ce que je fais ?
Où je vais je ne sais pas
Rien n'm'empêche
De dire aux gens ce qui ne me plait pas
J'viens dire aux gens
Peut-être tout c'qu'ils ne savent pas
J'veux monter en haut
Eux veulent me tirer vers le bas",https://genius.com/Jul-ou-je-vais-lyrics
Je pense à eux,Émotions,2016,"Dans ma tête j’suis chaud patate
J’pose avec mon survêt’ de l’Ajax
Tu m’dois des loves, tu m’donnes plus d’nouvelles
Attends qu’j’te vois, oh crasseux
No te muevas cabroncito
Pe-pom chargé sous l’coussin
Tu comptes faire quoi Pepito ?
On va t’niquer ton cousin
J’parcours la France dans l’vito
Les gens m’accueillent comme Vito
Un doigt aux flics comme Bako
J’suis d’la honda comme Miclo
La miss veut m’voir, j’suis en fumette
J’crois qu’j’vais lui faire un foireux
Prends à boire, à fumer dans l’quatro
Fais tes valises on part

Ils sont pleins de mises en scène
Pleins de “j’nique la police”
Que ils s’montrent devant les gens
Pour moi c’est qu’des comiques
Moi j’traînais au quartier j’ai vu trop d’jalousie
Ils m’en veulent, j’repense à eux posé dans l’jacuzzi

J’suis posé pépère ouais
J’suis pété, mais re-sers
On tourne en rond, on serre
Tout l’temps la même mon frère
Mon frère je sors d’la ‘sère
La poisse me colle, j’la serre
T’as vu les filles qu’y’a sur Terre
Qu’est-c’qu’on s’en fout d’ta sœur
Oh j’suis pas l’Prince de Bel Air
J’ai pas l’temps quoi, j’accélère
J’me sens si seul tous ses morts
J’me lève en feu, j’ai les nerfs
T’as des gros bras pour quoi faire ?
Tu mets des gifles à des faibles
C’est tes affaires si il t’veut du mal
Araï, Kalash’, teum-teum, fais-le, fais-le, fais-le
 (x4)
Ils sont pleins de mises en scène
Pleins de “j’nique la police”
Que ils s’montrent devant les gens
Pour moi c’est qu’des comiques
Moi j’traînais au quartier j’ai vu trop d’jalousie
Ils m’en veulent, j’repense à eux posé dans l’jacuzzi",https://genius.com/Jul-je-pense-a-eux-lyrics
Émotions,Émotions,2016,"Du mal à sortir mes émotions
Je roule en bolide 4 Motion
Du mal à sortir mes émotions
Je roule en bolide 4 Motion

Je rêve de thunes, de voyage
J'en ai besoin vu mon âge
Prenez des shorts dans le bagage
On va changer de paysage
Tête dans la lune, pieds sur terre
Je vois les oiseaux s'envoler
On dit souvent qu'c'est les gens plus bas que terre
Qui seraient prêts à tout donner
Je suis trop fort de caractère
Comme mes potes qu'on incarcère
Pour eux, j'stresse,  j'y mets du mien
Je vous attends devant la mer
Trop souvent je me questionne
Est-ce que ma musique est bonne ?
Ou sont passé les hommes
Les vrais faut que je les raisonne

J'envoie des sons pour le fun, ils ont la mort
J'me vois partir sous le sun, nager dans l'eau
Faut pas qu'on me laisse seul, j'suis parano
Faut pas qu'on me laisse, même par amour
La miss est fraiche, 
j'suis parano
Elle a fait les mèches, 
j'suis parano

Ne me laissez pas seul
Parce que je vais trop 
gamberger
Tôt ou tard les loups
Se feront manger par le berger
Je me laisse pousser la barbe
Je suis pas bien, je me laisse aller
Je sais que rien n'arrive au hasard
Donc pourquoi râler ?
Je fais ce que je peux pour mes potos
Et eux font ce qu'ils peuvent pour moi
À tout moment je peux sauter
Je prends la vie comme un tournoi
Tu veux t'évader, partir de là
Alors imagine moi
Je pense même plus à verser des larmes
Je fais que taffer comme un chinois

J'envoie des sons pour le fun, ils ont la mort
Je me vois partir sous le sun, nager dans l'eau
Faut pas qu'on me laisse seul, j'suis parano
Faut pas qu'on me laisse, même par amour
La miss est fraiche, 
j'suis parano
Elle a fait les mèches, 
j'suis parano
J'envoie des sons pour le fun, ils ont la mort
Je me vois partir sous le sun, nager dans l'eau
Faut pas qu'on me laisse seul, j'suis parano
Faut pas qu'on me laisse, même par amour
La miss est fraiche, 
j'suis parano
Elle a fait les mèches, 
j'suis parano

Du mal à sortir mes émotions
Je roule en bolide 4 Motion
Du mal à sortir mes émotions
Je roule en bolide 4 Motion
Du mal à sortir mes émotions
Je roule en bolide 4 Motion
Du mal à sortir mes émotions
Je roule en bolide 4 Motion",https://genius.com/Jul-emotions-lyrics
On Est Trop,Émotions,2016,"Ils veulent nous test mais on est trop
Et les képis ils ont trop les crocs
Y’a même des civils dans l’métro
D’or Et D’Platine avec Ghetto
Ils veulent nous test mais on est trop
Et les képis ils ont trop les crocs
Y’a même des civils dans l’métro
D’or Et D’Platine avec Ghetto

Ma ville ne tourne plus rond, c’est tout dans l’apparence
Marseille c’est celui qui tire le plus qui aura la parole
Les bons n’existent plus, ils sont morts ou en prison
Ouais j’fais du son, je ne deale plus, dans l’fond c’est c’que j’aime
Y’a trop de fils de pute qui tournent ça m’rend malade
Cherche pas, j’m’engraine, je ne parle plus, m’raconte pas d’salades
Les petits vendent la pure, et purgent de longues peines
En gros moteur il vise la Lune, jusqu’à qu’la mort le prenne
Moral à zéro, j’suis à deux doigts d’vendre ma Clio
À deux doigts d’péter un plomb, d’investir dans un kilo

Y’a trop de fils de pute, qu’ils aillent tous se mettre  un doigt
Allez faites comme si je n’existais plus, j’ai niqué mon RS3
Mon cœur m’a piqué dès qu’je l’ai vue, j’voulais plonger dans ses yeux
Dès qu’je l’ai eue j’ne la voulais plus, j’ne vais pas jouer un jeu
J’tournais en T-Max j’voulais tout niquer, j’avais la haine j’pleurais des larmes
Le poto derrière était broliqué, tu fais pas peur petit range ta lame
J’représente les potos d’la tess, pas les bâtards les petits jaloux
Ils ont p’t-être mis un traqueur sur ma caisse, ils nous auront pas nous

Oh mais as-tu vu son cul? à la belle mañana
Quand j’l’ai vue, j’ai vu la Lune c’est un truc de malade
Elle m’a dit “pour toi c’est dur”, ah bah ouais mon petit bonhomme
""Moi j’veux vivre la vie de luxe, j’reste pas si y’a nada""
Mais demoiselle sais-tu, j’suis bien avec mes frères loin d’ces putes
Mais demoiselle sais-tu, j’suis bien avec mes frères loin d’ces putes

Y’a trop de gens qui fluttent, sur Mama-ma-ma-ma
Elle aime la marque LV, le luxe, mais là tu vois y’en a marre
Faut un vice de procédure, car la vie c’est dur
Loin d’ces murs, de cette cellule, un jour ou l’autre, ça c’est sûr
Celle-là a le boule qu’il faut, comment faire avec toutes ces folles ?

Et oui c’est encore nous, qui fera bouger madame
Laisse-les parler ils sont jaloux
Ils bougent leurs têtes comme des coqs
En taule il se prend tout, dehors il fait le mignon
Avec sa mère il fait son fou, avec sa meuf il miaule
Louboutin, tu casquerais pour elle
Arrête tes foutaises on sait qu’t’es ruiné, t’es dans pain

Ils veulent nous test mais on est trop
Et les képis ils ont trop les crocs
Y’a même des civils dans l’métro
D’or Et D’Platine avec Ghetto
Ils veulent nous test mais on est trop
Et les képis ils ont trop les crocs
Y’a même des civils dans l’métro
D’or Et D’Platine avec Ghetto",https://genius.com/Jul-on-est-trop-lyrics
Je picole,Émotions,2016,"J’ai vu le malheur, j’étais dans tous mes états
J’ai vu le malheur, j’étais dans tous mes états
Gros j’nique le game, demande à Azzedine j’fais comme d’hab’
J’fais tout avec le cœur, quand je donne je compte pas gros
Rien qu’ça m’harcèle, j’ai la tête qui fume, fume, fume, fume
Genoux sur la selle, dos au bitume-tume-tume-tume
Tu vois la scène, j’viens d’Marseille
J’frappe, j’rafale, j’suis dans mon dél’
J’raconte ma vie, pétard devant la TV
Qu’est-ce qui monte si vite ?
 (x2)
Sans plaque
Les petits d’chez moi sont d'Ong Bak
Cerveaux en vrac dans l’Audi Sportback

J’picole, j’picole, t’étonne pas
J’déconne, j’déconne, mais j’mythonne pas

J’me perds, je prie
J’ai fait du mal, j’en paierai le prix
Faut se taire petit
Quitte à prendre un commis d’office
Et j’en perds l’appétit
Mais j’me moque de c’qu’ils pensent
Ils veulent refaire Joe Pesci
C’qu’ils pensent est immense
Oh j’rigole pas, dis-moi vrai, mythonne pas
Oh tu m’étonnes toi, si t’as trahi t’étonnes pas
Ils parlent j’les laisse
Ils m’critiquent j’les laisse
Ils m’jalousent j’les laisse
Ils savent plus quoi faire
Quand tout le quartier le délaisse
Casquette, lunettes, j’écoute mes sons dans ma caisse
Si tu nous as blessés t’inquiète poto on t’rendra la pièce
 (x2)
Sans plaque
Les petits d’chez moi sont d'Ong Bak
Cerveaux en vrac dans l’Audi Sportback

J’picole, j’picole, t’étonne pas
J’déconne, j’déconne, mais j’mythonne pas
 (x4)
Sans plaque
Les petits d’chez moi sont d'Ong Bak
Cerveaux en vrac dans l’Audi Sportback",https://genius.com/Jul-je-picole-lyrics
C’est Pas Beau,Émotions,2016,"J’en veux à c’pote, qui m’mène en bateau
J’connais la rue, j’ai pas grandi dans un château
Trahir son pote, oh c’est pas beau
Ça sert à quoi de jouer le Pablo ?

Tu m’as vu gentil, mais n’crois pas qu’j’traîne seul
Le sang-froid, ça peut t’fumer comme Denzel
J’connais par cœur le bruit du moteur Yamaha
Tu veux test, va là-bas
On t’a dit qu’y’avait c’qu’il faut dans l’appart’
J’galère plus, j’suis sorti du tieks
Frérot, ça veut pas dire que j’oublie d’où j’viens
Et oui frérot mets les zéros sur l’chèque
J’taffais dur tous les jours comme un chien
J’ai vu les petits grandir et devenir des hommes
Mama a trouvé sous mon lit des armes et des sommes
Partir d’en bas, et arriver au sommet
C’est chaud, c’est pas donné à tout l’monde
J’ai prié Dieu quand ça n’allait pas
J’ai p’t-être fait ce qu’il fallait pas
J’ai fait des sous mais j’m’emballe pas
Eux ils font les fous, j’les calcule pas

J’en veux à c’pote, qui m’mène en bateau
J’connais la rue, j’ai pas grandi dans un château
Trahir son pote, oh c’est pas beau
Ça sert à quoi de jouer le Pablo ?

J’ai vu des mères pleurer après les descentes
J’ai vu des putes mentir et dire “le sang”
J’ai fêté mon anniv’ à la Team Jul santé
Y’a pas plus fidèle et reconnaissante
J’m’isole seul, quand j’ai le cafard
J’veux avancer seul mais ils me mettent les pleins phares
Des fois j’fais même plus d’efforts
Que j’foire, des bâtards ouais j’m’écarte
Et si un jour j’arrête, c’est qu’j’suis claqué
Et j’sais qu’ma mif dort tranquille
Qu’est-c’qu’elle a ta cop' ? Elle me touche le paquet
J’peux m’chauffer si trois verres j’enquille

J’en veux à c’pote, qui m’mène en bateau
J’connais la rue, j’ai pas grandi dans un château
Trahir son pote, oh c’est pas beau
Ça sert à quoi de jouer le Pablo ?

J’refuse interviews et émissions
J’me sens pas bien à la télévision
Ils sont pleins de questions
J’suis pas comme eux moi c’est ça ma vision
Les potes au shtar m’appellent en visio’
J’essaye d’les faire rire j’fais un peu l’idiot
Vas-y dis-moi, si y’a une mission
J’te fais envoyer un parachute carnalito
Tête de Corsico j’zone avec bikos
Ça tourne dans ma tête, oh oui
Une envie d’faire la fête, j’suis à l’ouest
Elle me manque ma tess
On fume le shit ok mais on touche pas la cess
 (x2)
J’en veux à c’pote, qui m’mène en bateau
J’connais la rue, j’ai pas grandi dans un château
Trahir son pote, oh c’est pas beau
Ça sert à quoi de jouer le Pablo ?",https://genius.com/Jul-cest-pas-beau-lyrics
