title,album,year,lyrics,urls
Yema,À coeur ouvert,2012,"Yéééé yema yéééé () yééé yééé yema

Yema j'ai tellement peur que le ciel m'éloigne de toi
Yema j'en ai le coeur qui tremble le soir quand je rentre
Yema tu m'avait dit que la bas mes jours seront meilleurs
Yémaaa ohhh tu me manques, yema
Je revois ton regard à la fenêtre quand j'ai franchi la porte
Le soir ou j'ai traversé la mer pour rejoindre la cote
Et toi toi qui n'a jamais cessé de prier pour moi
Loin des yeux mais pas du coeur je reviendrai sur mes pas, yema

Yema tes souvenirs me reviennent et me nouent la gorge
Yema chaque jour que dieu fait je t'ai dans la peau
Yemaaaa n'oublie pas que je t'aime même loin de toiiii
Yemaaaa

Oh nonnnn noooon hoo hooo nooonn hoooo nonnn

Yema j'ai su voler de mes ailes je tiens ça de toi
Yema comme un rêve évanoui dans le froid
Yema privée de toi j'essaye d'être forte
Ohhh mais quand vient la nuit hooo hohoooo
Je revis tous ces instants de joies
Ce sourire posé sur ton visage l'odeur de jasmin sur tes doigts
Et je me dis que les meilleures années de ma vie sont restées derrière moi
Tu me manques yema

Yema tes souvenirs me reviennent et me nouent la gorge
Yema chaque jour que dieu fait je t'ai dans la peau
Yemaaaa n'oublie pas que je t'aime même loin de toiiii
Yemaaaa

Ohhhoooohohooo
Loin de toi",https://genius.com/Kayna-samet-yema-lyrics
Si tu m’aimes,À coeur ouvert,2012,"Paroles de la chanson Si Tu M'aimes :
Si tu m'aimes x5
J'ai ton nom qui résonne et tout part en live
Perdue je n'me reconnais plus j'avoue j'suis dépassée
Je sais que je déconne , c'est plus fort que moi
Et malgré tout ce temps qui passe je peine à t’effacer
Aïe Aïe j'comprend pas c'qui m'arrive
Tu était mon gilet pars balle , me parlais mariage
Aïe Aïe pourtant j'suis pas naïve
Jamais j'aurais cru être en mal de toi
Parce que j'ai jamais renoncée j'ia toujours encaissée
Je me disais méfie toi du bonheur la vie t'a tellement blessée héhé
Malgré le mal que tu m'as fait j'ai jamais cessé de rêver
Malgré le mal que tu m'as fait j'ai jamais cessé de t'aimer
Ohhohh je pourrais m'enfuir de ce monde cruel
Ohhohh et enfin me dire que la vie est plus belle
Plus belle si tu m'aimes , m'aimes m'aimes m'aimes , si tu m'aimes m'aimes si tu m'aimes m'aimes si tu m'aimes m'aimes m'aimes m'aimes si tu m'aimes m'aime si tu m'aimes m'aiiimes
Faudrait que j’abandonne , que je cesse d'y croire
Jeter ce qu'il reste de nous et m'en débarrasser
Je n'suis plus qu'un fantôme devant son miroir
Qui se rassure en se disant bientôt ça va passer
Aïe Aïe j'comprend pas c'qui m'arrive
Tu était mon gilet pars balle , me parlais mariage
Aïe Aïe pourtant j'suis pas naïve
Jamais j'aurais cru être en mal de toi
Parce que j'ai jamais renoncée j'ia toujours encaissée
Je me disais méfie toi du bonheur la vie t'a tellement blessée héhé
Malgré le mal que tu m'as fait j'ai jamais cessé de rêver
Malgré le mal que tu m'as fait j'ai jamais cessé de t'aimer
Ohhohh je pourrais m'enfuir de ce monde cruel
Ohhohh et enfin me dire que la vie est plus belle
Plus belle si tu m'aimes , m'aimes m'aimes m'aimes , si tu m'aimes m'aimes si tu m'aimes m'aimes si tu m'aimes m'aimes m'aimes m'aimes si tu m'aimes m'aime si tu m'aimes m'aiiimes
Si tu m'aiiimes x16
Ohhohh je pourrais m'enfuir de ce monde cruel
Ohhohh et enfin me dire que la vie est plus belle
Plus belle si tu m'aimes , m'aimes m'aimes m'aimes , si tu m'aimes m'aimes si tu m'aimes m'aimes si tu m'aimes m'aimes m'aimes m'aimes si tu m'aimes m'aime si tu m'aimes m'aiiimes",https://genius.com/Kayna-samet-si-tu-maimes-lyrics
Ecorchée vive,Entre Deux Je,2005,"Ce matin j'me sens pas bien
J'me sens pas belle et pas comprise
Je vais dans la salle de bain
Je me regarde et me sens triste
Je m'demande où je vais, 21 ans à zigzaguer
A faire semblant d'avoir grandi
Moi j'en ai marre de m'dire tant pis

J'en peux plus, de trimer pour un taf
D'être jeune et déçue et d'marcher sur mes traces
Marcher sur mes traces tout le temps
Et toujours prendre des baffes pourtant
J'ai besoin de vivre, laissez-moi libre

J'crois que je vais tout plaquer
J'me sens attirer par le vide
J'm'accroche pour pas craquer
J'suis comme écorchée vive

Derrière les portes sur le palier
J'entends toujours les mêmes souffrances
J'me lève, allume la télé
Histoire de combler le silence
Sur mes pages des ratures
C'est là que j'mets toutes mes espérances
Ça paye pas encore les factures
Ni même mes avis d'échéances

J'en peux plus, de trimer pour un taf
D'être jeune et déçue et d'marcher sur mes traces
Marcher sur mes traces tout le temps
Et toujours prendre des baffes pourtant
J'ai besoin de vivre, laisser moi libre



C'est écrit, mais j'crois que j'l'ai pas bien lu
On m'la dit mais j'l'ai pas entendu
C'est un jour qu'on peut voir qu'ça va pas
On me l'avait pas décrit comme ça
C'est écrit, mais j'crois que j'l'ai pas bien lu
On m'la dit mais j'l'ai pas entendu
J'savais pas que ça s'faisait pas comme ça
D'être née avec un cœur gros comme ça",https://genius.com/Kayna-samet-ecorchee-vive-lyrics
Besoin De Renaître,Entre Deux Je,2005,"Ouais ce soir j'rentre tard, j'ai perdu mes clefs
J'fouille mes poches, vide tout mon sac sur l'palier
Putain faut qu'je sonne, j'peux pas faire autrement
Qu'est ce que j'vais pouvoir lui dire, faut qu'je fasse ça proprement
T'façon c'est mort j'sais déjà c'qui m'attend
C'est les mêmes scènes qui s'répètent tout le temps
En plus j'ai froid et j'suis toute trempé
Mais franchement rien à foutre j'me la sens pas d'me justifier

Faut qu'je m'en sorte
J'ai trop morflé, j'ai besoin de renaître
Ouais et ça m'rend forte
De devoir escalader des murs et casser des fenêtres
Faut qu'je m'en sorte
J'ai trop morflé, j'ai besoin de renaître
Ouais et ça m'rend forte
De devoir escalader des murs et casser des fenêtres

Quand ça gueule de plus en plus fort j'encaisse
Et j'prie pendant qu'il casse tout dans la pièce
Ça y est, ça recommence c'est des insultes qui volent
J'fonce dans ma chambre, laisse tomber mes larmes sur le sol
Derrière la porte j'entends tout, y'a d'la vaisselle qui s'casse
J'voudrais partir, mes rêves s'entassent
J'voudrais être loin d'ici, j'veux pas d'cette vie (ouais)
Avant de m'taper des bad trips, passer sur mon lit
J'veux qu'on m'lache
J'ai besoin d'y croire encore même si c'est hard
J'veux qu'on m'lache (naaaan)
Ouais j'veux qu'on m'lache


Nan, nan, nan...
Tu disais qu'on formerait qu'un lorsqu'on lâcherait l'ancre au milieu des requins
Qu'on verrait Pékin, que l'amour serait l'encre qui remplirait nos plus beaux bouquins
Je te veux pour moi seul sans toi, je suis comme ce Petit Poucet qui retrouvent plus ces pierres
J'ai peur de me perdre, vas y coopère, j'ai plus de repère de peur de te perdre
(Kayna Samet)
Naaaaaaaan...
(Soprano)
Mon amour est fort, là j'braille comme un kid
Ne fais pas d'efforts ma caille si tout est ma faute alors bye bye
Tu voulais me mettre des ailes maintenant j'suis sur l'Everest
Faut qu'le rêve reste, rien à foutre y faut qu'tu restes, t'as commencé alors termine voilà reste
Walah j'ai mal, si tu t'tailles, c'est qu' t'es die
Vive mes milliers d'guilis guilis sur ta taille, je suis ton caïd
Comment tu peux vivre sans moi? N'oublies pas qu'tu n'es rien sans moi
Donc rien a foutre à partir de maintenant dis toi que tu ne sortiras plus sans moi
(Kayna Samet)
Nooooooon... Mais j'veux qu'tu comprennes
(Soprano)
Quoi ? Qu'est-c' tu veux que j'comprenne ?
Cesse de répondre merde c'est toi qu'a tout à apprendre
(Kayna Samet)
Ça fait trop longtemps qu'on s'traine
(Soprano)
Quoi ? D'où on s'traîne ? Pas en traitre
Ta complainte rien à foutre un conseil mets pas en retrait toute ta vie merde
(Kayna Samet)
J'ai besoin de renaitre
(Soprano)
Quoi ? Mais renaître d'où ?
Le jour où tu m'obéiras walah que je redeviendrai doux
(Kayna Samet)
Ça fait trop longtemps que j'encaisse
(Soprano)
J'en ai rien à foutre arrête de pleurer
Arrête de me prendre la tête tu sais que pour toi j'suis capable de tuer",https://genius.com/Kayna-samet-besoin-de-renaitre-lyrics
A Perte De Vue,Entre Deux Je,2005,"Hé mec ! Ouais viens pas m'dire c'que j'dois faire
Quand j'rentre le soir du studio
Et qu'j'vois qu'ma mère est toute seule
Toi t'avais qu'à pas partir c'est mort
T'inquiète pas pour moi j'tiens toujours
Même si y'a plus rien dans l'frigo
Moi j'suis encore debout
Et j'continue de gratter ma feuille
T'façon on a jamais compté sur toi
Regarde t'es où quand on rentre le soir mec
T'es là ouais accoudé dans l'bar-tabac
Et nous on passe les mains sciées par les sacs du supermarché

T'inquiète pas mam t'auras ta maison au bled
Avec pour seule limite des orangers
A perte de vue. Et moi j'y crois ouais
Tant qu'y'a des étoiles dans l'ciel
J'me mets pas de limites pas de limites
Moi j'me bats pour l'bonheur qui t'est dû

Hé mec ! T'as vu j'ai su faire avec
Maintenant toi tu t'pointes d'après toi
Tu viens m'dire c'que j'dois faire
Mais toi t'es mon pire exemple alors
T'inquiète t'aurais des regrets j'les prendrais
Hé mec ! mais le problème c'est qu'tas
Jamais su reconnaître tous tes torts
Donc vas-y moi j'tire un trait c'est mort
T'façon on a jamais compté sur toi
Regarde t'es où quand on rentre le soir mec
T'es là ouais accoudé dans l'bar-tabac
Et nous on passe les mains sciées par les sacs du supermarché

T'inquiète pas mam t'auras ta maison au bled
Avec pour seule limite des orangers
A perte de vue. Et moi j'y crois ouais
Tant qu'y'a des étoiles dans l'ciel
J'me mets pas de limites pas de limites
Moi j'me bats pour l'bonheur qui t'est dû

J't'ai trop vu rentrer l'soir
T'appuyer le long du couloir
A peine t'nir debout
Ouais mec j't'ai trop vu faire comme si
On existait pas c'est bon
Maintenant bouge rien à foutre
Ouais t'entends !

T'inquiète pas mam t'auras ta maison au bled
Avec pour seule limite des orangers
A perte de vue. Et moi j'y crois ouais
Tant qu'y'a des étoiles dans l'ciel
J'me mets pas de limites pas de limites
Moi j'me bats pour l'bonheur qui t'est dû

Oh oh oh oh
Ouais mam j'te jure j'f'rai tout pour que t'aies
C'que t'as jamais eu et qu'tu méritais
Oh oh oh oh
Et quoiqu'il arrive ouais moi tout c'que j'sais
C'est qu'j'lâche pas et qu'toi t'es tout c'que j'ai !",https://genius.com/Kayna-samet-a-perte-de-vue-lyrics
En Mal D’amour,Entre Deux Je,2005,"C'est fou comme des fois j'me sens seule
Le silence crie trop fort, et l'absence me fait peur
J'écris ma vie et j'en suis qu'à son premier chapitre
Rescapée d'une première vingtaine passée trop vite
J'termine d'un point chacun de mes vers
Comme pour m'interdire, ouais de regarder derrière

Et mes larmes tombent sur mes pages blanches
Et j'crie à l'aide ouais j'crie à l'aide mais personne ne m'entend
Mes larmes tombent sur mes pages blanches
Et pourtant moi j'veux y croire

J'peux pas faire semblant et quand ma gorge se noue
Ouais c'est des lames de rasoirs qui coulent le long de ma joue
Tous mes rêves sont sanglant et finissent à genoux
À croire que mon cœur trainera toujours dans la boue
Ouais j'crois que j'suis en mal d'amour
Ouais et j'ai aucun recours
J'ai tout donné et j'attendais en retour
J'sais comme j'ai mal et y'a rien que du vide autour
Et j'crie à l'aide mais personne vient à mon secours

J'suis en mal d'amour, j'ai aucun recours
Moi j'ai tout donne et j'attendais en retour
J'sais comme j'ai mal et y'a rien que du vide autour
Et j'crie à l'aide mais personne vient à mon secours",https://genius.com/Kayna-samet-en-mal-damour-lyrics
Mon Tour,Entre Deux Je,2005,"J'ai pas suivi d'exemple
Et j'ai pas non plus attendu que ça tombe du ciel
Je vais te raconter mon blues
Mais pas en attendant mon tour
On m'a scié les jambes
Mais j'ai rampé dans les cendres et dans les braises
Je veux juste que la roue tourne
Mais pas en attendant mon tour

Fallait avancer en soldat
Marcher au pas, c'est pour les miens qu'il faut que je me tire de là
Fallait défendre fièrement le drapeau, longer les murs
Fallait avancer en soldat
Depuis le temps qu'je creuse de mes mains dans la ...
Et que j'attends patiemment qu'mon son frappe à bout portant

Faut que je me fasse une place
Depuis le temps que j'attends mon tour et que je trime ma race
Mais à la surface j'ai choisi mon camp et je laisse parler ma rage
Jeune des cités d'or noir, pour la même minorité
Même laisser pour compte on parcourt le front
C'est notre seule vérité

On a volé mes frères
Je reviens les prendre et fuck le prince et son étalon
J'ai pas le temps de faire une trêve
Car la paix persiste sur tes talons
Y'a pas de places pour les traîtres
J'ai posé un genou à terre sous les contractions
Quand j'arrive à terme
J'accouche d'un produit sans concession

 (x2) {Kayna Samet}

Okay tu peux m'appeler Nicky Larson
Je ne crains personne
J'ai attendu que mon heure sonne
Pour foutre en l'air mes adversaires comme Iverson
La mélodie te laisse à terre
Ce putain de feat t'arrache la tête
C'est pour les p'tites cailles-ra sa mère
Et pour les p'tites Kayna Samet
Le rap c'est la guerre
Mais j'emmerde le commandant
Je ferai tout pour ne pas qu'on m'enterre et tout pour qu'on m'entende
J'ai attendu, refusant les mains tendus
Avant que mon flow soit répandu
Que mon album ce soit vendu
Je vois tout ceux qui rigolaient
Quand j'étais planté sur la touche
A l'heure où je faisais la ...
Tu ne pouvais que chanter sous la douche
J'mérite ma place, je sais pourquoi
Si j'fais carrière, sache que Gérard Louvin n'aura rien fait pour moi
Mon style démonte sa mère
Te met les fesses à l'air
Je m'intéresse plus à mon flow et mes galères qu'à mon salaire
Yeah munitions lyricales, ce putain de gun est ivre
J'men bats les couilles, j'aimerais vivre
J'attends mon tour, jeune et libre",https://genius.com/Kayna-samet-mon-tour-lyrics
Toi Qui Sais,Entre Deux Je,2005,"Toi, qui sais tout de moi
Toi, qui m'connais trop
J'vois même plus les jours passer
J'ai du mal à trouver mes mots
Moi, j'voulais être qu'avec toi
Ca m'rendait forte
Et j'dois faire comme si j'oubliais
J'dors plus la nuit
Mais je sais qufaut que j'm'en sorte
J'perds des heures à m'dire que tout est mort
Et j'en veux au monde entier, au monde entier
Ouais j'ai mal, j'me sens si seule
Et j'crois plus en rien, j'avais que toi
Et j'deviens folle depuis qu'tu m'as laissé
Ouais j'me dis que j'deviens folle
Jvis même plus, j'suis perdue
Ouais j'deviens folle depuis qu'tu m'as laissé
Ouais j'me dis que j'deviens j'y ai trop cru, j'suis perdue
Rien n'y fait, J'tue le temps
J'sais même plus c'que j'veux
J'crois, j'crois même que j'ai perdu
Toutes notions de c'qui rend heureux
J'perds des heures à m'dire que tout est mort
Et j'en veux au monde entier, au monde entier
Ouais j'ai mal, j'me sens si seule
J'crois plus en rien, j'avais que toi
Et j'deviens folle depuis qu'tu m'as laissé
Ouais j'me dis que j'deviens folle
Jvis même plus, j'suis perdue
Ouais j'deviens folle depuis qu'tu m'as laissé
Ouais j'me dis que j'deviens folle
J'y ai trop cru, j'suis perdue
Et j'deviens folle depuis qu'tu m'as laissé
Ouais j'me dis que j'deviens folle
Jvis même plus, j'suis perdue
Ouais j'deviens folle depuis qu'tu m'as laissé
Ouais j'me dis que j'deviens folle
J'y ai trop cru, j'suis perdue",https://genius.com/Kayna-samet-toi-qui-sais-lyrics
Celui Que J’voulais,Entre Deux Je,2005,"Toi qui aurais dû tout savoir
Des fois on se croise, tu me reconnais pas
Pourtant j'habite pas si loin
Et je crois que des fois j'ai besoin de toi
Et même si j'voulais que tu me vois devenir une femme
J'ai appris à me dire en silence

Que c'est tant pis
T'étais pas celui que j'voulais
Pas celui que j'voulais

Tu sais des fois je d'mandes pourquoi
Même pas tu prends d'mes nouvelles
Et même si le temps ne pardonne pas tout
J'garde le meilleur, des fois je regrette
Et même si j'voulais qu'tu m'vois devenir une femme
J'ai appris, et j'le dis en chantant


Maintenant j'ai grandi
J'ai su ranger le mal
Et j'crois que ça aurait été mieux
De t'aimer, ça aurait été plus normal
Tu sais, tu sais, tu sais
Que j'ai pas eu le choix
C'était écrit, j'y avais pas droit
Maintenant je veux que tu saches
Maintenant je veux que tu saches
Où que tu sois
Papa
Ne me demande pas d'aimer
Ne me demande pas de te haïr s'il te plaît
J'peux pas oublier d'où je viens
Y a tellement de choses qu'on aurait pu faire faire ensemble
Maintenant dis moi
J'voulais trop qu'tu m'vois devenir une femme
J'ai appris à me dire en pleurant",https://genius.com/Kayna-samet-celui-que-jvoulais-lyrics
Tueuse Née,Entre Deux Je,2005,"30 Septembre 98, j'en peux plus d'attendre le juge va rendre son verdict
4 ans déjà que je purge ma peine ouais et que je répond présente à l'appel
Je voulais pas me sentir exclue
Ça sentait le plan foireux ouais et moi je l'avais prévenu
Putain merde mais j'avais pas le choix
Je pouvais pas le laisser partir sans moi
On me regarde de la tête aux pieds ouais
Et je sais qu'on parle de moi comme une tueuse née
Ouais ça y est on me demande de me lever

J'ai rien à dire moi, j'voulais être libre
Vivre hors la loi, on voulait pas de tout ça
On voulait se faire justice ouais
Vivre sans nous mettre à genoux pour nos droits ouais
On voulait pas tout ça

23 piges, voilà condamnée à presque autant il me reste que le silence comme allié
On voulait pas en arriver là, ouais les calibres devait pas nous servir à ça
20 minutes ou tout c'est enchaîné, cavale sans issue là où mon cœur m'a trainée
J'ai pas réfléchi, j'ai tiré dans le tas
Je crois je voulais juste être à la hauteur
Et je refuse d'être celle qu'on décrit
5 morts sur la conscience, quelque lettre qu'on m'écrit c'est tous ce qui me reste
C'est pas tous se qu'on c'était promis


Et je tourne en rond aux pieds du mirador depuis que le juge l'a décidé
Je me demande si j'existe, ce qu'on dit de moi dehors
Au mieux avec leur remise de peine je m'en tirai pour 15 piges
Je crois j'arriverai pas je vais serrer
Aidez moi, moi j'voulais pas tout ça",https://genius.com/Kayna-samet-tueuse-nee-lyrics
