title,album,year,lyrics,urls
Freestyle Booska Ripro 2,Booska Pefra Vol. 2,2015,"Frérot c'est pour de vrai
Pas les stories tah la Dark Angel
J'sors une liasse de ma poche, t'ouvres les yeux devant l'arc-en-ciel
Oui, oui, tu sais pour l'oseille, qu'on est tenace
Dimanche aprèm, le soleil tape sur le T-Max
Allez manger des crêpes, désolé, pour nous c'est fini
Tu veux venger les traîtres ?
Bah ok, comme 2Pac, tu seras puni
Ton image, ton vécu, vieillit mal comme Carla Bruni
Ouais, j'suis vulgaire, ta grand-mère, si j'l'encule elle fait le tour des États-Unis
Toujours un billet, pour l'avocate
J'suis en i, dernier R1, j'fais le tour de la rocade
T'es qu'un enculé, tu parles de moi même sous ta douche
Hier j'ai rêvé d'toi : tu t'baladais avec deux bites dans la bouche

Les éradiquer, telle est ma mission
J'me rase les poils de couilles, frérot, j'en fais un vison
Notre vécu et le tiens, aucune comparaison
J'parle au singulier, mais tout l'monde perd la raison
Qu'est-c'que j'ferais ? Qu'est-c'que j'ferais ?
Si y'avait pas d'biff et pas d'plomb, mon gros, qu'est-c'que j'ferai ?
Qu'est-c'que j'ferai ?

Là j'ai bien repris des forces
Comme tous les potos, je veux vite brasser
Par 10 000 tasser, vouloir vivre assez
Oui, se faire masser dans la suite, oui p'tite
T'as la ligne tracée, t'es qu'une angoissée
T'as le zen froissé dans le zip, sale p'tite pédale
Tu veux t'faire bréca, pas de problème on va se croiser dans la street
Espèce de con, sur le joint comme sur un biberon
Relax sur une île en vacances, j'me bousille à RIPRO
J'te laisse à Quiberon, dis-moi est-ce qu'ils m'acquitteront
J'fais du biff et la fraîcheur est là
Mon poto, nique sa mère, c'est la merde
J'suis bourré, j'me fais courser par la Guardia en S3 dans les rues d'Fuengirola
Tu le sais qu'on est pas des gothiques
Tous les week-end j'fais les boutiques
Là j'viens de dépenser mes 10,000
Demain matin j'ferai les gros titres
Tu le sais que la frappe c'est RIPRO
Des gamos et des sacs de litron
Tu le sais que la frappe c'est RIPRO
Des gamos et des sacs de litron

Les éradiquer, telle est ma mission
J'me rase les poils de couilles, frérot, j'en fais un vison
Notre vécu et le tien, aucune comparaison
J'parle au singulier, mais tout l'monde perd la raison
Qu'est-c'que j'ferais ? Qu'est-c'que j'ferais ?
Si y'avait pas d'biff et pas d'plante, mon gros, qu'est-c'que j'ferai ?
Qu'est-c'que j'ferai ?",https://genius.com/Lacrim-freestyle-booska-ripro-2-lyrics
One Love,Brulux On The Flux ,2013,"M'Holly J, Lacrim

J'pars de ma rue, j'me crois déjà sur l'autoroute
Je roule à 110, j'en oublie les stops et les feux rouges
Bien sûr qu'je pense à nous, à c'qu'on pourrait devenir
Viens on s'casse, laisse tomber c'qui pourrait t'empêcher de venir
J'suis avec mon équipe, on vole, c'qui nous tue pas s'apprécie
Ramène tes copines la semaine prochaine on part au Brésil
On s'prend pas la tête, plage de fou, volley-ball dès l'tin-ma
Lacrim, bogoss, p'tit rebeu, teint mâte
J'veux rester près de ma mère
Je veux te sortir de la merde, t'offrir la villa vers la mer
L'Etat j'm'en fous un peu tu sais avec plaisir qu'il t'achève
Qu'il tape ton premier billet bah j'ai du shit sous l'étagère

Dans ce monde on est jamais en paix, on a besoin de plus de sourires
Prends la vie comme elle est, qu'est-ce que tu crois moi aussi je survis
Il ne faut pas trop se prendre au sérieux, relax, écoute le son et kiffe Peace, and love ça nous suffit, peace and love ça nous suffit

J'fais le tour de France, partout on m'reconnait
J'suis toujours bien reçu ce soir un barbecue entre collègues
On s'prend jamais la tête sur la couleur ou bien le nombre
Toujours un moment pour toi même si j'suis le plus pressé du monde
On s'est trop cassé les couilles, trop combattu pour la vie
J'essaye de faire de la musique et mon public je l'aime à vie
Je suis là pour vous servir, dans l'rap j'suis un atout
Je n'attends pas qu'ça marche, demande à XXX chez nous on touche à tout

Dans la vie il y a toujours des soucis
C'est comme ça qu'on doit s'y faire, car la pression nous envahit
On doit apprendre à gérer nos émotions et apprécier la vie avec passion
Avec l'esprit uni on peut avancer suivez-moi je vous dis


Ok, Lacrim
J'suis toujours le même
Sur l'autoroute du Soleil, j'ai Lacrim dans les oreilles
Un peu de musique ça suffit non ?
Moi juste un million ça me suffit !",https://genius.com/Lacrim-one-love-lyrics
Philippins,Cercle fermé,2019,"T'as choisi ton camp, t'as sucé leur sang
T'auras beau prier, tu fais le brigand, t'as le nez dedans
T'as rêvé d'un palais, moi je vis dedans
T'as manqué de temps, t'as laissé ta mère, t'as le nez dedans

Oh oh oh oh oh, t'as le nez dedans
Oh oh oh oh oh, t'as le nez dedans
Oh oh oh oh oh, t'as le nez dedans
Oh oh oh oh oh, t'as le nez dedans

Faut des couilles comme Poutine, c'est ton crâne que j'piétine
Que des 500, c'est la routine
J'laisse beaucoup de victimes
Faut pas sucer pour être riche, hein
Rapport de balles dans la chicha
J'les mets dans les sappes de mon fils, hein
Sur le rain-té, je le vis ça
Gros hôtel en Californie
T'as rien dans les poches, sale endormi
Dors dans ta tchop, frère, tu sens le vomis
De les baiser, je l'ai promis
Face de pet, t'as pas d'che-pê
Prends ta Clio, va t'jeter
Mon PGP j'allume pour te faire tuer
J'nique ta mère, j'porte pas plainte, c'est on the way pour de vrai
J'ai fouetté le game, il faut l'avouer
Ils m'font les yeux doux, veulent m'amadouer
Entre sicarios, nous sommes dévoués
Toute ton équipe sur un tabouret

T'as choisi ton camp, t'as sucé leur sang
T'auras beau prier, tu fais le brigand, t'as le nez dedans
T'as rêvé d'un palais, moi je vis dedans
T'as manqué de temps, t'as laissé ta mère, t'as le nez dedans

Oh oh oh oh oh, t'as le nez dedans
Oh oh oh oh oh, t'as le nez dedans
Oh oh oh oh oh, t'as le nez dedans
Oh oh oh oh oh, t'as le nez dedans

Fils de, mother, 2002, father
Putain, ta sœur, tourne en boucle dans le secteur
Butin, je le tiens, 36 balles, j'sors de Philipp Plein
Ton équipe, c'est que des Philippins
T'as rien, tu fais croire que t'es plein
Tu mangerais tes mains pour un bout d'shit
Tu parles de ta bite mais elle est toute p'tite
Les rues du 94 sont maudites
Dans la street, trop d'hermaphrodites
Y a la BAC, mais y a pas qu'eux
Ils font la queue, ils veulent sucer ma queue
J'sais qu'tu captes, mon biff est intact
Quel impact, je les baise avec tact
Huh, Glock est fait pour ça
Huh, j'l'ai mis sous le coussin
Huh, ma ville qui me pousse
Huh, tout niquer, là pour ça

T'as choisi ton camp, t'as sucé leur sang
T'auras beau prier, tu fais le brigand, t'as le nez dedans
T'as rêvé d'un palais, moi je vis dedans
T'as manqué de temps, t'as laissé ta mère, t'as le nez dedans

Oh oh oh oh oh, t'as le nez dedans
Oh oh oh oh oh, t'as le nez dedans
Oh oh oh oh oh, t'as le nez dedans
Oh oh oh oh oh, t'as le nez dedans

T'as choisi ton camp, t'as sucé leur sang
T'auras beau prier, tu fais le brigand, t'as le nez dedans
T'as rêvé d'un palais, moi je vis dedans
T'as manqué de temps, t'as laissé ta mère, t'as le nez dedans",https://genius.com/Lacrim-philippins-lyrics
Corleone,Corleone,2014,"Lacrim, Kore

Tu fais des sous, t'as pas kave-pou : c'est qu't'es comme moi
La rue c'est plus dangereux qu'un coma
Vrais me suivent et me supportent, j'vous oublie pas
La vie est courte, monsieur
Donc faut des armes, du courage, du vice, de l'honneur
Petit frère, sois fier, regarde moi, là ouais
Le jour, la veille, de ma paye, j'dors pas
L'ivresse, la faim, des billets, de mon r'pas
Ouais, ouais, la guerre pour faire ma vie
Protéger la miff', tirer sur l'ennemi, viser dans le mille
Tout niquer, des frères ont embrassé la mort
Saïd et Mehdi, des vrais soldats, j'vous oublie pas
Vais-je pouvoir un jour me reposer ?
Mon père taffait la nuit le dos cassé
Combien dans ta ville ont fini bandit ?
À 15 ans j'voulais des sous j'ai jamais grandi
Pourquoi mon cœur est maudit, envie de faire des folies ?
Pourquoi les démons me font croire que l'enfer est joli ?
Même avec des millions aurons-nous la paix ?
Beaucoup trop finissent par s'faire fumer ou niquer leur vie en taule, mon gros
Avec la faim je suis parti de rien je voulais (je voulais)
Voir le monde donc j'ai volé
L'estomac noué, jeune et doué
J'ai fumé le roi qui me croyait dévoué
Lovés, mon Dieu, toi seul, peut me sauver
Si vous saviez, ce qu'on a fait, mais pas toujours ce qui fallait
Crevé, le fond de mon cœur n'est pas mauvais
Juste un grand loup de la tess' qui a tout niqué pour gratter sa pièce frérot !
9-4 you know how we do
Ça braque, ça vend de la drogue, tout fait pour creuser mon trou
Il fallait se débrouiller, fallait qu'on baise tout
Y'a rien dans mon assiette donc je prends tout au resto'
La faim nous a soudé, nous a rendu plus fort
On a grandi sans un sou, adolescents nous prenions que de l'or
Fait du mal, déçu ma mère
Amour venu d'ailleurs, du fusil-mitrailleur
T'es là pour toucher tous les gains, t'es là pour tout perdre
J'suis qu'un homme parmi tant d'autres, juste de passage, bienvenue dans mon monde

Corleone",https://genius.com/Lacrim-corleone-lyrics
A.W.A,Corleone,2014,"Lacrim, haaan
A.W.A, A.W.A

Qui revient foutre la merde ?
C'est toujours les mêmes
T'as reconnu l'équipe
T'as senti l'liquide
Y a des chevaux plus que dans ton Lambo
Rlah ! Tu t'es fait rafaler dans l'dos (han)
Trop loin pour qu'tu nous rattrapes
T'es né dans les choux, j'suis né dans la braque
La liberté mon frère c'est savoureux
Tu rentres chez les timps t'en ressors amoureux (shame nigga)
Pour ceux qui font des sous comme nous
A.W.A dans l'sang, on vous mettra à genoux

Nouvelle caisse, nouvelle liasse
Rolls Royce, pétasse
Grosse table, vingt bouteilles
Toujours calibré dans l'club re-fré
On t'monte en l'air (I get it, I get it)
On t'monte en l'air (talk about it, I live it)
On t'monte en l'air (fly cars I whip it)
On t'monte en l'air (big money I flip han)

Left on the plane, came on a boat
Three hundred chains, came in her throat
Ain't no tellin' where a nigga might be
Knicks game, floor seats, right next Spike Lee
I'd be higher than a motherfucker, flyer than a motherfucker
Five hundred horse, ride like a motherfucker
Please tell me what, these niggas sellin' what
Pressure on tight, you know these niggas tellin'
Champagne like July 4th
Bugatti or Porsche, beat the pussy up, Scott Storch
Montana getting Arab money
Laughing to the bank, cause these niggas funny han

Nouvelle caisse, nouvelle liasse
Rolls Royce, pétasse
Grosse table, vingt bouteilles
Toujours calibré dans l'club re-fré
On t'monte en l'air (I get it, I get it)
On t'monte en l'air (talk about it, I live it)
On t'monte en l'air (fly cars I whip it)
On t'monte en l'air (big money I flip han)

All we do is get money han
Pull up in the yacht, count hundreds han
European car, bad bitches han
Fly young rich nigga han
Tu nous verras pas sucer pour des lov'
Pour avoir ta chatte t'auras jamais du mauve (jamais)
6.3 frérot j'te vois plus
Si tu m'parles oseille, j'suis toujours à l'affut

Nouvelle caisse, nouvelle liasse
Rolls Royce, pétasse
Grosse table, vingt bouteilles
Toujours calibré dans l'club re-fré
On t'monte en l'air (I get it, I get it)
On t'monte en l'air (talk about it, I live it)
On t'monte en l'air (fly cars I whip it)
On t'monte en l'air (big money I flip han)",https://genius.com/Lacrim-awa-lyrics
Mon glock te mettra à genoux,Corleone,2014,"T'as pris des pecs, tu veux me faire la guerre ? Mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux
2-3 promenades et tu me croyais mort ? Mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux
Y'a pas de hasard, y'a le baveux, mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux
J'relève les comptes et tu m'dois des sous ? Mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux

J'suis pas la perle rare, va niquer ta mère j'emmerde le rap
C'est moi que les keufs appellent l'Arabe, c'est moi qui vais t'allumer ta race
Pourquoi sont-ils mauvais ? Ils font les voyous mais sans lové
Je les laisserai jamais partir en paix, parole du premier, bâtiment B
Là j'suis sorti ça part de là, dédicace à Luynes, à tous mes braves
Qui m'ont dit ""Lacrim, baise tous ces travs'"" Rien qu'ils parlent de la rue mais rien ne bicravent
Va donc surveiller ta soeur la chienne, tout le monde est chaud, ce soir il gèle
Gros, en avoir qu'une c'est ça que j'aime et qu'elle se tatoue « Karim » sur sa shnek
Ouais ouais, j'veux du cash, villa et piscine pour perpétrer des homicides
Tu peux garder toutes tes salopes, rien à voir avec nos missiles
On a les vrais bonhommes avec nous, ceux qui sucent des bites avec vous
Tous les Hommes meurent ne peuvent vivre comme un trou du cul que je parle avec vous

T'as pris des pecs, tu veux me faire la guerre ? Mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux
2-3 promenades et tu me croyais mort ? Mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux
Y'a pas de hasard, y'a le baveux, mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux
J'relève les comptes et tu m'dois des sous ? Mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux

J'fais pas dans l'détail, casque intégral, une grosse bécane
Bang, bang, bang Lacrim c'est oim, pas d'diplomatie j'suis une racaille
Et ouais hatay, regarde le drapeau, couleur billet de 100, couleur crapaud
T'as fait 100 pipes moi 100 braquos, dormi dans les hôtels de Monaco
Bref ce sont tous des chiens qui aboient, maintenant on leur nique leur mère et y'a quoi ?!
Bon d'accord j'vais p'tête commencer par toi, connard j'veux voir te rentrer tes doigts
Écoutes et tais toi, affrontes ?! Pas sur ces bâtards, donnes moi le tuyau j'l'attache au Qatar
On a passé l'âge de faire des bagarres, cousin j’t'allume ta mère et j'rentre au placard
Du biff, du shit, une chatte au parloir, baveu qui me prend 2 bâtons par mois
Des milliers d'lettres remplissent mon armoire, les vrais qui n'font que penser a moi
Je n'suis haï que chez les faux, j'suis sorti d'taule négro j'ai les crocs
Seul sur la route et j'roule sans rétro, aimé par les pros, aimé par les gros

T'as pris des pecs, tu veux me faire la guerre ? Mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux
2-3 promenades et tu me croyais mort ? Mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux
Y'a pas de hasard, y'a le baveux, mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux
J'relève les comptes et tu m'dois des sous ? Mon glock te mettra à genoux
Mon glock te mettra à genoux, mon glock te mettra à genoux

Bastos dans leur mère, ouais ! D'la frappe, d'la frappe, d'la frappe !
Bastos dans leur mère, ouais ! D'la frappe, d'la frappe, d'la frappe !
Bastos dans leur mère, ouais ! D'la frappe, d'la frappe, d'la frappe !
Bastos dans leur mère, ouais ! D'la frappe, d'la frappe, d'la frappe !
Bastos dans leur mère, ouais ! D'la frappe, d'la frappe, d'la frappe !
Bastos dans leur mère, ouais ! D'la frappe, d'la frappe, d'la frappe !
Bastos dans leur mère, ouais ! D'la frappe, d'la frappe, d'la frappe !
Bastos dans leur mère, ouais ! D'la frappe, d'la frappe, d'la frappe !",https://genius.com/Lacrim-mon-glock-te-mettra-a-genoux-lyrics
Pocket Coffee,Corleone,2014,"Je rêve de tranquillité, de millions de dollars
J'sors du placard,
 
demain matin je vais me faire sucer dans un sauna
J'suis un homme faut qu'on se le dise, j'pourrais te faire des trucs de malade
Peut-être que t'as vendu quelques disques, parce que papa n'était pas là
Qu'est ce tu vas m'apprendre de la vie ? Je fais partie des anciens routards
60 Jours avant que n'arrive l'euro j'avais déjà 10 barres en moutarde (Franc?)
Jamais connu la puberté, 11 ans j'tirais des grosses taffes
17 ans raté le million le juge m'a privé de liberté
Déjà sevré dès la portée, on fait l'amour avec la muerte
J'veux rentrer dans le cul de la France, ce n'est qu'une histoire de fierté
C'que j'ai fait je ne le regrette pour une seul raison : parce que ma mère a pleuré
Je m'en bats les couilles
, 
c'est pas ma faute tu fais ton taff de banquier apeuré
Tu rêvais d'avoir un bateau ? Tu n'as même pas eu la voilette
Ma mère ma dit : t'as pris des millions que t'as chié dans les toilettes
Des mecs comme moi dans le rap y'en a peu, mais dans les cités y'en a des milliers
Si tu fais plus de sous que les schmits ils voudront t’humilier

J'ai connu Marbella, la Rep' Dom', la favela
Je leurs prenais des kilos de pure, toi tu n’étais jamais là
Frère tu connais la devise
Lacrim dans ta voiture compteur bloqué minimum à 210

J'suis bourré, j'pense à mes frères que j'ai laissé dans la promenade
Ils ont trop la dalle et peut-être beaucoup de gens à tuer
Beaucoup de gens à tuer,
 
on veut pas être adulé
Nous ne sommes pas dans un film, tah ""Omar ma tuer""
Une cinquantaine de loyers c'est le tarot d'un soldat pour foudroyer
J'ai l'alibi, me voilà nettoyé
J'peux aller dealer tranquille, sur la tête de mon fiston
Quand j'vais chez Louis Vuitton, c'est pour lui pas pour des putes
Je lui prendrais même du vison, j'pense à lui j'ai des frissons
Lui dans mes bras, un brolic sur moi, quelle vie nous subissons ?
Regarde ce système, à quoi il t’amène
Remplis le sac de lovés ou bien j'te nique ta mère
Vécu dans les égouts, j'ai ma suite au palace
Ta tête me dit quelque chose, y'aurait pas ta mère au Dallas ?
Des cartouche de FAMAS y'en a jusqu'à Damas
Mais la j'suis dans les îles sous rhum ananas

J'ai connu Marbella, la Rep' Dom', la favela
Je leurs prenais des kilos de pure, toi tu n’étais jamais là
Frère tu connais la devise
Lacrim dans ta voiture compteur bloqué minimum à 210

La bagarre on sait pas faire
On préfère t'allumer ta mère
T'allumer ta mère
T'allumer ta mère
La bagarre on sait pas faire
On préfère t'allumer ta mère
T'allumer ta mère
T'allumer ta mère",https://genius.com/Lacrim-pocket-coffee-lyrics
On fait pas ça,Corleone,2014,"Parler pour ne rien faire, on fait pas ça !
S'coucher dans une affaire, reu-fré, on fait pas ça !
Balancer un d'mes frères, ne faites pas ça !
Fuck tous ceux qui veulent me faire
Me parle pas, prends tes sous et barre-toi
Faut qu'on les chope, qu'on les baise, faut qu'ils paient
Faut qu'on les chope, qu'on les baise, faut qu'ils paient
Faut qu'on les chope, qu'on les baise, faut qu'ils paient
Faut qu'on les chope, qu'on les baise, fuck la paix

Glock, shit, coke, biff
3 litres 2, phares xénon
Si j'arrive tu t'feras buter facilement
Ils m'en veulent car j'ai trouvé la faille
J'dormirais plus jamais sur la paille
Bébé, ils n'sont pas à ma taille
Fuck you, kalash, rafale, pourquoi faire de la thaï
Cette année on verra bien qui est le meilleur
J'suis d'mauvaise humeur ce matin j'lui ai mis derrière
La devise : ne jamais parler pour rien
Alors ferme ton claque merde, nous on s'en bat les reins

Parler pour ne rien faire, on fait pas ça !
S'coucher dans une affaire, reu-fré, on fait pas ça !
Balancer un d'mes frères, ne faites pas ça !
Fuck tous ceux qui veulent me faire
Me parle pas, prends tes sous et barre-toi
Faut qu'on les chope, qu'on les baise, faut qu'ils paient
Faut qu'on les chope, qu'on les baise, faut qu'ils paient
Faut qu'on les chope, qu'on les baise, faut qu'ils paient
Faut qu'on les chope, qu'on les baise, fuck la paix

Niggas be talkin' 'bout killas (let's get it!)
Only fuck with my killas (squad)
We don't fuck with these niggas (no)
Fuck niggas better keep their distance (ill)
We poppin' out, one time we poppin' out
Ain't no shootin' from a car nigga, fonem hoppin' out (let's get it!)
Who the shit? We the shit, movie club, shoot a script
Gang shit, niggas wantin' that fame shit
Me and fonem gonna change shit, niggas better change quick
We're real niggas (let's get it, let's get it, let's get it!)
So you better keep your hands off, hah (L's)
'Cause I can't trust these niggas, no no (let's get it, bang, squad)

Parler pour ne rien faire, on fait pas ça !
S'coucher dans une affaire, reu-fré, on fait pas ça !
Balancer un d'mes frères, ne faites pas ça !
Fuck tous ceux qui veulent me faire
Me parle pas, prends tes sous et barre-toi
Faut qu'on les chope, qu'on les baise, faut qu'ils paient
Faut qu'on les chope, qu'on les baise, faut qu'ils paient
Faut qu'on les chope, qu'on les baise, faut qu'ils paient
Faut qu'on les chope, qu'on les baise, fuck la paix

Pro-fond, dans ses fesses
Deux heures du mat' j'fais un bain d'minuit noyé dans l'ivresse
Pas besoin de sucer pour me faire des amis
Ils parlent de mourir, j'sais qu'ils aiment trop la vie
Oui, j'veux faire des gros sous m'casser loin d'ici
Dis-leur, Sabri C-4 pour mes ennemis
Chevilly-Larue, 9.4. c'est de là d'où je viens
Afif, Jean-Mi, P'tit Bash et les Marocains
Luynes, Bâtiment B (Squad!)",https://genius.com/Lacrim-on-fait-pas-ca-lyrics
J’suis qu’un thug,Corleone,2014,"J'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, ouais
J'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, ouais
Tu fais shab tu me cherches, tu sais où me trouver
J'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, ouais
Même si t'as le pare-balles j'vais quand même te trouer
D'où je viens tu connais, je n'ai rien à prouver
Des lovés, des lovés, des lovés, des lovés
T'as le permis de poucave, j'ai l'permis de tuer

C'est la guerre, frérot, j'sais c'que je vaux
Ils veulent me tirer dans le dos, tous aveuglés par les gows
Lacrim est venu tout rafler,
 
t'es qu'un rigolo
Pas de cadeau, fume le mégot, j'ai grandi dans les affaires
Nique ta mère si tu penses nous la faire, tu sais que rien n'est offert
Tu vas goûter le FAMAS,
 
il est mort allons trinquer nos verres
Lunettes sur le nez, l'album il sort en été
Dis-leur Djamel
, 
il manque plus que leurs mères et leurs sœurs pour un vrai comité
J'ai des couilles, des grosses liasses, des gros billets, 
des lovés, des lovés,
 jamais dévié
Des mecs comme moi, en cité y en a des milliers

J'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, ouais
J'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, ouais
Tu fais shab tu me cherches, tu sais où me trouver
J'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, ouais
Même si t'as le pare-balles j'vais quand même te trouer
D'où je viens tu connais, je n'ai rien à prouver
Des lovés, des lovés, des lovés, des lovés
T'as le permis de poucave, j'ai l'permis de tuer

J'veux faire le tour de la Terre, reu-fré, ici c'est l'enfer
J'suis dans ma cité, personne à quitter
, 
dormir en tôle depuis seize ans, vacciné
Devant la porte un gamos, dans mon équipe y'a jamais d'chivatos
Il faut des lovés, demain j'vais crever
, 
suffit de 5 chiffres pour qu'on vienne te lever, mon gros
Y'a des mes-ar pour te fumer ou te prendre ton gent-ar
Pour la bagarre, j'appelle Babou le barbare
, 
tu vas ronfler jusqu'à demain soir
Frérot, j'veux ma paye, la même que Robben
Sur mon père qu'ils aiment trop la vie pour devoir la perdre

J'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, ouais
J'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, ouais
Tu fais shab tu me cherches, tu sais où me trouver
J'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, j'suis qu'un thug, ouais
Même si t'as le pare-balles j'vais quand même te trouer
D'où je viens tu connais, je n'ai rien à prouver
Des lovés, des lovés, des lovés, des lovés
T'as le permis de poucave, j'ai l'permis de tuer",https://genius.com/Lacrim-jsuis-quun-thug-lyrics
Mon frère,Corleone,2014,"T'étais mon frère, les bons qui perdent
Ça fait du mal, mais je dois m'y faire
Tu vas m'manquer mon ami (je dois m'y faire)
Tu vas m'manquer mon ami
Elle a tes yeux, tu peux être fier (tu peux être fier)
J'te vois partout, moi j'veux pas m'y faire (j'veux pas m'y faire)
Tu vas m'manquer mon ami (j'veux pas m'y faire)
Tu vas m'manquer mon ami

Une amitié née d'une enfance difficile
Banlieusards, on a grandi sur un fil
Mais t'étais là pour moi
Moi j'étais là pour toi
Nous étions juste des p'tits jeunes qui dans l'mal ont pris racine
Insolents, on a pas rendu un kil'
On était jeunes et fous
On en voulait des sous, ouais

Alors on a quitté l'école, on s'inventait nos codes
On voulait partir en vacances avec les meufs les plus bonnes
Et y'a les balles qui résonnent, on avait peur de personne
On avait qu'un seul grand frère c'était le Smith & Wesson
On veut l'coffre et la caisse, du champagne, de la fraise
Molotov dans la tess', sur le coffre on encaisse re-fré
On avait qu'un but, celui d'tout baiser
On était dangereux pour la banalisée

T'étais mon frère, les bons qui perdent
Ça fait du mal, mais je dois m'y faire
Tu vas m'manquer mon ami (je dois m'y faire)
Tu vas m'manquer mon ami
Elle a tes yeux, tu peux être fier (tu peux être fier)
J'te vois partout, moi j'veux pas m'y faire (j'veux pas m'y faire)
Tu vas m'manquer mon ami (j'veux pas m'y faire)
Tu vas m'manquer mon ami

Une amitié née d'une enfance difficile
Banlieusards, on a grandi sur un fil
Mais t'étais là pour moi
Moi j'étais là pour toi
Nous étions juste des p'tits jeunes qui dans l'mal ont pris racine
Insolents, on a pas rendu un kil'
On était jeunes et fous
On en voulait des sous, ouais

Plus d'oseille, plus d'oseille, plus d'oseille
Tu m'disais Karim ""on arrête"" j'te répondais plus d'oseille
""On va tout perdre"", c'est toi qui m'disais ça
Ma folie t'répondait ""Wesh, t'as peur de quoi ?
Poto, t'es fou prends tout maintenant, on s'en bat les couilles on est dedans
Les anciens laisse-les qu'ils s'amènent, qu'on leur mette des balles dans les dents""
J'vois la scène avec toi devant, nan, le glock pointé vers l'avant, nan
Cette pute qui visait la tête, mon calibre s'enraye en même temps, nan

T'étais mon frère, les bons qui perdent
Ça fait du mal, mais je dois m'y faire
Tu vas m'manquer mon ami (je dois m'y faire)
Tu vas m'manquer mon ami
Elle a tes yeux, tu peux être fier (tu peux être fier)
J'te vois partout, moi j'veux pas m'y faire (j'veux pas m'y faire)
Tu vas m'manquer mon ami (j'veux pas m'y faire)
Tu vas m'manquer mon ami

J'bois du Sky vers quelques gouttes parterre, j'pense à toi mon frère
Ta femme, ta fille qu't'as laissées derrière, t'inquiète même pas mon frère
Dans la vie tout se paye j'vais les laisser par terre, j'leur ferai même la guerre en enfer
J'ai plus rien à perdre, cette fois c'est la dernière, j'récupère la bécane que t'avais caché derrière
Et j'déboule en plein jour, sans détour, le premier direct dans les genoux
Les deux autres j'les vise dans le dos, j'leur vide le chargeur dans les joues
Alors on fait moins les fous ? Dans cette histoire on sera jamais quittes
L'homme que vous avez tué vaut beaucoup plus que toute ton équipe
On était frères mais pas d'la même mère
Religions différentes, situation précaire
On a mangé les mêmes pierres, on a partagé les mêmes épreuves
On a vécu les victoires, les défaites, été comme hiver

T'étais mon frère, les bons qui perdent
Ça fait du mal, mais je dois m'y faire
Tu vas m'manquer mon ami (je dois m'y faire)
Tu vas m'manquer mon ami
Elle a tes yeux, tu peux être fier (tu peux être fier)
J'te vois partout, moi j'veux pas m'y faire (j'veux pas m'y faire)
Tu vas m'manquer mon ami (j'veux pas m'y faire)
Tu vas m'manquer mon ami",https://genius.com/Lacrim-mon-frere-lyrics
