title,album,year,lyrics,urls
10',Mercy,2016,"Tu m'as dit : ""Tiens-moi par la main, protège-moi de ce monde, le paradis, c'est quoi si l'enfer c'est les autres ?""
T'étais pas comme les autres, l'hirondelle est passée, cette vie nous a blasé, maintenant
Tu dis : ""Viens par ici, y'a des gens formidables dans des soirées par ci, dans des soirées par là""
Mais tu sais comment j'suis, tu sais comment faire, t'étais tellement belle que j't'ai suivi
Moi, hun, y'a plus une seule rose dans le bouquet final
Han, plus qu'moi-moi, moi et ma liasse, j'suis pas fier
Mais au moins, elle est fiable, j'pense à hier

Je n't'aime plus vraiment, t'as chauffé mon cœur, nan mais vraiment
On fait des choix qu'on assumera forcément, dans ma mélancolie, dans mon élément
Quant à toi, tu l'regretteras vraiment, tu t'rappelleras d'tout, surtout de c'que t'as fais d'mal
La vie reprend tout c'que t'as, t'laisse que les remords, t'as chauffé mon cœur, nan mais vraiment

Les sentiments diminuent, diminuent, diminuent, diminuent, diminuent, diminuent
Un choix fait en dix minutes, dix minutes, dix minutes, dix minutes, dix minutes, dix minutes, pile
Mon sang froid qui diminue, diminue vite, ton sourire est faux, il est presque inutile
Du rouge à lèvres pour embrasser le pire, mes sentiments diminuent, diminuent
Diminuent, diminuent, diminuent, diminuent, diminuent, diminuent vite
Diminuent, diminuent, diminuent, diminuent, diminuent, diminuent vite
Un choix fait en dix minutes, dix minutes pile, mon sang froid qui diminue, diminue vite
Ton sourire est faux, il est presque inutile

C'est du business, no love, que de la haine dans c'monde là
Ouh, sans pitié comme un contrôleur
Eh eh eh, dans ma rue, y'a plus d'compromis
Eh eh eh et j'pourrais même pas t'faire un schéma
Tellement tout ça, c'est mal, tellement d'joie qu'on simule, tellement d'scénar'
C'est ma faute à chaque fois, à chaque fin d'film, tu vers'ras des larmes
J'ai dit : ""Tu verseras des larmes"" mais j'sais bien qu'après toi, c'est moi
La haine fait son chemin, mieux vaut même pas r'garder l'état d'nos âmes
Hein, hein, hein, hein, hein, hein, hein, hein
Hein, vraiment

Je n't'aime plus vraiment, t'as chauffé mon cœur, nan mais vraiment
On fait des choix qu'on assumera forcément, dans ma mélancolie, dans mon élément
Quant à toi, tu l'regretteras vraiment, tu t'rappelleras d'tout, surtout de c'que t'as fais d'mal
La vie reprend tout c'que t'as, t'laisse que les remords, t'as chauffé mon cœur, nan mais vraiment

Les sentiments diminuent, diminuent, diminuent, diminuent, diminuent, diminuent
Un choix fait en dix minutes, dix minutes, dix minutes, dix minutes, dix minutes, dix minutes, pile
Mon sang froid qui diminue, diminue vite, ton sourire est faux, il est presque inutile
Du rouge à lèvres pour embrasser le pire, mes sentiments diminuent, diminuent

Diminuent, diminuent, diminuent, diminuent, diminuent, diminuent vite
Diminuent, diminuent, diminuent, diminuent, diminuent, diminuent vite
Un choix fait en dix minutes, dix minutes pile, mon sang froid qui diminue, diminue vite
Ton sourire est faux, il est presque inutile",https://genius.com/Laylow-10-lyrics
BURNING MAN,TRINITY,2020,"Je crée puis je casse tout, c'est merveilleux
J’me détruis un peu chaque jour, c'est ma vie
Tu n'verras que la flamme qui brûle dans mes yeux
J’me détruis un peu chaque jour, c'est merveilleux

Moi, j'kiffe le feu quand c'est chaud comme à Tijuana
Quand ça secoue les ch'veux comme le chanteur de Nirvana
Quand j'touche la flamme et que j'me brûle les doigts
C'est chelou mais j’sais pas, ça m’plait, oh yeah
Pour mes kho qui ont les doigts dans l'piège
J’sais pas mais j'veux pas d'mander le chemin vu qu'il faut l’surmonter
Rien que ça sonne sur mon tel', j'réponds pas pour pas t'mentir
J'vais pas t'faire de grands sourires, 
comment t'dire qu'y'a rien de fun, j'ai posé tout l'summer
Toute une life, j'ai cherché les sommes, 
calcule pas quand j'suis dans mon seum
Inquiète toi plutôt quand j'dis qu'ça va
J'ai l'cœur un peu malade, je brûle mais tout est sous contrôle

Lentement, je brûle lentement
Pas de pansements pour apaiser mon crâne
Comment garder son calme quand la violence manque ?
Lentement, mon noyau crame

Je crée puis je casse tout, c'est merveilleux
J'me détruis un peu chaque jour, c'est ma vie
Tu n'verras que la flamme qui brûle dans mes yeux
J'me détruis un peu chaque jour, c'est merveilleux

Une baise magnifique dans la Mini, ça pourrait durer à l'infini
Mais ça vient de finir dans sa bouche chaude
, 
tu sais ce qu'on dit sur les bonnes choses
J'ai peur de la fin, hmm, peur de pas gagner à temps
Plein de rage, plein de vengeance ouais, 
j'me nourris du mal qu'on me souhaite
Rien d'original, pour vivre cette vie j'ai dû briser des chaines épaisses
Tous les soirs, je quitte mon appart, je rentre un nouveau lit sur mon GPS
2018, j'ai toujours pas trouvé la bonne, j'me console chez des pestes
Et bizarrement, j'leur fais l'amour comme des reines alors que j'les déteste
J'regarde ma gueule dans l'Zippo, 
inexpressif comme un cyborg
Dix ans avant, j'étais si pauvre, galère dehors avec six potes, rien n'est plus aussi beau
Que Dieu me préserve de tout posséder comme celui qui clashait Meek Mill
Riche et léger, j'prends plus de vitesse, droit vers la mort comme un GX 1000

Lentement, je brûle lentement
Pas de pansements pour apaiser mon crâne
Comment garder son calme quand la violence manque ?
Lentement, mon noyau crame

Je crée puis je casse tout, c'est merveilleux
J'me détruis un peu chaque jour, c'est ma vie
Tu n'verras que la flamme qui brûle dans mes yeux
J'me détruis un peu chaque jour, c'est merveilleux",https://genius.com/Laylow-burning-man-lyrics
DEHORS DANS LA NIGHT,TRINITY,2020,"Y'a des soirs, on quitte la maison juste pour voir à quel point c'est sombre
Dehors il pleut, toutes les saisons, j'ai tête sous l'eau, oh my god
Claque la porte comme à mes seize ans juste pour voir à quel point c'est sombre
Dehors, tout l'monde perd la raison, j'ai tête brûlée, oh my god

Minuit passé, j'traîne avec ceux qui dealent dans les rues d'la ville
L'alibi, c'est chercher l'biff, la vérité, c'est qu'on cherche juste à vivre
Comme Les Affranchis, comme les mecs frais dans les films
J'connais mes classiques, j'sais qu'on est tout en bas sur l'graphique
Me reconnais pas dans les têtes qui défilent dans les peus-cli
Maman m'a dit : ""t'es différent, on voit que ta gueule dans le casting""
Mais c'est plus facile de mettre bien en avant c'qui nous lie
Que d'expliquer comment on est, le mal qu'on ressent, comment leur dire ?
Donc j'sors un soir sur deux, j'bois au goulot toute la liqueur
Pour avoir l'air sûr de moi, juste un peu plus qu'eux
J'me confronte au mal que pour savoir si j'suis bon au fond
Les cris m'font hausser le ton, là j'suis dehors et y a plein d'motherfuck

Y'a des soirs, on quitte la maison juste pour voir à quel point c'est sombre
Dehors il pleut, toutes les saisons, j'ai tête sous l'eau, oh my god
Claque la porte comme à mes seize ans, juste pour voir à quel point c'est sombre
Dehors tout l'monde perd la raison, j'ai tête brûlée, oh my god


Dans la night
Solo quand tout va mal
Jeune tisse-mé dans la night
Solo quand tout va mal

J'suis seul ce soir, les soirées sont éclatées
Me parle pas d'ta tte-cha, là c'est déplacé
J'suis blanc, j'suis noir, j'sais même pas où m'placer
Toujours la même galère, jeune tisse-mé dans la night
J'pense à faire mes bails, mettre money sur le side, mettre ta bouche sur messagerie
Mais j'suis trop dans l'mal, là tout seul dans la night
Est-c'que j'suis dans l'vrai ? Est-c'que j'pète un câble ?
Est-c'que ces gens m'aiment ? Est-c'qu'ils s'foutent de moi ?
Pourquoi j'vois toujours le monde en blanc et noir ?
Pourquoi j'en suis là ? Toujours en bas
J'sais pas s'il reste une place pour moi dans l'espace
J'suis seul de dingue, s'te plaît me laisse pas

Dans la night
Solo quand tout va mal
Jeune tisse-mé dans la night
Solo quand tout va mal

Vous semblez mélancolique ce soir. Que diriez-vous d'un programme d'entraînement ? Territoire : extérieur. Conditions climatiques : excellentes. Programme de pilotage à haute vitesse : enclenché",https://genius.com/Laylow-dehors-dans-la-night-lyrics
VAMONOS,TRINITY,2020,"Mieux vaut pas r'garder, pas r'garder, nan
Faut pas r'garder, la vérité blesse
Mieux vaut pas r'garder, pas r'garder, nan
Faut vaut pas r'garder

Vaut mieux pas regarder, elle a les jambes écartées, interdit aux moins seize
Y'a moins d'mots, y'a pas moins d'sens, j'suis loin d'moi, de mes ancêtres
Juste en face, c'est les enfers, t'as fait des affaires, m'a répété mon frère
Regarde pas trop les assiettes des autres, elles ont toujours l'air pleines, fuck té-ma la mienne
Tous mes rêves d'ados en miettes, j'vais les réaliser en mieux
Fuck un frère toujours en chien, dis-lui d'se ressaisir ou ciao
Mieux vaut pas trop ter-ma l'ciel, si la réponse est d'vant tes yeux
Rien à foutre d'être un mec bien, j'veux le monde
Et j'vais pas r'garder l'price sur l'étiquette, guette la tête des mecs, tah la sécurité
La vie ils ont l'seum, j'sais pas, p't-être leurs femmes les trompent
J'veux pas regarder la misère du monde mais au fond
Ton mal c'est p't-être mon bien, ça bosse comme cartel colombien
Y'en a qui en pleurent, y'en a d'autres qui en rêvent, moi, j'm'en bats les couilles
Laylow veut que faire la liasse pour la familia, puis Vamonos
Frérot, s'te-plaît reste fiable, joue pas les mafieux quand t'es au phone
T'enflamme pas pour une bitch, j'm'enflamme pas pour un vieux contrat à vingt mille (vingt mille)
Tout ça c'est rien, c'est pas la vie, mon ami
Sers-moi, ice, et 'sky, plus tout c'qu'il y a dans ton sachet
Cette life, coup d’schlass, j'ai tâché l'sweat Versace
J'leur donne qu'un smile, le reste j'vais l'garder caché
Vérité fait mal

Mieux vaut pas r'garder, pas r'garder, nan
Faut pas r'garder, la vérité blesse
Mieux vaut pas r'garder, pas r'garder, nan
Faut vaut pas r'garder

Vingt-et-unième S
Vingt-et-unième S, les gens n'ont plus de cœur, plus de poumons, plus de foie (ouais)
Trop de messages privés que j'dois pas r'garder, ma mission, c'est gérer la plus prude que j'vois
Il a géré celle que j'voulais, j'peux l'regarder mais j'peux plus m'le voir
Le prix vaut mieux pas r'garder, s'il me plaît, j'achète le même pull deux fois, hein
Je sais quoi faire de mon pèze, je suis fier de mon verbe mais faudrait que mes bêtes de sons pètent
Faudrait pas que mon fils paye les dettes de son père, j'dois assurer en tant qu'chef de mon fief
Je sirote mon jus quand ils pètent le Dom Per', y'en a qui chutent comme Niagara, ça n'me mouille pas
J'm'en fous, j'suis pas l'gardien du frère de mon frère, moi, j'm'en bats les couilles
Flingo veut que faire la liasse pour la familia, puis, allons-y
Les trucs tape-à-l'oeil et les diams qui sentent le sang, c'est pas mon style
J'suis pas dans l'combat civique, j'suis dans l'Honda Civic, négro on va si vite
Tout ça, c'est rien, c'est pas la vie
Le diable croyait m'avoir, méchante zeb, Marianne croyait m'avoir, collège en ZEP
J'aime pas suivre, j'aime pas être suivi, j'suis dans la cuisine, audio crack coupé en seize
Mon blaze sera placardé, ici bas, je sais ce qui prime, je vois ceux qui triment, je n'aime pas r'garder
J'ai ma carte A, j'ai ma carte B, pour la survie, pas pour la frime, tu m'as capté
Mieux vaut pas r'garder",https://genius.com/Laylow-vamonos-lyrics
MEGATRON,TRINITY,2019,"Okay
Les yeux de ces gens n'ont jamais vu le soleil de près, je le vois
De montrer le chemin, d'rallumer la flamme qui s'éteint, je me dois
Tu sais, loin des lois, je ne vis que le soir comme étoile dans le noir
Tu sais, loin de moi, demain, j'reviens de loin, j'ai plus vraiment le choix

Augmente la pression 
(pression)
Augmente la pression, oh
Augmente la pression 
(pression)
Augmente la pression, oh

Y'a v'là l'éléphant dans la maison
, 
c'est toujours l'plus fort qui a raison
Éteins toutes les télévisions, fuck une représentation, j'suis en mission
Ils ont chaud, c’est pas la saison
 ; dans la cabine, pas de réseau
Fais pas trop des comparaisons, j'ramène le flow, c'est la dernière livraison
Baby, c'est chant-mé, 
j'vais pouvoir t'offrir ton sac Chanel
Bien sûr que j'savais qu'on allait tout niquer, c'tait qu'une question d'années
Tout est gé-char, 
j'ai mis des lames de rasoir dans l'écharpe
, bra
J'ai même pas sorti mes cartes, ils ont d'jà tous quitté la table, oh merde

Augmente la pression 
(pression)
Augmente la pression, oh
Augmente la pression 
(pression)
Augmente la pression, oh

Et bah ouais mec, bien sûr que l'jeune tisse-mé revient
Celui l'plus chaud dans la ce-Fran, achète son album qui marche à la revente
J'm'arrête, j'mets l'plein, j'suis sur l'périph', t'es loin
Laylow, bien sûr, DigitalMundo, j'suis l'Man of the Year
Ça date pas d'hier et j'peux leur trouer le boule et les yeuz
Mes niggas font ""yes"", ça secoue la tête sur la banquette arrière
Mais c'est pas ma faute, va dire à l'OPJ qu'on va tout niquer
Qu'ils viennent même pas nous contrôle, fils d'immigrés sur un terrain miné
Oh, j'me d'mande comment ça va s'terminer
Yo, j'suis même pas sûr qu'on va trouver la paix
Shit, j'connais pas mes limites, mes limites
J'me d'mande comment ça va s'terminer

Les yeux de ces gens n'ont jamais vu le soleil de près, je le vois
De montrer le chemin, d'rallumer la flamme qui s'éteint, je me dois
Tu sais, loin des lois, je ne vis que le soir comme étoile dans le noir
Tu sais, loin de moi, demain, j'reviens de loin, j'ai plus vraiment le choix

J'augmente la pression, oh",https://genius.com/Laylow-megatron-lyrics
Maladresse,.RAW-Z,2018,"J'sais qu'j'mérite pas tout cet amour qu'on m'adresse
J'sais qu'tu mérites mieux, j'sais qu'j'suis plein d'maladresse
Tu sais, le temps passe, y'a pas grand chose dans l'assiette
Donc pour noyer ma rage, j'attends plus la fin d'la s'maine

Hey hey (hey hey), hey hey (hey hey)
Hey hey (hey hey), hey hey (hey hey)
Hey hey (hey hey), hey hey (hey hey)
Hey hey

J’pète des seums quand y’a les balles et les suceurs qui flex (hey)
C'est les mêmes qui voulaient tout balance à la maîtresse, yeah
Moi, mes res-frè, c'est des pits, ils sont sauvages à souhait
J'connais toujours pas la pétasse qui m'tiendra en laisse, nan
Rajoute un truc électronique, tu sais qu'c'est nous les plus bioniques
225, yeah you know me, v'là les pompiers comme dans Blow, bitch
Allez blow bitch, c'est ton hobbie, m'invite pas dans soirée cosy
J'suis attachant mais j'suis nocif, on verra c'qu'en dit l'autopsie
Ils f'ront comme si y'avait R
Et quand l'FAMAS blesse, les égos se taisent
Et quand l'témoin s'lève, j'suis toujours à l'aise
Faut qu'j'me pète une caisse, assortie à mes textes
Pour plus squatter la 13, pour faire plais' à ma mère

Haaan, fuck cette musique et c'qui va avec
Haaan, j'aime cette musique

J'suis plus dans l'93, on a changé d'adresse, yeah
Ni chaud, ni froid quand ces négros veulent gérer mes exs (flex)
J'suis concentré que sur le tur-fu, ta que-cli régresse, ouh
Démon me chuchote à l'oreille : ""Mais démolis-les""
Démon m'dit qu'il faut rien oublier, toutes les défaites et les ennemis d'hier (yeah)
Tous ces moment où t'es seul et tu t'sens humilié (yeah)
Tous ces gens qui t'ont douillé, qui ont profité d'ta vision brouillée (hey)
""Oublie-les""
Ça, c'est mon ange qui revient dès que ma vision est nette
Quand je suis maître de mes sentiments mais qui peut me test ?
Qui peut le faire mieux que le Lay' ? Sûrement pas ceux qui passent à la télé
Tu veux le Graal ? Je te le laisse, si t'as du mal, poto appelle
J'avance à grands pas que dans les grandes choses
Ça me dérange pas que tu captes tout avec tant de délai
Hein
Laylow",https://genius.com/Laylow-maladresse-lyrics
LOGICIEL TRISTE,TRINITY,2020,"Ce soir, je suis grave triste, j'vais faire des sales choses
J'te mets sur messagerie, mon cerveau fait des saltos
Tout l'monde a l'air d'être heureux, je suis grave triste
Et ça, ça m'donne envie d'leur faire des sales choses
M'appelle pas, j't'enverrai vers ma messagerie

Des fois, j'ai l'impression d'être un logiciel
Programmé pour lui mentir et faire tomber sa ficelle
J'veux bâtir un paradis sûrement bien trop artificiel
Et j'fais la gueule même dans les défilés d'mode
Margiela, c'est trop loin d'chez moi
J'me sens super mal même quand tu m'dis qu'ça va cher-mar
J'vais pas t'faire un schéma, j'dessine pas, j'suis que dans l'pe-ra
H24 dans les ges-piè, tatoué, y'a rien à fêter, rien à fêter

Ce soir, je suis grave triste, j'vais faire des sales choses
J'te mets sur messagerie, mon cerveau fait des saltos
Tout l'monde a l'air d'être heureux, je suis grave triste
Et ça, ça m'donne envie d'leur faire des sales choses
M'appelle pas, j't'enverrai vers ma messagerie

Y aura même pas de remise en question, n'attends pas mon appel
J'ai tellement fait d'erreurs, j'ai sûrement oublié laquelle
Laquelle t'as blessé, laquelle t'as laissé des cicatrices au cœur ?
Si tu savais à quel point je peux plus compter les miennes
On peut cacher des peines et faire comme si tout allait en tombant les 'teilles
Pour atténuer le gris, on peut s'acheter le bleu sur une île en été
On peut chercher tellement d'occupations sans jamais trouver la paix (moi, j'préfère faire la guerre)
Frérot, j'sais pas si c'est bien payé, j'me sens comme mercenaire, bien sûr que non je fais pas d'freestyle
J'sais même pas si j'suis vraiment fort mais j'sais que j'suis plus fort qu'hier
Et que t'as tort de nier, tu comprendras dans le corbillard (tu comprendras dans le corbillard)

Ce soir, je suis grave triste, j'vais faire des sales choses
J'te mets sur messagerie, mon cerveau fait des salto
Tout l'monde a l'air d'être heureux, je suis grave triste
Et ça, ça m'donne envie d'leur faire des sales choses
M'appelle pas, j't'enverrai vers ma messagerie

Extinction du programme Trinity",https://genius.com/Laylow-logiciel-triste-lyrics
NAKRé,TRINITY,2020,"Y'a des choses qui sont sacrées
Y'a tes yeux qui sont nacrés
J'aimerais rev'nir en arrière
En fin d'compte, je suis navré
Et j'vois, des gens, autour, qui disent qu'ils m'aiment
J'suis pas sûr mais j'leur donne un sourire quand même
Trop moi, trop vrai, trop sincère
Le prend pas mal

Dans cette vie ou dans une autre, c'est trop la merde
J'ai d'l'ambition mais mes problèmes me ramènent
Sans cesse aux même vices, qui tournent en boucle dans tous les tieks
Les mecs me disent : ""t'es chaud Laylow, lâche pas Laylow, c'est net""
""Laylow, c'est net"" mais si là, j'm'arrête, qu'est c'qui s'passe ?
Qui va parler d'moi ? Quel sera l'poids d'mon existence ?
Pourquoi j'taffe depuis tout c'temps ? Pourquoi j'y crois comme un gosse ?
J'suis d'vant portes fermées
Laylow, si seul, dans l'atmosphère
J'me bats, j'sais même pas, à quoi ça sert
Un jour, j'veux la villa au bord de la mer
Mais l'lendemain je veux juste mourir avec honneur
J'raconte cette life
Si triste, si pénible
J'me délivre seulement quand j'me noie

Y'a des choses qui sont sacrées
Y'a tes yeux qui sont nacrés
J'aimerais revenir en arrière
En fin d'compte je suis navré

C'est vrai, j'suis navré, pour toutes les fois où j't'ai fait du mal
Sur la route de l'enfer, à 250 sur une Aprilia
Y a des erreurs à pas faire, y a toujours un avant, un après
Jamais j'ai dit qu'j'étais parfait moi
Dis-moi non ou dis-moi oui, mais dis-moi pas n'importe quoi,
 j'sais que t'es à l'eau
J'te vois de loin, ça s'voit qu'ça va pas, dis-moi, enfin
Bah ouais mais t'as signé sur la feuille
Fais pas genre tu m'connais pas, tu connais les clauses, tu connais d'jà
Mes diezs depuis le début, c'est faire des sommes, les décupler
Fuck, j'ai plus l'temps d'étudier, tant d'limites à repousser
Dommage, j'ai grimpé, j'ai trébuché, maman, j'ai pêché, je sais qu'tu sais
Mais c'était pas moi, c’était un autre
Vision faussée par les euros qu'j'ai pas sur mon compte
Bébé, j'suis dans le tunnel, y a pas d'lumière, y a pas d'son
On est tous morts depuis longtemps, t'fies pas aux dates sur les tombes
Triste vie, tout est obscur

Mais y'a des choses qui sont sacrées
Y'a tes yeux qui sont nacrés
J'aimerais revenir en arrière
En fin d'compte je suis navré

Reconnexion Trinity... Impossible",https://genius.com/Laylow-nakre-lyrics
TRINITYVILLE,TRINITY,2020,"Pleins phares, pleine lune sur la ville
Flamme sort du pot d'échappement quand je navigue
Elle est prête, elle veut l'faire sur le parking
Pleins phares, pleine lune sur (ok)
Pleins phares, pleine lune sur la ville
Flamme sort du pot d'échappement quand je navigue
Elle chauffe (elle chauffe) mon cœur (mon cœur) sur le parking
Pleins phares, pleine lune sur la ville

Ramène ton cul dans la caisse, ramène ton cul dans la caisse
Trinity dans la matrice, elle a mis que du latex (flex)
Elle voudrait que je la blesse, elle veut même un peu plus
Très tard le soir, je l'appelle, après j'vais casser ma puce
Jeune tis-mé toujours dans les temps (j'suis dans les temps)
J'surfe sur l'rap français comme sur tes jambes (sur tes jambes)
M'en veux pas quand ma vision devient rouge (devient rouge)
Quand j'change de mood, oh, pétasse casse un tour (oh, casse un tour)
J'sors de tour, j'suis trop déter', j'les prends tous (oh, dis-moi tout)
Si c'est juste pour faire la mala, j'passe mon tour (ouais, j'passe mon tour)
Business avant tout, j'roule sur ton cœur, j'écrase tout

Pleins phares, pleine lune sur la ville
Flamme sort du pot d'échappement quand je navigue
Elle est prête, elle veut l'faire sur le parking
Pleins phares, pleine lune sur (oh yeah yeah)
Pleins phares, pleine lune sur la ville
Flamme sort du pot d'échappement quand je navigue
Elle chauffe (tu chauffes) mon cœur (mon cœur) sur le parking
Pleins phares, pleine lune sur

Moi, j'recompte mes lovés, me dis pas qu't'es love de moi
On s'connait que depuis .RAW-Z (.RAW, .RAW)
C't'année, j'me suis promis d'élever le niveau, le level
J'ai bossé comme never, fils d'immigré fait pas grève, eh
J'veux pas vivre tranquillement, Lamborghini me manque
J'veux pas la pilote à soixante-dix ans
Flammes dans les yeux d'l'OPJ quand j'lui dis que j'fais que du rap (flex)
Mec, c'est du développement durable, j'vais leur apprendre à me chercher la frappe (hey, hey, hey, hey)
J'veux pas le bien, que le pire, numéro 9 de l'équipe
Chaque nouveau projet, je drift, Laylow, c'est l'adrénaline
J'pourrais jamais t'aimer jusqu'à l'infini (j'pourrais jamais t'aimer jusqu'à l'infini)
Pourquoi tu veux t'insérer dans ma vie (vie) ?

Pleins phares, pleine lune sur la ville
Flamme sort du pot d'échappement quand je navigue
Elle est prête, elle veut l'faire sur le parking
Pleins phares, pleine lune sur (oh yeah yeah)
Pleins phares, pleine lune sur la ville
Flamme sort du pot d'échappement quand je navigue
Elle chauffe mon cœur sur le parking
Pleins phares, pleine lune sur la ville",https://genius.com/Laylow-trinityville-lyrics
MILLION FLOWERZ,TRINITY,2020,"Oh my, j'espère qu't'as pas trouvé bonheur ailleurs
Oh my, j'suis d'vant ta porte avec million d'flowers

J'suis d'vant ta porte avec million d'flowers
Dis-moi si c'est trop tard, dis-moi si j'suis toujours à l'heure
C'est quand les gens s'éloignent qu'on voit leur valeur
Y'a des choses qu'ont pas d'égal, dis-moi si t'es partie ailleurs
Et la vie sonne comme mélodie sans l'harmonie
J'traîne ma peine comme tous ces mélancoliques anonymes
J'ai la vingtaine mais j'suis triste dans un Merco-Benz
Surtout quand j'pense à toi avec un autre
Mes projets tombent à l'eau
Pourtant t'sais bien qu'y a pas d'homme qui fait mieux, oh no
J'ai la liasse, qu'est ce qui faut d'autre, mama mia ?
Corazon troué au fusil d’assaut, buenos días
My love, tu réponds pas quand j'dis ""allô""

Oh my, 
j'espère qu't'as pas trouvé bonheur ailleurs
Oh my, j'suis d'vant ta porte avec million d'flowers
Oh my, j'espère que t'as pas trouvé bonheur ailleurs
Oh my, j'suis d'vant ta porte avec million d'flowers
Oh my, j'espère qu't'as pas trouvé bonheur ailleurs
Oh my, j'suis d'vant ta porte avec million d'flowers

J'ai vu tes fleurs et ça n'm'a fait aucun effet. C'est trop tard et c'est mieux comme ça",https://genius.com/Laylow-million-flowerz-lyrics
