title,album,year,lyrics,urls
Heaven, Les Nubians Presents: Echos - Chapter One: Nubian Voyager,2005,"You may never know
Where my footprints lead
You may never see
See the path I choose
Or see my constellations move
[Fisiwe & 
Chuma
]
Heaven
Heaven is in my mind I put it together
Constructed like the hells in which I've lived
Out of wishes, ideas 
voice
Out of motion 
change
Out of desire 
 energy
And analysis
Which have as much critical mass as muscle 
bone
Blood
Focus my attention on my intention
Take full responsibility
Recognize when I preempt my own heaven with ideas
That drain my power like
The
conspiracy 
that
 uses 
invisible
 strings
To
 keep me moving in the realm of my own inconsistency
If I could just deny that hate
We don't want you kind here
Blame: 
It's not my fault
Pride: 
I don't understand what you're talking about
Fear: 
I can't do it, I just can't
Self-fulfilling prophecy

You may never know
Where my footprints lead
After I am gone away
You may never see
See the path I choose
May never see the twinkling of my star
See my constellations move
[
Chuma
]
But... but I can dream it, I can be it
That... that moon, that cloud
That sun
That sky
I can be that safe
That full
That happy
That real
Don't tell me
[Fisiwe & 
Chuma
]
Don't tell me heaven's sealed for the likes of those holier than me
I've got plenty holes of my own
I refuse
I refuse to loose my mind to the sadness locked in the illusion of my finitude
You can't make me, tell me come down off my clouds
That is not your place
My clouds belong to me
Don't you dare presume to decide for me the color of
My soul
The middle of
My intention
The element of
My spirit
That is not you place
My spirit belongs to me
I belong to my spirit
Has the birthright to explore my own uncharted territory
I put my heaven together
I dream my heaven together
I love my heaven together
I wish my heaven together
I choose my heaven together
I poem my heaven together
I know my heaven
I know my heaven as I makeshift me where
When I live here
Then soon I will be
All back together again
Knowing who, 
what
, where, 
when
, how, 
why
,
I am, we are
A heavenly, 
heavenly
 being

You may never know
Where my footprints lead
After I am gone away",https://genius.com/Les-nubians-heaven-lyrics
Je M’En Occupe,Nü Revolution,2003,"Hey, tu sais je ne parle pas très bien ma langue, mais
Te n'inquiète, je m'en occupe
C'est la langue de la forêt
Bounce, tu es avec nous?
Écoute un peu
Je ne parle pas très bien ma langue, mais
Te n'inquiète, je m'en occupe
Je ne parle pas très bien ma langue, mais
Te n'inquiète, je m'en occupe
Je ne parle pas très bien ma langue, mais
Te n'inquiète, je m'en occupe
Je ne parle pas très bien ma langue, mais
Te n'inquiète, je m'en occupe
Je m'en occupe
Je m'en occupe
Je m'en occupe
Je m'en occupe
C'est comme ça qu'on parle chez vous, alors
On a un accent très localizable",https://genius.com/Les-nubians-je-men-occupe-lyrics
Que le Mot Soit Perle,One Step Forward,2003,"Vous
Je vous remercie pour tout, Que le mot soit perle
Que le mot soit perle ,Qu'il éclaire votre chemin
Et Qu'il brille dans le creux de vos mains
Que le mot soit perle
Une parure pour votre cou
Que le mot soit perles de parfums pour vos joues
Que le mot soit perle et qu'il tombe comme la pluie
Que le mot…
Vous
Je me souviendrai de vous
Que le mot soit perle
Que le mot soit fort, Qu'il nous protège de tous les sorts
Et qu'il chante ces paroles à nos morts
Que le mot soit perle
Chaud comme quand le feu est doux
Comme l'encens que je brûle quand je pense à vous
Que le mot soit perle
Qu'il vous porte nos prières
Que le mot…
Que le mot soit PERLE",https://genius.com/Les-nubians-que-le-mot-soit-perle-lyrics
J’veux d’la musique (tout le temps...),One Step Forward,2003,"J'ai la musique dans le sang
Je la conjugue au passé au présent
Je, tu, il, nous à tous les temps
J'fais d'la musique tout le temps
Musique de toutes les langues, de tous les instants
Musique du cœur
Ses battements
Musique, musique joue pour toi et moi
Que jamais personne ne puisse éteindre ta voix
Musique
Eternelle à mon cœur
Musique
J'veux d'la musique tout le temps
Du passé au présent
J'veux d'la musique tout le temps
Assurément. Tout le temps
Chaque minute précieuse à son air
Mélodies ancestrales de nos mères
Les berceuses et les prières fières sur nos genoux trop usés
Et l'amour sur tes lèvres
La chanson de nos fièvres
Et celles de tes larmes amères quand le poids te fait plier
Musique
De toutes les couleurs
I love music, every kind of music
Musique
J'veux d'la musique tout le temps
Du passé au présent
Musique
Eternelle à mon cœur
Musique
J'veux d'la musique tout le temps
Assurément. Tout le temps",https://genius.com/Les-nubians-jveux-dla-musique-tout-le-temps-lyrics
Amour à mort,One Step Forward,2003,"T'es prêt à t'priver d'ta vie pour ta diva
C'est pas du vent
Tu dis « t'aimer m'rend téméraire »
Comme c'est divin
On cherche l'amour sans trêve
C'est qu'sans amour, on crève
T'échangerais une promesse du paradis
Contre ma paire d'yeux
Regarde-moi de loin
Comme si mon garde du corps était dieu
J't'avais pas vu dans la mire
Un pavé dans l'amour
Endure tes vers pour entendre les gens dire
Qu'tu m'rendras légendaire
On cherche l'amour sans trêve
C'est qu'sans amour, on crève
Tu veux partager c'que je suis
C'que j'vaux, c'que j'vis
C'que j'vois, c'que j'ai vu
Et après on verra
Si l'amour meurt, alors dis moi c'qu'il reste
Des cases vides, des causes injustes
Juste des gestes
Tu dis qu'tu tuerais pour moi
Trouve une cible émouvante
Prouve-moi que tu m'aimes à mort
Au moins autant qu'tu t'en vantes
La balle au bout du fusil
Le fusil à bout de bras
Du braconnier à bout de souffle
La balle siffle
Un corps s'affale sa vie défile
Le bourreau s'tire dans la foule
Et moi, 
émue
, je reste couchée
C'est moi qu'il a touché",https://genius.com/Les-nubians-amour-a-mort-lyrics
Insomnie,One Step Forward,2003,"Insomnie
Dans la pénombre frémissante sous la flamme tremblante
Insomnie
La nuit les esprits ont libre court
La détente le repos fracassent sur vitre brisée
Des vies brisées des rires aux éclats une foule râle on parle fort
Des voitures roulent plein phares sur le cap de l'amour
Tendrement enlacé jusqu'au petit jour
Rêveur encore réveillé le tic tac des aiguilles ont ( ?) sur la réalité
Je t'aime
Reste contre moi
Dans la chaleur de mes bras
De ces mots qui se disent tout bas
Dans la pénombre frémissante
Sous la flamme tremblante
Insomnie
J'entends des voix
Des coups, coups, coups
Des gens qui se battent
Des gens qui courent
Mon imagination me torture j'peux pas dormir
Ecrire me fait peur, j'peux pas dormir
J'ai besoin de toi près de moi
La sirène retentit armes à feu il pleut sur l'électricité
Des doutes des deuils des yeux ( ?)
Persuadés de ne plus se revoir
Ai-je quitté mon insomnie quand j'crois voir dans le noir ?
Je t'aime je t'aime je t'aime je t'aime…
Dans la pénombre frémissante
Sous la flamme tremblante
Insomnie
J'entends des voix
Des coups
Des gens qui courent
Etc",https://genius.com/Les-nubians-insomnie-lyrics
La Guerre,One Step Forward,2003,"Le paradis se trouverait sur Terre
Je n'y ai vu que du feu
Je n'y ai vu que la guerre
Allumer peu à peu
Des esprits incendiaires, des blessures centenaires
L'esclavage millénaire de mes fils de mes pères
Mais le mal est fait
Est-ce mal qui les pousse à se faire plus mal encore ?
Certains diront que la guerre est nécessaire
Que le sang encore il faut faire couler
Mais c'est le nerf de la guerre de se nourrir des âmes torturées
Réalisent-ils que leurs pensées guerrières à leur porte
Un jour, viendront les trouver
Et que sans pitié, la guerre, leur vie viendra menacer
Sous le feu de la guerre
Ils ont voulu me tuer
Ils ont tout essayé et n'ont pas pu me toucher
Certains diront que la guerre est nécessaire
Que le sang encore il faut faire couler
Mais c'est le nerf de la guerre de se nourrir des âmes torturées
Ai-je tort de penser que la paix existe ?
Faut-il que je pleure mes morts, que la douleur persiste ?
Je refuse ce combat
La lutte est inégale
Si l'amour est une arme, alors mes mots seront les balles
Sous le feu de la guerre
Ils ont voulu me tuer
Ils ont tout essayé et n'ont pas pu me toucher
WAR
What you understand ?
What do you understand ?
War
Reflection of yourself
La guerre
A quoi ça sert ?",https://genius.com/Les-nubians-la-guerre-lyrics
Saravah,One Step Forward,2003,"Heures des songes ou des sages
Un rayon caresse son corps nu
Il dort encore
Ainsi finit leur histoire
C'est qu'elle a l'âme vagabonde
Son cœur léger suit ses pas
Et dans cette petite chambre du monde
En brésilien, elle l'a aimé
Amor que coisa mas bonita
Saravah
Je chante la samba de l'aurore
Mon aimé
Celle du début du jour
Salutations mon amour
Le soleil arrive
L'aube montre son visage
Et le regrette déjà
Quelques mots au bas d'une page
L'Amie demain sera loin :
« Saravah, meu amor
Le charme de la lune prend fin
Et l'amour nomade s'évapore
Comme la rosée du matin. »
Amor que coisa mas bonita
Saravah
Je chante la samba de l'aurore
Mon aimé
Celle de la fin des amours
Quand la lune nous joue des tours
Soleil
Arrive
Saravah",https://genius.com/Les-nubians-saravah-lyrics
El Son Reggae,One Step Forward,2003,"J'deale, j'deale un peu de weed de temps en temps
Mais soigner les âmes me paraît plus important
J'joue du très à tout venant
Va-nu-pieds
Qui es-tu ?
J'ai vu jouer là au coin de la rue
La voix pleine d'espoir
Un très pour guitare
Sculpté de tes mains
Chante les mélodies
Réconcilie nos âmes blessées
Je suis l'homme qu'on ne regarde pas quand on passe à côté
D'l'homme
De cuba venu pour soigner ton âme
Je sonne le sòn, le reggae
J'deale, j'deale un peu de weed de temps en temps
Mais soigner les âmes me paraît plus important
J'joue du très à tout venant
En la ciudad los ninos cantaran a mi cansion
Cuato vale una vida bajo del sol
Menos que la mia que no tengo nada
Solo el très me de a vivir
Y el dinero que se mueve en la calle cruda
Si me muero, quien me llorara
Nadie
Es porque canto esta cansion
Para que los ninos se recordaran
De mi
J'deale, j'deale un peu de weed de temps en temps
Mais soigner les âmes me paraît plus important
J'joue du très à tout venant
En la ciudad los ninos cantaran a mi cansion",https://genius.com/Les-nubians-el-son-reggae-lyrics
Immortel Cheikh Anta Diop,One Step Forward,2003,"Ne dites pas qu'il est mort car il demeure immortel CHEIKH ANTA DIOP
Ne dites pas qu'il est mort car les ancêtres il a rejoins
Ne fondez pas en larmes car sur le grand trône désormais il siège
Le trône des pharaons des pharaons éternels
Regardez plutôt regardez comme il nous interpelle Peuples d'Afrique
De vous même donnez le meilleur
Et sauvez l'humanité l'humanité entière
Ne dites pas qu'il est mort CHEIKH ANTA DIOP
Toi qui le meilleur de toi-même Ã l'Afrique as donné au monde noir, Ã l'humanité
Comment te rendre l'hommage mérité ?
La forêt entrelacée de lianes épineuses tu as élaguée
Traçant les sentiers de la science
Les marécages infestés de monstres carnivores, faussaires de l'histoire tu as traversés
Recherchant les fossiles de la vérité, la nuit d'encre et froide de solitude
« Génération sacrifiée que nous sommes » disais-tu
Sacrifié, oui tu l'as été. Oui c'est bien cela. Tu t'es jeté dans la bataille, tu t'es exténué
Pourvu que nous puissions marcher fiers, la tête haute
(â€¦)
Est-ce vrai que tu es mort CHEIKH ? Que tu n'es plus CHEIKH ?
Toi qui quelques instants encore m'exhortais Ã redoubler d'ardeur
A braver les coups bas d'une Afrique qui se cherche
Toi qui m'invitais Ã rassembler les bonnes volontés pour un avenir glorieux
Est-ce toi qui n'es plus, CHEIKH ANTA DIOP ?
(â€¦)
Nous, peuples d'Afrique, plaidons pour lui et le disons pour tout le bien qu'il a fait Ã l'humanité
« Soyez loué, Ã"" Dieuâ€¦voyez CHEIKH ANTA DIOP vient Ã vous
Sans péché, sans malâ€¦
Il a donné du pain Ã l'affamé, de l'eau Ã qui avait soif, des vêtements Ã qui était nu, un bac Ã qui n'avait pas de bateau
Il a fait des offrandes aux Dieux, et des dons funéraires aux morts bienheureux
Sauvez CHEIKH ANTA DIOP, gardez-le. »
CHEIKH ANTA DIOP est un homme qui ala bouche pure, les mains pures et Ã ceux qui le voient disent : « Sois le bienvenu »
Nous, peuples d'Afrique, plaidons pour lui et le disons pour tout le bien qu'il a fait Ã l'humanité
VoilÃ donc notre plaidoyer, nous peuples d'Afrique, pour toi, CHEIKH
Maintenant, tu peux partir. Tu peux partir en paix. Le pacte est scellé. Nous te resterons fidèles
L'Afrique elle, relèvera le défi, le défi du futur. L'humanité sera sauvée. Et Ã toi, nous rendrons ce qui te revient. La gloire, la gloire au fronton de l'histoire. Repose en paix. Mais toujours sois avec nous, fils d'Afrique, CHEIKH, CHEIKH ANTA, CHEIKH ANTA DIOP. Toi l'IMMORTEL
Ne dites pas qu'il est mort car il demeure immortel CHEIKH ANTA DIOP",https://genius.com/Les-nubians-immortel-cheikh-anta-diop-lyrics
