title,album,year,lyrics,urls
Vous aussi,100% Gims,,"Oh vous aussi...
Oh vous aussi...
Oh mais vous aussi
Neuvième zone

Mon garçon ne fais pas l'fou, j'te conseille de rester doux
Dans ce tier-quar on s'connaît tous mais cousin toi tu viens d'où ?
Tu t'souviens du son de l'underground
Fais pas semblant d'marcher l'air de rien
Mon garçon ne fais pas l'fou, j'te conseille de rester doux
Dans ce tier-quar on s'connaît tous mais cousin toi tu viens d'où ?
Tu t'souviens du son de l'underground
Fais pas semblant d'marcher l'air de rien

Maitre Gims, t'en entends parler jusqu'au Mexique
Et ceux qui savent prêter l'oreille confirment, c'est excquis
Masta, les mecs du 19ème s'excitent
Ok, de vous des commentaires j'exige
One shot, les wacks MC ont chaud puis s'esquivent
Un truc qui fout la haine comme voir ton ex en Lexus
Hahahaha! Maitre Gims, le remix
Accrochez-vous, ok... OK !
J'suis desolé les frères si j'existe
L'inspi, deuspi, conforme à l'aspect
Blasphème pas c'texte, c'Gim's il peut pas s'taire
Parce que ou pt'être que surplus de suce-queue
Mais l'État m'assassine, pour contrer j'leur mets ceci
D'la colère j'emmagasine d'puis l'époque de Bécassine
Wesh ! Et c'est sur nous qu'tu médis ?
Ça arrive souvent genre quand tu t'appelles M'baye ou Medhy
M'baye ou Medhy. Quoi hein ? Blah tu m'évites ?
Et j'me dis qu'ya certaines choses sur lequelles faut qu'j'médite
Cousin c'est mort, c'est l'Troisième Prototype. Tu parais pathétique, n'appelle même pas tes types
J'vais te taper dessus devant l'équipe tu t'es tu. Paris-Centre la fessée, c'est la vie qui fait ça
1 pour le Tchad, Guinée, Soudan, Mali
J'kick ça fait mal, ça d'vient une sale manie
Bien trop de gays qui s'aiment ensuite s'marient
Quoi ? Quoi ? c'est mal ? Ah bon ? Ok ! smahli
Nous c'est la rime et le flow
Nous c'est les textes et les mots
Nous on n'fréquente pas les faux
Nous c'est la Sexion d'Assaut
Ne vous inquiétez pas, ça fait mal comme promis
C'est l'son qui réconforte si t'as perdu au PMU
Un projet bien carré, oui j'avoue j'suis un peu ému
Oui, oui bien sûr, parfois je chante mais je n'fais pas d'Rnb

Mon garçon ne fais pas l'fou, j'te conseille de rester doux
Dans ce tier-quar on s'connaît tous mais cousin toi tu viens d'où ?
Tu t'souviens du son de l'underground
Fais pas semblant d'marcher l'air de rien
Mon garçon ne fais pas l'fou, j'te conseille de rester doux
Dans ce tier-quar on s'connaît tous mais cousin toi tu viens d'où ?
Tu t'souviens du son de l'underground
Fais pas semblant d'marcher l'air de rien

Ça c'est du bon son, ah bon mais j'vais pas mettre sur Ado
Pour mon acolyte A.D, j'suis pas trop techno heun heun
Ça là, ça leur plait à eux, Paname c'est la zonz à 'iv
C'est pour mes gars du Zaïre, tu vois pas que j'dramatise ?
Voici le type qui, sur instru, fait que les mecs agonisent
T'entends parler d'mon équipe comme ces foutues pubs Cofidis
Vas-y sé-po ton 16 mesures, la famille, qu'on en finisse
Ça fait chelou hein un peu comme de voir des nazi polis
Des nazis polis, ou rapper Basile Boli
Ou des pasteurs, des évêques, des moines dans un bête de bolide
Laisse-moi donc forger mon nid, car c'est la honte si j'mendie
Laisse moi donc forger mon nid, pendant que d'autres pensent money money
Oui j'ai d'jà vu des types, des drôles de types, des mecs qui m'imitent
Ils y arrivent pas, j'les trouve tous mimis, eux et toutes leurs mimiques
J'ai des milliers de millions d'idées appelle-moi le le leader
C'est la ligue, limite-limite, ça s'impose comme LiDL

Mon garçon ne fais pas l'fou, j'te conseille de rester doux
Dans ce tier-quar on s'connaît tous mais cousin toi tu viens d'où ?
Tu t'souviens du son de l'underground
Fais pas semblant d'marcher l'air de rien
Mon garçon ne fais pas l'fou, j'te conseille de rester doux
Dans ce tier-quar on s'connaît tous mais cousin toi tu viens d'où ?
Tu t'souviens du son de l'underground
Fais pas semblant d'marcher l'air de rien",https://genius.com/Gims-vous-aussi-lyrics
Tout et rien,100% Gims,,"Maître Gims... Yeah !
Ça c'est l'flow raffiné
Tu vas t'faire fumer
Ça c'est l'flow raffiné...
 Yeah !

Partis de rien, voici ma vie
RDC ou bien Zaïre
Ouais c'est l'bled là où ça tire
Mais j'vais pas m'plaindre parce que y'a pire
J'atterris et j'acquéris
Pour le meilleur et pour le pire
Dans mon entourage ça vend
D'la cocaïne et d'l'ecstasy
D'la cocaïne et d'l'ecstasy
Du gros boloss au gros caïd
La rue m'a dit j'suis ta copine
Suivi d'un ""wesh c'est quand qu'on pine ?""
J'étais sûr de moi
Et ce pendant des mois
Des comme moi y'en a pas des masses
On voulait tous percer comme Nas

J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir

Faut qu'j'le fasse pour le Mali
Faut qu'j'le fasse pour les amis
Faut qu'j'le fasse pour les Antilles
La Martinique, les West Indies
La Martinique, les West Indies
Quoi qu'ces abrutis nous disent
Ma foutue toile je tisse
Un cœur gros comme l'Afrique
Le bonheur n'est pas dans l'fric
Homme rempli de vice
Sur l'éphémère tu mises
Tu veux des caisses et toutes ces miss
Un jour, ces choses se brisent
Tu t'noies dans la tise
Ça c'est l'flow raffiné
Ça c'est l'flow raffiné...

J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir

Là j'te parle des choses qui touchent le monde qu'on fréquente de nos jours
Si ça pète c'est bien d'notre faute, 
toujours du mal à dire ""je t'aime""

J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir
J'te parle de tout, de rien, de haine, de rage, de vie, d'espoir",https://genius.com/Gims-tout-et-rien-lyrics
Ta gueule (Respecte mon art),100% Gims,2006,"Respecte bien mon art
Plus d'une flèche à mon arc
Mais quelle guêpe t'a piqué ou simplement ce qui a fait que t'es devenu respectueux comme un de ces moines ?
Je concocte des flows inimaginables pour finir travailleur comme un Chinois

Dès que t'entends ce genre de débit, pars et trace
Mon style est bien plus grand que Paris XIII
Je suis pas en détresse pour les 'tie-qu, les 'té-c
J'ai les cheveux courts, des contours, pas des tresses
Apparemment dès qu'on déboule, il fait frisquet
On nique ta race à domicile après on se vés-qui
Après on se vés-qui, on évite l'embuscade
On est pas du tout dans le même délire que Limp Bizkit
9ème Zone, une nouvelle race d'MC est née
G-I-M-S, puissance innée
Il paraît qu'ils vont me mêler sur le beat, me rendre malade
C'est insensé comme une meuf qui fait l'Imman
Puis y'a des bandes, des clans, des bons plans
Puis les gens flambent de Compton jusqu'aux Dom-Tom
Puis les déclans qui déclenchent la venue des condés
Les décombres qui m'encombrent, les règlements de comptes
Et si tu veux, je te l'explique un peu plus de-spee
Moi c'est Maître Gims, et pas Britney Spears
Bienvenue dans le pays ou ça respecte pas l'ainé(e)
La plupart de mes potes, bah le mal les a parrainés
Tu voudrais savoir ce que le Hip-Hop m'a légué :
Le micro de l’ermite qui m'a dit ""surtout fais pas néné""

Ta gueule, on a le seum dès le matin
Y'en a qui se font canner pour des ""ta mère la tain-p'""
Ta gueule, les vies défilent par nos fenêtres
C'est des futurs délinquants que les mères font naître
Ta gueule, on a le seum dès le matin
Y'en a qui se font canner pour des ""ta mère la tain-p'""
Ta gueule, les vies défilent par nos fenêtres
C'est des futurs délinquants que les mères font naître

Si tu guettes le corps d'une femme, mon frère dis Starf'Allah
Je veux un taf Hallal, 
ici on m'appelle ""Gims"" ou ""Bilel""
La mort pour l'autre vie, ici ça devient trop le polard
Je viens niquer le délire, tout comme la vente de volaille
Hein, 9ème Zone, ici c'est Anti-Mariolle
Être semi-Homme dans un monde comme Andy Warhol
Ici on connais le flow, donc viens nous voir qu'on te corrige
3ème Pro', Wati B : classés torrides
Black Niggas Black Niggas, faut en faire une story
Une spéciale pour mon pote Kim Jong-Il de la Corée
Maintenant avec les clefs de bras : n'importe qui te quer-ni
Puis un jour, t'entends qu'ils m'ont buté comme Kenny
Fuck tous ces haineux, deu-s comme la bande à Benny
J'brûle le radar avec une Lamborghini
Apparemment les terroristes qui terrorisent, c'est terrible
3ème Pro' c'est Le Renouveau, écartez-vous que j’atterrisse
Apparemment ça devient le taudis, les tourtereaux quittent le nid
Puis ça, c'est moi qui te le dis : ""Bla Bla Bla.."" toi t'es qui ?",https://genius.com/Gims-ta-gueule-respecte-mon-art-lyrics
Ciel et terre *,100% Gims,2008,"On vit entre haine et paix, guerre civile, humanitaire
Des balles se perdèrent, des Hommes à terre, je n'peux me taire
Qui peut me dire comment créer un lien dont on donna tout en attendant les secours, c'est décevant, les mots d'amour c'est pas souvent (oh)
C'est décevant, les mots d'amour c'est pas (oh)
C'est décevant, les mots d'amour c'est pas (oh)
C'est mort pour nous

A COMPLETER",https://genius.com/Gims-ciel-et-terre-lyrics
Tout donner (Pilule Violette),À contrecœur,2016,"Hé
Tu m'entends ?
Réveille toi
Regarde moi

Ne me demande pas la Lune
J'ai beaucoup mieux pour toi
Mes pas sont lourds
Parce que j'ai beaucoup pris sur moi
Ton regard brille pour moi
Ce que t'as dans la poitrine, c'est à moi
Ton regard brille pour moi
Ce que t'as dans la poitrine, c'est à moi

Allez je t'ai tout donné
Tout donné
Tout donné
Tout donné
Tu es tout ce que j'ai
Tout ce que j'ai
Tout ce que j'ai
Tout ce que j'ai

J'ai tout gardé en moi
J'me suis donné tant de mal
J'pourrais tout flamber pour toi
Pourtant je n'suis pas pyromane
Et tous les deux on foncera dans l'mur
On va transformer la Ferrari en lambeaux (lambeaux)
Je suis flatté
Tu as demandé dans tes prières un garçon comme moi
Je suis choqué
Je m'imaginais sans cesse avoir un cœur indomptable
Et je me souviens de comment t'étais sapée ce soir là
Et je sais que ton cœur est apaisé quand je suis là

Ne me demande pas la Lune
J'ai beaucoup mieux pour toi
Mes pas sont lourds
Parce que j'ai beaucoup pris sur moi
Ton regard brille pour moi (pour moi)
Ce que t'as dans la poitrine, c'est à moi (c'est à moi)
Ton regard brille pour moi (pour moi)
Ce que t'as dans la poitrine, c'est à moi (c'est à moi)

Allez je t'ai tout donné
Tout donné
Tout donné
Tout donné
Tu es tout ce que j'ai
Tout ce que j'ai
Tout ce que j'ai
Tout ce que j'ai

Laisse moi devenir ton allié
Pour nos ennemis un alien
Repose toi, sur toi je veille
Je serai là quoi qu'il advienne
Tu es ma maladie
Ma guérison quand tu l'décides
Mes nuits s'illuminent
J'en confonds le jour et la nuit
Tu es ma maladie
Ma guérison quand tu l'décides
Mes nuits s'illuminent
J'en confonds le jour et la nuit

Ne me demande pas la Lune
J'ai beaucoup mieux pour toi (j'ai beaucoup mieux pour toi)
Mes pas sont lourds
Parce que j'ai beaucoup pris sur moi
Ton regard brille pour moi (pour moi)
Ce que t'as dans la poitrine, c'est à moi (c'est à moi)
Ton regard brille pour moi (pour moi, yeah)
Ce que t'as dans la poitrine, c'est à moi

Allez je t'ai tout donné
Tout donné
Tout donné
Tout donné
Tu es tout ce que j'ai
Tout ce que j'ai
Tout ce que j'ai
Tout ce que j'ai

Allez je t'ai tout donné
Tout donné
Tout donné
Tout donné
Tu es tout ce que j'ai
Tout ce que j'ai
Tout donné
Tout ce que j'ai
Tout ce que j'ai
Tout donné
Tout donné
Tout ce que j'ai",https://genius.com/Gims-tout-donner-pilule-violette-lyrics
Loin (Pilule Violette),À contrecœur,2016,"Et si on changeait de vie ?
Ferme les yeux, oublie
Si on devenait c'qu'on s'était dit ?
Ça vaut tout l'or du monde
Et si on allait sur une île ?
Ou sur une planète vide
Peu importe le prix
Ça nous rendra plus forts

Tu prendras toutes mes gênes et toutes mes peines
Je ferai de même en prenant toutes les tiennes
Je serai fidèle, fidèle, fidèle, fidèle
Tu seras fidèle, fidèle, fidèle, fidèle
Tu prendras toutes mes gênes et toutes mes peines
Je ferai de même en prenant toutes les tiennes
Je serai fidèle, fidèle, fidèle, fidèle
Tu seras fidèle, fidèle, fidèle, fidèle


Et oui ma vie, j'te l'avais dit
Observe le monde et médite
On s'est construit un empire
Qui nous ressemble vraiment
Et dire qu'on pensait être libres
Sans même tourner les pages du livre
Comme quoi, rien n'est impossible
On a figé le temps

Tu prendras toutes mes gênes et toutes mes peines
Je ferai de même en prenant toutes les tiennes
Je serai fidèle, fidèle, fidèle, fidèle
Tu seras fidèle, fidèle, fidèle, fidèle
Tu prendras toutes mes gênes et toutes mes peines
Je ferai de même en prenant toutes les tiennes
Je serai fidèle, fidèle, fidèle, fidèle
Tu seras fidèle, fidèle, fidèle, fidèle


Tu n'rêves pas
Tu n'rêves pas
Regarde moi
Touche moi, touche ma main
Accroche toi
Surtout ne te retourne pas
Tu n'rêves pas
Tu n'rêves pas
Accroche toi
Et tiens ma main bien fort
Une dernière danse ensemble avant que tout s'éteigne",https://genius.com/Gims-loin-pilule-violette-lyrics
Ma beauté (Pilule Violette),À contrecœur,2016,"Je n't'ai pas donné tout mon amour
Je n't'ai pas fait mon plus beau discours
J'ai encore envie de te faire la cour
Tu me verras sous un autre jour
Je suis devenu mon propre fantôme
Face à moi même je pleure comme un môme
Je me sens délaissé, ouais
Je l'ai bien mérité, ouais

Ma beauté ne t'en vas pas
Beauté ne t'en vas pas
Pourquoi tu me fais ça ?
Pourquoi tu me fais ça ?
Ma beauté ne me laisse pas
Ma beauté ne me laisse pas

J'ai tout gâché, maintenant tu m'abandonnes
J'ai tout gâché, maintenant tu m'abandonnes
J'l'ai mérité, dans les rues je vagabonde
J'l'ai mérité, dans les rues je vagabonde
J'ai tout gâché, cette fois sera la bonne
Fais moi confiance, je changerai la donne
J'ai tout gâché, maintenant tu m'abandonnes
J'l'ai mérité, dans les rues je vagabonde

Oui, ton retour est une délivrance
Oui, toi et moi c'est une évidence
Je sais, ce n'est pas gagné d'avance
Mais rien ne m’effraie plus que ton absence
À présent tu peux compter sur moi
Tu n'm'en voudras pas une seconde fois
Je t'offrirai la lune
À l'ombre de ma plume

Ma beauté repose toi
Ma beauté repose toi
J'ai les épaules pour ça
J'ai les épaules pour ça
Ma beauté repose toi
J'ai les épaules pour ça

J'ai tout gâché, maintenant tu m'abandonnes
J'ai tout gâché, maintenant tu m'abandonnes
J'l'ai mérité, dans les rues je vagabonde
J'l'ai mérité, dans les rues je vagabonde
J'ai tout gâché, cette fois sera la bonne
Fais moi confiance, je changerai la donne
J'ai tout gâché, maintenant tu m'abandonnes
J'l'ai mérité, dans les rues je vagabonde

Laisse moi devenir meilleur
Laisse moi réparer mes erreurs
Pince moi, pince moi, oui pince moi je rêve
Pince moi, pince moi, oui pince moi je rêve
Laisse moi devenir meilleur
Laisse moi réparer mes erreurs
Pince moi, pince moi, oui pince moi je rêve
Pince moi, pince moi, oui pince moi je rêve

J'ai tout gâché, maintenant tu m'abandonnes
J'ai tout gâché, maintenant tu m'abandonnes
J'l'ai mérité, dans les rues je vagabonde
J'l'ai mérité, dans les rues je vagabonde
J'ai tout gâché, cette fois sera la bonne
Fais mon confiance, je changerai la donne
J'ai tout gâché, maintenant tu m'abandonnes
J'l'ai mérité, dans les rues je vagabonde

J'ai tout gâché, maintenant tu m'abandonnes
J'ai tout gâché, maintenant tu m'abandonnes
Je l'ai mérité, dans les rues je vagabonde
Je l'ai mérité, dans les rues je vagabonde
Fais moi confiance, je changerai la donne
Fais moi confiance, je changerai la donne
Fais moi confiance, je changerai la donne
Fais moi confiance, je changerai la donne
Et je changerai la donne
Fais moi confiance, je changerai la donne
T'as tout gâché, dans les rues elle t'abandonne
Et dans la rue elle t'abandonne",https://genius.com/Gims-ma-beaute-pilule-violette-lyrics
Boucan (Pilule Violette),À contrecœur,2016,"Que faire de tous ceux qui disent : ""Meugui t'as changé
On entend le bruit de ta caisse quand tu passes au quartier
Tu contrôles toute la zone depuis les Champs-Élysées""
700 chevaux : pile poil de quoi quitter la ville
Les mecs m'embrassent comme si j'étais la mif
La sœur est belle, tu forces la bise
Je chante depuis Brigadier Sabari
Pousse toi d'là, l'inspi passe par ici
C'est plus Denis mais Aziz la malice
Ça casse Louis Vuitton, ça profite d'la manif
Les petits crient ""Mali Puissanci""

Plongé dans le monde de la nuit
De l'envie, des ennuis
Protège bien tes arrières
Dans un monde où l'ami d'vient l'ennemi
L'ennemi d'vient l'ami
On est pas dans la merde

Gros, toi et moi on n'a rien à voir, regarde dans mes yeux, ce n'est pas la joie
J'ai gardé la foi, je suis le chasseur t'es la proie
Ouais ouais, ça va d'soi, seul, je vais finir ma soirée
J'ai trop bu j'vais m’asseoir, à croire qu'on ma jeté un sort
Aujourd'hui tout va bien, hier ça tirait, y'a personne dans le quartier
J'ai tourné tout seul comme un fou dans les rues de Marseille, j'vois les gens essayer d's'en tirer
Il voulait me la faire à l'envers, il est beau
, 
j'suis pas l'number one mais j'écris, j'ai les crocs
Album sur album, Ju-Ju-Jul il est chaud, chaud, chaud, chaud

Plongé dans le monde de la nuit
De l'envie, des ennuis
Protège bien tes arrières
Dans un monde où l'ami d'vient l'ennemi
L'ennemi d'vient l'ami
On est pas dans la merde

Alors ma jolie ?
On a l'cœur démoli ?
On est dans sa folie ?
Folie, folie, folie, folie
Toute la nuit j'esquivais les ennuis
Toute la nuit j'esquivais les ennuis

Alors ma jolie ?
On a l'cœur démoli ?
On est dans sa folie ?
Folie, folie, folie, folie
Toute la nuit j'ai rodé dans Paris
Avec Bedjik, Dadju et Darcy

C'est qui ? C'est LastOne
DJ LastOne
C'est qui ? C'est Jul
J'ai dit : ""C'est Jul""
Y'a qui ? Y'a Meugui
J'ai dit : ""Y'a Meugui""
Y'a qui ?
Y'a qui ?",https://genius.com/Gims-boucan-pilule-violette-lyrics
150 (Pilule Violette),À contrecœur,2016,"Bercy est full, rajoute un autre
Mon verre est vide, sers-moi un autre
Tu la veux ? Paie le prix. Miya o khamsine
Tu la veux ? Paie le prix. Miya o khamsine
Plus le boule est gros, plus les balles sont grosses
Tu fumes comme un ouf, ça t'rend parano
À tel point que tu doutes sur le frère Warano
J'traverse les époques #Highlander #Booba
Pour elle, les mecs sont tous les mêmes
La fille, elle est classe mais lui, il aime les jolies garces

Ne mets pas de glaçon dans mon verre
Ça prend d'la place pour rien mon frère
Le cul posé sur le trône de fer
J'regarde les écuyers se...

Tu vises la tête mais le flingue s'enraye
C'était ton frère, c'était ton khey
Oh my God, c'est dingue, la force du blé
Je sors la Féfé pour acheter du lait
Ce genre de vie, ce genre de style
J'arrive en paix, j'repars en jet
Le fisc me les casse, mets l'oseille dans l'évas'
Le fisc me les casse, fais de moi un Monégasque
Allongé dans les vignes, khabat dans le vide
Je suis partout #Drapeau #Djazaïr

Ne mets pas de glaçon dans mon verre
Ça prend d'la place pour rien mon frère
Le cul posé sur le trône de fer
J'regarde les écuyers se...

Bercy est full, rajoute un autre
Mon verre est vide, sers-moi un autre
Tu la veux ? Paie le prix. Miya o khamsine
Tu la veux ? Paie le prix. Miya o khamsine",https://genius.com/Gims-150-pilule-violette-lyrics
Pense à moi (Pilule Violette),À contrecœur,2016,"Dis moi juste quelques mots qui pourraient laisser sous-entendre que tu penses à moi
Dans ce monde, quelque part
Dis moi juste quelques mots qui pourraient laisser sous-entendre que tu penses à moi
Réponds moi juste par un oui ou par un non


Une lettre, un message, un regard, un échange
Une nouvelle famille, des amis, mais rien ne change
Ce n'est pas ton visage, pourtant je ressens ta présence
Alors je fais comme tout l'monde, je me laisse porter par le vent
J'me suis demandé si je pouvais, si je pouvais l'anticiper
Rongé par les regrets, je meurs mais je vis


On peut bâtir des tours, canaliser la foudre
Mais le sage avait raison, on ne peut dompter l'amour
Tu vois, encore une fois, mon orgueil m'a pris par la main
Il n'y a pas plus aveugle que celui qui se détourne du chemin
Et je construis sur une falaise noircie par les problèmes
On se demande si je suis le même, je meurs et je vis


Et puis tu m'as tourné le dos, et puis tu m'as tourné le dos
Et puis tu m'as tourné le dos, et puis tu m'as tourné le dos (sans jamais te retourner)
Et puis tu m'as tourné le dos (sans jamais te retourner), et puis tu m'as tourné le dos (sans jamais te retourner)
Et puis tu m'as tourné le dos (sans jamais te retourner), et puis tu m'as tourné le dos


Dis moi juste quelques mots qui pourraient laisser sous-entendre que tu penses à moi
Dans ce monde, quelque part
Dis moi juste quelques mots qui pourraient laisser sous-entendre que tu penses à moi
Réponds moi juste par un oui ou par un non",https://genius.com/Gims-pense-a-moi-pilule-violette-lyrics
