title,album,year,lyrics,urls
Illégal,113 Présente Illégal Radio,2006,"Des armes et du liquide (illégal!)
Un sac plastique ED, au marqueur, ton numéro d'écrou (libérable)
Roméo in Jamaïca oui, incarcérable, de type Nord-Africain
Indésirable, HLM, misérable
Stock de beuh et d'armes de poing
Les pensées d'un Tchétchène, comme a dit Naja, d'un buveur d'Heineken
Prêt à crever, on n'est que d'passage
Vitry, le crime organisé ou comment traumatiser
Code pénal pour les sas neutralisés et quartiers populaires
Chacun s'bat pour sa ration, coup d'pare-chocs dans les rideaux d'fer
Casqué ou cagoulé en ville quand c'est l'heure
Tu morfles, la loi d'la demande et d'l'offre, tu peux sans pare-balles sauter un cross
Prends ta dose et casse-toi
J'survivrai à Sarko, j'ai traversé l'époque de Pasqua
Tout l'monde veut devenir chef de clan comme John Gotti
Sachant qu'un bon billet d'banque, n'importe qui
Illégal, c'est une façon d'vivre, d's'en sortir
Pendant qu'certains partent au bout du monde, espèrent partir en martyrs
On n'attend rien d'l'État, et ne croit qu'en Allah
Illégal, Rim' K inégalable

Une façon d'vivre, une façon d'voir
Illégal, démarre, démarre, illégal Val-de-Marne
Écoule le stock, la dope, coupe, vole, escroque, bé-bar
Donne la caisse et ferme ta gueule
Illégal, illégal

Barrage, vérif, chaque délit a sa brigade
Illégal, il reste des traces de poursuite sur l'périph
Justice d'mes deux, on veut des lovés
Sans s'retrouver devant l'juge à poser comme les Yougos
Être dans les sales coups comme la Juv'
La peur, t'apprends à la maîtriser tout môme
On porte nos principes, tant qu'y a d'la vie, y aura un billet à prendre
Laisse-moi rouler mon pilon, Ketama, Nador, beurre chimique, chanvre indien
D'abord l'alcool c'est pour les chagrins
On a tous des armes, une équipe un territoire une histoire
Les mômes s'endorment à l'aide d'un scanner
Le soir, oseille, rue, train d'vie en bas d'l'immeuble
Les coups d'briquets, on s'prépare à mettre le feu à la ville

Une façon d'vivre, une façon d'voir
Illégal, démarre, démarre, illégal Val-de-Marne
Écoule le stock, la dope, coupe, vole, escroque, bé-bar
Donne la caisse et ferme ta gueule
Illégal, illégal
Tape mon nom au terminal, illégal

Trouve-moi une gove à refaire à la casse
Ex-voleur en réunion, dans mon temps on jouait à la basse
On est des barbares d'après la presse
Dès qu'j'prends un euro à la France, c'est pour l'bled eh ouais
Moi j'vous baise
On s'comporte en hommes d'affaires
On sait où trouve le coffre, à la ruse on passe par l'arrière
On saigne les réserves, pratique l'auto-défense
Clé au sol, on délègue au passeur tous les 26 décembre
Vitry on enfile le tablier, casseurs
Tant qu'y a pas d'tune on insiste
Donne une pièce aux petits qui lavent les pare-brise à la pisse
Sur la A86, ça parle d'argent sale
Quand les dents grincent comme les plaquettes de frein d'arrière-salle
Coup d'flamme sur une plaquette
Illégal
Fallait pas répartir les richesses de façon inégale
Projeté depuis tout petit, illégal
On parle dans un micro, il en ressort des balles

Une façon d'vivre, une façon d'voir
Illégal, démarre, démarre, illégal Val-de-Marne
Écoule le stock, la dope, coupe, vole, escroque, bé-bar
Donne la caisse et ferme ta gueule
Illégal, illégal

Sûrs de nous
Comme ce petit d'Vitry sur deux roues
Frénésik
Illégal Radio, Illégal
C'est une façon d'vivre, d's'en sortir",https://genius.com/Rimk-illegal-lyrics
Dangereux,113 Présente Illégal Radio,2006,"[Couplet 1: Manu Key/
Rim'K
]
Jeunes débordés, villes canalisées
Bordel organisé, quelques flopées
Écoute ma sauce, ma ZUP d'la ZAC
Pour les puristes comme la vodka, ma zik achète-la
Une vie trop courte contre le portefeuille trop lourd
À seize piges déjà la bidoche
On préfère bricoler les épaves
Cinq-six berlines allemandes c'est une entrave
Les costards assortis avec la liasse pour s'frotter aux palaces
XXX 9-4 made in favelas
(Chez nous) On évite les contentieux, trop prétentieux
T'as des billes dans l'jeu, ça s'passe sans bruit, au silencieux
C'est devenu danja, trop d'vices, d'enjeux
Stupéfiants ou ganja, t'en fais c'que tu veux
Au bout du compte pour dormir, ton oreiller est une roquette
Ton meilleur pote peut être un traître potentiel
Les plus jeunes guettent ta chute pour s'mettre en selle

T'as raté l'école, frôlé la taule trop souvent
Danger, un visage caché par une cagoule
Vide ton sac, v'là la banlieue qui déboule en cachette
On rackette, on achète walou
On vole et on donne des coups d'machette
On veut brasser, embrasser les plus belles girls
Dans les plus grosses berlines
En euros, en yens ou livres sterling
Danger

Ça devient dangereux, l'État nous a rendus haineux
Tous vicieux, dès tits-pe ça vend des pochtons d'beuh
Vu qu'chez nous, rares sont ceux qui veulent devenir baveux ou docteurs
Car avec une maîtrise, nos sœurs s'retrouvent caissières chez Leader, vieux
On vend du shit par obligation
Si j'suis illicite, c'est pas pour la réputation
Mais pour pouvoir me ranger, mettre la famille loin du danger
Sans changer, on est tous partis d'cent g
C'est dangereux, on cherche plus à être heureux ni à vivre vieux
9-4, 9-2, fuck les bleus frère
V'là l'ambiance gangsters, revolvers, pitbulls
Des mahboules qui t'nique ta mère
Si t'es qu'un traître, ouais, si t'es un déc', ouais
Si tu paies pas tes dettes, ouais, si tu t'la pètes, ouais
J'deviens ouf comme Raouf quand l'État nous étouffe, demande à Midouche

Toujours une brigade au cul, danger, personne dans l'hall
Tous partis pour une virée aux putes
Pas d'taf, faut bien qu'tu t'occupes
Un peu d'couilles et la rue t'propulse
Certains deviennent vite experts en financement occulte
Prêts pour un casse, c'est bon
On attend tous notre gros coup, pour ça on a un don
Résister pour exister XXX
La France, Algérie, Mali, la calandre plein d'boue
Carbure plein pot, en partance pour une ville paisible
Dans l'tieks, ça sent l'soufre, ça sent la grosse saisie
Scanner branché, étranger, danger
Qui a commencé dans la plonge et fait venir les containers de Tanger
Dangereux, ouais enculé, paye-moi
XXX les ténors du barreau et les témoins
C'est l'époque qui veut ça mec
T'as une arme, tu veux une part d'marche
T'as qu'à braquer la Caisse d'Épargne
C'est dangereux

T'as raté l'école, frôlé la taule trop souvent
Danger, un visage caché par une cagoule
Vide ton sac, v'là la banlieue qui déboule en cachette
On rackette, on achète walou
On vole et on donne des coups d'machette
On veut brasser, embrasser les plus belles girls
Dans les plus grosses berlines
En euros, en yens ou livres sterling
Danger",https://genius.com/Rimk-dangereux-lyrics
Easy life,A La Fuck You,2006,"""Je sais qu'tu fumes pas d'herbe, j'le sais très bien !
Mais j'vais t'faire planer aujourd'hui
Parce que t'as plus d'job ! Et que t'as rien a foutre !""

J'suis pas tout seul, j'suis armé j'suis pas le seul
J'suis XXX de Amsterdam on m'attend a XXX
J'suis pas rappeur, j'suis un chasseur de primes
Le red quarter, Vitry, Mafia bling-bling
J'viens de la ville du crime, on convoite l'espèce
On rebondit sur ton crâne, fume ce gros boule dans une vitrine
Ne compte que sur ta gueule de chien si tu veux la belle vie
Encore un braco sans l'or signé Abdelk'rim

J'suis trop gang, trop vrai
À la fuck you ouais, à la parisienne
Créole, Maghreb United
Moteur préparé khey une fusée aerienne
Que des hyennes sur l'autoroute du vice
En cas de galère j'braque j'arrache le pompiste
Boom ... Ma frappe vient d'Hollande
Les punchlines fusent dans ma tête même au volant

XXX Easy Life
XXXX XXXX
XXX XXX
Puff puff passe la 113, Black, Niuuum
On t'a dit puff puff passe 113, Black, Niuuum
Easy Life
XXXX XXXX
XXX XXX
Puff puff passe la 113, Black, Niuuum
On t'a dit puff puff passe 113, Black, Niuuum

Oh, oh, oh, oh
XXX close on the coffee shop
I know, I know
You XXX XXX XXX
XXX XXX
XXX XXX XXX on the window
She looking for XXX XXX
Don't worried XXX XXX XXX
XXX XXX XXX
XXX XXX XXX
XXX XXX XXX


J'arrive dans le 20e pleins feux, j'vais peter S.Pri
J'attends Sadek en bas du bat', join de beuh 'teille de Tennessee
Wesh Ri-Ri t'as le GPS ? J'sais pas prend l'E19
J'ai le contact de deux p'tites meufs, soin vaut mieux pas qu'il pleuve
Décoffre un join de beuh, un join de beuh ? Bah ouais faut qu'on fume un peu
Eh roule ton pers' j'suis pas ton père, à Meuda y'a pas de 22
Dans le fond du Coffee Shop, on claque une demi paie
Dans les yeux XXX XXX elle couchent dans le ventre une demi 'teille
Elle m'étonne, elle est bonne, elle est folle, elle est douce
J'la consomme, elle est conne, elle me colle, elle m'étouffe
Mais j'aime cette femme Marijuana Senorita
On roule sur un air de Bob Marley #Jamaïqua
C'est 113, Black, Niuuum
Dis leur que ton tos-ma c'est de la frappe 113, Black, Niuuum
Et si elle est dans le coin y'a la queue juste en bas le l'immeuble
Puff puff passe 113, Black, Niuuum",https://genius.com/Rimk-easy-life-lyrics
Call of Bitume,Chef de famille,2012,"I.Z.I, yeah
Izi ! yeah !
Dans mon cerveau c'est la hass comme à Khartoum
Au lieu d'rayer ma caisse bâtard dis-moi ""bsahtkoum""
Les RG m'espionnent, de Miami à Corbeil-Essonnes
Plus rien ne m'étonne, déterminé comme Pappy Mason
On m'tire dessus au pompe, rien de bien folichon
Nouveau son dans les bacs, négros en décomposition
Bitch va m'faire un plat chaud, m'faut des forces pour kill un facho
Avec dix kilos d'zeb, une colombienne j'peux m'plaire au cachot
J'ai fait les 400 ouc', l'Allée du Forum à la Place Haute
J'suis Sénégal Hood, Mali, Tchad, Burkina Faso
J'ai beau temps, tu as temps sale
J'suis Ligue 1, t'es foot en salle
J'voyage en jet, t'es en éco chez Lufthansa
C'est pour mes Bafé Gomis,
 
mes OG's,
 
mes homies
H24 sur le ter-ter, nique sa mère la Terre Promise
Grosses cailles-ra, gros biz, 
tous mes scarlas unis
Regarde les matchs en présidentielles avec Carla Bruni

On parle de nous dans la presse
Une capuche sur la tête
""Labess"", yeah
On s'arrache de la tèc'
On est durs, fiers
On fait des braises, on brûle tous les casiers judiciaires
On roule sous l'averse, 
les jantes tournent à l'envers
Une capuche sur la tête
""Labess"", yeah
On s'arrache de la tèc'
On est durs, fiers
On fait des braises, on brûle tous les casiers judiciaires

Du biff, du cannabis, en Panamera j'roule sur les disques
Money money, Vitry, Royal, Kill Bizz
Smith & Wesson le partenaire,
 
le studio c'est un container
Condamné à quitter la ville dans un putain d'sac mortuaire
Toujours gang et à la mode comme le foulard d'Arafat
On n'apprend pas à un 
vitriot
 à s'grimer la face
J'me suis brûlé les ailes, j'ai fait plus que le Paris-Dakar en YZ
C'est pas avec des Jo-Jo qu'tu montes l'Everest
J'viens d'Algérie, la p'tite Russie
Micro pe-pom gris anthracite
Si tu veux faire rire un cain-fri parle lui d'démocratie
Prêt pour un go fast fou
P'tit détour par le habs Fast Life on vit tah les oufs
On veut brancher la clim' d'
l'Aston Martin Rapid
Les p'tits du tièks ont la tête vide à force de s'cogner
Faire du grappling, faire du liquide
Passe le volant, ru-rupture
Hauts-de-Seine, rue Camille Groult
España, Hollanda, pour mes têtes de rhout qui r'montent la route

On parle de nous dans la presse
Une capuche sur la tête
""Labess"", yeah
On s'arrache de la tèc'
On est durs, fiers
On fait des braises, on brûle tous les casiers judiciaires
On roule sous l'averse, 
les jantes tournent à l'envers
Une capuche sur la tête
""Labess"", yeah
On s'arrache de la tèc'
On est durs, fiers
On fait des braises, on brûle tous les casiers judiciaires",https://genius.com/Rimk-call-of-bitume-lyrics
Addict,Chef de famille,2012,"Addict ! Moi c'est la weed
Quand tu vois une belle femme, tu fais quoi ? Bah tu baisses la vitre
Addict ! Tous un vice, on est tous addict
Détonation, j'ai des putains d'sensations
Des putains d'tentations, une putain d'plantation
Celui qui s'en sort c'est c'lui qui ruse
Les mecs cachent tous un vice sous un vice sous un vice comme des poupées russes

Addict à Internet, Facebook, j't'envoie un tweet
Numérique sera la cuite, le plus de clics sont sur les cuisses
Des americans beauties
Les no-lifes butent leurs meilleurs potes toute la nuit sur Call of Duty
Addict aux jeux de hasard, on fera pas fortune
Addict au poker en ligne, tu mets All in on t'allume
On est tous des enfants terribles, dans la boue on trouve l'or
Dans un passoire passent mes rimes
On aurait l'talent à Jacques Mesrine, on aurait couler les boîtes d'Interim
On aurait jamais vendu de drogue, y'aurait aucune famille en péril
Addict à la victoire, addict à finir dans l'décor
Debout sur les jet-skis et sur les bécanes de sport

Addict ! Moi c'est la weed
Quand on voit une belle femme on baisse tous la vitre
Tous un vice, un vice
On est tous addict, addict
Addict ! Moi c'est la weed
Le foot et l'adrénaline, on aime trop la vitesse
On a tous un vice, un vice
On est tous addict, addict

Cannabis addict, quelle vie bientôt la calvi'
Frénésik mon canal historique
J'profite, j'me roule un p'tit, j'vais me faire du thé
On va tous crever donc pourquoi pas s'faire buter
T'es addict aux boites quand moi j'bosse au stud'
Pour les laisser sur place, addict aux grosse basses
Aux concerts, aux grosses dates
Addict aux gestes techniques dans la surface, le coup d'grâce
Addict au danger, tout c'qui nous tue pas
La familia, les gros cigares de Cuba
Addict aux big centimètres cubes
Les gros festins de vikings quand j'paye pas une thune

Addict ! Moi c'est la weed
Quand on voit une belle femme on baisse tous la vitre
Tous un vice, un vice, on est tous addict, addict
Addict ! Moi c'est la weed
Le foot et l'adrénaline, on aime trop la vitesse
On a tous un vice, un vice, on est tous addict, addict

T'es addict aux mangas : #Naruto
T'es addict à la caféine, à la pause clope
À la télé-gastro-réalité
Que des combats d'sévices la seule moralité
J'suis addict à Mickey, celui de Snatch, pas celui de Disney
J'écris ma vie en musique ou en bande-dessinée
Au camouflage, maquillage, aux grosses escroqueries
Les coquines, addict au shopping
On aime les sports de combats quand les brutes se cognent, se blessent
Addict à la vitesse, les caisses où y'a écrit ""S""
Addict au rap ici la Champions League
À nos fournisseurs officiels : Ed, Lidl

Addict ! Moi c'est la weed
Quand on voit une belle femme on baisse tous la vitre
Tous un vice, un vice
On est tous addict, addict
Addict ! Moi c'est la weed
Le foot et l'adrénaline, on aime trop la vitesse
On a tous un vice, un vice
On est tous addict, addict",https://genius.com/Rimk-addict-lyrics
GPS,Chef de famille,2012,"Hé poto, mets la ceinture et mets la capuche
Gros, 
gamonstre,
 sur le périph, sud
{A la fin de la route, tournez à droite, N19, E54, rue Charles De Gaulle. Démarrage}

J'démarre le gamos dans l'parking, 
on est les boss des boss, on est les Kings
De la ville,
 enfant du hall, enfant du deal, 
dans le Audi RS mets les kil'
Gamos sur le périph sud, GPS, 9-4
J'ai besoin d'personne pour trouver le bouton planqué à l'arrière du tiroir-caisse
Le volant entre les genoux, j'roule un sbahr,
 
4 sorties d'pots
Tous les chemins mènent à la cité,
 
même pris en chasse par la Mondeo
6-6-6.3,
 nique les boîtes 6, 
les contrôles racistes
Les procès aux assises, les potos qui parlent mais jamais t'assistent
Tonton Président,
 
Frénésie j'casse les chiottes du Fouquet's
J'pète un Magnum, prends une coupette pour les potos perchés à Phuket
L'hôtel du coin c'est YouPorn,
 on prend le pitbull par les cornes
Gamos sur le périph sud, la dope arrive toujours à bon port

Coupe-coupe la plaquette (gros), faire le XXX d'une banquette (gamonstre)
Mettre la came dans les paquets (sur le périph), faire monter les sommes coquettes (Sud)
Tous nos vices et nos secrets, on cache tous en nous un gros te-trai
Gamonstre sur le périph sud, parle moi cash concret
Coffre coffre l'olivette (gros), 
t'es pété sous tes lunettes (gamonstre)
Y'a plus un rond, comment être hônnete ? (sur le périph) 
Fleury, Fresnes et les Baumettes (sud)
Tous nos vices et nos secrets
, on cache tous en nous un gros te-trai
Gamonstre sur le périph sud, parle moi cash concret

Paname city, pris à quatre pattes, par le Qatar, bande de bâtards
C'est la fin du monde, d'après les Mayas,
 t'as vu Zahia
J'suis ton grand, j'suis ton parrain
, fais pas l'fou, ça sert à rien
Malgré les disques d'or j'fais flipper comme le drapeau algérien
Banlieusard avec attitude, gamos sur le périph sud
La ceinture parisienne, noyée par la dope d'Amérique du Sud
XXX, j'suis au stud, à l'affût, on m'tire dessus
Billets empilés, j'ai appris à m'taire avant même d'avoir appris à parler

Coupe-coupe la plaquette (gros), faire le XXX d'une banquette (gamonstre)
Mettre la came dans les paquets (sur le périph), faire monter les sommes coquettes (Sud)
Tous nos vices et nos secrets, on cache tous en nous un gros te-trai
Gamonstre sur le périph sud, parle moi cash concret

Fais chauffer le pot du compet (gros), 
après un pack t'es pompette
Quand le gamonstre passe dans l'tieqs
, c'est pas un véhicule, c'est une roquette
Rafale sur les videurs de boîtes, 
{tout droit, prenez à droite}
Toujours les mêmes qu'on exploite, 
beurs contre beurs, blacks contre blacks
Mental du bled, planqué au bled, impossible de m'localiser
Mais j'vis en Europe, j'ai le port d'armes, et les Jordan personnalisées
Dans le RER C, tu t'fais arracher pendant qu'j'fais crier la caisse
Fais pas la belle ou 
je finis D.P.S
, suit mes ordres comme celles du GPS
{A la fin de la route, après 100 mètres
Prenez la 2ème à droite, rue Camille Groult}

Coupe-coupe la plaquette (gros), faire le XXX d'une banquette (gamonstre)
Mettre la came dans les paquets (sur le périph), faire monter les sommes coquettes (Sud)
Tous nos vices et nos secrets, on cache tous en nous un gros te-trai
Gamonstre sur le périph sud, parle moi cash concret
Coffre coffre l'olivette (gros), 
t'es pété sous tes lunettes (gamonstre)
Y'a plus un rond, comment être hônnete ? (sur le périph) 
Fleury, Fresnes et les Baumettes (sud)
Tous nos vices et nos secrets
, on cache tous en nous un gros te-trai
Gamonstre sur le périph sud, parle moi cash concret

Gros... gamonstre...
Sur le périph... sud !
Gros...
Sur le périph... suuud !
{Vous êtes arrivé}",https://genius.com/Rimk-gps-lyrics
Portrait robot,Chef de famille,2012,"Salaam salaam
Rim'K
Avec honneur
Toujours debout après une longue guerre
La fierté
J'suis un Highlander
Après une longue tournée
Dans tous les ghettos de France, du Maghreb et d'ailleurs
On revient, avec modestie, mais dignement
On est pas des anciens fréro, on est des tauliers

Les MC, les groupies, le public m'appelle Tonton
Ils connaissent mon portrait rebeu, mon portrait robot
J'arrive seul, j'n'ai que ma mère et mon kalachnikov
Putin d'époque les yougo d'Paname m'appellent Rimkov
Trop d'pression sous ivresse, l'Etat harcèle
J'ai même les poils du zboub gris comme les cheveux de Karl Lagerfeld
Rimcouche pour ceux qui découvrent je rendrais fou un marabout
Mafia Mafia Afrika c'est Rimkuduro
C'est moi qu'invite, on a mis les chapkas du KGB
C'est l'nouveau projet blair witch, moi c'est Karimovictch
C'est le guide de la survie du vice
J'roule à 2.10 sur les flaques
J't'arrose à l'arrêt de bus, moi c'est Rimkuch Brabus
Respecte-moi enculé de tes morts, sur les forums les blogs
Une décennie de Tops 10 dans le Billboard c'est Rimdog
J'enregistre dans un petit hôtel de passe pas loin du Texas
La paire de couilles, la paire d'As
Bim-bim de Végas
J'ai disputé beaucoup de finales, toi ça se voit que t'as mal
Rime animale comme les chinetoc j'fais dans l'artisanale
Mon rap vient de Tijuana on sait faire jongler les capitaux
On veut diriger le monde j'envoie des châtaignes comme un pakito
C'est pas le fait qu'j'suis rebeu
Qu'j'suis hardocre, j'ai des armes et de la beuh
Mon flow est glacial, nordique, j'aurais pu être blond aux... yeux bleux
Précis comme un Famas, vaillant comme à Damas
Plus le temps passe plus on prend l'expérience de la thune et d'la masse
 (x2)
J'ai le flow de la cité
V12 tous trafiquer
Toujours broliqué
J'vais les décapiter
Le moteur débridé
J'mets un coup de briquet
Fuck le rap démago on prend les lingots on a jamais triché
Rejoins Rapgenius France!",https://genius.com/Rimk-portrait-robot-lyrics
Classico,Chef de famille,2012,"9-4
, 
Open Bar
On est rodave pour mes hadas, mes crevards
Fait 3 pas en arrière pour observer une oeuvre d'art
Money money j'chui dans le 
Money Time

Come, and come again
On survole le Game
On vient couper des têtes
Lever les compéts, on veut charger le prix
Empiler les gains sur un coup de tête
Lever les poupées
Classico, Classico
, j'fais du salle comme un 
siste-gros
 de Marocco
Classico, Classico, j'fais du sape comme un trafiquant de Mexico
Oh !

Hé ! Bande d'ordures prêts pour une nouvelle aventure ?
Quand on va chez L.V. c'est en marche arrière dans la devanture
On multiplie nos gains par 3 car le produit est pur
Il y a des vitriots
 
Dans un V12 intérieur cuir
Illégalement, brutalement, j'échange ma carte 
SACEM
Contre un numéro d'compte bloqué 
sur Les iles Caïman
Toujours une pour la prison j'plaide la folie
Quand je suis mal je parle même avec les pigeons
Rangez les coffres à bijoux
T'es en galère j'suis en galère ça n'a pas l'air
Mais les familles s'en sortent pas même avec 2 salaires
Le quartier est en manque d'amour
On prend la moindre défiance contre l'État comme un acte de bravoure
T'as plus un sous pour t’écouter il y a qu'un fou
T'es enfermé chez toi devant internet tu voit des triangle partout
Ou devant l'grec du coin a mater l'Classico avec juste un joint hraya Tropico


J'crée une nouvelle ligne de vêtements j'fabrique des gilets, pare-balles
Du haut de ma carrière je peut pas les voir du haut d'la montagne
J'ai mis à gauche
 de quoi me prendre des kilos de frappe
Si les frères me lâchent la coupe j'en fait de la soupe je la vend au détail
J'suis dans le Money Time
Gratte pas mon amitié
J'arrive plus a communiquer
J'parle plus j'viens tout niquer
Hé Big Va voir les foules que tu pourra pas m'attirer
Je n'ai confiance qu'en ma crosse
J'suis l'seul à la tirer
Prêt à plastiquer, Classico
Dans la mille il y aura un gars de la cité tu le reverras pas de si tôt
Ces has-been les bras qu'on branche nous sur les vols de tableaux
Ma voix traverse l'eau comme les sous-marins à Pablo
J'entends des voix qui me disent :
Nique les ! Nique les ! Nique nique leurs plaies
Nique la bombom Barclay
J'fais pas la pleureuse même quand j'ai mal flow kamikaze
Désolé mesdames j'sais faire des chants de supporter Hooligans
Ferme tes fesses c'est la banlieue parisienne qui t'oppresse, t'agresse
J'viens des quartiers difficiles comme Carlos Tevez
Ici 
Chavez
 père et fils
J'rappe pour la calèche
L'amnesia
 dans la 
cabez
 (x2)",https://genius.com/Rimk-classico-lyrics
Les oubliés,Chef de famille,2012,"Nord, sud, est, ouest, que Dieu bénisse l'Afrique
Shab el baroud shab el baroud Shab el karabina
Noud noud daâwate walidina
C'est mon histoire zine
Les premières vagues d'immigration qui ont servi de combustible aux grosses usines
J'suis pas en crise identitaire, j'prends du recul sur l’éphémère
La plus belle des descentes restera toujours celle du front à terre
J'suis en guerre guerre avec moi même
Āmyn, Amen
J'suis taxé de communautaire
Si ils savaient c'qu'avait connu mon père...
Un message de paix pour tous les khouyas
La révolte part des réseaux sociaux de la place Dalil à la rue Bourghiba
Oulech smah oulech , j'traine mes défauts comme un boulet
Et quand j'sors de la mosquée j'me sens propre comme un nouveau né
Mohamed voulait l'Eldorado
Entre deux prières il s'est cassé l'dos, dans les rayons de Norauto
P'tet on dira ""Allah y rahmo""
Avec sa maigre pension il pense au bled, il aimerait partir
Tout comme moi il est né sur la Place des Martyrs
 x2
J'co-j'combats mes peurs
Plus rien à perdre
Hommage aux travailleurs immigrés, aux tirailleurs
Mo-morts pour la France, oubliés par la France
Morts pour la France, oubliés par la France

J'en place une pour mes rolotos, la classe uniquement dans les mariages
Dans les cortèges on sort nos Salons d'l'Auto
Pourquoi pourquoi tous les blédards dansent les bras écartés ?
Car comme des vautours jusqu'en France, ils aimeraient voler
Hé zina, di li la theye, attends 7 le jour d'la paye
Les aides sociales, cas social, en France ou au bled c'est pareil
J'veux pas être votre coqueluche, on me butera comme Coluche
Une dobza tu fais XXX XXX, j'suis dur comme un turkish
Quand tu nous stigmatise, il m'vient des pensées malsaines
J'veux qu'on respecte mon histoire, celle des tirailleurs gal-sen
Qui sont venus en France pour combattre, pour construire des villes
J'connais mon histoire comme un déporté sur les Îles
Arrivé en France, pour gagner son pain
Pour repeindre ta cuisine t'es bien content d'trouver un karaï ou un roumain
Bled hardcore, on vit hardcore, vies hardcores
Ils veulent faire tomber les minarets, on f'ra tomber les miradors
Lassana voulait l'Eldorado
Entre deux prières il s'est cassé l'dos, il arrive tout droit de Bamako
P'tet on dira ""Allah y rahmo""
Avec sa maigre pension il pense au bled, il aimerait partir
Tout comme moi il est né sur la Place des Martyrs
 x2
Djazair soldat
Rim'K
C'est du rap de maghrébin, cousin, mets la ceinture
Que Dieu bénisse l'Afrique !",https://genius.com/Rimk-les-oublies-lyrics
Bad trip,Chef de famille,2012,"J'sais pas c'que j'ai c'matin, j'me sens mal
J'ai comme un truc au-dessus des épaules
Au-dessus d'la tête
C'est l'mal-être
J'suis dans un bad trip
J'suis dans un bad trip
J'suis dans la matrice

Le milieu (Lah y ster)
Les drogues dures (Lah y ster)
Et des p'tits frères qui meurent en garde à vue (Lah y ster)
Sur les ter-ters de vente une parcelle de paix c'est c'quon espère
Dieu m'éloigne des frères qui savent pas s'taire (Lah y ster)
Le joint jamais éteint, concurrence les jamaïcains
Seul, sans repères, sans aucun soutien
Pourquoi on accélère ? Parce que ça calme nos nerfs
Pourquoi on se tire dessus, (917891) Parce que c'est ça l'honneur
Ton père viendra pas au parloir, combien ressortent indemnes du placard ?
Combien voudrait voir un psy lui dire qu'il entend des voix dans le noir ?
Avant on s'asseyait sur ta tête comme un tabouret
Maintenant, t'es bâti comme une armoire
Ton frère au quartier n'a pas un rond, pense à braquer l'tabac
Sa femme l'excite plus, elle a le look à Lady Gaga
On croirait que dès le départ on a un défaut d'fab
Aucune chance de finir à la fac, peut-être chez les FARC
Nos auditions c'est des farces
T'ouvres ta fenêtre, t'as un bâtiment qui t'bute la vue, juste en face
Tu laisses ton gosse jouer dans l'jardin d'enfants
Vu qu'on jette tout par les fenêtres possible qu'il joue avec un Tampax
Tu croques dans un grec et une dent se casse
Les mecs du quartier, t'en as marre de voir leur race
Ça paye en kilos de pièces au supermarché discount
Ça sent le meurtre quand deux mauvais amis, font des mauvais comptes
Tes condoléances valent quoi ?! Ferme-là
Tu vas dire quoi à une mère qu'a perdu son fils le lendemain d'un deuil ?

J'suis dans un bad trip
J'suis dans un casse-pipe
Je sers de crash-test
J'sui dans la matrice
Lah y ster ! (Bad trip, bad trip)
Lah y ster, hah y ster (Bad trip)

Ta sœur prend l'bus
Le mec qui vient de s'asseoir à côté d'elle est peut-être son futur agresseur (Lah y ster)
Bienvenu en France, le pays où on consomme le plus d'anti-dépresseur
Tu t'lèves avec l'envie d'buter ton patron chaque matin
Prendre la machine à café d'la jeter sur la tête d'la secrétaire
Arrogante cette catin
Aucun avocat commis d'office pourra t'sortir de ce pétrin
Dans ma tête y'a Al Bundy qui fume des joints avec Homer
Il m'reste autant d'amis qu'il m'reste de molaires
Niquez vos mères, vous m'donnez envie d'vomir
Vos journaux de merde, j'ai même pas envie d'les lire
Venez pas vous plaindre d'un mec que vous avez voulu élire
Moi j'bosse pour fermer les magasins d'l'avenue Montaigne comme les émirs
Donne une pièce aux p'tits roumains
Si t'y penses, les gens faisaient déjà la manche quand mes parents sont arrivés en France
Les maladies qu'on a les médecins n'y peuvent rien
Tellement peu d'amour dans l'quartier qu'les vieilles ne parlent qu'à leurs chiens
Quand l'père n'est pas là, les hyènes dansent, la lionne est épuisée
Dur d'être mère dans un parc animalier
Éduqué à la dure ouais, nos mères c'est des lionnes
Pour ça elles mériteraient les plus gros diamants du Sierra Leone
On est des p'tits Corleone, marchent en bande organisée
Les gros gamos, petit bleu t'as pas honte d'les verbaliser
Y'a qu'en GAV qu'on peut faire tranquillement la sieste
Après avoir été ramoné entre les fesses
Contrôlé au faciès, pourtant j'essaye de faire preuve de sagesse
Mais j'suis dans un bad trip mon cerveau est HS
On s'cotise pour une tei-teille fais un geste
Pardonnez-moi mon métabolisme est en pièces
Lah y ster ! J'sais pas c'que j'ai c'matin, j'me sens mal
 x2
J'suis dans un bad trip
J'suis dans un casse-pipe
Je sers de crash-test
J'sui dans la matrice
Lah y ster ! (Bad trip, bad trip)
Lah y ster, hah y ster (Bad trip)",https://genius.com/Rimk-bad-trip-lyrics
