title,album,year,lyrics,urls
Verlaine,432,2020,"Niquer ses meilleurs amis à l'air monnaie courante dans cette vie
Verlaine à bien tirer sur Rimbaud, ça date pas d'aujourd'hui
J'ai toujours marcher seul mais partage en tout mon savoir
J'me suis sauver mille fois pour prouver qu'il n'y a pas qu'la gloire qui donne des ailes
Putain d'fils Cassel, ça n'était donc pas qu'une étincelle
Qu'est ce que tu sais d'ma vie, tu crois qu'j'connais la tienne ?
Même ta propre femme à des secrets qui n'appartiennent qu'à elle
On a tous des kilomètres d'haineux, tous des kilomètres d'envieux
Peu importe ton domaine, peu importe ton jeu
Mais y'a un soleil qui chauffe négro, des pirates armés d'savoir igo
Y'a ceux qui ont construit le ??? et qui ont réussi la fanfare jeune go
Donc j'avance tête baissée avec mon sac d'expériences
Dance sur le groove du volcan depuis ma tendre enfance
Je suis c'que tu est, les mêmes chromosomes
Mais j'les ai nourris de métaphores homogènes
T'inquiètes, on a tous des équipes qui contrôlent leur zone
Et qui t'canardent sec si tu tentes de les ken
Folie d'un monde en ébullition, ma folle diction et ses millions d'sillons donne des missions
Rien n'est gratuit, tout à un sens
Souffrance, souffrance dis-moi qui a la plus belle France

La thune gère tout autour d'oim
La crème c'est la monnaie
(Dolla dolla bill y'all)
(Dolla dolla bill y'all)
La maille nique tout autour d'oim
La crème veut nous bloquée
(Dolla dolla bill y'all)
(Dolla dolla bill y'all)

Le stylo est toujours en contact avec la matière
Mais souvent mes pensées s'élèvent pour visionner la Terre
Je suis préparé à toutes éventualités
Dans l'impalpabilité de toutes probabilités
Je n'suis pas une feuille morte à la merci du vent
Squat swingant sur le savoir de nos plus grands savants
Le monde part en couilles, le monde part en sucette
On n'voit que des douilles, des guns et des squelettes
Donc je regarde la comète que plus personne ne check
Trop occupé à montrer ses nouvelles baskets
Sa gov louée ou achetée c'est la même
Apparaître pour exister est le thème de l'anthem
Chacun défend son territoire, fier de son désespoir
Mon quartier n'est pas ma vie car ma vie n'a pas d'rempart
La réussite nécessite des ses-pha inédites
Mon rap est trop technique pour qu'on l'limite à un seul hit
Ma pensée insolite, une audience hétéroclite
Écouté et respecté comme la TR-808
Hey, ici ça taffe comme papa
Artisan d'un art qui s'perd mais surtout qu'on abat
Exprime-toi mais sache avant
Ce n'est pas quantité mais qualité des arguments
On fait la différence sur l'vaisseau où seul les rescapés on une chance d'y mettre le pied

La thune gère tout autour d'oim
La crème c'est la monnaie
(Dolla dolla bill y'all)
(Dolla dolla bill y'all)
La maille nique tout autour d'oim
La crème veut nous bloquée
(Dolla dolla bill y'all)
(Dolla dolla bill y'all)",https://genius.com/Rockin-squat-verlaine-lyrics
En haut Du Trône,432,2020,"I know what you looking for baby
I know what you looking for baby
En haut du trône on n'est jamais qu'tout seul
I know what you looking for baby
En haut du trône on n'est jamais qu'tout seul
En haut du trône on n'est jamais qu'tout seul
(Un vrai casse gueule)
Personne ne vend des millions sans être validé par l'diable
Personne ne vend des millions sans être validé par l'diable
Le succès n'est pas fiable
Le succès n'est pas fiable
Personne ne vend des millions sans être validé par l'diable
I know what you looking for baby
I know what you looking for baby

Rodéos sur rodéos, sauts au dessus d'un nid d'coucou
Folie contrôlée pour mieux contrôler l'pouls
Autour de nous le soleil n’apparaît que par à-coups (le sol tremble)
C'qu'on veut c'est vivre bien, dignement
Sans jugement, sans problème d'argent
Tout le monde détient sa vérité, ça parle sans s'écouter (donc les thèmes tombent)

I know what you looking for baby
I know what you looking for baby
En haut du trône on n'est jamais qu'tout seul
En haut du trône on n'est jamais qu'tout seul
En haut du trône on n'est jamais qu'tout seul
En haut du trône on n'est jamais qu'tout seul
(Un vrai casse gueule)

Donc les lyrics, les mots, les paroles, les actes
Les actions, les dons, les leçons, les marques
Qu'on laisse, automatiquement deviennent tactiquement des marches pour grandir loin du statiquement
J'aurai pu dire qu'on a pas l'temps donc on nique tout
Mais la vie est un miracle et tu niques rien du tout

I know what you looking for baby
C'est le vice qui nous appelle
C'est le vice qui nous appelle
C'est le vice qui nous appelle
C'est le vice qui nous appelle
Une femme avec une femme
Une femme avec une arme
I know what you looking for baby
Girl on girl
I know what you looking for baby
Girl on girl
En haut du trône on n'est jamais qu'tout seul
En haut du trône on n'est jamais qu'tout seul
(Un vrai casse gueule)",https://genius.com/Rockin-squat-en-haut-du-trone-lyrics
Ny Network,432,2020,"J'ai vu les ??? roulés sur les rails
J'ai vu s'monter à Broadway ""Cats"" et ???
J'ai connu ""Alphabet City"" fucked up comme à Beyrouth
Quand Keith Haring & Jean-Michel peignaient leurs doutes
Dans la ville de Sinatra, j'ai écrit mon nom
Quand j'n'avais pas encore un seul poil au menton
Les premiers burgers, milk-shakes, marshmallows
The Doug E. Fresh, Biz Markie, ???
Studio 54 roxy, ma reum sous ecstasy et moi sous fausse idea
Je marche à l'aise sous ???
Équilibre sous la falaise, ???
Je suis là où on m'a mit donc je deal avec
Le Hip-Hop est en pleine quête donc je vis avec
Bien avant ""Do the Right Thing"" on avait notre network
C'est comme ça que'ça s'passe dans la ville de New-York


Sous hydro à l'époque des Beastie-Beastie, P-E, Fat Boys, EPMD
""I'm just a french guy in New-York""
Ouvre-moi la porte, laisse-moi niquer ta salope
Adolescent, ma tech-tech n'avait pas de pec-pec
Mais restait impec'-pec' pour gratter son steak-steak
Je trace ma route entre ???
Bambaataa et pilons, Mumia et sa prison
JP avait assez d'style pour qu'j'hérite de sa stature
Donc j'travaille mes dons au mic et dans l'écriture
Trop d'choses à dire, écorché vif depuis tout p'tit
Sauvé d'justesse par Marvin et Stevie
Le seul blanc dans les églises de gospel en 85
Très peu d'babtous répondent à l'appel
La politique de Reagan ne régale personne
La voix des sans voix dans tous les boomers résonne
Puma gros lacets, name ring, nameplate, Boombox, Kiss FM, ???
Chuck Chillout, Marley Marl nous ambiance
Décalage total avec c'qui s'passe en France",https://genius.com/Rockin-squat-ny-network-lyrics
Vocab,432,2020,"Tu as les vocab ?
Moi j'ai les vocab
Tu as les vocab ?
Moi j'ai les vocab

En 85, j'écrivais mes premières rimes quand la France baignait dans la variet' et son abîme
Donc j'ai abîmé la face propre de leur commercial
Un blanc et une putain d'attitude, c'était pas banal
Mon cul n'était pas à vendre, plutôt leur coup à prendre
Donc mes victimes s’additionnent et Babylone est en sang
Ça commence à m'test à peine j'étais arrivé mais ils avaient sous-estimé la puissance de mon phrasé
La vérité d'mon vécu donc j'leur ai mit dans l'cul
Je suis devenu celui qui tue, les faux et les intrus
Ça bicravait sans cesse de Barbès jusqu'aux Abbesses
Donc leurs chèques et leurs promesses n'ont rien changé à mon adresse
J'étais pas sous SOS, indépendant depuis tout p'tit
J'ai pas attendu Virgin pour faire cuisiner mon riz
À force de traîner partout, j'me suis construit une équipe
Mais vite, dessoudés dès qu'ils ont vu un peu d'fric
On n'peut pas leur reprocher, on est pas tous armé quand on entrevoit l'succès qui n'a jamais tapé à notre porte
Monde de salope qui s'sert d'la précarité pour nous mettre à leur botte
J'suis passé du rap jeu à écrire des thématiques qui ont éclairé la rue jusqu'aux pays en Afrique
Ils ont voulu savoir qui était cet assassin, m'ont proposé des gros chèques pour calmer l'écrivain
Mais quand ils ont compris qu'il n'y avait rien à faire, ils m'ont fait la guerre jusqu’aux artères de la Terre
Mais fils de la lumière, elle m'a toujours protégé, m'a guidé, m'a aidé, m'a sauvé du naufrage programmé
 x2
J'reviens d'putains d'problèmes comme t'as jamais eu
J'suis un putain d'phénomène comme t'as jamais vu
J'continue d'marquer l'Histoire comme t'as jamais su
Le moins connu des rappeurs reconnus qu'on a jamais eu

Vivant comme jamais depuis plusieurs décennies
Ils sortent l'étendard à peine on voit l'ennemi
Guettant les chtars car ils ne sont jamais amis
Vidant mon pochon comme si j'étais bounty
La France choquée depuis Nova, j'ai les Vocab, tu n'les as pas
Tuer le Christ, je n'le f'rais pas
Baiser princesse, ça à chaque fois
Aïe, yeah ça passe quand ça taffe sans tour de passe-passe
Que du talent efficace, responsable et perspicace
Des équipes pleines d'audace, rythmées comme des maracas
Et les liasses s'entassent, monde de basses et d'contrebasses
Fallait prendre les devants quand pour nous, rien devant
Pas un Franc, pas un plan, que des vents sur vents
Que du sang sur bancs, que des bouches sur glands
??? et très blanc, trophée des sans-dents
J'ai la niaque depuis tout p'tit, midi, minuit, mélodie, félonie
Quotidien à Paris, on avance en tri avant qu'Jacques n'ait dit: ""le bruit et l'odeur""
Survivant de l'époque de Radio 7, ma formule est secrète depuis l'époque des cassettes
J'ai traversé l'Histoire c'est même plus une question d'Âge d'or
La chance, le sort, la vie, la mort
 x2
J'reviens d'putains d'problèmes comme t'as jamais eu
J'suis un putain d'phénomène comme t'as jamais vu
J'continue d'marquer l'Histoire comme t'as jamais su
Le moins connu des rappeurs reconnus qu'on a jamais eu

Des culs et du sky
Ils ont saccagé l'travail
Il n'y a plus qu'la maille qui aille
J'vous laisse toutes mes médailles
Bye, bye
J'n'écoute plus qu'mes Jedis
J'n'écoute plus qu'mes Jedis

Sublime est la vie qu'on mène
On est tous unanime
Toujours maintenu l'cap même sans un centime
Aujourd'hui au top tout le monde s'anime, s'anime, s'anime
Yeah ça vient des abîmes
Lighting, lighting",https://genius.com/Rockin-squat-vocab-lyrics
Mieux Vivre,432,2020,"Rester jeune ? Non, rester vieux ? Non
Savoir vivre avec ses baisses d'hormones
Biologiques ? Yeah, génétiques ? Yeah
Une vie saine aide à contrôler son cortisol
Respecter son horloge biologique n'est pas antagonique à kicker putains d'hits
On dort deux heures de moins qu'en 1910, sans notre chimie interne, ça change toute la notice
C'n'est pas mon iPhone qui m'dira l'contraire avec lequel je like tout et son contraire
Donc je suis le flow de ma mélatonine pour qu'la nuit n'soit pas qu'un soleil qui culmine
Pollution lumineuse dérègle horloge interne et j'kicke ça en ville au milieu d'toute cette merde
Putain, ils nous ont bien niqués, réapprendre à vivre devient un vrai métier
Tu rêves de Testarossa mais t'as plus d'testostérone, inquiète-toi plus de ça qu'reprendre ta couronne
J'mange une poignée d'myrtilles et ma mémoire sera toujours fertile

Occupe-toi d'toi, occupe-toi d'toi, occupe-toi d'toi, yeah, occupe-toi d'toi
Occupe-toi d'toi, yeah, occupe-toi d'toi, occupe-toi d'toi, yeah, occupe-toi d'toi
Occupe-toi d'toi, occupe-toi d'toi, occupe-toi d'toi, yeah, occupe-toi d'toi
Occupe-toi d'toi, yeah, occupe-toi d'toi, occupe-toi d'toi comme ta DHEA

Contrôle-la comme tes œstrogènes, bien sûr qu'avec change la nature humaine
On perd des hormones donc on perd des facultés, notre alimentation n'est plus adaptée
Vieillir en bonne santé : le challenge des prochains vieux pépés
C'n'est pas qu'une question d'blé, tu peux être blindé et mourir comme un teubé
Car t'as mangé beaucoup trop sucré ou empoisonné car t'as trop fumé
Pas assez marcher, pas assez mâcher et ta glycémie n'a fait qu'augmenter
Dormir, reprendre son corps en main, redevenir l'ami d'un meilleur lendemain
La graisse viscérale est la plus toxique donc régime paléolithique
Au service de la recherche scientifique, méd'cine préventive, c'est la clé d'cette zik

Occupe-toi d'toi, occupe-toi d'toi, occupe-toi d'toi, yeah, occupe-toi d'toi
Occupe-toi d'toi, yeah, occupe-toi d'toi, occupe-toi d'toi, yeah, occupe-toi d'toi
Occupe-toi d'toi, occupe-toi d'toi, occupe-toi d'toi, yeah, occupe-toi d'toi
Occupe-toi d'toi, yeah, occupe-toi d'toi, occupe-toi d'toi comme ta DHEA",https://genius.com/Rockin-squat-mieux-vivre-lyrics
Leaders,432,2020,"C'est qui ça ?
J'sais pas !
C'est qui ça ?

T'es qui ? T'es qui ?
Jamais entendu parler !
J'traîne pas sur la Croisette, j'regarde pas la télé
C'est qui ? C'est qui ?
Des millions d'followers mais personne ne suit personne dans mon putain d'secteur
Que des leaders ! Que des leaders !
Que des leaders ! Que des leaders !
T'es qui toi ? J'sais ap hein !

Ma conscience est avec moi et ma femme Liberté
J'ai l'expérience des anciens à la vision affûtée
Je n'dope aucun mensonge mon esprit est entraîné
Inutiles et faux sont loin depuis des années
Dans aucune mode je n'tombe car c'est moi qui les créées
J'ai l'attitude que t'as pas, celle que personne ne peux acheter
J'ai refusé l'trône car ma carrière n'est pas qu'une rime
Surveillé par leurs drones car c'est moi la scène du crime
J'ai tout vu, tout senti, tout prévu, tout prédit
T'es qu'un détail sur leur route, tu vas caner comme Kadhafi
Reste à ta place, n'oubli pas qu't'es qu'un clown
Affiche-toi chez Hanouna ou Oprah c'est la même douille
J'suis rare comme c'qu'on n'croise qu'une fois dans sa vie
Préserve c'qui est béni, en fait, t'as jamais rien comprit
T'as plus aucun crédit, tu fais partie de c'qu'on abat
On est pas tous des Tupac, y'a beaucoup d'Obama

T'es qui ? T'es qui ?
Jamais entendu parler !
J'traîne pas sur la Croisette, j'regarde pas la télé
C'est qui ? C'est qui ?
Des millions d'followers mais personne ne suit personne dans mon putain d'secteur
Que des leaders ! Que des leaders !
Que des leaders ! Que des leaders !

J'suis en première ligne, prêt pour les ragots
J'm'en bat déjà les couilles, man, j'taffe-j'taffe trop
Mec du 18, vite, vas-y suce ma bite
Thématiques pour t'aider, broliques pour tes coliques
Dans ton uc', tu vas danser comme un eunuque
Approche-toi sale pute tu repars sans nuque
Pas d'temps-pas d'temps pour les pertes de temps
Langues de serpent, coupe comme les couilles de l'autre gland
Que des jaloux, que des faux, que des putains d'gros egos
Que des stars sans trône assises sur des escabeaux
Putain d’île de sans-talent suçant-suçant
Un jour il nique sa mère, le lendemain il tète maman
Et ça parle de vraies leçons d’intégrité
Sous prétexte qu'il est pauvre et qu'il a jamais percé
T'as d'la peine, ta vie est dure mais à part ça tu dis quoi ?
Tu crois qu't'es l'seul dans ton cas ?
Aller, vas-y tais-toi
 x2
T'es qui ? T'es qui ?
Jamais entendu parler !
J'traîne pas sur la Croisette, j'regarde pas la télé
C'est qui ? C'est qui ?
Des millions d'followers mais personne ne suit personne dans mon putain d'secteur
Que des leaders ! Que des leaders !
Que des leaders ! Que des leaders !",https://genius.com/Rockin-squat-leaders-lyrics
Grandir,432,2020,"Bonjour, c'est moi qui chante, la vie la vie la vie est belle, la vie la vie la vie est belle

Vous êtes des rappeurs, j'suis la révolution
Vous êtes des candidats, je suis l'évolution
Vous avez tout à perdre, je n'ai rien à gagner
J'ai tout à créer, vous avez tout niqué
J'ai l'ADN que Kendrick, t'as celui de Marine
J'ai la couronne de tes rois, putain d’ kidnapping
J'ai le sang des esclaves dans un profil de Colon
L'histoire n'est pas toute blanche ni toute noire champs d’ contons
On n'fait pas l'même son, on a pas la même femme
On a pas les mêmes kids, on n'brûle pas d'la même flamme
Tes ... n'sont pas les miennes, j'ai d'autres clés pour comprendre
On n' manipule pas celui qui a décidé d'apprendre
J'ai pénétré l'enfer, toi t'es qu'en virtuel
T'es un putain d'has been, moi j'suis trop actuel
J'suis conscients comme ta mère quand t'étais qu'un gamin
Quand tu n'as pas écouté, aujourd'hui t'es plus rien
Vous êtes tous des menteurs, moi je suis loyauté
Vous cherchez tous l'erreur, moi je cherche vérité
J'n'amène rien avec moi donc j'apprends et j'partage
Prends mes souffrances si tu veux aussi comprendre le message

Nou a sou la tè pou on sèl mission
Kiltivé lanmou kon flè, chèché lélévation
Fo nou grandi tou lé jou
San pèd ti moun la an didan nou
É chimen la ka'y pli bèl, sa vré éh éh

Les dés n'sont pas pipés vu qu'j'suis encore dans l'jeu
La république est gangrénée mais jamais ses enjeux
Aucune Rolex te rendra libre aux yeux du philosophe
Aucun coup d'bite ne t'amènera l'amour et son étoffe
Tu confonds tout et les réseaux sociaux t'ont pas aidé
Tu mates les boules au lieu d'aller chercher c'qui peut t'élever
Ça a beau être simple, tu compliques tout t'es teubé
C'est la faute à personne si c'matin tu t'es pas levé
Ouais, ton son est mortel, mais le mien est vivant
T'as niqué les plus belles, mais t'es tout seul maintenant
Tu commentes tout c'qui c'fait, mais tu créés rien du tout
Les perdants s'associent mais n'ont jamais d’atout
Ils ont brassé du vent, et ils en brassent encore
Tu m'aimes comme personne, donc je t'embrasse encore
On a fait les milles coups, et on en fera mille encore
Ma parole vaut la vie, la tienne ne vaut que l'or

Nou a sou la tè pou on sèl mission
Kiltivé lanmou kon flè, chèché lélévation
Fô nou grandi tou lé jou
San pèd ti moun la an didan nou
É chimen la ka'y pli bèl, sa vré éh éh
Nou a sou la tè pou on sel mission
Kiltivé lanmou kon flè, chèché lélévation
Fô nou grandi tou lé jou
San pèd ti moun la an didan nou
É chimen la ka'y pli bèl, sa vré éhhh",https://genius.com/Rockin-squat-grandir-lyrics
I Heard That (Big Booty),432,2020,"J'ai entendu parler d'ton big-big booty
J'ai entendu parler d'ton big-big booty
I heard that
J'ai entendu parler d'ton big-big booty
I heard that
Mais jamais d'mon flow qui arrive crispy-crispy

Sais-tu qu'les enzymes disparaissent ?
Que l'cancer s'attrape aussi par l'stress ?
Qu'on est pas à l'abris d'une rupture d'anévrisme ?
Si on tombe tête première dans l'""sodaisme"" ?
Les tablettes favorisent la myopie comme iPhone et ordi, pussy sur TV
Je dis, j'te dis, jeudi, vendredi la même que samedi pour celui qui étudie, yo
Symétrie des vibrations, le son est la première des fondations
Fréquences d'accords artificiels blessent et agressent les populations
Revenir au sacré des harmoniques
Figure de Chladni inspirent cymatique
Monde acoustique, influence aquatique
Diapason de Verdi, véridique
Attaquer les corporations d'élites
Neurones d'Albert Einstein en feat
Ma mission depuis mes premiers pas
Aujourd'hui Google et CIA financent les réseaux qui te mettent au pas
Putain tout est lié, d'Eric Schmidt à Peter Thiel, ??? et In-Q-Tel
Paypal, Face et logiciel 
(damn!)

I heard that
J'ai entendu parler d'ton big-big booty
I heard that
J'ai entendu parler d'ton big-big booty
Mais jamais.. Mais jamais.. Mais jamais de ta beauté intérieure
Mais toujours.. Mais toujours.. Mais toujours de ton putain de postérieur

Je viens de Paname, France, capitale de l'ennui
Si j'avais suivi la règle, je serais comme eux au fond du puits
À cracher sur ceux qui font, à me plaindre de ceux qui ont
À jalouser ceux qui l'ont, à pourrir comme ceux sans don
Sur la même planète que toi pourtant pas comme toi
Pas 24/24 sur Insta à suivre des comptes qui n'me suivent pas
Plutôt dans Kotobuki, Qi gong et Feng shui
Le retour de Satori, équilibré comme Samadhi
Samedi, ça te dit ?
J'm'en bat les couilles de savoir si t'es chaud, t'as que du flow, t'as que des mots
Que du bling-bling, que des Mercos
T'es pas légende chez minos qui manient les manos
Qui taffent dur dans le sens de chaque mot
Philosophie: que le feu depuis BDP, rimes calibrées depuis Therapy
Dans mon tipi on m'trouve érudit
Aucun produit qui circule, qui conduit
L'empire du mal a voulu nous maquer
Près d'100% ont été absorbés
Un peu d'monnaie, un peu de C, un peu de putes et du succès

I heard that
J'ai entendu parler d'ton big-big booty
I heard that
J'ai entendu parler d'ton big-big booty
Mais jamais.. Mais jamais.. Mais jamais de ta beauté intérieure
Mais toujours.. Mais toujours.. Mais toujours de ton putain de postérieur",https://genius.com/Rockin-squat-i-heard-that-big-booty-lyrics
A Lingerie o Cabernet,432,2020," x2

Les petites femmes de Paris sont les plus jolies-jolies
De Pigalle à rue Saint-Denis elles rougissent quand je leur souris
Mademoiselle je vous en prie, prenez place dans ma ??
Mosquito, Bruno Campos et Inacio sont avec moi
Un peu de Brésil à Paris ne peut qu'embellir le tableau
Chaud, aucune frontière où sont mes mots
Bouquet de fleurs pour mon amour,je n'oubli pas je suis français
Pétales de rose dans la baignoire, verre de Champagne pour t'embrasser
Je t'aime, plus que tout je t'aime
Donne-moi ta main, allons ensemble nous promener dans le 18ème
Puis à Pékin et aux Seychelles, à New-York, à Tahiti
Partons ensemble kiffer la vie
Mon amour, rêvons comme des adolescents
Viens avec moi on a le temps, j'ai la formule pour faire l'argent
T'inquiètes, depuis longtemps je suis brillant
Mais toujours explosif comme cocktail molo' sur les Champs
 x2

 x2

-""Ça va mon ami ?
- Ça va bien, très bien
- À bientôt !""",https://genius.com/Rockin-squat-a-lingerie-o-cabernet-lyrics
Omerta,432,2020,"Chut! chut!
Omerta
Chut! chut!
Omerta

Ils m'ont toujours montré l'exemple
M'ont toujours dit d’être un exemple
D'garder ma vision ample
D'ne pas m'incliner sur n'importe quel temple
Elles m'ont toujours enseigné leurs valeurs
M'ont toujours parlé avec leur cœur
Généreuses même en tailleur avec deux fusils-mitrailleurs
J'ai été élevé par une famille où les femmes étaient des jonquilles
Elles sentaient bon la vanille avec de longs cils
Elles m'ont appris la patience, m'ont aidé dans ma croissance
À ne pas m'perdre dans mon adolescence
Même dans mes moments de non-sens
J'ai eu des oncles et des cousins qui m'ont toujours tendu la main
Et n'm'ont jamais poussé dans le ravin quand je n'étais qu'un poussin
M'ont remis sur le chemin des conseils loin du Malin
M'ont appris à être humain tout en étant hors du commun
Omerta


Mon fils, prends exemple sur ton père
J'ai traversé l'désert
Touchant deux millénaires, chacun m’aiguillèrent
Jamais aucune œillère, perdant des supporters
Mais gagnant des repères car le silence est prospère
Ils parlent tous pour ne rien dire, perdent foi en l'avenir
N'ont pas de souvenir, ne t'aideront pas à tenir
Apparu dans la fissure du monde moderne
J'ai rien d'un mouton et de ses cernes
J'ai un laser, ils ont une lanterne
Je suis lumineux, ils sont fades et ternes
De retour tous les dix piges pour ceux qui ne pigent rien
Qui se bloquent, qui se figent, pour ceux qui ne voient rien
Qui ne voient pas qu'on taffe dur, qu'faire du bruit ne suffit pas
Pour passer des tas d'ordures à celui respectable de ninja
Omerta",https://genius.com/Rockin-squat-omerta-lyrics
