title,album,year,lyrics,urls
Goin’ Crazy,The Fifth ,2013.0,"Every single morning
Wake up in the afternoon (Yeah)
Cover up the mirror
Just to get a better view (Yeah)
Been around the world and never even left the room (Ah)

And I, I can't figure out
Why?
So I just scream and shout

I believe, I believe, I believe
I believe I'm going crazy
Going crazy, Going crazy
I believe I'm losing my mind

Everybody's looking at me, but I don't see them
Living for the weekend, caught in the deep end
Tryin'a tread water, do it for my unborn daughter
Lamb to the slaughter, life's getting shorter
Tryin'a get high off a quarter
I'm fly in a saucer, my life is a corker
Star, pop bottles, date top models
Middle finger in the air, not a care, going full throttle
Where's the love though?
Nobody cares about that, where's the club? Where's the drugs though? Front row
Follow the flow, Megaupload
Feel the adrenaline rush, who's the mug though? I don't know

I
I can't figure out
Why?
So I just scream and shout?

I believe, I believe, I believe
I believe I'm going crazy
Going crazy, Going crazy
I believe I'm losing my mind

Living in a bubble, my life is a puzzle
I'm caught in the rubble, now pass me a shovel
Now pass me a shot, and make it a double
I'm a whole lot of trouble and I don't do subtle
It's all or nothing, I don't wanna juggle
No crabs in a bucket, I don't wanna huddle
I've got my own name, tryn'a figure out the whole game
Going insane, 150 in the slow lane
Getting ahead of myself
My God, already thinking how can I better myself
Should I be somebody else? Should I be pacing myself?
My car's a rocket, and if I get too carried away, I wouldn't know when to stop it

I
I can't figure out
Why?
So I just scream and shout?

I believe, I believe, I believe
I believe I'm going crazy
Going crazy, Going crazy
I believe I'm losing my mind

Tryna get a hold of
Tryin'a get a hold of you
Yo, I'm goin in fearless, man, I'm wildin out
Don't even try and get a hold of me
Tryin'a get control of
Tryin'a get control of me
Yo, I've lost it, its gone
I'm tryna warn - hey, listen!
I believe, I believe, I believe
I believe I'm going crazy
Going crazy, going crazy
I believe I'm losing my mind",https://genius.com/Dizzee-rascal-goin-crazy-lyrics
I Don’t Need a Reason,The Fifth ,2013.0,"All I do is flex, I don't need a reason
All I want is sex, I don't need a reason
Fly out on a jet, I don't need a reason
Every day's a never ending summer season
All eyes on me

160, blink and miss me
Super nifty, riding swiftly
Rolling through the sticks
Leather extra crispy, effortlessly
Power steering, accurately, ready for action, actually
Mellow, relaxed and cocking my snapback
Not taking no God damn back chat
Just racking up fat stacks
No ring, no chain, no fat chaps
I don't get no sleep, no cat naps
And everybody wanna be on my black sack
But I don't slack
You don't really wanna see me get abstract
I'll switch up the place like have that
Don't care about none of that rap crap
Steer clear of the rat trap
Some say that I lack tact
But I'm on the map
And I'm setting the pace, I'm on track
So get out my face, I'm on slapping
I'm on scrapping, so stop yapping, what's crackalacking?
Don't follow fashion, just keeping it G
With these hoes, macking, and that's what's happening
What?
That's what's happening

All I do is flex, I don't need a reason
All I want is sex, I don't need a reason
Fly out on a jet, I don't need a reason
Every day's a never ending summer season
All eyes on me

God bless me, nobody can't test me
Everyday life can't stress me, stay on the ball like Messi
Money and women are the only things that impress me
I stay fly and sexy
Life is a game of chess, and all the girls wanna check me
How much do you wanna bet me, that I never ever let a female sweat me?
Get me
I ain't gotta talk no more, cause soon as I walk in the door everybody stops doing what they're doing, don't know what they're pausing for, don't know what they're gawping for
Bad boy from the LDN, what the world's been calling for, been balling for
And your girl gets wet, stays up in the morning for
Don't know what you're stalling for
Get with the programme, I got the flow and I've got the dough and money to blow
And, this ain't a slow jam, ready to rock and I'm ready to roll, I'm gripping at the Trojan
Never gonna get caught slipping, never gonna get caught tripping
Never too soft on the women
If it ever gets too hot in the kitchen, I'm dipping, I ain't gonna stand there dripping, I'm missing

All I do is flex, I don't need a reason
All I want is sex, I don't need a reason
Fly out on a jet, I don't need a reason
Every day's a never ending summer season
All eyes on me

International, flex and go
When I'm at home, I stay low
Yo, lay in the cut, they can't see me bro
And I'm living it up, they can't be me though
Get on the mic, I get easy dough
When I'm cutting the cheques, cause I'm C.E.O
Keep on fronting, like you don't know
I stay repping the Manor, and that's E3, Bow
Stay with a brownin', get around the town, you better hold it down
I'll leave you breathing slow
Overstand, cause I ain't even clowning, I'll leave you drowning from head to toe
Wet, why you trying to put me in check?
I play for keeps, you better know I don't pet
Knock your head off your shoulders, no sweat, watch your step

All I do is flex, I don't need a reason
All I want is sex, I don't need a reason
Fly out on a jet, I don't need a reason
Every day's a never ending summer season
All eyes on me",https://genius.com/Dizzee-rascal-i-dont-need-a-reason-lyrics
Bassline Junkie,The Fifth ,2013.0,"Hey, turn the bass up
Hey, turn the bass up
Yeah, yeah yeah, yeah
Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, dirty dirty stinking
Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, bass, bass, bass, bass

I don't need no speed (no)
I don't need no heroin (no thanks)
I don't want no coke 
(not today)
You can keep your ketamine (yeah)
I'm a bassline junkie (whaat?)
I'm a bassline junkie (tell 'em again)
I'm a bassline junkie (tell 'em again)
And I like it funky
What the fuck? What are you doing?
Don't touch it
Don't. Who told you to touch it? I will fucking kill you
Don't ever touch that fucking shit again

I'm a fiend for a big dirty bassline
When I hear one I have a great time
A bit of bottom end's all what I require
I let the bassline take me higher
My friends think that it's a bad habit
But I'm just like fuck you, damn it
If you take my bass away
I'll blow your fucking face away (easy!)
You might think I'm over the top
But when I hear that bassline drop (What!)
I just can't control my actions
But I still feel satisfaction
So don't come around here whinging
I just wanna hear the bassline rinsin'
Or we can just skank out all day
If not get the fuck out my way

I don't need no speed (no)
I don't need no heroin (no thanks)
I don't want no coke (not today)
You can keep your ketamine (yeah)
I'm a bassline junkie (whaat?)
I'm a bassline junkie (tell 'em again)
I'm a bassline junkie (tell 'em again)
And I like it funky

Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, dirty dirty stinking
Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, bass, bass, bass, bass

The other day I got an ASBO order
And I think it's well out of order
All my neighbors throwing a fit
So I told them suck my dick
And I told them I got the power
And I turn the music up louder
All night till six in the morning
Old bastards, they just boring
You know me, I'm the bassline father
Nobody can't tell me nada
And the police turned up and they took me
We drove out to the 
nick
 and they booked me
When they said they'd give me a caution
If I didn't give them no distortion
But I said don't bother, I'm guilty
And my bassline's fucking filthy

Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, dirty dirty stinking
Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, bass, bass, bass, bass
Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, dirty dirty stinking
Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, bass, bass, bass, bass
Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, dirty dirty stinking
Big dirty stinking bass, dirty stinking bass
Big dirty stinking bass, bass, bass, bass, bass
Bass, bass, bass, bass
Bass, bass, bass, bass",https://genius.com/Dizzee-rascal-bassline-junkie-lyrics
Dance Wiv Me,Tongue n’ Cheek,2008.0,"Oh, oh
Ooh, baby
Come and dance with me

What's up darlin'?
I been keeping my eye on your movement
I can't see no room for improvement
Why you all over there on your Jack Jones?
You need to let me get behind your backbone
'Cause I'm the man for the job, let me work it
I won't waste no time, I'll make it worth it
One hundred percent, I'll make it perfect
You got a body to die for, let me merk it
Now it's murder on the dance floor
I wanna take this further than the dance floor
I ain't forceful but I'm still hardcore
You're gonna give me everything I ask for
It's not a long ting, you're the boom ting
Maybe more than a hotel room ting
I'll never know if I just walk past
I really wanna dance so I guess I'll just ask

She ain't no ho
Look at those thighs, it's in her eyes, she's good to go
She can satisfy my mind, body and soul
Come and dance with me, come and dance with me
Come and dance with me, come dance with me
I see you glance at me, that's why I'm asking, B
So let's party, B, come and dance with me

If I'm out on my own, then I can look at you looking at me
If I'm out on a date, then I just shut my eyes, then I can't see
Get away from the bar, tell your boyfriend hold your jar
And dance with me
I see you glance at me, that's why I'm asking, B
So let's party, B, come and dance with me

Yo, it goes on and on
I see you get excited like this is my song
You think I wanna get involved, you are not wrong
'Cause I been waiting for this moment all night long
So I creep, creep, creep back to your seat
I got my left eye checking out your scenery
I got my right eye right where it needs to be
Don't matter how I look at it, you look good to me
Still, I'm looking for the perfect view
The way I see it, that's right next to you
I know you've probably heard it before but still
I love it when you flex like that for real
So don't stop doing what you do when you do it
I just wanna be a part of it when you do it
I'll feel like a wally if I don't pursue it
And I can't go through it, so let's get to it

She ain't no ho
Look at those thighs, it's in her eyes, she's good to go
She can satisfy my mind, body and soul
Come and dance wiv me, come and dance wiv me
Come and dance wiv me, come dance wiv me
I see you glance at me, that's why I'm asking, B
So let's party, B, come and dance with me

I know you didn't come out to stand and stare
You bought new shoes and you did up your hair
You made a real effort tonight and it shows
I can tell by your face you don't wanna be alone
'Cause the mood is right and the time is now
And if you can't do it, I'll show you how
All you gotta do is get loose, let go
Just throw a couple shapes, put your skills on show, oh
Put your skills on show

If I'm out on my own, then I can look at you looking at me
If I'm out on a date, then I just shut my eyes, then I can't see
Get away from the bar, tell your boyfriend hold your jar
And dance with me
I see you glance at me, that's why I'm asking, B
So let's party, B, come and dance with me
If I'm out on my own, then I can look at you looking at me
If I'm out on a date, then I just shut my eyes, then I can't see
Get away from the bar, tell your boyfriend hold your jar
And dance with me",https://genius.com/Dizzee-rascal-dance-wiv-me-lyrics
I Luv U,Boy in da Corner,2003.0,"I love you
I-I-I, I-I-I I love you
I love-I love-I love, I love you
I-I-I-I-I-I, I love you
I-I-I-I-I-I love, I-I love you
I love, I-I-I, I love you
I-I-I-I-I-I love you
I-I-I-I-I-I love you
I-I love you
I love you
I-I-love-, I-I
I-I lov-lov-lov you-you-you
I lov-, love-love you-you-you
[Verse 1: Dizzee Rascal & 
Jeanine Jacques
]
Yo
If that girl knows where you stay, that's poor
Some whore banging on your door, what for?
Pregnant? What're you talking about? Be sure
Fifteen, she's underage, that's raw
And against law, 5 years or more
Now she wants a score and half of a draw
That's the kind of threat that you can't ignore
That whore got you pinned down to the floor
But it's your own fault, you said three magic words (
I love you
)
When that's the one for the birds
When you said that she forgot other boys
It's over, you better start buying the toys
There was no intention of her being wife
Now she knows this, she's ending your life
It's a real shame you got had by the whores
It's a shame that kid probably ain't yours
[Chorus: Dizzee Rascal & 
Jeanine Jacques
]
That girl' some bitch ya know
She keep calling my phone, she don't leave me alone
She just moan and groan, she keep ringin' me at home
These days I don't answer my phone
That boy some prick, you kna'
All up in my hair, thinks that I care
Keeps following me here, keeps following me there
These days I can't go nowhere
Ain't that your girl?
Nah, it ain't my girl
I swear that's your girl?
'Course it ain't my girl
She got juiced up
 (Oh well)
She got jacked up
 
(Oh well)
I swear that's your man?
I ain't got no man
You was with that man?
He was just any man
He got hotted up
 
(Oh well)
He got whacked up 
(Oh well)

Alright, she's a bad girl, I'm a boss though
Captain Roscoe
 
with a crossbow
She came she got picked off yo
Nah it's not a love ting, get lost ho
Dizzee Rascal come down like snow
With freezing cold flows like Moscow (Yo)
Dumb ho, get me upset, guns blow
Bitch, no, you're not ready for skid row
Bleed know Dizzee Rascal did grow
Big feet for the force on my big toe
I got no chaps, no chains, not much dough
Get juiced but you don't get love though
No slap but you might get a co-co (Yo)
Jambo coming through like Rambo
Love ting takes two like tango
But she ain't my wifey, she can go
[Chorus: Dizzee Rascal & 
Jeanine Jacques
]
That girl' some bitch ya know
She keep calling my phone, she don't leave me alone
She just moan and groan, she keep ringin' me at home
These days I don't answer my phone
That boy some prick, you kna'
All up in my hair, thinks that I care
Keeps following me here, keeps following me there
These days I can't go nowhere
Ain't that your girl?
Nah, it ain't my girl
I swear that's your girl?
'Course it ain't my girl
She got juiced up
 (Oh well)
She got jacked up
 
(Oh well)
I swear that's your man?
I ain't got no man
You was with that man?
He was just any man
He got hotted up
 
(Oh well)
He got whacked up 
(Oh well)

Listen, I like your girl so you better look after your girl
Or I might just take your girl (Uh), and make your girl my girl
Switch your girl with Michelle
Switch Michelle with Chantelle
Play Chantelle with Shanell
Lyrical clientele 
but I ain't a bocat, I don't like the smell
I'm gonna go through a shell and make a boy feel unwell (Yo)
That girl's from school, that girl's from college (Uh)
That girl gives brains, that girl gives knowledge
That girl gives head, 
that girl gives shines
That girl gives BJs at all times
She looks decent, she looks fine
But don't talk about wifey she's not mine
She got batteried, 6 in a line (Uh), believe me that's not a good sign
[Chorus: Dizzee Rascal & 
Jeanine Jacques
]
That girl' some bitch ya know
She keep calling my phone, she don't leave me alone
She just moan and groan, she keep ringin' me at home
These days I don't answer my phone
That boy some prick, you kna'
All up in my hair, thinks that I care
Keeps following me here, keeps following me there
These days I can't go nowhere
Ain't that your girl?
Nah, it ain't my girl
I swear that's your girl?
'Course it ain't my girl
She got juiced up
 (Oh well)
She got jacked up
 
(Oh well)
I swear that's your man?
I ain't got no man
You was with that man?
He was just any man
He got hotted up
 
(Oh well)
He got whacked up 
(Oh well)

(
I
) Uh, Dizzee Rascal (
Love you, I-I, love you
)
Roll Deep
 (
I love-love-love, I love-love you-you
), 
it's all love, ha ha
 (
I love you, I-you, I-you, love-love
)
2000 and slew, get me
 (
I love you, I-I love you-you
)
Damn right I'm articulate, I'm not an idiot
 (
I-I
)
Dem boy nah ready yet, trend they could never set
 (
I-I
)
This is the next step, I write the 2-step (
I-I
)
Niggas better get set, I'll make your girl wet (
I-I-I-I-I-I
)
I'm articulate, I'm not an idiot
 (
I-I
)
Dem boy nah ready yet, trend they could never set
 (
I-I
)
This is the next step, I write the 2-step (
I-I
)
Niggas better get set, I'll make your girl wet (
I-I-I I love you-you-you you
)",https://genius.com/Dizzee-rascal-i-luv-u-lyrics
"Fix Up, Look Sharp",Boy in da Corner,2003.0,"Oi
Yeah

Fix up, look sharp
Don't make me get the blitz out, get dark (Woo)
Hear the bang, see the spark
Duck down, lay down, just calm down
Fix up, look sharp
Don't make me get the blitz out, get dark (Woo)
Hear the bang, see the spark
Duck down, lay down, just calm down
I got the big beat
I hear the sound (Yeah)
I got the big beat (Dizzee Rascal)
I get on down (Rolling deep)

I've heard the gossip from the street to the slammer
They're tryna see if Dizzee stays true to his grammar
Being a celebrity don't mean shit to me (Woo)
Fuck the glitz and glamour, hit 'em with the Blitz and Hammer (Woo)
Because they're talking 'bout rushing
Talk behind my back but to my face, they say nothing
Stand up in the dance, keep a firm steady stance
Keep the beanies touching, keep the beanies hot flushing (Woo)
Flushing MCs down the loo
If you don't believe me, bring your posse, bring your crew
Feel free to hate 'cause I ain't tryna be your mate
Be serious, you wouldn't last an hour in my shoe (Woo)
It's an Air Force One (Woo)
Trainers by the truck load, trainers by the tonne
Don't be dazed when I catch you by your J's
Chump, best to act like Forrest Gump, best to run (Woo)

Fix up, look sharp (Uh-huh)
Don't make me get the blitz out, get dark (Woo)
Hear the bang, see the spark
Duck down, lay down, just calm down
Fix up, look sharp (Uh-huh)
Don't make me get the blitz out, get dark (Woo)
Hear the bang, see the spark
Duck down, lay down, just calm down
I got the big beat
I hear the sound
I got the big beat (Oi, woo)
I get on down (Sweet as a nut mate, sweeter as )

Oi look (Woo)
I stay sweet as a nut, sweet like Tropicana
When the hammer hits, your head splits like banana
You're not ready for this boy
You better send your best soldiers, this is Captain Roscoe (Woo)
More destructive and troublesome than ever
I'll probably be doing this, probably forever
Fellas wanna stop me, they'll probably come together
It's probable they'll stop me, probably never (Woo)
Yo, topboy, topman, or top ah topper
Come to me with an attitude, come a cropper
I'm old school like Happy Shopper
I fight old school, bring your bat and your chopper (Woo)
And a first aid kit (Woo) and some antiseptic, this could get hectic
I'm a don, accept it, you got a bright future
Don't let my gun affect it

Fix up, look sharp
Don't make me get the blitz out, get dark (Woo)
Hear the bang, see the spark
Duck down, lay down, just calm down
Fix up, look sharp
Don't make me get the blitz out, get dark (Woo)
Hear the bang, see the spark
Duck down, lay down, just calm down
(Calm down)
(Fix up)",https://genius.com/Dizzee-rascal-fix-up-look-sharp-lyrics
Bonkers,Tongue n’ Cheek,2009.0,"I wake up everyday it's a daydream
Everythin' in my life ain't what it seems
I wake up just to go back to sleep
I act real shallow but I'm in too deep
And all I care about is sex and violence
A heavy bass line is my kind of silence
Everybody says that I gotta get a grip
But I let sanity give me the slip
Some people think I'm bonkers
But I just think I'm free
Man, I'm just livin' my life
There's nothin' crazy about me
Some people pay for thrills
But I get mine for free
Man, I'm just livin' my life
There's nothin' crazy about me
Bonkers
I wake up everyday it's a daydream
Everythin' in my life ain't what it seems
I wake up just to go back to sleep
I act real shallow but I'm in too deep
And all I care about is sex and violence
A heavy bass line is my kind of silence
Everybody says that I got to get a grip
But I let sanity give me the slip
Bonkers
Some people think I'm bonkers
But I just think I'm free
Man, I'm just livin' my life
There's nothin' crazy about me
Some people pay for thrills
But I get mine for free
Man, I'm just livin' my life
There's nothin' crazy about me
Mmm, yeah, I'm back in the floor now
I wake up everyday it's a daydream
Everythin' in my life ain't what it seems
I wake up just to go back to sleep
I act real shallow but I'm in too deep
And all I care about is sex and violence
A heavy bass line is my kind of silence
Everybody says that I got to get a grip
But I let sanity give me the slip
Bon, bon, bon, bon, bon, bon, bon, bon
Some people think I'm bonkers
But I just think I'm free
Man, I'm just livin' my life
There's nothin' crazy about me
Some people pay for thrills
But I get mine for free
Man, I'm just livin' my life
There's nothin' crazy about me
Bonkers
I wake up everyday it's a daydream
Everythin' in my life ain't what it seems
I wake up just to go back to sleep
I act real shallow but I'm in too deep
And all I care about is sex and violence
A heavy bass line is my kind of silence
Everybody says that I got to get a grip
But I let sanity give me the slip
Bonkers
Some people think I'm bonkers
But I just think I'm free
Man, I'm just livin' my life
There's nothin' crazy about me
Some people pay for thrills
But I get mine for free
Man, I'm just livin' my life
There's nothin' crazy about me
Mmm, yeah, I'm back in the floor now
Mmm, yeah, I'm back in the floor now
Mmm, yeah, I'm back in the floor now
Mmm, yeah, I'm back in the floor now",https://genius.com/Dizzee-rascal-bonkers-lyrics
Space,Raskit,2017.0,"""Discovery. Four computers now have primary control of critical vehicle functions.""
""Roger roll, Discovery""

Ain't no point in playin' it safe
Gotta know your role, better state your case
When it all falls down better know your place
Just gimme three feet and an ounce of
Space, space, space
Space, you should wanna embrace
Space, space, space
""Discovery. Go at throttle up.""

Rip up and ravage, make it a habit for damage
Whole lotta baggage, you will not manage, I'm the full package
Why do they talk like I am not established? That is so callous, they are the saddest
Why are they so full of malice? Making up fallacies, I'm in my palace blazing up the chalice with Alice
'Cause I'm a gyalist and I'm the baddest, it's not a travesty
Call me ""Your Majesty,"" sometimes it feels like world's on my phallus
Push out my chest and I big up my status
Where's all the trappers? Where's all the clappers?
I am not shaken, no need for maracas
Or apparatus, put in the work and spend money on motors and slappers
Why are we frontin' like it even matters?
Why do they make me feel guilty for gettin' this money like my soul's in tatters?
Sittin' here tryna realign my chakras
Driving me crackers, you bloody spackers should get off my knackers
Give me the gas and the matches, I've been through hell and I swallowed the ashes, running this ting for so long as it happens, I'm knackered
All of my enemies broken and shattered, sprinkling hate, they're all over the shop and they're scattered
Chatting my name till this day and I'm flattered, I am not easily rattled
Don't follow the cattle, so quiet your chatter or you will get battered
Can't find enough time to dine on these rappers, all of these MCs are looking like tapas
Fuck all the swine and their bodily gases, roll with the rastas, Babylon's calling me, nobody's fooling me
I do not roll with the masses, but big up the Junglist massive
I am not timid and I am not passive, messing with me? You must be on some acid
Don't want the racket, I will get erratic, all my problems disappear like it's magic
It'll be tragic

Ain't no point in playin' it safe
Gotta know your role, better state your case
When it all falls down better know your place
Just gimme three feet and an ounce of
Space, space, space
Space, you should wanna embrace
Space, space, space
Yeah, uh

Don't pet or pander, leave 'em hanging
I'll be damned, man to man
Hit him with an open hand, release the anger
WorldStar, you could get dealt with on camera
Understand my grammar, I don't stutter, lisp or stammer
Watch me blaze the beat, I must admit it hit just like a hammer
It's a banger for the mandem on the street and in the slammer
Bang your doors, bang your doors for the cause
Breaking laws, breaking jaws, open paws
Poker board, taking scores, and be sure
Never let a bredda get one over yours
Never put money over whores, maybe or it's crazy flawed, it's a myth, life's a gift, made me pause, catch my drift, smoke a spliff and get in them draws
Paid the cost to be the boss, ball and floss, Jesus died, he nailed himself into the cross
Still couldn't please these backwards shit cunts, why would I take a loss?
Giving a toss, know your worth, hold your turf, fuck the earth, and shake it off
Breddas on my line talkin' 'bout, ""Yo, Raskit, break me off""
They’re wafer soft, I'm taking off

""Three, two, one, zero, and lift off""
""Lift off of Kepler-41b. The first flight of the Orbiter Discovery and the shuttle has cleared the tower

Ain't no point in playin' it safe
Gotta know your role, better state your case
When it all falls down better know your place
Just gimme three feet and an ounce of
Space, space
Space, you should wanna embrace
Space, space, space

Alright, lift off and the clock has started
Yes sir, reading you loud and clear
Roger, Zero-T, and I feel fine, capsule is turning around
We choose to go to the moon in this decade and do the other things, not because they are easy, but because they are hard",https://genius.com/Dizzee-rascal-space-lyrics
Holiday,Tongue n’ Cheek,2009.0,"Get your passport and your bikini
You need a holiday, come see me
I know you're tired of the same old scenery
And I could change all that so easily
Don't worry 'bout a thing, girl, take a chance
I'll take you to the south of France
Like Cannes, and if anybody can, I can
We could both shop in the Milan
I just hope you understand
I hope you see it clear
It really don't matter how far or near
'Cause there's no distance
That could stop my persistence
Just a few days of the year
Plus I've got clout, so let's ride out
We ain't gotta fly, we can just drive out
We can have a rave or we can hide out
Won't tell nobody, let them find out

If you ain't doing nothing, let's fly away
Drive away, get away
We can go to the club or hide away
We can do what you want to, baby
If you ain't doing nothing, let's fly away
Drive away, take a holiday
We can go to the club or hide away
We can do what you want to, baby

Don't watch my passport photo, I know I look a bit loco
And I know that my Spanish is so-so
But let's try keep that on the low-low
Cause we're going Ibiza
I've got friends that really wanna meet ya
With champagne and a whole lot of reefa
It's all good darling, a Blue Marlin will please ya
And I'll never let your belly get empty
Even when your belly full you're still sexy
We can ride speed boats, we can ride jet skis
I'll show you the time of your life if you let me
I just want to put a smile on your pretty face
If I didn't it would just be your pretty waste
You do look like a girl with a bit of taste
So I couldn't take you just any place

If you ain't doing nothing, let's fly away
Drive away, get away
We can go to the club or hide away
We can do what you want to, baby
If you ain't doing nothing, let's fly away
Drive away, take a holiday
We can go to the club or hide away
We can do what you want to, baby

I know you're really busy and I know you got plans
But are you really too busy for a sun tan?
I ain't talking about walking down the high street
I'm talking about laying on a bright white beach
With a Pina Colada or whatever you'd rather
White wine, that's fine, just give me a lager
Then after we'll take a truck to the night spot
The hot spot, the top spot, party around the clock
And when we get there it's strictly VIP
No need for ID, security know me
No waiting in line, no high entry fee
Don't worry about nothing when you're beside me
I'll get you lively and loosen you up
Have a bit of champagne, it'll boost you up
I wanna move you up, I wanna take you away
So have a word, darling, what do you say?

If you ain't doing nothing, let's fly away
Drive away, get away
We can go to the club or hide away
We can do what you want to, baby
If you ain't doing nothing, let's fly away
Drive away, take a holiday
We can go to the club or hide away
We can do what you want to, baby",https://genius.com/Dizzee-rascal-holiday-lyrics
Love This Town,The Fifth ,2013.0,"New York, LA, Tokyo, Berlin, Miami, Rio, Milan, Ibiza
I love all these places, but there's no place like home
I love my city

I go hard in the city of London
I get a lot of love
, 
all smiles when I step in the function
I’m a local boy, I’m from the east side
Now I’m jet settin, I’m reppin, I’ll do it worldwide
When I was a kid there was a rough ride
Barely had the money for a bus ride, now I’m on the upside
Having a ball with all the breders I grew up with
A couple of women I’m in the club with
Bottle the bubbly, feeling lovely, women are hugging me
Nobody could tell me nothing and nobody can never trouble me
It’s all good, pure positive vibes
For the most part everybody’s just tryna live their lives
We’re not afraid to die, only the strong survive
You don’t know if you don’t try, the stakes are high
And it’s the city where I earned my crown
God knows that I love this town

The city lights are extra bright
They shine for us tonight
The streets are so alive right now
I fuckin' love this town
Let me buy you another round
And show you how my peeps get down
The streets are so alive right now
I fuckin' love this town

It’s just one big melting pot
Every creed colour and race, we got the lot
And I love to shop, there's not a brand that can't be copped
No more than a couple of stops
Where should I begin?
Might see me in the west side getting it in
Might see me on the north side getting a trim
South side of the river in a race car having a spin, I just win
And I’m never gonna lose with the city to guide me
Got the vibe of the city inside me and the streets are lively
Got a whole lot of love and I'm connect it
It’s 7 million people behind me, don’t try me
‘Cuz right now we’re gonna rave it up
Set the roof on fire and blaze it up
And we’re in it to win it
There’s no limit so we raise it up
We got the dancefloor shaking like, woo

The city lights are extra bright
They shine for us tonight
The streets are so alive right now
I fuckin' love this town
Let me buy you another round
And show you how my peeps get down
The streets are so alive right now
I fuckin' love this town

I fuckin' love this town

The city lights are extra bright
They shine for us tonight
The streets are so alive right now
I fuckin' love this town
Let me buy you another round
And show you how my peeps get down
The streets are so alive right now
I fuckin' love this town",https://genius.com/Dizzee-rascal-love-this-town-lyrics
