title,album,year,lyrics,urls
Paper Planes,Kala,2008.0,"I fly like paper, get high like planes
If you catch me at the border I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait
I fly like paper, get high like planes
If you catch me at the border I got visas in my name
If you come around here, I make 'em all day
I get one done in a second if you wait
Sometimes I think sittin' on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name
Sometimes I think sittin' on trains
Every stop I get to I'm clocking that game
Everyone's a winner, we're making our fame
Bona fide hustler making my name

All I wanna do is–, and a–
And take your money
All I wanna do is–, and a–
And take your money
All I wanna do is–, and a–
And take your money
All I wanna do is–, and a–
And take your money

Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system
Pirate skulls and bones
Sticks and stones and weed and bongs
Running when we hit 'em
Lethal poison for the system
No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going hard, just pumping that gas
No one on the corner has swagger like us
Hit me on my burner prepaid wireless
We pack and deliver like UPS trucks
Already going hard, just pumping that gas

All I wanna do is–, and a–
And take your money
All I wanna do is–, and a–
And take your money
All I wanna do is–, and a–
And take your money
All I wanna do is–, and a–
And take your money

M.I.A, third world democracy
Yeah, I've got more records than the KGB
So, uh, no funny business (Are you ready all?)
Some some some I some I murder
Some I some I let go
Some some some I some I murder
Some I some I let go

All I wanna do is–, and a–
And take your money
All I wanna do is–, and a–
And take your money
All I wanna do is–, and a–
And take your money
All I wanna do is–, and a–
And take your money",https://genius.com/Mia-paper-planes-lyrics
Bad Girls,Vicki Leekx,2010.0,"Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
My chain hits my chest when I'm banging on the dashboard
My chain hits my chest when I'm banging on the radio

Get back, get down
Pull me closer if you think you can hang
Hands up, hands tied
Don't go screaming if I blow you with a bang

Suki suki
I'm coming in the Cherokee
 gasoline
There's steam on the window screen take it, take it
Wheels bouncing like a trampoline
When I get to where I'm going, gonna have you trembling

Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
My chain hits my chest when I'm banging on the dashboard
My chain hits my chest when I'm banging on the radio

Oh back it
, back it
Yeah pull up to the bumper game
 read the signal
Cover me, cause I'm changing lanes
I had a handle on it
My life, but I broke it
When I get to where I'm going
Gonna have you saying it

Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
My chain hits my chest when I'm banging on the dashboard
My chain hits my chest when I'm banging on the radio

Get back, get down
Pull me closer if you think you can hang
Hands up, hands tied
Don't go screaming if I blow you with a bang

Going nought to bitch I'll see four million
Accelerating fast I can do this in a second
Lookin' in the rear view, swaggin' goin' swell
Leavin' boys behind ‘cause it’s illegal just to kill
Shift gear, automatic, damned if I do
Who's gonna stop me when I'm coming through?
What we got left is just me and you
But if I go to bed, baby, can I take you?

Get back, get down
Pull me closer if you think you can hang
Hands up, hands tied
Don't go screaming if I blow you with a bang

Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
Live fast, die young, bad girls do it well
My chain hits my chest when I'm banging on the dashboard
My chain hits my chest when I'm banging on the radio",https://genius.com/Mia-bad-girls-lyrics
Borders,AIM,2015.0,"Freedom, 'I'dom, 'Me'dom
Where's your 'We'dom?
This world needs a brand new 'Re'dom
We'dom - the key
We'dom the key'dom to life!
Let's be 'dem
We'dom smart phones
Don't be dumb!

Borders (What's up with that?)
Politics (What's up with that?)
Police shots (What's up with that?)
Identities (What's up with that?)
Your privilege (What's up with that?)
Broke people (What's up with that?)
Boat people (What's up with that?)
The realness (What's up with that?)
The new world (What's up with that?)
Am gonna keep up on all that

Guns blow doors to the system
Yeah fuck 'em when we say we're not with them
We're solid and we don't need to kick them
This is North, South, East and Western
Guns blow doors to the system
Yeah fuck 'em when we say we're not with them
We're solid and we don't need to kick them
This is North, South, East and Western

Queen (What's up with that?)
Killing it (What's up with that?)
Slaying it (What's up with that?)
Your goals (What's up with that?)
Being bae (What's up with that?)
Making money (What's up with that?)
Breaking internet (What's up with that?)
Love wins (What's up with that?)
Living it (What's up with that?)
Being real (What's up with that?)

Guns blow doors to the system
Yeah fuck 'em when we say we're not with them
We're solid and we don't need to kick them
This is North, South, East and Western
Guns blow doors to the system
Yeah fuck 'em when we say we're not with them
We're solid and we don't need to kick them
This is North, South, East and Western

We representing peeps, they don't play us on the FM
We talkin' in our sleep, they still listen on a system
We sittin' on a stoop
Where we get a scoop
This is how we keep it cool
This is how we do
We representing peeps, they don't play us on the FM
We talkin' in our sleep, they still listen on a system
We sittin' on a stoop
Where we get a scoop
This is how we keep it cool
This is how we do

Egos (What's up with that?)
Your values (What's up with that?)
Your beliefs (What's up with that?)
Your families (What's up with that?)
Histories (What's up with that?)
Your future (What's up with that?)
My boys (What's up with that?)
My girls (What's up with that?)
Freedom (What's up with that?)
Your power (What's up with that?)

Guns blow doors to the system
Yeah fuck 'em when we say we're not with them
We're solid and we don't need to kick them
This is North, South, East and Western
Guns blow doors to the system
Yeah fuck 'em when we say we're not with them
We're solid and we don't need to kick them
This is North, South, East and Western

We representing peeps, they don't play us on the FM
We talkin' in our sleep, they still listen on a system
We sittin' on a stoop
Where we get a scoop
This is how we keep it cool
This is how we do
We representing peeps, they don't play us on the FM
We talkin' in our sleep, they still listen on a system
We sittin' on a stoop
Where we get a scoop
This is how we keep it cool
This is how we do

Gonna keep up on all that
Gonna be doing it like that",https://genius.com/Mia-borders-lyrics
Bring the Noize,Matangi,2013.0,"Dem-dem-dem-free-freekdem
Dem-dem-dem-free-free-dem

I’m so tangy, people call me Mathangi
Goddess of word, bitches I’mma keep it banging
Truth is like a rotten tooth, you gotta spit it out!
Let the bottom two, let my wisdom work it out
Big on the underground, can’t knock me down
Vicki Leekx bitches, back by dope demand
I sleep on my talent and I stand by it too
I can say lots with a little words or few like
Like Adam had 'em, yeh, me, the madame
Yeah I’ll introduce you to the dooms do dooms
Come let we go, do you like my perfumes?
Made it at home with some gasoline and shrooms
Oil and water are two extremes
We like fucking carpets, you fucking brooms
Why is your tattoo some ugly looking thing?
I got many designs they're downloading on Bing
My cousin got his G.C.S.E.'s decorating
He’s handy you might need him when I finish what I’m saying
Let's be frank, you my stan, I'm your stan
I don’t care what you smoke, what you fucking drank
I'm allowed to be pissed at mates who are yanks
Cause it’s not me and you, it's the fucking banks!

Bring the noise when we run upon them!
Bring the noise when we run upon them!
Bring the noise when we run upon them!
Bring the noise when we run upon them!

Dem-dem-dem-free-freekdem
Dem-dem-dem-free-free-dem

Truth is like a rotten tooth, you gotta spit it out
I left the bottom two, let my wisdom work it out
The world is ours, send your soldier powers
These words I announce, hope you heard 'em like cows
Alpha Kenny buddy, Roger, Charlie, and Rich
Bitch, my swag bitches, but you can’t touch this
So click, click, click, please get off my dick
Just ‘cause I know more don’t make me thick
I'm a overweight, heavyweight, female Slick Rick
If you need the trees then my shits got stick
I got bug spray, bucket, stick
Tons of the fun stuff, tons and tons of it

Bring the noise when we run upon them!
Bring the noise when we run upon them!
Bring the noise when we run upon them!
Bring the noise when we run upon them!

Dem-dem-dem-free-freekdem
Dem-dem-dem-free-free-dem

My nan was a stan for imported liquor brands
72 bottles at her birthday got drank
I must say people I got her to freaking thank
I'm a party fucking animal, if you ain't, scram!
My uncle jumped a boat, it took him to Iran
What started as a life now it got him banned
So I came in a hurry, not a white van
Learnt that Sam, Ram, Chan, are the same man
Corrugated iron wooden shacks
Gated mansions next to XX
Boys on motor bikes next to Maybachs
We got backpacks next to cats from Kyzack
Ex-convicts and diplomats
Rapper and Russians who don't pay tax
These cards are stacked and this is out crack
Rewind, pull it, and bring it all back

Bring the noise when we run upon them!
Bring the noise when we run upon them!
Bring the noise when we run upon them!
Bring the noise when we run upon them!

Dem-dem-dem-free-freekdem
Dem-dem-dem-free-free-dem

Freedom’s just another word
Choose
Nothing left to lose
Choose
Freedom’s just another word
Choose
Nothing left to lose
Choose
Freedom’s just another word
Choose
Nothing left to lose",https://genius.com/Mia-bring-the-noize-lyrics
Y.A.L.A.,Matangi,2013.0,"YALA
YALA

Go low, go slow
Roll like a pollo
Up and down a pole
Like you’re glowing up a yo-yo
Go low, go slow
Roll like a pollo
Up and down a pole
Like you’re glowing up a yo-yo

Yeah yeah, YOLO
Yeah yeah, YOLO
Alarms go off when I enter the building

YALA
YALA
YALA

I drink some Cointreau
Keep it in my poncho
Light up like Castro
Blow it up from get go
Pro when I set, go
Grow like an afro
Play like Ronaldo
Hard like I'm Death Row
Weight in kilo
Light as a pillow
Dance on my tip-toe
Like I tae-box though

Yeah we come come come
Yeah we come with some some
Get a glass of rum
With a gun and some pun pun
Oh fun fun fun
Let's get 'em undone
Take a hit on the bong
It’s been so long since we hung

Go low, go slow
Roll like a pollo
Up and down a pole
Like you’re glowing up a yo-yo
Go low, go slow
Roll like a pollo
Up and down a pole
Like you’re glowing up a yo-yo

YALA
YALA

Anti war war
M.I.A. underscore
I got the law law
Searching for me on tour
Bankin offshore
Take a trip to Singapore
I need to earn like
I'm Julianne Moore
For the hour poor
Don’t wanna ignore
That’s why I say shit
So they can explore
My baby, I amore
My mommy I adore
I tried to stay pure
Can’t take it anymore

Yeah we come come come
Yeah we come with some some
Get a glass of rum
With a gun and some pun pun
Oh fun fun fun
Let's get 'em undone
Take a hit on the bong
It’s been so long since we hung

Go low, go slow
Roll like a pollo
Up and down a pole
Like you’re glowing up a yo-yo
Go low, go slow
Roll like a pollo
Up and down a pole
Like you’re glowing up a yo-yo


YALA
YALA
YALA

YALA, YALA
I’m rolling solo
You can't take a photo
I’mma keep it raw raw

YALA
YALA

Yeah we come come come
Yeah we come with some some
Get a glass of rum
With a gun and some pun pun
Oh fun fun fun
Let's get 'em undone
Take a hit on the bong
It’s been so long since we hung

Go low, go slow
Roll like a pollo
Up and down a pole
Like you’re glowing up a yo-yo

YOLO? I don’t even know anymore, what that even mean though
If you only live once why we keep doing the same shit
Back home where I come from we keep being born again and again and again
That’s why they invented karma",https://genius.com/Mia-yala-lyrics
Double Bubble Trouble,Matangi,2013.0,"UH OH you’re in trouble
I step up in the game and I burst that bubble
UH OH you’re in trouble
I step up in the game and I burst that bubble
UH OH you’re in trouble
I step up in the game and I burst that bubble
Bought up a baby in a bandana
I boarded a boeing eating a banana
Bounce on the bed
Battling with heads
It’s based on a story that nobody read
(people see me as trouble see me see me as trouble)
See me see me as trouble
UH OH
(people see me as trouble see me see me as trouble)
See me see me as trouble
COZ I got a reputation
GOT A GOT A reputation
And I got a reputation
GOT A GOT A reputation
Played in the park
Packed with piranhas
I jump in puddle
Singing NIRVANA
Passed by the past and I end at the start
Now I’m living the life and I’m gonna raise the bar
Do you know my name
Do you know my number
Do you know by summer I will make you a member
I know you're busy running round with Linda
If I don’t get you now then I’ll get you by december
You're dancing styles out dated like tinga
These girls in caps MAMI snap your finger
I drift in deserts from bumper to bumper
We can rock a dress or we can rock a jumper
You want that pain so I set you on fire
These girls are high but I take you lot higher
So get your beer it’s tiger or corona
We throw up heat like a bunsen burner!
You know my badman style
Coz I’m from Lanka
Eat up a falafel
Say danke danke
If I’m in street fighter
I’ll be like blanka
Roll like a ball and I’ll bleed you like a banker
Do you know my name name name name name name
MIA",https://genius.com/Mia-double-bubble-trouble-lyrics
Matangi,Matangi,2013.0,"It’s so simple get to the floor
It’s so simple get to the floor
It’s so simple get to the floor
It’s so simple get to the floor
It’s so simple get to the floor
It’s so simple get to the floor
It’s so simple get to the floor
It’s so simple get to the floor
It’s so simple get to the floor
It’s so simple get to the floor

Immina immina thana thana
Ingana ingana giiina giiina
Matangi

Somalia
 
Bosnia
Cuba
 
Colombia
Ecuador
 
Mexico
Bhutan
 
Morocco
Botswana
 
Ghana
India
 
Serbia
Libya
 
Lebanon
Gambia
 
Namibia
Bali
 
Mali
Chile
 
Malawi
Bequia
 
St Vincent
Trinidad
 and 
Norway
China
 
Canada
U.S.A.
 
U.K
Nepal
 
Nigeria
Ethiopia
 
North K.
 
Myanmar
 
Panama
Philippines
 
Nicaragua
Palestine
 and 
Greece
Peru
 and 
France
It's so simple do the dance

Pretty raw
Get to the floor
Came up listening to war war
Weekend breaks in Singapore
Preach like a priest
I sing like a whore
Do you want more?
Do you want more?
Do you know what I got in store?
Do you want more?
Do you want more?
It’s so simple get to the floor

Immina immina thana thana
Ingana ingana giiina giiina
Matangi
It’s so simple get to the floor
Do you want more?
Do you want more?
Do you know what I got in store?

Immina immina thana thana
Ingana ingana giiina giiina
Matangi

I'm ice cream
And you're sorbet
They got guns but it points the wrong way
Yeah I’m on it they cirque de soleil
They make big sounds with nothing to say
School of fakeness
I’m school of hard knocks
You're here to fool us
I’m here to take shots
Look-alike, copycat
Doppelgänger
, fraud
They ain't got nothing on me
Now I’m getting bored
If you're gonna be me you need a manifesto
If you ain't got one you better get one presto
Yeah you got money we sell bootlegs only
When the shit counts our numbers way plenty
We started at the bottom but
 Drake 
gets all the credit
Paper route or life route yeah we be ready

Immina immina thana thana
Ingana ingana giiina giiina
Matangi",https://genius.com/Mia-matangi-lyrics
Exodus,Matangi,2013.0,"Come on this exodus

Do you want to come on this exodus?
If you got swag, fuck with us
And do you wanna ride like a crusader?
You ain't gotta Christian Dior (christ endour)
My blood type is no negative
But I'm positive that I'm too deep
Switch the light on when we hit the sheets
Truly what I see is all I keep
I see you stacked chicks their views are blocked in
When I help 'em you say broke in
I see you locked in you say I don't let you in
How come all this drama's still trending

Baby you can have it all
Tell me what for
Baby you can have it all
Tell me what for

New frontier I got news from there
Let's sail it to a new frequency
I left the graveyard selling full of fancy
Bring your homie with transparency
My blood type is no negative
But I'm positive the dark ain't deep
Just switch your light on when we hit the streets
Truly what I see is all I keep
My sights are set in higher times
And my eyes can see in 3D
Make it bright and I see 360
I can get you, but you can't get me

Baby you can have it all
Tell me what for
Baby you can have it all
Tell me what for

Yeah you keep on telling me you wanna have it all
Tell me what for
Yeah you keep on telling me you wanna have it all
Tell me what for

Cash and Kashmir, gold in Zaier
I got a new want from over there
You can drink a mint tea by the Red Sea
As you're living out whose fantasy
Yeah the sun the moon are both
Hitting the hood and the heat's too hot to be cool
Yeah I'm sailing my bed to a better man school
And it's two in the afternoon
We already bullet-proof we got a big crew
And we're running on a force that's true
We don't fear you wear up-to-date shoes
Or fall for the point of view

Baby you can have it all
Tell me what for
Baby you can have it all
Tell me what for

Yeah you keep on telling me you wanna have it all
Tell me what for
Yeah you keep on telling me you wanna have it all
Tell me what for

What d'you want it all for?
What d'you want it all for?",https://genius.com/Mia-exodus-lyrics
Go Off,AIM,2016.0,"No focus lost, I concentrate
And now you got it wrong
No focus lost, I concentrate
And now you got it wrong

People love position
So I stay way up on a level
Like my name is Neymar and you know I’m not normal
There is no competition
I’m gonna talk and you gonna listen
I’m on ten like men, even better than them
Yeah I don’t lose focus like a German called Sven
My third eye’s open and my focus ain’t joking
Yeah You got  it wrong, cause my focus is so strong

Run-pama pama pa-pama pama pama
No focus lost, I concentrate
And now you got it wrong
Go off on em
Go off on em
No focus lost, I concentrate
And now you got it wrong

Yeah I’m pressing buttons
Dropping pins on positions
Cause my words go far
And this rain is so foreign
You blow the place I live in while
Watch I could keep it going
Go off on em
Go off on em
So check up on your messages
Know what the message is
Like aliens in villages
We’re here for all ages
Fans back home
Got my tracks bang on
Yeah you got it wrong
Cause my focus is so strong

Run pama pama pa-pama pama pama
No focus lost, I concentrate
And now you got it wrong
Go off on em
Go off on em
No focus lost, I concentrate
And now you got it wrong
Go off on em
Go off on em
No focus lost, I concentrate
And now you got it wrong

At least you tell your children I came from London
Start talking about me long time like she was random
When I was in your life fella, I was hella bomb
But I had to go off just to stay strong

Run pama pama pa-pama pama pama
No focus lost, I concentrate
And now you got it wrong
Go off on em
Go off on em
No focus lost, I concentrate
And now you got it wrong
Go off on em
Go off on em",https://genius.com/Mia-go-off-lyrics
Sexodus,Matangi,2013.0,"Come on a sexodus
Come on a sexodus
Come on a sexodus
Come on a sexodus

Do you want to come on thi sexodus?
If you got swag, fuck with us
And do you wanna ride like a crusader?
Me, I'm not a Christian girl
My blood type is no negative
But I'm positive that I'm too deep
Switch the light on when we hit the sheets
Truly what I see is all I keep
I see you stacked chicks their views are blocked in
When I help 'em you say you broke in
I see you locked in you say I don't let you in
How come all this drama still trending

Baby you can have it all
Tell me what for
Baby you can have it all
Tell me what for

New frontier I got news from there
Let's sell it to a new frequency
I left the graveyard selling full of fancy
Bring your homie with transparency
My blood type is no negative
But I'm positive the dark ain't deep
Just switch your light on when we hit the streets
Truly what I see is all I keep
My sights are set in higher times
And my eyes can see in 3D
Make it bright and I see 360
I can get you, but you can't get me

Baby you can have it all
Tell me what for
Baby you can have it all
Tell me what for

Yeah you keep on telling me you wanna have it all
Tell me what for
Yeah you keep on telling me you wanna have it all
Tell me what for

Cash and Kashmir, gold in Zier
I got a new one from over there
You can drink a mint tea by the Red Sea
As you're living out whose fantasy
Yeah the sun the moon are both
Hitting the hood and the heat's too hot to be cool
Yeah I'm sailing my bed to a better man school
And it's two in the afternoon
We already bullet-proof, we got a big crew
And we're running on a force that's true
We don't fear you, wear up-to-date shoes
Or fall for the point of view

Baby you can have it all
Tell me what for
Baby you can have it all
Tell me what for

Yeah you keep on telling me you wanna have it all
Tell me what for
Yeah you keep on telling me you wanna have it all
Tell me what for

What d'you want it all for?
What d'you want it all for?",https://genius.com/Mia-sexodus-lyrics
