title,album,year,lyrics,urls
Break Up (The OJ Song),MURS For President,2008.0,"I wanna hear your voice but I don't want you to call
I wanna see you, girl, but not see you at all
I wanna make up, but I still want to fight
I wanted to break up but it just don't feel right
""Sitting here waiting on you""

I hate you, you hate me, but still can't escape ""we""
And all the bullshit we've been going through lately
Heart broke, lovestruck
Telling y'all, ""It ain't me.""
Life without you, girl, is something that I can't see
I ain't gon' lie, say, ""I don't get lonely""
But there's only so much, I could kick it with the homies
And somebody told me that you already moved on
I broke up with you, you ain't supposed to get your groove on
Not now, at least wait a couple weeks
Got me looking like a chump with my business in the streets
Been a couple weeks, but it feel like you still there
No matter how I clean, I'm still finding your hair
Or some shit you forgot, or I'm standing in that spot
Where you came so hard, I didn't think that you would stop
But, quiet as it's kept, I know you miss me just a little
Washed my sheets when you left but still smell you on my pillow

And everything I do, it reminds me of you
And everything I see, it reminds me of ""we""
And every time I lust, it reminds me of us
Girl, I wanna stay together cause I hate breaking up

You ain't call me last night, what you trying to be? Strong?
You'll call yourself stupid when you finally hear this song
Cause I would've took you back, I was waiting to, in fact
All you had to do was holler, girl, I would've just collapsed
And fell into a trap and started to relapse
And your ass never called so it just never happened
Now I'm thinking Jasmine, Tanya, Cheraine
Some ex's I can call that'll probably ease the pain
I tried to follow through, but I wound up calling you
Hanging up before a ring, girl, it's really all on you
But you wanna get into it, make me mad, push my buttons
Got us tripping over little stuff that don't mean nothing
I'm sick of the suffering, the fighting, the fussing
What happened to the love in the late night discussions
'Bout children, and family, the future, the plan
And now it's all over cause you couldn't understand me

And everything I do, it reminds me of you
And everything I see, it reminds me of ""we""
And every time I lust, it reminds me of us
Girl, I wanna stay together cause I hate breaking up

Started missing you again last night
'Til I remembered all the reasons that your ass love to fight
It's like, dude
I really wanted this to work
But you, had to get your shit together first
And what's worse
I really wanted you to stay
But I needed you to leave cause we was fighting everyday
All right, not everyday, I know that's a lot on it
We was supposed to be companions
We was more like opponents
Don't this song make you wanna do it one more time?
Could I still be the only dude that's on your mind?
I'm too proud to beg, but I'm hoping that you not
I would take you back quick, girl, without a second thought
But I'm caught up in my pride and I can't make the call
Didn't want to break up, just a break, that's all
It's been a long time, I know I probably shouldn't have left you
Cause your the only woman that I wanna sleep next to

And everything I do, it reminds me of you
And everything I see, it reminds me of ""we""
And every time I lust, it reminds me of us
Girl, I wanna stay together cause I hate breaking up
You say you're sick of me and I say I'm sick of you
But we crazy 'bout each other, girl, what we gon' do?
Said I needed you to leave, but I hate to see you go
Can't make up my mind, girl, I just don't know
I wanna make this work but I'm sick of the struggle
Girl, what I gotta do to make you realize I love you?
I ain't gon' lie, sometimes I just don't feel you
But find another man, and I just might kill you
""Sitting here waiting on you""",https://genius.com/Murs-break-up-the-oj-song-lyrics
Remember 2 Forget,"Love & Rockets, Volume 1: The Transformation",2011.0,"So, I don't know
Its like, you ever wish you had any amnesia, amnesia?
You know like you could forget whoever it was that ruined it for everyone else?
That one person, if you could just forget them, like you would have a happier life?
Huh, Remember

I keep forgetting to remember to forget
All the lies, and all the bullshit
All the reasons that we had to call it quits
Pieces to our puzzle that never seem to fit
Started out fast and ended so quick
For weeks on end I was so sick
So the next time I start to reminisce
Remind me to remember to forget

Last night I sat down to cry, over you
Then I stopped and asked myself ""Why? Over you?""
Then snapped out of it and got on with my day cause
My life been a lot better since the break up
You was only bringing me down
It was nothing but drama when I bring you around
All that attitude, so disrespectful
When I was with you my life was so stressful
Every little thing turned into an argument
We yelling till we don't even remember what started it
I wanted no part of it, I had to move on
Packed my bags headed straight to Tucson
And with you gone, now there's room for
Laughin', smilin' things I need to do more
Lets think about what we could've been
After all you put me through, I'll never be with you again


I quit you, you can't quit me
I was the one that set you free
Oh I see, you got somebody new
Do they know that you can never be true?
That they would never get to know the real you?
'Bout all the scandalous things you like to do?
Do they know you still call me and text me
Run back to me whenever things get messy?
I suggest we continue on our separate path
And quit telling me I'm the best you ever had
I knew that then, I know that now
But once you upgrade you can't go back down


Remind me, remind me, remind me
Someone remind me
Remind me, remind me, remind me
Somebody remind me",https://genius.com/Murs-remember-2-forget-lyrics
The Pain,Murs 3:16: The 9th Edition,2004.0,"The rain - rain - (rain) - on my face
In the rain - rain - to hide my pain - on my..
Hey I like to go out in the rain - rain - (rain)
On my face - in the rain - rain - to hide my pain - on my..
Hey I like to go out in the..

See I'm a single black male, dark hair, dark eyes
Long walks through a park and a lot of them lies
I'm a little bit jaded by a lot of what I see
So if you're still interested you should come get at me
Cause I'm tired of getting shot down, put down and dissed
I wanna be picked up, held tight and kissed
But things like these don't happen to dudes like me
Because I'm more Coldplay than I am Ice-T
They say that good girls love bad guys and that might be
But a bad girl with a good guy, that's unlikely
So what's a man to do to get to hold hands with you?
Do I talk shit and stand and look hard with my crew?
I don't know what to do, so I drown in my drink
It helps to numb the pain, cause when I sit and think about it
Eyes get clouded, thoughts get crowded (thoughts get clouded)
So I'mma sit right here, wait for you to talk about it
In the.. c'mon

Said she had a boyfriend, just trying to be nice
But I've heard the same lines from different women all night
Too easy let down, but don't let it get you down
Shit, that's what my boys told me, but end of the night
I was still sitting lonely, if only I could find 'em
Without all the drama, without the one-liners
Excuse me miss, hey mam, you got a man, what's ya name?
I'm in my mid-twenties so enough with the games
Simply put I think you're stunning, and what about some kids?
A couple dogs, a couple cars, a four bedroom crib?
Look, I'm not trying to jib, I'm just speaking from the heart
But we can start with a drink if you wanna play it smart
She looking at my boy who got two kids at home and
I know how it goes, here's his number telephone and
He does the girl's turf, and I know you're smelling on him
But every bitch needs a dog, so I guess that's why you want him

I try to be subtle, but even flirting got me shooked
I would never get a smile, all I got was dirty looks
And my self-esteem is low enough, I got teased growing up
And what I do, I beat 'em up, but that only made me tough
It didn't get me girls, or notes in class
Same girls who used to tell, when I would pinch their ass
But if another boy did it, then they would get gritty
So I pretended the handball was their face when I hit it
And I admit it's part the reason why I'm do em like I do
And women in my life, there has only been two
My mother being one, and the other one is done
So my philosophy on dating is; ain't no fun
Cause they come and they go, and even if they don't cum
They still have to go, girl I give the best head
But you just wouldn't know, cause you stuck up in some diddy
But even if you dissed me, I ain't mad
Go on do that yo with yo pretty as..
You looked better coming..
No wait, you looked better going than you did coming
Her ass is amazing. High five for Jesus
Keep making 'em like that
Just make 'em with half a brain so maybe they'll talk to me",https://genius.com/Murs-the-pain-lyrics
1st Love,MURS & The Misadventures of the Nova Express,2008.0,"I grew up on Wonder Years. She was Saved by the Bell
I was Boyz in tha Hood. She was ATL
Used to sell weed to her roommate, that's how we met
Old girl didn't smoke, but she had jokes on deck
No disrespect. It's just the way it was
She clowned cause I was broke and always said Cuz
I would clown her for always saying Shorty and Yall
She smiled every time I did my little Southern drawl
Calls became frequent, we'd hang out on the weekend
Started feeling like she's the one Ive been seeking
Didn't take it far. Third base at most
Never sealed the deal, but came real close
I knew that if I hit it, I would have to stay committed
And I was young, 21, man I just wasn't with it
Knew what was coming, and you can't run from it
When a feelings that strong between a man and a woman

She said she wanted more than a friendship
But I wasn't willing to bend
I said I wanted friends with benefits
But I was only trying to pretend
I didn't want you (want you), need you (need you)
Really wanna make you mine
I would never mislead you, look at how I treat you
But girl, you gotta give me some time
So the first time we did it, it was alright
But soon I was creeping to her room every night
Something like magic, I felt I had to have it
Just the right fix to kick my chick habit
You know its always better when youre lovers and close friends
It started getting deep. I kind of felt closed in
I went out and made a stupid mistake
I stopped returning calls, went on a few dates
Of course it got back to where I knew she'd be hurt
But she didn't even trip and that made me feel worse
She showed me all that love after I did her dirt
Now I'm feeling like Im the scum of the earth
She left for break, and didn't leave her number
I thought about her every single day that summer
A sucker, for trying to keep it on the under
Said next time I see her, I'mma tell her that I love her

She said she wanted more than a friendship
But I wasn't willing to bend
I said I wanted friends with benefits
But I was only trying to pretend
I didn't want you (want you), need you (need you)
Really wanna make you mine
I would never mislead you, look at how I treat you
But girl, you gotta give me some time
Woulda swore I was student the way I was waiting
For the new semester to begin
The very 
next
 day I ran up to campus
And ran into one of her friends
I made small talk; I didn't want to seem lame
Or too anxious, but when I said her name
The tears came. She started to break down
I can still see the look on her face now
Through the tears, I could hear Drunk driver
Crash, accident, there were no survivors
She trying to continue to describe it
But just couldn't take it and she ran off crying
Lying if I said I wasn't filled with regret
I cried for three hours sitting down on them steps
But even though youre gone, your memory lives on
And for all I did wrong, I dedicate this song
To my first love
This for my first love",https://genius.com/Murs-1st-love-lyrics
Bad Man!,Murs 3:16: The 9th Edition,2004.0,"Ready?
Uh-huh
A'ight...
After tonight
Don't leave your girl round me, heartbreaker for life
Ask my homeboy 9th

Got all your girlfriends thinkin' that I'm the (Bad Man!)
Never neglected you or disrespected you
Or lied to have sex, yet you say I'm the (Bad Man!)
Gave you dick, never fronted, pulled your hair when you wanted
Used to flip you on your stomach, said you wanted a (Bad Man!)
Now it's all drama, an unidentified caller
On the phone with my momma talkin' bout I'm a (Bad Man!)
How could somethin' so bad be so damn good?

All I wanted was to fuck, from the start I never lied
Now it hurts my heart to have to see you cry
Let you know from the jump, I was that type of guy
Now you all on my voice mail askin' me why
Never kissed you in public and I never held your hand
I never said I loved you so I never was your man
How can we break up when we never broke down
And committed to each other? We was fuckin' around
That's how people get hurt, and we both do dirt
Now we could put this all behind us and make things work
Or I could get behind you cause I like that skirt
Sorry 'bout that, got a one track mind
But if you say you don't wanna fuck me too, then you lying
Tryna fight it girl, shit bring your ass here
Who else can make you wet by doin' this in your ear
(See why you playin', all that bullshit you sayin')

Got all your girlfriends thinkin' that I'm the (Bad Man!)
Never neglected you or disrespected you
Or lied to have sex, yet you say I'm the (Bad Man!)
Gave you dick, never fronted, pulled your hair when you wanted
Used to flip you on your stomach, said you wanted a (Bad Man!)
Now it's all drama, an unidentified caller
On the phone with my momma talkin' bout I'm a (Bad Man!)
How could somethin' so bad be so damn good?

She got me screamin' in public, in the middle of the mall
I lightly touch her arm, what'd the bitch do?, fall
Now they call security, it's about to be drama
I would never hit a woman, I was raised by my momma
But I kinda feel bad even though I didn't do shit
Now I gotta waste time to find a new chick
Someone who understand a man's gotta be a man
I don't wanna have to lie just to get into your pants
And ain't nothin' wrong with a one night stand
That happens twice a week, plus I'm nice in the sheets
And you look like a freak, it'll be to your benefit
A nigga you can fuck, and a nigga you can kick it with
I'm sick of this phone tag text message foreplay
I like to be spontaneous, that's my forte
Let's go to my crib and have, sex in the door way
We'd talk all night if you had things your way

Got all your girlfriends thinkin' that I'm the (Bad Man!)
Never neglected you or disrespected you
Or lied to have sex, yet you say I'm the (Bad Man!)
Gave you dick, never fronted, pulled your hair when you wanted
Used to flip you on your stomach, said you wanted a (Bad Man!)
Now it's all drama, an unidentified caller
On the phone with my momma talkin' bout I'm a (Bad Man!)
How could somethin' so bad be so damn good?

She said this might make me look like a knight in shinin' armor
Great way to escape or get away from the drama
So I got a little momma, first, had to disarm her
Said she heard about us rappers, I still got to charm her
I'mma tell you what you wanna hear and make it the truth
Haven't been with a woman since I left Kamloops
Two months ago in Canada, ask my road manager
He'll tell you I'm a good guy, I wouldn't lie to you
Just because you look fly, look my bus cards are new
We'll shoot to my room, make the best out of twelve hours
We can wash that club smell out your hair in the shower
Turn down the power, lie down and make spoons
Or we can talk all night and listen to iTunes
You assume this the game that I spit to every girl
But I'm careful with my heart and who I let up in my world
(So, here's my number, call me anytime girl)

Just because I'm a musician she must think I'm a (Bad Man!)
All alone when she listens and I know what she's wishin'
But she won't pay attention cause she thinks I'm a (Bad Man!)
It's not as bad as you think, cause you had a few drinks
I'll hold you hair out the sink, you still think I'm a (Bad Man!)
I don't do this all the time, you are just that fine
Get that shit out your mind, I am not the (Bad Man!)
 (x3)
Bad Man!",https://genius.com/Murs-bad-man-lyrics
Everything,MURS For President,2008.0,"One, two
She was only fifteen, in love with bad R&B
She had to have vision because she saw the star in me
Encouraged me to write about the drama in my life
To most it seemed strange like something wasn't right
I used to fall a victim to them lunch room comedians
Something like an Outkast, started smokin' weed and then
I sorta fell into my own
Kinda felt at home when behind a microphone
But on the bus ride home
That didn't mean a thang
Harassed by thugs, on the corners they would hang
I got banged on
I got beat down
Carrying a golf club, walking up the street now
They respect me
They call me crazy
At least I'm not gettin' punked out on the daily
And when I look back I wouldn't change a thing at all
Where do you think I found the strength to be speakin' to y'all?

I take everything
Your hopes and your dreams and your hate and your lies
Mmm, mmm, mmm, in this life
I'll join everyone
From the old and the wise to the young as they fly
Ooh, when I die

God is love then hatin' is Satan
Zen-type patience, got me sittin' here waitin'
On the day when it's okay to love
When black men won't pretend that they are thugs
When teachers and doctors are treated like celebrities
You can get a job even if you got a felony
Check out my melody, let's live in harmony
We in this together, no man has autonomy
No man is an island, immune to the violence
This rap race is no place to raise a child in
What's wrong with smilin'? What's wrong with peace?
What's wrong with squashin' beef before they label you deceased?
Swallow your pride before you choke on your issues
I know you got family and folks that'll miss you
So don't misuse this gift you've been given
This life's but a dream you are blessed to be livin'

I take everything
Your hopes and your dreams and your hate and your lies
Mmm, mmm, mmm, in this life
I'll join everyone
From the old and the wise to the young as they fly
Ooh, when I die

And basically man, I'm just a dude who tries to do right
You know I try to make my tomorrows better than my yesterdays
Without hurting anyone else in the process
Cause if you leave the world a better place than it was when you got here, then we all win

Now, there's birth and there's death but the space in between
Is where the journey takes place and you give it all meaning
There's waitin' on us all, there's no need to pretend
No freedom in the feeling when you’re fearing the end
All good things come to it, walk, don't run to it
At times you want to end it all yourself, don't do it
Be original, be different
Be the one that stand up and shocks this system

I take everything
Your hopes and your dreams and your hate and your lies
Mmm, mmm, mmm, in this life
I'll join everyone
From the old and the wise to the young as they fly
Ooh, when I die
I take everything
Mmm, mmm, mmm, in this life
I'll join everyone
Cause all men die",https://genius.com/Murs-everything-lyrics
It’s Over,The Final Adventure,2012.0,"What up to Finn the human
What up to Jake the dog
What up to my ex, I hate it when you call
When I said goodbye, you must have thought that I was kidding
I was so serious, I wasn’t bullshitting
Did I forget to mention, there is no take backs
But now you see me happy, I know you hate that
You could be happy for me, that would be sort of strange
But hey, yay for you, I’m glad you changed
I’m sure someone else will find it real appealing
But in my life story, you chose to play the villain
No hard feelings, I wish you much success
I wish we could be friends but you’re a fucking mess
And I don’t need the stress, all I need is closure
And maybe I’ll evolve, but that’s when I get older
But now it's over, I told you to kick rocks
And keep your thirsty ass outta my inbox


This is the last time, it's over friends
Never been done before, never done again
Y'all already know how much fun it's been
So party on and we catch you on the other end
This one's for you
So party on and we catch you on the other end
Word up to Rapsody, word up to Ab-Soul
You ain't on Paid Dues? so I'm an asshole
I really wish I could put everybody on, kid
You don't like it, motherfucker get your own shit
That's what I did, and it worked for me
And now we're working on our eighth anniversary
So do you know what today is
It's the day you get up off your ass and make yourself famous
I don't owe you nothing, why you got your hand out
Why would I put food in a grown man's mouth
Ain't my fault your career didn't pan out
When I ignore you then you wanna go the Stan route
When your family outnumbers your fans
And you been trying, giving all that you can
It might be time for your ass to change plans
Homie, it's over you just don't understand that it's over

This is the last time, it's over friends
Never been done before, never done again
Y'all already know how much fun it's been
So party on and we catch you on the other end
So party on and we catch you on the other end
What up to The Beatles, what up to New Edition
The true greatest groups ever, look people listen
And if you listening, if you tuned in
It's been an epic saga, a tale of two friends
Two men with a passion for their craft
Met at North Carolina and they started on this path
They had some laughs, made a lot of cash
They would fight a little bit but they would put it in the past
As time passed, they became brothers
And they never let the game make em turn against each other
One did beats, one did rhymes and
Once it was complete, then they knew that it was time
They say that all good things must come to the end
The Wire, The Sopranos, Seinfeld, and Friends
That's all folks, that's all that she wrote
It's over and it's finished, we gonna end it on a good note",https://genius.com/Murs-its-over-lyrics
Mi Corazon,Have A Nice Life,2015.0,"Half Mexican and Salvi
The perfect girl from Cali
Met her at a party in Van Nuys in the valley
She said her name was Leti, that's short for Leticia
I said my name is Nick, quite a pleasure to be meetin' ya
Perhaps if you have the time, I wouldn't mind treatin' ya
To dinner and a movie because I really wanna be with ya
She giggled just a little, put her number in my phone
I text a little later to make sure she made it home

Mi corazón te pertenece
I don’t care what your friend say
Estas siempre en mi mente
So I can’t let you get away
Que me traes buena suerte
I need to be with you like everyday
Yo lucho hasta la muerte
Busting shots with my AK
 (x2)
Oh, mi corazón
Soy la única para tí
Tell me that you're never gonna leave me

She was half Salvadorian, the perfect Californian
I picked her up and dropped back off at her door at ten
Now I'm walking back to my car all cool
And I heard a voice say ""Who the fuck are you?""
I said ""Man, you just seen me drop Leti off""
He balled up his fist acting like he 'bout to set it off
His homie rolled up, looking just like him
And just when I thought I was about to fight them (whoop!)
That's when the cops rolled up
Smelling like some sausage and coffee and donuts
But I'm happy that they saved me because it could of got crazy
That's when Leti texted me saying ""I love you baby""

Me vuelves loco
But you act like you don't know though
Estoy obsesionado un poco
I’m always looking at your photos
Esa mirada en tus ojos
Can’t believe that you wore those
Ahora estas en peligro
You better never leave me solo
 (x2)
Oh, mi corazón
Soy la única para tí
Tell me that you're never gonna leave me

How could it ever work, she was brown and I was black
Went to her crib and her brothers pulled a strap
She sent me pictures of her ass so fat
Now I'm thinking ""damn, I gotta go back""
 (x2)
Oh, mi corazón
Soy la única para tí
Tell me that you're never gonna leave me",https://genius.com/Murs-mi-corazon-lyrics
L.A.,Murray’s Revenge,2006.0,"I'm from L dot A dot Californ-I-A hot
Days got shade let me take you 'round the way
Lot of out-of-towners can't handle this city
Where you wear the wrong color and it can get tricky
But that was eighty-six and, things done changed
We a lot mo' evolved with the way that we bang
Not the rips and the dawgs, man the smog might kill ya
But you ain't gotta worry if you stayin North of Wilshire
Don't be scared of Crenshaw, the Slausson super-mall
Or Earlez Hot Dogs man you gotta do it y'all, c'mon
Come to the hood where we do the most good
Magic Johnson be ownin everything like he should
Lynnwood, Long Beach, Hawthorne, Gardena
From the towers in Watts, to the hills of Altadena
The home of the traffic and that gangbang culture
And I hope the way we do the damn thang don't insult ya
 (x2)
I'm from L.A. (ahh) Southern California
Fool the West coast, where everybody is somebody
And the game is fame, do everythang with a bang
And everybody wanna know, what set you claim

The land where the six-fo's, hop up and get low
Your favorite rapper gettin jacked for more than his sick flows
Home of the pornos, we mess up award shows
The weather's always warm so the women wear short clothes
Our beaches ain't the cleanest but the {​ahh}​ is the greenest
And we got the blonde bombshells and sick latinas
Then mix in the dark-skinned light-skinned sisters
Where you never have to wear your triple goose on Christmas
You can miss us with the blizzards and the winters
The hurricanes unless it's in some glasses with some actresses
Perfect frame, silicone or real it don't matter if she paid for it
Every single trend you can probably thank L.A. for it
Bandanas, facelifts, quick trips to Vegas
White t-shirt, Chuck Taylors or them K-Swiss
Poplockin, Crip walkin, chronic blunts, G-Funk
A place that everybody hate, but you gotta see once

I'm from L.A. (ahh) Southern California
Fool the West coast, where everybody is somebody
And the game is fame, do everythang with a bang
And everybody wanna know, what set you claim",https://genius.com/Murs-la-lyrics
Okey Dog,Have A Nice Life,2015.0,"Once upon a time there was a one man gang
Who never ran from anyone or sold cocaine
OGs in the city all knew his name
So here's a little story about the gang that he claimed

The hardest nigga I know, he from Okey Dog Crip
When he get up out the pen better hope he don't trip
Teriyaki or pastrami, he was always in some beef
A legend to this day, they talk about him in the streets
It's not a real hood, it's something that he made up
To piss gang-bangers off cause he never gave a fuck
He wore white Pro Wings, with pink and green strings
And dare anybody on the shore to say a thing
Seen him knock a lot of dudes out with one swing
By his side he always kept the baddest bitch you ever seen
Made his first million by the age of seventeen
Running credit card scams, never touched a triple beam
He was the king, everybody tried to trip on him
They would get confused when he Okey Dog Crip on 'em
Most of the time they would just start laughing
But they all got knocked out quick just for asking...

""Where you from, homie?
Where you, where you from?"" (what?)
""Where you from, homie?
Where you, where you from?"" (what?)
""Where you from, homie?
Where you, where you from?""
""Okey Dog Crip, and y'all don't want none"" (yep)
""Where you from, homie?
Where you, where you from?"" (whoop)
""Where you from, homie?
Where you, where you from?"" (whoop, whoop)
""Where you from, homie?
Where you, where you from?"" (whoop)
""Okey Dog Crip, and y'all don't want none""

The hardest nigga I know, he from Okey Dog Crip
Once knocked a nigga out, and he broke his own fist like this
In L.A you get hit up every day
The homie had to come up with something different to say
He like ""no matter what I say they gon' always want to fight
I'd rather get in to it over something that I like
And the one thing I love in this world above all
Is the Teriyaki burger that they make at Okey Dog""
All he needed was a cause that he could get behind
He was always down to squab cause he won every time
Ever since we was little he could fight very well
Seen him whoop a grown man and we was only 12
Kept to himself unless they bothered him first
But like I was saying at the top of this verse
He busted up his hand on a bitch nigga's head
All because he walked up to my homeboy and said...

""Where you from, homie?
Where you, where you from?"" (what?)
""Where you from, homie?
Where you, where you from?"" (what?)
""Where you from, homie?
Where you, where you from?""
""Okey Dog Crip, and y'all don't want none"" (yep)
""Where you from, homie?
Where you, where you from?"" (whoop)
""Where you from, homie?
Where you, where you from?"" (whoop, whoop)
""Where you from, homie?
Where you, where you from?"" (whoop)
""Okey Dog Crip, and y'all don't want none""

The hardest nigga I know, he from Okey Dog Crip
He pulled out a chopper, told me ""Focus in on this
This can make a man brave, this could make a man a slave
And once you pull it out ain't too many standing in your way
Trigger in your hand, you gotta understand
A lot of men use arms cause they ain't got hands
The shooter is respected much less than the gladiator
If you kill a nigga then his homies gon' get at you later
You square up, win some, lose some
I need to save the day like John Witherspoon, son""
Homie's almost out after 8 to 10 years
But I'mma say something that he might hate to hear
Look, now that I'm a grown man
Thirty something years and I'm out here tryna throw hands
It's green light for me to blast a motherfucker
So you better think twice before you ask a motherfucker

""Where you from, homie?
Where you, where you from?"" (what?)
""Where you from, homie?
Where you, where you from?"" (what?)
""Where you from, homie?
Where you, where you from?""
""Okey Dog Crip, and y'all don't want none"" (yep)
""Where you from, homie?
Where you, where you from?"" (whoop)
""Where you from, homie?
Where you, where you from?"" (whoop, whoop)
""Where you from, homie?
Where you, where you from?"" (whoop)
""Okey Dog Crip, and y'all don't want none""",https://genius.com/Murs-okey-dog-lyrics
