title,album,year,lyrics,urls
#1 Stunna,Gray/Grey,2015.0,"$uicide

It's that marble martyr, fucking daughters
Rocking Starter, going farther
Sauce ain't tarter, bitch, it's barbecue
Bitch, I be that breadcrumb-covered motherfucker
Bitch, I'm fucking southern fried
Lyin' to all you look-alikes just to further you from the truth
Sippin' white wine, then committed $uicide
Now I'm sippin' red wine in the booth
Blowin' on a blunt, puffin' up, me and $lick go poof
Goku on the beat
Steady getting money like a toll booth—nah, I'm just playin'
Bitch, I'm broke, $loth broke too
Ridin' in that drop-top with the whole crew, no proof
White pearls wit' one gold tooth, uh

Let me get the keys to the Rover truck
Let me get the keys to the Rover truck
Let me get the keys to the Rover truck
Let me get the keys to the Rover truck

Ride 'till the sun up, old trucks with the top up
Yet these bitches still stutter
Yung Christ, and I'm smokin' on butter, just another
White creep with no respect
Everyday I hold my breath, tryna meet death
No check, no balance, and no debt
No money, no cars, but I'm on flex
See you motherfuckers don't get, that I could give a fuck about this rap shit
Born with a dope flow and an accent
808s with the slap got ya' back bent
So here's a big ""fuck you"" to you motherfuckers
Buncha clones, $uicide not like the others
So if you wanna meet that devil shit I got in me
Keep talking, lil' bitch

Let me get the keys to the Rover truck
Let me get the keys to the Rover truck
Let me get the keys to the Rover truck
Let me get the keys to the Rover truck

I'm the number one stunna
I'm the number one stunna
I'm the number one stunna
I'm the number one stunna
I'm the number one stunna
I'm the number one stunna
I'm the number one stunna
I'm the number one stunna, yah!",https://genius.com/Uicideboy-1-stunna-lyrics
$aturn $unrise [Bonus Track],Songsthatwewontgetsuedforbutattheendofthedayweallgonnadieanyway,2014.0,"I get a bag then I blow it
Ruby got them bitches locin'
Got these bitches deep throatin'
In another world
Bitch I'm fucking foreign
Drugged out so I'm snoring
That marijuana got me loaded
All these pills that I be throwing
In another world
Bitch I'm fucking foreign

Bitch I'm throwing back a 40
Throwing up on a shorty
Bitch you know I'm fucking dirty
Looking for a bag
I need a 30
Pop a molly, bitch
I'll pop a shot
Watch his head pop and then his body drop
Bitch I'm smoking on a blunt
Hit her from the back and send her out the fucking front

I get a bag then I blow it
Scrimmy got them bitches locin'
Got them bitches deep throatin'
In another world
Bitch I'm fucking foreign
Drugged out so I'm snoring
That marijuana got me loaded
All these pills that I be throwing
In another world
Bitch I'm fucking foreign

I'm cooking up and I'm whipping
Sippin' on that Bart Simpson
Got them drugs wherever I go
$crimmy got them hoes retardo
I'm in that Ford and I'm screeching
Fucking freaks and I be geeking
You can see her pussy leaking
Every time I get to speaking",https://genius.com/Uicideboy-aturn-sunrise-bonus-track-lyrics
$hrimp Poboy,Gray/Grey,2015.0,"Blaze up some indo, sip on some Alizé
Blaze up some indo, sip on some Alizé
Gettin' played everyday, and straight chillin' with my peeps
Gettin' played everyday, and straight chillin' with my peeps
Blaze up some indo, sip on some Alizé
Blaze up some indo, sip on some Alizé
Gettin' played everyday, and straight chillin' with my peeps
Gettin' played everyday, and straight chillin' with my peeps

Blunt fulla' 
indo,
 starin' out my window
It's the pill-poppin' junkie, young sex symbol
Ashes on the cross, all my bitches lost
Depressed motherfuckers, never show no love
Got a blunt fulla' 'tiva, grippin' on the nina
Run up and I'll show ya' why I'm always tweakin'
Sleepin' through the weekend, $uicidal seasons
I just wanna die, don't have no fuckin' reason
Blunt fulla' codeine, they know that I'm a dope fiend
Grab the knife, and cut me twice, and let me die slowly
Creepin' out the basement, inside, my heart vacant
Slice me wide open, because I'm too fuckin' impatient
To wait for death, silhouettes of demons in my shadows
Hang me in the gallows, brain filled with ammo

Blaze up some indo, sip on some Alizé
Blaze up some indo, sip on some Alizé
Gettin' played everyday, and straight chillin' with my peeps
Gettin' played everyday, and straight chillin' with my peeps
Blaze up some indo, sip on some Alizé
Blaze up some indo, sip on some Alizé
Gettin' played everyday, and straight chillin' with my peeps
Gettin' played everyday, and straight chillin' with my peeps

I just want to chill, fuck makin' a mill'
I mean, I make enough money to pay the bills
Still working in the pizza kitchen, itchin' to be free of this shit
I know $lick was cleanin' dishes, wishin' everythin' was finger-lickin'
But the truth is, I make this fucking music
And I can't even get my friends to listen to it
I wanna say screw it, but I know improvement will prove it, fuck it
It's evident, they need the evidence
Thinkin' I'm heaven sent, but really I'm crawling outta hell
$uicide for life, G*59 count the spells
And just think, I'm only beginnin' to crawl out of my shell
Weed and bullets on the coffee table
I'm the son of the snake, I'm both Cain and Abel
Smoke and death is the smell that dwells around my humble abode
This is just a story, no fable, no moral code
It ends with me rich, sad, and alone

Blaze up some indo, sip on some Alizé
Blaze up some indo, sip on some Alizé
Gettin' played everyday, and straight chillin' with my peeps
Gettin' played everyday, and straight chillin' with my peeps
Blaze up some indo, sip on some Alizé
Blaze up some indo, sip on some Alizé
Gettin' played everyday, and straight chillin' with my peeps
Gettin' played everyday, and straight chillin' with my peeps

$uicidal tendencies, we are not the same
Tryna make the best of every day; bad thoughts go away
That's why I blaze up some indo and sip some Alizé
Grind nonstop, I gotta stay paid
Keep it chill with my bae, smoke good getting laid
The lane that I made is where Supa finna stay
The game that we play, we still play it til this day
Half these cat’s lames, they jus wanna peel away
Keep them fools far away then everything will be okay
Take a shot to the head like a AK might spray
Repeat, repeat
We do this every day
My mind is everywhere but mostly up in outer space
Bong rips to my face, sipping on a half a case
Take some shrooms to escape, Supa-mane with no cape",https://genius.com/Uicideboy-hrimp-poboy-lyrics
$ilent Night,UnKnown,2014.0,"Purple blade, red blood, $uicide
Alright, first off, I'll snatch your bitch and then swerve off
The whole time she was calling you a jerk off and calling me for the dick
I'm a slick kid
Stick quick, sneeze, and then kick them to the curb
Off to the next one
Oddy Nuff stuffing guts fucking flex and stunt
With a blunt in my mouth
With my dick in a cunt
What you bout motherfucker?
Fuck your mother from the front, from the back, licked my nuts
She was nice and sweet
But, her too, had to punt to the side of the street
You wanna fuck with me?
You gonna suck the d-i-c-k-l-m-n-o-motherfucking-p
So you see?
Ain't no fooling around fools like you
Let the siren pound
As the world go round
I put another fucking round in the middle of my head as I drop to the ground

I got diamonds in my lean
Gold plated teeth
Adderall for the cheap
Half the time I'm fucking sleep
It's the iced out, draped up, young Mel Gibson
Sippin' Bart Simpson and you begging for a mention
Trapping off the fives
Sucking on some bitches breast
Got my dick all on her breath
Got my nut all on her chest
It's that young Gucci sensei
Slickity Sloth the fucking menace
Yung Christ in the flesh
$uicide until I'm finished",https://genius.com/Uicideboy-ilent-night-lyrics
$ix Feet Deep,UnKnown,2015.0,"I could give a fuck but I don't
Be a bitch but I won't
Stuff his ass in the trunk
Lot of smoke in my lungs
Blowing dope up in Cali
Bitches surround me
Slowly I'm drowning
Slowly I'm counting
See im busting down a stash
Cocaine on the blast
Gotta model chick but I don't fuck with her ass
Uzi pulling up
Like leave this shit alone
I tell em that I can't
Because this shit is all I know, how

Wake up in the morning put my chain on
Heading out the door I call my hoe I get her name wrong
Fuck
But I don't give a fuck
Bitches lovin' then I let her suck on my dick
While we pippin in my whip
Picking up another bitch
Until there's nowhere left to sit, yeah
I admit
That I committed to my gang
And they no thankin'
They think the claiming just without new
Through and through
So whatcha gonna do when them boys come for you?",https://genius.com/Uicideboy-ix-feet-deep-lyrics
$leep Walk,KILL YOUR$ELF $agas: VI - X,2015.0,"I be at the bottom of the ocean, on the floor
I don't float, 'cause I'm wearing too much gold 'round my throat
Look at me glow
Can't even see out my eyes anymore
Hood up, and I'm ready to go
Slicin' my way, bitch, I'm icing my chain
Let it cool off, because it just came out the flame
Insane is the claim, and yeah, chaos the click
Lay off my style, bitch, go lay in a ditch
Catch me a fuckboy, and give him to $lick
He's so used to this shit
Yeah, he know a good spot
Right around 666 o'clock, got another drop
So I flock to the dock, tie a fucking knot
Flyswat in your body rotting in the fuckin' yacht
Got to mop up the slop, to get rid of the snow
'Cause that's what bring the cops
Spraying that Tommy all over your cell
And now $lick keep on asking me
""How do you spell, 'Welcome to Hell'?""
I told him, ""go kill yourself!""
Then I threw his body in the motherfucking swell
(Then I threw his body in the motherfucking swell—)
Uh!


Yung Slenderman, get the cash when I can
Got a pint for the low, and a bag of them xans
Lo-fi shawty, come and die for me
Shoot a motherfucker, I'm that Tommy-gripping Tony
Yung Camcorder, I'm a internet explorer
Die for fun, getting high off of torture
$witchblade $crim, smokin' on hemp
Every time I sold a bag, you know that motherfucker skimp
Posted in the cut, hoe
Smoke a hunnid blunts, hoe
Very simple living, bitch
Give a fuck about gettin' rich
When I didn't have plays you wasn't on my dick
Now a playa gettin' big, you all on my shit
Mark of Satan, Triple 6
Getting dope sick when I don't have drugs
Yung white boy with one gold slug
$uicide dreams like Kurt Cobain
When I teach a lesson, that Glock go bang
No servin' a purpose
Get pussy for free when I know that you purchase
Bitch, I'm for certain
Murk a motherfucker, now that's closed curtains",https://genius.com/Uicideboy-leep-walk-lyrics
$leepy Hollow (Slopped & Chewed) [Bonus Track],KILL YOUR$ELF Part IV: The Trill Clinton $aga,2014.0,"[Intro: NORMAN ATOMIC & 
Budd Dwyer
]
This a $crim beat
Uh, this a $crim beat!
My bad, G*59
Oddy Nuff da $now Leopard, $crim
DJ $crim with that 808

""Slightly overrated"" mean I'm over being rated by cops, critics
Cynical assholes that ain't creative
My styles jagged, but my attitude seems jaded
Like a diamond that shine has really faded
From sitting on some chick's finger too long
I'm in the basement huffing paintings of animals in cages, uh
You ready? I've been waiting
Oddy Nuff will leave your body shaking, probably aching
Man, fuck a vacation
My narration of your duration ends in mutation with starvation and salvation
Now, what's the translation?
I'm the motherfucking rapping Patrick Bateman
Freddy and Jason, spitting campfire
Michael Myers, Leatherface with an army of vampires
I'm so tired of whack rappers thinking they're fresh
When I'm so flyer than a gnat's nest resting in sweat
I bet you get the threat
Take a deeper breath, and don't forget to motherfuckin' catch it
I'll bite a chunk out your neck, take your head and detach it
And that's it

Ain't smoked my weed today
Got some hoes and lemonade
7th Ward, West Bank
Busting gars, blowing dank

It's that junkie that you heard of
Snort some dope, then maybe slap a bitch
Not talking females, just them rappers on that bag of shit
Pimp macking shit
Hoe's on that X, and they chewing
Used to have that work, just ask any junkie who using
Cadillac cruising
Abusing some dope
That heroin, so soothing
With a black bitch who claim Cuban
Hail Mary
The white 2Pac, rocking some white tube socks
No nose ring, just tats, and two Glocks
Make a beat with them faders
Drop some acid to laugh, while I decapitate you

Ain't smoked my weed today
Got some hoes and lemonade
7th Ward, West Bank
Busting gars, blowing dank",https://genius.com/Uicideboy-leepy-hollow-slopped-and-chewed-bonus-track-lyrics
$low Motion Potion [Bonus Track],Songsthatwewontgetsuedforbutattheendofthedayweallgonnadieanyway,2013.0,"A SLMDNKASR production
Uh, G*59
Oddy Nuff da $now Leopard
Ayy, hey, hey, hey, hey, hey

Pour the potion to slow the motion
Live fast, die young, bitch, I'm coasting
Sip gas, fire tongue, bitch, I'm boasting
Grip ass, light blunts, bitch, I'm loc'ing
Open up your motherfucking mind, bitch
Out of the box, experimenting like a scientist
Scratching your head, I'll make your motherfucking mind itch
Got a date to the apocalypse with a Mayan bitch
Told her, ""hold up shawty, where the fucking weed?""
We got to roll up, shawty
Never leave without my OZ
Forty OZ's in the O.E
Just another OG, lowkey motherfucker prone to nose bleeds
Hoe, please
All I need is more cheese
Better make it cheddar, bitch
I'm sharp like broke teeth
Now, hold these trophies, motherfucker

Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion

($crimmy, work!)
Here's a little story that I gots to tell
Couple grams of weed that I tried to sell
Girly hit me up, said she wants an eighth
I told her, ""give me ten—and I'd be right at your place""
Pulled up at the condo, gave a knock on the door
What I seen next, it had me on the floor
She then replied, ""Hey, $crim! Surprise!""
Took my hands, and I rubbed my eyes
She said she's out of money, got something for me
Opened her legs and showed me her pussy
I said, ""Hold up, honey, I need my paper!""
Following that will be a blowjob later
Boujee ass girl, pulled out three twenties
Told her don't ever, ever play with my money
Hit the front door like a fire exit
Then dirt scooped me up in the four-door Lexus
Went to the store, copped a few Phillies
Blew a few blunts, said, ""Thank you, Miss Lilly""
Headed to the city where the good die young
Third coast, muddy water, West Bank coke snorters

Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion
Pour the potion to slow the motion

(Ya', Supa)
I got that potion that'll put you in slow-mo
Take too much of this shit, and you'll be saying, ""I don't want this no more!""
I just want to go home
Smoke dope and fucking zone
Airplane mode on my mobile phone
Copped a zone on a homegrown clones
Buy my bud from super hippies
Take some L and get super trippy
When I'm on a lot of drugs, swear to god, you ain't fucking with me
The lights are simmering
The stars are shine
Wake back up the next morning
Get right back on my grind, 'cause I–
Pour the potion to slow the motion",https://genius.com/Uicideboy-low-motion-potion-bonus-track-lyrics
$moke a $ack,Patron Saint of Everything Totally Fucked,2013.0,"[Intro: Sample & 
Ruby da Cherry
]
THIS IS A $CRIM BEAT
$moke a $ack, $moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
$moke a $ack, $moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
$moke a $ack, $moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
(Continues in background)
DJ $CRIM WITH THAT 808!
Hey $crim can ya turn that up a bit please
Yeah, yeah thats better
Uh, 7th Ward
Oddy Nuff da Snow Leopard
Yah
Smoking hash, spending cash
Alright lets go
If, if, if, if...

If smokin' weed makes you dumb
Then why not get some brain when you smoke that blunt
Run it up, fill it up, roll it up, light it up
Pass it over here cause I only hit it once
Don't let it run
I blowin' smoke rings while you bitches overdosing on my nuts
2 bad bitches die
Break which one of that block
Oh well lets roll another up
Yep I harvest all my crystals like Apartheid
Look like diamond diamonds on my weed, it make the gar shine
But it could be just the promethazine we painted on the door side
Slowly burnin', movin' slowly
Hurlin' fuck I'm fucked up
Smokin fuckin blunts
Eye's redder than the cherry paint on my fuckin' car
Bitch please the way we movin' we ain't goin' far
This that shit that chill you out, if you is gettin' buck
Smoked too much and all that you can say is what the fuck
What the fuck you look like my grandma
This weed must be too good
Shiiii son, you buggin' me out
Maybe I should've bought you some Reggie Bush
Get the image
Yeah my weed look like Grimace
Pro at procrastinating I'm a menace
So high I look like I just left the dentist
Smokin' that weed that I bought from a chemist
[Break: 
$crim
 & Ruby da Cherry]
You can rent it if you can't afford it
I guess
$crim
I mean what you can have me do is get a 
G5
 payment plan going it's up to you man
Yeah!
That right, you know it!
You know it! Wooh!
Yah, yah, yah
Fucky boi, leggo

Got a sack of that dope
Smokin' it with a couple bitches laid back
Get it throat while I'm blowin' on that swisha
Double cup, pour it up
Take that Actavis and a swisha
Got these bitches catchin' nut
This that old school Triple 6
Yeah ridin' slab, bending the corners
Blowin' sacks of marijuana
Poppin' pills, poppin' Soma's then hit the dope till I'm in a coma
Smoke a sack, smoke a sack, take that dope straight to your head
Smoke a sack, smoke a sack, it's G*59 until I'm dead
Backpack with that work, got that heroin or that cocaine
Sack fat, got them grams, Dirty D with that work mane
Backpack with that work, heroin or that cocaine
Sack fat, got them grams, Dirty D with that work mane

$moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
$moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
$moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
$moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
$moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
$moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
$moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack
$moke a $ack, $moke a $ack
$moke a, $moke a, $moke a $ack",https://genius.com/Uicideboy-moke-a-sack-lyrics
"$moked Out, Loced Out",KILL YOUR$ELF $agas: I - V,2014.0,"[Hook: Juicy J & 
Kingpin Skinny Pimp
]
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!

I need that B, that U, the D
The sticky-icky, yeah, that cabbage
I got to have it, I got a habit
Blowin' in traffic
Smoked out, loced out, ridin' with that pistol grip
Snort a little coke
Put that .30 to your head, then I let that bitch rip
'Cause you know that I'm out here, I'm grindin' to get it
Kill me a opp, while I'm smoking on spinach
Blueberry kush how that spinach is scented
Shoot me a pussy, got time for no bitches
I need that weed, got an ounce for me
Blowing on the B, the L, the U, the N, the T (yah)
[Hook: Juicy J, 
Kingpin Skinny Pimp
 & 
LIL UZI
]
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!
Smoked out, loced out, ridin' with the pistol grip
 (
Black $uede
)
I don't love hoes, mane, I'm aimin' at yo' skull!
 (
Lil, uh
)

Lil Uzi got a lil' fucking Gucci, what's happenin'?
See, I be wrapping up Japanese weed just like it was some sushi
Getting high with them ratchet hoes, fuck them boujee bitches
Twistin' up the blunt like it was a noose
She didn't know I beat the pussy up?
Leave 'em walking like a goose
I grabbed the knife, she hollered, ""truce!""
I tied her tight, but she got loose
Smoking too much kill, 
terrorist fumes
Now I'm plottin' in the back of a hearse, smoking purp
Drinkin' some lean, getting head just like a guillotine
[Hook: Juicy J & 
Kingpin Skinny Pimp
]
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!
Smoked out, loced out, ridin' with the pistol grip
I don't love hoes, mane, I'm aimin' at yo' skull!",https://genius.com/Uicideboy-moked-out-loced-out-lyrics
