title,album,year,lyrics,urls
Secret,21S3*,2020,"Got a darkskin girl, 5' 8"" with the brown eyes
We been up and down, had a couple crashes but she still ride
She go to school, got two jobs, drive the same Kia 'cause it still slide
Work so hard on her off day, she be still tired
I just wanna take away the pain
I just wanna put you up on game
I just wanna help you make you better, wish you would've never gave it to that lame
Even if we do our own thang, the bond we got can't be explained
Girl, I'm just speakin' for future reference (Oh, oh), 'cause I understand feelings change (Yeah-yeah, yeah-yeah, yeah)

You're my little secret (Secret)
That's how we should keep it (How we should keep it)
We should never let it go, never let it show
You're my, you're my, oh yeah

I don't care what these hoes think that they got goin' on
I've been here day one, I know what's goin' on
You ain't gotta try to tell me, like I know my place
I never went too far, I always find my way, back to you
Ain't no way I could lose you
Sometimes it's just things in life just worth keepin'
Why we ain't creepin'?
I'm just your little secret
That's how we should keep it, yeah, babe
'Cause you know and I know

You're my little secret (Secret)
That's how we should keep it (How we should keep it)
We should never let it go, never let it show
You're my, you're my, oh yeah

I hope you had a dream 'bout me
'Cause I had a dream 'bout you
Hope you been thinking 'bout me
'Cause I been thinking 'bout you
Girl, I'm tryna make you my wife
I done told the thots, ""I'm through""
If you ever leave my side, I'ma probably lose my cool
We was in high school and your friends said that it won't work
From the sixth grade to the ninth grade, she did my homework
Put my pistol in your book bag, you ain't even own a purse
You done held me down from the jumpstart, you deserve a verse
You my little secret (You my little secret)
That's how we gon' keep it (That's how we gon' keep it)
Got done gamblin', feelin' like Michael, now I'm finna beat it
'Cause I like a couple pictures on Instagram that don't mean I'm cheatin'
'Cause I'm hangin' out with my dawgs late night that don't mean I'm cheatin'

Oh-oh, oh, yeah-yeah, yeah
You're my little secret
And that's how we should keep it
We should never let it, never let it show
'Cause you know and I know

You're my little secret (Yeah, yeah)
That's how we should keep it (Yeah)
We should never let it go, never let it show (Oh yeah)
If you know, like I know
We should never let it go",https://genius.com/21-savage-secret-lyrics
Lil Bitch,21S3*,2020,"Poppin' wheelies on a Banshee
Male  groupie on some fan shit
Be  a man, not a fan, dog
Tech-Nine with the fan, dog
Blow your hood up like Osama, dog
Young  Savage with the drama, dog
Still  fuckin' niggas mommas, dog
I'm still fuckin' niggas mommas, dog

Skrrt,  skrrt, watch the pot scrape
Pew, pew, watch the Glock quake
I'm Betty Crock with the cocaine
Lily Rush with the cold case
I  passed the hoe, for my bro's sake
He know I love nuttin' on them hoe's face
I'm still dippin' in my old pay
Last  year money, nigga, in my old safe
2013, that's a old Wraith
2017, it's a new May
Back in the back, nigga, with a new drape
Hit your ass so many times, you need a new face
Saint Laurent Don, this ain't Burberry
Nigga, do you wanna be a obituary
Kick you out the car, 'cause you too scared
I ain't got no permit, but I still carry
Give you a hot one, nigga, this a hot gun
We don't stop shootin' 'till the cops come
I'ma rich nigga, you a hot bum
I got bad bitches, you are not one
Yo bitch basic, bitch nigga face it
Broke bitch, hoe bitch
Club hop, chase dick
Told me delete her number, already erased it
Bentley truck, 'Rari, Maybach, I been goin' apeshit
Yeah, yeah, whatchu talkin' bout, nigga
Jump out with that yoppa', whatchu talkin' bout, nigga
It's rainin' but that KelTec bring the sun out, nigga
I got that Nick Cannon, brought the drum out, nigga
You niggas cuff to much, and I'm up too much
You can't talk to me lil' bitch, you ride the bus too much
They kicked me out of elementary, used to hunch too much
Used to skip class and go to school for lunch too much
Nigga, fuck you, yeah, you too
Blue tips, face shot, give you a blue tooth
And my bitch ass fat like Bruce, Bruce
I got a model bitch, she only eat cous-cous
AR-15, make a nigga hit the folks
Don't brung me 'round your plug, I hit them folks
Don't brung me 'round your girl, I hit them folks
I ran off on your partner and I'm with all the smoke
Whole pointers on my fist, lil' bitch
Quarter ticket on my wrist, lil' bitch
'Nother nigga from the Six, lil' bitch
'Nother nigga with the shits, lil' bitch
Don't suck the balls, just lick, lil' bitch
It hurt when you suck the tip, lil' bitch
Think I'm slippin', it's on my hip, lil' bitch
Glock .40 make you tick, lil' bitch",https://genius.com/21-savage-lil-bitch-lyrics
Come and Get Your Bitch,21S3*,2020,"Yeah, yeah (Yeah)‚ yeah (Yeah)
Yeah (Yeah)‚ yeah (Yeah)
Yeah (Yeah)‚ yeah, yeah (Yeah)
Yeah (Yeah, yeah)‚ yeah (Yeah, yeah)
Yeah (Yeah, yeah)‚ yeah (Yeah, yeah)
Yeah (Yeah, yeah), yeah (Yeah, yeah), yeah

Nigga I'm a G and I always be (Straight up)
You took SATs, I was sellin' Ps (21)
You had As and Bs, I had .223s (On God)
You was beggin' please, I had her on her knees (On God)
Way too rich to wife a bitch, I pass on a skeezer (On God)
Touch her tonsils, God damn she a eater (On God)
This a trap spot, we got grams on a pizza (On God)
Let that bitch be free, you be cuffin' her and shit (On God)
Come and get your bitch
She keep suckin' me and shit (Straight up)
My pistol mad at me
He said ""You tuckin' me and shit"" (Straight up, straight up)
The police sayin' ""Savage keep duckin' me and shit"" (Straight up, straight up)
We kick yo' head like soccer balls and rugby balls and shit (Straight up, straight up)
Lil' bitch suck it up (21)
All that Goddamn butt (21)
I'm 4L gang, you a mutt (21)
Y'all niggas soft, I'm tough (21)
My nigga know y'all later (Yeah)
All my dogs gettin' paper (Yeah)
Y'all throwin' salt, y'all haters (Yeah)
Way too plug, can't pay her (Yeah)
Diamonds on my neck, they skaters (Yeah)
Pull up with the stick, they scared (Straight up)
We throw bullets, not chairs (Straight up)
She keep lookin', I'm a slayer (Straight up)
Sold a million bands in the cater (Straight up)
Hairy ass bitch need Nair (Straight up)
Zone 6, I'm always there (Straight up)
We ain't seen you in years (Straight up)

Come and get your bitch, she keep stalkin' me and shit (On God)
Come and get your bitch, she keep stalkin' me and shit (On God)
Come and get your bitch, she keep stalkin' me and shit (On God)
Come and get your bitch, she keep stalkin' me and shit (On God)
She say I'm a dog, she be walkin' me and shit (Straight up)
She catch me with a bitch, she be blockin' me and shit (Straight up)
Come and get your bitch, she keep toppin' me and shit (21)
These hoes like mosquitoes, I keep off them and shit

57 sauce, I got fla' (21)
You try to come for Savage, slayed (Straight up, straight up)
House so big that I got ten maids (Straight up, straight up)
All this square footage like a maze (Straight up, straight up)
She pulled up to my house, she was a maid (Straight up, straight up)
All these chains, I feel like I'm a slave (Straight up, straight up)
You musty little niggas need to bathe (Straight up, straight up)
AR with the scope gon' hit your six way (Straight up, straight up)
Bitch I'm Slaughter Gang, I keep a Swiss blade (On God, on God)
Stab you in yo' back, yeah, that's that switchblade (On God, on God)
These bitches ain't gettin' no money since they took back pay (On God, on God)
Savage on that gangster shit like always (On God)
Mini Micro I got arcades (On God)
I don't play no games, I'm not a arcade (On God)
Beat a niggas ass like  (Straight up)
Take a nigga bike and his Alize (Straight up)
Drive down on your boyfriend, broad day (21, 21)
Used to trap on boulevard and the hallway (21, 21)
Don't none but truth come out my mouth, that's on my mommy (Yeah)
4L, crime fam', keep a Tommy (Yeah)
Gun make a bitch boy rip the runway (Ya' dig?)
Choppa chop ya Mr. Miyagi, nigga Sensei (Ya' dig?)
Sellin' hard on Glenwood Road at the safeway (Ya' dig?)
On my mom I made three M's, nigga, last Wednesday (Ya' dig?)

Come and get your bitch, she keep stalkin' me and shit (On God)
Come and get your bitch, she keep stalkin' me and shit (On God)
Come and get your bitch, she keep stalkin' me and shit (On God)
Come and get your bitch, she keep stalkin' me and shit (On God)
She say I'm a dog, she be walkin' me and shit (Straight up)
She catch me with a bitch, she be blockin' me and shit (Straight up)
Come and get your bitch, she keep toppin' me and shit (21)
These hoes like mosquitoes, I keep off them and shit",https://genius.com/21-savage-come-and-get-your-bitch-lyrics
Big Facts,21S3*,2020,"Yo Pi'erre, you wanna come out here?

Mic check, diamonds cost a nice check
Don't bite that, baby give me nice neck
Got a double cup, bitch I'm finna spike that
I'm Slaughter Gang, bitch, we be where the knives at
I done slowed up, bitch, I be poled up
No role tuts, I drank the real mud
That's my real bud, clip hold a whole dub
Hang with real Crips, nigga, I'm a real Blood
I can make them touchdown when I scream, ""Hut""
Lay your bitch face down, that's a real butt
Let me see your tits, baby finna bust a nut
AP on, doing the chicken head
Yeah, Rollie on me, doing the stanky leg
Patek on me, really rocking
You half way, I'm really cocky
Y'all niggas all cap and kill nothing
Bitch, I'm having mood swings 'cause I ain't sipped nothing
Whole pointers on me, nigga, yeah the big nuggets
Sick and tired of eating noodles, time to flip something

Got a big booty bitch, I'm tryna bag that
12 come, we dopping bombs like Baghdad
Treat a nigga main bitch like a lab rat
Remember selling big grade out my backpack
I done made a couple million off the rap-rap
Run a train on your bitch, she's a gnat-gnat
Big cajones on a stick, let it clap-clap
I'm the realest nigga doing it and I'm big facts",https://genius.com/21-savage-big-facts-lyrics
Solid*,21S3*,2020,"Lyrics from Snippet

Nipsey was solid, I know that he up there with Biggie and Pac
My choppa could tell you a story, I pray that you don't try to plot
Stayed a hundred, couple niggas changed
I ain't never went against the grain
I could never snort cocaine
I could never fuck a bitch behind my brother then try to turn her to my main
Clout chasin' got him in a wood box
Can't believe he died for the fame
He'll risk it all for a name
I was comin' hard 'fore I came
I ain't know nothin' 'bout no visa, I was in the park with the gang
Moms be feelin' bad, I try to tell her she is not to blame
No social security, couldn't get a license, but I still didn't complain
I went and got, and I ain't ask for no handout
Lil' nigga, we are not the same
You know what I'm on, first girlfriend did me wrong
I swear to God that every girl after that, I was gon' do 'em wrong
Different bitch in my bed every night, but I still be feelin' alone
 finna be with, one probably right after, I ",https://genius.com/21-savage-solid-lyrics
Brains,21S3*,2020,"Yeah, yeah
Yeah, yeah, yeah
Yeah
Yeah, yeah, yeah
Yeah, yeah, yeah
Yeah, yeah, yeah

The streets cold-hearted, ain't no feelin' there (21)
Maulin' out back, yeah, they killin' there (On God)
I'm a rapper now, but I was dealin' there (Skraight up)
I know you wanna be served by a millionaire (Skraight up)
Still would get you hit if I was a billionaire (On God)
Pull up to the Gucci store to chill in there (On God)
Spent so much, they let me bring my stick in there (Skraight up)
They hide their nannies just for when my children there (Skraight up)
Legend status, dog, I'm a goat (21)
AK sink you like Titanic, the banana boat (21)
I could spend ten million, still wouldn't be broke (21)
Said she wanna fuck again, let her hit my bro (Skraight up)
Actin' like she didn't do it, she must think I'm slow (21)
Way to player, I don't got time to chase no ho (Skraight up, skraight up)
Bust down, skeleton, AP, white gold, ain't no rose (On God, on God)
Last nigga try to go against this shit got hit in the nose (Skraight up, skraight up)
Last nigga try to go against this shit got pita rolled (21)
I ain't lookin' for no handout, nigga, I don't need a loan (21)
You a little female, dog, I know you need a bone (21)
She keep calling' me, tellin' me, ""Bring my pita home"" (21)
Brand new 'Rari, brand new Lambo, Aventador (Skraight up, skraight up)
Kill his partner, fuck his bitch, feelin' sore (Skraight up, skraight up)
Put my whip in sport so I could feel it more (Skraight up, skraight up)
Pop a Percocet so I can drill it more (On God, on God)
All my cars expensive, girls say I'm handsome (21)
I don't take her shoppin' (Yeah), she gon' throw a tantrum (Yeah)
Ass shots on a Phantom (Yeah), ass shots on my denim (Yeah)
Money can't even fit 'em (Yeah), all the models dig 'em (Yeah)
Migo plugs I hit 'em (Yeah), he a plate, we bit 'em (Yeah)
Slaughter Gang gon' get 'em (Yeah), 4L gang, gon' get 'em (21)
Me and my chopper got history (21)
Ak-47 blow a kiss for me (Skraight up)
You ain't from the 6
, then you a lick to me (Lil' bitch)
Please don't come around ridin' dick to me (Lil' bitch)
Most of these rappers really a bitch to me (On God)
Actin' like they grew up hittin' licks with me (Skraight up)
If you ain't gang, you ain't shit to me (Facts)
I feel like the top is where I'm meant to be (I do)
Pillow talkin', that's just like a snitch to me (Lil' bitch)
Get some food at Cheetah and your bitch with me (Straight up)
Niggas goin' broke tryna stick with me (Ha)
Your pockets tellin' you you puttin' a dent in me (Ha)

I got all my chains on, I got all my chains (21)
I got all my chains on, I got all my chains (21)
I got all my rings on, I got all my rings (Skraight up)
I got all my rings on, I got all my rings (On God)
I done blowed the brains off, I done blowed the brains (On God)
I done blowed the brains off, I done blowed the brains (Skraight up)
Diamonds made a rain storm, I done made it rain (Skraight up)
I got all my chains on, I got all my chains (Skraight up)",https://genius.com/21-savage-brains-lyrics
Switch Up,21S3*,2020,"Yo
Yo Pi'erre, you wanna come out here?

I got bad habits, thrown' cash on the thots
Way too grown to throw a punch, bitch, I throw shots (Yeah)
Went to middle school, deuce-five in my lock (Yeah)
Went hollow to VC, DC, got it hot (Yeah)
I'ma jump the fence if they ask for my ID (Straight up)
Last nigga T-R-Y me, on the IV (Straight up)
Seven, six, five, four, three, 21, me (21)
When I was a youngin', stayed in Eagle, run in BC (That too)
Central Drive where I got my first 223
Handin' out shots, he got four, and she got two or three (Straight up)
Ran hot box, 1500, we got two or three (Straight up)
Peelin' with a. flat head, yeah, I was on it (Yeah)
Stealin' honey buns out the store, I was a youngin' (Yeah)
Slammed down this pump on your head, Andre Drummond (Yeah)
Face card, fucked up, want nobody from it (Yeah)
Face down, ass up, put it in her stomach (Yeah)
I'm on 30s, bitch, and I think I'm boutta vomit (21)
I got fish scale, and it look like cum (On God)
Used to whip the work, and I put that on my money (On God)
Savage, Al Capone, hit a nigga with the Tommy (On God)
Dumb shit, feelin' like Osama, I might bomb shit (Yeah)
Baby daddy broke, so I guess he on his bum shit (Yeah)
Dumb rich, need a Percocet just to function (Yeah)
This bitch got me twisted, she think I'm spaghetti junction

Switchin' up my hoes, like I change my clothes
Switchin' up my hoes, like I change my clothes
Switchin' up my hoes, like I change my clothes
Switchin' up my hoes, like I change my clothes
Baby, give me throat, let a nigga poke (Yeah)
Your baby daddy broke, I fronted him his dough (Straight up)
I hit you on the low (Straight up), 'cause he is not is my bro (Straight up)
I don't trust you hoes (Straight up), leave your iPhones at the door (Straight up)",https://genius.com/21-savage-switch-up-lyrics
U.K. Shit (11/3/19)*,21S3*,2020,"Lyrics from Snippet

 hoe ass nigga in the met
Niggas keep talkin' that U.K. shit like I don't got AKs
Like, 'cause I was born overseas, these muhfuckers ain't gon' spray-spray
Pull up in your hood, nigga, 9-1-1, y'all better call mayday
From Glenwood all the way to Martin Luther King, niggas know we don't play-play",https://genius.com/21-savage-uk-shit-11-3-19-lyrics
Act A Fool,21S3*,2020,"Wheezy Beats
Internet, internet
Fuck the internet‚ motherfuck the internet
Motherfuck the internet‚ motherfuck the internet
Motherfuck the internet‚ motherfuck the-

Motherfuck the internet, Glock gon' leave a nigga wet
Chains on, mega flex
Bitch‚ I got a mega check
Car go fast, it's a 'Vette
Fuck your checkers, we play chess

Saint Laurent (Yeah)‚ Christian Lou' (Yeah)
Hunnids blue (Yeah), ooh, hunnids blue (Yeah)
Got that bank smell (Yeah), my bunnies new (Yeah)
Your baby boo (Yeah), she wanna ooh (Yeah)
Look at my bank statement (Yeah), through the roof (Yeah)
Pour a deuce (Yeah), buy a coupe (Yeah)
Act a fool (Yeah), act a fool (Yeah)
Act a fool (Yeah), act a fool (Yeah)

Rep that 21 gang, who the fuck is you
The niggas that I'm with don't give a fuck 'bout you
I'm straight up out the Six, nigga, fuck your crew
Them niggas came with you, then they gon' duck with you
Fuck it up, bitch, I got juice (Yeah)
Drank it up, bitch, she a loose (Yeah)
Nigga, we don't eat no noodles (Yeah)
Do a drive-by off a dooly (Yeah)
30-clip hangin' off the Uzi (Yeah)
And I gotta keep that stick (Yeah)
Diamonds drippin' out that Patek (Yeah)
Lookin' like I slit my wrist (Yeah)
Y'all scared shit (Yeah), nigga, talk cheap (Yeah)
Got 100 shooters (Yeah), bitch, we mob deep (Yeah)
Bitch, don't call me if it ain't 'bout money (Yeah)
I'm too busy balling (Yeah), you ain't doing nothing (Yeah)

Saint Laurent (Yeah), Christian Lou' (Yeah)
Hunnids blue (Yeah), ooh, hunnids blue (Yeah)
Got that bank smell (Yeah), my bunnies new (Yeah)
Your baby boo (Yeah), she wanna ooh (Yeah)
Look at my bank statement (Yeah), through the roof (Yeah)
Pour a deuce (Yeah), buy a coupe (Yeah)
Act a fool (Yeah), act a fool (Yeah)
Act a fool (Yeah), act a fool (Yeah)",https://genius.com/21-savage-act-a-fool-lyrics
Against Me,21S3*,2020,"Kid Hazel on the beat
Straight up

Nigga, don't you ever try and go against me (Straight up)
Hotbox four deep, leave you six deep (Straight up)
When I brush my teeth, dawg, I got a .223 (Straight up)
On my mama, on gang, bitch, I’m on that (Straight up)
Get a nigga flatlined like a doormat (Straight up)
Slaughter Gang Savage, I be where the hoes at (Straight up)
She with the shit so I passed her to the homie (Straight up)
You can't hang around me 'cause ya phony (Straight up)
Yeah, my neck Dairy Queen, it’s a Blizzard (On God)
Yeah, I fucked your baby mama and her sister (On God)
Yeah, I let her top me off and you kissed her (On God)
Thot bitch, you can't even hit the swisher (On God)
And I'm known for killin' shit like Hitler (Ya dig)
These rappers keep on bitin' me, I call 'em nibblers (Ya dig)
You gon' fuck around and get hit with this four-nickel (On God)
Free my brother out the cell 'cause he ain’t got sickle (Straight up)
Bet this stick make a nigga play music chairs (21)
Ten millimeter on me, I could kill a bear (21)
Bought a bear-skin condom, I can’t fuck you bare (Ya dig)
Got a penthouse, lil' bitch, I ain’t never there (Ya dig)
Break up with my bitches on Christmas and in February (Straight up)
Niggas be rappin' all that gangster shit, they really scared (Straight up)
My brother just came from down the road  still carry (On God)
I don't give a fuck if I got a billion dollars, nigga, you'll still get buried (Straight up)

Don’t you ever try and go against me, bitch boy
Don't you ever try and go against me, bitch boy
Don't you ever try and go against me, bitty boy
Don't you ever try and go against me, yeah, yeah, yeah
Elementary, used to have a ten-speed (On God)
Turned 23 and bought a Bentley (On God, yeah)
Blood on my hands, got off forensics (21, 21)
Used to take niggas shit, never ben a thief (On God)

Yeah, so much money, make a bitch go get some nigga (21)
Yeah, never been a bitch, I ain't no pussy nigga (Straight up)
Yeah, y'all niggas action, y'all some action figures (You dig, action)
Wanna play the game, you playin' with a real nigga (21, yeah)
Real street nigga (Yeah), real killer (Yeah), real drug dealer (Yeah)
Always pack a pistol, keep a pistol, I will pop you, nigga (Straight up, bah, bah)
Body drop a nigga, shoot your face off for you pussy nigga (Straight up)
Y'all nigga hoes, tough talk, you some  niggas (On God)
Hahaha, hahaha (Yeah, bitch)
Yeah, okay
Back to the street life, nigga, where your at? Yeah (Yeah)
A rooster with a nightmare, that ho got that ho throat back (Yeah)
All this goddamn money, man, these hoes come back to back (On God)
Yeah, for them racks (Racks)
Young niggas been havin' stacks (Who that?)
Smashin' in a Demon and my partner in a 'Cat (Woo)
We don't do the  you know your bitch can drive that (21)
Hahaha, ayy, man, this a whole bunch of gang shit

Don't you ever try and go against me, bitch boy (Yeah)
Don't you ever try and go against me, bitch boy
Don't you ever try and go against me, bitty boy
Don't you ever try and go against me, yeah, yeah, yeah
Elementary, used to have a ten-speed (On God)
Turned 23 and bought a Bentley (On God)
Blood on my hands, got off forensics (21, 21)
Used to take niggas shit, never ben a thief (On God)",https://genius.com/21-savage-against-me-lyrics
