title,album,year,lyrics,urls
The Gas Face,The Cactus Album,1989,"Ayo, man, my labelmate, Don Newkirk
Man, step to 'em

Thanks, Serch!
And now... for the Prime Minister...
Sinister... Pete... N-hi-hi-hi-hi-hi-hice!
Nice, Nice, Nice

Kick 'em in the grill, Pete!

Gas—past tense, made facially
3rd Bass'll express, KMD
Three blind mice on sight
Zev Lover, gave it the first light
A grin shows a trick up a sleeve (HUAHAH)
What a tangled web they weave
Deceivers, stupefied through fable
Say Let's Make a Deal at the dinner table
Put you on tour, put your record on wax (""Trust me!"")
Sign your life on the X
You exit, x-off, but what you really get:
A box of Newports, and Puma sweats (""Damn!"")
Tex feeds and frowns upon Emis
To give up Gas Face he drinks from a Thermos
Sub Roc cut at you with a clipper
Gas Face given, I beg to differ

Pete that was real def, man, but I gotta get serious now
Ayo, Don, step to 'em again

Everybody... MC Serch!

Black cat is bad luck, bad guys wear black
Musta been a white guy who started all that
(Make the Gas Face!) For those little white lies
My expression to the mountainous blue eyes
Then form a face, and shake my skull cap
Dismiss the myth, that evil is not black
But opposite spectrum, this done by red man
With horns on his head, laid down the ill plan
Got all his helpers, said, ""Make it snappy!
Tell all the people that their hair can't be nappy!""
Blonde and blue-eyed, or dark-skinned heffer, G
A disease, created by leprosy
Don't speak of bleach, bend them to right
Say it was night WAY before the light
Put aside spooks, Serch leaves a trace
I've set em correct with the effect of the Gas Face

Next up, Don?

A special appearance by KMD's Zev Love X!

A Gas Face can either be a smile or a smirk
When appears, a monkey wrench to work one's clockwork
Perkin his brim to the rim of my cup
Don't tempt me, you're empty, so fill'er up!
Is I'm talkin coffee or cocoa, is you loco?
Cash or credit for unleaded at Sunoco
KMD and 3rd Bass is just ace in the hole
I mean soul, so make the Gas Face (HUAHAHA)
Damn, if looks could kill
You look like host was a ghost from your grill
But still, what's the new fed, to recollect
To our passing phase to facades to '80-deca
For my label reads Hood, street might have a tattoo
Don't pick any card or no rabbit from my hat
Never a magician if I ever tricked em
""Oh shit!"" Another Gas Face victim

There it is, yo fellas man
Why don't you step to the mic man?

That's how I kicks it, for 80-deca

Ayo, good lookin' out Don, man, peace
Punji, yo, who gets the Gas Face?
Little Vic for the Gas Face
Tony Dick, gets the Gas Face
No Gas Faces for Plugs One Two and Three
 No Gas Face for Professor Prince Pa-paul!
My friend Tina gets the big Gas Face
 No Gas Face for DJ Subroc
No Gas Face for KMD
 Hammer, shut the fuck up! Gas Face! AHUAHAUAH!
WHAHAHAOAHH
What do we think about Hammer? HAOWAHWOHAHBHABHAHBHAHBBHB
G.Y.P
Get Yours Posse does not get the Gas Face
But P. W. Botha gets a Gas Face
 WHOAHBLBLAHBHA-WHOO!
Dante Ross gets the Gas Face
Yo stop dissin Dante on records y'all!
 Elroy.. Elroy.. Elroy Cohen, gets the Gas Face!
HAHAhahahahahaha, that's all..",https://genius.com/3rd-bass-the-gas-face-lyrics
Pop Goes the Weasel,Derelicts of Dialect,1991,"Antoine, Antoine's got something here
Ro-roll that window
We have to turn around because I want to shoot you
Park the limousine, in front of the swamp
Then I want to shoot you dauncing on the limousine
With the swamp in the background
It looks like you're in the jungle, okay?
Let's all sing, Pop Goes the Weasel!

Pop goes the, pop goes the windin of the weasel
I see the empty pocket needs a refill

I got a squad with a list of complainers
I should have started RAPE:
Rappers Against Phony Entertainers
So we can make it known that we won't get swayed
It's ninety-one son, so somethin's gotta change

Gettin paid to peddle sneakers and soda pop (pop pop pop)
Pop goes the weasel as drawers drop (drop drop dop)
Why not take your top ten pop hit
Vic the music and make senseless ryhmes fit

I guess it's the fact that you can't be artistic
Intricate raps, becomin' so simplistic
I gotta strong mind it doesn't have to be spoon-fed
And I can read what doesn't have to be read

So some stay illiterate and feeble, legally licked
You go the ways of the weasel (the weasel)

Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop goes the weasel,
 'cuz the weasel goes pop
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop goes the weasel,
 'cuz the weasel goes pop

Hip-hop, got turned into hit pop
The second a record was number one on the pop charts
For those that get on heart that gotta in the ghetto
Let no one forget about the hard part
Now in ninety-one we got a new brand, a new band
Lookin like the same old Klan
Same old theives that skeez so we gotta make sure
That real rap has got to endure

Why score all my points in one period
Appearin in complex structure like a pyramid
The paper for the media presence
Ya learn lesson from the face of false legend
Stop vexin on the skills, ya ain't originate
The thin ice you skate upon will break and set ya straight
Ate up on the plate, now who's diesel
Not the weasel, not the weasel, pop goes the weasel

Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop goes the weasel,
 'cuz the weasel goes pop
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop goes the weasel,
 'cuz the weasel goes pop
 Ya stole somebody's record then ya looped it, ya looped it
 Ya boosted the record then ya looped it, ya looped it
 Aiyyo, I came from Cali, and they hooped it, they hooped it
 But now you're getting sued kinda stoopid

Boosted tracks get slaps, ya got no haps
To reach all four corners of the map
For kids in Kansas.. to those who speak Spanish
Doin crazy damage so the wack gets banished
Can't manage the truth until you buy a way
Ya ain't quick so ya switch off the exit from my highway
To rest but a crook, had to take a second look
Ever heard of a chef who can't cook?
But the Minister Prime can lay laws
Hey yo, Pete Nice, rip the mic and go for yours

Goes for mine, I goes for mine
Find the Prime won't eat the green eggs and swine
On line like the Serch, in the hoody with the woody
Get a disc or tape, at Sam Goody
Why'd ya run through the doors some left open?
Ropin off the scenes of the crime smokin
I got pub and 
I'mma nut like a SCUD
 see
Blowin up, like I'm throwin up a beef patty
Sell-outs run a bout like the measles
No cures, cause pop goes the weasels

Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop goes the weasel,
 'cuz the weasel goes pop
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop goes the weasel,
 'cuz the weasel goes pop
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop goes the weasel,
 'cuz the weasel goes pop
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop Pop goes the weasel, the weasel
Pop goes the weasel,
 'cuz the weasel goes pop",https://genius.com/3rd-bass-pop-goes-the-weasel-lyrics
Steppin’ To The A.M.,The Cactus Album,1989,"*sound of clocks ringing*

Ready in the intro, cue up the Serch-lite
Point us to the center stage (I'll grab the first mic)
Projectin the voice with this mic that I'm cuffin
You ain't my nucka, SUCKER I'm snuffin
The word of the 3rd stands true, so no panickin
(Man verse man) you freeze up like a mannequin
Petrol, you let go, the wax for the new jacks
To dwell upon you're steppin on the trigger as the tune smacks
(Square in the butt) Pete gave me the cue
So I'mma put up or shut up until my jam is through
But for now I wanna freak em, so I'll embark
To spark your mission posse, til way past dark
(Don't park there's no standin) or I'll play the five-oh
You don't stop movin until the Serch says so
To keep the tribe open, shootin out to play em
Three the hard way'll keep you steppin' to the A.M

(At the sound of the tone, the time will be 1 A.M.)

My mind has a question, I respond
To a silver domed microphone (one step beyond)
Straight to eighty-eight to the curves of the 90's
I'm universal, I set a line free
Behind me, the three the hard way, the jackpot
(Awaitin Satan's, tryin to take cheap shots)
We groove crowds, the three stand proud
The brothers round the way sit down and say
(How'd you do this?) Ludicrous rhythm of rhyme
Anticipate like a bottle of Heinz.. KETCHUP
(No catch up!) Cause you fell behind
I'm steppin to the A.M. -- dickin down swine
Pete Nice skims over lyrics, I pick em
Strong and long, you're wrong, I stick em
(He's the law with the sword) with my cable swingin
(Like _The Pit or the Pendulum_) Pete Nice bringin
The sunrise with no lies, legitimate (and you despise)
Envy this MC's magnitude (so realize)
The MC emceed (The DJ deejayed em)
Until the next time I keep you steppin' to the A.M


No weight on the felt plate, deep bass below rise
Needle torture groove, move the record til the wack stride
(Schoolin the swine on the strength of my vocab)
Bet you wonder you're a goner
(You're thinkin that you had)
Lyrics to the A.M. but the house needs a swinger
You st-st-st-st-stutter, but I'm a stinger
(My rhymes so potent, I wrote em and it's evident)
You're just a stunt, seekin a settlement
The lyrical line (The article original)
Afflict like a convict, I ain't no criminal
Schemin on a cable or slobbin the knob
You played me like a foul ball
(How you livin Hobbes?!?!!)
Now groove into the A.M., the master spoon feedin
Out a jumper, you're bumpin a freak while I'm G'n
Peter let the record spin (Serch'll get a second wind)
MOTIVATE THE CROWD, til it's steppin' to the A.M


I slide swiftly, keep a brother steppin
(loungin, strength in my throat)
Sweatin as you get hit with the rhythm
My lines sustain like a crane, so uplift them
(slow and smooth) Flowin like fluid
The mass did worship the lyrics the three did
(amid all crisis) Drop it like a guillotine
(You're moist) fearing the voice of the rhyme fiend
Scene is zipped, Pete Nice is your worst dream
Fulfilled your illed I thrilled (I heard a LOUD scream)
My mind is cued, so I run down a menu
That downgrades the weak as my lyrics tend to
(the needs of a shaker, sweatin to the point of exhaust)
So listen to the mission horse
Blinded by the science, my mind starts flexin
Sexin down females to the A.M., perplexin
A complex reflex (you wonder if we slumber)
The three don't sleep (Aiyyo Pete Nice take em under!)
Steppin to the A.M., I'm steppin to the mic
To snatch up and smash up the club until daylight!",https://genius.com/3rd-bass-steppin-to-the-am-lyrics
Sons of 3rd Bass,The Cactus Album,1989,"""Here's my advice to all amateurs plannnnnnnning to give a performace:
Speak up, and keep the act moving""

Servin the role, a sole step-child
Talk of C.C. or keep sleepin
While wakin up to noise of 3rd B-A-S-S, Bass
Success is butter for Serch's space
Spoken slang gets played like the lottery
Your lyrics are incorrect, so you step to me
Lookin for the key to release that first piece
Three times two is six, Pete is one-three
I'm the other half, known as the other trey
Tourin to wild screams, the Third Son's born
Swarm to the lyrics cause Serch is your father
Screaming ""Hey Ladies,"" why bother?
* DJ Richie Rich cuts ""
How can you be so stupid?
"" *

Sons, slim ones flee from the 3rd
Words, spoken, a silver spoon stuck in the throat
Young useless, lyrically careless
Rhyme revolves around modes of mindless
If everyone spoke of stick-up, it's pick of a Beast'
Prone to a lick of a waste
Taste the flav' of the original
Orphaned trio, abandoned by lyrical
Through us, the echelon exposed with the roll with no soul
Counterfeit style, born sworn and sold
Out with high voice distorted
If a Beast' to wish play fetus, I'd have him ABORTED
* DJ Richie Rich cuts ""How can you be so stupid?"" *

Put to bed, three kids to a third track
Cap the front and grip, when they heard that
The crew from the L.Q. stepped to the Club Mars
Shook the Beast' and soon to be dubbed stars
Starring roles stone-faced from the brothers
Ludicrous whining, meaning when the others
Stand by em, while they take the fall
The Beast' now lives in the Capitol
Record wrecks sets, Def Jam a true wrecker
The label is nothing but MC Black'n'Decker
Three boys buggin to the A.M
You step to the Serch and I slay ‘em!
* DJ Richie Rich cuts ""How can you be so stupid?"" *

Negative mind, paid as snakes who can't rhyme
Play the dude? It's sucker time
I stand I take a bust in my nut
And gave birth to three bastard sons
A record label, a King to 4th letter
Passin phases, non-legitimate trendsetters
Pop figures, who figured they'd get paid
Exploitin art the black man made
Played out hardcore flaws, step to stage
Your biggest fan, nine years of age
Broke out cause the swindler took your ducat
No talent on the tune, you might as well SUCK IT
* DJ Richie Rich cuts ""How can you be so stupid?"" *
 Yo Serch, you know about that slum I'm speakin on?
 Word is bond Pete, school em!
 You know about that silver spoon havin
Buckshot acne showin, L.A. weak-ass sellout
Non-legitimate, tip-doggin, Jethro pseudo intellectual
Dust-smokin, 
pretty boy playwrite posin'
Folks wiggin, whinin annoyin Def Jam reject devil
White bread no money havin slum village people clonin
Step children!
 Sam Sever, serve the rest
Yo Sam, sc-hool em!
""
He is stupid, but he knows that he is stupid
And that, almost makes him smart.. let's listen
""
* DJ Richie Rich cuts ""let's listen"" *",https://genius.com/3rd-bass-sons-of-3rd-bass-lyrics
Wordz of Wizdom,The Cactus Album,1989,"""And so, my fellow Americans
Ask not.. what your country can do for you
Ask what you can do for your country""
President John F. Kennedy
""And now, back to New York""

Heart as, hard as, Chinese arithmetic
Avante garder, not a heretic
Figure out a right rhyme, stick it in my cranium
Pete Nice, elemental like uranium
Throwin joints, blowin like a cool breeze
Swimmin in, I lift on juice, I wax MC's
These hoes go frontin on my Jimmy
I smack em on the back, sit em down, say
""Gimme some rhythm"" (Rhythm!) Baby loosen up my collar
I'll lay you out, like a funeral parlor
Ready willin, fillin, killin for a Billin, Top
I never stop, with Serch and Sam drillin it
Soul in the Hole, MC's workin
Kickin it, vickin, the suckers who be jerkin
Me and my posse are hardcore, you want some more
Reason that I'm squeezin your girl (You never please her!)
So I pleased, then I threw her in the gutter
Cut her off, my wisdom wiser so I muster
Rows of all opposed, lows conquer all
Those who pose as dope I say nope, I wear def clothes
Dapper like Dan from, three the hard one
Never stigmatize as a rapper or I'll slap ya
You're stung from my tongue as you run from the drum
(Diggy drum) Three the hard way, wordz of wizdom
""This time there was three""
""One two.."" ""Three the hard way!""
""This time there was three""
""One two.."" ""Three the hard way!""

A branch of the hip-hop tip grills your dome
You're toe ingrown low showin you ain't got nobody home
Prone to the microphone, light up, and take out
Make out your will Bill, three is gonna break out
The stylee, me and P-E-T-E
Embark on a mission that's deadly, break out the ammo
Ay, yo, Sammo, hook up the beat
And I'll lay the plan OH man
You just got taken, I took a head out
Attack on the back of the six of the Guinness Stout
Usin abusin, those of the past tense
Funning gunning, but I'm summing up the nonsense
Three, the hard way, cards laid are OK
Gettin up and settin up, just for a payday
The minister, sinister (I ain't no devil!)
Not a snake slithering scoundrel Sam level
This track to SMACK, the smile off a doubter
The brother's, another MC who's about
Frontin like he's buntin, deceivin the delinquent
Rappers on track, bustin out a medium
For those opposed, who manifest a diss
Pete tell em: ""Manifest THIS!""
Not righteous, but might just, make you wanna listen
Yo I'm Elvis with the wordz of wizdom
""This time there was three""
""One two.."" ""Three the hard way!""
""This time there was three""
""One two.."" ""Three the hard way!""

A ludicrous buddhist, Brutus when I do this
So true to this, perpetrators view this
Style, empirical, lyrical, it's critical
Three the hard way, boy you need medical attention
I'm like a surgeon in my left hand
Hold a microphone like a scalpel so you understand
Wordz of wisdom, woven like a spider
Bitch on my tip, I get busy and I ride her
Uptown, then I drown her like a psycho-pathic
Cause I'm graphic on the mic I never let go
Light skinner eat dinner like a soul man
Prove with the rhyme I'm down, Sam's hands
Transform strong (too strong) as a good pitch
Switch up the wizdom, it's a word which
Kicks out the Benzi in a frenzy it sends me
Up the Bronx River back to Brooklyn apprehends me
Like a d-tech bustin my man in the projects
I'll send you up North, I ain't gettin' respect
Prejudicial, your style artificial
As live as limb that's attached to a cripple
It's simple (so simple) eliminate you like Gotti
I chill in Bed-Stuy and drive a Mazzeratti
With the body of a freak on my side, how am I livin?
(How ya livin?) Larger than large, with the wordz of wizdom

Hyper-selective, Serch is attracting
Females who focus on the future, not slacking
Rhythmic it's too quick, feel it, I let it flow
Sam Sever seas'll submerge, so let it go
Throughout, or put out, lyrics like a d-valve
Speak up, a deeper meaning as I leak out
And seek out, a three the hard way endeavor
Pete Nice, Serch, produced by Sam Sever
Livin in my shoes boy, this is not Shoe Town
A showdown for Motown, it's a new sound
Lyrics that lick, the tick off a timepiece
Foamin at the mouth punk, you need a leash
What are you sick?? I'm a slick stupid scientist
Rhymin that you can't comprehend (but you're buyin this)
Record I'm wreckin, my homeboys are breakin
Hopin that you're copin, no slopin, I'm not takin no shorts
Cause I'm playin the high post
Ask any girl in the place, who's the fly most
Brother with a cover, shootin to my cribbo
The tease wants a please, girl screamin ditto
So I did this, I needed the bed rest
Hangin with the bangin on the strength, there's no contest
Physically or lyrically, it's my kingdom
Stingin em and bringin em the wordz of wizdom
""This time there was three""
""One two.."" ""Three the hard way!""
""This time there was three""
""One two.."" ""Three the hard way!""

Shammo.. hook up the def mix!
Hahahahahahaha...
Ahh, ahhahaha hahahahah tch tch tch
Hahahaha
Ahh ahahahhaha hah
""All but three of the defendants were found guilty""
..
""All but three of the defendants were found guilty""
Hahahahh ahahhahhah
..
See-ya! *echoes*
*some singing*
Yo yo... that's ridiculous.. *echoes*",https://genius.com/3rd-bass-wordz-of-wizdom-lyrics
Brooklyn-Queens,The Cactus Album,1989,"* Daddy Rich scratches ""Brooklyn!"" *
* 3 bars of drum beats *
* Daddy Rich scratches ""Brooklyn!"" *

Real cool.. cause Brooklyn's cool!
Friday June the last day of school
Girls steppin to the mall to swing
Settin up dollars for their summer fling
Cars on the avenue create gridlock
And there's girls like MAD at the bus stop
Not waitin on the bus, but waitin on the cash flow
Fellas are laughin, gassin the past ho
Girl steps to me and pushes issue
""That knot you got, is that money or tissue?""
Feelin on the bulge, thinkin it's her own
I tell her that it's money and she should move on
She says she's pure from her legs to her thighs
And we should talk over some chinese and fries
I tell her to step, but hey that's the scene
Cause she ain't nothin.. but a Brooklyn Queen

""We are looking for 'Brooklyn'..
We are looking for the.."" Brooklyn-Queens!

State the rhyme, borough of Brooklyn
Otherwise known as Crooklyn
Freaks fortify flesh with gold
Ears hang trunk, in a slave hold
Walk past, don't get the time of day
Played like suede, on a summer sway
Conversated, till I made her laugh
Said, ""I'm Pete Nice.. you want my autograph?""
Oval Office closed as she heard this
She said, ""From 3rd Bass? I could do this""
Listen closely, slowly took a swig of intoxicants
Cause the Brooklyn Queen's a gold digger


Squared away.. with my digits and tonight's plans
When I feel a crab grab my right hand
Slapped her on the back, tried to calm her
Asking her, ""What's the reason for the drama?""
Her next move was straight out of textbook
""Haven't we met before?"" Giving me a sex look
Yo Wisdom, your lyrics are in bad taste
So I'm forced to give you nothing but the Gas Face
You better go, for hoppin on the cab or bus
Cause you're downtown and you're simply too fabulous
But get this, ain't this a humdinger?
She stepped to a retard sportin' a four-finger ring
Somewhere in the skin tight jeans
I'm gonna scoop the best of the Brooklyn-Queens


Last exit to Brooklyn I enter
Carefully the Queen holds my scepter
Gettin' numb like a Derelict on scotch
I'm Dick Lewis, cause baby I'm watchin' you
Scheme on a brother for a knot
To choose between the have and the have-not
Do you doubt the shade of vanilla?
I'll play Elvis and you play Priscilla
Oh he's no hero, better yet Billy Dee
Advertise cheap liquor for a fee
A Brooklyn Queen, rushes Russell Simmons
That's like Tyson rushin' Givens

* Daddy Rich scratches ""Brooklyn!"" repeatedly over drum beat *
* 3rd Bass says 'Brooklyn-Queens' (3X) *
 Who's on Prince Paul's cactus?
'Brooklyn-Queens'
 Hahaha, yeah check it out
'Brooklyn-Queens'
Yo, 'Brooklyn-Queens'
* Daddy Rich keeps scratching *",https://genius.com/3rd-bass-brooklyn-queens-lyrics
The Cactus,The Cactus Album,1989,"3rd Bass deals with the first place
Of where your mind is
The kind of stuff that you want to smoke blunts with
Take pictures, like Allen Funt would
Snapshots get the crack hot
Good to get it, but don't sweat it
Cause if you pursue she'll chalk the cue
And boom, stroke the 8 ball
Stick and run and were having fun
Prickin' my cactus like I'm shooting my gun
Quickly 'til it explodes and I unload
The cactus

I stand for lust of quenchin'
Gee sit on cactus and rotate
Enough time to clock a digit
Ass so large it won't quit
So I step to kick to
The Oval Office in my intro
Throwin' low bass to the third line
A girl on mines a prop
So I found loops to hold
And then a boomin' butt to go
To go lo solo readily
It's the cactus behind door 3

The smart villain, chillin' like Gilligan
Out on an island
Fishin' with my string and bamboo
Caught somethin' in a see thru nighty
Might be a little tasty
A 300 pound white girl
No one to see this, boom, I dropped my fluid like a chemist
She's contained and I'm a lame brain
But doing the wild thing
Kicked the fat thing off of my swing
Larger than Jim Backus
It's the cactus

No boots your money spent
Last call for toxicants
One move to reach a throttle
Eyesight is through a goggle
I trips to the hype type
Good-looking in the dark light
It's appetizing to conversate
To a fossil pushing 58
All bags and her butt sags
In the desert no price tag
A household tool and a stank ho
The Cactus turned Hammer's mother out

There it is, RIF Productions has brought forth the cactus
Forget what you have heard, forget what you might have seen
'Cuz this is the new thing to swing upon in 80-deca
Sam Sever got the cactus
Pete Nice got the cactus
Tayshaun got the cactus
MC Serch got the cactus
Russell Simmons got the cactus
KMD got the cactus
(?) got the cactus
Ahmed and Otis got the cactus
Big Craig got a BIG ol' cactus!
(?) got the cactus
Dante, he got a little itty bitty baby cactus!
...but he can still use it, ha ha ha haaa!
See ya! Yo, we're Professor Griff, that means we're outta here, sucka",https://genius.com/3rd-bass-the-cactus-lyrics
Product of the Environment,The Cactus Album,1989,"Alright coming up now another request (this one)
This time from the boys down at Anna's Pizza Paradise
A new arrangement of a great oldie in rhythm and blues
Verse One: Pete Nice (Prime Minister)
In the heart of the city you was born and bred
You grew up smart or you wound up dead
Things moved fast, but you knew the scoop
And your savior was a rhyme and a beat and a rap group
A modern day production of the city street
You said I didn't have it that I couldn't compete
So the sleeper did sleep but the sleeper shoulda woke up
Now you're in my sight, the buddha sess you smoke up
That's the element you carry your rhymes on
That style of rhyme won't let you live long
Cause a strong song to you is what I sent
Cause I'm a product, of the environment
Chorus:
There it is, black and white (2X)
Verse Two: MC Serch
On the streets of Far Rockaway Queens
Seagirt Boulevard, Beach 17
Redfern Houses where no MC would ever go
Is where I did my very first show
Had the crowd had the rhymes going, I never fess
(His reward, was almost a bullet in his chest)
And on that stage, is where I first learned
Stick out my chest to be a kid and get burned
You're so foolish, but I think you knew this
That on the the microphone punk I can do this
And doing this, is what life meant
Cause I'm a product, of the environment
Chorus
Verse Three: MC Serch, Pete Nice
Back in the days when kids were mack daddies
Striped Lee jeans
, playboys and Caddies
Long Beach, the M.O.K. center
He almost caught a bad one when he tried to enter
Our way
Bang!
Bum rush the back door
Then scatter, onto the dance floor
Me and my boys, skeezin the cuties
Never had static, cuz everybody knew me
Local DJ's, tearin up the wax
And out the corner, some kid gets taxed
After the party, crack open a forty
Vicked it from the store yo the man never caught me
Went up to the arcade, cranked the bass
And then the five-oh chased us from the place
Hop on the railroad, play the conductor
Everywhere I went, I always tucked a
Marker in my jacket to tag where I went
Cause we were just products, of the environment
Chorus
Verse Four: MC Serch, Pete Nice
I wanna tell you something that gets me kind of mad
...it's about my dear old dad
He's tired, and worn, and works a nine to five
Clockin thirty G's a year to survive
But I know kids who in a month or so
Make that money selling the llello
Pushin a drug, I can't understand
Destroyin a life with a buck in the hand
Play rotten slum chain, local street hero
But if you ask Serch, you're just a bunch of zeroes
Too bad cause when you're older, you won't have a cent
Cause you're a product, of the environment
Chorus
Verse Five: Pete Nice
You hear it in the strength of my voice and in my rhythm
Now you know, how I was livin
It happened to me, like it happened to Serch
Prime Minister Pete Nice'll kick the verse
In Bed-Stuy with my boy, Kiwai Height
The K to A Kingston, Wednesday night
To the Empire, show slammin
Open for Dana, crew flammin
Mouth open wide, or listening
Dumb dope with a forty in my system
Unprotected but respected for my own self
Cause of talent, no shade, or nothin else
A time of tension, racially fenced in
I came off (and all the brothers blessed him)
I left more than a mark, I left a dent
Cause I'm a product, of the environment
Outro: K.M.D. and Serch
Aiyyo Serch, skin is just a color of the mind and the soul
And a brother ain't a brother if his heart is cold, youknwhatI'msayin fellas?
Word
And I think we need a positive Kause in a Much Damaged society
Word up man nubians killin nubians, brothers just don't understand
Word maybe it's some of that crime that's stoppin the growin
The drug pollution and all needs to calm down
Word man, cause that's what we need, we need Griff Productions
We need a K.M.D. man to uplift the race and bring Kause in the beginning
And a Posse called Get Yours
There it is, to all y'all bigots who want us to bend
We're just products of the environment, peace!!
Hopefully...
(There it is, black and white)",https://genius.com/3rd-bass-product-of-the-environment-lyrics
Flippin’ Off the Wall Like Lucy Ball,The Cactus Album,1989,"But my balls itch!!  *laughter*
Oooooooooh!
Dedicated to my man, Pete Nice, knahmsayin? *laughter*
Oahhhh I got.. HA HAHAHAH! *uncontrollable laughter*
Oahhhhhhh, when I was a little baby
Little baby boy, hooooh!
A little itty bitty baby boy
I was blessed with soul.. *more laughter as the beat stops*
This is def, hoooooh!
Mmmmmmmm..
This goes, this goes back
This takes me back to 1940's, when I was a little baby
New 
?
 sittin on Kevin Renald's lap
And he said to me, ""SON you've got so much soul..
You've.. hooooh you've got, soul comin out your ass"" *laughter*
Now peep this, see..
You've gotta take this back down South
Oh I'm buggin, I'm flippin
Hahahahaha, huh, flippin right?
Now see you, got to understand where this is comin from
Little white boy, down South
No motherfuckin white people around
And they said to me, they said, ""White boy!""  *laughter*
""You've got a whole, mess of soul""
They said, ""White boy!
You gonna grow up, to have so much soul
A little little itty bitty baby boy!""
Ha hah.. oh shit!
""Hohhhhhh, you've got soul
Way down in your little itty bitty baby toes
You got soul..
You've got so much soul it's comin out your asshole!
Whohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhle mess of soul""
They said, ""Kevin!  When you grow up
Gonna work with a lot of white people think they're black!""
	*laughter*
They said, ""Oahhhhhh, Kevin boy!
When you grow up, you gonna go to the big city
Meet a, man named Peter
Gonna look like a white boy but he's a def MC
He got soul.. comin out his asshole!""",https://genius.com/3rd-bass-flippin-off-the-wall-like-lucy-ball-lyrics
Triple Stage Darkness,The Cactus Album,1989,"""You are sleeping!  You do not want to believe
You are sleeping!""
* DJ Richie Rich cuts
""Guide you out of triple stage darkness"" -] Rakim, +I Ain't No Joke+
And Chuck D saying ""Follow the now!"" *
""Prime Minister!""

Black zone darkness, void as snakepit
So I'ma spit a lyric at the packed lip
Sit stunned I drum lyrics in your egg case
Space filled, darkness a blank face
Recognize unknown throne at deep depths
A Prime Minister incites a slow death
Of a rational thought through the physical
Triple Stage Darkness, first stage lyrical
Sight to see, a piece of the Serch-light
Truth is loose, lips slips to Twilight Zones
Prone to blurry vision
I'm 20/20 and your in-tune is in prison
Switchin from this track, move back in motion
Unaware of your own evolution
Regress through the tunnels and flee light
Illumination, the first stage, my birthright
* DJ Richie Rich cuts
""Guide you out of triple stage darkness"" -] Rakim, +I Ain't No Joke+
And Chuck D saying ""Follow the now!"" *

Deaf, dumb and blind, the 3rd Bass find
You move further away from the swine
As I rhyme in effects your slide into tape decks
Light black in your face, what do you do next?
The question posed -- you're livin in delirium
Serch speakin in a spasm, can't you see him?
But you can't see the light's dim, it's growin darker
Cut off from the knowledge, un-smarter
Depart from the norm, completing a born to born
From opportunity, comes a thunderstorm
That sets in, tricked by the trickster
The only way out is DJ Nite, or Prime Minister
You follow, but attention span is minimal B
Now you're lost, never thought of intellectually
The 3rd's word, guide you as we spark this
Cause you're blind in the second stage of darkness
* DJ Richie Rich cuts
""Guide you out of triple stage darkness"" -] Rakim, +I Ain't No Joke+
And Chuck D saying ""Follow the now!"" *
""Prime Minister""

As I move, I soothe like stimuli
Not professor of hype, ask why
Some fable'll hold true to written word
Over lessons of life, the 3rd of Bass
Face up, step to a devil
Not takin, but remain invisible
Men judge by passin a mountain
Called Caucus, and ignorants are mouthin

Fallacy, the great wall, fell in disgrace
How can hatred uplift a race?
Not a dribbler or watermelon picker
Givin you the Gas Face, as I'm dickin ya
DOWN DOWN DOWN, but up from Sa-tan
Knowledge is a child with a mind and a crayon
Brilliance in difference, tracin true sight
Third stage knowledge, brought forth a new light
* DJ Richie Rich cuts
""Guide you out of triple stage darkness"" -] Rakim, +I Ain't No Joke+
And Chuck D saying ""Follow the now!"" *",https://genius.com/3rd-bass-triple-stage-darkness-lyrics
