title,album,year,lyrics,urls
Description of a Fool (Talkie),Revised Quest For The Seasoned Traveller,1989,"""Fool"" - defined in Webster's
Open up the book, read it, read it
Turn the page, see what it says
Read it to me will you, please
(One who acts dope doltishly
So what? What does it mean to me?)
That's you (How's that?) ‘Cause of the way you act (Huh?!)
Standing on the corner sellin’ jumbos (What you talkin bout?)
Scaring your friends and also your foes
What's the matter wit'cha boy? (Ain't nuttin wrong with me, mother...)
You big galoot (Huh?), you nincompoop (What?)
What's wrong wit you? You can't compute (Yes, sure I can compute)
Don't fix your lips to tell me you can
Standing on the boulie playin pusherman
What you got to do with yourself? (Oh what?)
Can't you be somebody else? (Sure)
Look at you, described to a tee (Huh)
You're a fool of many in society (Crazy)
I know some more, I shall go on
And continue in the song, fooled the fool
""Fool"" - scratched by Ali Shaheed Muhammad
(Man I don't know what you're talkin bout callin me a fool
I've been out here for twenty-some-odd years
Doin’ my thing, I ain't no fool, man
You crazy or something?
I'm gonna stick this, right up your...)

The girl I talked to she's sort of neurotic (Yeah)
Her crazy ex-boyfriend is really psychotic (Uh-huh)
Scares the girl by threatening her life (word)
Says ""Girl, you're dead if you're not my wife"" (Oh man)
Beats in her public, beats her in private (Yeah)
Tried it 'round me, almost a riot (What you gonna do?)
Said ""Forget him, don't you know he's a loser
Who would love a woman turn around and abuse her?”
Only a fool as described by the Tribe
Here's another one who's on the fool vibe (Okay)
Gonna make it short, gonna make it quick (Why?)
For this situation makes me sick (Oh)
See your brother man, with the female (Yeah)
He's crazy ego tried to show he'll prevail (Uh-huh)
In any situation, lady luck's on his side (Word)
Emotions run free, nothing he will hide
Why I remember one sunny day (Yeah)
Took my cousin to the park so we can play (Yeah)
On the way, a couple resembled
The one I just described, everything assembled
Another young man walked in their direction (Yeah)
Bumped him a bit, excused his imperfection (Mmm-hmm)
But the man with the lady grabbed the other by the neck (Mmm-hmm)
Demanded an apology and also respect (Mmm-hmm, mmm-hmm)
The young man aggravated grabbed him back and smacked him
The girl just laughed and laughed and laughed at him (Oh, man!)
He felt ashamed for what he had done
It looked like a fool to everyone (OH!)
These are three stories from the naked city (Yeah)
Reality, is sometimes saditty (Yeah, uh-huh)
Like Rod Serling from The Twilight Zone
Earth to your brain - is anyone home? (What you talkin bout?)
I see ya there, tryin to make amends
Try to make some friends, but now my story ends (Oh, man!)
On the note, that I just wrote
Stay afloat on the reality boat (Oh)
Slow down and think and take it cool
And try to avoid the description of a fool

Man, Tip, you think you all that now that you on wax
Or something that you can tell a brotha what to do?
You know I’m older than you? I’m your senior, brotha
Man, you better go someplace with that old fool nonsense
I’m gon’ keep doin’ what I gotta do
And survive the way I gotta survive, know’m’sayin’?
You can’t do nuthin’, can’t do nuthin’, man
Know’m’sayin’? I’ve been out here too long doin’ my thing…",https://genius.com/A-tribe-called-quest-description-of-a-fool-talkie-lyrics
If The Papes Come,Can I Kick It? (Single),1990,"The Lord giveth, and the Lord taketh away
But not Hip-Hop yo
And let it be known that we are on some umm
Ehh ahh, uhh, a-chicka-uhh
Ehh ahh, uhh, a-chicka-uhh
And this ain't on the pop tip yo
Are y'all kids tucked in?
(Yeah!)
Here we go..

People in the audience they cry out ""ho""
People with a gun, yo they'll cry out ""bo!""
I don't like a cop, I don't sell a rock
But still the kanga's clock me after a show
Standing on the stage dripping, pouring with sweat
To people in the crowd I give what they get
Papers make paid, babies make laid
I don't really worry nor do I fret
Waiting for the gimme and boy I got some
Sweet like a peach and tart like a plum
I thought what I think, I rock a bead link
Legally I sip when I turn twenty-one
A letter to the homeboy that freaked the head dome
The army wants me to drop my microphone
Gotta be brief, no orders from a chief
Hot butter on what, say what, the popcorn
On the tour bus we hit the truck stop
A dollar for some chips, a quarter for some pop
We laugh and giggle some, Phife gets the honeybuns
Ali Shaheed Muhammad keeps talking that shop
The brothers cruise on as we quest for the check
Calling up Famous to see if it's there yet
Not a bourgeoise, hate the seminar
Ignorant flip, hey miss you must jet
Flex for the funkiest, butts start to bounce
Measure Hip Hop for weight, by the ounce
Bush on the tush, you're pulling while I push
Play me for the punk then puss, feel the pounce

It's like that y'all (keep on)
Freak freak y'all (keep on)
(Repeat x4)

A young baby brother growing up in the world
Used to be a bottle now a 40 and a girl
Standing on the corner cold chilling, talking shit
Wake up in the morning fix a plate of hominy grits
Change my diaper, clean my pacifier
Smoke to get higher if I would like to jump
Muhammad drum machining, dust it off clean and
Make a funky beat to keep the street steaming
Look from the heart and cold living lum
Good from the start like a newborn nun
Eat to get fatter, but that don't matter
Born out in Brooklyn and that's where I'm from
May 22nd out on Ocean Ave
From around the way so I be knowing the half
Peace to Sweet Daddy and on to Mike G
The harder they come is as hard as we be


If the papes come yo yo I won't riff
I'll just sit down and get me a spliff
With mines I was born, a child of the corn
Molecules of the land they uplift
Levels is straight, in fact they're rectified
Adrenaline now is crazy multiplied
Four and four is eight, if fat shit makes the plate
I make sure the Tribe is in
With the quickness you bear the witness
Flexing and pumping with the fitness
Moving it - uh, doing it - uh
Those who oppose must hit the s-list
Doing it, doing it with the whole frame
Look what's in the mind and not in the brain
On this you can quote, we on a diffy note
Quest for the future, 'stead of the fame
One ninety-one brothers grabbing they thingies
Forgot the name, oh, equivalent to Jimmy
Hiddle-iddle-it, you think I have to quit
Ali Shaheed Muhammad, with the singy-singy
Slamming with a slammy you front, on the case
Right or left nut Ali plays the ace
Do what you do, flam for a crew
Bonita Applebum blows smoke in Sha's face
Slang for the kang, you must if you have
Dribble hops out giggle yo proper term is laugh
Brothers who are snakes, I label them as fakes
Instincts to travel up the hood path, c'mon


Thank you
As you all know, you just can't believe everything you see and hear, can you?
Now if you will excuse me I must be on my way",https://genius.com/A-tribe-called-quest-if-the-papes-come-lyrics
Can I Kick It?,People’s Instinctive Travels and the Paths of Rhythm,1990,"Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Well, I'm gone (Go on then!)

Can I kick it? To all the people who can Quest like A Tribe does
Before this, did you really know what live was?
Comprehend to the track, for it's why cuz
Gettin measures on the tip of the vibers
Rock and roll to the beat of the funk fuzz
Wipe your feet really good on the rhythm rug
If you feel the urge to freak, do the jitterbug
Come and spread your arms if you really need a hug
Afrocentric living is a big shrug
A life filled with fun that's what I love
A lower plateau is what we're above
If you diss us, we won't even think of
Will Nipper the doggy give a big shove?
This rhythm really fits like a snug glove
Like a box of positives it's a plus, love
As the Tribe flies high like a dove
(Can I kick it?)

Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Can I kick it? (Yes, you can!)
Well, I'm gone (Go on then!)

Can I kick it? To my Tribe that flows in layers
Right now, Phife is a poem sayer
At times, I'm a studio conveyor
Mr. Dinkins, would you please be my mayor?
You'll be doing us a really big favor
Boy this track really has a lot of flavor
When it comes to rhythms, Quest is your savior
Follow us for the funky behavior
Make a note on the rhythm we gave ya
Feel free, drop your pants, check your ha-ir
Do you like the garments that we wear?
I instruct you to be the obeyer
A rhythm recipe that you'll savor
Doesn't matter if you're minor or major
Yes, the Tribe of the game we're the player
As you inhale like a breath of fresh air
(Can I kick it?)",https://genius.com/A-tribe-called-quest-can-i-kick-it-lyrics
Bonita Applebum,People’s Instinctive Travels and the Paths of Rhythm,1990,"Do I love you?
Do I lust for you?
Am I a sinner because I do the two?
Can you let me know
Right now, please
Bonita Applebum

Bonita Applebum, you gotta put me on
Bonita Applebum, I said you gotta put me on
Bonita Applebum, you gotta put me on
Bonita Applebum, I said you gotta put me on
Bonita Applebum, you gotta put me on
Bonita Applebum, I said you gotta put me on
Bonita Applebum, you gotta put me on
Bonita, Bonita, Bonita

Hey Bonita, glad to meet ya
For the cunning, stunning you, miss, I must beseech ya
Hey, being with you is a top priority
Ain't no need to question the authority
Chairman of the board, the chief of affections
You got mine's to swing in your direction
Hey, you're like a hip hop song, you know?
Bonita Applebum, you gotta put me on

Bonita Applebum, you gotta put me on
Bonita Applebum, I said you gotta put me on
Bonita Applebum, you gotta put me on
Bonita Applebum, I said you gotta put me on
Bonita Applebum, you gotta put me on
Bonita Applebum, I said you gotta put me on
Bonita Applebum, you gotta put me on
Bonita, Bonita, Bonita

38-24-37 (mmm, mmm, mmm)
You and me, hun, we're a match made in heaven
I like to kiss ya where some brothers won't
I like to tell ya things some brothers don't
If only you could see through your elaborate eyes
Only you and me, hun, the love never dies
Satisfaction, I have the right tactics
And if you need 'em, I got crazy prophylactics
So far, I hope you like rap songs
Bonita Applebum, you gotta put me on

Bonita Applebum, you gotta put me on
Bonita Applebum, I said you gotta put me on
Bonita Applebum, you gotta put me on
Bonita Applebum, I said you gotta put me on
Bonita Applebum, you gotta put me on
Bonita Applebum, I said you gotta put me on
Bonita Applebum, you gotta put me on
Bonita, Bonita, Bonita

Ayo
Who’s having a ball?
And you know, they ask me to get on the mic
And they ask me
Can I kick it?
Word
(Yes you can!)
Can I kick it?",https://genius.com/A-tribe-called-quest-bonita-applebum-lyrics
I Left My Wallet in El Segundo,People’s Instinctive Travels and the Paths of Rhythm,1990,"Toqué ese guitarra!

I left my wallet in El Segundo
I left my wallet in El Segundo
I left my wallet in El Segundo
I got to get it, I got, got to get it
I left my wallet in El Segundo
I left my wallet in El Segundo
I left my wallet in El Segundo
I got to get it, I got, got to get it

My mother went away for a month-long trip
Her and some friends on an ocean liner ship
She made a big mistake by leaving me home
I had to roam so I picked up the phone
Dialed Ali up to see what was going down
Told him I pick him up so we could drive around
Took the Dodge Dart, a '74
My mother left a yard but I needed one more
Shaheed had me covered with a hundred greenbacks
So we left Brooklyn and we made big tracks
Drove down the Belt, got on the Conduit
Came to a toll, and paid and went through it
Had no destination, we was on a quest
Ali laid in the back so he can get rest
Drove down the road for two-days-and-a-half
The sun had just risen on a dusty path
Just then a figure had caught my eye
A man with a sombrero who was 4 feet high
I pulled over to ask where we was at
His index finger he tipped up his hat
El segundo, he said, my name is Pedro
If you need directions, I'll tell you pronto
Need a civilization, some sort of reservation
He said a mile south there's a fast food station
Thanks, señor, as I started the motor
Ali said ""Damn, Tip, what did you drive so far for?""

Well, describe to me what the wallet looks like

Anyway a gas station we passed
We got gas and went on to get grub
It was a nice little pub in the middle of nowhere
Anywhere would have been better
I ordered enchiladas and I ate 'em
Ali had the fruit punch
When we finished we thought for ways to get back
I had a hunch
Ali said: pay for lunch, so I did it
Pulled out the wallet and I saw this wicked beautiful lady
She was a waitress there
Put the wallet down and stared and stared
To put me back into reality, here's Shaheed
""Yo Tip man, you got what you need?""
I checked for keys and started to step
And what do you know, my wallet I forget

It was a brown wallet, it had props numbers
It had my jimmy hats, I gotta get it man

Lord, have mercy
The heat got hotter, Ali starts to curse me
I feel bad but he makes me feel badder
Chit-chit-chatter, car starts to scatter
Breaking on out, we was northeast bound
Jetting on down at the speed of sound
Three days coming and three more going
We get back and there was no slack
490 Madison, we're here, Sha
He said, ""all right, Tip, see you tomorrow
Thinking about the past week, the last week
Hands go in my pocket, I can't speak
Hopped in the car and torped' to the shack
Of Shaheed, we gotta go back
When he said ""Why?,"" I said ""We gotta go
'Cause I left my wallet in El Segundo""

I left my wallet in El Segundo
I left my wallet in El Segundo
I left my wallet in El Segundo
I got to get it, I got, got to get it
I left my wallet in El Segundo
I left my wallet in El Segundo
I left my wallet in El Segundo
Come on, let's go

Come on, let's go
Come on, let's go
(Yo Phife)",https://genius.com/A-tribe-called-quest-i-left-my-wallet-in-el-segundo-lyrics
Luck of Lucien,People’s Instinctive Travels and the Paths of Rhythm,1990,"Brother, brother, brother, Lucien, you're like no other
Listen very close 'cause I don't like to boast
Instead, I'll tell the tale of a French who prevailed
Through the Mr. Crazy Rabbits who were always on his tail
We ain't on sale, your rumor starts to wail
Get caught with stolen goods and you will go to jail
If you go to jail, then who will pay the bail?
Deport you back to France on a ship with a sail
Escargot, Lucien, you eat snails
(Hey yo Tip, what's wrong with snails?)
From the Zulu nation, from a town called Paris
Came to America to find liberty
Instead of finding pleasure, all you found was misery
But listen, Lucien, you have a friend in me
Oh, luck-luck will drive your butt batty
Next time you get some wheels, make it a Caddy
In terms of doing good, I know you wish you really could
But listen, brother man, I really think you can
Succeed with the breed of the brothers on your back
It's the creme de la creme, and you can vouch for that
It'll take a minute, rice, so take my advice
Trust in us, and thus you trust in your life
Lucien, Lucien, Lucien, Lucien
You should know!

- What? Oh Tip, man, why you do that to me, man?
I though he was a friend, bruh
Oh man, can't believe that
Oh, why you do that to me?
I wouldn't do it like this
I couldn't do it by myself
Yo, it's  it to my 

Are you ready, Lu? This one is for you
Comin' from a true-blue, fits like a shoe
""¿Cómo está usted?"" or ""Comment allez-vous""
Lucien, I'll leave it up to you
Voulez-vous? (vous)
Rendez-vous (vous)
Coucou (cou)
Les poupous (pou)
Watch that lass, gonna backlash fast
Can you get a grip on the crackhead dip?
Sold you a paper bag, guess he saw you comin'
VCR from a neck-bone bummin'
$10 brother, he was hummin' and strummin'
Only had 20, he was livin' like ya slummin'
Gave him the money, well, I thought that was somethin'
Lookin' like a kid who was lost in crumbin'
Don't worry about a thing, I won't get specific
This is a song that is long and prolific
Think of the stuff that I said if you can
Figure it out, compute, understand
No problemo, I'll help you with your demo
If you go to the store for me
Lucien, I'm just kiddin'
You should know!

- Hey, yo, wassup' man? What's your name?
- What kind of accent is that?
- It's a french accent, you know, I'm french, I'm from Paris, don't you think it's sexy?
- No, it's not a sexy accent
- Oh, man ! Give me a try ! You try to kiss me enough? Hun? Oh please what! Love me french, french me love, everybody love my accent! Why nobody like it? Q-Tip  city of Paris. Why is that? Oh! I'm sexy, and I'm french, everybody love my accent, I'm the best, yes, yeah! Je t'aime! I love you! I love you oui, je t'aime! I'll teach you french, I'll make your french good!

You gotta get a grip on the missions you'll be takin'
Not so much the mission, but you got crazy ignition
Sure, the sugar-babies wanna give you a chance
With the French ""savoir faire"" and the sexy glance
But is she really fly, or is she a guy?
I won't ask why, 'cause I know that you try
You try too hard, is that the answer to the riddle?
Instead of doin' so much, why don't you do just a little?
Boy, what a cad, I guess we shouldn't treat him bad
In fact, it would be nice if we understood him like
A case of positionin' the feet in the shoes
Sympathetic reason in the case of the blues
Lucien is blue, even though he's really brown
I had to make the sound, his life is too profound
On the up-and-up, he's somethin' like a little pup
Young and naive, it's hard to believe
As long as you're strong, you can quest with the Questers
Jolly like a jumping bean or a jester
Lucien, Lucien, Lucien, Lucien
You should know!

Oh Tip, everything, you gonna be alright, man
Thank you , man
I think I'll going home, man
Bye-bye, I'll see you tonight
Oh Tip, , I'm not here",https://genius.com/A-tribe-called-quest-luck-of-lucien-lyrics
Push It Along,People’s Instinctive Travels and the Paths of Rhythm,1990,"Q-Tip is my title, I don't think that it's vital
For me to be your idol, but dig this recital
If you can't envision a brother who ain't dissing
Slinging this and that, 'cause this and that was missing
Instead, it's been injected, the Tribe has been perfected
Oh yes, it's been selected, the art makes it protected
Afrocentric living, Africans be givin'
A lot to the cause, 'cause the cause has been risen
Some brothers, they be flamming, thinking we ain't slammin'
Coming off like the days when we used to wear the tans and
A blue-collar talker, hemisphere stalker
A glass of OJ and a ten mile walk-a
If you're in a Jeep and you dig what you're hearing
Can I get a beep and a side order of cheering?
I am what I am, that's a tribal man
We all know the colors, we all must stand
As we start our travels, things they will unravel
""Que sera sera"", for this unit is like gravel
Won't be gone for long, listen to the song
If you can't pull it, all ya gotta do is—

Push it along, push it along
Push it along, yeah, push it along
Push it along, push it along
Push it along, yeah, push it along
Push it along, push it along
Push it along, yeah, push it along
Push it along, push it along
Push it along, yeah, push it along

Put one up for the Phifer, it's time to decipher
The ills of the world make the situation lighter
The clock is always ticking, the systems should be kickin'
Like Tip said in ""Ham and Eggs"", I eat chicken, chicken, chicken
Should I release the lever, the lever of the clever
Embellish on the funk as we start to endeavor?
The roots of the rap filling up the gap
With the smash of a hand and a little toe tap

The boom, the bip—the boom-bip
Indicates to the brothers that we be on the flip tip
Phonies start to crumble, funky rhythm rumbles
Through the dance-hall, but my anthem is humble
It's the nitty-gritty, my time is itty-bitty
So I kick the slash for the gipper and the witty
This ain't trial and error, more like tribin' era
Constantly rude as some sort of tribal terror
The street can't depart from the bloody heart
Repair the wear and tear, don't stop 'fore it starts
Won't be gone for long, listen to the song
If you can't pull it, all ya gotta do is—

Push it along, push it along
Push it along, yeah, push it along
Push it along, push it along
Push it along, yeah, push it along
Push it along, push it along
Push it along, yeah, push it along
Push it along, push it along
Push it along, yeah, push it along

Marching off the project, we hope that you will subject
It's good to be an object and never, ever reject
The tribe who meanders with drunken propaganda
Keep it in boom and never will we slander
Redeems should be handed, don't let me demand it
Money gives a nudge to the poet star bandit
Control it, then recluse it, follow, you won't lose it
Mysterious is the tribe for we choose it
Although she's flipping crazy, give my love to Gracie
God, could you help 'cause this Quest is crazy spacey?
The pigs are wearing blue, 
and in a year or two
We'll be going up the creek in a great big canoe
What we gonna do, save me and my brothers?
Hop inside the bed and pull over the covers
Never will we do that and we ain't trying to rule that
We just want a slab of the ham, don't you know, black?
This society of fake reality
Are nothing but a peg of informality
While I sing my song, sing it all day long
If you can't pull it, all ya gotta do is—

Push it along, push it along
Push it along, yeah, push it along
Push it along, push it along
Push it along, yeah, push it along
Push it along, push it along
Push it along, yeah, push it along
Push it along, push it along
Push it along, yeah, push it along",https://genius.com/A-tribe-called-quest-push-it-along-lyrics
Ham ‘N’ Eggs,People’s Instinctive Travels and the Paths of Rhythm,1990,"I don't eat no ham n' eggs, cuz they're high in cholesterol
Ay yo, Phife do you eat em? (No, Tip do you eat em?)
Uh uh, not at all (Again)
I don't eat no ham n' eggs, cuz they're high in cholesterol
Jarobi, do you eat em? (Nope, Shah, do you eat em?) Nope
Not at all

A tisket, a tasket, what's in mama's basket?
Some veggie links and some fish that stinks
Why, just the other day, I went to Grandma's house
Smelled like she conjured up a mouse
Eggs was fryin', ham was smellin'
In ten minutes, she started yellin' (Come and get it!)
And the gettin's were good
I said, ""I shouldn't eat it"", she said, ""I think you should""
But I can't, I'm plagued by vegetarians
No cats and dogs, I'm not a veterinarian
Strictly collard greens and the occasional steak
Goes on my plate
Asparagus tips look yummy, yummy, yummy
Candied yams inside my tummy
A collage of good eats, some snacks or nice treats
Apple sauce and some nice red beets
This is what we snack on when we're questin'
(No second guessin')

I don't eat no ham n' eggs, cuz they're high in cholesterol
Ay yo, Phife do you eat em? (No, Tip do you eat em?)
Uh uh, not at all (Again)
I don't eat no ham n' eggs, cuz they're high in cholesterol
Jarobi, do you eat em? (Nope, Shah, do you eat em?) Nope
Not at all

Bridge!

Now drop the beat, so I can talk about my favorite tastings
The food that is the everlasting
See I'm not fasting
I'm gobbling, like a dog on turkey
Beef jerky, Slim Jims, I eat sometimes
I like lemons and limes
""And if not that, I get the Roti and the Soursop""
Sit back, relax, listen to some hip-hop

Gum drops and gummy bears tease my eyes
A sight for sore ones and some bore pies
And other goodies that are filled with goop
With fried apple roots
Delectable delights, control my appetites
Mines is for me, right, but I know what I like
Chicken for lunch, chicken for my dinner
Chicken, chicken, chicken, I'm a finger lickin' winner
When breakfast time comes, I don't recognize
Pig in the pan or a pair of bogey chides
Mixed with stewed tomatoes, home fried potatoes
Or anything with flair, cook it, I'm in there
Pay attention to the Tribe as we impose
This is how it goes

I don't eat no ham n' eggs, cuz they're high in cholesterol
A yo, Phife do you eat em? (Nah, Tip do you eat em?)
Uh uh, not at all (Come again, y'all)
I don't eat no ham n' eggs, cuz they're high in cholesterol
Jarobi, do you eat em? (Nope, Shah, do you eat em?)
Nope, not at all
I don't eat no ham n' eggs, cuz they're high in cholesterol
Afrika do you eat em? (No, Pos, do you eat em?)
Hell yeah, all the time
I don't eat no ham n' eggs, cuz they're high in cholesterol
Phife, do you eat em? (Nah, Tip, do you eat em?)
Uh uh, not at all
I don't eat no ham n' eggs, cuz they're high in cholesterol
Jarobi, do you eat em? (Nope, Shah, do you eat em?)
Nope, not at all
I don't eat no ham n' eggs, cuz they're high in cholesterol
Afrika, do you eat em? (No, Gary, do you eat em?)
Yeah, all the time
(laughing)",https://genius.com/A-tribe-called-quest-ham-n-eggs-lyrics
After Hours,People’s Instinctive Travels and the Paths of Rhythm,1990,"After hours it was cool, after hours it was cool
After hours it was cool, after hours it was cool
After hours it was cool, after hours it was cool
After hours it was cool, after hours it was cool

Ten after one I think I'll hop the horse
Downtown '83 of course
Just came from fishing, couldn't get a catch
Downtown they'll probably have a batch
A whiting sandwich and a Guinness Stout
But with the beer though I had a bout
So I exchanged it for some apple juice
I had the blues but I shook them loose
A jeep is blasting from the urban streets
Loops of funk over hardcore beats
The moon dabbles in the morning sky
As the minutes just creep on by
I get a thought and here comes my Tribe
Ritual shakes and in good vibes
Like always the Quest begins
In the mist though but the rhythms moving
We find a spot and we sit and chat
Speaking on the status quo of rap
A derelict makes a real long speech
We pay attention to the words he read
When he was done we rattled on
There was no rush because it wasn't dawn
We pointed things out about these times
The worlds famines and the crazy crimes
Inflation of the nation, it bothers me
I better go gold, to pay the taxes
Gotta be swift 'n society
The man whose made is the man who maxes
The grounds for living are being discussed
As we go, it gets close to dusk
Gather thoughts and savor breath
'Cause there's only a few hours left

After hours it was cool, after hours it was cool
After hours it was cool, after hours it was cool
After hours it was cool, after hours it was cool
After hours it was cool, after hours it was cool

Me oh my, hey-hey, hey-hey
The human hours are here to stay
This is how it seems as Phife's my witness
Bug out all night, ask Phife, he's with this
Girls be screaming on this conversation
I have my two cents for a revelation
And my watch continuously tick-tocks
Shaheed will bring up the beats that rocks
I hear the frogs and the smashing of bottles
A car revs up and I hear it throttle
It probably moves with the morning wind
Oh my God, here's Phife again
Hear him talking about last night's game
Trying to remember someone's name
So hear the frogs dancing in the streets
Once again Ali will bring up the beat
Like this

*
sounds of frogs

The beat is over and so is the night
The sun is risen and the shine is bright
We all say peace and go our separate ways
Youth is fading as we gain our days
Expedition for the song is simp'
The hours creep, excuse me, I mean limp
As we go you hear a gasp of laugh
As we start up our rhythmic path
Like this

After hours it was cool, after hours it was cool
After hours it was cool, after hours it was cool
After hours it was cool, after hours it was cool
After hours it was cool, after hours it was cool",https://genius.com/A-tribe-called-quest-after-hours-lyrics
Footprints,People’s Instinctive Travels and the Paths of Rhythm,1990,"As we start trudging
Me and my brothers we be looking and be bugging
Vehicles of life they be rolling and be nudging
Searching for the virgins of life
That be shoving out the door that's crack
The valleys of time, are always on my feet
As least the beat will combine
The calluses and corns with the funky bassline
You don't need Underdog for a nickel shoeshine or the shoes that's phat
But can I get a level on the bass and on the treble?
Footing up and down like a UNLV Rebel
The answer be amongst us 'cause we really dig acoustics
Can't be too much flacking, not too much packing
You must container that at least to dip your hand in rap
Your feet will be infectious so at least realize the fact
The rhythms are inserted and the nurse can be converted
This ain't rock 'n' roll 'cause the rap is in control
If you're a megastar, words will buy you a car
I'd rather go barefooting, for prints I will be putting
All over the earth if we can get there first
Now that we are in it, footprints are being printed
So if you recognize 'em, you can try to size 'em
They'll probably be the ones with the size nine flying
All over the field, you won't have to yield
If you want protection you can hide behind the shield

And the musician often tries to capture the new thing so that we might have melody and have rhythm as we do our thing
It's rough and tough in this ghetto, a lot of funny stuff going down but you got to walk tall. Walk tall!

You can game on the gallons if you really need to rock
But we walk while we talk as we stomping through the block
Hand in hand 'cross the land as Muhammad cross the fade
It's a Tribe who meanders, precious like a jade
It's a art, Theo arch rhymes the ground placed upon
The mind will unwind, it will soft to beyond
Catch the track, track by track, get a map to track a trail
You will find yourself behind for a map does not prevail
See the levels peaking as the rhythms keep-a screeching
A Quest, oh yes a Quest, inside the jam I will keep preaching
The point, oh yes the point, because it's close but yet so far
The liveliness is mean as we scoot across the star
We are bulging, I'm indulging in a rat-a-tat-tat
Explanation for the line is that the rhythm is phat
Keep it wild, wide and deep, you could dig it in a Jeep
But dig it in the ground because the footprint now

Walk tall!

If there's a storm that's brewing, it won't keep us from doing
Our thing as we start swinging, travelling is bringing
Joy inside the domes as we hit the road to Rome
A chair is not a chair, a house is not a home
Because my skin is brown, yo I'm gonna do the town
Rub it in the face and rub my feet all through the place
When you get your finger on the music it'll linger
Sing a song o' sixpence, sing it like a singer
A Nubian, a Nubian, a proud one at that
Remember me, the brother who said ""Black is black""
You can come while we Quest, I don't play, I don't jest
Get emotions off your chest, we are Black, we been blessed
Making moves, making motions, flowing like an ocean
The walking will continue, we know that we will bring you
The times that you have waited, more anticipated
Be gone but not for long because the feet will stay strong",https://genius.com/A-tribe-called-quest-footprints-lyrics
