title,album,year,lyrics,urls
A Hundred Million Roses,A$AP,2012,"Uh, when I die bring a hundred million roses
Pretty bad bitches making love to my posters

In my Cartiers, two lugged teeth
Threw ice in it, so I feel the breeze
Two thug bitches, thinkin about them G's
Who love the hood, they'll never leave
Four model bitches stay popping E
On that booger sugar, rolling up the trees
Spit hella game in her skinny frame
Versace frames, and her dirty bangs
She fuck her friends, then fuck my friends
This story go, it will never end, (it will never end)
It, it, it will never end
And if I die before I wake, I pray that A$AP will be great
My mama good and my girl be late
So there will be another me and the world be straight
Damn that nigga did his thang, he took over and changed the game
His silk shirt, Versace frames, his fly ass bitches
His tight ass jeans, his dirty Benz, his Cuban links
His big ass smile, his eyes is chinked
His brown ass skin, he was looking gold
He really lived, God bless his soul

When I die bring a hundred million roses
Pretty bad bitches making love to my posters
Roses, bring a hundred million roses
Roses, roses, bring a hundred million roses

Fergie, Fergie ?

Uh, tell that bitch that I'm Fergie Ferg
Remind her I'm rich but never flip a bird
Yes a nigga street, just like the curb
Young Bari high, fucking with the herd
Rest in peace to Selena
I listen to you sing when I'm rolling the weed up
Mix the Cristal with Tequila
Might fuck your bitch but I don't wanna to kill her
I beat that bitch, flash backs to Tina
I feel like Ike when I'm on the mic
And my Diet Butcher, Vera Wang
Vera Wang slang bitches for their brain
And 40 ounce bounce, thug bitches with the fangs
Who fill the block up with cocaine

When I die bring a hundred million roses
Pretty bad bitches making love to my posters
Roses, bring a hundred million roses
Roses, roses, bring a hundred million roses",https://genius.com/A-ap-ferg-a-hundred-million-roses-lyrics
Work,Lord$ Never Worry,2012,"Yeah, straight off the plane
Droppin' the flame
Hoo! Hoo! Hoo! Hoo!

A lot of niggas die, due to these streets
A lot of mamas cry, due to this beef
Purple kush got me high, don't wanna leave
See my daddy in heaven, he be the realest G
And your bitch I got her, she like my Tommy boxers
Nigga I ain't no boxer, I let that Tommy box 'em
Make 'em say ugh, Silkk the Shocker
Very rare Vesace, I bet my silk will shock her

Put in work, put 'em in the dirt
Semi gon' squirt, damn he got murked
Who got that work? He got that work
She pop that pussy, she make it twerk
A couple model bitches, thought I balled for the Lakers
All they know is suck and fuck and speak a different language
She like that cocaina, she sniff it off my banger
She like to blow my nine, I think she's going brainless
Put in work, put 'em in the dirt
Semi gon' squirt, damn he got murked
Who got that work? He got that work
She pop that pussy, she make it twerk
A couple model bitches, thought I balled for the Lakers
All they know is suck and fuck and speak a different language
She like that cocaina, she sniff it off my banger
She like to blow my nine, I think she's going brainless

All my Dominican niggas, got me speaking Spanglish
Now that I'm rapping, I'm fucking different singers
Celine Dion, Mariah Carey
I got them Nick Cannons, if you coming at me
Couple of them skinny niggas, that be trigger happy
Feel them candy girls, make them do the Laffy Taffy
They pop a pill, then they pop a bullet
Man, fucking with this nigga like playing Russian Roulette
I ain't wanna pull it, but I had to do it
I be out tomorrow, my lawyer's Jewish
He work hard, he put in work
He put in work, got these niggas going bezerk
Riding music, I see you riding to it
Bang 'em over the head, nigga that for talking foolish
Nigga, work hard, put in work
Put in work, got these niggas going berserk",https://genius.com/A-ap-ferg-work-lyrics
Persian Wine,Lord$ Never Worry,2012,"Gentle Jesus, meek and mild
Look upon his little child
Pity my simplicity
Allow me to come to thee
Lord Jesus forgive me for my sins
Make sure that you take care of my family, my mom
God bless my dad
Look over me and my niggas, Amen

A$AP murder clan, ride with the mob
Twinkle in the eye 'cause you ridin' with a star
Rebel all black and we dyin' for the cause
Keep your hands down when you talkin' to a boss
See Lou Banga ridin' in a Porsche
Bet that nigga teeth look better than yours
All gold slugs and I don't need to floss
Young Trap Lord, might die on a cross
Gold link chain swing down to my balls
Bout to rule the world, gettin' signs from the Lord
Lord say ""Ferg, damn you my boy
Wanna be on top? Nigga, it's your choice""
I don't give a fuck, I'ma ride with my niggas
Right on the block, gettin' high with my niggas
High to the sky, puff lye with my niggas
Drunk drive with my niggas, I'ma die for my niggas, uh

I'ma ride for my niggas
Tote crime for my niggas
Pull a .9 for my niggas
Drunk drive with my niggas
Get high with my niggas, uh
Provide for my niggas
Get high with my niggas
Puff loud with my niggas
To the sky with my niggas
I'ma die for my niggas
I'ma ride for my niggas
Tote crime for my niggas
Pull a .9 for my niggas
Drunk drive with my niggas
Get high with my niggas, uh
Provide for my niggas
Get high with my niggas
Puff loud with my niggas
To the sky with my niggas
I'ma die for my niggas

Get in your skin, like a dermatologist
Bunch of dirty niggas who ain't never been to colleges
Fuck your hypothesis, I be on that rider shit
Bang him over the head, I bet that shit'll silence him
Margiela stallion, bitches be Italian
God pray for me, I know my daddy smiling and
I'm gon' make you proud, save me a cloud and when
I make it to heaven you'll be by my side again
Bless all my violent friends, they don't know right
All they know struggle pain all of their life
Washing down pain with that purple and Sprite
Murder death kill nigga fuck your side
Uh, cause D Ferg got the fuckin' toast
Uh, cause A$AP fuckin' do the most
Uh, with the .9 in my 40 Belows
Ridin' to the club with a snub nose

I'ma ride for my niggas
Tote crime for my niggas
Pull a .9 for my niggas
Drunk drive with my niggas
Get high with my niggas, uh
Provide for my niggas
Get high with my niggas
Puff loud with my niggas
To the sky with my niggas
I'ma die for my niggas
I'ma ride for my niggas
Tote crime for my niggas
Pull a .9 for my niggas
Drunk drive with my niggas
Get high with my niggas, uh
Provide for my niggas
Get high with my niggas
Puff loud with my niggas
To the sky with my niggas
I'ma die for my niggas

Our Father who art is in heaven, hallowed be thy name. A$AP. Thy kingdom come, thy will be done on Earth as it is in heaven. Give us this day our daily bread and forgive us our trespasses as we forgive them that trespass against us. And lead us not into temptation, but deliver us from evil for thine is the kingdom, the power, and the glory",https://genius.com/A-ap-ferg-persian-wine-lyrics
Choppas on Deck,Lord$ Never Worry,2012,"Medusa faces turn me into stone
Versace killers and Raf murdering Dior Hommes
My skinny niggas fuckin' bring the chrome
The only thing I'm killin' is a microphone
Now let my little niggas take you home
One straight to that dome
Betta ring the alarm, Fergy's home
Ever taste the chrome? Way far from a silver spoon
Sing your lullabies, watch your mother and your brother cry
Fuck your sister brains, causin' mental homicide
Motherfuck' your life, fuck your family nigga, fuck your wife
I be down for life (A$AAAP), my brothers for life
Big money, talk to me knots
Talk to me nice or don't talk to me at all
Grippin' that Mack now he grippin' the floor
Ratatatat—let it split through your jaw
Laid on your back, whisperin' Lord, bet he couldn't see his death
Berettas under the leather he couldn't see this Tec
Teflon vest for those who test
A bunch of niggas gettin' throwed call me Jazzy Jeff

I got these choppas on deck
And the 9 is on deck
And the llamas on deck
Just in case you ain't heard what I say
I got these choppas on deck
And the 9 is on deck
And the llamas on deck
Just in case you ain't heard what I say
I got these choppas on deck
And the 9 is on deck
And the llamas on deck
Just in case you ain't heard what I say
I got these choppas on deck
And the 9 is on deck
And the llamas on deck
Just in case you ain't heard what I say

I'm drowning these niggas, no coroner with me
Invite 'em in water like formula 50
I'm pipin' your daughter, muhfucker come get me
One clip to that brain, gone in a jiffy
I'm poppin' your dame, cum on the titties
Beef lo mein, all in her shrimpy
Oodles and noodles, hangin' out his fitted
Somebody done died, who knows who done did it?
Somebody gon' ride, bang em with the Smith and
Nines men in black, I will Will Smith him
Semi-automat', brattttt it would lift him
Preacher gon' sang, momma gon' listen
He was on that bullshit, Jordan or Pippen
So I had to pull shit, feeling so tempted
Rocks on his socks, Shawshank Redemption
Somebody gon' die, who knows who done did it?

I got these choppas on deck
And the 9 is on deck
And the llamas on deck
Just in case you ain't heard what I say
I got these choppas on deck
And the 9 is on deck
And the llamas on deck
Just in case you ain't heard what I say
I got these choppas on deck
And the 9 is on deck
And the llamas on deck
Just in case you ain't heard what I say
I got these choppas on deck
And the 9 is on deck
And the llamas on deck
Just in case you ain't heard what I say",https://genius.com/A-ap-ferg-choppas-on-deck-lyrics
Death B4 A Million,UnKnown,2012,"Don't wish me death before I see a million
Before I see these hoes and I'm up there tell my mom that I lived it
Before they dunk a flow, motherfuckers wanna talk but think they live it, no
I be ballin' stuck up in this pivot, where you trying to go?
Stuck up in this lavish living
Fucking with ghetto hoes truth be told it's money over bitches
Gotta get this dough I'm alone in this cold world
Let's go home cause we grown girl, let's get it on

Being broke this shit ain't fucking pleasant
My daddy showed me lots of money at the age of 7
Before he went to heaven
Papa knew I'd be this way
Fucking with different bitches
To bad he couldn't see the day
But he still watching over me
The devil try to take my wings
Bounce him over the head if he stand before me, shit
I floss with nothing but the real Gs, only real niggas
Introduced me to Supreme team, yeah them real killers
And I layed a couple niggas down for the real figures
I was born in this shit thats why I claim to be the realest nigga
Choppin' it up with all of the thugs
Mobbin' it up with all of the bloods
Bicin' it up with all of the homies
Sippin' it up with all the broads
How many times I've dreamed of cars
Dreams of me living large
Big stars like El Debarge
Money not a thing I'm grinding hard
Lord,.. deliver me my wishes please
I've been eating all this time can y'all niggas do the dishes, please

Don't wish me death before I see a million
Before I see these hoes and I'm up there tell my mom that I lived it
Before they dunk a flow, motherfuckers wanna talk but think they live it, no
I be ballin' stuck up in this pivot, where you trying to go?
Stuck up in this lavish living
Fucking with ghetto hoes truth be told it's money over bitches
Gotta get this dough I'm alone in this cold world
Let's go home cause we grown girl, let's get it on

Flossing diamonds to make them hate me more
Fuck the enemy
Die a slow death while you envy me
And I be ballin' like the MVPs
Motherfuckers cross me, now they're begging for my sympathy
Dreaming of millions of dollars and making bitches holla
Purple label collars and nothing but Devoni from product
Devonian nature got me caking
Every star you wanna see, in the belt, nigga I'm a make it
Stuck up in this californication
Got all the bad bitches swiping cards for that medication
And I get high, that's my meditation
All this determination got me
What in the world, nigga I'm a take it
So, give me what you got while I'm making it hot
Escalating to the top getting money 'til I drop
Sprinkle lavender then I roll up and I'm tippin'
Reminiscing on how the real Gs fuckin' did it
Thieving on niggas

Don't wish me death before I see a million
Before I see these hoes and I'm up there tell my mom that I lived it
Before they dunk a flow, motherfuckers wanna talk but think they live it, no
I be ballin' stuck up in this pivot, where you trying to go?
Stuck up in this lavish living
Fucking with ghetto hoes truth be told it's money over bitches
Gotta get this dough I'm alone in this cold world
Let's go home cause we grown girl, let's get it on

I be on the same shit Master Farak was teaching Elijah
I be with the same click shout outs to Bari and Elijah
Shout outs to Dev the young messiah
Shout outs to all of the young disciples
Shout outs to Rocky for pumpin' the fire
Toast up to the most high for making us higher
Those in the skies to the angels above
Don't feel the cries of them niggas below
Rollin' my eyes to the back of my dome
But I take one poke cause I don't really smoke
Hell if I could then I'd take one toke
Cause all of this pain ain't no joke
I feel the rain but my clothes ain't soaked
It's just no grub but it ain't got dope
If there's no bub then I ain't go hoes
Bitches dont want a buck if it ain't got Os
They want Os at the end up the bub
They want the Benz with the rims so gold
They want gems with the fancy clothes
And they went ham with the fancy clothes
Money on my mind and I shine
So all my niggas knew that they could get dough
Hello",https://genius.com/A-ap-ferg-death-b4-a-million-lyrics
Shabba,Trap Lord,2013,"Short nigga but my dick tall
What I told your bitch, dog
Only thug nigga down at the Pitchfork
Dirty van bitches wanna suck my dick off
Pop a Xanny for a penny
Get to hit floor, run up in this shit raw
I got a girl, I ain't never got no fuckin' condoms
If she caught me, then that bitch would be pissed off (Real nigga shit)
Fergy be mobbing all day, prolly with
 
Marty or Jay
Them my niggas from back in the day, 
Tarzan ain't showing his face
He prolly the one with the K, fronting then he letting it spray
Two shots to a bumboclaat man, Shabba Ranks let it go to your brain
Front then he coming your way, 
let the semi dump-dump then he coming your way
Dump when the bad man come, my yute don't ramp with me
Coupe full of bad hoes, they all wanna come with me
You got a coupe with a sad ho cause she wanna come with me
Shabba!

Shab-Shabba Ranks, Shab-Shab-Shabba Ranks
Eight gold rings like I'm Shab-Shabba Ranks
Four gold chains like I'm Shab-Shabba Ranks
One gold tooth like I'm Shab-Shabba Ranks
Shab-Shabba Ranks, Shab-Shab-Shabba Ranks
Eight gold rings like I'm Shab-Shabba Ranks
Two bad bitches like I'm Shab-Shabba Ranks
One gold tooth like I'm Shab-Shabba Ranks

Skinny nigga but my dick long
 
(Pause!)
Stank puss make my dick soft
Probably bumping R. Kelly sipping Cristal
So you know the whole world getting pissed on
I don't really give a fuck if you pissed off
I just bought a Mac-11 from the thrift store
Traded for my gold chain and my pistol
Shoot a rocket make a mothafucka lift off
(Let's go)
Flacko be mobbing all day
With niggas that's chopping that yay
They chopping them choppas they handle my problems
Cause niggas be plotting these days
But the 'Rari kinda fast though, she told me pump my brakes
You stuck with a fat ho, and she wanna stuff her face
To all of my Dominican girls dem, all of my Caribbean girls dem
All my West Indian girls dem,
 I done fucked a million girls, 
damn
With a little ting a ling ling school bell a ring
Hit her with my ding-a-ling-a-ling, maybe run a train
And tell her that my niggas wanna bang and a little brain
And she wanna hang with the gang with a nigga named (Shabba!)

Shab-Shabba Ranks, Shab-Shab-Shabba Ranks
Eight gold rings like I'm Shab-Shabba Ranks
Four gold chains like I'm Shab-Shabba Ranks
One gold tooth like I'm Shab-Shabba Ranks
Shab-Shabba Ranks, Shab-Shab-Shabba Ranks
Eight gold rings like I'm Shab-Shabba Ranks
Two bad bitches like I'm Shab-Shabba Ranks
One gold tooth like I'm Shab-Shabba Ranks

I was broke last week but today be a new day
Mothafuckas like cavities, cause them niggas be too fake
Walk in this bitch with the new Wang,
 
looking like Liu Kang
With a blonde bitch that wanna snoop cane
Then she get the Batman like Bruce Wayne (Master Bruce)
I be mobbing with the A, 'til my whole body decay
I don't give a fuck what you say, 
my whole team like a parade
Twelvyy got bags of the haze, Illi be smoking all day
Me and Rock run trains on the ho, he be like ""Bitch, don't touch my braids""
Ty Beats in VA putting producers in graves
Yams got a bottle of Henny, going straight to the face
Ty Nast got a bad ho, but she's tryna come my way
But he got my last ho, so shit man it's okay
(Shabba)

Shab-Shabba Ranks, Shab-Shab-Shabba Ranks
Eight gold rings like I'm Shab-Shabba Ranks
Four gold chains like I'm Shab-Shabba Ranks
One gold tooth like I'm Shab-Shabba Ranks
Shab-Shabba Ranks, Shab-Shab-Shabba Ranks
Eight gold rings like I'm Shab-Shabba Ranks
Two bad bitches like I'm Shab-Shabba Ranks
One gold tooth like I'm Shab-Shabba Ranks
Shab-Shabba Ranks, Shab-Shabba Ranks...
Shab-Shabba Ranks, Shab-Shabba Ranks...",https://genius.com/A-ap-ferg-shabba-lyrics
Dump Dump,Trap Lord,2013,"Her hands all on my fade, bitch pop that ass in the coup
That bitch got Lisa Leslie money,
 
she balling, Sheryl Swoops
She keep rubbing her nose, I can tell she wanna snoop
That coke make my dick numb, she put it all in her glutes
Feel like Bishop from Juice, gun all in my boot
Sayonara feeling sauna when I blast that ass with that Uz', ooh
Blast that ass with that Uz',
 better hope to God it ain't you
Trap Lord with about ten jeeps, no telling what I might do
I fucked your bitch, nigga and she about to fuck my crew
She just finished with Twelvyy and now she off to Lou
Pussy-ass nigga wearing all black, claim they off to shoot
I pray to God he ain't lying, my gorillas live in the zoo
I got killers with the deuce-deuce, 
them Tan Boys my niggas
They gon' ride with me too, bust they nines with me too
That's my bilingual crew, who do sign language true
Bandannas in they pockets, how the fuck we gon' lose?

I fucked your bitch, nigga, I fucked your bitch
I fucked your bitch, nigga, I fucked your bitch
She sucked my dick, nigga, she sucked my dick
She sucked my dick, nigga, she sucked my dick
Ride around town with about 100 niggas
When you see me come around, don't try to run up on a nigga
Four pound lay 'em down, now you six feet under, nigga
If you feel some type of way, then let me see you dump nigga

Ride around my city, feeling like P. Diddy
Glock 9 in my silk shirt, nigga, no Pac and no Biggie
Spilling on, my teeth hurt but these grills worth a milli'
I was in the club, I seen the whole thing, I was right next to Meek Milly
Shout outs my nigga Chrissy, don't bug over these bitches
I ain't fucking with these ratchet hoes, I put a slug in these bitches
Pop a pill in her asshole, put drugs in these bitches
Impress my girl, she fine as fuck so I ain't loving these bitches
I just be fucking these bitches, ain't no love for these bitches
Diamond Dollas, that Fergenstein, I DDP on these niggas
Feel the heat when it bigger, bullet creeped to his window
Nigga, I'm going double wood, fuck around and catch a splinter
Nine milli', my nigga, get hung, high ceiling, my nigga
All the macks in they Maybachs, no 550, my nigga
They saying Ferg went from ""Kissin' Pink"" to a Young 50, my nigga
I'm in court for your bitch ass, that's real shitty, my nigga

I fucked your bitch, nigga, I fucked your bitch
I fucked your bitch, nigga, I fucked your bitch
She sucked my dick, nigga, she sucked my dick
She sucked my dick, nigga, she sucked my dick
Ride around town with about 100 niggas
When you see me come around, don't try to run up on a nigga
Four pound lay 'em down, now you six feet under, nigga
If you feel some type of way, let me see you dump nigga

Dump Dump
With about 100 niggas
Don't try to run up on a nigga
Now you six feet under, nigga
Let me see you dump nigga
With about 100 niggas
Don't try to run up on a nigga
Now you six feet under, nigga
Let me see you dump nigga",https://genius.com/A-ap-ferg-dump-dump-lyrics
Let It Go,Trap Lord,2013,"Trap Lord season begins, now repent your sins
This Yamborghini on the motherfuckin' check-in
You know I had to hang glide through for this one and all that
You know, we at the all-star game right now, eyes closed (Swish)
Shootin' fadeaways from half-court (Elbow in the rim and all that)
Tomahawk jams 
(Y'all still in the D-League doing, uhh, layup drills)
Ya heard? Ya feel me?

Kill a motherfucka with the Magnum .44
Find a chump slumped, nigga, magnum on the road
Body full of bullets when they found him on the road
Lay a fucker down, spray it at him then reload
This that Fergenstein and I be down to let it go
Semi or the tech, spray it at him then reload
This that Fergenstein and I be down to let it go
Semi or the tech, spray it at him then reload (Fergie!)

Ride Maybachs like Ross (huh)
 550 Benz, four doors
Praying for my niggas, they lost, dying no thing, they wolves
Riding on a gang that floss, multiplyin' by the gang that bucks
Pull a 9 on anything we spark, ménage ain't a thing, they whores
Pussy so good, need more, let me get in those drawers
5-0 in the corner store, he heard all them claps with a round of applause
Spit at your back and you lie on the floor, 
rat-a-tat-tat and you gon' see the Lord
Bitch like horse, X In Her pores, want more sex, all in her jaws
Molly!

Kill a motherfucka with the Magnum .44
Find a chump slumped, nigga, magnum on the road
Body full of bullets when they found him on the road
Lay a fucker down, spray it at him then reload
This that Fergenstein and I be down to let it go
Semi or the tech, spray it at him then reload
This that Fergenstein and I be down to let it go
Semi or the tech, spray it at him then reload (Fergie!)

I'm grippin' the Mac and you under attack
Spit at your back and you taking a nap
No heart a be pumping, your body relaxed
You talk to me dumb and that's how I react
One arm in the air like I'm waving a cab
The 9 is a bitch and she making it clap
I'm palming a 5th like I'm giving a dap
Be ready to scrap when you talk to the Trap (My condolences)
You are now talking to a boss
, 
Lou Bang still ride in the Porsche
Two thou' for the grill they cost, 
white gold teeth, no floss
Young Trap Lord like Doss, two bitches in the crib, no drawers
She rocking the mic with her jaws, 
I call that bitch Nicki Minaj
She pop one pill no cough, when shit get real she spark
Givenchy my bitches bought, smoke that life 'til you niggas see God
Getting head in the foreign cars, get the head from the foreign broads
Hasta la vista, señor, 
pussy ass niggas a see Allah
 
(Fergie!)

Kill a motherfucka with the Magnum .44
Find a chump slumped, nigga, magnum on the road
Body full of bullets when they found him on the road
Lay a fucker down, spray it at him then reload
This that Fergenstein and I be down to let it go
Semi or the tech, spray it at him then reload
This that Fergenstein and I be down to let it go
Semi or the tech, spray it at him then reload (Fergie!)

So it's like, ""Fuckin' Problems,"" platinum
 
(Bling, bling)
LongLiveA$AP
 number one album in the country (Bling blaow)
Sold out tours, what's next?
 
Trap Lord
Let these motherfuckers have it, let 'em know we not playing this year
The limb's never been so relaxed, ever, heheh
It's lonely at the top; all this shrimp, nobody to share it with
We ain't trippin' though, heheheheh
Y'all walkin' 'round with wrinkled silks, looking crazy, nah mean?
Pay your dry-cleaning bill and all that (pay that, pay that)
Cause it's like, it ain't even a competition no more, hahahahahah",https://genius.com/A-ap-ferg-let-it-go-lyrics
Hood Pope,Trap Lord,2013,"Ohh, let me sing my song
If you feel this shit, mothafucka sing along
Ohh, this the Hood Pope
Chain hang low, red rubies and the gold
Ohh, young Trap Lord
Feel your pain, I be down for my people
Ohh, drinking Jesus juice
Jeans hang low, rare rubies and the gold

And we sip, cause we hurting
Pull a chrome fifth when they murk them
Then murk off in Excursion
All cause a nigga be lurking
Big money shit we earning
A bunch of hooligans need churching
I'm the Hood Pope, these my children
And I'll be their Donnie McClurkin
Gold teeth when I'm smirking
Bunch of little kids running 'round need nurturing
Lord know that I ain't really perfect
All of these clowns run around this circus
Lord please, what is my purpose
Besides fucking these Persians?
Popping these bottles and popping these models
Please tell me where is the Sherman
And I'm smoking my weed, put me in my zone
Demons chasing me, cause they want my dome
And I carry the heat, and I sleep with the chrome
Cause I'm in some beef, and they want my dome

Ohh, let me sing my song
If you feel this shit, mothafucka sing along
Ohh, this the Hood Pope
Chain hang low, red rubies and the gold
Ohh, young Trap Lord
Feel your pain, I be down for my people
Ohh, drinking Jesus juice
Jeans hang low, rare rubies and the gold

God say ""Son, you don't wanna go down""
Now you praying in that trap when you hear that gun sound
God say: ""Son, you don't wanna go down""
Now you praying in that trap when you hear that gun sound
God say: ""Son, you don't wanna go down""
Now you praying in that trap when you hear that gun sound
God say: ""Son, you don't wanna go down""
Now you praying in that trap when you hear that gun sound

And they told you, told you time again
That ain't you gon' find your friends
You talking about you riding with them
And fighting with them, those ain't your friends
You dying, lying on cement, momma be crying ""Don't take him!
Gotta be trying but he sin, I promise he won't, ever again
God, he was a little child, he was a good kid for a while
He found the streets and then it got wild; God, I promise, never again
God, he is my only child, please awake him so he smiles""
But all she hear is lonely sounds, now he won't talk ever again

Ohh, let me sing my song
If you feel this shit, mothafucka sing along
Ohh, this the Hood Pope
Chain hang low, red rubies and the gold
Ohh, young Trap Lord
Feel your pain, I be down for my people
Ohh, drinking Jesus juice
Jeans hang low, rare rubies and the gold",https://genius.com/A-ap-ferg-hood-pope-lyrics
Lord,Trap Lord,2013,"I ain't never had shit
Not a pot to piss, window to throw it out of
Sherm got me high, get your ass in the shower
Took one pull, shit, told her it wasn't sour
Hit a double drum chant getting louder
Chant getting louder (Louder)
Mulan bitch wanna fuck for an hour
Start sucking dick, bitch, enough of the powder
Come fuck with this bougie nigga
Come fuck with this bougie nigga
High fashion, Ksubi nigga
You fuck with them booty niggas
'Cause you fuck with them booty niggas
Now Fergie all up in your groupie, nigga
Reincarnation of Master Fard
Elijah Muhammad
 reside in my heart
Diss and I'll blow, 
and shouts from Allah
Knowledge was born with science, young lord
Tripping yourself is no valish, young lord
Study your scriptures and follow your God
Life in the trap I know times will get hard
I'll pick up your life, just abide by the Lord

Abide by the Lord
Abide by the Lord
Abide by the Lord (Alright!)

You 'bout to get it from a general, I don't know if they can hear me though
Don’t you niggas ever bother tryna see me, I'm a criminal
Oh Lord, once he's in the sight of a scope
I'ma let them have it when I sever
Damn, he wants to make me set it off
I'ma bury you motherfuckers without a coffin
Never taking no shorts, we never taking no losses
When you're dealing with my crew, A$AP, Bone, yeah, we bosses
Anybody with a bone to pick
Now when I level my charge, I'm damn sure to make it stick
You must be looking to suffer, well I'ma make it quick
Gotta train load of 'ish that’ll make ya sick
I'm here to wipe 'em out quicker than a pandemic
Bone came original, not a gimmick, can you dig it?
Hell yeah they can dig it while I'm sitting on my throne
Steady laughing at you niggas trying to get it 
(Get it, get it)

Man, I'm runnin 'til the end of this and I don't give a fuck if I was 86'd
A muthafucka play me like I'm Canibus
I'm ready for the battle like I'm takin' Diz
I'm never gonna take it in and nobody can break it in
As-salamu alaykum for the bacon
 and a little bit of coke
I put the cake in and it's certified dope
Having anything to do with it, we selling every rock that they can smoke
So take a toke and I'ma rake it in, Pillsbury the dough
To the dome like I'm seeking through the soul
Like I'm peeking through the soul
But I'm reekin like our reefer, rather keep up with her, go straight to the dro
Creeping on 'em, peeping on 'em, leave 'em in the zone
They don't even really know
Looking on 'em, keeping on 'em, taking every foe
For the love of the money, I gotta reap in what I sow
But I keep it what I know for the ending of the row, gotta go, will I go?
When I get it I'ma know to follow my known foe
Know Cali and know Coe, my caliber lock and load
Alabaster box
 when I cock and I crow
Got a Glock and I'm Bone Thug, where you wanna flow?
To the clock and the time zone
Spirit gon' fly, all y'all niggas dead to the life force cyclones
Right now when they hydro
What about the well known Cairo?

Got 'em stuck in the grave
I'm on the grind full time, never rest to get paid
A little hustling mothafucka put the brush to the face
I cut the braids, hit the stage, now they looking amazed
I went from cooking the yay to hundred thousand dollar shows
Got a booking today and I'ma split it with my bros
Gotta get it how we go, come meet me with the pros
No, I'm never gonna fold, watch the bank account grow
If it ain't about dough, then it ain't about jack
And I'ma take it like I want it, I ain't giving it back
I get us in with a stack and then I get on attack
I'm like the Tasmanian Devil
, 
nigga bigger than Shaq
Call the reaper, get the shovel, I'm a certified rebel
In a league of my own and that's a whole nother level
Nothing's free, I never settle, keep the pedal to the metal
When them haters in my rearview, hello, hello

Burn! Baby, let it burn, now it's my turn
I get in a nigga's system like a hundred vials of sherm
And then I kill 'em with two thousand words in two minutes
You never heard another nigga spit it like my niggas
Yeah, but you heard 'em try to get it but they couldn’t get it quicker than the realest
Man, they thinking they can deal with this and knock me out my rhythm
But I’m never gonna be the fuckin' victim
'Cause I’d rather be the suspect, haven't I given them enough yet?
Can't they understand they ain't dealing with a punk bitch?
One quick move and it's murder
And I'ma serve a nigga exactly what he deserving
A$AP, but wait a minute
I'm prolly one of the sickest niggas that ever did it, I'm in it 'cause I'ma win it
I'ma mothafuckin' lyrical tyrant, pivotal giant of this shit
And I do way more than just twist the words
You better listen and observe how I rip the verb
Niggas get the nerve to run up on me but my shit's superb
I’ll probably hit a nigga once 'fore he hit the curb
So get at me, I'm kinda trigger happy
When it come to shootin' my gift
, 
I'm like a .44 magnum, stag one
Backin' em up, body bag full of niggas' wack raps
That’s wack so I'm stacking em up
Kray Jack in the cut, still got a little bit of murder for 'em
Murderous poet, I create a bloody murder poem
So when they run up on me, nigga, be ready to show em
Redrum, redrum, redrum, redrum, rum rum rum rum

Yo, before this project
We’d like to thank the Most High
On behalf of the A$AP Mob, Bone Thug and all in attendance
Knowing that all things belong to those
For the cleanliness and the power, the first in the nation
To prove who they are
Through infinity, through eternity, through time span
Standing, one man, if you hold my hand, hold my hand
(Make sure it's a hand)
With all things around me, I will never win
I won’t win with angels, I won’t win with the brothers
I won’t win with Rome, I won’t win with Sodom and Egypt
(I keep a corpse close to my home)
Let us roll, tell them why we did what we did, if we did
In Jesus name, Amen",https://genius.com/A-ap-ferg-lord-lyrics
