title,album,year,lyrics,urls
Chicks Be On Me,UnKnown,2006,"The chicks be on me (hi haters)
I know they want me
But me i'm balling
Got the fellas hating on me (Hi haters)
The chicks be on me (Hi haters)
I know they want me
But me i'm balling
Got the fellas hating on me

Hi haters, i smell at them
Steady getting wild with them, outlasting
All competition my swag is pass your comprehension
But you don't need hooked on phonics to read my moves
Hooked on chronic with a page to moto
Wait up, please bring over a few bottles
Of the best champagne , and put it on ice (ice)
If you gonna put it on her , put it on right
Black cocktail dress, put it on tight
If you looking of a man of honor
I'm robert de niro or Cuba Gooding Jr all night
Long as a  , you waking up the plummer
You go to sleep to a pipe dream
I make her melt like ice-cream
And now she wanna cold it back to my team
Which reminds me...

...",https://genius.com/Ab-soul-chicks-be-on-me-lyrics
The Real Hip Hop (Freestyle),No Sleep Til NYC,2007,"Did you meet Rock from Cali to Italy?
It'd be like something you've never seen, literally
Soul brother, this rap shit is like a cult
But I don't give a shit, I'll wear it like a coat
You know, I'm so hip hop I love it to death
From a DJ Scratch to graffiti on yo set
B boys that could spin on they head, you know the best
I had the karaoke machine, recording cassettes
Fill up my cup like support for breasts
I reflect back like when niggas used to flow for respect
But its all marketing now, if you ain't got a gimmick
Know what’s his name, or you ain’t got an image
Probably won't last a minute
Then you wonder why these old-heads, wonder whats happening with it
Back in the day, when a album came out, yo you had to get it
Prior to iTunes my room full of LP's
Like a Ma and Pa shop
All thanks to my mom's pawn shop
Boppin' on it since birth
And I'm all in on hot
More cuts than a club sandwich
Here to cause all you industry thugs damage
Live from the 310, and we wan't more
Like eeeny miney, serve anybody
Hand me they keys, I'm only trying to unlock my dreams but
Ha ye Ab Soul
Top Dawg E-N-T",https://genius.com/Ab-soul-the-real-hip-hop-freestyle-lyrics
Day in the Life,Long Term,2009,"My nigga, do you have a gas can?
(The fuck I'm gonna do with a gas can, nah, nigga what?)
It's just been a long ass day, man
All I need is a gas can
(Na, try down across the street, I think that nigga keep one, I don't know)
I'm finna head over there and I'mma be right back
(Fuck what you doing, man?
Knocking on the door extra hard and shit like you just stressed out or something)
My nigga, I don't even know where to begin, dog
(What happened, man?)

Look, I woke up this morning feeling fucked up
What else is new? Like God be like, ""To hell with you""
To tell the truth, I ain't been to church in like three or fo'
Years, not months, have mercy on my soul
Threw on the wife-beater, put a fitted on my skull
Took a long ass piss, grabbed my shades and hit the door
I had half a blunt left from last night
I lit that bitch up like a lightbulb and got right
Started to orchestrate my day like a maestro
I should hit the lab, I got verses like the Bible
I heard hip hop need revival
It's been camouflaged like the mascot for Geico
In that bullshit, I took another pull quick
My mind flooded like a fucking swimming pool is
Went back in the house, raided my mom's refrigerator
But everybody's on a diet and my stomach ain't quiet
I said, ""Fuck it"", hit the shower like a jackpot
The weed got my teeth off-white like crack rock
Toothbrush from the 99 cent store
I got a million dollar smile, it don't make sense though
Threw on my army fatigue shorts and a T that say ""Peace Not War""
Now everybody eyeing me
I don't know if I need an iron or it's the irony
And by the way, I'm at the gas station now
But not to get gas, just another black and mild
Shit this half a half a tank gon' have to last until Monday
And it's Tuesday, the bitches still want me like a bouquet
I hit my nigga Agent, he want to roll up two Ls like Cool J
I'm like, ""Alright, cool, Jay""
But I gotta be at work by 3, it's midday
I can't go in smelling like weed, he said, ""Okay""
Stop by the cheap tobacco store, two swishers for a dollar
And when he meet me, we finna get high, like a greeting
He told me, ""Drop five"", I said, ""I got you next time""
Long story short, I bumped my head on cloud nine
And I'm chilly chill even when it's hot outside
Rode to the studio rather blasted
I spit like a dragon that'll leave a fan flabbergasted
That's when my gas and my check engine light
Clicked on at the same exact time I signal right
And that ain't right, I got shit to do today
Cause any day you could be attending my eulogy
Got to the studio when everybody left
I saw a note that read, ""We went to go work on Detox with Weezy F""

My fault nigga, I actually came up with the idea to write that
(You laughin' but that shit ain't funny man)
It was funny at first but

A day in the life
Of mister soul brother number deuce
Damn he nice
I'm thinking if you only knew
You could fuck with it or middle fingers up to your whole crew
Tell 'em the regular nigga said it and that it
A day in the life
Of mister soul brother number deuce
Damn he nice
I'm thinking if you only knew
You could fuck with it or middle fingers up to your whole crew

Now it's 2:58 and I'm running late for work
Running meanin' stuck in traffic cause the Home Depot is finna jerk
I been in the same position before
Manager said it better be my last time, but it won't
I clocked in around 3:10 and I'm wishing I didn't
Cause UPS just brought in this big ass shipment
And for those that don't know, I work at a record store
And I make hot records (That's a sick ass gimmick)
Finished the inventory then I logged on Myspace
I had one download and 'bout 16 plays
5 friend requests from sucka MCs making a name
I signed out and had to question my aim (You weak nigga, that's all)
This old-timer walked in and we got to talking about Eric B and Rakim
And the perm on Al Sharpton
Osama bin Laden, Obama in the office
And he looked me in my face and said I'm destined for fame
Told him I do music, he like, ""Whatever you do, do it
And don't blink, the moment you close your eyes, you'll lose it""
Word to wise, that was some great advice
That I took like I stole it, then my head sort of swollen
I guess that's why I shits on 'em like a cleansed colon
Told the rest of the shoppers we finna be closing
I locked up like Akon and hit the street
It's 8 PM, and I ain't had shit to eat
All day, KFC, snackers a dollar each
Bar-b-que and nacho cheese
I bought 4, ate 3, gave one to Top Dawg
I would've had one for Punch but he moved like a sloth
I'm back at the studio now if I lost ya
And everything's straight, you can thank great posture
Hit my lil momma up cause I'm trying to cut
But she on the rag and I don't mean a bandanna
She told me come through, she gave me head like Rihanna
And I deserve a standing ovation for my swagger
Chuck the deuce, headed for the car to finish off the night right
But it wouldn't start

Laugh it up nigga, laugh it up man
Shit ain't funny man, that's why I need that damn gas can
(Gas, nigga, you gotta put 5 dollars not 3 in)
Shit nigga I ain't got 5 dollars to put in!
(That'll get you one gallon, nigga)
Whatever man, bullshit dog, keep laughin'
(Tryin' to save that extra dollar for that menu
For the McDonalds menu nigga ain't gotta cut all the time
Nigga you gotta put the whole 5 in it)
You gon' shoot me 5 or what? Fuckin' bastard
(I know you're on a budget, but damn)",https://genius.com/Ab-soul-day-in-the-life-lyrics
Ab-Soul,Long Term,2009,"Guess it's got to the point
Where I just gotta spell this shit out for y'all, know what I mean?
See, y'all niggas hear the name Ab-Soul, right?
Y'all niggas think I'm supposed to be talkin' about mu fuckin'
The flowers and the earth or somethin' like that, know what I'm talkin' about?
I'm a real ass nigga though, on everything
Lemme break it down

I said A is for the apple on the tree I ain't far from
B is for the bottom of the bottle of hard rum
Dash to the finish line, chasing the S
Which stands for my favorite three letter word (Sex)
O is for all the ounces of dro I consume
U meaning a unanimous decision of whom
Is number 1, leaving the L which stands for Love
I spread it like the blood of fallen soldiers above

You put it all together and you get Ab-Soul-
Lutely, the best, salute me or meet death
Like Gaylord Focker met the parents of his girl Martha
We're staring at you, will depart ya
Thats the 38 special
Commentary from the King author not the knights of the round table sponsor
But amongst the dopest the west coast has had to offer since the '80s crack epidemic
I play drums for the contraband
Matter of fact, hit me
King Blue you a fool for this one
I ain't even gon' spit, just drool on this one
My saliva's way liver than yours, rappers
Shut your trap 'fore I set it
Y'all gassed up like your guns, unleaded
Yeah I said it, don't chat, no telling where we headed
Close shop when I open fire
Cause Soul known to carry the cannon like Mariah
Yes I uh
Bring it to you raw and uncut
No buts like an empty ash tray, what the fuck

Matter of fact, lemme break it down for y'all one more time, look

I said A is for the apple on the tree I ain't far from
B is for the bottom of the bottle of hard rum
Dash to the finish line, chasing the S
Which stands for my favorite three letter word (Sex)
O is for all the ounces of dro I consume
U meaning a unanimous decision of whom
Is number 1, 
leaving the L which stands for Love
I spread it like a virus, it'll kill you if you buy it

I'm with your girl playing games like
Who could get the highest at the Hyatt, real fun you should try it
I got her wet, I'll send her back to you to dry it
You ain't the flyest or the king of the jungle, but you lying
And I can see it through ya iris
Drink like I'm Irish, think like a genius
Fall back I'm all that like Kel and Keenan
Add a bag of chips and the baddest bitch
I'll be posing with a black in my mouth, grabbing my dick
Constipation is an understatement I ain't ever gave a shit
You know you hot when
You only get 8 bars in a song and it's still everybody's favorite
My fault, my god, I'm a problem like a broke condom
A editor just told me nobody was in my column
Top Dawg 4th wheel and I'm still ill
Open up the car door that look like a steel mill
I hotbox like cable in the hood
And I'm good like wrenches with a sentence, understood?
And if it's not I'll leave you with this
Top Notch muthafucka, like snot muthafucka, I'm sick

Don't get infected
Bitch ass niggas
T-D-E",https://genius.com/Ab-soul-ab-soul-lyrics
100 Yard Dash,Long Term,2009,"Everybody get the fuck down now
Soul in the building
Yeah, we taking everything
Everything you got

Hit the deck I need everything you possess
I suggest you cooperate for this tech
Send you to the doctor to operate
You complicate my scheme to get rich
I'll put this heat to your T, let it steam a little bit
Look, when the chips get low, my fifth just blow
Anything that I could pawn, come about that, dog
It's money to be made and if you got it I'm taking it
Just run it like a Jamaican and shut the fuck up, nigga

And that might leave more than a rash
I'm coming for your ass
Please hand me the cash
Cause when I'm down on my last
I gotta re-up fast
Point me to your stash
Don't make me say it again
Before I lay you with Reagan, Benjamin Franklin, and them
Frankly I'm a menace
In fact I'm ready to blast
So whatever you got, run it
Like a 100 yard dash

Coming for you
Don't let me catch you slipping in that pretty whip you dip in
You would get pulled out
Like my dick in these women when I'm finna bust, don't test my clout
Your execution is a must, no doubt
For the longest niggas been taking my kindness for weakness
But this trigger is killing me and I'm just dying to squeeze it
Fire for hire, don't let your murder transpire
Thinking you will live forever like a fucking vampire
I arose from the dark to claim everything you own
And there's nothing between us but opportunity and this chrome
It don't take a genius to know I mean this, so ante up
Before I load the cannon up and blow your ass to Canada
Nigga


I'm wild with it, pistol whip whoever's in the house with it
Call the cops, tell 'em like a date, I'm going out with it
Give me the goods, give me the hand me downs
Tell your wife to pull her panties down
I need those too, what you gon' do?
Don't jeopardize your life, for the nigga hard body made of cement
Plus I'm loaded like this clip, off of the Seagrams
Lay you on the floor like granite
Granted your granny watching, I'm grinning like I ain't just hit 'em
Better believe it, my head's sort of off, shit
I would have robbed Jesus for the cross if I caught him slipping
God forgive him for this long arm like Pippen
The cars honk but times is hard hard and I gotta eat
Give me the watch, the Sean-John, even your sneaks
Give me your socks, your drawers, your fitted, your Boost minutes
Give me your stocks, your bonds, your blunts, your bongs
Your food in the fridge, your iPod, your celly
You say I'm wrong but I'm deadly
That's dead wrong so I'm heavy
Like Chris Wallace, regardless
You're getting stuck up, pussy
Like a tampon with a handgun, push me
But I ain't on the swings, I got this infrared beam and it wouldn't miss a thing
Bow!

Chyea! Rose
I got you nigga
I want everything
I want the jewels, the watches, the bling bling, all that shit
All y'all little niggas getting your chains robbed
I'm on you
I'm just playing y'all, I wouldn't hurt a fly
Came out dope though
Carson arsonist
Yeah, it's funny that you say Carson-Carson arsonist
That's where you're from right? Carson?
Yes, yes sir
Where is that exactly? If I looked on a map, where would I be lookin'?
Carson is right in between Compton and Long Beach
Shout out to Carson, Del Amo, that's where I'm from though, DA",https://genius.com/Ab-soul-100-yard-dash-lyrics
Regular Nigga,Long Term,2009,"I'm just a regular nigga doing regular shit
Doin' what I do, just doin' what I do, just doin' what I do
Just a regular nigga doing regular shit
Yeah doin' what I do, just doin' what I do, just doin' what I do

Only thing I ever seen with a purple label
Was a grape swisha, fill it with the purple kush
Pro fives all day, what you know 'bout that?
I know all my LA, niggas know 'bout that
I had the '87 with no system
Portable CD player adapter and it sound ok
Yeah it's a bucket, but I still make it around ok
I was a hustler making my rounds all day though
I keep the cool like a fridge in an igloo
Not too flashy and I ain't too ashy to class he, but that's me
Y'all niggas having menages, I was happy to score in the backseat
I had to get a job, y'all was pushing the packs
Y'all was on Melrose, we was on Am block
Y'all was shooting, we was going twenty-one no headshots
Enjoying it, you new rap niggas is spoiling it

I'm just a regular nigga doing regular shit
I drive a regular car, got my regular bitch
Still dressing the part in my regular fit
Like being regular is some irregular shit
You niggas is living the dream
You niggas is getting the cream
Ab in the back, passin' a black
Which one of y'all don't know 'bout that?
I'm on my regular shit

White shirt, black chucks
Some new tattoos, am I cool or what?
A few karats in the ear
And I make music that you need to hear
Cups up, let's toast to the year
Young old nigga, I ain't just appear
To the public, my picture's unclear
Around my neck, I don't sport chandeliers
And I don't travel in the Lear
Business or coach class, West coast I'm here
It's no benz's pulling up
No bitches in the back of the 'Bach trynna fuck
I just stack up my chips
Young black man traveling on the road to get rich
Then get wealthy, y'all don't smell me
Regular nigga now, ain't shit you can tell me


Okay, back to reality
You playboys makin' rap a fantasy
Hugh Hef could run hip-hop
How many of his hoes have y'all use his props?
In videos and whatnot, shows, entourage
How much your whole ensemble cost?
Look I'm sayin', there's nothing wrong with flossin'
But there's so much more important
Than what you sport in, how many mills you got
Or how many houses on the hill you got
They didn't love me when I was lucky enough to get new kicks
But now they all on some new shit, on who's dick?
Bargain shoppin', a walk-in closet
Until my money sky high like the mutant school
I like to give you what you're not immune to
You all look the same, I can't tell who's who


Just doin' what I do, just doin' what I do, just doin' what I do
Yeah, doin' what I do, just doin' what I do, just doin' what I do

What else could you do? What else could Ab-Soul do?
Could Ab-Soul do the 9 to 5? Could you be a construction worker?
Or is it just, is it not gonna happen, like it's gotta be music
I mean, it's really all I got man
There's not too much else I wanna do
I'm not gonna say too much I can do
But it's not much else that I wanna do really, know what I mean?
This is really my passion, but I'm just gonna ride it out
Know what I mean? Whether I'm making minimum wage with it or whatever
Know what I'm sayin'? Shit, I'm broke, I still got a job right now",https://genius.com/Ab-soul-regular-nigga-lyrics
Me & Ms. Pain,Long Term,2009,"The pain is gone!

Nah that bitch never leave
Got me waking up in cold sweats, yo I never sleep
Properly, I'm no Socrates but my philosophy is
She gone follow me as long as I live

A minute ago, I was riding bicycle
And I can buy a Now & Laters with 5 nickels
When it was washing dishes and homework, cable and bullshit
I hit the block and never left
It was exciting watching life bring light to what I'm writing about like
A lamp in a cave, while I'm trapped in this maze
But Frankie Beverly wouldn't walk in my all-stars for a day
I watched kids play and think ignorance is bliss
Then I watched Kid-N-Play on House Party
And wish I was them
See you could say I'm brainwashed
Cause I came from an era where niggas don't care about nothing
And you're judged by how much your J's cost
But me being the rebel I am, I never gave a damn
Leave it to Beaver and the rest of you suckas
I'm complex like the magazine say I'm abstract
Like a trigonometry quiz and science lab rats
If I wasn't I, you could see the pain in my eyes
I watched brothers kill brothers over system of legal tender
Deteriorating my loins with liquor looking for joy
I put my soul on a platter, enjoy
I do this for the regular people who out the in crowd
Make it popular to be unpopular
Cause if we all came together, ain't no stopping us
And it hurts me so, to think how they divided us like an island in the road
Just in control if you ain't know and yo
Lock my body can't trap my mind
I got two decades of experience on my resume
Say I don't qualify and I'll call you a lie
I'm on a whole 'nother plateau, you still trynna be fly
And that goes for the narrow-minded whose ancestor was the pharaoh
He went from number 1 to zero
Let's take it back


Nah she still on me
She stalking my innermost thoughts, I guess she want me
Cause her primary fear is to die lonely
I got no disdain for Ms. Pain
She leave me love letters sealed with a kiss
Lipstick stains on the mirror
She help me see things a little clearer
Couldn't experience joy if she wasn't near us
I remember throwing shots back 'til I collapsed
Waking up hung over in a effort to give her the cold shoulder
It never worked
As soon as I sobered up, I couldn't avoid her tender touch
Like when Hezekaia died, couldn't look his momma in the eyes
Feeling I contributed to his demise
Guilt stricken, heart victimized
Postpartum Syndrome, blacking out
She wishing it was me, she cried
Each tear was like a symphony orchestra
Beethoven over the organs, a snag of tremendous proportions
Take this recording as the truth distorted
Through the eyes of a man who reaped the fruits of her courtship
And no fortune could ever overturn the misfortunes I absorbed in
The pain made me impure like foreskin, more that I can bargain
For, still I love her forever more



And even when I die, she gon' follow my kids
Soul brother
, Ab-Soul
DJ Davis
Where'd that name come from?
Ab-Soul, it derives from absolute-ly of course
Absolutely
It's genuine, Precise was my first, one of my first names
Changed that cause of copyright issues
Then it became Absolute, changed that cause of copyright issues
Then it became Ab-Soulute, changed that cause of copyright issues
Ab-Soul just stuck, it's just been workin' for me
It's soulful, like, this type of music you're doing is soul, hip-hop soul
Is it in that sense or what?
Hey, funny story, like Soul, I added the soul because my sister was doing this production
The Dream Girls, right, and I seen Jimmy Hurley
Jimmy Hurley?
Jimmy Hurley in the part when he be like
""Jimmy got soul, Jimmy got soul, Jimmy got, Jimmy got, Jimmy got soulll!""",https://genius.com/Ab-soul-me-and-ms-pain-lyrics
Studio Life,Long Term,2009,"You know what I mean?
I think that, as soon as the trend leaves, you know to be a rapper
You know, which is coming soon, you know
We can get back to just, you know, gettin' new flavor, new talent
You know what I mean? People that's really out here doin' it
Cause we really do it, know what I'm sayin'
I live this
You're now listening to the beautiful sounds of Sounwave and Ab-Soul
Hey yo wizzle this shit sound real beautiful right here man
It's that real backpack rap shit right?
The cats that spin around on they head, they'll feel this
The niggas that walk around with they backpacks
Sayin' they love hip-hop
For real

5:30 in the morning I'm up
Cooking like a chef, rolling up a blunt
Momma say I need rest, I just need a puff
To put my mind in the clouds
With the birds and the planes and such, that's how I do it
Hit Wave up, lets make some music
It's therapeutic like lotion to bad skin
Heard there's a party later on, I should attend

Cause I don't get out much (I be in the studio)
Y'all ain't about much
You might find me in the club with a mixed drink
Talking to the woman of your dreams, but just think
I don't get out much (I be in the studio)
Y'all ain't about much
Ab-Soul, sincerely yours
This is my song and that was the chorus

As you can see I make music for the people
Real is relative and we are all equal
I be in the lab like a scientist mad
At the world and I chemical react, to rap
How real is that? I'm on the grind
Like a synapse, keep that in mind
It's all facts, don't enter the line
Or you'll miss it
Much like a lover in the distance
Plus I'm persistent, gotta keep it moving
Like a army brat foreign exchange student
Keep a certain level of class, your ass truant
Hit the road buddy, I'm a home study
Cause I don't get out much
Like a maniac straight jacket strapped up
Now that was a stretch, but nevertheless
I'm in the booth like concession stand
Workers and I'm the truth
And she wanna rendezvous, but


(You coming through tonight Soul?)
Of course!
That was Punchline from headquarters
He must have something for me
Beats by the batch, I can run through tracks
Ali can record me
Critics saying I'm the next Sean Corey
But I'm just Ab, like the muscle in your stomach
Trynna make history
Sit up and listen
As I kick victory in the mouth like women
She my main squeeze, like lemon
Add a little lime and you got yourself a Sprite
So I ain't thirsty for a function tonight
I'mma get it in, me and rap, she all I need
Cause you know me


So what type of sound are you? What is Ab-Soul sounds?
I just say, human music
Cumin music
Human music, like my nigga K Dot said, know what I'm sayin'
It's a real thing, real feelings, real thoughts, real situations",https://genius.com/Ab-soul-studio-life-lyrics
Blow Them Horns II,Long Term,2009,"Hey, welcome to DA nigga
I really thought I was a drummer for a second there

Follow me home, see where I was rose
Like the one in 2Pac's song that grew from the concrete
Half a line in Del Amo on cross streets
Baby baby mommas strappin' babies in carseats
Niggas failed art class, still they'll draw heat
Design a murder scene faster than an architect with a masters
One out of three niggas you know slang, that's a accurate fraction
Sunday dinner denim for packin' a mac in
Cheese in the pockets of potential rocket scientists gone bad
Like good girls movin' too rapid
Had it not been for the social status we after, our
Minds could've been on more than after hours
Some of us become legends, some are labeled as cowards
Others fall in between, I say I'm a king
Now you can disagree or kiss the ring
Either way nigga's kneel to my feet, don't be late
And if you make it in time to hear the trumpets, I
Know you gon' love it cause I love it
What's that?

My city blowin' them horns, it sounds like
It sounds like
It sounds like
It sounds like
It sounds like

Who wanna go 15 in a Del Amo park alley
Used to battle with the pep rally
Rest in peace Prospect, I miss you like a missile
I can vision you blowing up
I launch it in your memory soldier
Ask capital Z about snap capital G
How we used to wear triple A's and Footlocker T's
Two toned fitteds from swap meet
Prepaid Nokias would light up antennas at the AMC movie theater
Back when the bitches wouldn't holler
I was short 75 cent, he threw me a dollar
Can't forget J Silk, my ace boon coon
On me JT would've been proud of you
We used to mob to McDonalds every day after school
Or Shakey's for pizza if our allowance would allow it
I was wildin' saggin' with the crips I had no business
I learned, job or no job your ass better be with the business
I became an alchemist over instrumentals
I'm Jim Dear over here, that's the mayor say your prayers
It's C-A-R-son, daughter, father, mother's own
Turn my shakin' haters off and I'm right at home
And if you at home with me and hear the trumpets
I know you gon' love it, cause I love it
What's that?

My city blowin' them horns, it sounds like
It sounds like
It sounds like
It sounds like
It sounds like

How you like your stay so far?
Is it all it's cracked up to be?

If you ever caught the Carson Circuit
Ditchin' fifth period to hit the mall, then I hope you hearin' this
I do this for y'all, cause y'all can relate to me, you're my family
If you went to Cheapwood, Frog Acres, or Banana Lee
And still hit the ARCO on Del Amo and Central for gasoline
Chances are we know each other well
Not the one for wishes or for fishes, more like good
If you touched every Carson corner I once stood, then would you
Just open your ears and hear the trumpets, I know you gon' love it
Cause I love it

Sound so beautiful, don't you agree?
Really feel like, really feel like I'm the king of Carson right now man
For real, nothing y'all niggas could tell me",https://genius.com/Ab-soul-blow-them-horns-ii-lyrics
Watch Yo Lady,Long Term,2009,"Chh- (slurp)
Bounce, bounce Uh, uh
Bounce, bounce (DJ Dave)
Ha!
Sound like some more dynasty shit
Feel me go
(You are now in tune with your wifey favorite DJ)
Ooh-ooh-ooh
(DJ Ill-Will)
Turn this up

I'm a soldier mane, thought I told ya mane
I aim and flame ya, I'm the pro-to-pane Ahh
Niggas sizing me up like I'm buying a tux
So I interrupt, crease 'em, iron 'em up
With the nina, not talking 'bout the two singers
'Cause a leprechaun wouldn't even press his luck
I'm sure to pluck any chicken with a rhythm I could fuck
I tell 'em call me up
Like is it on or what?
Can I cut 'til dawn, or what?
A slut say she want a slice of all of us
Intelligent, say her marble's marvelous
She go down south like black colleges
I'm a psychologist, I tell her I can adjust
Anything in the world that be bothering her
Everywhere I go, guarantee she go
Pussy pop on the low, like a silencer

Back to the realest shit, cop a car, mash that
Crash that, then I'm back at the dealership
Diamonds on my neck, diamonds on my left wrist
Diamonds on my right wrist, damn it I'm the brightest
Back to the realest shit
Yeah, exclamation, fuck a explanation

Better watch yo (Lady)
(Boom) Bounce (Boom) Bounce
(Boom) Bounce (Boom) Bounce
Better watch yo (Lady)
(Boom) Bounce (Boom) Bounce
(Boom) Bounce (Boom) Bounce
Better watch yo (Lady)
(Boom) Bounce (Boom) Bounce
(Boom) Bounce (Boom) Bounce

Uh, back to the realist shit
Niggas ain't raw, you grillin'
I'ma menage a woman and I—
Barrage be intimate, a massage beginning with
Caress from her tongue, deep throat raw
Lot's of trauma, your baby momma
Brain is crazy—Jeffrey Dahmer
And I'm finna shoot—like a dirty llama
Big truck kicking up dust—conquer
Chocolate seats—Willy Wonka
Passenger—Pretty Woman
Direct a fact—bring your compass
You bringing Carson—you bringing Compton
Y'all bring the nonsense
We bring the real, like Pro Tools, never gross 500 mil
And we out in Brazil, in the green like Blanka
Bonkers—tell 'em Top Dawg is here

Back to the realest shit, cop a car, mash that
Crash that, then I'm back at the dealership
Diamonds on my neck, diamonds on my left wrist
Diamonds on my right wrist, damn it I'm the brightest
Back to the realest shit
Yeah, exclamation, fuck a explanation

Better watch yo (Lady)
(Boom) Bounce (Boom) Bounce
(Boom) Bounce (Boom) Bounce
Better watch yo (Lady)
(Boom) Bounce (Boom) Bounce
(Boom) Bounce (Boom) Bounce
Better watch yo (Lady)
Yuh—yuh, yuh, yuh
(Boom) Bounce (Boom) Bounce
(Boom) Bounce (Boom) Bounce

I think it's that, give us that gat
Whatever war you bring, just send me to Iraq
I rap like my tongue was sitting on a match
You struck by lightning, frightening, gotta be a Heisman
Trophy, low-key, the one and only
Slay a ho, play a ho like a oldie
Yup, and I'm dope like Opie
Um, so I'm out when the police
Come, like a nut, I'm a nut
For the bucks like a shotgun bust, and I bust
Venom inside the brains of young dames
Like Mr. Dash speaking to his kids on Jay-
Z—We runnin' the game
Y'all slipping like run in the rain
Ya bitches running away from y'all to us
In God we trust, at y'all we bust

Back to the realest shit, cop a car, mash that
Crash that, then I'm back at the dealership
Diamonds on my neck, diamonds on my left wrist
Diamonds on my right wrist, damn it I'm the brightest
Back to the realest shit
Yeah, exclamation, fuck a explanation

Better watch yo (Lady)
(Boom) Bounce (Boom) Bounce
(Boom) Bounce (Boom) Bounce
Better watch yo (Lady)
(Boom) Bounce (Boom) Bounce
(Boom) Bounce (Boom) Bounce
Better watch yo (Lady)
Yeah
(Boom, boom)
Yeah, uh
(Boom, boom)",https://genius.com/Ab-soul-watch-yo-lady-lyrics
