title,album,year,lyrics,urls
Muslim Wedding,A3C Volume 1,2011,"Should have brought that wasabi
That horseradish
Cubed up
Fuckin' sniffin' that horseradish

Yo I'm the young Laird Hamilton
Hoppin' out the chopper
Scorin' like I'm Messi but this game is far from soccer
Giambi on the lenses and the juice is from the doctor
Jar still full of drugs
An 80s Caddy painted aqua
Take these and freeze they nose
Dick sucked by a seasoned pro
Info on the need to know
Motherfucker you don't need to know
Gimme trees to blow
I keep the caesar low
I want the head, the shoulders, and the knees and toes
From the hottest summer to the freezing snow
Mind higher then a bleeding nose
I'm Bobby Fischer
Check mate
You're like a Spanish Roasted Chicken
Break your chest plate
And yes I just ate
I keep that napkin near me
My favorite uncle went to summer camp for racketeering

Tossin' money like a Muslim Wedding
Sleep on satin bed sheets with the custom threading
Tossin' money like a Muslim Wedding
Sleep on satin bed sheets with the custom threading

This be that whore house visitor
Watch em' while they scissor
103 your Roosevelt
Fancy on the shoes and belt
Nasty pussy tuna melt
Stinky like a China street
You're bound to find me where the corporate and the grimy meet
Lay flat on designer sheet
She kept asking me to grind her grease
So I pound a freak like a pound of meat
Top dog cause I hound the street
I'm makin' poopy on your head cause this is easy
Old Italian men inside the kitchen making cheeses

Tossin' money like a Muslim Wedding
Sleep on satin bed sheets with the custom threading
Tossin' money like a Muslim Wedding
Sleep on satin bed sheets with the custom threading",https://genius.com/Action-bronson-muslim-wedding-lyrics
Shiraz,Bon Appetit..... Bitch!!!!!,2011,"We've been the best since I stepped in
Bring a hooker to the muthafuckin Jets Inn
In the sack, break her back like a Redskin
Need the dough like I'm trying to get the bread thin
Tree to make the head spin
Every season play the corner like I'm Revis
Light Caesar, heavy bearded like I'm Jesus
New York City, Queens borough be the backdrop
I bring it back to all the benches, need a blacktop
Big things, see me moving like a Sasquatch
Money, I'm in pursuit, cuchillo inside the boot
Bitches are on display, give brain inside the coupe
Shift gears, that's with the left
Which means I'm on the right, get paid
By any means, you hold it, say goodnight kid
Two fingers hold the potion when I'm smoking
Slow motion, snatch a snapper out the ocean
In my lungs go the drugs like the red chief
Red leaf lettuce blood money on the bench seat
12 courses laid up on the long table
Aged wine got me spinning like a dreidel
For fly women use a condom cause it's fatal
Hazel eyed bitched always blazing up the basil
The red razor cut the features in your facial
Creep in Corona,
 
bumping Fernando Villalona
Puffing cheeba in the street by the chimi corner
Tu no ta pa mi, muthafuckas are sloppy
Captain of the rap, you talking to papi
Up in Niagara Falls, make your wifey suck a
Bag of balls, it's sick, just like a Magic cough
Same person on camera or when the muthafuckin' camera off
Hash straight from the desert,
 can knock
A camel off, Sheep straight out of school
Let the hammers off. Off the boat shit
Whole cliques roll thick, no shit
Piss drunk and they smoke sticks
Not a word of English but
They hold the four-fifths
FILA jumpsuit, sandals, the whole shit
Young kids walking around, got the Desi in hand
Going ""Boom Shakalaka!"" like it's NBA Jam
Never speak to fuzz
Tap out the reefer, show him how
To use his sneakers, cuz
Roasted peppers, sweet tomatoes, heirloom
We on the beach, fresh Ceviche
We in Cancun,
 fly girly curly
Hair is getting read through
We in the shower give me head: shampoo
Swimming trunk, shoe accentuate the ankle
Eyes blue, put the children's money in the Banco
Giuseppe Franco,
 take the cash and tango
I'm straight stoned -sly, thank you
Bye, peace, one, fuck you",https://genius.com/Action-bronson-shiraz-lyrics
Imported Goods,Bon Appetit..... Bitch!!!!!,2011," Oh my god, this mothafuckin' sour is too good
I don’t even be fuckin' with that other shit
That shit hurts my throat man
I need that shit that tastes like fuckin', fuckin' soap
Joy, Ajax. Shit… ayo, this is what I be doin' on that…

Orlando Magic warm-up suits and black Shaqs
'95: younger Bronson on the fast track
To blast gat, now I'm looking past that
I want the cash stack higher than the NASDAQ
I put the work in, the downtime I'm cooking lamb
A thousand Dutches in the air like it's a reefer jam
Aretha jam, you better R-E-S-P-E-C-T me
Or risk the forest where the motherfucking rest your team be
Peking duck, and large liver, goose carver
Swiss Bally's, smoke cigar just like a new father
You know the motto, jacket to the knee
I can't help if I'm a fiend, I had to tap into the beat, Lord
Spark a seance, cause everybody lifted
I'm like the strainer with the fucking powder being sifted up
This is Queens Day, alleys where the fiends play
Yo cuff the Guess on the construction, take it easy

This for my people making sales until they back hurt
See the beast on the creep, they let the Mac squirt
Bitch on the backs, that do the dippies on the bikes, and
Loud pipes and rocking leathers like a wild Viking
My man who just came home, and some are going up
Fiends up in the alley, sippin Balley fucking throwing up
Keep your mind straight, focus on the prize
Always diving into thighs, blowing smoke into the skies

Bronsonelli the problem, we got the party reeking
Never see us starving, all my people hardly speaking
When it's time, though, we form into a single file
Spray the fucking ballcourt without hitting a single child
Hop in the Beamer, Pigeon popping the nina
Getting top in a steamer, scoping rock in a Tina
Hooker, that type of looker eat the pussy from the back
Take the children to the school, baking cookies, serving packs all day
Know the verbal, is Oscar-winning
You cop a squat to piss in, only focused on them rocks that glisten
Suppositories in the ass of you, the green Fila with a Horsey how this motherfucking bastard do
Bet the crib that you ain't fucking with this grown man
I'll E. Honda a thousand, slap you with the whole hand
Sex a dime, herbally, a blessed time
Check the rhyme motherfucker, better recognize

This for my people making sales until they back hurt
See the beast on the creep, they let the Mac squirt
Bitch on the backs, that do the dippies on the bikes, and
Loud pipes and rocking leathers like a wild Viking
My man who just came home, and some are going up
Fiends up in the alley, sippin Balley fucking throwing up
Keep your mind straight, focus on the prize
Always diving into thighs, blowing smoke into the skies

The eyes slanted from the origami, I roll a quarter of the water
Near the border, where you oughta find me
The Tamborine Man pumping while the Tyson burning
Air Tech Challenge, clay court, checks balance
Stay endorsing that weak shit, my team spit
That mean shit, like stepping in some fiend's shit
Now you sick to your stomach because you stunted
Word got fronted, another motherfucking jerk confronted
Post pattern, Lonnie threw the loaf at 'em
Flushing, motherfucker, keep a toast up by the gold Saturn
Little doulas on the block we tell 'em ""go stab 'em""
Relieve him of his shoes, it's easier to toe tag 'em'
Carhartt sets and Horseys like the Preakness
Bronson love a freak bitch, dining on that Greek dish
That's the a-hole, all my people AWOL
Cash inside the case and now the judges want to play ball",https://genius.com/Action-bronson-imported-goods-lyrics
Get Off My P.P.,Bon Appetit..... Bitch!!!!!,2011,"Lace up your Timbs, Queens, fresh off the blacktop
Off Broadway recital, fiends on the backlot
Back alley Bronson always cookin' up a mad plot
The shit that have us laid in Benzes with a glass top
Hash pot, stickin' out the dash spot
I'll leave a bitch in a vacant and let his ass rot
174 and autobahn is where the cash drop
Then take the paper, then distribute to the have-nots
I'm on the scene, 26, and I'm a manchild
Long machete, hopping out the van style
Whether fightin' or graffiti, got them hand styles
I'll wipe the floor up with your face like a ShamWow
Hands down, one motherfucker
260 combined, here to bring the ruckus
The bassline plus the words raise the crime rate
Bronsolini show 'em how to hold a 9 straight

Yo, get off the next man's P.P
Be original, kid, get off the P.P
Get off the shaft of my dick, get off the P.P
Yo, be original, kid, get off the P.P

Yo, the drugs are rolled up, the money fold up
I love my bitches big-body like an old truck
With their waists sliced thin just like the cold cuts
Been at the bottom of the sea, but then I rose up
Feet first, my voice is known to curl a honey's toes
Serve a pound of that, I'll leave 'em with a bloody nose
Smoke the hash, takin form just like it's putty, holmes
Hop in the Caddy, leave your body by a muddy road
A dirty rotten scoundrel like Steve Martin
Drugs so good, Fiend Weekly just three-starred 'em
I'm on the road, blow trees through East Harlem
Just put me in a cage in the basement, I'm retarded
German shift, twist, burn the bliss
I love it when the pussy tighter than a tourniquet
Copped the chicken, started cookin' and converted it
Dutch leaf, third of it, roll it up, murder it

Yo, get off the next man's P.P
Be original, kid, get off the P.P
Get off the shaft of my dick, get off the P.P
Yo, be original, kid, get off the P.P",https://genius.com/Action-bronson-get-off-my-pp-lyrics
T.K.O,Bon Appetit..... Bitch!!!!!,2011,"Ladies and gentlemen
Coming to the ring
At a whopping 273 pounds
Standing at 5'7 3 quarters and a half
Out of Flushing, Queens
It's.....

Fly in the winter like a flock of birdies, I never rocked a derby
You see the polo, U.S.A. right on the hockey jersey
Every step that I take mimicking no man
Precision flow man, motherfucker get with the program
Compare the lord to no man, moves I never fake em
Aura like Wagyu beef, you just a Steak-Umm
Paired with shiraz for the taste to serve at table side
My lyric through the vocal take my palette on a flavour ride
It's obvious I'm gonna do it, right outta Flushing
Percussion gushing after the session right to the luncheon
On my Scandinavian shit, serve up a puffin
Find a shorty, gargle her mouth and stuff her muffin
Duffin many blunts to the neck, what you expect?
I'm a vet show the respect, same shit your father get
Very humble, Jim Brown, never fumble
Know the purple in season and well then I'll take a bundle
We in the street like a hooker's feet
I'm known for cooking meat, cooking beats
And wildin' like I'm Booker T
Bronsolini walking like a cowboy
Sharp at the feet steel and got the alloy
Straight outta New York the bad liuetenient, Bronsolini
Team leathered down, the angel I like's in the pini
You oughta see me, uptown coppin' the chimi
Puffin the pudo, fuckin' some culo, Bronson the chulo
Jaws of white shark ready for the swimmin'
Haze and linen with razor vision make the blade decision
Peep the beeper, Lonnie do the street procedure
Legendary shit for how my brother heat the beaker
Exquisite beard lined up, that's for the ladies
Plus I'm bout to be in Turkey G'd up riding Mercedes
Know Hugginatti keep the ceaser wavy, Bronsolini with the seasoned gravy
Just add the cheese for flavi
Straight to the table cause it's best when I'm hot
Play me funny kick your nuts until your testicles pop
Exhale the doja, when it's full moon I lose composure
Lesson 1: cuddle your son. Brought to a closure
Dabble in truffles, Sauvignon blanc simmered in mussels
Nothing ever ripped from my neck during a tussle
A bolo young I'm Lecter with the muzzle
Injector of the deck I place the sectors in the puzzle",https://genius.com/Action-bronson-tko-lyrics
The Come Up,Bon Appetit..... Bitch!!!!!,2011,"2009 Action Bronson
Hey yo, you know we creeping on the come up
Outdoorsman shit, here we go

I've seen a fiend scrape the residue and sniff it off a razor
After party for politicians with loafers and a blazer
Skipping AAA I'm coasting straight up to the majors
Linen in every seat drinking wine and eating capers, square
Holding the ground prep the animal for sacrifice
Rub the body with plenty garlic and a classic spice
Holy Trinity, peppers onions celery
Every time I rap I'm on the verge to catch a felony
Standing in circles with my brothers puffin' product
Disturbers to the public call the coppers blew the spot up
Pulled us over a couple of 50's in the ankle socks
Most of it powder so it looks just like his ankle lock
I got the rap shit in the ankle lock
I got her screaming for submission trying to be up in the bank a lot
Currency’s the only logic, brother bag the work
Come up funny, I leave you open like a faggot's shirt
Hey yo, you know we creeping on the come up
Action Bronson 2009 shit
Hey yo, you know we creeping on the come up

You know the saga, knee length coat made of llama
Purple in the Parma, two ki's the Grana Padano
That’s for the cuisine, stracciatell Siciliana
Boom fakers be gettin' vapor dog you get with Anna
The wild fumes, beauty that the ground blooms
Ass fucking the diva leave her with the brown moon
It's now June, tops get lowered off of whips
Flower flip, we grow the mushrooms out the cattle shit
Peddle shiftin' with my eyes closed I'm feeling great
Fire kissing the roasted salmon on the cedar plank
Peep the plan get the money out the bordello
Five-seven the fattest ass, shorty played the cello
Charge a thousand for fifteen, the white collars
Got the manuva serving knowledge for the pipe scholars
Peace to Queens, she the queen of the life
Eating Pio Pio chicken, smothered beans in the rice
And we out

You know we creeping on the come up
You know we creeping on the come up",https://genius.com/Action-bronson-the-come-up-lyrics
Marijuana Bronson,Bon Appetit..... Bitch!!!!!,2011,"Marijuana Bronson
Yo, The land fertile I provide for the biz
Play possum with the pigs stuff a dime on the kid
Just scripted for the brothers holding knives on they bids
Gift basket full of figs, I'm sipping wine with the fizz
I got that pure smoke, gorgeous like a sushi plate
Five sticks of marijuana I hallucinate
The tan Timothy, jacket to my knee
Classic I'm a G, I'm the captain of the sea
See, It be those kids from queens in guess jeans
Pulling bread schemes smooth as jet streams that let the lead scream
We still rhyme fly words over percussion
Nine - five Style max out diamonds in Flushing
I'm still the man immoral Its hard to navigate through coral
Your bitch with the tits still give the slamming oral
Zero Fifty Six used to be the beeper code
You know the dope'll force a fiend into the sleeper hold
You mother fucker I got you

Ay yo, Mountains are capped with snow though it's the summer months
I'm working hard for that money laundered in other fronts
Forty blunts in the museum
Jerk chicken patties out the window cop the tyson out the coliseum
A Street Fighter with the Killer Instinct for Mortal Kombat
The title holder higher than a giant's shoulder
Lamb roasting over open fire
Full moon hallucinations giving in to all my souls desire
Lyrically, I'm Doctor Lector, You Doctor Seuss
I let him fall from off the roof and now I got the juice
I'm on that one way path headed for nowhere
Frozen nose hairs all I know, better be dro there
Pass the Thyme, chocking off the truest reefer
Lawrence Taylor in his prime with the smoother Caesar
Drinking ginger out the Yankee cup
The holy grail telling tale blowing cheeba eating tangy duck

Mother Fucker, Queens
These are the vividries of life that I'm expressing to you
Smoke salmon or coke famine your friend'll do you
Cause you make a little paper but you acting greedy
They'll cook ya momma in front of you just like hibachi Peaty
There's no Tahiti, forty five scrolls in graffiti
Beamers on BBs, the shit only seen on the TV
It really happened in the galaxy of Queens
Giving credit you indebted off the fallacies of fiends
I walk a road less traveled, push the foreign car
Often spark steel and known to play the gun guitar
The drugs sell by themselves you just a common factor
Real star is in the jar you the supporting actor
Blood thirsty so I'm howling at the moon
Puff a pound of boom, marijuana, she met a valid doom
We gotta get it cause we living for the minute
Keep the windows tinted, smoke in the whip, keepin it lemon scented",https://genius.com/Action-bronson-marijuana-bronson-lyrics
Bronson Mania,Bon Appetit..... Bitch!!!!!,2011,"Ayyo hit or miss shorty wake up shorty shit the fish
Razor sniff,
 
leave the pocket when you see the Blitz
You never know the type of pickle you in
Till you wake up in a cell and nuts will tickle your chin
It's Vinny Gorgeous with the sinister grin
And if it wasn't for the drugs I'd probably be in the gym
If I'm not up in the studio, I'm up in your wife
If you had a bigger package she'd be up in your life
In 93' I had to cop me the Flights, started plottin the heist
So I cop me a knife, these sneakers cost a hundred forty duke
I'm stoppin' your life, better yet I'll cut your cock off with the choppin device
You never know it could be you up on the table
Emergency rush in will pull your bladder through your navel
Special pants cover that feces bag, another man rockin that chain
And the piece he had, We kill the cow carve it for the proper preparations
Braise the leg sir the loin make the brisket Cajun
Rib eye prime prefer you leave the bone in,
 
the tomahawk chop is only meant for grown men
Zonin' sequin shirts with the stone gems
I'll never have it, duke—I'd rather let the chrome sin
Equip for the rip, you faggot pussies sit where you piss
These queens killers hit the strip with the sniff, bitch
Roll up the grass crazy willy man will stuff your ass
With a gerbil, serve your girl a custard mask
Crush the glass, dip my fist and step inside the ring
Inside the bing,pussy ran he tried to hide the thing
Come through to the courts, a hundred down from any spot
Dribble shoot, the penny drop just like a henny shot
You look astonished, face twisted like a Twizzler
My people laughin cause they know we goin sizzler
Purpose to life, prestige pussy plenty paper
Steam risin off Jacuzzi women different flavors
Whips are major, shits aggressive like a vicious saber
You trick the paper, tell your bitch that I'mma hit it later
Accurate palm strikes, on like disposition, John Stockton
I'm scoring and I'm also dishin
Magic long night pipe with no intermission
Put on the DL, Tommy John no more pitchin
This is Queens watch words, just like Persian
Jissepe Dishdo Automatic with the conversion
You never know might be the next to meet the surgeon
Split like a pig, and left you bleedin like a virgin
Inhaler of smoke the fine chronic conoisseur
We Bobba Ghanoush the tan colored pile of Raw
The humus and bread, olives from another land
And fuck a burger, i'd rather eat the mother lamb
I'm Royce Gracie the magician of submission, elegance in the kitchen
My ambition ain't to glisten, but yo, Fuck all the jewelery shit
Provide me with a sturdy whip, a package on the dirty bitch
Titty size a 36, 30 dicks what she takin in a single sittin
Silk and linin what I'm sportin when the Eagles winnin
Yo bet the oval, cause the corners are a little iffy
In a minute turn a macho man a little sissy
I'm never pissy, all the women wanna kiss the
Flushin grizzly, heavy but they never diss me
Cause I be in and out of pussy like a stream of piss
Gleam the wrist, nah fuck it, rather steam the bliss",https://genius.com/Action-bronson-bronson-mania-lyrics
Mofongo,Bon Appetit..... Bitch!!!!!,2011,"'94 Roosevelt copped the green card
'99 up in the Macy's we the steam squad
Me libere, weed inside a cigere
Action Bronson, Bronsoliño, tigere
Taco truck wrap hotter than Serranos
You know the motto, dawg, siempre gano
Mi hermano, got the jugo in the bottle
En el camino, burning rubber, hit the throttle
Life in the fast lane, licensed to flash change
Hyphen the last name, twice when the cash came
Currently I'm moving forward from some past pain
Spit the shit that have us hopping out of glass range
Watch when people get some money how their class change
Cop a crib right by the lake for twenty 
Carve initials in the grass, Edward Scissorhands the bushes
Lean on Tempur-Pedic, smoking seven different kushes

Pussy, pussy, pussy
We have black pussy
We have smelly pussy
We have yellow pussy

We back by old timers
And young up-and-comers
Plot in the winter then we storming all up in summer
Fuck the dime piece, I want a deuce or better
I mean the smoke dimes fine when they give a header
Gimme a nine or eight, with a cute face
Appreciate it, shoot game, and roll blue eights
I'm on the J train, BK hop off at Myrtle
I'm on one puff away from Dante's Inferno
But I don't want to burn, unless it's crystalized
Put one high, smoke the pain away, the morning time
Only a , snapback vintage
 image on the sweater screen-printed
Same tripping, molly got me seeing visions
Lifestyle like 
Never slip into your holy superstitions
 wise, if I pull it guarantee I'm a fucking killer",https://genius.com/Action-bronson-mofongo-lyrics
Amuse Bouche,Bon Appetit..... Bitch!!!!!,2011,"I been fly since the Big Bossman feud with the Mountie
Bobby Bacalhau, crocodile, know the proper style
Curtis Martin run the rock in for the Jets
 yo
I would watch my older cousins makin' profits on the steps, made my mind up
Never see me hustlin' for Honda's, 
Eyes are on the Zonda,
 eyes low from puffin ganja
My fuckin life is like a ghetto drama, sip the green tea
Polish off the metal cause we men of honor
You see the P, left side of the Cardigan sweaty
Well now you know that I'm a rocker like Marty Jannetty
The low shit, kill the pussy with the whole dick
Slicker than the oil on the marble with the flow shit
Hard bottoms cat's be clickin' like the horses do
We just dined, but I'm down to take your portion too
Smoke a few sticks, poke a few tricks
Shave the points off the game call it Blue chips
This ain't Shaq an penny action squeeze the Mac elevy
Tsunami lyric from the inner corner crack the levy
Snake the hash cause my skills tight pair the salmon with the dill right
Grab your hammer and hold your shield tight

My life is inches from death I blow the piff on the step
Spit the phlegm, hold my dick when I rap, plus the suede feet
Play the street, hear the music of the city lights flashin
With high fashion and some nice titties
Drug dealers sell the drugs are for realin
Angry mothers cuff there children when they walk in the buildin'
We stand tall, like the great wall i'll never fall
Disobey the law, summer spring and fall don't forget the winter
Before Splinter and the turtles, rock the lightweight
Lo' jacket with the man, hopin the hurdle vicious with verbal
Stuffed inside your bitch is a gerbil
, seven platters on the table
Dutch's filled up with herbal, grow accustom to the fast life
Raise the glass, tap the glass twice now they flick the picture
Cause we passed nice Peace to Queens though heavy on the C-note
Ricky Steamboat one love Bronsolinio",https://genius.com/Action-bronson-amuse-bouche-lyrics
