title,album,year,lyrics,urls
Sound Is Vibration,Overcast!,1997,"I'm sparked, waiting for the dark to hit
Cause once the moon gets above my apartment
I catch fits for starting shit
I'm smart with it, I give it that special touch when I push it
Cause I'm also a label rep, and I can't allow no bullshit
So shush kid, shush baby! Shut your eyes
Lay your head back, shed the fear and let the tears crystallize
I wish the flies to land upon your forehead
When I extract the essence from your head
And leave your body resting Moorehead
I left more dead reputations than HIV can
But for every killing there's a reason and it's not just MC's, man!
I'm watching C-SPAN, waiting for the first state rep
To take the first step, to have to kill off to make this world perfect
Well lets get shit right, right here! Right now! Right away!
Atmosphere motherfucker! If I need to I could fly away
I'll grind you and your weak crew into beef stew
Serve you with seafood
You can't cloud my vision cuz you're see-through

You need to recognize the size of the Atmos
You ain't as tall as half this - Madness- past what you practice
RSE you can't fuck with my tactics, you bastard
Thats why you breath fast bitch - no need to ask

We dug the fingernails underneath the skin of your scalp, then peeled it
Sent your underdeveloped pre-school style on a field trip
Now bite your tongue, this is how the mic gets stung
A whole tree to pick some fruit from, man!
You had to choose the ripest one

That said it all, it comes from inside, and how you ride
The sound wire when it's live and the vibes feelin right
Catchin' the motion given by rhythms when you hit 'em on time
With lines, makin' sure your rhyme soundin' tight
Your voice should travel without the babble of the average emcee
So listen please use discretion when you breath
Sound is vibration, I choose to use it with a vision
And then comes the style and precision...

No more longer will we hold your hands
Why? Cause you're too damn old
Oh yea, the network called
They told me to tell ya you've been cancelled
They also said big up for all the support
Thanks to your devotion, they now control the world
So let your hair down and eat the poison with a tall glass of Tang
I'm rising past the bank, with smile I'm flashin my fangs
I tumble over some, cuz some I don't over stand
I got the plot from Spawn, from now on, I know the plan

It's the noise it makes, that generates the passion I have
It's the void it breaks, that stimulates when mics get grabbed
It takes shape - escapes from these vocal chords I have
Atmosphere: music makers from the Rhymesayers lab

Come now, who fi me gwan test the giants when we apply this
Vice grips to your eyelids to make you read the fine print
The tyrants that gave you crisis, left you silenced
Don't breath a sigh of relief 'till you hear the rescue sirens

Supreme, be this team, we got this shit on lock
RSE we hid the key under an upscale rock
So you could knock all you want to but you ain't gettin' in
You could try to crash the door but you ain't gettin' in
Nigga, what! My definition is raw, I got you all
Wishin' I'd fall, so things could get better for y'all
But I'm tall, and got game, remain the same for the duration
Area code 6-1-2, my present location...

Atmosphere...embellished with talent and the wisdom not abuse it
Blessed with insight, friends and influences
Thats what keeps us dope, what makes us dope is the surroundings
Inspiration stems from love and stress compounding
Stamina: that is achieved over the course of time
In fact, time taught me how to breath, battle, not to court my mind
Defined as lyricist - the Atmosphericist
Makin sure you fear this hit every time you hear this shit
 Sound is vibration
 This sound is taken
 Sound is vibration
 And the ground is shaken
 Vibration is sound
 Yo, we found your replacement
 Vibration is sound
 Now who makes the sound?
 : Now who makes the music/sound? (*fades out*)",https://genius.com/Atmosphere-sound-is-vibration-lyrics
4:30 am,Overcast!,1997,"So Tootsie Roll the fuck back to your seat cause I don't like you

Hey Spawn tell me a joke
Hahahahaha
Hey yo Spawn, what you doing?
Hahahaha!

I sever heads just to sharpen my skills
Zoom in on brains like a John Carpenter kill
Surprise, that's the element, your confidence is delicate
Never recuperates, 
I leave you mute and celibate
Break the victim down to a jelly consistency
The brain twisted spits, now tell me who gets with me
I felt they were listening and the smell of fear amps me
Sweet tooth, room full of candy wrappers, I get antsy
Mission activated, attention captivated
Vocals ring bring the so-called king on stage assassinated
You're nice, where you from?
That's the question I ask
Distraction got struck pull their heart out their ass
The blast is nuclear, when the crew appears
So seek shelter, the only helpful advice
Is that you should steer clear of the exits
I take reps and make messes
Broken, when the spot closes we're off to breakfast
Invested breath, skills, adrenaline
Refill the gut then to my hut to build with the pen again
From Hennepin to Lexington the first section conquered
Laid seeds in the soil, peep the props and honor

It's 4:30 AM, do you know where your head's at?
It's 4:30 AM, do you know where your head's at?
It's 4:30 AM, do you know where your head's at?
It's 4:30 AM, do you know where your head's at?

Can't expect everyone to see shit the way I see it
Can't expect anyone to be dope the way I be it
So be it, 
Atmosphere leaks through like sunbeams
To snap you like a bungee when the
  Sayers takes the country
Hungry, and this emptyness makes me grumpy
Take an emcee, stuff him between some bread, cheese and lunch meat
It's just a snack,
 
rely on Ant to thrust a track
Into the mind as I slip behind the whack and crush his back
Must react, if we don't we have no work
So I stomp them, let his team remove remains up off the astroturf
Now who's eager to be made a believer?
It wakes the dead when I shake a rival's head until his teeth hurt
Knee jerk, when I yank your brain into a fever
And melt the weak channels in your receiver
You need to keep your beaver in your pants
Fuck your leisure and your plans
I wear a Van Halen T-shirt
Bust a stance and crush your plans
It's all inside the flow's balance, we figure well
Your style has the personality of a Speak and Spell
You need development to reach the plateau I'm at
So take a fat step back so I don't mistake you as a bat

It's 4:30 AM, do you know where your head's at?
It's 4:30 AM, do you know where your head's at?
It's 4:30 AM, do you know where your head's at?
It's 4:30 AM, do you know where your head's at?",https://genius.com/Atmosphere-4-30-am-lyrics
Complications,Overcast!,1997,"Yo this is dedicated to this girl that I dated
Complicated maze, Complicated maze

At first sighting, only a stranger to my eyes, couldn't keep them off me
I'm sure your friend recognized, I didn't care, I had to stare, stood there at attention
Not many words mentioned still I felt the thought connection, wanted the sex then
Got to know you, wanted more, Things got complex when
You had a man and wasn't sure
My thoughts were pure, Is it gonna be him? Or is gonna be me?
Cause that's the way I have to have it
Grasped the idea, Ms scribble head Talia
Wanted you to feature but your man is screwing up the procedure
What is it that you say? I'm on your mind all day
But still say you're content, how the situation lay
Why you play? Why do you stay? There's something better
Know you felt it when you received my first poetic letter
Why you fronting? Tell me something
Is it that you want your cake and stuff it down your face too?
Did I have to chase you?
Why oh why do you cry?
Said afraid of losing me? I think that you're confusing me a lot
No wait a minute, stop, bring that back, I missed a page
Was it that time of the month or were you going through a phase?

Complicated maze. (This phrase fits you perfect)
Come back in later days. (Talk to me when you're certain)
You're always changing. (Never stay the same person)
Come back in later days. (Talk to me when you're certain)

Miss Merriweather, the partial, the martial artist of fake imitation love products
Now facing you is irritation
Know you used to have me placing you on pedestals like a goddess
Personality changes it seemed to be to me you were the oddest
Soon to depart us like red seas by Moses
Our friendship's diseased, unfeasible, hopeless
No reasonable answers to my question of focus, Caused my tension
Nothing made sense when you replied with a tied tongue
Said you feared abusiveness, I never swung
Why all these excuses miss? What have I done?
Figured I had the right kind of lady, yeah maybe it was fun, for you
But not for me, I found it quite unamusing
You were using me as a bridge just to pass what was left behind
Play times for dangerous minds, but why'd it have to be mine?
Why'd it have to be mine?

Now I'm not really trying to come off abrasive
But why you messing with my man's head?
I mean I'm spending time trying to keep his mind on rhymes and beats
And you're a distraction. I mean you got my man just shook
I mean honestly, I guess what I'm trying to say is...


Virgin torn from sleep, the newborn
( Why are you doing this? See you're always playing games)
And it was easy to get too deep, the water was lukewarm
Virgin torn from sleep, the newborn
( Oh, what now? What? You wanna come back?)
And it was easy to get too deep, the water was lukewarm

Do you know what today is?
It's the third anniversary, you came back to flirt with me
For certain, you must mistake me for a fool
See I know how you are, I see those tricks in you
Tried to make amends, there's something new
Had problems with your friend, so it's me you always run to
Come to and smell the coffee, go drink the pot with extra caffeine
Cause next to acting, you win awards for cloudy vision
Tired of fishing for the what, why and when
Will this repetition end, step away and give me oxygen
Not interested in talking, say nothing, keep walking, go 'bout your away
See the colors of these areas have started turning gray
See you later, goodnight, got no more candles to light
Yo, it's time to move along cause baby something isn't right
Still I'm glad I met you, it's too bad you screwed it up
The only thing I regret is that I didn't get to f-


I was blind and now I see
I was blind and now I see
I was blind and now I see
I was blind and now I see",https://genius.com/Atmosphere-complications-lyrics
Adjust,Overcast!,1997,"I woke up on the wrong side of my head
Converts the day into search for awake until I go to bed
I drove up, but misplaced the directions they learned
Ignored the arrows and the signs
Just follow the sense
I don't know whether or not you can comprehend
Levers and knobs got stripped and that was just within the launch of it
They found me in up to my neck
All they saw was this head floatin' on top the ocean
It didn't stop the motion
They kept goin'
Perfect, didn't recognize Slug
Or the effects he'd have when he disrupts the class
Mission bound, twisting around my realm of lost
Cash is expensive, I think I can smell the cost
Decomposion, something died right behind that wall
TV gave me all I needed
It only took a phone call
Pay by the minute
85 percents a second coming
All over the breasts
 
of she who left the water running
Flood the basement, drown the MCs and centipedes
Filed complaints, civil suits and try to sue the sidle tendencies
Energy drained, drain plugged -- hence the flood
Find the fault line, shift plate, take blame off of Slug

Adjustments - they need to be constructed
Adjustments - they need to be constructed
Adjustments - they need to be constructed
Adjustments - they need to be constructed
Adjustments

Ayo Money let's sit down if you've got the time
Cause if you can take the time, I've got some substance on my mind
No I don't really know you, but I know who you are
We've spoke a few times, joked a few times
We even toked a few times
I can remember one time purchasing weed from you once
Yeah, it was worth it
One time we even discussed maybe hooking up and workin'
It didn't happen, but that's not the reason for this
I know I should just get to the point
So let's all get to the point
But let's all get to the point
You may get pissed at what I'm about to spit
Bottom line is mad or not, somebody needs to say this shit
When I'm finished, you might wanna fight
But I don't wanna fight, I've seen you fight
Go ahead, get wild, and I'll still smile for bein' right
See me and mics are like marriage -- makes life complete
And you've been fuckin' with nasal drugs, renders love obsolete
I dare to speak upon you, not to front on you
But I'd rather address this here matter
Than have to duck and shun you
It's getting close to harvest, time to count your livestock
All I've got for a hype is five spots to shovel my sidewalk
It's still within you, I can see it, I think it froze
Cause you keep cooling it off putting winter in your nose

Man, I don't know about you no more kid
I mean look at your shit, I mean your shit's all off balance
I mean I don't know, you're fucking with these drugs and shit
I just don't know, I don't know

Adjustments - they need to be constructed
Adjustments - they need to be constructed

Adjustments, they were made, but not just for the purpose of adaption
Cause that's natural, I'm trying to stay alert to actions
Surroundings became more dangerous
The more familar I became with strangers
And the more I focused on they strangeness
Strain with this, but I guess that's out of choice
He pinned me down, gave me the right to shut up after I used my voice
Well guess what? Fuck You
And that's all I wanted to say
Go tell your kids about my crew and the next venue we're gonna play
Stressed out, but that's nothing new, everyone is
And it's gonna stay that way cause nowadays that's how we're runnin' shit
Punishment: that's just another fancy way to say it's time to wake up
Fuck your fame, I'm trying to build some game for my man Jacob
That's my son
Some say spittin' image
Same smile, different grimace
When grown, I hope he's never prone to heed the limits
Of life. Life: probably the biggest word I've ever said
That says a lot, cause there's a whole lot of words inside my head
Death almost a quarter deep, still ain't learned to cope
I struggle to see the horizon while I'm hanging from this rope

Adjustments - they need to be constructed
Adjustments - they need to be constructed
Adjustments
Adjustments - they need to be constructed
Adjustments - they need to be constructed
Adjustments
Adjustments - they need to be constructed
Adjustments - they need to be constructed
Adjustments - they need to be constructed
Adjustments - they need to be constructed
Adjustments - they need to be constructed
Adjustments - they need to be constructed",https://genius.com/Atmosphere-adjust-lyrics
Clay,Overcast!,1997,"When I first landed the damage was outlandish
Anguish, anxiousness, and taking it for granted
But when I first landed, I was so relieved, I lost my focus
Soon exceeded recommended dosages
Now I hold the crib that holds the soul that holds the poet skills
Exclusive: it leaves illusions of unfocused flows
I don't suppose you're taking too much time
Breaking too much mind trying to unravel the babble
That dismantled and left the lines in need of some assembly
So I can find the secret key and free all the emcees
This planet spins on a thin axis
All-access passes won't help you to grasp the Atmos
I mean, what did you think
My agenda was to freestyle, smile, get paid to smoke weed
And grab the mic and spoonfeed?
There's more to this than just paying the rent
If you're riding on this song you need to ride it to the end

What could you say as the Earth gets further and further away?
Planets as small as balls of clay

Some shells get broke
Some keep their wigs closed
Some get exposed as little man big pose
Some make moves and some stay daydreamers
But everbody seems to want some loot, food and a beemer
Well make mine hunter green with camel insides
10 percent tints, Mr. Pibb, and some french fries
Inch by inch I take it closer to the shoulder
But day by day it's getting harder to stay sober
Once again on the edge, head's inebriated
Movement needs motive, it's easier to be sedated
What makes me mighty and another tiny?
Why does my psyche give a damn about whether or not you like me?
If this crime's right I might be wrong
I grip this mic tight because it's all I really have a grip on
So let the losers lose and let the players play
The only difference is the day to some dust on the clay, what


Whose world is that? it ain't mine, and I'm grateful
Already got a plate full of clay on my table
I'm capable of handling fate, I know this
So do the people that get pissed when this microphonist spits
Too many get caught up in the lines that emcees thought up
But it's clear to me the ones that fear me are the ones that oughta
I spot a blemish on your planet's existence
I deliver subtle terror submerged in clever sentences
Instantly pissin' away the misfits
The only residue that came of the hypothetical spew they sprayed
When they swayed I'd have 'em
Half of 'em can't fathom
Where the maths from
My man Beyond knows
You can ask him
At last, when we get down to it
There's more than sand and fluid
Involved in how I revolve and evolve
Can we solve the secrets? No
Can we take trinkets? No
So when the ink hits it's more than just a sequenced flow
I can't bring it with so I'm a leave me here
Centuries from now they're gonna study Atmosphere
Carefully I steer, I'm aware life is fatal
When I go, I wanna go like hope, taken by the Plato",https://genius.com/Atmosphere-clay-lyrics
Brief Description,Overcast!,1997,"[Sample: ""Have you heard it? Sing along
If you didn't hear it you're gonna hear it right now.""]

Bam, the doorway opened for me
I saw ways and told the story
Raw daydreams of holding glory
Junior high hallway kings
Locking, Bagging MCs
Beat boxing, breaking Zulu Nation wannabees
It didn't take long to see who would stay strong
High school came upon, some B-Boys put their gang bangs on
But some kept on doing, stepped on to ruin
Others that were pursuing the same shit we thought we ruled in
But what a surprise: the passion for being the best
Puts a quest for allies to rest
Dead
In the Midwest where heads
Is just a handful
In a land of gangstas
Players, replacements, priests, banjos
We scramble to break MCs that may appreciate it
Guided by their envy, insecurity, and their hatred
Separated by the ""gimmie props"" technique
And the desire to be the tops this week
I gotta floss the speak
Cause talk is cheap, even the broke kids can afford it
That's why I stand close and if you're dope then I'm supportive
But if not: we'll keep the mic warm
For the next one, respect the artform
And make your wishes on the stars born

Within the movement
Fact checking, trying to completely avoid all channels of backstepping
From the lines of painted concrete
That reside on Lake Street
To the way we close our eyes to sleep
And drift through Deep Space 9 type shit
To find this
I've been around for as long as sound
I've been to that not-so-fresh phase
And to that not-quite-that-serious state
But I've evolved, metamorphed manifestate

I used to be young, dumb and full of vision
Like it was religious rituals
I made initial decisions
I wanted to be a rapper world renowned
From Minneap to the Bronx
Capture girls and crowns
Snap, tackle and stomp
That's when I found
The abyss that sits in-between the one that holds the mic and those that
Don't even listen
Formed some crews
Rocked talent shows at schools
Saturdays on the 18 making my way down to the record pool
I met a grip of people that was bullshit
Was down with a lot of people that was bullshit
But I'll pull shit from the asshole of an angel before I let him hassle and strangle
The love triangle between me the mic and the turntable
Went to studios
We want to make demos
We want to do shows and rock our own instrumentals
Do our own production
Fucking around with this kid Kazir
Nitwit engineer
Barely knew his own equipment, Atmosphere
The prefix was urban
Wrecked shows
Made friends, made foes
Overall, we made flows
And right now as I sit here, right now, writing this
I'm bugging off the people in my life that made me like this

Within the movement
Fact checkin'
Tryin' to completely avoid all channels of backsteppin'
From the lines of painted concrete
That reside on Franklin Ave
To the dead bird on the elevator
To that short in your crossfader
I never got lost later
For efforts to pester
Just throw your hands up in the air like a leper
I've been to that not-so-fresh phase
And to that not-quite-that-serious state
Metamorph and manifestate

Well sometimes it rings and I don't answer it
That's it, no asterisk
No thirst to find the circumstances
It was planted in me deep
It was nurtured and it grew
Gave it sleep and nutrition
It was efficient, let it through
There's a few that have developed to where I let them in my spectrum
For the rest of 'em, I give them just enough to cause infection
Not tripping on attention
But if you have it, it's welcome
Open arms, potent charm
I know the words and I can spell them
Seldom is it, when one inquisits
Do they leave with disinterest
In fact most begin crave the visits
Bringin' me to the table
That's it, no more no less
The love, the life, the stress
Slug, the mic, the mess
Testing. Yes, I've been tested and I've tested some
Not saying I'm the best
Believe I'm not like the rest of 'em
Just saying I'm better than you
That's my mind state my rhymes take me into
When I check one two, I guess some do get pissed
But intentions were to inspire
Build the empire before I get tired
The ones that tear me down don't know it
But they're the same ones that built me
Now quietly in your head say, ""Yes you can feel me.""

""Asking himself, even before the curtain goes up: What am I? I am now 80 years old, and more, and I am determined to find precisely what I am, what I amount to. They tell me I am everything, they flatter me every day of my life. I am now going to subject myself to a rigorous test in order to find out really what I am. I don't care about kingdom. I don't care about rule anymore. It is of no importance to me, as such, but I must find out what I am before I die.""",https://genius.com/Atmosphere-brief-description-lyrics
Cuando Limpia el Humo,Overcast!,1997,"Patterned around the thought and the will
We shattered the sound of perpendicular noise
Now gather 'round, blueprints to rebuild
On top of that, I found I'm gettin' sick of your voice
Retentive, the Earth makes me tend to introvert
And I've presented the worth of these kicks and this wrinkled shirt
Ingested verse for seconds and a big dessert presented
Thirst with sprinkles of dope indisbursed
When you burst, it won't be an accident
It'll be a worldwide web of heads takin' this shit back again
(6-1-2) Now find the emergency exits
Cause I'mma snap a spine to make an example of the skeptics
(Atmosphere) I don't care if you know me or you hate me
Just come check out the show and travel back home safely
Lately, a weird thought occured to me
What if I was to grab the mic, which one of y'all would service me?
(Watch the rhythm) 
Inventions to rock the restless and kill your ego
Your whole karma's vibin' off the Beck's
It's best if you take a hard look at what you're givin' me
(Cause your name and your rank don't mean shit to me)

Stars and Stripes are like cars and bikes
They're just vehicles you steer to ride other people's fears
Stars and Stripes are like nails and spikes
They're just tools that you use against the physical rules

Put down your weapon son (Slug talking)
Put down your weapon son
Put down your weapon son
Would you put down your weapon?

I heard a grip of little voices in a thousand heads
Calling me out of my rest to come and plow your steps
An elder once told me to always use precision
(Discretion and vision when you start the ignition)
Cause any engine is highly delicate and what you got to say
Is irrelevant if you're talking for the hell of it
I smell some shit; check your sole, brotha, did you step in it
?
Now who suffers from my control deficit?
I can't go out like you (cause you lack dopeness)
I'll break your whole crew down to (a bunch of wack poets)
Shrapnel gets lodged under your clavicle
When your man exploded, Atmosphere concoctin' antidote shit
Fuck 'em and the record deal that they rode in on
When Sean is in his vocal groove I come to choke your truth
Broke your screws, now it's open and loose and it's took
(Beyond came along and stabbed a DJ in the foot)
The spokes bend and buckle (and the wheel collapses)
There ain't no need to even ask whether or not you feel the Atmos
I'm peelin' back heads performing brain surgery
And sewing 'em back up (There, now you've heard of me)

When the smoke clears, you won't be able to choke tears
When the smoke clears, when the smoke clears (2x)

Put down your weapon sir (Slug talking)
Put down your weapon sir
Put down your weapon sir
Put down your weapon

As I sit here with my head between my hands
Attention span focused on trying to read the plans
I can't shake the thoughts that it might be in vain
So I play the radio while I drive me insane
(I travel like the wind) I travel like Avis
I feel as if I've been to hell and back and I ain't even been to Vegas
Pages and pages of notebooks dedicated
To separatin' snake skin and amputatin' fake lips
(Underestimated) But when you heard me, your masculinity went girly
And your whole crew broke out early
(Self-preservated) Avoidance is the first choice
Calculated: Step the fuck away when you hear this voice
Moist, thats how we leave 'em rendered
Either the brain or the pubic region, depending on your gender
And if you're a female head (no disrespect intended)
Unless you step to me on the mic, you must be sheddin' your placenta
I wear the honor of an emcee's past
Where I wonder ""Is this wasteland encased in cheap glass?""
Reflected to find the status where you stand
(You're just another victim with a mic in your hand)

When the smoke clears, you won't be able to choke tears
When the smoke clears, when the smoke clears (4x)

When the smoke clears, you won't be able to choke tears (7x)
When the smoke, Smoke",https://genius.com/Atmosphere-cuando-limpia-el-humo-lyrics
Multiples,Overcast!,1997,"Right now, we gonna get together and give you a tune
That we had a lot of requests for...

I never gave props to emcees who don't deserve it
Never smoked rocks, never had guts to serve it
Never had a Glock, never seemed to be worth it
Never had I thought life was gonna be perfect
Never hit the chicks unless I have a jimmy hat
Never leave the crib unless I have my shit intact
Never do I say a rhyme unless the beat is fat
Best believe that, never will the Spawn come wack
I never went to court, never had to serve trial
Never went to jail, had no records on file
Never disrespect, never treat my friends wild
Cause I never had real friends till now

So this goes to those
Who be supporting at the shows
And this goes to those
Who's always working on they flows
And this goes to those
Who use music intake to escape
Finding love and happiness inside a mix-tape
And this goes to those
Whose criticism is constructive
And this goes to those
Who lyrically we just can't fuck with
And this goes to those
Whose love is so strong
You can shut your eyes and see them when you listen to they songs
This goes to those
Who eat and sleep with turntables
This goes to those
Who say ""Fuck the major labels""
And this goes to those
Who, unsigned and dead broke
Can still make a name before they even make a demo
This goes to those
Who keep the freight trains lit up
And this goes to those
Who roam the night just to get up
And this goes to those
Who tag and paint walls with aerosol
Lost city crew, from Minneap to St. Paul
This goes to those
Who flip the b-boy acrobatics
And this goes to those
Who put the ball in the baskets
This goes to those
Of you who listen to the lyrics
Cause this flow's for those who can dig the Atmosphere shit

It's like that shit
It's like this shit
True heads are the real music critics
Was always better with flows
Then I was with shoulder pose
But no matter where you live my man the love is multiples

Anxiety: That's my new drug of choice
Society: Where you go when you lose your voice
Rivalry: Stems from the shit your man's telling me
Don't lie to me, I know the real definition is jealousy
Observation: That's my tactic to complain
Conversation: Distract you while I pick your brain
Atmosphere: Up-there lyrical unit
That leaves the average emcee confused like a eunuch
Nonetheless: That's how I often change the subject
Second guess: That's what they all do to Slug's shit
Ironic: Most kids pale in comparison to my phonics
So come inhale some embarrassment
Roller-coaster: A metaphor for my delivery
Overdose: Results of having battle tendencies
Activated: Every time its my turn to rip
But ""masturbated"" means that you finally came to grip
So reality must mean: guns, bitches, and weed
Cause salary is what comes from: guns, bitches, and weed
Integrity means you're in pain cause you're in love
Collectively means that none of y'all could fuck with Slug
It's like that, never the wack, an actual fact
It's like act transglobal and local, so hold me back
It's like damn aimless, tenseness, wandering
It's a struggle, between what you can give and what you want to


Right now",https://genius.com/Atmosphere-multiples-lyrics
Primer,Overcast!,1997,"Hey Daley, Get the fuck away from my sister you punk motherfucker
(intro) I do... I do... I do...
Hey whassup, can I kiss the bitch yet?... I do...
First of all bitch, I never promised I'd be rich
So fuck you and your wishes, ya need to do the dishes
And change the damn cat litter
I thought I told you to get rid of that crazy cat last week
Yo, don't you get sassy with me missy
Because I'll go upside you quickly
But yo, she's kinda sneaky when I sleep she'll probably stick me
But it be a threat, and threats make her respond
She probably grew up watching pops beat her mom
Until the break-a-dawn
I could pop shit, talk shit, hostage to herself
Because there ain't no where to walk; this is the middle of hell
You've got no job, no diploma
Might as well kick it with me and live in Hinckley, Minnesota
She's my trailer park chick
With the pop tarts and venison hard liquor to cop a buzz
Off the over the counter medicine
The rent is in the mail
Bitch pump the keg
Fix the antenna, act your age and spread your legs
It's my CAS-STLE, white trash ho
And if I want to I'll put it in your asshole
You wanna battle baby? I'll put a shadow over your sky
Now shut the fuck up and fix me turkey pot pie
I own the camaro and the mobile home, so where the fuck you gonna go?
(4X)
Go, go
Go ahead and call your mom if ya need someone to cry to boo
I guarantee that that bitch is gonna lie to you
Fuck ya crank head, soap opera, pastries, and diet soda
Everything she'll ever need to know she learned from Oprah
You what the hell she's gonna do for you?
That bitch is stuck too
Get off my phone, tell her I said what up, and muthafuck you
And tell daddy if he wants some
To bring his drunk ass on
I beat that fat bastard with a cast on
Ay yo honey I'm trippin
But why you always flippin
Dress slutty everytime that we go drinkin with my buddies
Won't be long before you carrying my puppies
Speaking of which you bleeding yet bitch?
Cause you gettin kind of chubby
Yo, where the hell'd you put my stash?
Better tell me quick fast or catch a foot in the ass
Oh no, you did not smoke all of my pot
If my remmington was out the pawn shop, you'd get shot
Stop, and put that knife back in the sink
Baby, Baby, Baby, why you fucking trying to take me to the brink?
What you think?
Quit thinking and pretending that you're smart
Happily ever after 'til death do us part
I own the camaro and the mobile home, so where the fuck you gonna go?
(4X)
I love you",https://genius.com/Atmosphere-primer-lyrics
Ode to the Modern Man (Lightning Blend),Overcast!,1997,"This is an ode to the modern man
It's the ode to the modern man
This is the ode to the modern man
Word up, this is the modern man
This is that ode to the modern man
This goes out to that modern man
This is the ode to the modern man
It's to the modern man, lightning blend

Word to B E, I'm a tad bit too easy on self
And maybe I should keep a closer tab on my health
I suppose that it's simpler said than completed
I thought me to attack but in fact again retreated
Completed this word search, crumbled it up and ate it
My hunger for my blue-collar heaven keeps me sedated
Escaped it, last night in a dream
And now I sleep, with a flashlight and it seems to keep
The nightmare demons and semen-laced portions parallel and apart
Like Stephen's Avenue in Portland
A much-traveled one-way, or a slow residential
And if the camels don't stump me I'ma grow with my pencil
Once I climb the skulls of this MC graveyard
I'll see the sun again, I'll jump and run again
So come on over, visit, cause I got a lot to say
And tell Stress I ain't mad, cause I got my way
But my man Spawn's here now, so I'ma make it brief
Finish up my coffee, gather up my shit and leave
I got an army of peers, we fight single-handed
And I won't damage your brain until I understand it

You have only one chance to advance to the next stage I'm at
Do you really think you actually will pass through?
I have to ask you, did you see what happened to the last dude
Tried to compare styles, word he got his ass chewed
Now with this in mind, do you still wanna bring your shit and find out the hard way
Spawn's not the one to play with, trade blades with
You might as well slit your own wrist with the razor
It's best cause I'm crazier
Blazing you, for my own amusement
In tune with your body, when I split your whole fixture
This is what happens when you're on my shit list-er
Brains to give a blister, so next time you call me sir or mister
It's the word-twister tongue used to make the verbs hit ya
Now do you get the fucking picture?
Well if you gotta save you you better call up
Cause my behavior blows kids away like a tall wind
I take you all in between my jaws for consumption
MCs and coffee at my luncheon
One or two lumps, and some cream, call the team for the gathering
Bring mics and turntables, let's do our thing

Ha, cause it's an ode to that modern man
This is that ode to the modern man
Yeah, this goes out to that modern man
From Minneapolis, St. Paul to that modern man
And it's like a dedication to that modern man
This one here, this is for that modern man
From Atmosphere goin' out to that modern man
It's to that modern man, lightning blend

What, now for the umpteenth-time we kick rhymes about something
Can't front, I'm frustrated with heads that don't listen
My position's off-balance
It's a constant challenge between the talents and the underlying mission
I can fill your head some more with metaphors, some cute catch-phrases
Filtered through accessible things
But if I don't stay sincere to love and hate
How do I differentiate between chasing cream and chasing dreams
Oh yeah, fuck an MC in my city that wants to diss me
If I was to bounce to Atlanta with Shocker y'all would miss me
So kiss me, smack dab on the asshole while you battle
I'm with your wife sharing a Newcastle
Big up to Gene Pool, cause he's the modern man
Word up, that kid Abuse, that kid's a modern man
To Self-One, yo, that kid's a modern man
Full Circle, you know them kids is modern men
The Native Ones, word up to that modern man
Beyond Extreme, this goes to the modern man
Dynospectrum out to that modern man
From Atmosphere goin' out to that modern man
Word up, this is the ode to the modern man
It goes, like, one time for that modern man
This goes out here now to that modern man
It's to that modern man, it's to that modern man, kid
Yo, this is the ode to the modern man
It goes word-up, yeah to that modern man
It's for that modern man, it's for that modern man
It's for that modern man, lightning blend",https://genius.com/Atmosphere-ode-to-the-modern-man-lightning-blend-lyrics
