title,album,year,lyrics,urls
Top Billin’,What More Can I Say?,1987,"Check it out!

MC am I, people call me Milk
When I'm bustin up a party I feel no guilt
Gizmo's cuttin
, up for thee
Suckers that's, down with nei-
-ther one of us,
 that's how I feel
To be down you must appeal
To the Two, we're rated R
We're gifted, and we're going far
Down the road, to the bank
While I'm here I'd like to thank
Mom and dad, they knew the time
Gizmo's scratching, Milk Dee's rhyming

Milk is chillin', Giz is chillin'
What more can I say? Top billin'
That's what we get, got it good
Since you understood, would you

Stop scheming, and looking hard
I got a great big bodyguard
So step up if you wanna get hurt
Milk Dee's gonna pull the skirt
I get money, money I got
Stunts call me honey if they feel real hot
That's how it is, you can ask Giz
I stole your girl while you were in prison
Jailed for MC assault
You was jealous it's all your fault

Milk is chillin', Giz is chillin'
What more can I say? Top billin'
That's what we get, got it good
And since you understood, would you

Clap your hands, your hands you clap
If your girl's out of place it's your girl I slap
And if you're dumb, you'll ask why
I am from Bed, Do-or-Die
The Audio Two, the Two's Audio
I got a brother and his name's Gizmo

Milk is chillin', Gizmo's chillin'
What more can I say? Top billin'
That's what we get, got it good
And since you understood, would you

Bite a rhyme, if you dare
I get the papers so I don't care
My contributions to this jam
Is confusing, because I am
Milk Dee stated all the way
The super easy midas MC okay
Yes I'm down, down by law
I get the girlies out on the floor
G is D, down is G
Two the at the top is where he'll be
The at is us, call us the aud
Girls come in you won't be bored

Milk is chillin', Gizmo's chillin'
What more can I say? Top billin'
That's what we get, 
got it good
And since you understood, would you

Do a dance, dance the Two
If, you can dance it's easy to do
This dance is on and 
on and on
Dance until your breath is gone!
What more can I say? Top billin'
What more can I say? Top billin'
What more can I say? Top billin'
What more can I say? Top billin'
What more can I say? Top billin'
What more can I say? Top billin'
What more can I say? Top billin'
What more can I say? Top billin'",https://genius.com/Audio-two-top-billin-lyrics
Hickeys Around My Neck,What More Can I Say?,1988,"I, always hated hickeys all around my neck
But it was feelin' pretty good so what, the heck
The hickey went on, and I went home
I tried to brush it off then I used a comb
The comb didn't work it got bigger, and redder
Giz said, ""Yo Milk man you shouldn'ta let her""
But I did Giz, and now I gotta get it off
I tried lotion but it just got soft
The hours went on, and on, and on
Man - I wish the hickey was gone
But it wasn't, and, my girl was comin over
I needed a plan, to try to get over
So I called King of Chill I said, ""What's up man?
Got a hickey on my neck, I need a plan""
He said, ""Yo Milk why don't you bust a turtleneck?""
I said that's wack but what, the heck
I ran to my room but I couldn't find one
Then like Star Trek, _The Search_ begun
I ran through my house from the bottom to the top
I got a bright idea, I'll ask pop
I ran to dad, I said, ""What's up D?
I need a turtleneck, to cover this hickey""
He said, ""Oh son that just won't work;
You'll feel real hot and you'll look like a jerk""
I said, ""Okay - then what's your advice?""
He said, ""Go into the freezer, and get a piece of ice""
I said a piece of ice, to put on my neck?
It sounds real cold but what, the heck
I went into the freezer, and did what he said
I hope it would 'ork, or else I'd be dead
I put the ice on and I waited, and waited
The hickey was gone - it faded, it faded
The time was then for my girl to appear
At the count of three, what did I hear?
One.. {*scratch*}.. two {*scratch*} three
It was the bell, as you can tell
As I opened the door, my eyes did swell
As I, saw somethin' I thought I never would see
My girl chillin' there with a great big hickey
I punched her in the mouth her lip I did wreck
That's how I felt so what, the heck?
What, the heck?
(*dub instrumental of entire song repeats, minus Milk vocals*)",https://genius.com/Audio-two-hickeys-around-my-neck-lyrics
I Don’t Care,What More Can I Say?,1988,"(*sample of Milk saying ""I don't care"" repeats w/ variations*)

Yo, my name is Milk, when Milk is on the mic
I say all the rhymes you MC's hate
I really don't care what you think or say
I gotta bust a rhyme in my own special way
Giz is my brother, mom is my mother
Dee is my father, you say why bother?
Because they put me here on this earth
Lyte is on my side
 and she is worth
More to me than you, forget your crew
It doesn't matter what you say, or what you do
I'll keep on rockin, I roll too quick
All you groupies make me sick
The King is my boy cause he's down with us
First Priority's the label, that we trust
I really don't care if you're big and bad
I'm makin more money than you wish you had
Girls step up if they know what time it is
The left to Milk, the right to Giz
I never throw a mic cause I have respect
And when I come, I come correct
To my left to my right I have bodyguards
And in my wallet, credit cards
In my pockets, hundreds, and more
I give it to your mother, cause your mother's - a stunt
I really don't care if you're gettin mad
I call you son, son, you call me dad
I never take drugs, I like to drink
Milk, it helps me grow and think
Like a champ, suckers I vamp
Soggy MC's will always stay damp
In my presence, and in my residence
I keep keys to my car, I go real far
To pick up my money
I think it's dope, you think it's fun-ny
(*sample of Milk saying ""I don't care"" repeats w/ variations*)

But, you, never ever bothered a brother like me
I have too much personality
When I produce, you say it's def
I'll pan it right then I'll pan it left
If I want I keep it right in the middle
You look puzzled, it isn't a riddle
It's, a rhyme, one, of mine
One of a kind, girls say we're fine
What's on your mind, you said I'm through?
You must be stupid, the Audio Two
Is here to stay, every day
It doesn't matter what you think or what you say
We'll keep on rockin, keep on shockin
You'll keep lookin, starin, and mockin
Milk style, my brother
You're, a fighter, I'm, a lover
And when I'm at a jam I'm always undercover
Unless I get paid then I do, a show
When I'm finished, I always go
I got speakers, the size of your girl
Boomin the room an', shakin your world
Bigfoot feet are very big
If you're a sucker he'll help you dig
Your grave, or maybe he'll save your life
Mike shot the sherriff, I took your wife
Yeah you look mean but it don't mean nuttin
You got dissed with the push of a button
You paid your quarter but the game didn't start
It broke your money and it broke your heart
I stepped up and the game, begins
In this situation I surely win
I am the Milk like the milk you drink
I don't care what you say or what you think
I'll keep on movin, keep on slayin
Groovin MC's that think I'm playin
On, the mic, my style, you like
If you don't then leave..
And I'll end this jam with time to breathe, boy!
(*sample of Milk saying ""I don't care"" repeats w/ variations*)",https://genius.com/Audio-two-i-dont-care-lyrics
I Like Cherries,What More Can I Say?,1988,"Yo man, I love me some apples
Get out of here, pears are the move
Pears?  Peaches are the move
Peaches?  I like bananas (""Brooklyn style"")
Bananas??
*singing* I like cherries cause cherries taste better
And grapes are sour, AHH, I'll ask for more
AHH, I'll ask for more
I like cherries cause cherries taste better
And grapes are sour
*cutting and scratching* ""Bust a move""
Yo Milk... what kind of fruit, do you like?
I don't like bananas, I don't like peaches
I don't like fruit I bite and it screeches

If a lime's to a lemon and a lemon's to a lime
Why do cherries taste better, all the time?
I don't know about that but you just shouldn't miss
Just sit back relax and yo, bust this
A philosopher once said
That ""life is a bowl of cherries""
*singing* AHH, I'll ask for more
AHH, I'll ask for more

*cutting and scratching* ""From the Audio Two""
""Milk D, from the Audio Two""
""From the Audio Two""
""Gizmo, Gizmo""
""Go for yours"" (3X)
""Go for yours while I go for mine""
Yo Milk, what kind of pie do you like?
I don't like those that's old and stale
With burnt up crust and fruit that's pale

*cutting and scratching* ""Brooklyn style""
Yo Gizmo man, what kind of GIRLS do you like?
I like the girls that pass the test
And I like those girls that are so......",https://genius.com/Audio-two-i-like-cherries-lyrics
Put It 2 Music,What More Can I Say?,1988,"People call me Milk, cause Milk is my name
MC am I, and I are the same
People call me Milk, because I like it that way
MC am I, is what I say
Now put it to music, I didn't have the time
To put a dope beat to this def rhyme, so
I did the lyrics, you do the beat
Then put it to music, will be complete, the
""Super Producer"" -- is Giz and me
I can't forget Daddy-O because he's D the
""Super Producer"" -- is K.C. and Paul
Like hardcore we've got it all
""My attitude is hyper"" -- you can ask Giz
That's how it was and that's how it is
Wo-word to Big Bird boy, we can we can do this
""I-I-I got mine so"" let's get through this
""I'm gettin busier"" can't you tell
""I got the rhymes"" that sound so well
""My way"" is better, got it good
If you didn't know well now you should
""Why does it scratch?"" because it's me
""What is it a blizzard?"" ""Hell no!"" It's Milk D
""We got some non-believers out there"" Where?
I get the paper so I don't care
About what ""they ask"" and I say not you
Since you understood -- I'm through
Peace!",https://genius.com/Audio-two-put-it-2-music-lyrics
When the 2 is On the Mic,What More Can I Say?,1988,"""To the beat y'all.."" (*repeat through song*)

When - Milk is on the mic you can say I'm milkin'
All the rhymes I write are made of silk and steel
Yes y'all, I know the deal
Right about now I'll tell you how I feel
When Milk is on the tables yes y'all I said it
I scratch like THIS! {*scratching*}
.. don't forget
When I'm in a room it's science I'm droppin'
Supportin K-Rock as he goes hoe hoppin'
Effect on the voice make the voice sound milky
.. the smooth rhymes made silky
I can rock a rhyme in two minutes or less
That's on a bad day, at my best
At any time I can change my style
That is because I'm versatile
Like Nike's on my feet, and..
Bobby's on the beat, yo..
Giz is at the board, hey..
Gary press record!..
My colors red and white..
I rock it day or night, y'know..
My dad's got my back..
Yo Giz this style is wack, so bust it
""To the beat y'all.."" (*repeats as Giz scratches*)

When Giz has got the mic you can say I'm juicin'
Other MC's as I start to get loose and rhyme
One time at the drop of a dime
Now I'ma clock the mic, now I'ma shock the mic
Now I'ma rock the mic while I go for mine
One day while I was walkin', girlies' out stalkin'
Brothers on the corner, sorta like hawkin'
My style for a while cause I'm very versatile
I can grab the mic and rock a four minute mile
Now as I kept steppin', brothers kept sleppin'
Or should I say sleepin', while I was just keepin'
The beat in my stride you know like a dance
Death defyin' rope, just to enhance my look
Like a book or a well written rap (""To the beat y'all"")
If I was (?) I'd be from the tap
Okay y'all, I'm almost there
Rockin' down the street with all the fresh gear
Yo Milk, grab this mic, cause I'm outta here

Yo Giz, where's your girl?  Go get her
Yo pull out the keys to your Jetta!
I'm MC Milk D, that's DJ Gizmo
We're the Audio Two
And we're in full-l-l-l-l-l-l effffect, boyyyyyyyys!
""To the beat y'all.."" (*repeat to end*)",https://genius.com/Audio-two-when-the-2-is-on-the-mic-lyrics
Giz Starts Buggin’,What More Can I Say?,1988,"I like the girls (4X)
I like the girls with the real long hair
But if it's medium or short, I really don't care
As long as it's clean, it makes Milk happy
Whether it's red white blue straight or nappy
Real white teeth are somethin else I like
If your teeth are yellow and I say hello it's just a Psyche
No I'm not conceited, I just know the time
If you say 'Rock Milk' and you stink, I won't rhyme
It's not personal, I just hate the smell
Everytime you come near me, I have to yell
Step to the left like Jeff my boy
And when you leave I jump for joy
I tell Giz, he tells a friend
But before I know it, you're back again
Starin in my face cause you took a bath
Then Giz starts buggin as I start to laugh
Sometimes when walkin, around the way
I quietly hear, suckers say
'Milk makes no money', what are you a imbecile?
I'm makin more money than your parents, ever will
No I'm not braggin, I'm tellin the truth
Simply buggin on the suckers, that have no couth
Standin on the corners, pullin out knots
Sayin I got more knots than you've got
People like you, I call em idiots
If you say you don't I'll call you a hypocrite
No need to pull out knots on my behalf
Cause Giz'll start buggin as I start to laugh
I took your girl cause your girl is fine
Once she was yours, now she is mine
As long as you know, it makes me proud
You thought you was chillin, movin in the crowd yes
People like you, make me strong
You tried to diss and miss now Milk is on the next song
Don't even try it, you know the deal
I am the Milk and, I am for real
So don't even look or you'll feel my wrath
And Giz'll start buggin as I start to laugh
I like people, who like Giz and I
That is the reason, I always try
To cool with the groupies, the troopheads, the troopies
Don't even try to buy Gucci's from Poochies
Cause if you do, it will be a mistake
I'm tired, it's time to break -- peace!",https://genius.com/Audio-two-giz-starts-buggin-lyrics
The Questions,What More Can I Say?,1988,"Pins and needles, needles and pins *SIGH*
(Yo D whassup)
Pins and needles, needles and pins
(Yo whassup Milk whassup?)
10, 9, 8, 7
(Yo whassup Milk??)
6, 5, 4
(Yo chill whassup whassup?)
3, 2, 1
Now what am I mad about?
(I don't know man)
{*sample of ""Between the Sheets"" is heard*}
In my particular style, I rhyme a while
Then I crack a smile, then I change again
Now say, hypothetically, that I am medically
Insane, then why are you still my friend?
I want an avenue far, far, away from you
But yet the Audio Two rehearse
You say it in front of me, try to make fun of me
SAYIN I'M SECOND, BUT WHO IS FIRST??
THE QUESTIONS, THE QUESTIONS, THE QUESTIONS, THE QUESTIONS!!!
(Yo Milk chill!  Chill, chill, chill chill)
{*sample of ""Between the Sheets"" is heard*}
In my particular way, I like to say, HEY
To the people as I go by
If I'm actin polite and I say it alright
Then explain to me why you don't say, hi?
I'm livin on a plateau, in somebody's shadow
Yet I go on to reach my goal
You robbin and stealin, wheelin and dealin
SAYIN YOU STRAIGHT, BUT WHO'S IN CONTROL??
THE QUESTIONS HAH, THE QUESTIONS, THE QUESTIONS, THE QUESTIONS!!!
(Chill!)
Yo, I don't know what's goin Giz
I need a cup of Milk
I NEED A CUP OF MILK
(What are you talkin about D?  Here's some Milk)
Yo forget the cup, I don't want no -- cup!
(aight aight aight)
Gimme a glass, a full glass!
(Here's your glass)
Yo, where's my girl?  WHERE IS MY GIRL?
(Yo Milk, chill)
C'mere sweetheart, I miss you!  *sigh*
(I ain't gonna tell you, do I have to tie you up and hurt you or what?)
{*sample of ""Between the Sheets"" is heard*}
In my particular show, I say ""Say ho!""
Then I go, now I'm back again
You said I'm weak and wack, is that a fact
Who's clockin ducats while you're partyin?
You said you don't care about the clothes you wear
But it's not fair because apartheid's wack
You say Milk is buggin, like Milk is druggin
SHAKIN YOUR HEAD BUT BROTHER WHO'S ON THE CRACK?
THE QUESTIONS, THE QUESTIONS, THE QUESTIONS HAH, THE QUESTIONS!!!
{*sample of ""Between the Sheets"" is heard*}
(Aight we gonna chill on that)
With this particular beat, I got you movin your feet
And the heat in the room will make the devil grin
But yet behind my back you persist I'm wack
But wait, who paid their money, to get in?
You say you need a savior, with a different flavor
The road I'm pavin, is paved in gold
(calm down)
It's not around my neck, but mostly in my pocket
Compare the two images, now who is bold??
THE QUESTIONS, THE QUESTIONS, THE QUESTIONS, THE QUESTIONS!!!
(cool out, I thought you was chillin)
The Questions, the questions yeah
(chill out, calm down)
The questions, THE QUESTIONS!!!
THE QUESTIONS! THE QUESTIONS BOY!  THE QUESTIONS!  THE QUEST-IONS!!
THE QUESTIONS SUCKA THE QUESTIONS THE QUESTIONS THE QUESTIONS
(yo yo yo yo Milk! chill out!)
The Questions!
(I can't take it no more!  Chill!)",https://genius.com/Audio-two-the-questions-lyrics
What More Can I Say?,What More Can I Say?,1988,"Here am I in this, world of mine I just keep pacin' the floor
There's this guy and he, keeps on buildin' things and slammin' my door
He's been in my dreams, and I'm sure I've seen him hauntin' before
Herobrine ain't real, but I know that I can't take this no more, yeah
But oh man here we go again, here we go again doin' what you do
Yeah I stopped pretendin' it, pretendin' it's not really you
No I don't wanna believe, wanna believe that it's all true
But here I'm so terrified, so terrified, oh man I'm through
So I cross my world, and I know tonight
That you're always gonna give me one more fright
And yeah I've denied it a million times
But I know you're gonna give me one more fright
Trying to run away, but somehow I keep on seeing you 'round
If it's not a hole, in the wall you've put a redstone torch down
Every day I find, myself always checking behind my back
Lava everywhere, yeah I wish I could say it was a hack, yeah
But oh man here we go again, here we go again doin' what you do (doin' what you do)
Yeah I stopped pretendin' it, pretendin' it's not really you (not really you)
No I don't wanna believe, wanna believe that it's all true (that it's all true, yeah)
But here I'm so terrified, so terrified, oh man I'm through
So I cross my world, and I know tonight
That you're always gonna give me one more fright
And yeah I've denied it a million times
But I know you're gonna give me one more fright (ooh, yeah)
(ooh, ooh, ooh, ooh)
Yeah gonna give me one more fright
(ooh, ooh, ooh, ooh)
Yeah gonna give me one more fright
(ooh, ooh, ooh, ooh)
Yeah gonna give me one more fright
(ooh, ooh, ooh, ooh)
But oh man here we go again, here we go again doin' what you do
Yeah I stopped pretendin' it, pretendin' it's not really you
No I don't wanna believe, wanna believe that it's all true
Yeah, yeah, yeah, yeah
So I cross my world, and I know tonight, (woah-oh, woah-oh)
That you're always gonna give me one more fright (oh, oh-oh-oh, oh)
And yeah I've denied it a million times (oh I've denied it a million times)
But I know you're gonna give me one more fright (oh gonna give me one more fright)
So I cross my world, and I know tonight, (yeah, yeah)
That you're always gonna give me one more fright (yeah, yeah)
And yeah I've denied it a million times (yeah, yeah)
But I know you're gonna give me one more fright (yeah, yeah)",https://genius.com/Audio-two-what-more-can-i-say-lyrics
Peer Pressure,UnKnown,UnKnown,"Hello, hello, it's Milk Dee
You're in my way, so pardon me
I gotta step to the mic
And spill milk over you
C'mon, get a move on
You've been here, too long
Your rhymes are old, they're dusty
Point blank homeboy, you're rusty
And it's a serious matter
The mic's getting cold, you're getting fatter
But I'm slim and warm like Swiss Miss
I could rock to a hiss
Or gimme a beat and a metronome
I bust a rhyme off my dome
Why? I'm like the great Einstein
I have a complex mind
But this Milk is fresh out the store
My style is not hardcore
It's milky, better yet milkish
If I have to, I get vicious
Break fool, cold beat ya man
Like a spoon on a pan
But that's not hard enough, I agree
That's why I roll with security

Peer pressure
Peer pressure

Yo, the pressure's here and getting higher
You feel wet while I'm still dry
I'm smoking on the outside
I'm not playing so don't hide
Or seek, cause I'm speaking
I'm not a freak so, stop freaking
I'm kinda like a hooker
I saw your girl and I took her
Took her to the farm and did much damage
The vitamin D help me manage
Yo, I'm your girl's Molester
Call me Chester


Alright, you're still here
I guess that means you have no fear
That means you're brave and wack
Yo, with a posse at your back
Granted, you're living large
Yo, I've got to barge
Up to the front and take my own
Make the mic, my homeboy
Like Captain Kirk and Mr. McCoy
But notice who's captain
I am captain, I am captain
I am


Alright, I'm almost through
You didn't wanna leave, but now you're due
Realize you're old news
Yo homeboy, turn to the blues
Milk is precision-made for the industry
Don't flake on me
I respect you if you respect me
That's the way it's gotta be
I was playing when I said you're through
I'm just giving you",https://genius.com/Audio-two-peer-pressure-lyrics
