title,album,year,lyrics,urls
Liquorice,1991 - EP,2011,"Look, niggas really wanna beat they chest for B-A-N-K-S
These niggas be gorillas for the pin-k flesh
These niggas be vanilla, the chips be legitimate
They just want the pumpernickel sis in the linens with 'em
So since you vanilla men spend
Can my hot fudge bitches get with your vanilla friends?
Hey, I’m the liquorice bitch
You know I’m looking for these niggas if these niggas is rich
I make hits, motherfucker
Do you jiggle your dick when your bitch pop singing on the liquorice hit, ya know

Can I catch your eye, sir
Can I be what you like, yeah
I could be the right girl
Tell me if you like your lady in my-my color
Can I be your type, yeah
I could be the right girl
Tell me if you like your lady in my-my color
Can I be your type, yeah
I could set you right, whoa
How are you tonight, sir
I'm living my life, oh
Hope you feel alright, yeah

Hey, I’m the Liquorice bitch
You know I’m looking for these niggas if these niggas is rich
You got creme for your colors and a blue eye too
Hi, I wanna get the number to your 212 line
Maybe we could slumber, we could woo-woo-woo-wine
I don’t do yay, but if you want to, fine
Your fantasy could get that pitch black
Cause it’s gon’ erupt if ya slip in betwixt that black snatch
Ya like blizzak or black-cat
, ema-nem-manating
Where ya mizzat-mustache at
Huh, I bet ya been extra gassed
Bet you really wanna touch up on the molasses ass
Bet you really wanna tongue up on her kizzat today
Cause her kizzat sh-shaved
You wanna cuddle with ya bitch after, eh
But I gotta dip I gotta get at the cake
Lotta scrillac to make, and the dick don’t fuck up any scrillac for Banks
No issues picking money over ha-ha, ya beige in her
She just wanna see the best in Greece with some gentlemen and check these beats in the sun
He just wanna see the wet-wet weave when I’m swimming in the West Indies
Then I sit up and catch these breeze
Sip a little bit of Rum & Ting, nigga

These bitches know that I be on that black girl shit
That black girl pin-up with that black girl dip
Put that black girl spin up on ya whack girl tip
Ain’t official till it been up in that black girl kit
Pick out ya mans and attack real quick, I’ma hit him with that venom and that rap girl hip
I slip out the denims, know that black girl fit, get that Remy in a did and hit that black girl switch
Bitches better tan for the summer,
 and for the haters
Quit that chit chat and get ya paper
Quote the cinnamon
The cherry-melange bitch verbatim
When I speak about your face in the clam with the flavors
You get that?
And stimulate her
Take a lick up on my genital, then sit to savor
Do ya man’s and his licorice interest a favor

Can I catch your eye, sir
Can I be what you like, yeah
I could be the right girl
Tell me if you like your lady in my-my color
Can I be your type, yeah
I could be the right girl
Tell me if you like your lady in my-my color
Can I be your type, yeah
I could set you right, whoa
How are you tonight, sir
I'm living my life, oh
Hope you feel alright, yeah",https://genius.com/Azealia-banks-liquorice-lyrics
212,Broke with Expensive Taste,2011,"Hey, I can be the answer
I’m ready to dance when the vamp up
And when I hit that dip get your camera
You could see I been that bitch since the Pamper
And that I am that young sis the beacon
The bitch who wants to compete and
-I can freak a fit that pump with the peep and
-You know what your bitch become when her weave in
-I just wanna sip that punch with your peeps and
Sit in that lunch if you're treatin'
-Kick it with your bitch who come from Parisian
-She know where I get mine from, and the season
-Now she wanna lick my plum in the evenin'
-And fit that ton-tongue d-deep in
-I guess that cunt getting eaten

I was in the 212
On the uptown A
Nigga you know what’s up
Or don’t you?
Word to who made ya
I’m a rude bitch nigga
What are you made up of?
I’m a eat your food up boo
I could bust your 8
I’m-a do one too
Fuck ya gon do?
When you do make bucks
I’m a look right nigga
Bet you do want to fuck!
Fuck him like you do want to cum
You're gay to get discovered in my 2 1 deuce
Cock-a-lickin' in the water by the blue bayou
Caught the warm goo
In your du-rag too son?
Nigga, you’re a kool-aid dude
Plus your bitch might lick it
Wonder who let you come to 1 2
With your doo-doo crew son
Fuck are you into, huh?
Niggas better oooh-run-run
You could get shot homie
If you do want to put your guns up
Tell your crew don’t front
I’m a hoodlum nigga
You know you were too once...
Bitch, I’m bout to blew up too
I’m the one today
I’m the new shit boo
Yung Rapunzel
Who are you bitch, new lunch?
I’m a ruin you cunt

A-yo, A-yo
I heard you ridin' with the same tall, tall tale
Tellin' em you made some
Sayin' you grindin' but you ain't goin' nowhere!
Why procrastinate girl?
You got a lot, but you just waste all yours and
They'll forget your name soon
And won't nobody be to blame but yourself, yeah

What you gon' do when I appear?
W-W-when I premiere?
Bitch the end of your lives are near
This shit been mine, mine!

Bitch I’m in the 212
With the fif cocked nigga
It's the 2 1 zoo
Fuck ya gon do
When ya goon sprayed up
Bet his bitch won't get him
Betcha you won't do much!
See, even if you do want to bust
Your bitch’ll get you cut and touch your crew up too, Pop
You playing with your butter
Like your boo won’t true
Cock the gun, too
Where you do eat poom, hun
I’m fuckin' with ya cutie q
What’s your dick like homie?
What are you into?
What’s the run dude?
Where do you wake up?
Tell your bitch keep hatin'
I’m the new one two, huh?
See I remember you when you were
The young new face but you do like to
Slumber don’t you?
Now your boo up too hun
I'm-a ruin you, cunt!

What you gon' do when I appear?
W-W-when I premiere?
Bitch the end of your lives are near
This shit been mine, mine!",https://genius.com/Azealia-banks-212-lyrics
Runnin’,Fantasea,2011,"I was born ready
I'm working your man up in that circuit
Bitch I planned to look that perfect
Cheap little brand, but a bitch that certain
Clip that gan-ja, split that curtain
He wanna slam, wanna whip that serpent
He wanna wam, wanna get it in, wanna get it up
Wanna split it and wanna lick it up
But your nigga been listenin' to rough's
Now your niggas on the internet enough
So he think he know the Dickens and the -what
Damn motherfucker you be sniffing in the butt
You a fan little nigga you be living for the cunt
You be handful of scrilla while I'm jiggling the buns
I can stop moving still jiggling the buns
I can pop in the middle with a did up in the bun
Let it drop for ya nigga when he get up in the front
I could spot which niggas got the get-up's and the funds
But I'm not these bitches with the dick up on their tongues
Not these bitches all these niggas been among
So it's not with me with 'em when your nigga in the crumbs
And it's not me chilling with your nigga in the slums
Don't ru-run with 'em, never with 'em in the sun, huh
I'ma sp-spend this niggas sp-spinach
I tell him to eat the couchie then hit this nigga for lyrics
He know that I got that juicy
That juicy booty, that fruity, that fruity tootie
That natural beauty, he rich; he poppin' that bougie
I got that Glock and that uzi, that ch-ch-chop and the tuni
I hit your block with a goonie and put a dot on ya nugget
Split ya top and ya stomach, hit ya pops and ya cousin
Miss the shot if he runnin' and get as hot as he want it

You, you don't want
I know you, you don't wanna fuck with me
You on one, I'm on two
Bang or get banged on, you choose
These niggas runnin, these niggas runnin
They stay pumpin' that game but these niggas frontin'
All beige up on this stage, oh, these niggas stuntin'
So these bitches comin', now these niggas runnin
Runnin', niggas runnin', niggas runnin'
These niggas runnin', these niggas runnin'
These niggas runnin', these niggas runnin'
These niggas runnin', these niggas runnin'

I'm in the creme Coupe seats, color: gingerbread
You know I got that bitch covered like a ninja head
You say you 'bout to get buttered, 'bout to spend your bread
So you 'bout to get smothered with that infrared
Bet that strawberry banana f-fanna click never jam-a
I'm finna damage your armor and plan to blam at your grandma
These niggas totin' they hammer but really open punanas
I smell these niggas, they pussy they pussy they needa douche it
Don't let him up in the cushion 'less he come with the right dues
If not, then bitch you better fuck you a white dude
If not, then bitch he better come with the right dick
If not, then bitch you probably know that he like dick
Fuck feeding these niggas, you bitches breeding these niggas?
I get the beats from these niggas then hit the streets with these niggas
Y'all tryna sleep with these niggas, I'm tryna eat with these niggas
I read these niggas the script and get sick of seeing these niggas now

You, you don't want
I know you, you don't wanna fuck with me
You on one, I'm on two
Bang or get banged on, you choose
These niggas runnin, these niggas runnin
They stay pumpin' that game but these niggas frontin'
All beige up on this stage, oh, these niggas stuntin'
So these bitches comin', now these niggas runnin
Runnin', niggas runnin', niggas runnin'
These niggas runnin', these niggas runnin'
These niggas runnin', these niggas runnin'
These niggas runnin', these niggas runnin'",https://genius.com/Azealia-banks-runnin-lyrics
Grand Scam (Lyrical Exercise),Unreleased Songs,2011,"These bitches be about a little get a grand scam
When I blam on ya nigga, bet ya nigga man scram
Man (10x)
These niggas be punana's with they little ban-dans
When I blam on ya nigga bet ya nigga man scram

Yo, okay
Band full of thieves in the sand tan Jeep
That bitch'll get your head up
Tell ya nigga dont sleep
That bitch will split your fitted
And your nigga dome piece
If the amps get ya nigga bet these bitches won't weep
And for the man with the with the grand plan
You done ran from the niggas you done hit the grand can
Niggas be punna's with they little ban dans
When I blam on ya nigga bet ya nigga man scram
Ima tell these niggas again sunny, I been gully
Dont think cuz your bitch funny, your bitch bunny
Fuck the fun fuck the fun son
Niggas betta run when I pull up in the function
Run get your gun
Tell your nigga dont front on the hunt for the skrilla
But these niggas wanna stunt
Bitches pre madonnas but ya bitch a young skunk
Spray the pump on these niggas now these niggas in the trunk
Dumped on ya man like a pidgeon can
Damn niggas crammed in the duffle
Niggas in the jam jam
Niggas be punana's with they little plan-plans
Its a wrap for you niggas when I get the damn chance
And understand all you niggas ham-sams
When I blam at your witness and your little man-man
Im cuttin off your little man hand
Dump em in the river hope yout nigga can't swam can't
Can't swam can't
Can't, can't, can't can't swam

These bitches be about a little get a grand scam
When I blam on ya nigga, bet ya nigga man scram
Man (8x)
Niggas on that steet shit
Niggas in that heat shit",https://genius.com/Azealia-banks-grand-scam-lyrical-exercise-lyrics
1991,1991 - EP,2012,"Excusez-moi, est-ce que vous savez où est un bon restaurant par ici?

Oh, là là là
Flirting with a cool French dude named Antoine
Wanna taste the pastry chocolate croissant
Ce soir with the bitch, Café au Lait
Voulez-vous nigga mad Francois
Who are you nigga, hahaha
Miss one, miss young, miss cutie pie
Young Nubi, young coochy tight
Young juicy, young Uzi-might
Rata-tat-tat-tat
Nick-nack pitty-pat-pat-pat
Silly cat, you don't have that scratch?
How you do that, do that, do that that that
1-9-9-1 my time has come
Oh nah nah Ma
Your time is done
Pre-Madonna Mama, like a virgin
Private jets, my flights, don't fly Virgin
I sell, you buy, that’s my version
Mommy tie these rhymes it’s my verses
Oh me, oh my
Illumina princess
Pyramid, one eye, on my assets
Here it is, multi, peep my progress
Peep my progress, here it is multi, peep my progress
Peep my progress, here it is multi
He took her to the Louvre in Paris
He want a chance with a youngin
Wanna ruin her weave
He wanna... wanna Juniper Breeze
I get the grands and the hundreds
And the shoe with the bleed
I fit the grands and the hundreds
In the Lou to the V
High class, no school, the tuition is free
Lil Bam(bi) no fool
Intuition is G
Gimme the gem or the jewels
I'll commission a fee
I make hits motherfucker
Never do it for free, ha
Young tender from the NYC
No contender none in my league
Young kill-em-in-the-denims
Young venom on the M-I-C
Young villain been developing the heat that stick
Elite rap bitch
I cut and send that beat back quick
Tip-tip and all these niggas, suck a d-i-dick
Cause you gonna be a bitch nigga
I'mma be that bitch, what
Best believe that shit
You gonna be a bitch nigga
I'mma be that bitch
Believe that shit
Believe that shit
Nigga I'mma be that bitch

Come around, come around
Let the little Bambi run it down, run it down
Went from sippin' Bailey's
Sipping champys on the isles
Nineteen number naughty baby
Press it on your dial
Sex kitten honeys
No cougars in the house
I'mma hush the rumors and the doubt
Came in the game with a beat and a bounce
Never for the fame, my feet on the ground
Cloud number nine, headed to the stars
Maybe I ride with my mic in my bra
Maybe I recite in the raw the appetite for life and the hunger for the more
The island of Manhattan
I was Born in New York, city never slumbers
I would always dream but never sleep to the hundreds
Cocoa want the cream in abundance
Million dollar baby you can get it if you want it, what

NY rose me, most high chose me
Let me know what I can can can can do for you
If you don’t speak, boy you know you won't see none
Let me know what a man man man man man you are
NY rose me, most high chose me
Let me know what I can can can can do for you
If you don’t speak, boy you know you won't see none
Let me know what a man man man man man you are",https://genius.com/Azealia-banks-1991-lyrics
Van Vogue,1991 - EP,2012,"Bang, pop, pop, Miss Thing go pow
Dolce crop top, my play clothes now
Those Céline wedges are way downtown
Best dressed up, better, you best dressed down
Oh, it's me, fella, the banji gets out
All females fledge to bambi style
Light my wrist up, like zing-BLAOW
Vamp me up, turn her down
Amp me up, sugar, it's like mm-ow
Got the good-good, the yum-yum, wow
Oh, it's so supple—the ass so round
Trust, there's no trouble, it can go down
Bust your bitch bubble, where's my crown?
Banks, flame hot, Rapunxel style
Bang, pop, pop, Miss Thing go pow
Bang, pop, pop, Miss Thing go pow
If she ain't know, the bitch know now
It's the one, miss, the kunt is out
Flip the scripts, stole your bitch whole style
She did that first, but your bitch so now
Bang, pop, pop, Miss Thing go pow
Bang, pop, pop, Miss Thing go pow
If she ain't know, the bitch know now
If she ain't know, the bitch know now

Boy (boy) don't fill yourself too much on her
Boy (boy), your friends will laugh at you now, now, now

In that, you been did that, you been with that, you been-been that, bitch
But they all forget you when they spin this shit
Better dance with this and get your skin wet, bitch
Its the Champ, miss little cinnamon, young pip
Making plans to get your little bammer's dick
If she ain't legit you better send that witch
If the mens is rich, you better spend that chip
Better quit that envy, get that, get that benji
Bitch, you know you never looking pretty princey
Pretty prissy, pretty pretty prissy
Bitches on the cover look at pretty AB
Pretty AB, pretty pretty AB
Damn, little bam, you could get it maybe
But these bitches always fronting like they in the A-Z
I'm just doing me but these bitches can't breathe

All them hoes, all them hater
All them hoochies, all them players
All them rolls and escalades
All them roses, all them flavors
All them hoes, all them hater
All them hoochies, all them players
All them rolls and escalades
All them roses, all them flavors
All them hoes, all them hater
All them hoochies, all them players
All them rolls and escalades
All them roses, all them flavors
All them hoes, all them hater
All them hoochies, all them players
All them rolls and escalades
All them roses, all them flavors

Gonna sip that sip, and hit that dip
Damn little bam, you a real bad bitch
When I twist that hip, and lick that lip
Damn, bet ya man wish you look like this
If the men that rich, stay rich that rich
Hands on the gram, better get that grip
If you built like this, you built like this
Dance with it, dance with it
Gonna sip that sip, and hit that dip
Damn little bam, you a real bad bitch
When I twist that hip, and lick that lip
Damn, bet ya man wish you look like this
The men that rich, the rich that rich
Hands on the gram, better get that grip
If you built like this, you built like this
Dance with it, dance with it

Oh, yo yo yo, these bottom ass bitches with these raggedy ass shoes
I see you, bitch. With your Pell Grant refund, I see you coming out of NYU
Spitting that refund check, getting fly rainbows and shit
Tryna' come out of Forever 21 stunting on me
Don't want to share none of your “whole foods” and shit
I see you, motherfucker. Let me get some of that kombucha drink, bitch
Let me get some...shit. I want some. I want some
You stepped it up. You not in McDonalds, you in Chipotle—fuck outta here!
Fuck outta here. So what, you know where the dumpling spot at. You still a hoodrat bitch
And you tryna' stunt on me. Yeah, you out the hood. And yeah yeah yeah, so what
You out the hood now, I feel you. I feel you
They got government grants and shit like that that get you outta here
“Equal opportunity education” programs and shit that got you outta these streets
Now you up in there, you a freshman at UNCC, UNY, whatever, somewhere, studying some shit about political science
And you tryna' do your shit on the side. And you downtown just closing. You all that. You having a good time
But when I see you, bitch, just light me up
You know it's me! Light me up. When I ask you, just light me up
You know me. Don't front now. Don't front now
Oh, yeah, “I don't smoke blunts no more. I don't smoke no blunts no more. Bamboo now.”
You got on some white boys, I feel you! And now you don't wanna light me up when you see me come through
We don't drink Henney no more? Oh, nah, you don't drink Henney, white wine. Wahahahah. White wine, bitch, okay
Next",https://genius.com/Azealia-banks-van-vogue-lyrics
Luxury,Fantasea,2012,"Listen now
I'll hip you, hip you now
When I whistle, whistle owl
I'm gonna split you, lift you, get
When I hit you
With this smile, I'll make you, make you wow
Now I'm with you, with you now
I can't forget you, get you now

Hey, hi, hello, yo, what's up?
My, oh, me, oh boy. What's word, could I call ya?
Of late I've no one, I'm from New York
My, oh, mi amor
Who told you you could, look so good?
Ooooh, sire, lie next to me
So I can peek at ya before you wake
Ooooh, my love, my luxury's right here if you want
You want to stay

Let me in your world
You know what I spy?
Spy you looking lonely, ya know boy that's why
I wanna be your lady
Your l-l-l-love, my l-u-x-u-r-,aye ya know what I would
If I could, if I could, if I could

Listen now
I'll hip you, hip you now
When I whistle, whistle owl
I'm gonna split you, lift you, get
When I hit you
With this smile, I'll make you, make you wow
Now I'm with you, with you now
I can't forget you, get you now

Uh, took a trip, took a boat, took three friends
This bitch said it's open season
Miss miss been alone and she been
Lookin for some gentlemen
I'm hoping he's been
Feeling when I fit up in the ropa
He can chill up in the villa for the whole damn weekend
Just coast with her, put your hands on her figure
Now you're gropin' her, gropin' her

Listen now
I'll hip you, hip you now
When I whistle, whistle owl
I'm gonna split you, lift you, get
When I hit you
With this smile, I'll make you, make you wow
Now I'm with you, with you now
I can't forget you, get you now

I swear
I'mma treat ya good babe
I'll keep up my hair
If you leave, ya know babe it'll be a nightmare
I'mma nick your name and keep you right here
Ooooh yeah

Let me in your world
You know what I spy?
Spy you looking lonely, ya know boy that's why
I wanna be your lady
Your l-l-l-love, my l-u-x-u-r-,aye ya know what I would
If I could, if I could, if I could

Listen now
I'll hip you, hip you now
When I whistle, whistle owl
I'm gonna split you, lift you, get
When I hit you
With this smile, I'll make you, make you wow
Now I'm with you, with you now
I can't forget you, get you now",https://genius.com/Azealia-banks-luxury-lyrics
Fierce,Fantasea,2012,"Bambi, belle of the ball
Banjee, better than them all
Never been a flaw
Pretty kitty manicure the claws, silly
Never been a draw
When I purr bet he wanna paw
Cause a stir when she on the floor
Giving it her all
Champagne always on the pour
Some happy, others can applaud
Bum bitches aggy, but of course
Mermaid coming on the shore
Take the prince crown and the coin
Shut it down then a bitch is gone
'Nother round of Dom Pérignon
Downtown vampin' to the song
Tiara on my head when it's worn
Style get the critics and amor
Physically shawty is the bomb
Whether blue weave or the blonde
Harlem or Milan
Banks break the bank and the bonds

See, I used to think I was fierce
’Cause I was in all the houses
I won trophies
I used to munch trade for dollars too
But see I’m fiercer now
’Cause I got a job, I got an education
And I got somebody waiting at home for me, goddamit
Now one queen asked me the other day was it
She told me, ""Miss Thing, you think you’re fierce?""
I said, ""Of course""
She said, ""All queens think they're fierce""
I said, ""Miss Thing, all queens ain't me!""

Bon appétit, I'm a feast for the eyes
The reason why I’m, in luxury designs
So chic, so ahead of time
Kunt queen, princess of the prize
Witness the baddest bitch alive
Reporting from the belly of the night
Gorgeous, plus the world is mine
A girl with a twirl and a rhyme
Diamonds and a pearl on the shine
Welcome to her house in the sky

The house, the house
Work me, the house
'Cause you pay ten dollars get in the ball, you-
Work me, the house
Work me, the house
Work me, the house
'Cause you pay ten dollars get in the ball, you-
The house, the house
Work me, the house
'Cause you pay ten dollars get in the ball, you-
Work me, the house
Work me, the house
Work me, the house
'Cause you pay ten dollars get in the ball, you mop-
The house, the house, the-the house
The house, the house, the-the house
Work me, goddamit

Back at it again
My only bad habit's, my addiction to win
She only mad, I did it better than her friends
You better have cheddar to attend
Wang gown with leather on the trim
Get together with the slim
Mermaid who came on the swim
Wave to the gents
Do my dips and the spin
Turn tricks for the fucking ends?
You turned dick for the fucking gem?
You a bum bitch to the end
Come again, come again?
You running with the wrong sip, rum to the gin?
Bambi work it out like felons in the gym
Hey fella, f-fella I'm better than a ten
Eleven in the denim, 'bout twelve in her skin
Young mademoiselle, the devil wears Prada
I'm giving them hell, you bitches getting nada
Ahaa",https://genius.com/Azealia-banks-fierce-lyrics
L8R,Fantasea,2012,"Yo, you rocking with the man crook
You can get your man took quicker than your hand shook
No frontin', it’s about his paper
He a giver, I’m a taker and a fibber and a faker
You gotta spend a lot for this behavior
If it ain’t about a dollar, I’m a holler at you later

Yeah, you already know
I get the dough and it’s never slow (and it's never slow)
Let me know, and if you don’t, it’s whatever, yo
(Pay, pay, pay)
Gotta get it, gotta get, I gotta get it
You gotta spend a lot for this behavior
If it ain’t about a dollar, I’m a holler at you later

Light skin world, light skin girls
Switching his vanilla cause he likes that swirl, yeah
He like black girls and he love a musician
I'm fucking with this older nigga, he a fucking magician, son
He tricking off, cause my verse perverse
And jerking off when a bitch rehearse him
And when I lift the skirt, your nigga never gotta be coerced
To just squirt and he eats the dessert and that’s some real shit
I mean real tits, nice ass, tight twat
Dome fucking up a nigga home, call a bitch S.W.A.T
Uh, I get it tighter than a gridlock
Open your face and let a bitch squat
I tell him you should let his bitch watch
Cause she wanna kiss, nah
I tell her she could lick this box
Cause I ain’t really with that dick-swap
Even if you switch socks
Bitch is fishier than Chip Shop
And he was praying that her shit pop
Every time I say deeper, I get it warmer than a space heater
No ordinary taste either, it's that candy
He was tryna lick it off the seam of my panties
I was tryna kick him out, but he was like can he-
Eat a little dinner, want to sit with my family
Nah, there's probably not a lot in this container
If it ain’t about a dollar, I’m a holler at you later (ha!)

Ayo, shout out all my ratchet bitches
Aha, shout out all the ratchet bitches, ratchet bitches make the world go 'round
Word up, if it wasn't for ratchet bitches, I don't know where I would be in life
*Laughing*
Yo, ratchet bitches holdin' it down
Ratchet bitches hold a nigga down more than the prissy bitches and the boujie bitches do 'cause ratchet bitches used to that bull shit
They used to gettin' life's short end of the stick so, they know how to deal with opposition
So, shout out to a- shout out to all my ratchet people
All across the world, shout out all the ratchet people
'Cause ratchetness is needed and everybody got a lil bit of ratchetness in them",https://genius.com/Azealia-banks-l8r-lyrics
Esta Noche,Fantasea,2012,"Tonight's the night, the mood is right
Anything I choose he buys
I observe by his shoes and ties
He prefer the exclusive kind
Converse over blues and wine
Tonight's the night, the jewels is bright
Any way I move he likes
He is searching for cutie pie
He could scoop and sign
Keep that blue dress down to my Louboutins
Keep my calm, keep my cool
Heard you got a girlfriend but she's a deuce
Wanna see the little Bambi in the nude
Chocolate candy, liquorice too
Wanna book a ticket, get physical soon
Head of the class, but I got principles too
Arching my back give him a view
He wanna taste the cinnamon too
Sex is a race, I'm winning it too
I'm a rude bitch but I like gentlemen
Who spend dividends, benjis, residuals too
When he put it in, not remembering you
Who's his girlfriend, never a clue, what? (what?)
[Pre-Hook: Montell Jordan & 
Azealia Banks
]
Girl if it's alright, 
Hello?
Let's go somewhere and get it on tonight
Let's get it on, 
Yeah
I got a girl but you look good tonight
You look so good, baby, 
Ha
It's one on one tonight, tonight, 
Ha, ha

Drink in my hand, hand on my chip
A vamp bitch do it like this
Here with your man, hand on my hip
A bad bitch do it like this
Drink in my hand, hand on my chip
A vamp bitch do it like this
Here with your man, hand on my hip
A bad bitch do it like this
I entice, I supply what your girlfriend can't provide
That tight grip twat, I got that slip and slide
You got that top, tonight's the night, more like
I'm your type, it's alright, young and right
Delay your flight and stay the night
Out of sight, out of mind
Dim the lights and lay the pipe
[Pre-Hook: Montell Jordan & 
Azealia Banks
]
Girl if it's alright, 
Hello?
Let's go somewhere and get it on tonight
Let's get it on, 
Yeah
I got a girl but you look good tonight
You look so good, baby, 
Ha
It's one on one tonight, tonight, 
Ha, ha

Drink in my hand, hand on my chip
A vamp bitch do it like this
Here with your man, hand on my hip
A bad bitch do it like this
Drink in my hand, hand on my chip
A vamp bitch do it like this
Here with your man, hand on my hip
A bad bitch do it like this
I entice, I supply what your girlfriend can't provide
That tight grip twat, I got that slip and slide
You got that top, tonight's the night, more like
I'm your type, it's alright, young and right
Delay your flight and stay the night
Out of sight, out of mind
Dim the lights and lay the pipe

These weak bitches talkin' out of their neck
Banks 'bout: money, power, respect
Old girl on powderin' necks
Old girl owe some power, respect
Niggas took the flower then jet
Should've stuck to the script instead of suckin' on sect
Bump on the dick, never forget
These niggas is hexxed...
 nasty",https://genius.com/Azealia-banks-esta-noche-lyrics
