title,album,year,lyrics,urls
Shawty,Dirty Thirty,2003,"Yeah Shawty
You think you playin' on me?
Naw Shawty
I'm a P.I.M.P
Yea Shawty
This the K.R.I.T
Out of Mississippi
I'm from 30B
Yeah Shawty
You think you playin' on me?
Naw Shawty
I'm a P.I.M.P
Yea Shawty
This the K.R.I.T
Out of Mississippi
I'm from 30B
Yeah Shawty
You think you playin' on me?
Naw Shawty
I'm a P.I.M.P
Yea Shawty
This the K.R.I.T
Out of Mississippi
I'm from 30B

I met a fine yellow bone outside of this club
Hangin' with her friends, came up and showed love
I'm intrigued by the scene and the crowd seen you 
You got the rainbow louis with the belt and the hat
She seem independent to me, and that's cool
'Cause I ain't trickin' on no broad, and that's a rule
Look at every fine woman as possible clientele
A little conversation got digits to her cell'
I can tell she astounded by pimpin' that I spit
It only took a second, she starting to go deep
Asking me about my past and how I made cash
How much did it cost for grain on that dash
Straight to the sub, she tellin' me how she love it
Sayin' I'm her type, I'm nothing like all the others
I tell her ""Broad, I ain't tryna' be a player
But I ain't captain cook on a hoe, I can't save her

Yeah Shawty
You think you playin' on me?
Naw Shawty
I'm a P.I.M.P
Yea Shawty
This the K.R.I.T
Out of Mississippi
I'm from 30B
Yeah Shawty
You think you playin' on me?
Naw Shawty
I'm a P.I.M.P
Yea Shawty
This the K.R.I.T
Out of Mississippi
I'm from 30B

I hit the  when she creepin to hoes with no shame
She talking much knowledge, I bet you she give brain
Do flicks to make change, however she make dough
You taking her out to eat, she sliding down stripper poles
The pro's they all know that your girl I spoke
And she fucking with other niggas but 
Pussy poppin', head bouncin' - bitch, break it to the floor
Said ok, tellin me ""Don't let anybody know""
I got dough, I do tracks since she heard that I'm a star
Caught a  while I was getting out my car
, Everclear, probably sippin' on some Barre
Think I'm buying a drink, just because I'm living large
 is enough, I could never trust a broad
Buying shit for other niggas, maxing out my credit card
Never that, settle back, I'm a P.I.M.P
Who you think you fucking with? This the K.R.I.T

Yeah Shawty
You think you playin' on me?
Naw Shawty
I'm a P.I.M.P
Yea Shawty
This the K.R.I.T
Out of Mississippi
I'm from 30B
Yeah Shawty
You think you playin' on me?
Naw Shawty
I'm a P.I.M.P
Yea Shawty
This the K.R.I.T
Out of Mississippi
I'm from 30B",https://genius.com/Big-krit-shawty-lyrics
Baby Don’t Do It,See Me On Top II,2005,"Yeah shawty I know I made some mistakes
To get ya back I do whatever it takes
Yeah shawty I know I made some mistakes
To get ya back I do whatever it takes
Don't do it, don't give a nigga up like that
Don't do it, don't give a nigga up like that
I was gon' get right back
I was gon' get right back

I did you wrong I hurt your heart and I apologize
Wish I was  cuz I can see with no other guy
I wouldn't have left them other hoes alone if I didn't care
Last night I came home and you wan't there
I blame myself for all the tears that you cry shawty
I did this music cuz I knew that you would ride shawty
We talked all about the tour dates and pre-shows
You said you wouldn't be concerned with all them groupie hoes
But then you start trippin' fighting with me actin' funny paranoid thinkin that you seen me with another woman
I though you didn't trust me so I made a grave mistake
I met up with a shawty that I knew around the way
But now it's too late, yeah and the damage done
The weight  do you wrong is on my shoulders and it weighs a ton
But I can't take it back but what we had I can't lose it
I'm crying out just like this track baby don't do it


I tried my best did my best wasn't good enough
3 years shawty why the hell you givin' up
You're mamma told me that you cry 'bout it every night
Friends remind me when they see me that I wasn't right
You never miss something good till it's gone
Without you in my life girl this house ain't a home
This music ain't in me and the money ain't worth it
When it was me and you we were oh so perfect
Ay this is real, this is now, this is how i'm feeling
No worries, just chilling thats how we be living
But now the shits twisted
And yee ain't gettin' back
I threw away what we had but I can get it back
And all you need is time
And imma be around
I'm only human and I'm sorry that I let you down
But I can't take it back, but what we had I can't lose it
I'm crying out just like this track baby don't do it",https://genius.com/Big-krit-baby-dont-do-it-lyrics
Stop Drop Roll,See Me On Top II,2005,"So we ain't gotta flex nigga we got big dough
Big trucks big wheels blowing big drugs
And for the realer niggas we got big 44's
And one clip make a nigga stop drop and roll

I got big dough nigga got big rides
Got chauffeurs nigga, I don't drive
18 mind frame grown and steady
Why a sucka nigga hating plotting up on livin' lavish
Sucka free best believe that's some shit to claim
BK on my hat on my shirt and my chain
Step grown get dough on some real talk
My niggas post upon the slab on some real talk
I let a pussy nigga slide cuz I'm bout some paper
Whip a nigga in the A yeah I fucks without my maker
From the sip to the ham to the block
With the book work in and I cock that drop
It's not hard young nigga cuz this ain't rocket science
Hot shit on the shelves motherfuckers got's to buy it
So keep it cool young nigga because my clique some riders
Make niggas stop drop and roll cuz we by


Listen I ain't got nothin' to prove to you dudes
I ain't goin' out my way to floss for you fools
Before the rap game I was  big twos
Slick Ricky wasn't the only nigga rockin' big jewels
While y'all was getting dressed, tryna rush to school
I was teachin' young Dre to  one into two
I'm the realest I know in and out the booth
Cuz I been done the shit that y'all tryna do, Yeah
The shit you doin' now, I did that times two
The bitch you with now I bust her in 92
So I guess you could say that's throwback pussy
I'm a vet in these streets nigga I ain't no rookie
I'm a money go getter, a known head spinner
A fuck yo dude and you too nigga
I'm takin' the gloves off and I ain't playin' no more
I dare a nigga act like he don't know, c'mon",https://genius.com/Big-krit-stop-drop-roll-lyrics
3rd Coast,See Me On Top II,2005,"I ain't never been the type to be a lame, a hater
My flow is like precious wine, I get greater, later
And only time will tell if I will prevail over the fiction
Now the (?) came out, everybody wants his digits
Call him up the streets about this (?) is he versatile? Does he have a banjo as his picture?
We can make a million and I promise that we'll bomb that
But first give up your 99 percent and sign this contract
For nothin', a little bit of fame and some hoes
And I'll retire age of 40 platinum with no (?)
I'd rather not, I hit the block and smoke a lot out the trunk
My pockets big and fat in due time just like the Trumps
Fiend after fiend would get addicted to this (?)
A&Rs got their first hit now they get back
Get stacks, that's what a wise man told me
I took that to the heart and fed it times three
 x4
I can be your guide or your coach
Deep down in the bottom of that 3rd Coast

Wake up, wash my face, get clean, and check my phone
Pull out the freshest T I got and 
throw my Forces on
(?) crease, fitted cap, sittin' low
My mind frame is country, so country is all I know
Reach my grandma in my morning, she swear I don't get rest
She won't let me leave the house until I eat me up some breakfast
Wants me to cut my chin hair and fix my pants
I tell her just who I am and eventually she'll understand
Grab the door knob, with the (?) on my own
While some return home, but mostly remain gone
In that street war, where surviving is so irrelevant
The only representation I got is them dead presidents
I'm on guard, more than ever I pray to God
I worked so hard to get my equal rights, I paid my tithes
My music bumpin', years ago I was onto something
But what do I do my nigga? Truly I'm only country
But that was then, this is now, and was forever
Is my own go in stride to find me something better
Then what lies beneath me, increasing my interviews
While labels calculate my net-worth and revenue
I speak for the hood, ghetto thinking, and ghetto livin'
I embody the ghetto people and ghetto children
I am that, you that man, your coach
Your guide down deep in the Earth to third coast


Buy these motherfucking stocks
Buy these motherfucking stocks",https://genius.com/Big-krit-3rd-coast-lyrics
Highly Anticipated,See Me On Top II,2005,"I'm focused in
Hey I got my swagger back, hey I got my swagger back
Hey, 6-0-1 motherfucker, do it big
Underground scenes, last mainstream artist underground
Nigga that (?) heard that

Fuck a nightrider, I'm a slab rider
And every yellow 'Lac look like I'm a cab driver
I'm that new school, I'm that throw down
I'm that rain on your ass when it pours down
Violently moving, consuming everything I see
An underdog, but a king's what I'm meant to be
Clap at a hater, my family's hunger is my motivation
I use the track as a pulpit to speak to congregations
I Mobb Deeper than than G-Unit, so I get away
They told me, keep going K, you're just one hit away
My beats is Heavenly shawty, but my flow is Hell
(?) my city when there ain't no dope to sell
I'm a street scholar, ahead of my time
I'mma a pro with the tool like (?)
Turning water to wine, I'm a miracle worker
If that 9 don't get you, that chopper'll hurt ya

Yea, I am cuz, better make way
Still gonna blow, I gives a fuck what you think man
'sippi my hometown, where niggas don't play around
Show what gutter is when we lay down that four pound

The swagger simply genius, the flow retarded too
Same nigga cooking up the crack did the barbecue
And I ain't got no love for them niggas (?) talkin'
(?) when they outside of the club walkin'
Code Red, the K about to see a mil
Lights out for a hater if I sign a deal
Hey this is universal, NASA spaceship
(?) when we cook crack, so I knownin' that they taste it
They fiend for it, that Krizzle, that (?) basic
A lot of dope boys out here tryna duplicate it
(?) 18 in the Regal
(?) don't know about me yet, but I'm so illegal
I got that mic mentality, I tell 'em just do it
I pass the rock to the J's, don't let 'em shoot it
Hey this is real nigga, and that's on everything
I got the hood jumping bitch, and that's on everything",https://genius.com/Big-krit-highly-anticipated-lyrics
100 Thou Off Beats,See Me On Top II,2005,"What's the motherfuckin' deal baby? KRIT, DJ Folk, See Me On Top man. What's the motherfuckin' deal baby? KRIT, DJ Folk, See Me On Top man. Behind the scenes nigga, I'm a new breed of rapper, two mixtapes in two months. Who the fuck toppin' that man? Mississippi, well connected to the A nigga, holla at me

I hit the scene and tote a whole fuckin' stripper pole
I'm on the corner sellin' (?) like a mini mall
Tell these niggas either get rich or die tryin'
The CD's sound like shit, so we ain't buyin'
Told these niggas better get they fuckin' stacks up
(?) canary yellow on the fuckin' Lac truck
Go to Georgia and get love in the A
They know the Killer K, I make it here today
I been real, been down, since I left the womb
Got it for the low so they don't fuck with you
White T, Air 1's on my fuckin' feet
Athlete of the year, trap star of the week
Where the Hemi at? I ran a lot of streets
I'm like a butcher nigga, I serve a lot of beef
I got swagger like Jimmy and that's real
DJ Folk and BK, hey that's (?)

I went from no name nigga to the next thing blowing up
K-R-I-T I'm the best thing going
When it comes to the streets
Watch me get 100,000 off some motherfuckin' beats

Okay, I told them niggas better see me on top
The industry is fucked man, they need me on top
I'm from that Magnolia state, I bring it back
First album I drop, seeing platinum plaques
I'm official nigga, certified, the price is right
The K next to blow bitch, that's the facts of life
If your family matter, watch what you say to Folk
I make a ho sit down like (?)
I seen boys stand up and get knocked down
I seen OG's run from that choppa sound
Do your own thing K, that's what D said
(?) a bakery nigga, so I'mma make bread
I got that fresh shit boy, hey I bet they love it
The haters gonna hate, but I bet they dug it
I'm like a secret that these niggas lock up in they closet
But in reality they know the K the fuckin' hottest",https://genius.com/Big-krit-100-thou-off-beats-lyrics
Playa Why Ya Hatin,See Me On Top II,2005,"Aye what it is pimping
It's ya boy BK
Mississippi representing man BK Big Krit
Kritikal Productions shorty
Clearing up some things Imma let y'all know I made the beat
I dedicate this one to the haters though
But I like the way this one feel on me
You know what I'm saying
Aye chill
Enough with talk shorty Imma get on with the music

Ride with your boy let me show what it's hitting for
Playa why you hating don't be mad cause we getting gold
I go force clean wide tv press
I'm feeling kinda low and I'm feeling kinda fresh
I got the hood on lock and streets on buzzed
Shorty can't ride if shorty want a cut
I got my force clean wide tv press
I'm feeling kinda low and I'm feeling kinda fresh

Aye step fight right my kicks get my fitted right
Glance at my chicks you just doesn't fit it right
Pull up screens falling in the trunk crack
Ol' hit me up and said they jumping at the pool palace
Touch down ho hypnotic as a pimp's cups
You gotta start down just to put your ends up
They like the way I churn my flow this is butter man
Next we gon' put some carrots in my rubber bands
Fly like Exquisite, 
Slim like Shady
Something like I'll teach them how to go crazy
Hater's keep hating a ho I ain't saving
My son the one that could I call that shorty
Sweet Saiyan(?)
Six months vacant now I'm taking over shit
Me and (?) that's that old sick Damon Hova Shit
Im fresher than fresh shorty listen to your gut
My beat will leave millions pimping I don't give a fuck


Let me do what I do
Let me shine how I shine
Bitch strip for a hater better grind how I grind
But I'm still dragging haters still tripping
If a playa ain't fly why these hoes keep tipping
My whims keep skating and your shorty keep jerking
Your flock get a trial and your phone ain't chirping
Your beats ain't banging and your track don't jam
And shorty know my song she my number one fan
Like front beats I stay draped up and tripped out
Squeeze (?) Grata Lata when they flip out
Hood love that cause I motivate the cheese
And commercially and cause me cause I keep it in the streets
And they can't stop pimping cause pimping won't stop
Imma drill it in their head bitch See Me On Top
Playa Why You Hatin don't be mad cause I'm me
If motivation was a G how much your courage mention me


DJ Folk
I'm knee deep in the game",https://genius.com/Big-krit-playa-why-ya-hatin-lyrics
Classic Shit,See Me On Top II,2005,"Say the K-R-I to your favourite artist
And that's the only reason that you came to party (ay)
Put your hands in the air one time for the way that we ballin' the way that we grindin'
And who you know flow like me
Off two mixtapes gon' blow like me
And a lame ass nigga all in my face
And a bad young shawty wanna give me a taste (hold up)
Check my footwork nigga
My music that kush I got good work nigga
I slide to the right music game in a wrap
Niggas slide the left then move back to the trap
Boys wanna know my 
They mad cuz they just entertain like 
All the young ladies like he's the best
The cocaine  I'm just so fresh

Ay have you ever seen a playa so fresh
Cup full of lean and I'm lean two step
You know I ain't from round here shawty I'm on some classic shit
Hit the club with the  straight nasty chick
Have you ever seen a playa so fly
I pull up to the club in a 745
You know I ain't from round here shawty I'm on some classic shit
Hit the club with the  straight nasty chick

Say the K-R-I-T your favourite rapper
Cuz he keep it real and he far from actors
Two step his way to the top with no crashing
Meet a hoe greet her and fuck her in pimp fashion
Nigga didn't know that his girl gon' turn
She admires my clothes my car my shoes
 on the 'lac know that K's the best
I'm a hustler til' i'm rich get them lames a cheque
Nigga talk a lot never really man up
Same nigga I was sittin' down never stand up
So I'mma put the pressure on em make a stop to this
Bad young shawty in the club make her rock to this
It's a sold out show when I hit the stage
I'm this close from a mil' one hit away
I got the swagga nigga who won't ride
 askin' themself how he got so fly",https://genius.com/Big-krit-classic-shit-lyrics
Keep It Movin’,See Me On Top II,2005,"Ay keep it movin' pimpin' I don't know you (x3)
Go on with that talkin' hard fo' I have to choke you off
Ay keep it movin' shawty I don't know you (x3)
Go on with that talkin' hard fo' I have to choke you off

Keep it movin' nigga I don't know you
Ay it's a rap shawty I'mma blow too
See me in the streets so I'm chillin' in the club
Either way I'm gettin' paid and they still showin' love
Ride through Atlanta and they know who jammin'
Young Krizzle  at the club what's happenin'
Cuz that's what's happenin'
And I've been buzzin'
You'se a rap as a front homie I'm still hustlin'
Folk know the K 'bout to take this game
I'm a pimp and it oozes out my veins
You can be a king long as I see millions
Homie you can stay king as long as I get millions
Cuz I'mma hit the scene and give em somethin' to feel
End a whole lot of careers when I sign my deal
In a position of power, we gettin' paper
You wanna end the K reign you better get your hate up


Chop a nigga off if he come at me sideways
'Specially if I'm in the ride sittin' sideways
Keep yo' mouth shut shawty don't show your grill
 talk might get ya killed
It's all brave baby in a little 
Niggas stop rappin' now cuz the shit I utter
They tossin' shells like they throwin' out rice
I been married to the game with a passion like Christ
Beat the mic like 
Gettin' money like TIP
Stay fly, igh, igh, igh, igh, igh like three 6
Hit the  and I spend by the grand
Ginger bread paper, get it fast as I can
Ears to the streets cuz the streets don't lie
Real recognise real and yo' credentials don't apply
Still warmin' up playa y'all ain't ready to ball
Better go talkin' hard before I have to choke you off


Allow me introduce myself, young Krizzle in the flesh nigga
Colder than a northern blizzard, flyer than a jet nigga
Straight up out the dirty dirty where we put it down
I represent the M, ville and the Jack-town
Sippin  shawty, rep it like it spo'd to bleed
Might as well label me, king of Mississippi
I'm on my grind daily and the hood folk raise me
See Me On Top got the internet crazy
The game ain't the same, most of these niggas dumb as label signing anything handin' out money
Boys wanna hate, but they know they can't handle us
Same ones comin' up show up like a Leprechaun",https://genius.com/Big-krit-keep-it-movin-lyrics
Big Boi Thang,See Me On Top II,2005,"(It's a Big Boi thang)
Super fresh get paid for my rhymes
I only say what's on my mind
(It's a Big Boi thang)
Turning heads hoes choosin' in the instant pimp game
So persistent we grind
(It's a Big Boi thang)
Shawty please I'm a (?) what you expect
From the (?) to the rocks on my neck
(It's a Big Boi thang)
Jump out the coupe equipped with the angel wings on
Run like Bibby from the Kings
(It's a Big Boi thang)

Takin' shots like they never woulda thought I'd make it
I hit the block (?) the bumper and I crack the pavement
(?) hard as I fire up like Donald Trump
Fuck a gorilla, I got a whole zoo in my trunk
Got my lady right beside me, call her Nina Ross
Keep her alibi in case she break a nigga off
Cruise the city limits (?) coupe (?) makin' heads turn
Then hit the mall just in time to catch a yellow bird
Tossin' lames, I got (?) cause I got block to smash
Keep my hands free at all times cause I got hoes to grab
Don't get it twisted, money never changed KRIT
I still press a lame shit quick like the local cleaners
And bust a Pacer nigga head like Ben Wallace
Hey this that blueprint shawty, ya'll just (?)
I stick to the playa shit cause that's what gets me paid
So fuck what these niggas say


Young Krizzle from the bottom of the map
I got the streets on lock and some G's on (?)
Some hoes don't track since the dough won't trap
(?) grills on 'Lacs what you know 'bout that
Get a deal and a mil then I cop that coupe
Spray the outsides silver get the inside's blue
Them hoes gone do when I get them shoes
I'm a God in my flow you can call me Zeus
Don't get offended by my image cause I'm gettin' women
Somethin' like a soccer ball how a nigga kick it pimpin'
VH1 flow shit's so driven
Can't take my shine, ain't shit here given
Violate me and you seein' some things
Pop trunk on a hater if you need some things
Cause niggas talk a lot and never really be about it
All I gotta do is point ya out, nigga see about it


Top down hittin' sixty in the inner city
We're switchin' lanes, grippin' grain, they ain't fuckin' with me
Hoes choosin', boppers boppin'
Money comin' in, choppers choppin'
I got that normal white T fitted cap on
Airforces on my feet talkin' 'bout the strap-ons
Real niggas know they ain't gotta front
Plus these hoes know I'm paid so I ain't even gotta stunt
And when I crawl out the haters like aww nah
Mad cause I'm sittin' sideways like Paul Wall
I'm from the backwoods and they gone love me
These haters treat me like Chevies cause they wanna dub me
I'm so gutter nigga, respect my mind frame
I run this mixtape shit, respect my grind man
I'm shuttin' cities down, I'm tearin' clubs up
Hey I'm the hottest thing out, you can ask Buck",https://genius.com/Big-krit-big-boi-thang-lyrics
