title,album,year,lyrics,urls
A One Two,"Make the Music with Your Mouth, Biz EP",1986,"A one two, a one two
A one two, a one two
I'd like to introduce myself
My name is Biz Markie
My MC name is Shan
And Shanté
And TJ Swan
My DJ is Marley Marl
We down with Mr. Magic
My manager's Fly Ty
We came to rock for Brooklyn
And Queens
And Manhattan
And the Bronx
And Staten Island
I can't forget New Jersey
And Long Island
And all over the world
We came to rock for everybody, uh like this

Get up, get on up
Get up, get on up
Get up, get on up

What goes up
Must come down
You are amazed
By how I do the sound
I'm, the, human orchestra
My name is the Biz Markie

*beatboxing until end*",https://genius.com/Biz-markie-a-one-two-lyrics
"They’re Coming To Take Me Away, Ha-Haaa!","Make the Music with Your Mouth, Biz EP",1986,"Remember when they used to say
That there would be something blay
And said that my beat delay wouldn't work
Well
You walk right out the door
And see me practice more and more
Now it seems that i'm absurdably obsessed
That's why, they're coming to take me away
Ha-haaa!

They're coming to take me away
Ho-hoo!
He-hee!
Ha-haaa!
To the funny farm, where beats are stolen all the time
And whack em caesars stay around
As long I lay a thought
And show the men in the coats i'll be happy to go
They're comin' to take me away
Ho-hoo! He-hee! Ha-hahahaha!
Ho-hoo! Ha-hahaha!
Ha-hahaha!
Break

Now
You think it's a joke, the things I say
I *Beatboxing beats* all day
It seems that times have taught me
That if you troll, chan
You'll know you laugh
I heard you laugh
Ha-hahahaha-haha
You have the dirt to tell me
I'm totally mad?
I don't know why

They're coming to take me away
Ho-hoo!
He-hee!
Ha-haaa!
To the funny farm, where beats are stolen all the time
And whack em caesars stay around
As long I lay a thought
And show the men in the coats i'll be happy to go
They're comin' to take me away
Ho-hoo! He-hee! Ha-hahahaha!
Ho-hoo! Ha-hahaha!
Ha-hahaha!
Break

Why do you gotta take me away, man?
But every time they put me in
The room that makes you
Break
Now
All of those times you called me whack
My rhythms sections
They're all one track
The Bass, the stairs
The hots for all your needs
You just wait
I'll find it yet
I'll drive you nuts
They rhymes play beats
Well, I play cuts
That's why, they're

They're coming to take me away
Ho-hoo!
He-hee!
Ha-haaa!
To the funny farm, where beats are stolen all the time
And whack em caesars stay around
As long I lay a thought
And show the men in the coats i'll be happy to go
They're comin' to take me away
Ho-hoo! He-hee! Ha-hahahaha!
Ho-hoo! Ha-hahaha!
Ha-hahaha!
Break

But when they come and take me away
They would put me in this room
That I just go crazy, and
Break
Now
Looney Toons, go down the hall
My beats don't ever patter off the wall
They try to put a jacket around my lips
Well
If you put me away, you're totally wrong
I'm not gonna do it, my bass is so strong
My highs will probably wind up breakin' glass
That's why, they're

They're coming to take me away
Ho-hoo!
He-hee!
Ha-haaa!
To the funny farm, where beats are stolen all the time
And whack em caesars stay around
As long I lay a thought
And show the men in the coats i'll be happy to go
They're comin' to take me away
Ho-hoo! He-hee! Ha-hahahaha!
Ho-hoo! Ha-hahaha!
Ha-hahaha!
Break

[Outro}
Mmmmm, mmmm
They're coming to take me away...
They're coming to take me away...
They're coming to take me away
I don't know why they're comin'
To take me awaaaaaaay
They're coming to take me awaaaay
Ha-hahahahahahaha!
They comin', to take, Biz away...",https://genius.com/Biz-markie-theyre-coming-to-take-me-away-ha-haaa-lyrics
The Vapors,Goin’ Off,1988,"Radio, TV, and even the press
Know the meanin of V-A-P-O-R-S
The meanin' of this word without no doubt
Means nobody wants to be there when you’re down and out
Once you’re established and got a lot of money
Everybody wanna be your buddy and honey
Like tall buildings they call skyscrapers

Can you feel it, nothing can save ya
For this is the season of catching the vapors
And since I got time, what I'm gonna do
Is tell you how this spreaded throughout my crew
Well you all know TJ Swan who sang on my records
""Make the Music"", ""Nobody Beats the Biz"", well, check it
Back in the days before this began
He used to try to talk to this girl name Fran
The type of female with fly Gucci wear
With big truck jewelry and extensions in her hair
When Swan tried to kick it, she always fessed
Talking about ""Nigga please, you work for UPS""
Since he wasn't no type of big drug dealer
My man TJ Swan didn't appeal to her
But now he trucks gold and wear fly Bally boots
Rough leather fashion and tough silk suits
Now she stop fronting and wants to speak and
Be coming to all the shows every single weekend
To get his beeper number, she'd be begging please
Dying for the day to get skeezed

She caught the vapors
She caught the vapors
She caught the vapors
She caught the vapors

I got another partner that's calm and plain
He goes by the name of the Big Daddy Kane
A mellow type of fellow that's laid back
Back in the days he was nothing like that
I remember when he used to fight every day
What grown-ups would tell him he would never obey
He wore his pants hanging down and his sneakers untied
And a rasta-type Kangol tilted to the side
Around his neighborhood people treated him bad
And said he was the worst thing his moms ever had
They said that he will grow up to be nothing but a hoodlum
Or either in jail, or someone would shoot him
But now he's grown up, to their surprise
Big Daddy got a hit record selling worldwide
Now the same people that didn't like him as a child
Be saying can I borrow a dollar, ooh, you're a star now

They caught the vapors
They caught the vapors
They caught the vapors
They caught the vapors

Now I got a cousin by the name of Vaughan Lee
Better known to y'all as Cutmaster Cool V
He cuts, scratch, transform with finesse
{imitates cuts and scratches} and all that mess
Well I remember when he first started to rock
And tried to get this job in a record shop
He was in it to win it but the boss fronted
Said, ""Sorry Mr. Lee, but there's no help wanted""
Now my cuz Vaughan still tried on and on and on
'Til the like break of dawn
To put this j-o-b in effect
But they'd look right past him and be like, ""Next""
Now for the year of '88
Cool V is making dollars so my cousin's like straight
He walks into the same record shop as before
And the boss be like, ""Vaughan, welcome to my store""
Offering him a job but naw, he don't want it
Damn, it feels good to see people up on it
Cause I remember when at first they wasn't
Now guess what they caught from my cousin
The vapors

They caught the vapors
They caught the vapors
They caught the vapors
They caught the vapors

Last subject of the story is about Biz Mark
I had to work for mine to put your body in park
When I was a teenager, I wanted to be down
With a lot of MC-DJ'ing crews in town
So in school on Nobel Street, I say ""Can I be down, champ""
They said no and treated me like a wet food stamp
After getting rejected I was very depressed
Sat and wrote some def doo-doo rhymes at my rest
When I used to come to parties they'd make me pay
I would have to beg to get on the mic and rap that day
I was never into girls, I was just into my music
They acted like I wanted to keep it instead of trying to use it
But now things switched, without belief
""Yo, Biz, do you remember me from Noble Street, chief?
We used to be down back in the days""
It happens all the time and never cease to amaze

They caught the vapors
They caught the vapors
They caught the vapors
They caught the vapors",https://genius.com/Biz-markie-the-vapors-lyrics
Nobody Beats the Biz,Goin’ Off,1988,"Yes, y'all and, to the like beat and
You could either dance or just have a seat and
Listen to the way and, what I am displaying
A different kind of rapper language that I am saying
To all the party people that absorbs the info
When it come to rocking parties I am a nympho
Maniac, brainiac for doing my dance
And my record Make the Music will put you in a trance and
Hypnotize your body and, like you do Bacardi and
You won't be fighting or illing, you just be partying
Down, with the funky sound with yours truly
I'm the original B-I-Z M-A-R-K-I but the E
I came to have fun and, not be number one and
Just hear to let you know, who's like running the place
And everywhere that I perform and do a show
As long as you know that...

Nobody beats the Biz
(Nobody beats the Biz)
(repeat 4X)

You know me as the B-I-Z M-A-R-K-I-E and
I go for what I know doing a show for human beings
I'm guaranteed to rock I make the ladies scream and shout
I'm bound to wreck your body and say turn the party out
The Mardi rapper toe-tapper always having fun
And when you hear the Biz Markie, I get the job done
Yes I'm the M-A-R the K-I-E you know that's me
I got the stutter step to keep in check my speed is so unique
They say I look and sound funny but I don't be caring
I rock the Latin Quarter, Rooftop, Union Square and
Roseland, the Heartthrob, Madison Square Garden
Even rocked for the World’s Fair at Javits Center
Pardon the way that I be talking 'bout the places I be rocking
I love to perform for the people that be clocking
Not sayin that you're on mine or on it like a hornet
But you pay for a good performance, doggone it, you want it
That's why I'm here, to be like letting you knowing
That I'mma highly recognized as the king of discoing
Making people laugh and have a lot of enjoyment
I'm the best person for this type of employment
That's why...


On and on to the break of dawn
When you buy food cheap, you need a coupon
Or catch a sale retail, before it gets stale
So hurry up and get the WIC check out the mail
And shop non-stop, but how I hip-hop
On the mic and like make you co-op-
-erate with the rhythm, that is what I give em
Reagan is the Pres but I voted for Shirley Chisholm
It might sound confusing, the style that I'm using
But in the end I'm sure that you will find it quite amusing
And funny, oh honey, it's just ridiculous
Don't try to front, come on and admit you was
Thrilled, chilled, your heart was fulfilled
So respect the architect as I begin to build
Science and my reliance is upon my rap
Like Carl Lewis I get to it, so let's go the lap",https://genius.com/Biz-markie-nobody-beats-the-biz-lyrics
Pickin’ Boogers,Goin’ Off,1988,"Now this may sound disgusting and like very gross
But it's sure to have you trippin', so yo, listen close
It's not bright as the sun or sweet like sugar
But it's rather on the bug tip and it's called Pickin' Boogers
Now what I'm MCin' might not seem kosher to you
But it's still somethin' we all have to do
So go up your nose with a finger or two
And pull out one or a crusty crew
Yo, don't try to front like it's so gloomy and gray
'Cause we all pick our boogers some time every day
Whether out in the open or on a sneak tip
With a finger, tissue, or even a Q-Tip
Take it from the Biz Markie because I'm jokin'
And also, remember this slogan
""
Hey, ma, what's for dinner
?
Go up your nose and pick a winner""

Pickin' Boogers (4x)

Let me tell you what happened on the train, man
I was coolin' one day with my partner Kane
Headed up to the 
Rooftop
, ridin' the D train
When the man sittin' next to me was so profane
He'd stick his finger up his nose, then do a drain
(You should 'a moved)
I was just about, but all of a sudden, homeboy just pulled out
A big green slimy — nah, I'm not neven gonna say it
But it weighed a good pound if you tried to weigh it
He sat there for a while with it in his hand
So I tried to play cool and like ignore the man
So I laid my head back to catch a quick a nap
All of a sudden he plucked it dead in my lap
Now Kane sat there laughing like it was all a joke
But a brother like Biz Markie had almost choked
So I dug up my nose and pulled out about five
And plucked every last one of them dead in his eye
Then the man jumped up and said ""What's wrong with you?""
And wiped them off his face and said ""I can't mess with you!""
Like if I did something that was so full of shame
But yo, you got to know the name of the game


Hmmm....
Now let me take a trip down memory lane
Back in public school with my partner Kane
When I was class clown, and he was my brother
Sittin' at the desk pluckin' boogers at each other
Never doin' work as we was supposed
'Cause we was too busy diggin' up our nose
And in the lunchroom you would talk about rude
God forbid the person that'd leave his food
No matter who you are we didn't give a damn
We even put teachers down with the program
Whether if it was a woman or if you a man
We put boogers on our fingers then shake ya hand
Catch anyone from anywhere
But the best fun about it catchin' Kane out there
Especially when we playin' ball in the gym
I put boogers on the basketball and pass it to him
Now we're grown up and things have changed
But we still be playin' the pickin' boogers game
Just last night, when Kane was gettin' ready
I slipped a little green one inside his spaghetti


Let me tell you what happened to me with this girl...
One night at 
Latin Quarters
 I was standin' at ease
I saw this gorgeous young lady that I wanted to skeez
I didn't show enough that I really did want it
So, no half steppin', I pushed up on it
Pulled out the gold cable and I knocked her with phat
Had a spotlight beamin' on my Biz Marck hat
But when she stepped in the light and she got real close
I saw a tiny weeny booger on the tip of her nose
She was dressed real def and her body was hooked
But that dried up booger just ruined her look
I wanted to tell her about it but I couldn't be bold
So I played if off and said ""that's a cute green mole""
I was hopin' from that she would wipe it away
But she didn't do nothin' I guess she wanted it to stay
I said before you get my number, I don't mean to diss you
But write it in your hand because you're gonna need the tissue",https://genius.com/Biz-markie-pickin-boogers-lyrics
"Make the Music With Your Mouth, Biz",Goin’ Off,1988,"Ah one two, ah one two
Ah one two, ah one two
I'd like to.. introduce myself..
My name is.. ah Biz Markie..

Well I'm the human orchestra called Biz Markie
Makin music orally is my specialty
When I go {*BOOM*} ah one two, girls get excited
When they hear my lyrics they wanna recite 'em
I know y'all in the mood, just go with the flow
And I can play rappin records and all disco
Like ""Beat It,"" ""Billie Jean,"" by Michael Jackson
Or the Treacherous 3 record, they call ""Action""
When you hear me do it, you will be shocked and amazed
It's the brand new thing they call the human beatbox craze

Make the music with your mouth, biz!
{*Biz Markie beatboxes*}
Make the music with your mouth, biz!
{*Biz Markie beatboxes*}
Make the music with your mouth, biz!
{*Biz Markie beatboxes*}

Well I don't just do the beatbox, I rock on the mic
And all the rhymes that I say, all the people like
I get the crowd jumpin, get the girl's hearts pumpin
All the party people say, ""Isn't he somethin?""
Rock from New York City all the way down South
Sayin rhymes and makin music, with my mouth
I'mma tell you party people how I began
It started when I'm livin in Long Is-land
Hey when I was a kid I used to play in the streets
Makin sounds with my mouth, all sorts of beats
Grown people, used to say - WHAT?
Grown people, used to say - WHAT'S..
.. wrong with that kid makin that strange noise
It was like, for all the fly girls and all the homeboys
Then I tried it at a homeboy's basement par-ty
They thought it was a record, they ain't know it was me
When they came by the DJ, and saw who it is
They said, ""Make the music with your mouth, Biz!""

{*song continues as just a beat for a while*}

It may look and sound easy doin the human beatbox
But it's real difficult, even knocked me out my socks
It's a movement combination with your lip tongue and throat
Use your teeth and your nose for a mysterious high note
I like doin it as a hobby or a job
People treat me like a star and surround me in the mall
It's not all about, spittin, breathin hard and chewin
You need practice, be ambitious in the schoolin
Let me tell you party people, you gotta admit
Anything than you want you gotta work hard for it
That's why I like doin sounds, that's hard to achieve
Makin two or three sounds at one time you can't believe
When I walk down the street, people crowd around me
And say, ""HOW YOU MAKE ALL THEM SOUNDS at one time, Biz Markie?""
I tell 'em it takes a lot of practice, and lip control
I've been doin it since, fifteen years old
And everywhere I do it, the people say I'm good
I even get big respect in my own neighborhood
I'm tellin you a fact, it's just like it is
Even moms, pops, and cops say, ""Whattup, Biz?""
Everywhere I go, I always rocked the boat
Gonna end this rhyme, with this one note
Not gonna act conceited and say I'm the best
But I'm guaranteed to pass any kind of test
I say def rhymes, with funky fresh lyrics
When I do the beat the party people go into HYSTERICS!


You heard the beginning, now here's the sequel
All human beatboxes is not created equal
That's why I'm here, to say today
That I'm doin my beat in a special way
Makin musical tunes, orally, I have perfected
I'm very well known, and greatly respected
I like to thank people, without no doubt
Peace hi party people it's time to break ou--

Make the music.. make the music..
MAKE THE MUSIC.. with your mouth!
Make the music.. make the music..
MAKE THE MUSIC.. with your mouth!
Make the music.. make the music..
MAKE THE MUSIC.. with your mouth!
Make the music.. make the music..
MAKE THE MUSIC.. with your mouth!
MAKE THE MUSIC.. with your mouth!
{*Biz continues beatboxing and scatting to the end*}",https://genius.com/Biz-markie-make-the-music-with-your-mouth-biz-lyrics
Biz is Goin’ Off,Goin’ Off,1988,"Hey to everybody and, people that say partyin
It's time to hear a funky rhyme from me the Biz Markie again
As I just display 'em, the way I like say 'em
The stutter steppin style that I use to amuse and HEY
I'm the original, hellified king-ing
For freaky sound, for throwin down, and you know that I'm bringing
The crowd to enjoyment, by what I do
Like {*ah-oww-oww WAHHAZOOW, boom, ah one two*}
I keep the people cheerin, because of what they hearin
Movin and groovin, to a devestatin sound that's glarin
Because they're in the mood for me
The B-I-Z the Emmezah-Emmezah-A-R-K-I-E
The party rippin, never trippin, king of crowd pleasin
I can turn it out without a doubt in any season
I entertain crowds, a million and thous'
Homeboys makin noise, as I do browse through a girl's blouse
Say the funky rhyme to make the girls get naked
I can turn it out, with different sounds on my record
That I say give 'em, as y'all exault the rhythm
The magnificent record maker of Prism

The Biz, Mark, is, ah goin off
The Biz, Mark, is, ah goin off
The Biz, Mark, is, ah goin off
The Biz {*""Go off, go off!""*}
The Biz, Mark, is, ah goin off
The Biz, Mark, is, ah goin off
The Biz, Mark, is, ah goin off
The Biz {*""Go off, go off!""*}

Ha ha ha ha ha! Check out this bizarre
Rappin style used by me, the B-I-Z
Emm-A-R-K-I with the E and, you will be agreein
A brother ain't a brother unless he is say like G'n
Up with his technique and, keep the people freakin
Like me the Biz Markie because my style is so unique and
Guaranteed to rock the mic with rhymes that I say
I'm just as good as Clint Eastwood, so won't you make my day
Markie the original, yes I am the boss
And I can rock the microphone for you and yours
Go {*boom, ah one two*} 'til my voice is hoarse
Then take a pause, annnd you know, of course
I can rock a party, with so much force
I'm the greatest entertainer Marley came across
Puttin pictures in photomat to give 'em a gloss
And I don't eat spaghetti without the meat sauce
Whether Ragu, Prego, Hunt's or Aunt Millie
You wanna get dissed? Then try to get illy
With me the inhuman, because I'm like boomin
Reagan is the Pres, but so was Harry Truman

The Biz, Mark, is, ah goin off
The Biz, Mark, is, ah goin off
The Biz, Mark, is, ah goin off
The Biz {*""Go off, go off!""*}
The Biz, Mark, is, ah goin off
The Biz, Mark, is, ah goin off
The Biz, Mark, is, ah goin off
The Biz {*""Go off, go off!""*}

Now! I make rhymes, each and every day
And always seem to come up with somethin fresh to say
In January, February, March April May
And the other seven months of the year, but anyway
Hey, feel the lay okay, here's a rhyme I must display
When I'm finished you be in it sayin HIP HIP HOORAY!
I will be an emcee, 'til I'm old and grey
And I can even rock the mic with tooth decay, decay
Yo - ladies of the 80's know that I'm the
Original B-I-Z-M-A-R-K-I say with an E
You know me, and my man Big Daddy
I can't forget, Cutmaster Cool V
And my partner, my best friend TJ Swannie
Rockin the mic would say most definitely
So listen don't be missin, I will never be dissin
I just rock the mic, and always have discipline
Listen to the brother ain't no other you discover
I rock up the mic just like if I'm, your, mother!

Go Biz Mark! Go Biz Mark!
(Repeat to fade)",https://genius.com/Biz-markie-biz-is-goin-off-lyrics
Albee Square Mall,Goin’ Off,1988,"On the mic at this time in the place to be
I'm the Inhuman Orchestra called Biz Markie
That made you dance, make the music with my mouth, and all
But I'm here to talk about the Albee Square Mall
A place where people shop in downtown Brooklyn
Where I can be found if you're lookin'
For me, the B-i-z, so just come check me out
'Cause 24/7 I'm mikin' the house
So when I come in the Mall, and then I start to roam
You wouldn't think it's a store, you would think it's my home
'Cause when I come in the place, then I hang up a sign
Reads ""Home sweet home"" - this house is mine

Albee Square Mall
My house is the Albee Square Mall
My house is the Albee Square Mall
My house is the Albee Square Mall

I been to many malls from state to state
But I've never been in, say, one this great, I hate
To say, about the other shopping centers that's left
But the Albee Square Mall is the doo-doo-def
I be in there everyday, walkin' around chillin'
From when they opened all the way until when
It's about time for the place to close
I'm just running things like a pair of panty hose
They all know me, the Biz Markie
I get more respect than the average employee
Could work in every store in the mall
Because the place is my house from wall to wall
If I could move in, party people, I just might
So I could stay forever, and it won't be just like
A bum that you see sleepin' on a park bench
So how will it be when you see Biz Markie
I fade them all, been havin' fun
See, to me this mall is like number one
And any other shoppers there that try to compare
There ain't no way they could hang out with Albee Square

Albee Square Mall
My house is the Albee Square Mall
My house is the Albee Square Mall
My house is the Albee Square Mall

I step in the place and shop around for a while
Buy some jewelry for Treny and Ali, and after that I'll
Go take a stroll inside of Gibb's Pups
Then buy some fresh silks, Bally's too
Next stop Olympic, wanted to buy some sneakers
Then hit the Game Room to pick me up a Cesar
Stroll around with a fly female
While security's riffin' about leanin' on the rail
After that I go eat some food at Wendy's
In the Albee cafeteria, could be shoppin' plenty
From store to store just stuffin' face
And I do the pfrr-one-two while sayin' my grace
Finally I step off all alone
Up to the top level to use the telephone
Never use a quarter, 'cause I got a calling card
So I can reach out and touch everybody I know
That's where I be until the day is done
Just coolin' in the place that's number one
So next time you'll be in Brooklyn walkin' around
Play like ""Price Is Right"" and ""come on down""
And

Go shoppin'
Go shoppin'
Go shop - let's all go shoppin' (3x)
Go shoppin'
Go shoppin'
Go shoppin' - Swan and Biz go shoppin'
La-la-lala
La-la-la-la-lala (till end)",https://genius.com/Biz-markie-albee-square-mall-lyrics
This is Something for the Radio,Goin’ Off,1988,"This is another hit from Biz Markie
Dedicated to the radio, not he or she
Be-cause it's time for them to get recognized
This is my version of the Nobel Peace Prize
That's why I'm comin out my face like this
Far as negativity, you never get dissed
If it wasn't for you, nobody would know
That's why this is something for the radiohhhh

This rhyme is dedicated to the radio DJ's
That play all the hits on seven days
And even on the weekends, the DJ's will be freakin
Without a doubt because everyone is unique-and
The way they cut the records, and be talkin
It sound doo doo EXTRA CRAZY DEF on the Walkman
To all the disc jockey's that's on the go
This is something for the radiohhhh
{*Biz ad libbing a harmony of ""for the radio"" randomly*}
Now I'ma kick it like this

I'd like to thank all the people state to state
For requestin my records on the radio great-ly
Appreciate what you've done for me
And my reward to you is my M-U-S-I-C
Straight up, I make the music just for you
So you can do the extra crazy Biz Mark dance too
Or even do the dance made up by yourself
As long as you're in good phy-sical health
Because you're the one that make the radio hype
Like fresh tobacco and a brand new pipe
A program director always pick the right hits
Like puttin some salt and pepper and butter on grits
I ALWAYS look up to program directors
Cause they're the ones, the jam selectors
A couple of years ago when I didn't have a record player
On the radio I thought to myself sayin
If I ever get the chance to playin my stuff
I'm gonna make everything extra tough
Cause radio will last to infinity
As long as my name is the B-I-Z
Emmezah-A-R-K and I'm hear to say
Number one entertainment form in the like U.S.A
Cause if it wasn't for you, nobody would know
That's why this is something for the radiohhhh
{*Biz ad libbing a harmony of ""for the radio"" and singing shoutouts*}

This is the conclusion of just the beginnin
Of hip-hop on the radio, mix never endin
Story and fightin, just to get the right and
Have our respect on a station that's excitin
In about two years, I will be a superstar
Be able to buy anything I want, even a car
Cause if it wasn't for you, nobody would know
That's why this is something for the radiohhhh
Yo I'd just like to say it like this
{*Cool V scratches to fade*}",https://genius.com/Biz-markie-this-is-something-for-the-radio-lyrics
Cool V’s Tribute to Scratching,Goin’ Off,1988,"{*Cool V cuts and scratches his own name*}

I'ma make this brief, like about 30 seconds
My DJ, gets all of his respect in
Super crazy blendin, so he can sound groovy
And it can only be the vibe of Cutmaster Cool V
When he cuts the funky record, it sounds so like def
And it can be SMOOTH, from right to left
But now I'ma shut up and step off from the action
It's Cool V give you hits, he do the funky scratchin
Cool V go ahead!
{*Cool V scratches his own name again and ""I do damage!""*}

Yo, I'd like to tell you about my DJ
He cuts the records and he's my protege
So check him out without a doubt and you will agree
He goes by the name of Cutmaster Cool V
Cut the funky records, for me and the crew and
You will agree that he will be pursuin
A career, and like I have no fear
For when he cut the funky records he won't be dissapear
Now you think of rockin and MC's know
He's highly recognized as the DJ of disco
He can like mix, and he can like cut an'
Everytime I rock people say - V what in the heck
And they be checkin and, yo wait a second
As he be rockin it, always collectin
The money or dead presidents, whatever you call it
SO COME ON COOL V - GO FOR IT!
{*Cool V scratches his own name again and ""I do damage!""*}

Here's a biography about my DJ
His name is Cool V
And when he cut the funky records, he get respected
And he's an Aires
So check him out without a doubt as I be gettin down
I rock the funky rhythm of a rhymin sound
I think I like the way that he cuts for me
That's why he's my DJ - {*Cool V!*}
Girls!  Wherever you call 'em
He rocks from here all the way to the Bell forum
I'm like tellin you straight on up
Everywhere that I go, the boy {*tear shit up*}
{*Cool V scratches ""tear shit up"" and his name*}
{*various Cool V cribs until the song fades out*}",https://genius.com/Biz-markie-cool-vs-tribute-to-scratching-lyrics
