title,album,year,lyrics,urls
The Choice is Yours (Revisited),A Wolf in Sheep’s Clothing,1991,"Here they come yo, here they come
Here they come yo, here they come
This or that?
This or that?
This or that?
This or that?
This or that?
This or that?
This or that?
This or that?

Who's the black sheep, what's the black sheep?
Know not who I am, or when I'm coming, so you sleep
Wasn't in my realm, or wasn't in your sphere
Knew not who I was, but listen here
Dres, D-R-E-S, yes I guess I can start
If it's all right with you, I'll rip this here joint apart
Back, middle, to the front, don't front
Wanna a good time, gonna give you what you want
Can I hear a hey? (hey)
Can I get a yo? (yo)
You got a 'hat? (huh)
It's for the hoes (oh)
The styling is creative, black sheep of the Native
Can't be violated, or even decepticated
I got brothers in the Jungle, cousins on the quest
Dead departed uncles, in pea porridge, may they rest
Guess, which way, what, when, how
Mista Lawnge, Dres, Black Sheep slam... Now
Know you've heard the others, phonies to the lovers
Then of course, the choice is yours

You can get with this, or you can get with that
You can get with this, or you can get with that
You can get with this, or you can get with that
I think you'll get with this, for this is where it's at
You can get with this, or you can get with that
You can get with this, or you can get with that
You can get with this, or you can get with that
I think you'll get with this, for this is kinda phat

Where's the black sheep, here's the black sheep
Even if we wanted to, the flock could not be weak
Watch me swing like this, why should I swing it like that
Because in fact, on me it might not attract
Therefore I ignore, do as I feel inside
I live with me, I've got my back tonight
Ya know what I'm saying
Yo Black, I'm not playing
Need to go with this, or go with this with no delay and
See, in actuality, wonder can it be
I made it look easy, because it is to me
Any time capacity was filled, tried to rock it
Any time a honey gave us play, tried to knock it
Never was a fool, so we finished school
Never see us sweat, and you'll never see us drool
Out to rock the globe while it's still here to rock
Don't punch girls, and we don't punch a clock
Gotta go, gotta go, see you later by the cat
And you can't beat that with a bat

You can get with this, or you can get with that
You can get with this, or you can get with that
You can get with this, or you can get with that
I think you'll get with this, for this is where it's at
You can get with this, or you can get with that
You can get with this, or you can get with that
You can get with this, or you can get with that
I think you'll get with this, for this is kinda phat

Engine, engine, number nine
On the New York transit line
If my train goes off the track
Pick it up! Pick it up! Pick it up!

Back on the scene, crispy n' clean
You can try, but then why, 'cause you can't intervene
We be the outcast, down for the settle
Won't play the rock, won't play the pebble
Open the door, you best believe, we're sliding through it ... sssswiftly
Niftily, we can make it hip to be what we are
Cause what we be, be the epitome, doo, dah, dipitty
So now I dwell just to say you're plainer
Hold your cup, cause I got the container
Pass a plate or, cross the fader
Black Sheep get play like the Sony Innovator
Never the traitor, party inflater
And you can get a scoop ... later

You can get with this, or you can get with that
You can get with this, or you can get with that
You can get with this, or you can get with that
I think you'll get with this, for this is kinda phat
You can get with this, or you can get with that
You can get with this, or you can get with that
You can get with this, or you can get with that
I think you'll get with this, for this is where it's at
(Where it's at, where it's at, where it's at, where it's at)
(Eee come on, eeh come on, eeh come on, eeh come on)",https://genius.com/Black-sheep-the-choice-is-yours-revisited-lyrics
Flavor of the Month,A Wolf in Sheep’s Clothing,1991,"Van Damme!
Let me see what kind of flavor I want
Hmmm. Do I want, vanilla?
Or do I want a taste of chocolate?
Nah. I want something different, I want something slamming!
What's the slammingest flavor out this month?
Let's see...
Yo black!
(Hmmmmm?)
What flavor are you?
(Listen...)

For a second, I reckon, I got ya double checking
Then again when to your needs did I beckon?
Hold me only if you wanna get naked
Play me for the crowd only if you wanna wreck it
The name is Dres, like silk I get slick
Drop rhymes like a basehead Bic flicks
Constantly, yes it's me
D-R-E-S
So yes, I guess, unless ya fess
You can get down to serious business, with this
I never boned a honey that I didn't like
I never saw a mile that I couldn't hike
I never had a spliff to make me choke
I never had a pocket that was broke
Hate no one but love only a few
Franklin, Grant and yeah mom duke
I run buckwild for self or with the crew
But then again, huh I thought you knew
Now I hear a voice, is it what you want?
I hope it is kid you're the flavor of the month

I heard you got the fever for the flavor 
Somebody said you got it going on
I heard you got the fever for the flavor 
Hurry up and get a scoop before it's gone

So you got the fever for the flavor of the other
Chocolate, sasspirilla, or is it you like another
Flavor in my socks, to the curly locks
Black Sheep rolling hard and knocking peons out the box
Never have I ever never ever felt much better
Did the whole nine, on the tenth I was no wetter
Ready and I'm eager, eager as a beaver
On the radio and good to go says your receiver
Not to be the boldest or the oldest nor the wackest
Neither am I needest or the newest or the blackest
Just a brown fellow who's not afraid of Jello
To the people of the world I would like to say G'day
Had to wait a while but the while has been waited
Never gave up hope in myself nor debated
Didn't shed a tear when I wasn't picked
Cause I got a cone now, want a lick?


Now I catch a number when before I caught a glare
Now I give a pound when before I gave a stare
Now I guess I kinda got it going on
I get a wake-up call on the norm
I used to try and push a demo now I have a Coupe
That's a bit more than a little, but then not quite a few
Funny how they find you when they told you get lost
Tell me why you're gritting when you have no dental floss
Wasn't my loss, thought you were the boss?
You never knew how much the Sherbet cost
Forget it, I never sweat it
Your girl will give me play I'll wet it
It only happens yes because you let it
Now everybody wants to play my phone
I see em with a spoon, I see em with a cone
You never knew I knew it but I knew you would pursue it
Hurry up and get a scoop before it's gone",https://genius.com/Black-sheep-flavor-of-the-month-lyrics
U Mean I’m Not,A Wolf in Sheep’s Clothing,1991,"Yo motherfucker!
What the fuck you lookin' at?
Yo, get out my motherfuckin' face right now
Yo man, trip this
I was out on ave man
This nigga was lookin' at me wrong
So I pulled out my motherfuckin' nine
And I SMOKED HIS ASS!

Woke up, didn't choke up
Saw my AK, it was broke up
Put it together like a jigsaw
Got my nine and my Rambo knife off the floor
Went to the bathroom, and beat the rush
Yo, who the fuck used my toothbrush?
Went to my sister's room, yo bitch, wake up
You stupid ass, dirty ass, nasty ass slut
Shot her in the leg, shot her in the thigh
Kicked her in the pussy and punched her in the eye
Slapped her in the head, stepped on her corns
Don't fuck with mine bitch, word is bond
Went downstairs to eat wit' my folks
Ma, you broke my fuckin' egg yolk!
Punched her in the chest, cut on her cheek
Then I did a sweep, knocked the bitch off her feet
Knee to the pussy, kick to the skull
AK y'all, shot that bitch in the temple
Pop got mad 'cause mom got licked
I didn't give a fuck so I shot him in the dick
Hungry as fuck, said my grace
Pop kept screamin' so I shot him in the face
Ate my food, found my coat
Mailman came so I cut his motherfuckin' throat
Waitin' for the motherfuckin' school bus!!

Yo, yo, yo, yo, yo Dres, yo Dres
Wake up man, wake up
What's wrong with you man?
Yo, I had a mother, fuckin' dream man
What the fuck was the dream about G?
I dreamed that I was...hard",https://genius.com/Black-sheep-u-mean-im-not-lyrics
La Menage,A Wolf in Sheep’s Clothing,1991,"Listen, hon, I mean, ah, as slamming as you are and all that good stuff, it ain't doing me no good out here because...
You have too many clothes on
So why don't we just take this cab and uh, slide on uptown and uh, slip outta all of this uncomfortableness of the world around us
Do you know what, you know what I am saying babes?
Matter of fact, uhhhhh...

Listen to me honey
Ah, honey listen here please
If sexy were a virus
Then you'd have a disease
Slamming is your styling
Let me speak for a while and
Tell you all about the grand slamming
(Why you smiling?)
Let's do the uptown slide
Don't need a transfer or auto ride
We only need a cab with us inside
Finally finally we got uptown
And when we got uptown
Honey's drawers came down
Did the audio visual
She had the residuals
Bah bah Dres, now tell me have U.N.E. Pull
I said honey, uhhh, again I said it slow
Coming out the boxers and my joint will surely grow
Then she started feeling
Yes, it was appealing
I thought of slamming girlfriend from the floor to the ceiling
We started five play
She said that she would come
I said it wasn't four play
Because I used my thumb
Nibbled on her neck
Oh, what the heck
She said, 'One two, one two' and went down for a mike check
Her mike sounds nice check one
Her mike sounds nice check two
She did this 'til it was all gone
I told her to slow down
But she kept on

And on, and on, and on, she kept on
And on, and on, and on, she kept on
(You gotta do something about those wisdom teeth baby)
And on, and on, and on, she kept on
Though you're sounding as good as a CD

Everything was Dolby, or rather all's OK
She was playing Frito and I play the Lay
Then I heard a knock only to hear a voice say...
Yo, you can't have a show without the DJ
I entered in my drawers
To show that I was live
The ho didn't believe that I was nine point five
She said, 'Let me see it Lawnge, may I see it please?'
I said, 'Yeah, get a good look. Drop to your knees.'
I was erectified. I gave her the proof
And then I suggested a little woof woof
She was uptight, I said, 'Hon, there's nothing wrong
I'm the sugar dick daddy Mista Lawnge
Don't get offended by the position I recommended
Doggy style is my shit
The bottom is what I hit""
I didn't eat her
Or Rita, just beat her
Bonita, Bonita, Bonita
Uhhhhhhh!

Tip and Sugar Dick, blazing trails of evil
Lawnge, you got the felts 'cause I sure 'nough got the needle
Now put them on the arm that protrudes like a stick
And live up to your label Mista Lawnge Sugar Dick
As the dookie hits the fan, in comes the horny man
To finish up the task, so I'm scopin' out that ass
Lawnge, she wants it
Her hands spreads the butt cheeks
Tip plus Lawnge plus the ho equals wet sheets

God damn
Yo, somebody give me
A horny time
Somebody give me a hole
Spread the ass
Just give me a hole
No man
Somebody give me a hole
I'm gonna come in your face
Somebody give me a hole
I'm coming, in your face
Somebody give me a hole
I'm gonna come in your face
Somebody give me a hole
Bitch just let me pee on you
Let me pee on you
Let me pee on you
Somebody give me a hole
I've got the anal tongue darts
I've got the anal tongue darts
Let me pee on you
Somebody give me a hole
Ahhhhhhhh
I can't hold it no more

And on, and on, and on, she kept on (Repeat until fade)",https://genius.com/Black-sheep-la-menage-lyrics
Pass the 40,A Wolf in Sheep’s Clothing,1991,"Nigga, come off. Check this out. Check this out
Listen all this shit y'all talking ain't got no frills
We'll pass the 40 around and we'll see who's got some skills, I mean
If you got 'em you got 'em and if you don't
(I got skins. I got skins.)
...you're over. So Mista Lawnge, listen, I give this brew to you
I'm gonna pour some out for my man pee-wee. (Pee-Wee!)
And do what you gotta do, all right black. Bust it

I'm the sugar dick daddy
Fuck what you think
Pass the 40 right by me
Cause you know I don't drink
I remain sober when I drop a hit
But I put gum in my ass cause I like to pop shit
When it comes to pullin' gums I might do it
But put your guard up Black
And Ima run right through it
Don't sleep on the size
Thinkin' I'm easy to beat
Cause I'll be up in that ass like a bike seat
And when it comes to boning I'm Mr. Erecticy
Hoes come by the crib for a free hysterectomy
I've got a dick that I brag about
I put it in fast then I drag it out
Girls, I'll be the special friend see
Cause your man suffers from pseudo-penis envy
I do damage (oh, uhm)
The Sugar Dick is guaranteed to make you cum
Now I pass the 40 cause you heard from me
So, go get a forklift Chi-Ali

Well I'm too young for 40s, and too young for blunts
The only thing I'm not too young for is the stunts
The girlies, the ladies, I love them with a passion
But back to the mic cause I'm always down for action
Many M.C.'s fall to the dust
Some will rust cause I bust and I crush
You can't touch
I'm the child of the wild, the flavor of the Nile
I gave you plenty of chances, still ya fuck with this style
Now that you know, Chi-Ali can't be tooken
Pass the 40 cause my mother's not looking

Yo give me that, kid. You pah will put you in the mourge
Listen to hot diggity dog
Bibb bow wow wow wow wow
Yipity yie yo, yipity yo yie yeah
Diggity dog is rocking and
Yes, I'm definitely here to stay
Pass me 40. Pass me 40, pass it if you may
Because my jimmy is hard and yes I have a ho to slay
And when I'm funking the bitches they go huhhhhhh
When I'm funkin' the bitches they go huhhhhhh
Y'all drink the 40, I drink a Guinness Stout
And when I see you home, I'm out
Yo Baby Chris, pass me the keys to the car
I'm runnin late for my menage-a-trois

Pass it, tap it, and then crack it
Take a small swig
Or down it like a pig
You're too tippy to operate this rig
I'm a mike, You suckers I strike in flight
Here's a DWI for drivin' drunk with the mic
From Chi to Lawnge and all those in this fight
Loosen your grip 'cause you're holding it too tight
It'll take a body count, I know my body count is right
Five drunk niggas from my left to my right
And maybe a ho that I'm with tonight
But it's all right, yo! It's all right
So Dave my grip is getting weak
Grab the 40 so I can hear you speak

I live large, caviar and limos
Spent most of my time refusing bullshit demos
Can you understand, do you understand
Well let me explain I'm the A and R man
Dave Gossett. Yes I rock it
I rip the mike and I stuff pockets
Don't believe me? Ask the Sheep, see
They got the money, think it's funny
Always scooping all the honey
Oops, I meant to say hoes
Broke my own rhyme
What'cha didn't know, ut oh
I see a stroblelite ho, I gotta go, I gotta go
Yo Dres, it's your turn
Act like gonorrhea and burn baby burn

Step into the booth
And give em proof
That Black Sheep don't need jack to get loose
And rip a roof, loosen a tooth
You're in my fuckin way so move
And let a nigga get smooth
Honies play me close cause my goods are on display
So, I play em like vitamins and take a ho a day
I pull em like a dentist
MoId em like a teacher
Knock em like a bowler
Fleece em like a preacher
Step, get 'em man, go to school, join a band
It makes no difference whether
Dres is that type of brother
That will hit that ass forever
Cause I'm clever, ever
Never ever, have I lost my sight
Or said might or went a boneless night
Not talkin bout chicken
But if she's finger-lickin'
I will let it be known
Don't bite the bone
Microphones I like em cause they let me amplify
So don't reach for the sky, you know you can't fly
But still you reach up higher, a Black Sheep-type desire
Then you look up at me cause I'm a frequent flyer
So now you got beef chief
Grief will be your claim
I sport a full metal jacket
Give your beef some lo mein
Cause I'm swingin like a swinger
Singing like a singer
I'm lookin for your 
Or your ho so did you bring her
Ah I'm just bullshittin
Almost time for quittin
There's money to be made
And booty to be hittin
Look and you will see
Dres that's who I be
A divine incline of mine is studio time",https://genius.com/Black-sheep-pass-the-40-lyrics
Similak Child,A Wolf in Sheep’s Clothing,1991,"When I first saw ya, I thought that I knew ya
Now I know I don't, just wish that I did
Honey made a right, stepped off, took flight
Upstairs, up more, made a left, and hid
Looked down at my shoes and the cuff in my slacks
Hand inside my pocket, came out with somethin stickin
Doublemint goes in my mouth, jaws are breakin North and South
Look around to see who's lookin, figure that my breath was kickin so
In the bathroom I go
And fixing his 'fro...you guessed it, the Lawnge one
'What's up Black?' goes the hand smack
I get the feeling that it's time for some Black Sheep fun
The club is on the bourgeois, urinal holding a cigar
Then you never know, probably a Phillie
Lawnge cracks a smile, oh no, here it comes, then says
""Yo Dres, honey made you look silly""
Step back in the joint, and yeah it's kinda funky
My breath no longer kickin so now it has pep
Strobelite ho that I don't know
Walks up, asks Lawnge's sign, we quickly do the step
Where you at, hon? Where you at?
Where you at, hon? Where you at?
Where you at, hon? Where you at?

Then I change my style
Movin through the crowd, the smoke has got me chokin
Funny that I'm chokin, could it be that I am smokin
Pounds are goin round, but this is nothing new
Hoping that eloping with a dip is what I'll do
System's kinda boomin like a drive-in called the Sonic
Find the bar kid, my state of mind would like a tonic
There she goes, ""Where?"" Take my thoughts out of the dumps
Lawnge, over there, over there, look at bumps
From the time that she was born, she was raised to be all that
Gave her no food (what?) Strictly Similak
Felt like a punk on Dick Street, a coupon in the ghetto
I said, 'Hon, whacha drinkin?' She said, 'Milk and amaretto'
I took a seat beside her, I would not be denied
I ordered L.I.I.T. and fill 'er up, she's got a rider
She showed her dental work, and said I looked familiar
I touched her on the hand, I had to feel her!

Similak child, drivin me wild
Simi-limi-lak child - you're definitely winnin
Similak child, drivin me wild
Simi-limi-lak child - you're the woman

I said, 'Hey', she said, 'Hi'
I said, 'Us', she said, 'Try'
'And if you're thinkin strictly boots then I'll say baby, bye bye'
She said, 'I know you got at least a dozen that you're seeing
You think you own the world, at least New York because you're G'ing
You claim to be the man. you want me for a lover
So you can do my girlfriends and my sister and my mother'
I said, 'You're very blunt, with quickness to the cue
So whassup with your mother does she look as good as you?
I'm playin, but let me not delay in what I'm sayin
Initially attraction found your way before the weigh-in
I'm single so I've got at least a dozen on my door step
Doesn't boost my ego, it doesn't mean we've slept
I'm in the public eye, so I try to be an eyeful
Do not own the world, but yes I have some pull'
My chorus rose a brow, she's curious of me
'Please give me more iced tea, and her vitamin D'
She said, 'Me?' Yes. 'Why?' Guess
Sweetheart you've got ten cushions, besides I like your dress
I'm playin but let me not be weak and let me speak
Your mind is brighter than your booty, it’s the carton that I seek
Similak child, drivin me wild
Simi-limi-lak child - you're definitely winning
Similak child, drivin me wild
Simi-limi-lak child - you're the woman",https://genius.com/Black-sheep-similak-child-lyrics
Strobelite Honey,A Wolf in Sheep’s Clothing,1991,"I skipped the line
, I paid my dime
I hung my coat, and now it's time
To move to the forefront make my rounds
Say peace and give a pound have a drink, get down
I'm on the floor, besides the door
The sound is rich, and I ain't poor
I'm looking for Susie or Wendy or Judy
But look at her (but look at her)
But look at her
(Who me?)
Yes, you sweetie, although it's hard to see thee
I see your silhouette and what I see has got me needy
I need you for a second of your time
But then I reckon that a second is too short let me try
(You're slamming!)
But anyway, I'd like to say
I'm Dres of the Black Sheep givin' you play
Step out in the light, come show off yourself
Yo, I'm sorry, I thought you were someone else

I gotta go, I gotta go, I gotta go (Don't go)
I gotta go, I gotta go, I gotta go (Don't go)
I gotta go, I gotta go, I gotta go (Don't go)
Just don't know ""Why?"" Hon, I just don't know
I gotta go, I gotta go, I gotta go (Don't go)
I gotta go, I gotta go, I gotta go (Don't go)
I gotta go, I gotta go, I gotta go (Don't go)
See something ain't right ""Why?"" It's the strobe light


Van Damme, Oh man, now you look out
I can not dig it, I can not dig it
No, Black yo, I can not dig it

Listen Hon, I mean aaaaaah
It was nice looking at you, I just have to go
My man is right over there
(Where you going?)
I have to go my - Huh?
I'm on my way Black, I'm on my -
(Don't you have a number or something?)
Listen it's uh, seven six five, four three two one
(Wh-what area code is that?)
One, 
nine-hundred

Listen here dear, step to the rear
Find yourself a seat, buy yourself a beer
Eat some pretzels, go play some videos
Thank you for your time honey but ho I gotta go
I think I lost my coat, and plus I'm double parked
I thought you was my girl, you see I can't see in the dark
Anyway I'm out, out is what I be
I've got to step
(With the viscosity)
When you see a honey by the strobe light
Black I hope you got good sight
For honey that you see, 
like a Shakespeare soliloquy
May or may not be
, all that
In fact, quite wack
With the girl that makes you stop tracks
But neither here nor there fear
Unless, of course, you don't care
Listen baby girl, let me say it slow
I-have-to-go
Not to dis, but let's disperse
Yo, I'll see you later, unless I see you first

I gotta go, I gotta go, I gotta go (Don't go)
I gotta go, I gotta go, I gotta go (Don't go)
I gotta go, I gotta go, I gotta go (Don't go)
Just don't know ""Why?"" Hon, I just don't know
I gotta go, I gotta go, I gotta go (Don't go)
I gotta go, I gotta go, I gotta go (Don't go)
I gotta go, I gotta go, I gotta go (Don't go)
See something ain't right ""Why?"" It's the strobe light

Can't swing tonight, so ahhhhhhh
Honey take a hike, go fly a kite
And I don't mean to be um impolite
But yo, I'm outta here aight?",https://genius.com/Black-sheep-strobelite-honey-lyrics
Black With N.V,A Wolf in Sheep’s Clothing,1991,"Now, I was told to never bite off more then I could chew
But then you better bite enough for if you don't, my boy, you're blue
Now I wonder, can others see the system my eyes see
Or do they see and say they don't and blame it on society
The days I’ve spent on Earth come to over just eight thousand
And as I live I learn because there's always someone mouthing
Speaking on an issue, praise you or they diss you
Long as I come strong the words fly by me like Scott tissue
My people: from 'nigga' to 'negro' to 'man of color'
Killed my father and my brother so that you could rape my mother
Now you wonder, why is it through instinct you fear
Wouldn't dare me to stare, run for self, you're out of here
Not to worry, to harm you, not intention of my creed
But to stop your greed and give me what I need
Opportunity, for a life for me
And generations to come within tranquility
Now harmony is a total love of things
For those who are inclined or better yet like to sing
But peace of mind, it is my right therefore the spark will ignite
'Till I can catch a cab at Midtown at midnight
'Till I can be myself and not be thought of as worse
'Till I can buy a slice from Howard Beach to the 'Hurst
'Till I can get to play without fear of eject
And occupations which I seek I can have if I select
Now if I so select and reach out to make touch
How can you say that I ask for too much?

Don't speak to me if good times are granted 'till I be
Don't tell me of the countries or the islands that you seek
Don't tell me to keep trying, you know I won't agree
Double negative means positively black with envy

As a player of the game, of the lifetime game I'm playing
I bet you nod, mm-hmm, and shake your head to what I'm saying
It's keeping me bent but those of men color of skin could even begin to wonder
What is it to ponder to let another bother
Listen, stay open not dismissive
Lack of vision makes division, product: no ambition
Wishes which you wish upon, you wish were more than wishes
If I wish not to work hard and study not, then I wash dishes
Wish while I wash, the water hot gets colder
Black I'm saying that in fact the dish gets clean and I get older
Seemingly so, the dishes will grow to dishes well beyond me
Lost my wish and broke a dish so now I'm wishy-washy
Understand foundation, create my own creation
If dumb and pumping jumb I then get no ovation
But only restriction, bullpen means lots of friction
I then wash a dish without pay? Boom! N.W.A
Think I'm lying? Black, I'm crying salt, a tear would turn to crystal
Crystals forming on my dishes so I wash until dismissal
Wash until my prints are wrinkled, then they let me go
I know not where I'm going so I know not where I go
My people give me money but the money much too low
For me to meet the match of present day so I still need more dough
Conjure up a suit, I wish that it were cute
Borrow a token and a smoking I begin a wish less hope
Interview and application leads me on into frustration
And duration of my time is spent in lack of occupation
Time to go for what I know, I know not of a wish
But of soap and a towel and some water and a dish


But lay okay cause you can get the play
I peep your style, your smile shine bright about a mile away
But anyway, another day, in the land of shove
Just living in the life of who:
A black man on a green land with a blue skyline
Don't tell me I'm color blind
I'm seeing system, it's hard to believe in
Underneath the underside of underachieving
Bust my ass in school, to be a certified fool
Now intellect of curb is my only tool
But street game is so uncouth
I took the SATs and that's the sad-ass truth
I'm not gliding but I'm striving
Hanging on by a thread and it's called surviving
Hang on, hang on, hang on, y'all
Walk the street and keep your head so tall
For time is short, no time is bought
You're only in the wrong if you get caught
So kick in doors, bang on walls, shout in halls
But get yours, y'all, get yours, get yours, y'all, get yours
Get yours, y'all, get yours, get yours, y'all, get yours",https://genius.com/Black-sheep-black-with-nv-lyrics
Butt in the Meantime,A Wolf in Sheep’s Clothing,1991,"It's times like this that I've gotta crack a smile
If it's about anything, then it's gotta be style
What happens now?
A better man can hold the mic and do the proving
Dres of the Black Sheep Yo, let's
Get the Sheep moving
I'd like to pay a tribute, to what?
To knocking boots
I'm single and I mingle if ya jingle I play roots
But there's another, the other
The brother on the cover
Brought along, I brought along
I brought along, Lawnge
A duo not a trio move your bootie cause I say so
Be outlasting or not busting Black Sheep not your average Joe
Now I hold a microphone, but this is what I wanted
A pocket full of punani
Better me than those that front it
Dropping bombs, lovely, make 'em jet without their Jetta
Keep fronting if you're wanting but I bet ya the Beretta
Punctuates and exclamates, the lingo I let go
Not that it's my style cause I, let go my ego
Be it just us, just you or just me or just who
Never am I full, gotta to get residuals
Pronto, Tonto
Was engine number nine
I'm out to get the nickels, quarters, pennies and the dimes

But in the meantime, I try to hawk one
I try to hawk one, in the meantime
Now in the meantime, I try to hawk one
I try to hawk one in the meantime

At last, Black Sheep on wax
And finally, it's for himself that Mista Lawnge is laying tracks
Now I won't dally your fiddle
Give ya more than bits and kibble
Or is it kibbles and bits that became hits?
Now there's a riddle
Believe me, cause you see, I do understand
Heard a jam that was flam
Bought the album, Van Damme, it's weak
But for the moment, I won't speak
Upon this, I mean that, I mean those, I mean them
I mean there, I mean here, damn
(Yo, whatcha trying say Dres?)
Yo let me try this again
Ya see, this is rather funky, the style that I'm displaying
Somewhat bona fide, on the side of okay and
Finally, your hunger for dopeness is full
Hmmm, please excuse me, Yo, turn it up a decibel
For
I am
About to rip a style
That
Will make heads bop awhile
So please step to the right, if ya suck
Should I do 'em Violators (Ahh, what the fuck?)
Moving, yes I'm moving, am I moving? (Goony gu-gu)
Say la say la what, say la say la say la (pu-pu)
Say it in a second, after Dres is finished wrecking
As I'm wrecking, gotcha checking
Step to this and Dres will deck

But in the meantime, I try to hawk one
I try to hawk one, in the meantime
Now in the meantime, I try to hawk one
I try to hawk one in the meantime

Surprising you, I'm rising
Dresmerizing and subliminalizing
Black Sheep are here, we're breaking all ties
And making songs that are prolific
Specific as terrific
Move a body in the city to both sides of the Pacific
I'm Dres and you are not
You're cold, I'm hot which means I'm soon to boil bootie
Your bootie, your bootie, the butt, but still you think you're royal
Are you mad? Are you jealous
Overjoyed or over zealous?
Hold your glass and sip
For when you held the mike you couldn't rip
Before your mike went hush
Keep sipping stupid lush
I know I'll be all right tonight
I took my time, I didn't rush
I didn't blush, I didn't frown
Got up to get down
Henceforth, I'm getting down and dirty, G
You thought that I would not be
Stupid, Cupid, or elupid
I sting ya like a bumble
Where's the bee, here I be
Can'tcha see, can'tcha peep?
If you're sleeping then wake up
If you're stinking then wash up
If you're creeping, then catch up
You're rolling with the Black Sheep

But in the meantime, I try to hawk one
I try to hawk one, in the meantime
Now in the meantime, I try to hawk one
I try to hawk one in the meantime

Now in the meantime, I try to hawk one
I try to hawk one, in the meantime
Said in the meantime, I try to hawk one
I try to hawk one in the meantime",https://genius.com/Black-sheep-butt-in-the-meantime-lyrics
To Whom It May Concern,A Wolf in Sheep’s Clothing,1991,"You know what?
Huh?
You know what?
What?
You know what?
You know what?

The
Sugar D-I-C, D-A-D-I-E
That's just a title, explaining who I be
Mista L-A-W-N-G-E
I take a sucker from any 
phil
 and injure thee
Now that I've spelled it out
And you like the way it sounds
I'm dissing rap music
And rap music on the grounds
You say I'm full of sheep
And for that I give a pound
The Sugar Dick Daddy
Mista Lawnge to break it down
Ladies, step to me for a real neat treat
And if you don't wanna call me Lawnge
You can call me sweet meat
I wear protection, you won't catch claps here
Come over later, but first go get a pap smear
Nine point five okay dear?
And don't forget clean underwear
Cause I don't want 
the funk to flow
And after I nut, yo ya gotta go
'Don't you know
 ho, don-tcha know ho'
Okay enough is enough, time to get that off my bladder
And dig deep into subject matter
You know what?
You know what?
I'm sick and tired of rappers not real
And suckers makin' it with a pop feel
Labels signin acts for 'nuff bills
Tax write off, cause you have no skills
You go make a demo
Get a deal and start to sprout
Gold, platinum, and then start sellin out
You get a Benz and trash the Nova
Double platinum, and start crossin over
Then you get fall, I won't give examples
HINT HINT, they use the same old samples
But not the Sheep
For we are sleek and unique
Top of the peak and others are weak
Follow the words I speak
The situation is bleak
But this is the fly shit that you seek
When the style is dope
Mista Lawnge'sa participator
If you wanna battle, later
Cause Black Sheep are certified greater than...
But, I said later man
'I can dig it'
You know what?
You know what?
You know what?
You know what?
You know what?
You know what?
You know what?
You know what?

I turn on the radio
Be a prime time to a late night rap show
Here, the same old, same old
And that's on your, new single
Your product, is a product, of no productivity
Can ya, see G?
You kick a whack 
style
And claim to have brains
Take the funky drummer and give him back to James
I'm dope, I'm dope
Heh, I can't cope
Keep your cordless, because you bore this
You say you're sure, yeah
But I'm the surest
That, Black Sheep are unique
Funky clever brothers that will
Make a church girl freak
Out, without a doubt
You have no wins in a '91 bout
So shout, pout, do what you want
But you're out the picture
And I'mma get you sucka
Cause youse a dumb mothafucka
Better off as a tractor trail trucker
But movin right along to the Woodstock
Stop, remember when the band was on rock
Negro music, heh, separated
It blew up and became rap
And you hated it
That's of course till you see
A motherfucker that, could be in your family
Drop lyrics then you hear it
With glee, then only thing it tells me
Is that you know a good thing
When you see it
You run to get a tan
Cause you cannot be it
So, off the top off my head
I guess I keep it rollin
Till aaaaaaah... the rap gets stolen
Like so many other things called theft
And when it's gone what will be left
YOU sucker, dumb fucker don't turn blue
You know what?
Talkin' to you
You know what?
Chump
You know what?
You know what?
You know What?",https://genius.com/Black-sheep-to-whom-it-may-concern-lyrics
