title,album,year,lyrics,urls
Alphabet Aerobics,A2G EP,1999.0,"(Now it's time for our wrap up
Let's give it everything we've got
Ready? Begin)

Artificial amateurs, aren't at all amazing
Analytically, I assault, animate things
Broken barriers bounded by the bomb beat
Buildings are broken, basically I'm bombarding
Casually create catastrophes, casualties
Canceling cats, got they canopies collapsing
Detonate a dime of dank daily doin' dough
Demonstrations, 
Don Dada
 on the down low
Eating other editors with each and every energetic
Epileptic episode
, elevated etiquette
Furious, fat, fabulous, fantastic
Flurries of funk felt, feeding the fanatics
Gift got great, global goods gone glorious
Gettin' godly in this game with the goriest
Hit 'em high, hella hype, historical
Hey holocaust hymns, hear 'em holler at your homeboy
Imitators idolize, I intimidate
In an instant, I'll rise in an irate state
Juiced on my jams like Jheri curls jocking joints
Justly, it's just me, writing my journals
Kindly I'm kindling all kinds of ink on
Karate kick type Brits in my kingdom
Let me live a long life, lyrically lessons is
Learned lame louses just lose to my livery
My mind makes marvelous moves, masses
Marvel and move, many mock what I've mastered
Niggas nap knowing I'm nice, naturally
Knack, never lack, make noise nationally
Operation, opposition, off, not optional
Out of sight, out of mind, wide beaming opticals
Perfected poem, powerful punchlines
Pummeling petty powder puffs in my prime
Quite quaint quotes keep quiet it's Quannnum
Quarrelers ain't got a quarter of what we got, uh
Really raw raps, risin' up rapidly
Riding the rushing radioactivity
Super scientifical sound search sought
Silencing super fire saps that are soft
Tales ten times talented, too tough
Take that, challengers, get a tune up
Universal, unique, untouched
Unadulterated, the raw uncut
Verb vice lord victorious valid
Violate vibes that are vain make 'em vanish
While I'm all well would a wise wordsmith just
Weaving up words, weeded up on my workshift
Xerox my X-radiation holes extra large
X-height letters and xylophone tones
Yellow-back,
 yak mouth, young ones' yaws
Yesterday's lawn yardsale, I yawn
Zig-Zag zombies, zooming to the zenith
Zero in, Zen thoughts, overzealous rhyme
Zealots!

(Good... can you say it faster?)",https://genius.com/Blackalicious-alphabet-aerobics-lyrics
Chemical Calisthenics,Blazing Arrow,2002.0,"Ha ha ha good
Can you say it faster?

I can do anything
Neutron, proton, mass effect, lyrical oxidation, you're irrelevant
Mass spectrograph, your electronvolt, atomic energy erupting
As I get all open on betatrons, gamma rays thermo cracking
Cyclotron any and every mic you're on
Trans iridium, if you're always uranium
Molecules, spontaneous combustion, pow
Law of definite proportion, gaining weight
I'm every element around
Lead, gold, tin, iron, platinum, zinc, when I rap you think
Iodine nitrate activate
Like Germanium, the only difference is I transmit sound
Balance was unbalanced then you add a little talent in
Careful, careful with those ingredients
They could explode and blow up if you drop them
And they hit the ground
Let it blow, yo, just let it go, get back
Ca(OH)₂ wine water solution of calcium hydroxide
Slobbin' it, CaO lime will make bleach powder
Galvanic metal beats stomp out louder
Dried ice, CO squared refrigerant
NO₂ makes you laugh, it's laughing gas used by dentists
I'm muriatic acid glue, I'm like oil vitriol, the king of chemicals
Energy heat gas waved all your mats
Chemical change, ice point, melt all your raps
Atomic weight, hold shocks, when you call
Refillable gas keep going way beyond biatch
I'm only ill with buzzin', feel the ambiance
Adiabatic process oughta calm your ass
After I warm your ass, I'll give sodium silicate NO₂S₁O₃, a water glass
Borax flexure full of brimstone sulfur
Boracic acid, hip-hop preserver
CO₂ could never put away the fire
Style aromas is scientific; the lyrical fuse would be connected
To teach you chemical calisthenics
(C4)
The theory is that all matter is composed of at least three fundamental particles
Protons, electrons, neutrons, protons are charged positive
By now you've guessed electrons are probably negatively charged
Neutrons don't follow either, neutral, in the middle, only no apologies
Centered, unmoved by yin and yang ideology
Neutron, bomb songs, electron fury
Cosmic musical radioactivity
Different points in joints within infinity
Oxygen and hydrogen alive within all types of energy
Within all types of energy
Within all types of energy
Within all types of energy
Within all types of energy, inside a world, inside a world
Inside a universe, inside of me existing although I can't see it
Hydrocarbon, nitrogen cycle, ionization
Heavier than electric motor metals that weigh over a ton
This has been a Chemist, Blackalicious creation
Clean out your desk, put your papers away 'cause class is almost done
(All aboard for the night train)
This is chemistry plus calisthenics
I'm calcium plus potassium, magnesium, newspaper of sodium, sulfate
Your solvent, chloroform, remedy from the norm
Glycerin, purest form Titanium
There is no way out, when this newfy is out
Of all arms vibration, forming in a nigga
Some bleachin' to teach ya religious is equal to pieces of meteor
Eager to be here or is it, can see here I know all of all
I'ma pickin' up pretty little Cindy
I'm more, I'm thinkin' of more
I'm cookin' a potion!",https://genius.com/Blackalicious-chemical-calisthenics-lyrics
Make You Feel That Way,Blazing Arrow,2002.0,"Make you feel that way 

Up and early for the hope of a brand new day
See a homie you ain't seen since back in the day
Fresh haircut fitted with a fat-ass fade
End of work, we chilling on a Saturday
How you felt when you first heard the Daddy Kane
Rakim, KRS - hey I had that tape
Cooling out with ol' girl on a fat-ass date
Find a hundred dollar bill wow man that's great
Get promoted at your job up to management
Plot a long time finally a plan has made it
Sometimes I feel I wanna shout, man it's real that way
When I think of things that make you feel that way


Christmas Day when your mama got your first bike
Type of feeling when you went and won your first fight
How your team felt winning championship games
Celebrate in a huddle dancing in this rain
Have a thought see a shooting star cross your screen
Put in hard work finally you're living your dream
Deaf man get his hearing now in come vibes
Blind man gain his sight see his first sunrise
Young man speaking out, now he's loud and clear
Birthin' your child, smile so proud you wear
Going in your 3rd eye for the styles you hear
Making music that'll bump for a thousand years
Eating right feeling conscious like health is first
Said a prayer that's sincere and you felt it work
Times I feel I want to shout, man it's real that way
When I'm thinking things that make you feel that way


All up in her vibe something coming over me
Summer days more likely that you notice breeze
Winter days more likely that you notice heat
When I'm gone, more likely that you notice me
In the dark it's more likely that you notice light
In the light more likely that you notice night
Hungry, more appreciation for that meal
Dead broke, more appreciation for that scrill(a)
A bad day'll make you really notice ones that's good
And that'll make things a little better understood
Times I feel I wanna shout, man it's real that way
When I think of things that make you feel that way",https://genius.com/Blackalicious-make-you-feel-that-way-lyrics
Release,Blazing Arrow,2002.0,"Release x3

Prevalent melanin elephant bailin'
And carrying sedatives that'll give average lettermen callouses
Wrecking with savageness, catalyst
Battling rappers'll stagger right after the dagger is left in it
Cherish this caliber. (Release) 
Atticus
Shatter your algebra with calculus
 (give it up)
Damage your patterns I'm pounding you so fabulous (give it up)
Enough is enough is enough and I'm busting up outta this shell
An eruption that ruptures your structure to fuck with you (Release)
Up in ya gut, you a costumer
Huffing and puffing, discussing absolutely nothing, disgusting me
Plus infinity's up in me rushing your country percussion
No wonder you're struck in the boundaries
Wake up if you're lunging, I'm something, you're nothing (Release)
Now come see me grunting
I'm hunting for what emcees want
And I'm stomping my foot through your armies
They couldn't have stopped me with shotties
Oddity, why did he, why do these entire societies inside of societies
And survivors still remain alive (Release) emcees
Thriving to flow, opting to go
Five hundred and fifty-five syllables to go
Split em' with the subliminal intentional digital pro
Unlimited flows unriveted, inhibited, visited
Now you can't get rid of it like (Release) what is this
This magnificent, intimate, inner wit, in a minute finna be antonyms
In it with a gig, big fat heads like eggs Benedict
Pigs lick shit
, rip with words and abysmal energy
It's time I (destroy the beast, release)

Inner breathlessness, outer restlessness
By the time I caught up to freedom I was out of breath
Grandma asked me what I'm running for
I guess I'm out for the same thing the sun is sunning for
What mothers birth their youngens for
And some say Jesus coming for
For all I know the earth is spinning slow
Suns at half mast cause masses ain't aglow
On bended knee, prostrate before an altered tree
I've made the forest suit me
Tables and chairs
Papers and prayers
Matter versus spirit
A metal ladder
A wooden cross
A plastic bottle of water
A mandala encased in glass
A spirit encased in flesh
Sound from shaped hollows
The thickest of mucus released from heightened passion
A man that cries in his sleep
A truth that has gone out of fashion
A mode of expression
A paint splattered wall
A carton of cigarettes
A bouquet of corpses
A dying forest
A nurtured garden
A privatized prison
A candle with a broken wick
A puddle that reflects the sun
A piece of paper with my name on it
I'm surrounded
I surrender
All
All that I am I have been
All I have been has been a long time coming
I am becoming all that I am
The spittle that surrounds the mouth-piece of the flute
Unheard, yet felt
A gathered wetness
A quiet moisture
Sound trapped in a bubble
Released into wind
Wind fellows and land merchants
We are history's detergent
Water soluble, light particles, articles of cleansing breath
Articles amending death
These words are not tools of communication
They are shards of metal
Dropped from eight story windows
They are waterfalls and gas leaks
Aged thoughts rolled in tobacco leaf
The tools of a trade
Barter's bard, barb of barters
Catch phrases and misunderstandings
But they are not what I feel when I am alone
Surrounded by everything and nothing
And there isn't a word or phrase to be caught
A verse to be recited
A mantra to fill my being in those moments
I am blankness, the contained center of an ""O""
The pyramidic containment of an ""A""
I stand in the middle of all that I have learned
All that I have memorized
All that I've known by heart
Unable to reach any of it
There is no sadness
There is no bliss
It is a forgotten memory
A memorable escape route that only is found by not looking
There, in the spine of the dictionary the words are worthless
They are a mere weight pressing against my thoughtlessness
But then, who else can speak of thoughtlessness with such confidence
Who else has learned to sling these ancient ideas
Like dead rats held by their tails
So as not to infect this newly oiled skin
I can think of nothing heavier than an airplane
I can think of no greater conglomerate of steel and metal
I can think of nothing less likely to fly
There are no wings more weighted
I too have felt a heaviness
The stare of man guessing at my being
Yes I am homeless
A homeless man making offerings to the after-future
Sculpting rubber tree forests out of worn tires and shoe soles
A nation unified in exhale
A cloud of smoke
A native pipe ceremony
All the gathered cigarette butts piled in heaps
Snow covered mountains
Lipsticks smeared and shriveled
Offerings to an afterworld
Tattoo guns and plastic wrappers
Broken zippers and dead eyed dolls
It's all overwhelming me, oak and elming me
I have seeded a forest of myself
Little books from tall trees
It matters not what this paper be made of
Give me notebooks made of human flesh
Dried on steel hooks and nooses
Make uses of use, uses of us
It's all overwhelming me, oak and elming me
I have seeded a forest of myself
Little books from tall trees
On bended knee
Prostrate before an altered tree
I've made the forest suit me
Tables and chairs
Papers and prayers
Matter vs. spirit
. 
Through meditation
I program my heart to beat breakbeats and hum basslines on exhalation
(Release)x3

The heaven-sent benevolent medicine man reverend
Peddling deliverance that resemble amphetamines to
The residents in the meadow of pestilence
Who developed a chemical dependence on pessimism, now
Is he is, or is he ain't
The most distinctive speaker seeping through your sleepy speakers
Yes he is, oh, yes indeed
So distinguished, so close some people think he's half 
Ain't no secret, people, trust me
It's mostly hustling
That moves me upstream
But just focus on the unseen
Boasting and fussing
They both so unproductive
Suppose it go in my blood stream
Let me pose this question
Ask anybody, that's anybody
They'll tell you that the antibody to the petty
Potty mouth gossiping is
Success at something
To be the best at something
And not to stress the dumb shit
Cause you ain't missing nothing
You got to

Motivate, accelerate, never wait, know your weight, throw away hate
Grow and make weight of your older days
Elevate, concentrate, get your focus straight, aim, orchestrate fate
Just motivate, accelerate, never wait, show the way, no escape
Take hold and shift shape, live a longer day
Elevate, concentrate, get your focus straight, aim, orchestrate fate
Astrologists, colleges follow this through the metropolis
The dominant brown bomber, I'm in it, being prominent
Walking it mean, talking it, clean the scene, stalking it
Volcanic, got ya'll panicking, false canyon
And allways all day
Outlandish bandits be slandering what we mastering
Cause they can't catch us
They all pray for our downfall
Maybe one day, sike!
You never get no balance if you're crooked so play right, snake
I'm mongoosing on you, stormtrooping through your form
 bar none
Oncoming, onslaught, on one
Chopping you, I'll tomahawk, trauma hawk
Long running champ and rocking shit 'till I'm gone
You're a Tom Thumb
 and I'm 
King Kong Bundy
Strong thunder, all summer long, keep on coming
Dawn, dusk, night, morning
I'll bust tight poems
Raw, just mic zoning ya'll
With the right mode of motivation
Motivate, accelerate, never wait, know your weight, throw away hate
Grow and make weight of your older days
Elevate, concentrate, get your focus straight, aim, orchestrate faith
Just motivate, accelerate, never wait, show the way, no escape
Take hold and shift shape, live a longer day
Elevate, concentrate, get your focus straight, aim, orchestrate faith",https://genius.com/Blackalicious-release-lyrics
Deception,A2G EP,1999.0,"Don't let money change ya!
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah

This is a story of a kid, his name is Cisko (Cisko)
Who made more money than the Count of Montecristo (Crisco)
He lived a lavish style of life, fast money, women, cars
And he liked to frequent bars, pubs, and discos (discos)
Made his living as a world famous rap star (rap star)
When he first started: mic, respects what he was after (after)
And so he got inside his mind, day and night, and he'd write
Constantly, his art and craft he'd try to master (master)
Started winning local battles and his rep grew (rep grew)
Gave his crew a reputation as the best crew (best crew)
And what life would do to him, all the cards that was hard
Pen and pad, stress relief would be his refuge (refuge)
Paid his dues, doing shows, now he's on track (on track)
In the lab, pumping demos, making songs fat (songs fat)
Then he quit his nine to five, finally his time arrived
When he signed a major label record contract

Don't let money change ya!
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah

His first single was an overnight success hit (success hit)
And now he went from wearing rags to the best fits (best fits)
All his new acquaintances, gassed his head, taking it
To the point where he lost proper perspective ('spective)
Started cutting off the people he came up with (up with)
Ego blown like his soul had been abducted (abducted)
Though his heart was once real, now material has filled
Up his world, and he couldn't get enough of it (get enough of it)
Used to wanna be the best of the rap dons (rap dons)
Now his only one concern is going platinum (platinum)
And his skills has since decreased, and the inner hunger ceased
Now content, just as long as fame and cash come (cash come)
He's a Big Willie now, rapping 'bout cars
Thousand dollar shopping sprees, hanging out with stars (out with stars)
I mean just a year ago he was broke, bumming money
Drinking out the 40 bottle, living outdoors

Don't let money change ya!
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Don't let money change ya!
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Don't let money change ya!
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah

Second LP, my rap changes fast (changes fast)
Here today, gone tomorrow, now his label has (label has)
Found the new poster boy with the hip now sound
Second time around everything isn't stable as (stable as)
It once was, now he's looking for the same hit (same hit)
But his sound is played, he forget to change with (change with)
The moving times, no one feeling him, his rhymes ain't appealing
Anymore, and his records ain't selling shit (ain't selling shit)
Now he's dropped from his label, and he's going broke (going broke)
Tried the underground return, ghetto pass revoked (pass revoked)
And the same faces that he dissed, on his way to the top
Laughed as they watched him do the downstroke (downstroke)
Now the moral of the story is that some go (some go)
Why would money make the inner vision crumble? (crumble)
So if you're blessed with the talent utilize it to the fullest
Be true to yourself and stay humble

Don't let money change ya!
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Don't let money change ya!
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Don't let money change ya!
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah
Don't let money change ya!
Laaaaah, di-dah, da-da-dee-dah
Lah-di-dah, da-da-dee-dah",https://genius.com/Blackalicious-deception-lyrics
Paragraph President,Blazing Arrow,2002.0,"Paragraph paralyzer rhythmic aristocrat
Mister rap it's the Gift of Gab about to twist your caps
Swift the fist so fast fury worry hit the switch ya ass
Its 'n bits 'n fragments so midget quit this diss ya ass
Sit ya ass down while I rip the tracks and spit the facts
Hit the grass--green, brown, or purple I'm the diplomat
Rip your raps, really you don't get the math
Just a half-breed phony rhymer, I was meant to rap into that
Fire breathing, rhyme heathen, kidnap your mental black
Hijack your fly dap or con head your intellect
Mind state, arrow blast, center crack, mind gaps
Blind from their eyes back, send ya back crying act up
A pencil pad, my utensil grab thine attention
Get hit so bad with jiu-jitsu stabs I avenge you
And if you rap I'ma send you back rappin' in a tavern
If you mad kid it's just too bad
Tell 'em it's the

Paragraph president
(And it's official you can hear the cheer coming up)
Paragraph president
(I want to thank you all for attending my inaugural ball)
Paragraph president
(As a special treat this evening
I have asked America's foremost young poet to read his latest poem for us)

Hit you with the funk it's like, ""who cut the provolone?""
Government officials put taps on my mobile phones
Nations overthrown hold my own on my zone
Prone to leave your dome blown poem after poem, homes
Jones for the tones roam with me turn your motor on
Overall this war just got it goin' on
Overgrown child never growin' old sowin' oats pokin' notes
Till the never nose ho overdose
On my flows those flows goes deep
Hold your nose bros knows foes yo don't sleep
Slow your roll, show my soul, total hold
Domination don't ya know
I'm the comet like Muhammad with the verbal rope-a-dope
It's the

Paragraph president
He's been sweeping the nation with a hard hitting campaign
Paragraph president
As a politician he regards himself as a national harmonizer
Paragraph president
And so mister president we urge you to do something about the deplorable
State of our nation
I pledge allegiance to the pen and the pad
And the mic and plates of America
And to the republic, kiss my ass
Thugs fakin, actin' hard to get this killer beef
That was given to me
I must bust it for all

Leave your city burnin' like Gomorrah
Stamina, blaze up your space, plus I got it on camera
And I'm a animal, animator landin' a
Blow cleaning clocks nothing left for the janitor
Punching through your granite a goodwill ambassador
From another planet I could kill and smash ya up
And it won't stop and I can't stop - better-er
Can erupt and it does had enough amateur?
A rammin' ya feel the goats horns slammin' ya
Ham it up every single time that I stand in a
Crowd of emcees backin' up when I'm actin' up
On a frenzy after ya yellin' ""that's enough!""
And it tempts me, that it does, and I'm glad it does
When I flip see spatula style's stackin' up
Many big threes rappers on never catchin' up
Passin' up, ride passenger, is it black enough?
Spectacular! Now ya know who's attackin' ya
Crackin' up mashin' top mind capturer
I'm the
Paragraph president",https://genius.com/Blackalicious-paragraph-president-lyrics
Blazing Arrow,Blazing Arrow,2002.0,"Amazing phase your days your hazy ways my Blazing Arrow
The rays that range from Asia way to Rio De Janeiro
A craze you crave? But work today's the day that in a major way
I'll make you say oh look he saved the day and also paved the way (hooray!)
Rocking my crew like razor blades today and days away from now okay, okay
I'm like a laser ray keeping the stage ablaze
And dangerous ways rapping the 
phrase that pays
All things just ain't a phase but ageless ways a cagey great displays
Yo hey, this ain't a game, so stays awake
Cause if you came to play you'll all behave insane
After we change the game it won't remain the same
(I'll fade away!) So make your disc and play this tape in your Camaro
Amazing phase your days your hazy ways my Blazing Arrow

Me and my arrow
Straighter than narrow
Me and my arrow
Taking the high road
Me and my arrow
Straighter than narrow
Me and my arrow
Taking the high road

The verbal dart, I throw a murder all my foe and kill 'em
But learning all and so I'm growing while I'm learning with 'em
Inferno, I'll explode returning out the globe about to blow
Now get up out your seat, head on out the zones that I patrol
Rock and roll might tear you out the soul like blunts and alcohol
I knock your whole toboggan for a loop and now the doubt will flow
I'm not the pro you wanna knock cause on the real I got the glow
Cosmic flows as I suppose that's how its supposed to be
And got to go! How'd ya know? Intuition
I was on the old safe surface
Figure out your purpose? That's impossible!
But logic will disturb the thought or focus what it's not is all about
The grow about the kind of onus only God can know
I rock it for the chocolate, for the awkward, for the thoughtless
In your home or at your office
I'm your early morning coffee sip, who got the ball?
We roll with Navajos with double barrels
Amazing phase your days your hazy ways my Blazing Arrow

Me and my arrow
Straighter than narrow
Me and my arrow
Taking the high road
Me and my arrow
Straighter than narrow
Me and my arrow
Taking the high road

And you don't stop",https://genius.com/Blackalicious-blazing-arrow-lyrics
A to G (A2G),A2G EP,1999.0,"--We're going to learn to hear words with vowel ""A"" sound, listen with care

I be the analog arsonist, aimin' at your arteries
All-seeing abstract, analyze everything
Adding on, absolutely abolishing
Average amateur's arsenal just astonishing
--Next, we'll learn words that begin with letter ""B""
I be the big, bad body rockin' Bombay to boulevard bully back
Better bring a bomb to the battlefield
Bloody black beats bringing bottoms that boom
Basically build barriers bewilder buffoons
--Listen now to words that begin with letter ""C""
Crazy character, constantly creating concontions
Catalyst, a cannabalistic rhymes conqueror
Correctly connecting craniums, crumble down
Consistent capacity
--Next we'll hear words that start with letter ""D""
Done did that done did this diddle don
Domination don't dignify diction
Doin' it deep down dialect
During doomsday duck devastate during the duration
--Listen to our song for vowel ""E""
Extraterrestrial, electrical, effortless
Eons of energy, everyone affected
Efficiently epitomize excellent
Extravagant elevate where the essence is
--""F"" is the letter with which these words begin
Blackalicious got funk for the future filling up fiends finally
Fabulous, furious, fatness, follow me
Fakers fall frequently, fact
Verbal felon fired up federally foundation fadin' all of this wack shit
--You will listen carefully again to words with sounds for letter ""G""
*scratches*
I be the Gift of Gab
The- the- the- the- the man with the given gift of gab
Man with the gift of gab
I possess the gift of gab
Gi- gi- gi- gift of gab, gab
I use my gift of gab to boast and brag in every rhyme I
Got the gift of gab
When I shoot the gift, I shoot
The gift of gab like a harpoon
On the serious tip, I'm equipped with a gift
The gift of gab, it don't waiver
Yo, man you gotta
Grab- grab- grab- grab the mic and show you got the gift of gab
--These are the letters B, C, D, and F, and then comes the letter G",https://genius.com/Blackalicious-a-to-g-a2g-lyrics
Sports Alphabet,UnKnown,2015.0,"A Bleacher Report Remix

Now, it's time for our wrap up
Let's give it everything we've got
Ready?
Begin

Alley-alley-alley-alley-oop on amateurs
Air above all and any actors that’s average
Big barbarian basically beasting
Biters get blown up being brave, beatings
Casually, I chef cash cheddar, fools get
Casualties and caught off guard with chin music
Dirty when I drop dimes damaging the dang earth
Devastate the defense detonate danger
Entertainer entertaining everyone and every mass
Enemies is envious ain’t even peep the elbow pass
Fire en fuego flick of the wrist foes in
Fear of the fury left flattened and frozen
Gloves off for the glass jaw by the goons
G.O.A.T of all G.O.A.T.S gone giddy gettin’ through
Human joystick, heating up, heat check BLAM
Hit ‘em hard, hella hyped, hero going H.A.M
I’m isolated on islands it’s over, it’s over
Ice in your veins getting colder
Juke jock jerk to those who aren’t worthy
Jamming through my journey in a jet black jersey
King Kong of K.O.s kid kiss the ring
Knuckle up now with the knuckle buck king
Lemme live a long life leading with my laces out
Right now losers look up cause it’s lights out
My moves marvelous, money shot, massive
Main event, moon-shot, MVP, master
Nails in the coffin knots in their knees, triumph
Nutmeg through their knees nothing but nylon
Opposition oft on the ropes in the octagon
One-two, punched out, lights going off and on
Pillow picked passes of prolific poetry
Power plays, pickpocketing petty phonies
Quest for the cup, it’s quantum y’all, quote me
Quiet all quitters feeling qualms when we’re quarreling
Raw ringside riots relish and remain
Rallying, rough rated rhymes make it rain
Swishin’ on simple soft suckers spitting swag
Slice dice shimmy nothing-but-net, splash
Turnt up, taking out timid minds. Twister
Leave ‘em turnt out, they are truck stick victims
Unstoppable ups, stay uninvolved
Unanimous, universal, year of the underdog
Vicious and vital, victories calling
Volley y’all out victorious velocity
Bob and weave well, wide receiving words woven
Moonwalk when I whip, get the world open
X-celling, X-treme, X-tra X-plosive
X-hilarating X-out competition so quick
Yolo pass rhymes, y’all young bucks fall
Yoga stretch rhymes yelling yiggy yes y’alls
Zero zero zero on the clock, game’s over
Zoomin to the zenith, zero out, in my zone, ZONING!!

Ha ha ha ha
Good
Can you say it faster?",https://genius.com/Blackalicious-sports-alphabet-lyrics
The Blowup,Imani Vol. 1,2015.0,"Girl I'm a wizard
Write rhymes that bring forth
Whirlwinds and blizzards
Start early and end it
I'm barely beginning
Emcee warfare I'm buried in the trenches
Y'all lynching all y'all fall captured in the abyss
Deep inside, peeping eat them like I was Brotha Lynch
Revolutionary rhyme style make the government paranoid
Of hidden metaphors wonder what I meant
Cut a vent trough your mental  thoughts
If you ain't about this lyricism homie kick rocks
 thought patterns. Y'all get ready for the liftoff
 touring kicking deadly predicates  sick vibe
Step into your village, set it off with this style
Now you eating humble pie instead of talking shit now
Set it off and give hell, better run and get out
Rappers that attempted me need medical assist now
Get up on it nigga, rollin' so official
Never let up on it, I'mma flow and blow and just flow
Rollin over that flow, rollin over this flow
Pressure cooker tension overloading
It's the big Blow Up!

Everybody make way it's the blowup
Everybody check it out it's the blowup
One time for your mind it's the blowup
Party people in the house it's the blowup
Everybody check it out it's the blowup
Make way make room it's the blowup
Everybody everybody it's the blowup
Check it out ya'll it's the blowup

I blow the hinges off the door
And make the roof crumble
And if suckers want to rumble then I'll take it to them
Ain't nothing they can think or say and nothing they can do
Blinder than Ray Charles with rhymes of fury I'ma make it do
What it do, sucker free, spot a fraud and shake a fool
Bring your lady to the battle with your boy I'll take her too
Take her to my crib and make a plate of food
Pimping while she venting to me what she really think of you
Every time you catch up with my rapping style I'll make up new patterns
Breaking atoms, while I'm spazzing as I take your crew out
Peasant kiss my pinky ring I am a king to you
Good and thorough putting words together like I'm Langston Hughes
I punish rappers with the things I do, spanking fools
 a sound let's go and hold it down just like an anchor do
Don of lyricism how I rank and rule
Bringing fools to a higher level up without all of the dank and brew
They do what they be doing think I make a new style a day my lyrics stretch a mile a day
Hey but who's counting on who got the flow and rhyming insurmountable
The pressure cooker tension's elevating its about to blow up

Everybody make way it's the blowup
Everybody check it out it's the blowup
One time for your mind it's the blowup
Party people in the house it's the blowup
Everybody check it out it's the blowup
Make way make room it's the blowup
Everybody everybody it's the blowup
Check it out ya'll it's the blowup",https://genius.com/Blackalicious-the-blowup-lyrics
