title,album,year,lyrics,urls
The Bridge Is Over,Criminal Minded,1987.0,"I say, the bridge is over, the bridge is over, biddy-bye-bye!
The bridge is over, the bridge is over, hey, hey!
The bridge is over, the bridge is over, biddy-bye-bye!
The bridge is over, the bridge is over

You see me coming in de dance with the spliff of sensei
Down with the sound called BDP
If you want to join the crew, well you must see me
You can't sound like Shan or the one Marley
Because Shan and Marley Marl dem a rhyming like they gay
Picking up the mic, man, dem don't know what to say
Saying Hip Hop started out in Queensbridge
Saying lies like that, man, you know dem can't live
So I tell them again, me come to tell them again, gwan!
Tell them again, me come to tell them again!
Tell them again, me come to tell them again, gwan!
Tell them again, me come to tell them
Manhattan keeps on making it, Brooklyn keeps on taking it
Bronx keeps creating it, and Queens keeps on faking it

Di-di di-da, di-di-di, dida di-day, aiy!
All you sucker MCs, won't you please come out to play (Cause)
Here's an example of KRS-One (Bo!)
Here's an example of KRS-One
They wish to battle BDP but they cannot
They must be on the dick of who? DJ Scott La Rock
Cause we don't complain nor do we play the game of favors
Boogie Down Productions comes in three different flavors
Pick any dick for the flavor that you savor
Mr. Magic might wish to come and try to save ya
But instead of helping ya out he wants the same thing I gave ya
I finally figured it out, Magic mouth is used for sucking
Roxanne Shante is only good for steady fucking
MC Shan and Marley Marl is really only bluffing
Like Doug E. Fresh said, “I tell you now, you ain't nothing”
Compared to Red Alert on KISS and Boogie Down Productions
So easy now man, I me say easy now man
To KRS-One, you know dem can't understand
Me moving over there and then me moving over here
The name of this routine is called ""Live At Union Square""
Square, square, square, ooooooooooooooooooooooo
What's the matter with your MC, Marley Marl?
Don't know you know that he's out of touch
What's the matter with your DJ, MC Shan?
On the wheels of steel Marlon sucks
You'd better change what comes out your speaker
You're better off talking 'bout your wack Puma sneaker
'Cause Bronx created Hip-Hop, Queens will only get dropped
You're still telling lies to me
Everybody's talking 'bout the Juice Crew funny
But you're still telling lies to me",https://genius.com/Boogie-down-productions-the-bridge-is-over-lyrics
My Philosophy,By All Means Necessary,1988.0,"(""So, you're a philosopher?"")
(""Yes, I think very deeply."")
In about four seconds, a teacher will begin to speak

Let us begin, what, where, why or when
Will all be explained like instructions to a game
See I'm not insane, in fact I'm kind of rational
When I be asking you, ""Who is more dramatical?""
This one or that one, the white one or the black one
Pick the punk and I'll jump up to attack one
KRS-One is just the guy to lead a crew
Right up to your face and diss you
Everyone saw me on the last album cover
Holding a pistol, something far from a lover
Beside my brother, S-C-O-T-T
I just laughed 'cause no one can defeat me
This is lecture number two, ""My Philosophy""
Number one, was ""Poetry"" you know it's me
This is ""My Philosophy,"" many artists got to learn
I'm not flammable, I don't burn
So please stop burning and learn to earn respect
'Cause that's just what KR collects
See, what do you expect when you rhyme like a soft punk?
You walk down the street and get jumped
You got to have style and learn to be original
And everybody's gonna wanna diss you
Like me, we stood up for the South Bronx
And every sucker MC had a response
You think we care? I know that they are on the tip
My posse from the Bronx is thick
In real real life, we roll correctly
A lot of suckers would like to forget me
But they can't 'cause like a champ I have got a record
Of knocking out the frauds in a second
On the mic, I believe that you should get loose
I haven't come to tell you I got juice
I just produce, create, innovate on a higher level
I'll be back, but for now just sekkle!

In about four seconds, a teacher will begin to speak

I'll play the nine and you play the target
You all know my name so I guess I'll just start it
Or should I say start this, teaching I'm the artist
Styles and new concepts at their hardest
Yo, 'cause I'm a teacher and Scott is a scholar
It ain't about money cause we all make dollars
That's why I walk with my head up
When I hear wack rhymes I get fed up
Rap is like a set-up, a lot of games
A lot of suckers with colorful names
I'm so-and-so, I'm this, I'm that
Huh, but they all just wick-wick-wack
I'm not white or red or black, I'm brown
From the Boogie Down
Productions, of course, our music be thumping
Others say they're bad, but they're bugging
Let me show you something now about Hip Hop
About D-Nice, Melodie, and Scott La Rock
I'll get a pen, a pencil, a marker
Mainly, what I write is for the average New Yorker
Some MCs be talking and talking
Trying to show how Black people are walking
But I don't walk this way to portray
Or reinforce stereotypes of today
Like all my brothers eat chicken and watermelon
Talk broken English and drug selling
See, I'm telling and teaching pure facts
The way some act in rap is kind of wack
And it lacks creativity and intelligence
But they don't care 'cause their company's selling it
It's my philosophy on the industry
Don't bother dissing me or even wishing we'd
Soften, dilute or commercialize all the lyrics
'Cause it's about time one of y'all hear it
And hear it first-hand from an intelligent brown man
A vegetarian, no goat or ham
Or chicken or turkey or hamburger
'Cause to me that's suicide, self-murder
Let us get back to what we call hip-hop
And what it meant to DJ Scott La Rock

(""So, you're a philosopher?"")
(""Yes, I think very deeply."")
In about four seconds, a teacher will begin to speak

How many MCs must get dissed
Before somebody says, ""Don't f*** with Kris!""?
This is just one style, out of many
Like a piggy bank, this is one penny
My brother's name is Kenny, that's Kenny Parker
My other brother I.C.U. is much darker
Boogie Down Productions is made up of teachers
The lecture is conducted from the mic into the speaker
Who gets weaker: the king or the teacher?
It's not about a salary, it's all about reality
Teachers teach and do the world good
Kings just rule and most are never understood
If you were to rule or govern a certain industry
All inside this room right now would be in misery
No one would get along nor sing a song
'Cause everyone'd be singing for the king, am I wrong?
I say yo, what's up? It's me again
Scott La Rock, KRS, BDP again
Many people had the nerve to think we would end the trend
With 
Criminal Minded
, an album which is only ten
Funky, funky, funky, funky, funky hit records
No more than four minutes and some seconds
The competition checks and checks and keeps checking
They take the album, take it home and start sweating
Why? Well, it's simple, to them, it's kind of vital
To take KRS-One's title
To them, I'm like an idol, some type of entity
In everybody's rhyme, they wanna mention me?
Or rather mention us, me and Scott La Rock
But they can get bust, get robbed, get dropped
I don't play around, nor do I eff around
And you can tell by the bodies that are left around
When some clown jumps up to get beat down
Broken down to his very last compound
See how it sound, a little un-rational
A lot of MCs like to use the word ""dramatical""

Fresh for '88, you suckers",https://genius.com/Boogie-down-productions-my-philosophy-lyrics
South Bronx,Criminal Minded,1987.0,"Yo what's up Blastmaster KRS-One, this jam is kicking
Word, yo what up D-Nice?
(Yo what's up Scott La Rock?)
Yo man we chilling just funky fresh jam
I want to tell you a little something about us
We're the Boogie Down Productions crew
And due to the fact that no-one else out there knew what time it was
We have to tell you a little story about where we we come from

South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx

Many people tell me this style is terrific
It is kinda different but let's get specific
KRS-One specialize in music
I'll only use this type of style when I choose it
Party people in the place to be, KRS-One attacks
You got dropped off MCA 'cause the rhymes you wrote was wack
So you think that hip-hop had its start out in Queensbridge
If you pop that junk up in the Bronx you might not live
'Cause you're in

South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx

I came with Scott La Rock to express one thing
I am a teacher and others are kings
If that's the title they earn, well it's well deserved, but
Without a crown, see, I still burn
You settle for a pebble not a stone like a rebel
KRS-One is the holder of a boulder
Money folder
You want a fresh style let me show ya
Now way back in the days when Hip-Hop began
With Coke LaRock, Kool Herc and then Bam
B-boys ran to the latest jam
But when it got shot up they went home and said, ""Damn!""
There's got to be a better way to hear our music every day
B-boys getting blown away but coming outside anyway
They tried again outside in Cedar Park
Power from a street light made the place dark
But yo, they didn't care, they turned it out
I know a few understand what I'm talking about
Remember Bronx River, rolling thick
With Kool DJ Red Alert and Chuck Chillout on the mix
When Afrika Islam was rocking the jams
And on the other side of town was a kid named Flash
Patterson and Millbrook projects
Casanova all over, ya couldn't stop it
The Nine Lives Crew, the Cypress Boys
The real Rock Steady taking out these toys
As odd as it looked, as wild as it seem
I didn't hear a peep from a place called Queens
It was '76 to 1980
The dreads in Brooklyn was crazy
You couldn't bring out your set with no Hip-Hop
Because the pistols would go *shots*
So why don't you wise up, show all the people
In the place that you are wack
Instead of tryna take out LL
You need to take your homeboys off the crack
'Cause if you don't, well then
Their nerves will become shot
And that would leave the job up to my own Scott La Rock
And he's from

South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx
South Bronx, the South South Bronx

The human TR-808, D-Nice
The poet, the Blastmaster KRS-ONE
The Grand Incredible DJ Scott La Rock
Boogie... Down... Productions
Fresh for '86, you suckers!",https://genius.com/Boogie-down-productions-south-bronx-lyrics
9mm Goes Bang,Criminal Minded,1987.0,"La la-la la-la la-la la...la...la...la
La la-la la-la la-la la..la..la...la...la
Buck! Buck!

Wa da da dang
Wa da da da dang (Ay!)
Listen to my 9 millimeter go bang!
Wa da da dang
Wa da da da dang (Ay!)
This is KRS-One...

Me knew a crack dealer by the name of Peter
Had to buck him down with my 9 millimeter
He said I had his girl, I said ""Now what are you? Stupid?""
But he tried to play me out and KRS-One knew it
He reached for his pistol but it was just a waste
Cos my 9 millimeter was up against his face
He pulled his pistol anyway and I filled him full of lead
But just before he fell to the ground this is what I said...

Wa da da dang
Wa da da da dang (Ay!)
Listen to my 9 millimeter go bang!
Wa da da dang
Wa da da da dang (Ay!)
This is KRS-One...

Seven days later I was chillin in the herb gate
But seven days too much when the gossip has to circulate
Puffin sensimilla I heard ""knock knock knock""
But the way that they knocked it did not sound like any cop
And if it were a customer they'd ask me for a nick
So suddenly I realized it had to be a trick
I dropped down to the floor and they did not waste no time
They shot right through the door so I had to go for mine
They pumped and shot again but the suckas kept on missin
Cos I was on the floor by now, I crawled into the kitchen
Thirty seconds later, boy, they bust the door down
The money and the sensemi' was lyin all around
But just as they put their pistols down to take a cut
Me jumped out the kitchen, went ""buck! buck! buck!""
They fall down to the floor but one was still alive
So I put my 9 millimeter right between his eyes
Looked at his partner and both of them were dead
So just before he joined his potnah this is what I said...


I gathered all the money and I ran up the block
I said ""This is a perfect time to meet with Scott LaRock""
But Scott is either psychic or he has a knack for trouble
Cos Scott LaRock showed up in a all-black BMW
I jumped inside the car and we screeched off in a hurry
And Scott said ""What is wrong? Relax, tell me the story""
I said ""You remember Peter? Well his posse tried to kill me
I'm all right now because the sensemi' fill me""
Scott just laughed, he said ""I know they're all dead
And just before you pulled the trigger this is what you said...""",https://genius.com/Boogie-down-productions-9mm-goes-bang-lyrics
Criminal Minded,Criminal Minded,1987.0,"Boogie Down Productions will always get paid
We'll take the wackest song and make it better
Remember to let us into your skin
'Cause then you'll begin, to master
Rhymin' rhymin' rhymin'

Criminal minded, you've been blinded
Looking for a style like mine you can't find it
They are the audience, I am the lyricist
Sometimes the suckers on the side gotta hear this
Page, a rage, and I'm not in a cage
Free as a bird to fly up out on stage
Ain't here for no fronting just to say a little something
You suckers don't like me 'cause you're all about nothing
However, I'm really fascinating to the letter
My all-around performance gets better and better
My English grammar comes down like a hammer
You need a style, I need to pull your file
I don't beg favors, you're kissing other people's 
I write and produce myself just as fast
Keep my hair like this, got no time for Jheri curls
Attracting only women, got no time for little girls

'Cause girls look so good but their brain is not ready
I don't know
I'd rather talk to a woman cause her mind is so steady
So here we go

I'm not a musical maniac or b-boy fanatic
I simply made use of what was upstairs in the attic
I've listened to these MC's back when I was a kid
But I bust more shots than they ever did
I mean this is not the best of KRS, it's just a section
But how many times must I point you in the right direction
You need protection when I'm on the mic
Because my mouth is like a 9 millimeter windpipe
You're a king, I'm a teacher
You're a b-boy,
 I'm a scholar
If this was a class, well it would go right under drama
See 
kings lose crowns
 but teachers stay intelligent
Talking big words on the mic but still irrelevant
Especially when you're not college material
Wake up every morning to your Lucky Charms cereal
DJ Scott La Rock has a college degree
Blastmaster KRS writes poetry
I won't go deeper in the subject cause that gets me bored
It's a shame to know some MC's on the mic are fraud
Saying styles like this to create a diss
But if you listen, who you dissing?
I am a musician
Rapping on the mic like this to me is fine
'Cause if I really want to battle I will put out a nine
You can see that Scott La Rock and I are mentally binded
In other words we're both Criminal Minded

We're not promoting violence, we're just having some fun
He's Scott La Rock,
 
I'm KRS-One
Never off-beat cause it don't make sense
Grab the microphone, relaxed and not tense
You waited, debated, and now you activated
A musical genius that could not be duplicated
See I have the formula for rocking the house
If you cannot rock a party do not open your mouth
It's that simple, no phony cosmetics for your pimple
Take another look because the gear is not wrinkled
The K, the R, the S, the O, the N, the E
Say a rhyme for 87 not no 1983
Well versed, to rehearse, in my rhymes I might curse
Originality is first but the suckers get worse
Allow me to include I have a very stable mood
Poetic education of a high altitude
I'm not an MC,
 so listen, call me poet or musician
A genius when it comes to making music with ambition
I'm cool, collected with the rhyme I directed
Don't wanna be elected as the king of a record
Just respected by others as the man with the solution
An artist of the 80's came and left his contribution
On wax, relax, there's 24 tracks
After years of rocking parties now I picked up the knack
Because everything that flows from out my larynx
Takes years of experience and 
bottles of Beck's
I cannot seem to recollect the time I didn't have sex
Is it real or is it Memorex?
I'm living in a city known as New York State
Sucker MC's gotta wait while I translate
I hang with real live dreads with knowledge in their heads
People with ambition and straight up musicians
Although our lives have been so uprooted
I haven't included, you can all get zooted
So take each letter of the KRS-One
Means Knowledge Reigns Supreme Over Nearly Everyone
You look at me and laugh, but this is your class
It's an all-out discussion of the suckers I be crushing
So now you are awakened to the music I be making
Never duplicated, 
and also highly cultivated
Don't get frustrated cause nothing has been traded
Only activated, it came out very complicated
Not separated, from my DJ
You see my voice is now faded
I'll see you folks around the way
Criminal minded (Repeat x4)",https://genius.com/Boogie-down-productions-criminal-minded-lyrics
You Must Learn,Ghetto Music: The Blueprint of Hip Hop,1989.0,"Just like I told you, you must learn

It's calm yet wild the style that I speak
Just filled with facts and you will never get weak in the heart
In fact you'll start to illuminate, knowledge to others in a song
Let me demonstrate the force of knowledge
Knowledge reigned supreme
The ignorant is ripped to smithereens
What do you mean when you say I'm rebellious
Cause I don't accept everything that you're telling us
What are you selling us the creator dwellin' us
I sit in your unknown class while you're failing' us
I failed your class cause I ain't with your reasoning
You're tryin' make me you by seasoning
Up my mind with see Jane run, see John walk in a hardcore New York
Come on now, that's like a chocolate cow
It doesn't exist no way, no how
It seems to me that in a school that's ebony
African history should be pumped up steadily, but it's not
And this has got to stop, See Spot run, run get Spot
Insulting to a Black mentality, a Black way of life
Or a jet Black family, so I include with one concern, that
You must learn


I believe that if you're teaching history
Filled with straight up facts no mystery
Teach the student what needs to be taught
Cause Black and White kids both take shorts
When one doesn't know about the other ones' culture
Ignorance swoops down like a vulture
Cause you don't know that you ain't just a janitor
No one told you about Benjamin Banneker
A brilliant Black man that invented the almanac
Can't you see where KRS is coming at
With Eli Whitney, Haile Selassie
Granville Woods made the walkie-talkie
Lewis Latimer improved on Edison
Charles Drew did a lot for medicine
Garrett Morgan made the traffic lights
Harriet Tubman freed the slaves at night
Madam C.J. Walker made the straightening comb;
But you won't know this if you weren't shown
The point I'm gettin' at it it might be harsh
Cause we're just walkin' around brainwashed
So what I'm sayin' is not to diss a man
We need the 89 school system
One that caters to a Black return because
You must learn


""Alkebulan"" is the original name
Of Africa, now stripped of it's fame
It's good to know that in ancient times
Egyptians developed all sciences of the mind
To the point where they ruled the planet
But Rome, Greece, and Persia wasn't havin' it
They attacked, and won the war
But it wasn't enough, they had to get to the core
Cause in that time it was Alkebulan
That ruled religion, politics, and man
In order to destroy the Egyptian race
They had to wipe the sciences from off the face of the planet
So they proceeded to ban it
Then replace it with Christianity
And it's, been that way, all the way to today
Learn what we teach; hear what we say
But here comes the K-the-R-the-S-the-O-the-N-the-E
The BDP and we rhyme intelligently
Let me continue with Theodosius
A Greek ruler not known to most of us
He, in the fourth century A.D.,
Closed the Egyptian schools you see
Two years later, Justinian rules
Six A.D., was it for schools
As a result, ignorance had swirled
Over Christian Europe and Greco-Roman worlds
This went on for a thousand years
Of ignorance, stupidity, and tears
Now comes the seventeenth century hardness
Europe, began to come out of it's darkness
So Johann F. Blumenbach, a German
Came out of nowhere and started confirming
White supremacy and men of colors
Before this time, all men were brothers
It was Johann, who went on to say
There are five different colors in the world today
That's caucasian, malayan, and mongolian
American-Indian, and ethiopian
Yet, the ignorance gets scarier
He believed whites were superior
According to his idiotic fountain
The purest whites were from the Caucas mountains
J. A. Blofener, and H. S. Chamberlain
Both supported this outrageous racism
This went on to what the master race should be
And why they killed the Jews in Germany
Here is the reason why I'm so concerned
Because you, must, learn!!!!",https://genius.com/Boogie-down-productions-you-must-learn-lyrics
Love’s Gonna Get’cha (Material Love),Edutainment,1990.0,"You know, that's why, man, I've been telling you all the time, and you know, love, that word 'love' is a very serious thing, and if you don't watch out, I tell you that
(Love's gonna get you, love's gonna get you, love's gonna get you)
Because a lot of people out here, they say, ""I love my car"" or ""I love my chain"", or, or, ""I'm just in love with that girl over there"", so for all the people out there that fall in love with a material item, we're gonna pump the beat a little something like this:

I'm in junior high with a B plus grade
At the end of the day I don't hit the arcade
I walk from school to my mom's apartment
I got to tell the suckas everyday ""Don't start it!""
'Cause where I'm at if you're soft you're lost
To stay on course means to roll with force
A boy named Rob, is chillin' in a Benz
In front of my building with the rest of his friends
I give him a pound, oh I mean I shake his hand
He's the neighborhood drug dealer, my man
I go upstair and hug my mother
Kiss my sister, and punch my brother
I sit down on my bed, to watch some TV
*machine gun fire* Do my ears deceive me?
Nope, that's the fourth time this week
Another fast brother shot dead in the street
The very next day while I'm off to class
My moms goes to work cold bustin' her ass
My sister's cute but she got no gear
I got three pairs of pants and with my brother I share
See there in school, see I'm made a fool
With one and a half pair of pants you ain't cool
But there's no dollars for nothing else
I got beans, rice, and bread on my shelf
Everyday I see my mother strugglin'
Now it's time, I've got to do something
I look for work I get dissed like a jerk
I do odd jobs and come home like a slob
So here comes Rob, his gold is shimmery
He gives me two hundred for a quick delivery
I do it once, I do it twice
Now there's steak with the beans and rice
My mother's nervous but she knows the deal
My sister's gear now has sex appeal
My brother's my partner and we're gettin' paper
Three months later we run our own caper
My family's happy everything is new
Now tell me what the fuck am I supposed to do?

That's why, (love's gonna get you)
(love's gonna get you)(love's gonna get you)(love's gonna get you)
You fall in love with your chain
You fall in love with your car
Love is gonna sneak right up and snuff you from behind
So I want you to check the story out, as we go down the line
(love's gonna get you)(love's gonna get you)(love's gonna get you)
(Let us move on)

Money's flowin', everythin' is fine
Got myself an Uzi and my brother a nine
Business is boomin' everything is cool
I pull about a G a week; fuck school!
A year goes by and I begin to grow
Not in height but juice and cash flow
I kick up my feet and begin to watch TV
'Cause now I got other people workin' for me
I got a 55 inch television, you know
And every once in awhile I hear ""Just Say No""
Or, the other commercial I love
Is when they say, ""This is your brain on drugs""
I pick up my remote control and just turn
'Cause with that bullshit I'm not concerned
See me and my brother jump in the BM
Drivin' around our territory again
I stop at the light like a superstar
And automatic weapons cold sprayed my car
I hit the accelerator scared as shit
And drove one block to find my brother was hit
He wasn't dead but the blood was pourin'
And all I could think about was war and
Later I found that it was Rob and his crew
Now tell me what the fuck am I supposed to do?

You know, that's why, (loves gonna get you)
(loves gonna get you)(loves gonna get you)(loves gonna get you)
That word ""Love"" is very, very serious
Very addictive
(loves gonna get you)(loves gonna get you)(loves gonna get you)
(Let us move on)

My brothers out of it, but I'm still in it
On top of that I'm in it to win it
I can't believe that Rob would diss me
That faggot, that punk, he's soft a sissy
I'm drivin' around now with three of my guys
The war is on and I'm on the rise
We rolled right up to his favorite hang out
Said ""Hello"" and then the bullets rang out
Some fired back so we took cover
And all I could think about was my brother
Rob jumped up and began to run
Bustin' shots hopin' to hit someone
So I just stopped, and let off three shots
Two hit him and one hit a cop
I threw the gun down and began to shout
""Come on I got him, it's time to break out!""
But as we ran there were the boys in blue
Pointin' their guns at my four man crew
They shot down one, they shot down two
Now tell me what the fuck am I supposed to do?

Thats why, (loves gonna get you)
(loves gonna get you)(love's gonna get you)(love's gonna get you)
(loves gonna get you)(love's gonna get you)(love's gonna get you)
(Let us move on)

You know, a lot of people believe that that word ""Love"" is real soft, But when you use it in your vocabulary like you're addicted to it, It sneaks right up and takes you right out
So, for future reference, remember, it's alright to like or want a material item, But when you fall in love with it, and you start schemin' and carrying on for it, just remember:
It's gonna get you!",https://genius.com/Boogie-down-productions-loves-gonna-getcha-material-love-lyrics
Stop the Violence,By All Means Necessary,1988.0,"Worldwide!
BDP are the freshest!
Worldwide!
Worldwide!
Worldwide!

One two three, the crew is called BDP
And if you want to go to the tip top
Stop the violence in Hip Hop
, 
Y-O

Time and time again, as I pick up the pen
As my thoughts emerge, these are those words
I glance at the paper to know what's going on
Someone's doing wrong, the story goes on
Mary Lou just had a baby someone else decapitated
The drama of the world shouldn't keep us so frustrated
I look, but it doesn't coincide with my books
Social studies will not speak upon political crooks
It's just the presidents, and all the money they spent
All the things they invent, and how their house is so immaculate
They create missiles, my family's eating gristle
Then they get upset when the press blows the whistle
Phone calls are made, profiles are kept low
You tamper with some jobs, 
now the press is controlled
Not only newspapers, but every single station
You only get to hear the president is on vacation
But uh, stay calm, there's no need for alarm
You say goodbye to your mom, and you're off to Vietnam
You shoot to kill, come back and you're a veteran
But how many veterans are out there peddling?
There's no telling, cause they continue selling
As quiet as it's kept, I won't go into depth
You could talk about Nigeria, people used to laugh at ya
Now I take a look, I see USA For Africa?

Huh
What's the solution, to stop all this confusion?
Rewrite the constitution, change the drug which you're using
Rewrite the constitution or the emancipation proclamation
We fight inflation, yet the president's still on vacation
BDP posse!


This might sound a little strange to you
Well here's the reason I came to you
We gotta put our heads together, and stop the violence
Cause real bad boys move in silence
When you're in a club, you come to chill out
Not watch someone's blood just spill out
That's what these other people want to see
Another race fight endlessly
You know we're being watched, you know we're being seen
Some wish to destroy this scene called hip-hop
But I won't drop
Not I or Scott LaRock
Well here is the message that we bring today
Hip-hop will surely decay
If we as a people don't stand up and say


BDP and me
We step into the party top celebrity
Say when we come in the dance, we never have to pay a fee
Cause that's cos we got R-E-S-P-E-C-T
I have this one wife, her name is 
Miss Melody
Although I'm from the Bronx,
 
she from the Brooklyn posse
I tell ya a little of this and then I tell you some of that
Sometimes I comb my hair and sometimes I wear a hat
Sometimes I'm in a Mercedes and sometimes I'm in a plane
Sometimes I find myself upon the number two train
Some people look at me and see negativity
Some people look at me and see positivity
But when I see myself I see creativity
So if I can create, well then I make some money
Jah man just put your hands up if you're out here gettin' paid
Jah man just put your hands up if you're out here gettin' paid",https://genius.com/Boogie-down-productions-stop-the-violence-lyrics
Beef,Edutainment,1990.0,"Beef, what a relief
When will this poisonous product cease?
This is another public service announcement
You can believe it, or you can doubt it
Let us begin now with the cow
The way it gets to your plate and how
The cow doesn't grow fast enough for man
So through his greed he makes a faster plan
He has drugs to make the cow grow quicker
Through the stress the cow gets sicker
Twenty-one different drugs are pumped
Into the cow in one big lump
So just before it dies, it cries
In the slaughterhouse full of germs and flies
Off with the head, they pack it, drain it, and cart it
And there it is, in your local supermarket
Red and bloody, a corpse, neatly packed
And you wonder about heart attacks?
Come on now man let's be for real
You are what you eat is the way I feel
But, the Food and Drug Administration
Will tell you meat is the perfect combination
See cows live under fear and stress
Trying to think what's gonna happen next
Fear and stress can become a part of you
In your cells and blood, this is true
So when the cow is killed, believe it
You preserve those cells, you freeze it
Thaw it out with the blood and season it
Then you sit down and begin eatin it
In your body, it's structure becomes your structure
All the fear and stress of another
Any drug is addictive by any name
Even drugs in meat, they are the same
The FDA has America strung out
On drugs in beef no doubt
So if you think that what I say is a bunch of crock
Tell yourself you're gonna try and stop
Eatin meat and you'll see you can't compete
It's the number one drug on the street
Not crack, cause that was made for just black
But brown beef, for all American teeth
Life brings life and death brings death
Keep on eatin the dead and what's left
Absolute disease and negative
Read the book 'How to Eat to Live'
By Elijah Muhammad, it's a brown paperback
For anybody, either white or black
See how many cows must be pumped up fatter
How many rats gotta fall in the batter
How many chickens that eat shit you eat
How much high blood pressure you get from pig feet
See you'll consume, the FDA could care less
They'll sell you donkey meat and say it's
FRESH! For nineteen-ninety, you SUCKERS",https://genius.com/Boogie-down-productions-beef-lyrics
Poetry,Criminal Minded,1987.0,"Well, now you're forced to listen to the teacher and the lesson
Class is in session, so you can stop guessing
If this is a tape or a written down memo
See, I am a professional, this is not a demo
In fact, call it a lecture, a visual picture
Sort of a poetic and rhythm-like mixture
Listen, I'm not dissing, but there's something that you're missing
Maybe you should touch reality, stop wishing
For beats with plenty bass and lyrics said in haste
If this meaning doesn't manifest, put it to rest
I am a poet, you try to show it, yet blow it
It takes concentration for fresh communication
Observation, that is to see without speaking
Take off your coat, take notes, I am teaching
A class, or rather school, 'cause you need schooling
I am not a king or queen
, I'm not ruling
This is an introduction to poetry
A small dedication to those that might know of me
They might know of you and maybe your gang
But one thing's for sure, neither one of y'all can hang
'Cause, yo, I'm like a arrow, and Scott is the crossbow
Say something now... thought so
You seem to be the type that only understand
The annihilation and destruction of the next man
That's not poetry, that is insanity
It's simply fantasy, far from reality
Poetry is the language of imagination
Poetry is a form of positive creation
Difficult, isn't it? The point? You're missing it
Your face is in front of my hand so I'm dissing it

Scott La Rock is innovating, decorating hip-hop
The beat may drop but not like all the others
They just cover while I just smother
Every single stupid mother-- wait, wait, brother
KRS-One will have to show another
MC or self-proclaimed king or queen
Or gang or crew or solo or team that I mean
Business, so tell me, what is this?
See, I come from the Bronx, so just kiss this
Boogie Down Productions is somewhat an experiment
The antidote for sucker MC's and they're fearing it
It's self-explanatory, no one's writing for me
The poetry I'm rattling is really not for battling
But if you want, I will simply change the program
So when I'm done you will simply say ""Damn!""
So this conversation is somewhat hypothetical
Boogie Down Productions attempts to prove something
I say hypothetical because it's only theory
My theory, so take a minute now to hear me

So what's your problem?
It seems you want to be KRS too
From my point of view, backtrack, stop the attack
Cos KRS-One means simply one KRS
That's it, that's all, solo, single, no more, no less
I've built up my credential financially and mental
Anytime I rhyme I request the instrumental
I speak clearly and that's merely
Or should I say a mere, help to my career
I'm really not into fashion or craze
Just the one who pays and how soon I get a raise
You're probably in a daze, acting out of sympathy
Wrote a couple of rhymes and think that you can get with me
But what a pity, I'm rocking New York City
And everywhere else, you put the jams on the shelf
You as an amateur is outspoken
I'm looking at your face, you seem to be hoping
That I might stutter, stop, or just mess up
But everything's live that's why I don't dress up
""Blastmaster KRS"" a synonym for ""fresh""
I'm the teacher of the class, I do not pass no test
Got DJ Scott La Rock by my side, not in back of me
Cos we make up the Boogie Down Productions crew faculty
Get it right, or train yourself not to bite
Cos when you bite you have bitten, when I hear it, that's it
I do not contemplate a battle cause it really ain't worth it
I'd rather point a pistol at your head and try to burst it
I'm teaching poetry
I'm teaching poetry
Scott La Rock
We're teaching po-e-try",https://genius.com/Boogie-down-productions-poetry-lyrics
