title,album,year,lyrics,urls
Claimin’ I’m A Criminal,Everything Is Everything,1994,"Verse One: Lord Jamar
7 in the mornin, they kickin down my momma's door
Now tell me what is this motherfuckin drama for?
Can a nigga get rest after rest without the stress?
Then they put the Glock to my chest
Best think 'fore I twitch or I'm popped
Off to the clink with this bitch ass cop
They gotta nigga locked like the dread on my head, jack
And if I try to fight back, well then I'm dead, black
I got the right to an attorney and to stay silent
They got the right to try to burn me if I play violent
I know the game so I just roll with the procedure
Illegal search and seizure, somethin that they're doin at their leisure
Down at the station, interrogation is takin place
Overcrowded jails but for me they're makin space
Tell the devil to his face he can suck my dick
It's the whole black race that they're fuckin with
Come to find my crime was lettin brothers know the time
Only the devil is stoppin me from eatin swine
And plus my prior record sealed my fate
One For All
 and In God We Trust got me 
sent upstate
But still I won't bite my tongue
I just write tight shit to incite the young, 
to fight the one
Who keeps them on a level that's minimum
That's the number one reason
Chorus: (sample of Luther Ingram's ""I'm Tryin To Sing A Message To You"")
(*They claimin I'm a criminal*)
This time and day
Ooooh, gotta run for time
(*They claimin I'm a criminal*)
This time and day
Ooooh, gotta run for time
*repeat*
Verse Two: Sadat X
I was frustrated, I can't do no more push-ups
Niggas be swole up, locked down cos of a hold-up
""The devil made me do it"" is what I say
Got some bad news on my one phone call the other day
""I love the kids and I teach em to love their father
I'll get you some kicks and try to send some flicks
But it's over, baby, yes it's over""
Ain't much you can do when you're holdin a phone
A million inmates but ya still alone
You're not cryin but inside ya dyin
You might cry in the night when ya safe and outta sight
Damn I miss my peeps and the rides in the jeeps
And my, casual freedom, where's my crew when I need em?
A visit ain't the same like being in the game
But I'll take it, at least with that I'll make it
The beast is a bitch and I see it
I do the knowledge to em, so next time I can do em
""Yo X, I got ta lock it now but write me real soon
I know that you're a busy man, give me a minute""
You can never know the penal til you been locked the fuck up in it
Chorus:
This time and day
Ooooh, gotta run for time
This time and day
Ooooh, gotta run for time
(*They claimin I'm a criminal*)
This time and day
Ooooh, gotta run for time
(*They claimin I'm a criminal*)
This time and day
Ooooh, gotta run for time
(*They claimin I'm a criminal*) (x12)
(*They claimin I'm a criminal*)
This time and day
Ooooh, gotta run for time
*repeat to fade*",https://genius.com/Brand-nubian-claimin-im-a-criminal-lyrics
Word is Bond,Everything Is Everything,1994,"C'mon, word is bond, we got it goin' on
(C'mon, throw ya hands in the air, in the air)
Brand Nubian'll rock to the break of dawn
(In the air, in the air)
It's like that, y'all, ya don't stop
(C'mon, throw ya hands in the air, in the air)
Brand Nubian'll rock the sure shot
(In the air, in the air)

Well, let me get a piece of the track, peace to the black
Peeps on the streets with the beats in the Jeeps, comin' back
In '94 with the raw that's against the law
It's the G-O-D, my delivery is C-O-D
Word is bond and bond is life, we got it goin' on tonight
Don't nobody wanna fight, they wanna see a tight show
Where some brothers might go for broke
Utilizin' the effects of the smoke

I pull cash to smash, make the blunt last
Fill it with hash, too and pass, don't even ask
In a flash put that ass in the grass
Flag is half-mast, somebody must've passed
We're makin your ass drip into the stands
Fold my cash at last, my task to teach the class
And receive somethin' more than brass and some glass
Make a brother work hard, long and fast


Dreadlock, I set to rock for my block
Clock wax like crack, samplin' from old stacks
That's where the soul's at in this whole rap universe
We kick the funky tunes with a verse
Sun, moon and star, some boom for Jamar
To get me in the flow, now I'm read' to go
Set to show everybody in the party that we're nice
Without sippin' on Bacardi and ice

This style flash, Jamar'll be the shinin' star
No matter who you are, no matter who you are
I'll rape the tape, drive along the interstate
With weight, wipe the slate and mob the gate
And by fate, I'll avoid the court date, no legal aid
Everythin' is paid, why cause a tirade?
If the money ain't made, talkin' millions
But spendin' pennies and gettin' cheap shoes from Kenny's


Now, let's take time out to say peace to the Gods (Peace!)
Bust how I release 'cause this beat is hard
We be the squad Fard taught to rule
Take a thought to the top, now I drop the jewel

I push the Cadillac DeVille and still be real
I drive a garbage truck and not give a ...
I need to earn a buck fo' the year
I'm through with buyin' wild gear
Just somethin' I can wear, somethin' fly when I appear

Well, now we're here to take the gold and the cash for the bill fold
I told their ass to chill and they're still cold
Frozen 'cause they're not amongst the chosen one
Sun shines like a beacon, similar to how I'm speakin'

As I receive the mic for the last time, I clear up your past crime
All felonies can go, as long as you know
Brand Nubian will stand without the use of a band
We always work with a plan",https://genius.com/Brand-nubian-word-is-bond-lyrics
Hold On,Everything Is Everything,1994,"I'll keep, holding on
I'll keep, holding on!

Young black male, twenty-five years of age
Many-a-lives didn't survive to this stage
Cause the rage of another brother got him popped
Shot him and he dropped, like a beanbag
Mean motherfucker with a rag and some jeans that sag
They signify your death by crossin out your tag
Then they go and brag that they took another life
Never to think, do a brother got a mother and a wife?
Trife when a nigga do the work of the Klan
That's what you're doin when you ruin the life of a black man
Attack plan on self
The man's got the family jewels, so I guess we're buryin wealth
All because we've been taught to despise what's black
Open your eyes you oughta realize the fact
That you've been gettin used like a trick
You think you're mighty, but yo, whitey got your head sick
See you were fed thick pieces of swine as a baby
It only help to drive your mind crazy
Now your blind days be over
No more standin on line, tryin to find Jehovah
Let us rewind to a time we was right and just
Nowadays we just fight and bust
One another in the back over crack, a carjack
Will get you killed, watch the blood get spilled
To the scale, then watch how fast they build the jail
Now they got you holdin on to a cell, well...

I'll keep, holdin on
I'll keep, holdin on!!
I'll keep, holdin on
I'll keep, holdin on!!

Why it gotta be me B? I just came to chill
Came to see the flicks, nuttin more nuttin less
Try to show love even on a bad day
I roll up, I'm never hold up, the L is swoll up
The beef in the mind is definitely a winner
Oh that's that rappin nigga, I thought he was much bigger
Do you know this girl named nah B I don't know nothin
Did that name-game shit right from the go get
Shorty want an autograph, can I sign it at the end
Oh I think I'm all of that now, so now it's fuck Brand Nubian
Should I call you a bitch, or should I maintain?
I'm just here with my lady, and you came witcha man
This would force him to front, and I'm sure he don't want it
Over some old bullshit, when I'm quick to pull shit
Live dad, everything is everything
I got a lotta shit to do I can't afford to catch a charge
I'm a product of the streets, and I couldn't make no peace
All the real hard shit I know, is on the down low
Straight for real estate, on a scale I place your fate
Now I'mma let you skate, you was a little weeded
And I seen you don't need it
So hold on with your bad self...

I'll keep, holdin on
I'll keep, holdin on!!
I gotta hold on!
I'll keep, holdin on
My word is bond, I gotta be strong
I'll keep, holdin on!!
And keep holdin on, yeah
Ya see life's gettin rough but I gotta hold on
All these little suckers want me alone
Yeah, yeah, yeahhh!!
Ya see life's gettin rough but I gotta hold on
All these little suckers want me alone
Yeah, they want me alone
Yeah, yeah yeah
But I gotta hold on
Because my word is bond
And it's on and on, on and on, on and on
On ya...
I gotta hold on
Yeah yeah yeahhhh yeah yeahhh yeahhh
Ohhhhh yeahh yeahh yeah
Yeahh!
*fades*",https://genius.com/Brand-nubian-hold-on-lyrics
Gang Bang,Everything Is Everything,1994,"Well, there's mad gangs, but only one got control
Wherever they roam, from north pole to south pole
Ice cold with a vice hold on all crime
They gettin paid even if they shit is small time
All your dimes'll get took, yo watch them sling (?) them things
Cause they nothin but a gang of crooks
Things look like they'll be here for a while
Momi and Daddy better fear for they chile
Cause they style is not just makin a fast chickens (?)
They also into murder and ass kickin
Distortion and kidnappin, the kid is black
Handsome ransome they just get you your kid back
But either way they gonna make a loot
If they keep the kid he's gonna do a bit as a prostitute
Owin freak (?) for some T. A. N. G. (?)
From six  to sixty-six they count us catchin thick (?)
Shit sticks in your mind
Make a nigga wanna go out and fight crime
I write rhymes as an answer to they gang size
If they wanna jack your car you can sang mines
Gang bang Gang bang
Police ain't nothing but a gang #4
Date rapes, got the shakes since the first of the month
So you gotta play, the cheque cash close (?)
You know you gotta make up that loss
So when the cut was butt (?) and the work was dirt
A whole baggage fucked up ?), you know you're de man
You gotta head him off, if you still want the block
So he can look the other way, if he catch you with the Glock
All de cook up, he might give you the hook up (?)
So you don't get moves downtown in the tombs
New gang member, he's a rookie and his wid extortion (?)
He got a wife and his daughter wanna a pony
His man's a Columbian
And they both got they hands in the soup
And you gotta hit off your group
Niggers to be outside til like four in the mornin
Niggers with the toast so when the gang get too close
Naw a gang don't play by the rules and they up they demands
Gotta grease mo hands, gotta get mo work
Gotta get more weight, gotta stay up late
And travel out of state, hey fuck the gang fucks nothin
Niggers are bluffin, as they snatch you for the kidnap they don+t even
Show
Got fucked in the ass, so now who's the ho
Gang 88 (?), mo kinds of dicks, don't give a fuck about the brothers
As long as they get they cash, News flash
These kids is the worst, if you see 'em
Then you better hit em first
Don't shoot til you see the whites of they eyes
Hands and thighs, they might front and sell ya been pies (?)
Black man, don't trust those lies
Cause the gangs is a bunch of dicks
Gang bang Gang bang
Police ain't nothing but a gang #4
This song is dedicated to all the original gangsters out there
You know what I+m sayin NRPD, NYPD, LAPD, state troopers
And all the Pds in Queens, FBI, CIA, DEA, TNT, ATN, INS, FEMA, Interpol
National Guard
Coast Guard, Army, Navy, Airforce, Marines, Secret Service, and all the
Rest of the
Motherfuckin hogs out there rollin in the mud",https://genius.com/Brand-nubian-gang-bang-lyrics
Down For The Real,Everything Is Everything,1994,"Intro:
Y'all niggas hurry up. Go in there, buck them niggas and get the fuck out
Don't be playin, dogg playin, yahearwhutI'msayin? Kill them niggas and get
The fuck back so we can stay ballin, we'll be chillin right here
""Eh nigga, I wanna know if you're ready to do this shit? You ready to do
This shit or what, motherfucker? And don't be actin like no pussy when we
Get the fuck out, man""
""Is you down, nigga?"" ---] O-Dog

Well if you're down say you're down, if you're scared, say you scared
This is the real, don't fuck around and come unprepared
Or you might lose your life on the mean streets
Middle of the night when the motherfuckin fiends meet
Hold your grip tight yo, don't let it slip
You gotta keep your tool for the fools that wanna trip
And if they wanna trip, send em on a vacation
All expenses paid for a devil's cremation
Can't be no contemplation, cos if he busts first you're gettin burst, uhh
Layin on your back, I guess what I'm sayin, black, is that
If you ain't down then don't fuck around
""Is you down, nigga?"" Cos the shit gets thick in my town
This ain't a TV show or a song from the radio
Murder on the streets, yo, is at a high ratio
So it ain't no time for playin
You takes the 9 and I'ma be sprayin
Now what the fuck's this look in your eye? You're lookin nervous, nigga
Earlier tonight you was all ready to service, nigga
Now your trigger ain't got no itch
You're attitude switch like a motherfuckin bitch
I can see thru your expression that you're vessin
Feelin crazy pet, lookin like you wanna jet
But now the shit is obvious, you just can't deal
I gotta find another nigga down for the real, ""Is you down, nigga?""
Are you down for the real?

Real lifestyle's where niggas run wild
Day after day the product line is a mile
A nigga got his eye aimed on what's mines
I gots ta lay low cos my PO is thorough
He keep checkin every borough cos my address pad is thick
Niggas be actin wild cos they girl be on my dick
This kid downtown don't like me, he say he want me dead
He even put up cash and put a price on my head
At first I can't sweat it but my little man got hit
We had a lotta thrills but now he's buried in the catskills
Rumour has it, that bein with me's a target
My crew go less and less and I resort to wearin a vest
Ain't got no type of fans, just me and my mans
We be drawin up plans that include the use of guns
Try to stay alive so we can spare no use of funds
A month or two blows, a whole year blows
Are we still on our toes as we guzzle all the Moet?
Two drunken poets as the first shots hit
My man don't duck quick and gets hit in the chest
I just got nicked cos I had on the vest
Now I'm dashin, cars in the garage
Run past the Path'. run past the Dodge
Rumble for the keys, made it to my shit
The AK can spray now niggas is gettin hit, ""Is you down, nigga?""
Are you down for the real?
Chorus:
Are you down for the real, motherfuckers?, ""Is you down, nigga?""
Are you down for the real..............? , ""Is you down, nigga?""
Now are you down with the real ass niggas? , ""Is you down, nigga?""
Now tell me if you're down for the real? , ""Is you down, nigga?""
*repeat*
""Is you down, nigga?"" (x10)",https://genius.com/Brand-nubian-down-for-the-real-lyrics
Step Into Da Cipher,Everything Is Everything,1994,"First up it's the knots up, what's up
To the niggas from the projects
Prospect Park in Brooklyn, I'm lookin at another crime scene
Committed by the brothers on this rhyme team
Just freestylin' in a cipher, might take the life of MCs
If you're wack we got the right to seize
Ease back like Ultra,
 
know your culture
Motherfuckers don't know so they won't grow
Lord Jamar show and prove the rules I kick
Makin niggas move, no matter how smooth it get
Or how rigid, niggas still get it
I kill wicked motherfuckers with the rhymes that I structures
In my third eye, know you heard I
Study math like a mathmatician
See half of y'all wishin you could sound like the GODs from the town
Of the Rule, you ain't got the urge, bust it down Serge

You know I smoke it like the flame to the tip of that bud we just twisted
From another dimension, did I mention
That funky, that's the only way we know how to get
Niggas' rhymes be limited like a partial scholarship
But my style's so heavy it make me lean when I drop
Leave you spinnin like the washin machine before it stop
Going all out, have to seal these motherfuckers fate
On a mission from Cleveland, ridin it from outta state
So ready yourself because it's on full scale
I hooks up with Jamar to bail down to New Rochelle
Now Rule, that's where we scheme and we plot
On the late night, blunted in the basement with Sadat
And we discussin your demise, know it's gonna come
Sure as the sun's gonna rise, send me the drum
And Serge is buckin off a shot from the mental with insight
Air tight, while we're working from cradle to gravesite

I feel lick a shot pum pum, push up on the one
All bang bang and no run
Original Flatbush style, control the jam
Like BEEP Han Solo man
Yes-a, Mr.Intellect-And-Sex in the flesh
I'm rougher than the hair on your girl's chest
Maestro Manny one verse, time come in
My mic ??? stop when they go for it
You don't concern me, your style can't burn me
You's about as hardcore as Big Bird, Bert and Ernie
My steelo fat like your girlfriend, pregnant with twins
After Thanksgiving then they're eatin pork skins
I don't give a fuck about your section, just watch your 
murder
 flexin
Step correct to the brother with the dark complexion
6' 1-2 even, cocked diesel
Conceited, hair is curly, ain't no fuckin up like ???
SEE!!!!
*Interlude*

When the corrupt stuff on my mind starts to erupt
Even the hard niggas will be yellin ""That's enough""
But what about my style, ooh child, I switch em up
Rearrange em up, in other words I change em up
Snagglepuss, I make a nigga fall like the season
So exit stage left cos you ain't on my level even
You wanna battle? Here's what happened to the last kid
His wife became a widow and his kids became bastards
In the rap profession, I'm not the one for testin'
I'm the first to let'cha know I fight dirty like mud wrestling
So bring all the flunkies you roll with
So when I set it on you they can all be like ""Oh shit!""
You want more so here we go, peep how my rap flow
I'll have your ass sneaking out the backdoor
This is some trouble you don't wanna get your ass in
So watch your step and don't come out'cha mouth in the wrong fashion

Feel the wind blow through your hair
My aim is square on your backbone
You're home alone and your mom work the double shift
Just enough time for me to hit that off
""Bounce on a nigga"" said my man Wop
Peace to the squad, One-Eighth, Fo' and Teepee, check it
I'm the type of nigga that'll walk down the street
On some casual shit, even my kid could flip
Hear me on the wop tape BAM!! HIT EM
Hear me with the rhythm, yo you better go get em, check it
Anticipation, you're waiting and waiting
Peace to Courtland Ave., Teepee wheelnose in
Satan, the early bird, aiyo that's my word
My man Joon with the herb to the moon
Eh Shawn Black, nigga, where ya at?
No type of daydreamer or a nigga with emphysema
This is X and I'm straight from the Rule",https://genius.com/Brand-nubian-step-into-da-cipher-lyrics
Straight Off Da Head,Everything Is Everything,1994,"Yeah, yeah, fo' your mind
Hmmmright, let's see what we can come up with
Record after record, yeaaah, rhyme after rhyme check it

In the studio, on the first try
On the verse high only birds fly
You get out the pack like that y'all
Straight off da head (what?), let niggas know I use to wear the pro
Get three strikes yo, I used to have to court awarder
But now I got a daughter and she gotta grow
And I let her know that that ain't the way to go
My name is X, yo I'm like a puzzle when I get released
Just like I had my muzzle off, check it out yo
I can never be sold
You don't stop (and you don't quit) and you don't stop
(We're makin hit after hit after hit y'all) Ya don't stop

Comin straight off da head one time it's the dread Lord J
Come around the way, would you say?
One time with my crew, manifessin
Just like that, now who you think you tessin? Uhh
Brand Nubian, my crew be in effect, uhh
Get erect with the blunts and ya check
Right in, one time, goin to the bank, I'm
Cashin, and you know I be stashin
In the mattress, one time with the phatness
Beats, I be blowin up, showin up
At shows, checkin all the hoes
Just like that and defeatin all my foes
Go for jack

Yo my name is X, yo my name is X and I was born in
The BX, I went to New Rochelle
Know my man Mark the Spark who live in the Vernon
And my man be they rhythm, dwell in Bronxdale, in the home of the
Boss, goin down the block or go to forest
Keep on goin past Morris High School
Then I go down the street to Courtland Ave
Vietnam, the male goes in Jackson
Over the bridge, on 45th to 8th Ave
Go to 7th Ave., go to Polo Grounds
Go to Drewham, 1-0-6 all the way to 1-10
Black Puerto Rican and Dominican, check it out

Uhh, we're gonna show you how we live, take you straight across the bridge
To Medina where the GODs is meaner, wisdom is cleaner
Straight down on Flatbush Ave
Some of the streets in Brooklyn'll make you laugh
Names like Myrtle and Willoughby
Things like Scurmerhorn and Classun
And funny names like that but still they got the gats rollin
Just like that that's how we be strollin
Maestro Manny and my man Big Ill, we fill blunts
Just like that we kill stunts
Guts, and what'cha want like that, we got nuts
Just like that cos it's phat, uhhh

Check it out, yeah (Like that, ya don't stop)
And I keep on goin, I keep on goin (Just like that ya don't stop)
My head keep goin on
Rob deep from mackadocious, your cut be close
With the one blade, ever since the first grade
I been a fan of the rap and I can do this
I use to watch and listen, and watch the ol' time greats
And watch em how they did things and I learned it well
I rip in New Rochelle, that's where I dwell (Uhh)
Check it out, my name is X, yo my man Mark the Spark's with me
My man Serge got the urge to splurge, he came from Cleveland
All the way from Ohio, he's gonna letcha know
Can you deal with his flow, yo yo?

Aiyo, peace to the GODs, peace to the Earth
Peace to the birth of me and my seed Khari
It's like that in effect one time, and I'm
The black man, intelligent with the plan
Islam be the bomb, droppin on the devils
Goin to a higher level
Peace to Farrakhan and the Nation like that
Creation is black, one time, that's a fact
Original solar, I'm Lord Jamar, yes I be the
Intelligent one, I be the sun shinin
Like the light in the night, but still I be bright
One time, now I recite the lessons for ya
One time, messin for ya or
Check it out, without a doubt
Peace to the GODs, sincere, makin it clear
Peace to Tamiq, yeah that's the language we speak
Peace to Knowledge, he didn't go to college
But still he got the supreme mind",https://genius.com/Brand-nubian-straight-off-da-head-lyrics
Return of the Dread,Everything Is Everything,1994,"""It's the return of the motherfuckin dreadlock"" (4x)
""Anyway you come I'm in your motherfuckin shit, man""
""Lord Jamar will live long
Cause I give strong blows to the heads of my foes"" (4x)

Well it's the Lord J lightin up more shit than Broadway
And Times Square wit nuff rhymes for your air
Crimes appear to have no motive, I wrote a
Shit I seen on the street now y'all fiend for the beat
Like a crackhead but this black dread don't sell drugs
Although I dwell with the, thugs
New Rochelle bust slugs from the tool in the Rule
Leavin devils mugs in a blood pool
Just like mud makes fossil fuels, colossal be the jewels I drop
The way I schools this thru hip-hop
I rip shop like shit was made of paper mache
My shape was tip-top and it can be no greater display
I pray today and see the devil takin off the Earth
But I'm lay it, keep on makin shit for what it's worth
A butter verse over a beat that's pancake fat
Niggas know it's like that and it's like that
""Lord Jamar will live long
Cos I give strong blows to the hoes and my foes""
""Lord Jamar will live long
Cos I give strong blows to the hoes and my foes""
""It's the return of the motherfuckin dreadlock""
""Lord Jamar will live long
Cos I give strong blows to the hoes and my foes""
""Lord Jamar will live long
Cos I give strong blows to the hoes and my foes""
""Anyway you come I'm in your motherfuckin shit, mate""

Now this is for my niggas who ain't fuckin with the system
Tired of arrest, doin the best to try to dick em up the ass
With no grease, the fuckin police gots ta go
Niggas feel the same from Maine to Chicago
California to New York, gotta warn ya bout the pork
Baby, on a fuckin hawk
Lookin for a nigga so they can dig another grave
My big brother was a slave but I'm like Nat Turner with two burners
Bustin back cos I'm black
Now you learn a lesson on how to act
Messin with original seed'll cause you to bleed
Broke the universal laws now we're smokin yours
Provoke cause the effect, and effective immediately
We're gonna wreck shit repeatedly
I ain't goin out wit out retaliatin, I got my niggas in the alley waitin
Ready to bring the heat to Satan
Where he lives, there he is, handle your biz
His mantle is wigged, you watch the pig squeel
Ain't no big deal, far better worse was done to us
It's time he run from us, nigga grab your gun and bust
""Lord Jamar will live long
Cos I give strong blows to the heads of my foes""
""Lord Jamar will live long
Cos I give strong blows to the heads my foes""
""It's the return of the motherfuckin dreadlock"" (2x)

Hypnotic, psychotic, women have erotic thoughts of me
Devils wanna torture me
They'd like to string me up round my neck from a tree
Simply for the fact I'm a real motherfuckin G-O-to the D
Niggas know me for speakin on the reals
Freakin in my wheels with the cops on my heels
He drops when I peels his cap with the real rap
Thinkin bout takin me out, I can't feel that
""Lord Jamar will live long
Cos I give strong blows to the heads of my foes""
""Lord Jamar will live long
Cos I give strong blows to the heads of my foes""
""It's the return of the motherfuckin dreadlock"" (2x)
Outro: (*some dread toastin*)
""It's the return of the motherfuckin dreadlock""",https://genius.com/Brand-nubian-return-of-the-dread-lyrics
Alladat,Everything Is Everything,1994,"Intro: Sadat X
Ha, yeah, yeah, yeah, yeah
Yo, straight from the wilds of The Bronx, it's Buckwild, y'knowI'msayin?
And that kid Sadat X born king, doin my thing
KnowI'msayin? I let'cha know how it is in my lifestyle everyday
Verse One: Sadat X
Lately yo, I been walkin tightropes
It's an adventure everyday as I walk down the block
Quiet baldhead is like a bad motherfucker
All charged up from Madison Ave
I'm up on the stage if you read the front page
Give me the ol' school mic wiv a cord
I'll stand on the table, give a fuck about a label
Now, we all can't brawl, we all can't brawl
It'll be your downfall when you're goin like this
Is it the cash or the hash from my stash that compells you?
Gas kids throw me but my crew bring me back
They stay on my back so I don't act like alladat
Hook: Busta Rhymes
Now all these niggas carry on like they think they alladat
They think they alladat, they think they alladat
Now all these niggas carry on when they think they alladat
They think they alladat, they think they alladat
Verse Two: Sadat X
Late one night, 55th outpost
Chickenhead watchin to see who she can catch
She got a man, I can tell cos the action in her eyes
Ain't nervous, a young sassy thing
She call me a playa, standin on the corner wiv her whole dime crew
I'm ridin down the block wiv her girlfriend
In the next nigga's car, lookin like a star
Shades, blackness, packed his whole damn frame
Ya got to be down to *?starts?* about the booty
Cos Sonny Lamb packs the wham
It's all good, yeah it's all good
See it attracts kids that are sweater
A nigga like me'll be the first to forgetta
So now she all mad, bringin drama to the crib
Go ahead, chickenhead, wit the funk
You get played like trash if you act like you'd always have and you always
Will
Chickenheads is only good for a thrill
Hook: Busta Rhymes
Yo yo, yo they think they alladat, they think they alladat
All these bitches carry on when they think they alladat
They think they alladat, they think they alladat
Verse Three: Sadat X
Now my cheques jam and I waited all damn week
And if I flip em the bad guy, you wonder why
When the corner officers and nobody can call me back
And everybody claims to know nothin
And these is the peoples that's down wit me
Supposedly, lays on my side, yeah right
They let a nigga die in the night if you let em
You can get wild, flip, go grab the mask
But it damn sure slow-up the cash cos I know
Ya be a menace to society, still waitin for the dough
The thinkin man is the one with the plan
Plant his seeds first then be ready to burst
It's like that, huh? My name is X from the hot blocks of Harlem
Take it personally when you try to stop my stardom
Use to be mild, find myself gettin wild
Got to slow down for my girl and my child
Cos I love life and I gots ta live it
And everytime I get on stage I'ma move sometin
And you can never say the X didn't hit'cha
Aiyo, I put it on ya, but first I warn ya
This ain't no average skit, this is a hit
More than you hit, better than your best shit
Better than your man's shit, better than his cousin's shit
Better than your whole block, buck once and then ya come wit that nons....
Interlude: Sadat X talking
Aight, hey Buck, when you bring what you bring to the game and when I bring
What I bring to the game, it's dangerous that I can't even call it. But we
Gonna end it off like this, y'knowI'msayin? On some Bronx town shit, check
It out
Verse Four: Sadat X
The big X has spoken, courtesy of Buck
A Bronx hoe-down similar to the showdown
Won't you place a bet on ya man
You know my style and you know where I stand
I'ma leave you on wit the real for right now
Peace to Brand Nubian, Now Rule and Buckwild
But right now, peep the master of the headnod
Hit New York harder and smarter, thieves attack, now stay back
Tainted styles don't pass the grade
A lotta kids are slidin, just ridin on the wave
A lotta kids are slidin, just ridin on the wave
A lotta kids are slidin, just ridin on the wave
Hook: Busta Rhymes
Yo, all these niggas think they hard when they think they alladat
They think they alladat, they think they alladat
All these bitches act like sluts when they think they alladat
They think they alladat, they think they alladat
Now all these fraud niggas are bitches when they think they alladat
They think they alladat, they think they alladat
Fuck dem niggas out there who think they alladat
They think they alladat, they thunk they alladat
Fuck dem niggas, fuck dem bitches
Fuck dem fraud ass, motherfuckers
Fake ass niggas
HAH!",https://genius.com/Brand-nubian-alladat-lyrics
Nubian Jam,Everything Is Everything,1994,"Intro/Chorus: Laura Alfored
Seem all the fellas understand what it feel
Cos it's a Nubian Jam and everthing's real
*repeat*
Verse One: Lord Jamar
It's time to blow up the spot, anything you was in, you're thru the roof
All the jams we done been thru is proof
We blend truth, with mathematics doin acrobatics over beats
The sound dramatic when it played in Landrover jeeps
I know my peeps is in the front of the stage
Smokin blunts with the strokin stunts, ready to set it
When the word is given, I know you heard how we was livin
Never takin no shit, just stayin clever and makin the hits
Shakin the tits of the honeys when they jump
Makin money's what we bump cos slumps is for chumps
And we pumps, worldwide, girls slide backstage
Lookin for a free ride, legs divide at a young age
Lord Jamar is like Jesus, speakin in parables
And to devils it's unbearable
To see this, but they ain't got no choice
No escapin the penetration of the voice
Chorus (x2)
Verse Two: Sadat X
And I watched and I watched and I watched then I looked
The X is like no other who can drop it in the rain
I'm not that high, so give me back my lighter
Stage right in the party at night, I'm in the shadows
Thinkin bout returnin to the spotlight
The X is top flight, ESPN highlight
From, throughout the rhythm, I give em what I give em
Oil slickness on that ass like *?Ewin?*
I know what I'm doin, leave your whole town ruined
Brand Nubian, the name alone stands
Overseas fans be shoutin different accents
So hence the black prince from 2-0
Soft-spoken but my words comprehended by the herds
Goin back to the days past the ol' gun phase
All stare in amaze or get caught with the rays
Cos the X is like the master of the phrase.....
Chorus: Laura Alfored
Seem all the fellas understand what you feel
Cos it's a Nubian Jam and everthing's real
*repeat x3*
Verse Three: Sadat X, Lord Jamar
I want the mic in the clutch
Cos it's too cold to hold, and too hot to touch
I'm like the thoroughbred searchin for cheese
You can't cut off the head of a fatal disease
MC's freeze at thirty-two degrees below
Justice served, now watch us bust this herd
In the head with another jam set by the brother man
Letters for the other man, understand
Chorus: Laura Alfored
Seem all the fellas understand what you feel
Cos it's a Nubian Jam and everthing's real
*repeat 3X*",https://genius.com/Brand-nubian-nubian-jam-lyrics
