title,album,year,lyrics,urls
BLEACH,SATURATION III,2017.0,"Who got the feelin'? Tell me why I cry when I feel it
Tell me why, tell me why
Who got the feelin'? Tell me why I cry when I feel it
Tell me why, tell me why (Why?)

Phone ringin', never outgoin', homebody
Never outgoin', put my doubts on when these walls up
Tearing at the black tie, finish addin' notches to my belt loop
They say help you, I can't help you
Why I can't speak out? Is wideout, wideout
Keep it deep inside my mind, it's off-kilter, off-kilter
I turn memory to fantasy, for that better pleasure, fuck
Time machine gonna make it better, maybe better for ya
I can't make this up, I can't take it back
Feel like a monster, feel like a deadhead zombie
Feelings you don't want me, I ain't givin' up, you should set it off
Tell me “Time's up,” let the water run, let my body run

Who got the feelin'? Tell me why I cry when I feel it
Tell me why, tell me why
Who got the feelin'? Tell me why I cry when I feel it
Tell me why, tell me why (Why?)

Said she wanna get high off a nigga
I wanna die durin' sex or religion
God and pussy only know my intentions
Waking on the tour bus then I'm swimmin'
You'd be hurtin' if you trust me but you isn't
Honestly, that's probably the right decision
Pick up, listen, if you wanna get rich
No sleep, how real bad man wake up

I found false hope in all kinda places
Hotel rooms and temporary feelings
I put my clothes on and try to check out
I try to hide from the sun, let it set now
Don't let God see me, I got a lot of demons
And I've been sleepin' with 'em
And now I'm tangled in the sheets and sinkin' deeper with 'em
I'm going deeper in it, find me drownin' in it

They said “Do you make mistakes or do you make a change?""
Or ""Do you draw the line for when it's better days?”
You taste the wind for when it's cold enough to kill our flame
I wonder who's to blame
They ask me “Do you make mistakes or do you make a change?""
Or ""Do you draw the line for when it's better days?”
We taste the wind for when it's cold enough to kill our flame
I wonder who's to blame

Who got the feelin'? Tell me why I cry when I feel it
Tell me why, tell me why
Who got the feelin'? Tell me why I cry when I feel it
Tell me why, tell me why (Why?)
[Bridge: Joba & 
Kevin Abstract
]
Everything I have (Is a mirror)
And everywhere I stand (Isn't solid ground)
People don't make sense (To me anymore)
I'm hiding out, again, tryna figure it out, yeah
I'm tryna figure it out, uh
I'm tryna figure it out, yeah
I'm tryna figure it out
I forgot my passport for sure, all for a pretty sky
I forgot my passport for sure, all for a pretty sky
I forgot my passport for sure, all for a pretty sky
I forgot my passport for sure, all for a pretty sky
[Outro: bearface & 
Ryan Beatty
]
Everything you wear, I'll be the one to care
Softly, you braid your hair, all the angels stare, yeah
Tell me why, tell me why (
Why?
)",https://genius.com/Brockhampton-bleach-lyrics
SUGAR,GINGER,2019.0,"Spendin' all my nights alone, waitin' for you to call me
You're the only one I want by my side when I fall asleep
Tell me what I'm waitin' for, tell me what I'm waitin' for
I know it's hard but we need each other
Know it's hard but we need each other

I move mountains on my own, don't need nobody help
Changed your mind when I changed my life, better start believin' in myself
And we all out lookin' for, lookin' for God so we never see it in ourself
Shit, divine intervention move in stealth
It's hard to tell what the prayer compelled
You can find me dancin' in between the raindrops
Tryna find a way to make the pain stop
Overtime, on the graveyard
Got a nigga feeling brainwashed
My instability's trademark
Copy-written in all my decisions
This is not supposed to be a way of livin'
Turned my temple down into a prison, shit

Spendin' all my nights alone, waitin' for you to call me
You're the only one I want by my side when I fall asleep
Tell me what I'm waitin' for, tell me what I'm waitin' for
I know it's hard but we need each other
Know it's hard but we need each other

Yeah, back on Vincent with the braces on
Used to slide out the back without the neighbors knowin'
Pose for the picture with the pearly whites
Dead lens zoomin' in, catchin' all my strikes
Used to trade Jordan for some molly
And she gave me all I need for the night, forties suffice
Morally alright, but I need some advice
And I know that I'm actin' foolish
Chris would pick me up around noon-ish
Half a blunt, yeah, we coolin'
Twist it up, puttin' on OutKast
Hunnid, Texas heat, and yeah, we cruisin'

But when I love you right, I love you right
All by yourself
But I'll make it bright, baby, I want you to know
I'ma be there for you, I'ma make you see that
I want you, I want you

Spendin' all my nights alone, waitin' for you to call me
You're the only one I want by my side when I fall asleep
Tell me what I'm waitin' for, tell me what I'm waitin' for
I know it's hard but we need each other
Know it's hard but we need each other

Back and forth
I'll take that if that's all you askin' for
With my legs up on the dashboard
Only thing in my pocket is my passport, pa-passport
Back and forth
I'll take that if that's all you askin' for
With my legs up on the dashboard
Only thing in my pocket is my passport, pa-passport
Back and forth
I'll take that if that's all you askin' for
With my legs up on the dashboard
Only thing in my pocket is my passport, pa-passport

So, do you love me, love me, love me?
Do you love me, love me, love me?
Do you love me, love me, love me?
Do you love me, love me? Oh
Do you love me, love me, love me?
Do you love me, love me, love me?
Do you love me, love me, love me?
Do you love me, love me? Oh",https://genius.com/Brockhampton-sugar-lyrics
SWEET,SATURATION II,2017.0,"Stripped down to my skin and my bones
I love huskies but I feel like a wolf (
Howl!
)
In a pack but I feel all alone
I'm scatterbrained man, better offer the Clon'
In Tejas apartments with racists doin' weird shit
Like, this'll make the biopic (
Haha!
)
Rile 'em up, hit Zaxby's, get the wing and tings (
Yum!
)
Real quick bills still stacking to the ceiling (
Uh-oh...
)
What you mean, it ain't working? (
What?
)
What you mean, you ain't finding yourself? (
Oh, I am, I'm trying
)
What you mean, you ain't got no cash? (
I got a little bit...
)
What you mean? What you mean?
Shouldn't your pockets be big just like a fat chick? (
Uh-huh!
)
Shouldn't your mama be done paying the house off? (
I guess?
)
Shouldn't you have a real big-ass ego? (
No?
)
Shouldn't these girls be flockin' just like seagulls? (
Eh...
)

Twistin' me up like licorice
Think I need someone who can handle it
Ice on my boys and my wrist is fixed
I don't need nobody tryna give me shit
Twistin' me up like licorice
Think I need someone who can handle it
Ice on my boys and my wrist is fixed
I don't need nobody tryna give me shit

The original lick-splickety, 
higher than Yosemite
Breaking the mold mentally, 
master with no limiting
Making 'em say ""ugh!"",
 they worshipping our force viciously
Watching the floor tip in your temple of authenticity
Often they say I’m off it, I offer my crossed empathy
They forgot what we on, I’ll remind 'em with hostility
Hot-diggity damn, everyone running scams
Gotta cover your clams and take another glance
Running a clinic, no scans, ain't no one claimin' yo mans
It's all pertaining to plan, call me the architect
Lap you in a UFO, I haven't started yet
Still gotta figure out exactly where to park it at
Moses with the pen, each line an ocean I can part it at
But that's too deep

Don't call me stupid
That ain't the way my name pronounced
Don't call me Cupid
I got too many hoes right now
Poolside in Houston
Tryna see if Beyoncé will take me for adoption
Broke-ass rich suburbs
A civilian shot in 3rd Ward, we just by the fountain
This is Merlyn Wood, man
Everywhere I go is The Woodlands
I need a honey-butter
Bodka in a Sprite can
When I'm in the Whataburger
All the kids know who I am
I need a honey-butter
Pouring lean in my Sprite can

Twistin' me up like licorice
Think I need someone who can handle it
Ice on my boys and my wrist is fixed
I don't need nobody tryna give me shit
Twistin' me up like licorice
Think I need someone who can handle it
Ice on my boys and my wrist is fixed
I don't need nobody tryna give me shit

I got a record but I'm clean as they come
I'm Godzilla, when they see me, they run
On 37th, used to run from the Bloods
The undercovers gotta duck when they come
I moved out and in a couple of months
I'ma be a pop star, they call me a thug
I used to write raps on the back of the bus
Now I'm in the front seat shifting the gears

It's funny how things can change
Three hundred dollars to my name led to Hollywood
I was living off ramen and change
Five hundred dollars on these dinners, never have to pay
Growing up my teachers told me
""You better get them grades up if you wanna finish high school
And after high school, you better get a degree
'Cause it's a dog-eat-dog world, you could live in the street""
Flashback, I had my Walkman in the minivan
Listening to *NSYNC, saw my name on the CD
Bleach blond tips, wanted to be JT
Wanted to do big things, had to fulfill a dream
One might say I was doomed from the get-go
But those same people assume, 'cause they'll never know
What it's like to be called to what's not set in stone
I am one with the ebb and flow, that's all I know

Twistin' me up like licorice
Think I need someone who can handle it
Ice on my boys and my wrist is fixed
I don't need nobody tryna give me shit
Twistin' me up like licorice
Think I need someone who can handle it
Ice on my boys and my wrist is fixed
I don't need nobody tryna give me shit
Twistin' me up like licorice
Think I need someone who can handle it
Ice on my boys and my wrist is fixed
I don't need nobody tryna give me shit
Twistin' me up like licorice
Think I need someone who can handle it
Ice on my boys and my wrist is fixed
I don't need nobody tryna give me shit",https://genius.com/Brockhampton-sweet-lyrics
GOLD,SATURATION,2017.0,"Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
(Keep a gold chain) Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
(Keep a gold chain) Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect

Rock the boat like a one-eyed pirate
Rick James, I get glitter on my eyelids
2 A.M., 85 on the highway
Whole world get a little misguided
Where the spotlight? Put me in the spotlight
Trust no one that put you in the wrong light
High scream when I hit her with the long pipe
Mmm, ice cream when I hit her with the sweet thang
Do my thing, no, I do not do speaking
Get my shot, point it out like Ruth, man
I'ma win a bitch and I got a mood swing
I'm the realest, bitch, now I got a mood swing
I got bipolar confidence
Wake up like ""shit"" then I feel like the shit
So I guess I'm the shit
Yeah, guess I'm the shit

Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
(Keep a gold chain) Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
(Keep a gold chain) Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
[Verse 2: Ameer Vann & 
Merlyn Wood
]
Grab life by the horns when I whip the Lambo
Black on red like I whip the sambo
Clip's so long it'll make you mambo
Watch you tango, dutty wine
She grind on my dick like a hundred times
Shawty love me long when I grip her sides
And slip inside like a Slip 'N Slide
My electric eel do electric slide but—
I just wanna feel on the booty
All on me, all on me, all on me
Make it slow clap like Rudy!
All on me, all on me, all on me
I just wanna feel on your booty
Grab the camcorder, we can make it a movie
Bring a friend with you if you like how I do it
Gold chain swingin' and she like how I shoot it

Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
(Keep a gold chain) Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
(Keep a gold chain) Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect

Damn, damn, I'm frosty
Blood diamond, I'm flossing
Navy camo, I'm drowning
But you don't see what it cost me
Turmoil like the Saudi's
, hand-me-downs never fit me
Party never fit me, punani never fit me
Damn, time-travelin', Honda-swervin', 
that's so Merlyn
That's so Merlyn, that's so Merlyn, that's so Merlyn
Damn, time-travelin', Honda-swervin', 
book learnin'
That's so Merlyn, that's so Merlyn, that's so Merlyn

Swan dive down the 405
Land at the bottom of El Toro High
With the precision of a cut from a Zoro knife
The boy spit like he made out of 409
So that's clean, bitch
You can't play with my team, bitch
We rock pink now on Wednesdays
Green looks good with your envy
Mix with white 'cause you salty but this stainless
I'm like platinum and it's painless
I just skip on the beat like I'm Pee-Wee Herman
Hands up for all my sermons
My wheel's turnin', now I'm more efficient than ever
I feel like Ratatouille when I'm whipping that cheddar
You see, you better find your thickest of sweaters
'Cause this ice might fuck around and change your whole life
'Cause we about to take flight

Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
(Keep a gold chain) Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
(Keep a gold chain) Keep a gold chain on my neck
Fly as a jet, boy, better treat me with respect
[Outro: Joba & 
Jabari Manwa
]
Keep a gold chain (
fly, fly as a jet
)
I keep a gold chain (
fly, fly as a jet
)
Keep a gold chain (
I said I keep a, gold chain
)
Keep a gold chain (
I keep a gold chain
)
Keep a gold chain (
I said I keep a, I said I keep a
)
(
I keep a gold chain, a gold chain
)
Keep a gold chain
(
I said I keep a, I keep a
)
Keep a gold chain (
fly, fly as a jet
)",https://genius.com/Brockhampton-gold-lyrics
JUNKY,SATURATION II,2017.0,"Me Ilamo Roberto y estamos buscando a Jaden Smith

I spit my heart out, lookin' out for my best interests
He gave me good head, peepin' out while the windows tinted
I speak in tongues and I arrive without a damn mention
It's kinda sick and I was born in 1996 and
1999 the only year that I remember
I slip through the cracks without havin' a damn temper
I bleach my hair because these bitches all about they bitchin'
I say shit when I rap and y'all niggas barely listen
I do the most for the culture, nigga, by just existing
Delete my tweets 'cause I'm ashamed of being a fuckin' Simpson
I told my mom I was gay; why the fuck she ain't listen?
I signed a pub deal and her opinion fuckin' disappearin'
I'm payin' bills for my sister and tryna fund a business
Is it homophobic to only hook up with straight niggas?
You know like closet niggas, masc-type?
Why don't you take that mask off?
That's the thought I had last night
""Why you always rap about bein' gay?""
'Cause not enough niggas rap and be gay
Where I come from, niggas get called ""faggot"" and killed
So I'ma get head from a nigga right here
And they can come and cut my head off, and
And my legs off, and
And I'ma still be a boss 'til my head gone, yeah

Break the wheel, pack the steel, hold my niggas down
Twistin' on that syrup ‘til I hear crackin’ sounds
Break the wheel, pack the steel, hold my niggas down
Twistin' on that syrup ‘til I hear crackin’ sounds
Break, break, break the steel, hold my niggas down
Twistin' on that syrup ‘til I hear crack, crack, crack
Break the wheel, pack the steel, hold my niggas down
Twistin' on that syrup ‘til I hear crack

I don't trust nobody 'cause they don't deserve it
Niggas run in your house, they know you doin' dirty
(Go 'head, now)
I got my hand on an ounce, and I got money servin'
I just bought me a fifth and now I'm speedin', swervin'
(Go 'head, now)
I took an eighth of them shrooms and now I'm hearin' voices
I took like two of them pills, I can't remember nothing
(Go 'head, now)
I ain't under control, I'm losin' motor function
I need an intervention, I need an exorcism
I need a therapist, paranoia and drug addiction
It's very scary, my momma don't even recognize me
I'm goin' crazy, don't need nobody to say they love me
My acts of desperation, I'm on an empty stomach
So fuck the consequences, I ain't runnin' from them

Feelin' like a goner, put my life in locker
Hotbox in the Hummer
Hot bars in the summer (Merlyn, Merlyn!)
If I had the option, I would do it all again
If I had the option, I would do it all again
I just wanna feel like I did the right program
I just want to appeal to my dad and my cousins (Again)
When I cut the veil, I do not think 'bout diplomas
Love is knowin' that you didn’t do it by your lonesome
So I forgive my mommy, daddy, auntie, and my uncles
For guilt-tripping feelings whenever they call my number
They see men dream, they see men fallin'
But when I dream, I'm smashing on Atlanta

Both pessimistic, drug addicted, caught in our feelings
We spit venom then stare at the ceiling, wondering, ""why?""
My mom's no alcoholic, she just wanna drown her sorrows
Love her to death and soon enough I'll give back all I borrowed
Both so submissive, take turns dominating, the light has been faded
This hate-fueled love, we don't fake it, no givin', just takin'

I took some steps to be a bigger person
I should've thrown ya off the highway to cars swerving
Ain't no burden, ain't no sermon, ain't no motherfuckin' plaque
I hate these hospitals and police and the smell of death, all that
I hate these shady folk, that want it ladylike
But don't treat lady right, but they be sayin' like (""Just the tip!"")
And yeah you mad 'cause she ain't fuck, mad 'cause she ain't suck
Beat your ass before you got time to say ""Why not?""
Here to catch ya slip up, wish you could just rewind
Timing all fucked up, thought you had just lucked up
Where the respect? Is your ass human?
I look you in your eyes, say, ""Fuck you, are you fuckin' stupid?""
Respect my mother, 'spect my sister, 'spect these women, boy
I get my 9-9, I don't own one, hit the store to blow your brains off
Better hope my aim off, better hope the range off
Better hope my tame off before I blow your brains off, boy

Uh, no hands with the stunts
Jump off the roof like I do what I want
All of my life in my past wanna haunt
And my sight of the future beginning to taunt my ambition
Man on the moon, I'm marooned, I ain't trippin', I'm on a mission
Every time that I speak they ain't skippin'
Turned my inspiration to a vision, that's a given, no slippin'",https://genius.com/Brockhampton-junky-lyrics
STAR,SATURATION,2017.0,"I might go Interstellar
I feel like Matthew McConaughey
I don't care for what they gotta say
Tony Perkis how I drop the weight
Jason Bourne with the headshot
Jason Statham with the whip game
Liam Neeson with the rescue
I go Gunnar with the leather face
Bruce Campbell with the chains
Tobin Bell with the saw
Anthony Hopkins, I'm eatin' 'em raw
They don't know who we are
Molly Shannon, I'm a superstar
Ride or die like it's Seabiscuit
Tryna stack like Tobey
John Wick, I don't leave a witness
Chris Paul, I'm assistin'
Ameer go Blake Griffin
Give me forty-eight minutes
We go '04 Pistons
Catch a fade like Robert Horry
Only time to get the spotlight
Deray, how I'm top flight
Go Obama when I drop mics

I'm the Black Tom Hanks
You can call me Nigga Banks
Secret Agent Cody Banks
Quarter pound of the dank
On the scale and it stank
Put my mama in a Range
I just bought a new Wraith
Nic' Cage with the face-off
John Travolta when I take off
Brad Pitt, start a fight club
Turn the trap into the nightclub
I'm like Prince with the white doves
Paint a picture with the white dust
Lionel Richie with the white bitch
Try to tell it to her nicely
But she never wanna listen
Beat the pussy to submission
Tom Cruise on a mission
Pull a R&B singer
Bring her back to South Central
I shine just like a popstar
M.J. my initial
Kobe Bryant with the spin moves
If these niggas got issues
H-Town with Beyoncé
Turn her to my prom date
Kingpin like JAY-Z
Dance moves like JT

Heath Ledger with some dreads
I just gave my nigga head
Standing on my two legs
Fuck what that nigga done said
Bruh, I don't fuck with no white boys
'Less a nigga Shawn Mendes
I been off and I been dead
Bad as hell, I don't bench-press
High school, they ain't fuck with me
Now, the critics don't fuck with me
My own fam ain't fuck with me
But Viceland did fuck with me
I'm the only popstar with no money
Can't drive, so I'm still running
Uber taking all my show money
But that's okay, I got more money
Not enough to get my teeth fixed
So my boyfriend in the street, bitch
In the moonlight, I get seasick
Did you see all the art that we did?
Did all that shit in a weekend
We was up all late tweakin', yeah
Ice Cube on a Friday, Chris Tucker on a Friday
Michael Cera on a Friday, Jonah Hill on a Friday
Rockin' Leo's blood diamonds
Sucked off on the highway
Police right behind me like a nigga stole his OJ
Okay, I don't play, got the same last name as O.J.",https://genius.com/Brockhampton-star-lyrics
ZIPPER,SATURATION III,2017.0,"Pretty sure I'm maniacal, but what do I know?
I don't know, all I know is what I see through my monocle
That and the telescope, keep one lens on the money flow
The other's gold and complemental trusty, well—well...
I'm rolling down hills in a suit through the mud
Burn my dress shoes in a fire with the wood
Sit back and relax with the fumes of
Everything I hate in the world
Play Mozart, smoke my cigar on
My estate, keep the cars parked on the front lawn
Neighbors hate, place duct tape underneath their tires
And I wait

Sunsets to blood moon horizons
Left brain and right brain divided
Set frames and watch plays inside them
In the mountains now's where you'll find him
I smell a breeze in the morning
I feel your presence, it's warming
I paid attention to warnings
But we were too caught up in transforming

Ghetto in here flash it, ooh, them boys stay nasty
Floating like Aladdin, them the ones you talkin' to
Ghetto in here flash it, ooh, them boys stay nasty
Floating like Aladdin, them the ones you talkin' to
Ghetto in here flash it, ooh, them boys stay nasty
Floating like Aladdin, them the ones you talkin' to
Ghetto in here flash it, ooh, them boys stay nasty
Floating like Aladdin, them the ones you talkin' to

Lucky days, I'm burnin' the four sil
Your boy is dusty like brush up a fossil
Hear that shit urk like the noise of a possum
Bitch, I'm a king, I was born in the castle
Built like a boxer, I'm ready to tussle
Fuck on my baby, I'm ready to bust one
Come fuck with me and my dogs
Hate on my ass like in-laws, ugh
That boy stay light like a cheerleader, um
She want me filled like a two-liter, um
Eat it all day, watch it ricochet off
Then I skrrt off on that Michelin, aww
They don't got nothing on me 'til I pop
They don't got nothing on me, call the cops
I hit that run like a Heisman, boy, run it back
Look at that boy, hit that running back

Shout out to South Central, San Marcos
I got addicted to soft-shell tacos
Right after pennies and ramen noodles
Now, I see how I'm gon' make a shooter
Stamina, stamina!
I used to be holding the camera
Head through the glass, throw your window up
Start praying to me like my handle Cortana
We like Wu-Tang, but I feel like Santana
Sweet talking, just like she Hannah Montana
Head was clean, Tony Fantano
Made her my wife-a
She can't eat 'cause she's so Bella
Confused erection
Bad hoes, no name, brand slave, brainless

Ghetto in here flash it, ooh, them boys stay nasty
Floating like Aladdin, them the ones you talkin' to
Ghetto in here flash it, ooh, them boys stay nasty
Floating like Aladdin, them the ones you talkin' to
Ghetto in here flash it, ooh, them boys stay nasty
Floating like Aladdin, them the ones you talkin' to
Ghetto in here flash it, ooh, them boys stay nasty
Floating like Aladdin, them the ones you talkin' to",https://genius.com/Brockhampton-zipper-lyrics
GUMMY,SATURATION II,2017.0,"These niggas take me for granted, what would hap' if I vanish?
Bet a hunnid they'd panic, my shooters only speak Spanish
Keep my heart with my dogs, keep my car in the yard
I can't drive it nowhere so I'll let you niggas take off
Seen the shit that they drop, that shit not instantly hot
I give that instant re-bop, that replay value go off
That make my value go up, I keep that bow in my cup
My niggas rolling, got that going with a thousand to bust
That nigga Kevin can't rap, he too sappy with his shit
He don't rep me with his shit, he on that teenage bullshit
And he 'bout 20 and shit? When he let go of that shit?
He'll prolly be a little colder, y'all agree with me? Shit
That nigga need to act his age, he ain't acting like a grown up
Ain't that boy from Texas? He ain't acting like a soldier
Knew that boy in high school, man, that nigga wasn't awkward
And I know his mama, man, that nigga just a liar

Cash don't last, my friends will ride with me
Keep 'em in my bag, we robbed a limousine
When the guns go pow, won't bother us again
I don't wanna do it but they keep on pushing me

Cash don't mean shit, shit
Crashed my last Benz, Benz
Cashed my last check, check
Cash don't mean shit, shit
Cash don't mean shit, shit
Crashed my last Benz, Benz
Cashed my last check, check
Cash don't mean shit, shit

Call me King of the Niggas, I need a crown made of thorns
God said, ""Let there be light"" on the day I was born
Step off the ship with the slaves, then I go hit the stage
I just left in a whip, all I need is a chain
I don't trust no niggas and I don't trust no bitch
'Cause people talk too much, I bought a black fo'-fifth
And a brand new clip, that's my new best friend
'Cause I'm a brand new nigga, in a brand new crib
I ain't sellin' no more, but got my hand in the zip
Whitey gave me the check, I ain't ask for the fame
I used to deal with the grams 'til they put the cam on my face
Now I'm evading the law, I'm on a high-speed chase
I'm in a big-ass truck, I tell 'em, ""Get out the way""
I gotta couple of warrants, so I'm leaving my state
Now I'm in Cali today, with the sun on my face
I got a bag of the gas, and a blunt I can face

How I'm gon' move at your pace? I'm busy settin' the tone
You think we runnin' together? I'm in a lane of my own
Don't got no friends in this game, it's me and my brothers alone
They thinkin' that we competing, that shit depletin' my bones
I don't need all that energy, they just fuck up my chakras
I put my heart in a locker,
 
they love me when I'm a martyr
They hate me when I'm myself, I can't barter with that
You watch us charter these tracks, it's sticking like tartar and plaque
I need a parlour of plaques, need lobsters and helicopters
I need peace for my niggas, need darker skin for all my doctors
I like to speak like a scholar, like to think like a nigga
In this world I can't wander, no honor behind the trigger
I could get shot in my back and they'd tell the world that I fought 'em
""We ain't taught 'em nothin' new, but somehow they been gettin' smarter""
That's what they sayin' in private, speaking from that entitlement
We still workin' for titles and makin' tidal environments

Cash don't last, my friends will ride with me
Keep 'em in my bag, we robbed a limousine
When the guns go pow, won't bother us again
I don't wanna do it but they keep on pushing me
Cash don't last, my friends will ride with me
Keep 'em in my bag, we robbed a limousine
When the guns go pow, won't bother us again
I don't wanna do it but they keep on pushing me

Fuck, put ya ante up, riding in the limousine
I'm stuck on some bud I hit, under concrete canopy
Fuck all this energy, you just wanna bring me down
Fuck all your energy, you just wanna bring me down
Fuck, put the windows up, blowin' past the exit now
Up like a money shot, swerve into the sunset
Me and all my boys jet, swerving like a doughnut
Off, off, off, off, swerving like a doughnut
[Outro: Kevin Abstract & 
JOBA
]
Nigga, what?
Pull up, pull up, pull up, pull up, pull up if you want to
Nigga, what?
Pull up, pull up, pull up, pull up, pull up if you want to
Nigga, what?
Pull up, pull up, pull up, pull up, pull up if you want to
Nigga, what? Y-yo",https://genius.com/Brockhampton-gummy-lyrics
FACE,SATURATION,2017.0,"Tell me what you're waiting for
I just wanna love you
Tell me what you're waiting for
I just wanna hold you
Tell me what you're waiting for, huh
I just wanna love you
Just wanna hold you, never would lie to you
Tell me what you're waiting for, huh
What you waiting for?

It feels like I can see the past in your eyes
I know the future has been passing you by
These other niggas, they just passing your time
They don't know how to ride the tidal waves
That crash in your thighs
But I got the dream, and if you believe
Then I can take you somewhere that is pristine
I'm keeping it clean, my title is mean
They boxin' us in but we broke out the seams
Don't make me a fiend, I know what I want
I'm working to get everything that I need
But I got a plan for you
I'm taking a stand for you, I care for you

What's your motive with me, baby?
'Cause I don't trust nobody lately
I twist and turn, moving just like a serpent
New times are coming just like a virgin
Get you all outta my head, 'cause lately I'm better off dead
I say this all out of respect, sometimes, I want nothing with you
Wearing your love like medallions
'Cause I know thousand men want ya, wants the menages
Fucking, riding shotgun, slap your buns
Melting, fading, under stars and the sun
85, 90, gon' bust out the gun
Know they sent me from the neck of the woods
Change my name, state so they never could

Tell me what you're waiting for
I just wanna love you
Tell me what you're waiting for
I just wanna hold you
Tell me what you're waiting for, huh
I just wanna love you
Just wanna hold you, never would lie to you
Tell me what you're waiting for, huh
What you waiting for?

I need a friend (I need a friend)
And you need a home (You need a home)
I love when you come (I love when you coming)
I still feel alone
You make it warm in my bed
Butterflies in my head
Sunrise, let it set
But you don't love me like you say you do
White lies hold the hidden truth
You keep leaving when I need you most
It's true what they say about love had and love lost
Here you are and now you're gone
I'm left alone in the same bed, I wake up in a cold sweat

Please don't make me wait long
I just wanna be your main one
Your main, your main one, mm-mm
See, I don't want nobody, but you, mm-mm
See, I don't want nobody, but you, mm-mm
I spent the day by my lonesome
Who do you call when there's no one?
No one ever did what you did for me and did to me
My bed is cold and indented where you used to sleep
Tell me what you're waiting for, shit
Tell me what I'm here for

Tell me what you're waiting for
I just wanna love you
Tell me what you're waiting for
I just wanna hold you
Tell me what you're waiting for, huh
I just wanna love you
Just wanna hold you, never would lie to you
Tell me what you're waiting for, huh
What you waiting for?",https://genius.com/Brockhampton-face-lyrics
BOOGIE,SATURATION III,2017.0,"What are the rules for breakfast today?
What are the words I'm forbidden to say?
I need to let my hair down and grow it like a real-ass bitch
A real-ass bitch, bitch
What are the rules for breakfast today? (
Grow it like a real
)
What are the words I'm forbidden to say?  (
Grow it like a real
)
I need to let my hair down and grow it like a real-ass bitch  (
Grow it like a real
)
A real-ass bitch, bitch (
Grow it like a real
)

I've been beat up my whole life
I've been shot down, kicked out twice
Ain't no stoppin' me tonight
I'ma get all the things I like
I've been beat up my whole life
I've been shot down, kicked out twice
Ain't no stoppin' me tonight
I'ma get all the things I like

My niggas taking over
BROCKHAMPTON, call your momma
My niggas goin' platinum
Break necks, send you to the doctor

Best boy band since One Direction
Makin' niggas itch like a skin infection, mm
Did me wrong like a perfect stepson, mm
Been a wrong, you can change the song, hon

Who got me riled up?
Who the lame-ass bitch wanna talk 'bout us?
Ooh, who got me riled up?
Who the lame ass bitch wanna talk 'bout us?
Ooh, come get it from me, ugh
Come get it from me, ugh
Come get it from me
Ugh, ugh, ugh, come get it from me

Break necks, I'm the chiropractor
Come on down, you know I gotcha
Real shit, feelin' saturated
Realign the spine, fuck the haters
Break necks, I'm the chiropractor
Come on down, you know I gotcha
Real shit, feelin' saturated
Realign the spine, fuck the haters

When you see me in the street, they say, ""Willy, Willy!""
But you won't see me in the street, I'm like a hillbilly
I was sad 'cause nobody wanna suck my willy
Now I'm sad, everybody wanna suck my willy
When you see me in the street, they say, ""Willy, Willy!""
But you won't see me in the street, I'm like a hillbilly
I was sad 'cause nobody wanna suck my willy
Now I'm sad, everybody wanna suck my willy

They be like, ""What the fuck is you on?"" when we hit the room
Move til' these niggas throw me in the tomb
Hear the sounds of the fader when we spin the tunes
Everything feel right now you in the womb
Wanna motivate you in the afternoon
Top-shelf money, that's my new perfume
Twist it up, light the end and inhale the fumes
I'm the one that zoom if you just assume

I've been beat up my whole life
I've been shot down, kicked out twice
Ain't no stoppin' me tonight
I'ma get all the things I like
I've been beat up my whole life
I've been shot down, kicked out twice
Ain't no stoppin' me tonight
I'ma get all the things I like

MERLYN!",https://genius.com/Brockhampton-boogie-lyrics
