title,album,year,lyrics,urls
Own Light (What Hearts Are For),All the Beauty in This Whole Life,2017,"You're not using your heart for
What hearts are for

They've been trying to shut us down our whole life
I thank God for healing
You ain't got to get me lit, I got my own light
Thank God for listening, listen
You've been trying to build me up my whole life
I thank God for building
You ain't got to get me lit, I got my own light
I thank God I'm living

Sometime I feel like a stranger, maybe I ain't from here
World going crazy, how could that be unclear?
Know that I'm a soldier, heart's are my battleground
Sword in the holster, had to come back around
I ain't trying to hide away, I just had to meditate
I ain't got a lot to say but the ancestors may
Speaking to the whole globe, numbers don't occur to me
You can listen solo 'cause you're the whole world to me
I jump in with both feet nothing low key
You can find me where I'm s'posed be, where my folks be
If you listen very closely you know who chose me
Nothing that I own owns me and so I'm so free
I remember being hungry needing groceries
Nighttime getting no sleep 'til my nose bleed
Got a message to the police:
You're not using your heart for what hearts are for

They've been trying to shut us down our whole life
I thank God for healing
You ain't got to get me lit, I got my own light
Thank God for listening, listen
You've been trying to build me up my whole life
I thank God for building
You ain't got to get me lit, I got my own light
I thank God I'm living

Not for one second I believe what you're telling me
I know you invented disease and sell the remedy
Universe is sending me centuries of memories
So the very breath that I breathe is all I ever need
I got that Muhammad Ali up in my pedigree
Yes I be speaking my peace up in my seventies
Ain't worry bout ya threatening me, I'm just being honest
I ain't buying fear just because it's all you got left
We just want to make love 'til we wake up
I believe whoever made us envisioned greatness
And you know they want to paint us with the same brush
Wanna interchain us 'til we fill our grave up
Alright okay but when it's all said and it's all done
And I look back at the trophies I won
I will only count one
I'm using my heart for what hearts are for

They've been trying to shut us down our whole life
I thank God for healing
You ain't got to get me lit, I got my own light
Thank God for listening, listen
You've been trying to build me up my whole life
I thank God for building
You ain't got to get me lit, I got my own light
I thank God I'm living

And I know who I am
I know whose I am
On your wings, I fly
And in your shoes, I stand
I'm animated by love, I don't move by chance
Any stage I touch or any place I stand
There y'all land, living in the world as it is
Cracked vessel, I am no more and no less than a man
Any po-sessions that I have are just in my hand
I'm balancing the best that I can
I'm not making no claims but
I'm using my heart for what hearts are for

All the beauty in this whole life (uh)
I thank God for healing
And You ain't got to get me lit, I got my own light
I thank God for listening, listen
You've been trying to build me up my whole life
I thank God for building
You ain't got to get me lit, I got my own light
I thank God I'm living
Just reflecting all the beauty in this whole life",https://genius.com/Brother-ali-own-light-what-hearts-are-for-lyrics
Can’t Take That Away,All the Beauty in This Whole Life,2017,"I loved you 'fore I knew that you existed
It isn't really anybody's business
Not asking for permission or a witness
It honestly doesn't make any difference
Living in this insane mess
There's only one person that can make me make sense
I've got troubles and my own fears
But as long as you're alive, I'm not alone here
My mirror, when I'm right near you
Your guiding light shines to see my life clearer
You're so woven inside my spirit
Even when you're not around I feel you
Lord knows they don't come no realer
My soul road dog my healer
The only reason I believe in me
I'm trying to be what you seem to see

When the highs get low and the joys turn woes
I'll be close forever and a day
They can't take that away
They can't take that away
(Right) When your world start falling, I can read about it all in your face
You ain't even gotta say
They can't take that away
They can't take that away
When you make your mistakes, my heart is a place
Where you're safe I never would betray
They can't take that away
They can't take that away
And what you made mine is true
Lifetime full of treasures, I'll never repay
They can't take that away

I love you and there's nothing you can do about it
I love you right through all your human problems
I might've got excited at you and shouted
But you never let me down when it truly counted
Nothing could ever break the bond
Whatever page you're on
Celebrate or mourn, babies born or parents gone
No matter how crazy the storm, you won't face it alone
The best part of me is drawn to you
Me and anything I own belong to you
I treasure everything important to you
Any secret I ever had I show them to you
I owe you nothing but the whole truth
I wouldn't want to meet the me that doesn't know you
The only reason I believe in me
I'm trying to be what you seem to see

When the highs get low and joys turn woes
I'll be close forever and a day
They can't take that away
They can't take that away
When your world start falling, I can read about it all in your face
You ain't even gotta say
They can't take that away
They can't take that away
When you make your mistakes, my heart is a place
Where you're safe I never would betray
They can't take that away
They can't take that away
And what you made mine is a true (ah, it's love)
Lifetime full of treasures, I'll never repay
They can't take that away, they can' t take that away
Oh my God now

These are wounds, not scars
It will only be a scar when it stops bleeding, stops hurting
You can forget about scars
But you cannot forget about wounds
Everyone meets the injured with sympathy or disgust
Do you need a tissue?
No, I need stitches",https://genius.com/Brother-ali-cant-take-that-away-lyrics
Pen to Paper,All the Beauty in This Whole Life,2017,"I am not beautiful, I am an elegant beast
A well-mannered monster, a charming barbarian
I will pillage your heart with language so lavishly violent
You will curse me for coming and curse me for going
Your crying and your moaning will share the same sound

Put pen to paper the first time when I was barely eight or
Maybe nine that was the late eighties, Reagan time
Put in the freshest tape rewinds, wait, let me take my time
The entire landscape of that blank page was mine
Created space to climb inside, escape the crazy times
Reshape the climate, break it down, that was my frame of mind
Thank the divine great designing this as my sacred shrine
I made myself a place to shine, wait, let me spray this rhyme
When I was thirteen I met KRS, he put me on the stage
Suggested I read up on Malcolm X, y'all know the rest
So much pushing down on my chest
Both my folks got laid to rest
Loved ones wishing me all the best
I'm a ball of stress, yet I digress
I've spent my every hopeless dream and my unspoken secret
You hear it floating through your speakers in my old releases
My fanbase began to grow beneath & crowd around me
I never tiptoed 'round here shy I spit it loud and proudly
The U.S. government profiled me and the sponsors dropped me
Some of my listeners felt a way so they no longer got me
I knew that telling that truth is costly no one alive can stop me
I rolled that flag out on the ground and prostrated my body
This is more than music to me, this is ancestors
Speaking through me at the tomb of Rumi
My mic’s a rifle I’m honor bound to fire my weapon truly
Whether they jeer me, cheer me, boo, salute me or just shoot me
Let it be known, my whole life I break that cycle set it in stone
I'd still rather be known as a man that stand on my own
Rather than beg at a throne cold
You know I still honor my own code that go down to the bone
We just want to get it on shooting at the devil
With a megaphone till we dead and gone
BOOM!",https://genius.com/Brother-ali-pen-to-paper-lyrics
Never Learn,All the Beauty in This Whole Life,2017,"I don't know where to turn
I hit my head, I guess I'll never learn
But they tell me I should let it bleed, let it sting, let it burn
Get my head firm
I don't know where to turn (Where to turn)
I hit my head, I guess I'll never learn (Never learn)
But they tell me I should let it bleed, let it sting, let it burn
Get my head firm
(My goodness, good morning)

You're still an apprentice
Every generation of MC **** with me, so I'm ill by consensus
You see what I speak
You touch it and feel it, all six of your senses
My mission is endless, I've been in this tent and I'm still as relentless
Now, build you a fence, if you're feelin' defensive
My power comes from the most high
Lord, God, of the globe sky
Soul vibration is so fly, I can walk on water, no lie
Champion author
Small fry rock of Gibraltar; Northside
Serving this culture
Might I confide that I'm here to assault ya?
I got some money in the bank that I did not have when I start
Got a little money up in my hand, I do not have money in my heart
I'm standing on champion greatness
I cannot claim it 'cause that's the creator
I stand up and state it
That's not braggin', it's prayin'
That's what I'm sayin'

I don't know where to turn
I hit my head, I guess I'll never learn
But they tell me I should let it bleed, let it sting, let it burn
Get my head firm
I don't know where to turn (Where to turn)
I hit my head, I guess I'll never learn (Never learn)
But they tell me I should let it bleed, let it sting, let it burn
Get my head firm
(Ya Hafidh, ya Wadud)

I was standin' on-stage when my hero died
Feel the heartbeat of my people's cry
Nation nineteen thirty-three, bow ties
Light of the D?n gleaming in your eyes
Even when the tears flow down both sides, you know why I sacrificed your whole life
You can go ahead, let your soul fly 'cause the whole tribe bloodline flow through mine
Listen, we love to fight 'cause we fight for love
The poor, righteous sons, where the diamonds from
Libraries are transcribin' us, and our ancestors are more alive than us
Put down everything you're tryna clutch: your undying lust to see the climate just
Baby we ride 'til our time is up
That's just the divine in us

I don't know where to turn
I hit my head, I guess I'll never learn
But they tell me I should let it bleed, let it sting, let it burn
Get my head firm
I don't know where to turn (Where to turn)
I hit my head, I guess I'll never learn (Never learn)
But they tell me I should let it bleed, let it sting, let it burn
Get my head firm
(My goodness, good morning)


I don't know where
Let it bleed
Get my head firm
Hit my head, I guess I'll never learn
Get my head firm",https://genius.com/Brother-ali-never-learn-lyrics
All the Beauty in This Whole Life,All the Beauty in This Whole Life,2017,"All the beauty in this whole life
Is reflecting your light
Cool tears obscure my sight
It's the only way I see you right
All the beauty in this whole life
Is reflecting your light
Cool tears obscure my sight

God willing I can love you 'til there's nothing but you
Disappear inside you every time I clutch you
Tears shed in your presence render walls humble
They separate me from you until I become you
Let 'em fall to rubble, let the darkness crumble
Let your light penetrate me 'til my heart is trustful
I'm afflicted with my chest constricted
And your description is the best prescription
Crack the stone in my chest and let it beat again
'Til every artery become a pharmacy
Let it deliver your love to every part of me
Until the splendor of your presence is all I see
My death wish is to decorate my every inch
With remembrance of your preciousness
Until there's no longer evidence I ever existed
Because until I knew your love, I never did

All the beauty in this whole life
Is reflecting your light
Cool tears obscure my sight
It's the only way I see you right
All the beauty in this whole life
Is reflecting your light
Cool tears obscure my sight
It's the only way I see you right

These two eyes inside of my head have never seen clearly
A whole team of geniuses couldn't seem to cure me
A lot of the time I just resign and just close them completely
And relied on what's inside me to guide me sincerely
Let the heart navigate and pray that the path is straight
Lead me directly to your threshold standing at the gate
I breathed in a sweet breath that you had let go
And somewhere in the distance heard your echo
My soul began to tremble
You resemble every mercy I've ever known
Overwhelmed me so that I began to let it flow
My lenses started welcoming the guests of tears
And suddenly the world revealed itself crystal clear
Colors grew vibrant and the decoration vivid
In that very instant I knew every thing was living
Then they released and made their way down my cheek
And here I am at the beginning, starting to seek

All the beauty in this whole life
Is reflecting your light
Cool tears obscure my sight
It's the only way I see right
All the beauty in this whole life
Is reflecting your light
Cool tears obscure my sight
All the beauty in this whole life
Is reflecting your light
Cool tears obscure my sight
It's the only way I see you right
All the beauty in this whole life
Is reflecting your light
Cool tears obscure my sight
It's the only way I see you right
All the beauty in this whole life
Is reflecting your light
Cool tears obscure my sight
It's the only way I see you right",https://genius.com/Brother-ali-all-the-beauty-in-this-whole-life-lyrics
Dear Black Son,All the Beauty in This Whole Life,2017,"Dear Black Son, there's people you've never met
Who fear and hate you for something that you never did
And these people are so self-convinced
Sometimes they pull the trigger, call that self-defense
And in that sad insanity
Their fear is realer to them than your humanity
But that's their problem, it's not yours
Listen to your pop for a second
These are the confessions of a father broken hearted
Who don't know how to pull his only son out of a target
They lied when they said it was the bottom where you started
You were a king long before them ships departed
You are not defined by anybody else's crimes
You don't need to answer for what happens in their minds
You are not confined by their imaginary lines
You don't need permission to exist with the divine
In fact, you don't need permission from no one including me
You need not do anything but be, just breathe
Whatever you dream let it mean you're free
Tears on your cheek never made nobody weak
Sometimes we got to grieve let it burn, let it bleed
Then let yourself heal, pray to God that it will
You've got a spirit that a bullet can't kill
That doesn't make it any less real

They say it takes a man to raise a man
You're slipping through my hands like grains of sand
And here I stand, tryna wrestle with the hourglass
Maybe see how long I can make an hour last
Raising a man, who's slipping through my hands like grains of sand
And here I stand, tryna wrestle with the hourglass
Maybe see how long I can make an hour last
Dear Black Son

Dear Black Son, I can't protect you like I want to
I never judge you, all I can do is love you
And that's all anyone can ever do is love you
All I can do is wonder how can anyone not love you?
They recognize divine in you
So they try to find themselves by defining you
They're living in a myth that they don't want to lose
And now they're too terrified to face your kind of truth
But every single time you shine it's proof that they might've threw a chain around your body, never conquered you
They don't always honor you but they love your culture
Let me show you how to move when the laws approach you
It's best to keep your hands where they can see them
And try to understand that you're not even what they're peeping
They don't see a sweet kid that loves his little sister
Their mind is seeing five hundred years of pictures
In fact, they don't visualize a kid
They see grown man imagery, mythic masculinity
But you are not their fetishes or fears
Nor my ambition and tears, nothing can interfere
We've got to trust our seeds once we sow them
We hold them when they're growing
But we never really own them
We love up on them, play with 'em, pray for them
And cling very closely to them moments

They say it takes a man to raise a man
You're slipping through my hands like grains of sand
And here I stand, tryna wrestle with the hourglass
Maybe see how long I can make an hour last
Raising a man, who's slipping through my hands like grains of sand
And her I stand, tryna wrestle with the hourglass
Maybe see how long I can make an hour last
Dear black son",https://genius.com/Brother-ali-dear-black-son-lyrics
Uncle Usi Taught Me,All the Beauty in This Whole Life,2017,"Mm-hmm
Uncle Usi taught me
Can't teach what you don't know
Can't lead where you don't go
Can't reap what you don't sow
Can't fool the people no more

You know me I'm a globe traveler, soul ambassador
Reporting live from the world wide massacre
No mask for the truth that animates me
See it and I speak it wherever it takes me
I'm in the Republic of Iran at a conference
Talkin' 'bout the cops and their nonsense
And how they like to hunt black folk with no conscience
And how they want to preach human rights, its preposterous
Request from the audience spit that Uncle Sam Goddamn
Drawing out the round of applauses
I was rocking a capella before this
Because I know that rapping in Iran is lawless
Ahh sh-- you know me though anything for the people
The clapping kind of tapped in to my fat rapper ego
I fell into the trap plugged in my Mac and let the beat go
Didn't think that nobody would hear though, here we go

Can't teach what you don't know
Can't lead where you don't go
Can't reap what you don't sow
Can't fool the people no more
Oh, here he go
Can't teach what you don't know
Can't lead where you don't go
Can't reap what you don't sow
Can't fool the people no more
This is how it go

Friday we greet each other at the mosque
But here there's only one and the government preacher talks
Which struck me as odd but nothing could prepare me for
A big ass mob chanting ""Death to America""
It felt like somebody talking 'bout my mama, wait
It's all real but I'ma still feel some type of way
You mean the system and I'm with you on that
But you got to be more specific than that
You ain't talkin' 'bout the families getting whipped in the back
I'm trippin' cause I've never felt defensive like that
Okay so meanwhile footage of me spitting these raps
Is playing on every TV station they have
They jail people for that
The local rappers all start clapping back
Death threats all in my social media apps, hm
I started lookin' at the people that brought me here
Like, ""what the hell y'all got me on man I'm out of here""

Can't teach what you don't know
Can't lead where you don't go
Can't reap what you don't sow
Can't fool the people no more
Oh, here y'all go
Can't teach what you don't know
Can't lead where you don't go
Can't reap what you don't sow
Can't fool the people no more
This is how it go

This that international gang banging and
My homeland hit Iran with the sanctions
And my credit cards and telephone ain't happening
But I can't imagine a better land to be stranded in
Almost everyone that see me coming
Want to take me home and they trying to feed me something
But I took the last forty dollars that I had
And headed to the airport in a cab and there I sat
Starving cause there's only one flight a day
I can't even buy a ticket tryna find a way
Somebody seen me on TV and recognized my face
And let me write an email to my wife in the states
I'm in the airport three days, wondering if I'm even safe
Finally got a seat on the plane
Now imagine my exhausted embarrassment
Got back to America they interrogate me like a terrorist
Really?

Can't teach what you don't know
Can't lead where you don't go
Can't reap what you don't sow
Can't fool the people no more
Watch where you go
Can't teach what you don't know
Can't lead where you don't go
Can't reap what you don't sow
Can't fool the people no more",https://genius.com/Brother-ali-uncle-usi-taught-me-lyrics
Pray For Me,All the Beauty in This Whole Life,2017,"Somebody pray for me
(Bless his, bless his heart)
Somebody please pray for me
(Bless his, bless his heart)
Somebody pray for me
(Bless his, bless his heart)
What more could you say to me?
(Bless his, bless his heart)

The first day of third grade
Topic of discussion at the kick ball game
Is who's the new student why he look that way?
A eight-year-old expert determined I've got AIDS
A vote must've been taken, it became my name
I mean literally AIDS is my name okay
It made its way around the school and eventually
I heard a teacher try to catch herself as she yelled it to me
I tried to be invisible honestly
Wishing that the ground would just open up, swallow me
What kind of crime did I commit for this mockery?
Guess I must've lost some kind of cosmic lottery
How am I processing this at a baby's age?
It felt like I had a gut full of razor blades
I fantasized someone else would come take my place
Because they taught me to hate my face

Somebody please pray for me
(Bless his, bless his heart)
Somebody pray for me
(Bless his, bless his heart)
Somebody please pray for me
(Bless his, bless his heart)
What more could you say to me?
(Bless his, bless his heart)

Imagine how my mama felt
Obviously she want to offer me some kind of help
Pretty white lady never probably dealt
With this particular type of hell
If she dyed my hair blonde maybe I can blend
Get a better response maybe even a friend
She took me to the salon, put chemicals in my head
When they took the towel off, it was purple in the end
Lot of money spent just to get me presentable
Message that it sent, the real you ain't acceptable
I knew what she meant, what else could she expect to do?
That was just the lens that she viewed protection though
And so eventually I began to see that
What grows out of me is my dirty little secret
Had to go back every few weeks to keep it
I think that part depressed me the deepest

Somebody please pray for me
(Bless his, bless his heart)
Somebody pray for me
(Bless his, bless his heart)
Somebody please pray for me
(Bless his, bless his heart)
What more could you say to me?
(Bless his, bless his heart)

Thank God for the grown ups
That roll up when they know it's time to hold us
The elder queen showed so much homegrown love
She said ""hair doesn't die but your soul does""
She said ""Elvis wore his hair in a pompadour
So he could try to look like Muddy Waters more""
But he would fry his crown so that he could lay it down
Like a white boy they called it a conk before
Until James Brown came kicked down the door
Say it loud, I'm black and I'm proud my boy
That's the meaning behind the afros and all
Get free being what it is that you know you are
She said ""Beauty's the splendor of truth
You will never cut loose 'til you're suitable to you
And your living is the proof just let it do what it do
Now watch them follow suit and try to catch up to you""

Somebody musta prayed for me
(Bless his, bless his heart)
Somebody prayed for me
(Bless his, bless his heart)
Somebody musta prayed for me
(Bless his, bless his heart)
What more could you say to me?
(Bless his, bless his heart)",https://genius.com/Brother-ali-pray-for-me-lyrics
Before They Called You White,All the Beauty in This Whole Life,2017,"At what point did poor European people that used to rebel
Against the ones that forced them to work land they didn't own and die with nothing of their own
What was it that turned their hearts so that they'd start to identify with power even though they're powerless?
Identify with wealth even though they're broke?
It's the invention of whiteness

They call you white by white standards
Damn what they're talking 'bout, you man first
Stand and curse the dirty hand that first crafted the plan
Spread it through the land and shattered the damn Earth
This is sickest system that ever existed
Since this Earth's beginning commenced, it's twisted
How you convince man with red blood to bleed?
Completely devalue what a human being means
Nobody called themselves white several centuries ago
They were living off the land with the trees
They were Dutch, they were Irish, they were German
They were Greek with culture, families, tradition and beliefs
And rich blood suckers saw new soil to seize
And they ain't 'bout to get their hands dirty, cracker please
Swindled you to trade in your identity
Showed you pie in the sky and promised you a piece
With symbolic image in the scripture that you're readin'
White holy angels and black evil demons
You were so starving that you started to believe it
Now you'll die colonizing for somebody else's greed
Don't you see the overseers are still in the field?
Every breath a warden breathe is still in the jail
You will never own that farm or the prison for real
Terrified of the time when your victims rebel
Listen you don't fear them, you fear the blood on your hand
All the ugly you done to that man
That woman, that child, that land
That sea, that sky, that they'd look you in the eye
And demand that you tell them why
All them years whipping, and lying, and killing
Generations of poison, and bombing, and drilling
All designed to turn the hearts of your children to stone
Got post traumatic slave master syndrome
How the hell are y'all going to heal, be made whole?
You identifying with the people in control
You can't throw a human in the bottom of a boat
Unless somebody got a damn chain around your soul
In that middle passage asking who got stole?
A hot auction block where your blood ran cold
Every day a cop let them shots explode
You gon' have to find a way to regain your soul

I said the eye can't see itself
It can't sit back, critique itself, and peep itself
It need help
Take the sword for example
No matter how hard, it can't carve its own handle
Said the eye can't see itself
It can't sit back, critique itself, and peep itself
It needs help
Take the sword for example
No matter how hard, it can't carve its own handle

The inner city of our cities is like another country. The rules are different. It's almost like you need a passport there. The police treat people differently. When I lived out in the suburbs, if my car broke down on the highway and a state trooper pulled up behind me, I wouldn't have been scared. I'd have been glad. But young man after young man after young man had been beaten by the police and the only way you know, you've got to be with the people and we live separated. We go in air conditioned cars and we stick on your interstates and hang out with people just like us. Well, by God's grace, I was brought into this, and seeing how race plays a part and how poverty plays a part, and my job is to go out to the American people",https://genius.com/Brother-ali-before-they-called-you-white-lyrics
Special Effects,All the Beauty in This Whole Life,2017,"I don't want to see you in a screen
I want to feel you in the flesh and on the scene
I love all the words and what it mean
But it's so much to say in the spaces in between
I don't want to watch dots disappear
Listen here, first reaction is crystal clear
I want the uncut sentiment
Before you had a chance to second guess and edit it
I love you for the first draft you
All the technology on Earth can't improve
No special effects and no Santa Claus
Uncut, acoustic, and analog
A lifetime measured in breaths
The face is a mirror that the heart reflects
And when the eyes meet, they directly connect
And that's what you call true special effects

Staring at your picture hanging nicely on the wall
Longing to be near you because life is way too short
I traveled through the night 'til morning light broke through the storm
Just to see your face again, just to see your face
Staring at your picture hanging nicely on the wall
Longing to be near you because life is way too short
I traveled through the night 'til morning light broke through the storm
Just to see your face again

I don't want to watch your life in pictures
I'm trying to be right there with ya
We'll be so rich at the end of all of this
We can scroll through memories without any filter
I'm trying to share life as it comes
No timeline from the night to the sun
Crème de la crème and the crust and the crumbs
Type of love you can't type with your thumbs
Let me not hear your voice in a speaker
I'm tryna feel your breath when it leaves ya
Message received, you best to believe
Your real life friend is requesting to see you
I'm here to watch your story unfold
I don't really want to only be told
Everything I hold is pressed to my chest
That's what you call special effects (yes!)

Staring at your picture hanging nicely on the wall
Longing to be near you because life is way too short
I traveled through the night 'til morning light broke through the storm
Just to see your face again, just to see your face
Staring at your picture hanging nicely on the wall
Longing to be near you because life is way too short
I traveled through the night 'til morning light broke through the storm
Just to see your face again, just to see your face again

Into me you see, I see
Inherent in here, I hear
I give fidelity free
See my peers appear, my dear
Into me you see, I see
Inherent in here, I hear, my dear
(Just to see your face again, just to see your face)

Groove to the beat that free your mind state
Put your heartbeat on vibrate
In other words, what?
In other words, huh?
Move to the beat that free your mind state
Put your heartbeat on vibrate
In other words, what?
In other words, huh?",https://genius.com/Brother-ali-special-effects-lyrics
