title,album,year,lyrics,urls
Imaginary Places,Temporary Forever,2002.0,"I'm just here to hold your hand when you die
And to show you around imaginary places
Put money lumps in my bloody stump
And I will have a smile that's a perfect circle
Die in your sleep with the sky at your feet
I'll shoot you when you're happy, on the day that you will find peace
How do you do? I don't know I'm okay
Every person I know is a secret service agent
'Cause I'm accused of lewd conduct
Stole the heart of a prude prom slut
And they got the warrant for my arrest to put me in
The loony bin, the funny farm, because of what I did
But I'm just here to hold your hand when you die
There is not a single person who can do it better
No needle skippin in my ecosystem
But in the audience may be an evil Christian
HMO how I hate him so
But they charge me for a halo
But I'm on a scavenger hunt for a lavender chunk
Of the sky, maybe I'll replace it with a mud-pie
I play dead songs on the silk screen
Buy my shirt it is a killed dream
It is known to lead the way to the stairwell
To God's administrative office and a final farewell
I'm just here to hold your hand when you die
And to give your assault rifle a banana clip
Glow in the dark when I stroll in the park
Givin everybody informative pamphlets!
No sign of life for as far as I can see
Everybody's just charred meat up in the car seat
Eat shit and die to the secret spy
'Cause I have a funny feeling that I'm being watched
24-hour surveillance
Money or power are ailments
But I send the medical supplies and the shipping
And the handling is way too much, 'cause I'm from the Afterlife
I'm just here to hold your hand when you die
It's like I put a cough drop right upon your soft spot
Make Martian clothes out of your garden hose
Turn into a deadly gas blowin' through the air duct
She's not in love but I thought that she was
She doesn't love me 'cause I don't have the right haircut
I misunderstood, I should fix under the hood
But I will not apologize for anything that I've said
My name is Mr. Busdriver, this is the producer Paris
We are not embarrassed to admit that we will perish in
A pit of our own imaginary PLACE!
Kids, if you want to piss off your parents
Show interest in the arts
Kids, if you really want to piss off your parents
Buy real estate
In an imaginary place
Oh yes
Okay, okay, alright
Yeah
Now, move

I gotta do my shout outs now
Peace to:
I'm just here to hold your hand when you die
Paris and Daddy Kev, they'll also be there too
Just here to hold your hand when you die
Of Mexican Descent and Mums The Word will help you
Just here to hold your hand when you die
Freestyle Fellowship and Abstract Rude will help you
I'm just here to hold your hand when you die
Chillin' Villain Empire and Hip Hop Kclan too
I'm just here to hold your hand to die
I'm just here to hold your hand when you
Just here to hold your hand when you die",https://genius.com/Busdriver-imaginary-places-lyrics
Worlds To Run,Thumbs ,2015.0,"This slack-jaw mealy-mouth
I mumble when I'm 'round the house
I'm trying not to do no chores today
Crying in my underwear
I lost my sense of wonder there
No, I'm not Milan Kundera
Though this lightness is unbearable
The feeling is indelible
I'm wishing I could teleport somewhere
Transmolecularize
 
through the secular eye
I remember when Vegeta stomped Bardock's neck in
Two prayer hands to the heavens, good Lord, bless Him
I was a broke slob watching 
Ghost Dog
 writing Post Hoc
If I could muster just one good throat chop
And honor my shidoshi, 'cause 'dim mak' means 'death touch'
I been Spock, I been clutch
In thin socks, I'm butthurt
Impervious pervert with niggerish fervour
Crashing Linux server
Who didn't even change his laundry over
Who needs to buy toilet paper
Indie rapper, sorta faker
'Cuz I couldn't afford a mortgage or a Studebaker
'Cuz I couldn't afford a mortgage or a Studebaker

When you're deep in the raw
Everybody wants to get a piece of your heart
There's only so much truth you can keep in your bowl
Speak your piece, but words are too harsh

Overspoke my piece
I'm known in the streets
When you're deep in the raw
There's only so much truth you can keep in your jaw
(So what you saying?)
I can run the world from my mama's house
I can run the world from my mama's house
I can run the world from my mama's house
I can run the world

Every song responds to a threat
Every laundered dollar is wet
But if a mom’s like a song torn breath
But as long as I can ponder the depth
And the king sorta stinks of lunacy
I roam the rinks in sync with the jinx that are having me sink the moon and the sea
Bankers clink drinks as they uplink to the sphinx's coonery
I'm on the brink, I could fill my sink with the king's jewelry
Yeah, who is he? Driver—lion from a dead world
Sole practitioner of his customs and know the RPM of your head twirl
Driver old as fuck
My daughter old enough to vote
Rap songs blowing up on the coast
Loyal subjects rolling up that smoke
As I dictate terms from an ensnarled perch
Yeah, and Leimert Park is Winterfell
Rumors I learn to Splinter Cell and pitches sale from Mike's Citadel
Exact an explicit Hell
Empty the fire and sway
My music on Pirate's Bay as my elusive alliances fray
I collude with a silent clay and infuse a vibrant day
With a soothing eye in decay—putting food on the dining tray
Yeah, I can do this my way
Welcome home

When you're deep in the raw
Everybody wants to get a piece of your heart
There's only so much truth you can keep in your bowl
Speak your piece, but words are too harsh

When I was a younger man
I could feel the entire world
But now that I'm older...

When you're deep in the raw
There's only so much truth you can keep in your jaw
(So what you saying?)
I can run the world from my mama's house
I can run the world from my mama's house
I can run the world from my mama's house
I can run the world
When you're deep in the raw
There's only so much truth you can keep in your jaw
(So what you saying?)
I can run the world from my mama's house
I can run the world from my mama's house
I can run the world from my mama's house
I can run the world",https://genius.com/Busdriver-worlds-to-run-lyrics
Ego Death,Perfect Hair,2014.0,"Yeah, no, I understand what you're saying, but... is it sexier than torture?
(shah, yeah, Los Angles)
(Under the cellulite laden thigh of the night)
(Yeah, oh shoot, lemme see if I can finish this)
(Okay, lets go, yeah)
(We can make this better (x3))

Under the cellulite laden thigh of the night
I slip miniature mantras between my cries and gripes
Jewel-flavored crystals in the red, blue, and white stripes
While crowds throw numbers at me like The Price is Right
And downtime is never met with an overjoyed grin
Cause sleep and death have always been conjoined twins
You'd rather lick the red gills of pop art
Than your cement-filled pock marks
The withering tendrils from my wrought heart
Reach for a Benadryl like it was a lost ark
Cause my average day is for the body of aegis, they're prompting these sieges
We cry to these seniors, living inside of splotchy Adidas
Serving consecutive sentences
My corrective lenses is ruby quartz
Yet my vision ain't worth a jiggling of booty warts
Circumstances trap writers like Kathy Bates
Under a decolorized happy face
So my car ain't covered in candy paint
But still the nanny state can't fix the diaper rash
I'm pinging this on a cyber cast
Questioning news items playing pattycake with Ira Glass
The fact that this pony show's racist
Stirs the colloquial cake mix and charges the homeostasis
Of all the homies who await us like we some Smokin' Joe Fraziers
But my unchecked whining's like some ceremonial plate shift

We can make this better, but we're not, yes we will
We're just looking for something inside us to kill
We can make this better, but we're not, yes we will
We're just looking for something inside us to kill
We can make this better, but we're not, yes we will
We're just looking for something inside us to kill
We can make this better

Before long, boil the bones
A little celery chop
A little pepper, a little milk of the poppy
Little posse in effect
Analog mono-poly Man'o'War
Walloping the auto-poly avatar
Mind on his Mallomars
Money on the iron lung
Clumsy with the can of worms
Usher you behind the sun
He shoots he whores, truly stupid troubadours and elders
Stock the shelter with frijoles and blueberry New York Seltzers
Roll up in a pa-diddle like a doofus
Hit the corner like the devil is a cubist
I'm ruthless, the sigil is dog with a cone, feeling foolish
Seven hells calling all foreseeable futures
Be it obtained culprit
Crippling migraine and strange stomach
Or a stray bullet through his gray mullet
I am ivy up the god damn lattice
March to the math rock
Raw, no cartoon mascot
The Mario pajama bottoms clumsily rappelling
Under a gibbous moon
Hunting for shitty food
Gunning, too tough, embedded in bad magic
Duckboy, shit is quacktastic

I'm not done yet
I'm not done yet
I'm not done yet
I'm not done yet

We can make this better, but we're not, yes we will
We're just looking for something inside us to kill
We can make this better, but we're not, yes we will
We're just looking for something inside us to kill
We can make this better, but we're not, yes we will
We're just looking for something inside us to kill
We can make this better

Rap Marilyn Manson, about as hot as a Vanson
With two hoodies on the beach with two bitches crump dancin'
Rappers put your bets in, last man standin'
Bars hit so hard you ricochet off the planet
The motherfucking hybrid, tell Miley Cyrus text me
When I holler to her private I'm tryna get them privates
Parts, don't start, take heart like Kano
Remember when I told to you niggas drink all the Dran-o
Pop all the pills, take all the lines
Chop through a window with some sawblade blinds
Back on that shit, guess what this time?
Half a stick of dynamite where the sun don't shine
Any nigga disrespecting, chin check 'em 'til he's slinky-neck
Blowing dope, eyes low and chinky like I'm Mannie Fresh
Countdown to extinction, no nigga not Megadeath
So many dead rappers, can't even take baby steps
Walking over carcasses of artists in my garden
Been nice with this shit since Nas was writin' past the margin
Any nigga wanna start it, I fuckin' beg your pardon
I'm with arson, I'm the firestarter; Prodigy invent the art
Smack my bitch up in the mouth with my dick
And it's not domestic violence cause she likes that shit
There's no sentence to describe it, homie
Except she sucked it like her fucking life depended on it

We can make this better, but we're not, yes we will
We're just looking for something inside us to kill
We can make this better, but we're not, yes we will
We're just looking for something inside us to kill
We can make this better, but we're not, yes we will
We're just looking for something inside us to kill
We can make this better

Aes Rizzo ain't got that perfect hair
Danny Brown ain't got that perfect hair
Driver ain't got that perfect hair
Jeremiah Jae ain't got that perfect hair",https://genius.com/Busdriver-ego-death-lyrics
Me - Time (With The Pulmonary Palimpsest),Jhelli Beam,2009.0,"Me me me me me me me me me me me me me

They paint their vulva beige
Bleed a cola keg
While I plan to ruin GOP motorcades
For these senseless zines turned censored scenes
I earn a soldier's wage
So I broke your legs
Threw you rollerblades
Because you claimed that the OG was overpaid
For pointing M-16s
At grenadine
Coursing through the pollster aids
I need my water brush
In the economic crunch
The financiers are seeped in embalming slush
And the sexist machines
Express the means
To re-appeal Roe vs Wade
So I gotta demode the dark matter
On the spring-loaded park plaza
Who is in charge?
I don't know
They all eat their business cards
I'm a hack at deer shooting
Know Vladimir Putin
While I wear this cashmere pantsuit thing
I can knight the spokesman
So Ibuprofen
Becomes your golden egg

Automated voter readytellers are the subsequent heavy seller
In the pool of undecided registry
Because they don't give a fuck about the findings on a troop surge
It's a moot point
What have you heard?
Bumbling idiots for news correspondents see the desperate need to form a new foreign policy
Yet they give their credence to the pro-war pandering
As we all squabble over Saturn's rings
Regimented doubletalk undercuts the pertinence
Of our corporate heads trying to run away with tax cuts
In their vestables, the evangelicals are tent-poles
Begging the Head of State
""Deregulate the gross!""
Happy ever after
Benefactors all settle matters
The senate gathers to celebrate the fat fuck's
Inability to give a single solitary hoot
About the proletariat
Their merriment is gross
What does this mean for you though?

You nigga's looking gee'd up
Rolling in a Prius
But I gotta give my money management a C+
With my foreclosed home
And pork bowl loans
I revisit the need to grind
I'm dating Russian fem-bots
Sipping on some hemlock
Cause I got overdue billing on my desktop
When I've been overthought and undercooked
That's when I need me time

Me Time (repeat)
Well, I need some me time with the pulmonary palimpsest
Watch the banks merge, liberal thinker
Because now the middle finger is the California state bird
If you ain't heard",https://genius.com/Busdriver-me-time-with-the-pulmonary-palimpsest-lyrics
Werner Herzog,Arguments with Dreams,2008.0,"How could you call yourself the best rapper
You in a cover band that’s playing Sledgehammer
In your cupped hands is pet hamster
Your genitals are sitting on wet pampers
Holdup while I test this red snapper
Militant like a pledged Panther
I hunt big name nigga, I collect antlers
And you got bitch problems, breast cancer
Hellfyre Club we the wrong set to slander
We’ll make you eat a crepe filled with Chia pet dander
And I always stay on the set with cameras
I go Herzog, nigga you dead like Dirt Dog
All you movie-making lames in the booty-shaking vein
On the moving gravy train are left in excruciating pain
Because I’m in the house, you be like “which house?”
I make Witch-House up at your bitch’s house
Wearing nothing but a Speedo and a pig snout
Y’all must have pricks and ovums
Jocking me like I’m Chris Nolan
My scathing critique of your shit leaves your script molten
Because you want to drive porches through the Waterloos
Have a home like the 
Fortress of Solitude
So on-set to snort shit through a hollow tube
But at the end you’re just gorgeous piranha food

He's Herzog, I'm P.T. Anderson
At your premiere I snuck 3-D cameras in
I bootlegged your shit for the downtrodden
Cause you got your film degree at a clown college
You use brown polish, like a white racist
And shoot titles in 
Sans Serif typefaces
Take ten paces, and yell ""Fire!""
I nail you to a big board like Mel Kiper
No secret, I'll tell you why I smell wiser
I got a bunch of girls pregnant cause I sell diapers
And I'm a god-damned genius
The Marc Maron
 a dark-skinned art baron
Smart like lucky kids who get born to smart parents
Who feed them locally-grown farmer's market cart carrots
I eat fair trade cheese and fart fairness

I...go...Werner...Herzog
I...go...Werner...Herzog
I...go...Herzog
Which means I get large spread art cred smart heads are fed

Skip the introduction, buddy I'm not mingling
Hoes on my dick cause I look like John Singleton
Cut like Tarantino with his big-ass machete
Once I read my notebook, word to Nick Cassavetes
Twelve frames, half a second, Clockwork, Stanley Kubrick
A rap session I'll put my nose in, I can't be Buddhist
I learned my lesson, I'm really a savvy student
But dark like Tim Burton, and look fit like a thin person
But I'm just a happy human
Before I see a stupid rom-com with a nice chick
I might get, the right grip, to set up a light rig
Attach a 
GoPro
 to the po-po's nightstick
And assault him with an icepick -- and ask him how he likes it
Excuse me -- unhhh -- my swag sharted
I feel like Shaft with a shag on shag carpet
These rappers aren't factors they're actors with no SAG cards in
They think they're the truth but they that gossip rag garbage
Written shit or freestyle, homie I'm that murderous
Remember me? I used to enter them rap tournaments
Breaking niggas' spirits like a bag full of glass ornaments
Well bitch it's time to eat now, show me where craft service is
Thinking out loud like an introspective extrovert
If I play the background I'm directing, not that extra work
Bust that 16 but I decided to put in extra work
To make them strippers drop it super mega-low and extra twerk
Rappers say they don't hate, but most of 'em do
I feed off it like 
Vigo in Ghostbusters 2
I can roll up your crew, or throat-fuck your boo
Whatever transpires is so up to you
Lights Camera Action
The whip is fully covered so I might have to crash it
Getting southpaw HJ's from a right-handed ratchet
The airbag deploys
The credits start to roll
How anti-climactic
...
Hellfyre",https://genius.com/Busdriver-werner-herzog-lyrics
Much,Thumbs ,2015.0,"Um, who the fuck are you talkin' about if you ain't talkin' about us?
I go so deep, you know we don't sleep and I been awake for months
Going too dumb is our rule of thumb so, who is such and such?
My homies doing too much
Suit up, boot up, you what
You know we doing too much
You know we doing too much
You know we doing too much
Now you know all about us
We doing too much, now you know how to go like this

Imagine, the day you win, they gonna say you way too lit and exchange it quick
Recall the awkward dude who I once was
They stretch that swagger into metadata in the rumor mill
Now you got your syndicated show and your movie deal
But ladies say your music kill, but you can't pass no background check
And you may have a boarding pass to hop up on that outbound jet
But you're doing too much
Let me show you how to
With a little artful solo we can all play Marco Polo
With the creation myth, the bits between your ears ain't jailbroken
You may be doing way too much when executives say you suck
In the deal memo, in short hand, while the tour van got the tail smoking
The propagandists hate all this literary zest, and, my itinerary's in French
Because my past commentaries, that shit's incendiary at best
And you was each and every sense
And I'm the reason why you walking out
The only thing you talk about

Um, who the fuck are you talkin' about if you ain't talkin' about us?
I go so deep, you know we don't sleep and I been awake for months
Going too dumb is our rule of thumb so, who is such and such?
My homies doing too much
Suit up, boot up, you what
You know we doing too much
You know we doing too much
You know we doing too much
Now you know all about us
We doing too much, now you know how to go like this

And now you on the honor roll on the roll so you bricking jumpers
The unemployed black astronauts are out there stripping Hummers
But it ain't no big bummer, Barbara's the actress and mixing colors
But it's not like I grow weed to turn up all my Biofeed
I'm a wild steed
And I'm just doing all of my favorite stuff
And I'm doing too much
I may dislocate my rotator cuff
And I'm doing too much
I'm probably gonna get these Gators scuffed
I can rap so pimp, tax exempt
Whoa
Me branching out is tantamount to an overflow, I played electric blues in dress shoes on the corner store, so spread the news
Checking some coffee brand I end up getting body scanned
On the way into Nottingham, they've criminalized my negritude
I'm just doing all of my favorite stuff
And I'm doing too much
I may dislocate my rotator cuff
And I'm doing too much
I'm just doing all of my favorite stuff, yeah

Um, who the fuck are you talkin' about if you ain't talkin' about us?
I go so deep, you know we don't sleep and I been awake for months
Going too dumb is our rule of thumb so, who is such and such?
My homies doing too much
Suit up, boot up, you what
You know we doing too much",https://genius.com/Busdriver-much-lyrics
Ministry of the Torture Couch,Thumbs ,2015.0,"I just really wanted to be included in the conversation
My nigga, let me give you my thoughts on the matter

My introduction at the party was ""Who be that?""
With small talk littering conversation with booby traps
Chewing fat with political theorists busy reviewing stats
They're going home to niggas committing unruly acts
But not getting fitted for no Uzi straps
Just keeping the hoodie mac and the doobie wrapped
And never reflecting on how we truly act
They're screaming out that shit
Until the motherfucking tubing cracks
Cause it feels like a military coup in fact
But had to bring Paul Mooney back to give y'all the point of view
Of a threatening black man,
 cause these legislators get paid for the
Booty claps so I gotta bring the kufi back

So take a breath, take a step, take a leap
I'ma take these motherfuckers straight up out their seats check
Reach for the sun, I shoot from the hip with teeth in my gun

Remember when we were radicals out there fanning them flames
Rooting out injustices in our family names
Cops measuring our grave plots in candy canes

I motion to leave the party early
But held down by my sleeves, it's like a mild birthing
Pushing past the ledge to know I'm not free
Wonder if they'll remember me?
As something more than a centerpiece
Or a choir boy for the simile
For the four-fours, for the entropy
Like the chorus was always a friend to me
In migrant visions though -- my mind was a cash box
Followed behind grandpa in black socks, wild at heart
He smoking KOOLS, 'til the day of the locust -- moved
Him barely unfocused -- blue, but when I concentrate I'm scary with truths
Half-remembered from my ones and twos and fours of my past lives
A pastor in knife fights, a bastard, a light brite
I'm just babbling but what I found is our self-worth has been rooked
The truth we pull from our subconscious
Just won't read it in books

So take a breath, take a step, take a leap
I'ma take these motherfuckers straight up out their seats check
So just reach for the sun, I shoot from the hip with teeth in my gun

Don't you remember?
Remember us
Let me tell you about it
Remember when we were radicals out there fanning them flames
With a mouth full of reading and a tummy full of grain?
Don't you remember?
I was there with you
It was different then
We sung the old folklore, we sung the Goodlife hymns
My nigga said this one, and I repeated it. It goes:

Fuck a cop, fuck a cop
He's ready to drop a cop
Fuck a cop, fuck a cop
I'm ready to drop a cop, he says
Fuck a cop, fuck a cop
I'm ready to drop a cop
He's ready to do what you're ready do to but he's
Ready to drop a cop

I wasn't ready to do it, I was studying music to make y'all pop your top
Showing steady improvement, I calibrated every step of my awkward walk
I’m off of the coverage I’m combing the undertow, “where are ya wonder crops”
I'm celebrating all the over-medicated veterans indefinitely to have a better understanding
Of General Lee, and how he felt about the universe
 and generally
The same sentiment of bus unions, may categorize some blacks as sub-humans
We don't get down like that, the criminal intent of how I act
Got me discussing paramilitary tactics with a leftist weirdo on the census bureau
The crackling kinetic energy around them French braids comes from the planet's furnace re-purposed
For the hustle's various inertias I put the workers in burkas
For the political Whirling Dervish
My nigga free jazz's finances have overloaded them circuits
It's tedious selling them inebriates for the CIA achievement list
The edited gagged that failed Confederate flag draped over the petri dish
I remember when I was oblivious, a tight wad with an iPod
But then I got pulled over by them cops and got rolled up by the vice squad so I'm like
Fuck a cop, fuck a cop
I'm ready to drop a cop
Fuck a cop, fuck a cop
I'm ready to drop a cop, like he said
Fuck a cop, fuck a cop
We ready to drop them cops
Down a few levels off our importance in society, nigga

Yeah
Woah
Goodlifers
Los Angeles
Nigga I'm floating in the sky above everyone
Fuck a cop, fuck a cop
I'm ready to drop a cop
Fuck a cop, fuck a cop
I'm ready to drop a cop
Off the elemental table
Disable all of them motherfuckers and hook them niggas up with a USB cable
Right in they navel
Fuck a cop, fuck a cop

Let me show you with teeth in my gun
Let me show you with grief in my puns
We were different then
More in touch with each other
We spoke more often
We were more likely to go back home",https://genius.com/Busdriver-ministry-of-the-torture-couch-lyrics
Somethingness,Temporary Forever,2002.0,"Now this…this Busdriver name. What exactly are you trying to say? Are you trying to say that you're reaching out to your fellow underclassmen, your fellow proletariat, you're trying to bring them into the light?
(I'm saying nothing.)
I mean now, when you mean nothing, you don't mean 'nothing'! You mean it in a kind of existential, nihilist, Nietzsche type of way? I mean, tell me what's going on. Explain to me, brother. Explain to me
(Nothing.)

All I wanted was insurance and a dental plan
But ladies and gentlemen
All they do is grow daisies at a mental can
Get a job!
Easy for you to say, you're a member in some rap group, but at least I stood for something
I'm a baby in a trash hoop who's good for nothing

Now, upon buying this album you've done three things:
Proven that you're a hippie counterculture sun chaser
And proven that you're unaware of your contribution to my fundraiser
For me to rule the world, and you want to join the club?
To get a renewal, you need a referral from a previous employer
But we know you're a schoolgirl who needs a devious lawyer
To prove otherwise in a court of law. Get this nigga a sport's bra!
But that's besides the point
You've also proven that mundane tasks to you are like slave labor
So you don't do nothing
If you were in grave danger
Your problem wouldn't prove sudden
And went inside to wake up early you at the alarm clock and the snooze button in
If you were stranded on a deserted island you would probably farm crops and stew food hunted
You inspected all the fun and you laugh, thinking if things go according to plan
In the song, you'll be subordinate in a tanning salon
Wearing a white shirt, with cold air freezing
Drinking soft drinks, yet dying of thirst, but for no apparent reason
Well, what are your plans today? Well, I'm certainly not gonna do any of the house chores
But I think I'm gonna dabble and do up my dissertation that I'm gonna present to Al Gore
With an unpresentable mouth sore
About 'nothingness'
[
Cuts
]

There's nothing
Nothing that's better for enhancing the chance of being empty
And it'll hold a certain mystic freedom
And freedom is in a hole that people fall and die in

Record full of nothing but a bebop, an amoeba auction, a hummus falafel
A dick in the H in the Haitian abated
Graffiti verbatim preventative medicine
Preventing hip nethers I get up in her venery heaven
Adam and Eve are having a meeting with a cat so…so
Soulful with a bowl-full of no, no, no
Nothing…ever happens, here's a leather napkin
Riding on a killer wildebeest in the wilderness
Of the Middle East and back to Italy
To set this scene of nativity in the hills of Mississippi
With a dollar-fifty and a bottle of whiskey and a woman to bake me some biscuits and a little piece
Of Feliz Navidad, you never had a dad
So Tenenbaum or MacDonald after Ramadan
Fast enough to catch me placing those splashes, vagabond
Don't be laughing, you David Hasselhoff in a castle box
Castlevania building pencils in Pennsylvania with the stencil stain you'll love
End of the verse, so hand me your purse
I'm the one that you will see at the Italian Hill near you
See, I like at the opera where a life is a death, and I see that…the death is near
( And on a basketball court backboard is the head of a deer)

There's something I wanna tell ya
It's been eating me from inside out
Let's make it a point to get together sometime soon
And we'll talk
Come close enough so I can whisper
I've been meaning to tell you that
Oh shit I forgot what I was gonna say
Never mind

Hear my tummy moan!
´Cause I spit up all my vom, but you know I gotta get a muddy gnome from puppy cones
Before they know these songs are full of absolute nothingness
And contrary to popular belief, our lucrative rate is in grass root cuttingness
From CD duplicates burning I don't hatch bad news and a money clip
But I have a tumor, as seen of a baby's mother tit on the mammogram
A dozen mother ships plan to land, so I could melt the demand with heat-ray gun
Instead of going to midnight mass with DJ Run
Or rich white trash sedatives house a plum substance
In a pipe that announce me and cancer as husband
And wife, but I think I'm gonna get a second opinion
(our blood analysis finds there's nothing wrong!) so I'll get a third opinion
(there's nothing wrong with you)! It's just that my words are swimming again
I'm drowning in my swim trunks doing cover songs with Alvin and the Chipmunks
Holding a thousand pistol grip pumps sounding ""get crunk!""
At your grandmother's house doing nothing

""Go back to Compton, you dirty nigga, we don't sell watermelons here""
Is what I yell at the white folks on the way to gun show once a year
Nigga, some of my best friends are white, and I love mud sharks just the same
Except for the ones that come from Africa and got 'Johnson' for a last name
Darth Vader, Rhetoric, Earl Jones James, by the way
What's another name for shit-colored in German? Take a guess
Melanin
, 
you illiterate knuckle-dragging ethnic thief two-fifths of a person
Civil servant, welfare undeserving, never own a suburban
Home, I hope they raise the rent so high
The crack money you make couldn't buy you better property curbside
In the game of monopoly you would advance to Run (not Boardwalk)
You hide as her pitch-white map cause your corn-fed pig wife gave you penis-envy over the pony in the barn
Fuck you and the horse you rode in on. Bestiality porn (don't watch it)
Defecation porn (don't watch it). Shit-face drunk from cow-tipping last night
Your version of crackery is reminiscing on an umbilical cord before you had to pay for the rock and hit the glass pipe
Yeah, let's talk about civil rights. A 'spic straight from the chop-shop put together wrong'
If ever there was a Mexican Transformer he would be a lowrider named 'Wetbacktron'
Con artists hit the stopwatch and let's play a barbed wire game
Of turntable hopscotch in the form of a swastika

There's something I wanna tell ya
It's been eating me from inside out
Let's make it a point to get together sometime soon
And we'll talk
Come close enough so I can whisper
I've been meaning to tell you that
Oh shit I forgot what I was gonna say
Never mind
 (Busdriver)
All I wanted was insurance and a dental plan
But ladies and gentlemen
All they do is grow daisies at a mental can
Get a job!
Easy for you to say, you're a member in some rap group, but at least I stood for something
I'm a baby in a trash hoop who's good for nothing",https://genius.com/Busdriver-somethingness-lyrics
Motion Lines,Perfect Hair,2014.0,"Stand, pause, turn, turn
Stand, pause, turn, turn
Stand, pause, turn, turn
Stand, pause, turn, turn
I'm gone
After you said what you did
There ain't no way I'm coming back
Spill the wine
Return the gifts
I'm out of here

(Let me explain)
(Let me explain)
I don't want to ruin your ball-gown
Because I'm not feeling law-bound
You can probably coffee-grind by body-mind into a psychotropic compound
An ice age will thaw before I'm able to play ball
Your cryptic texts aren't state law
Yet read like an algebraic scroll
But I know you're gone
After that gut wrenching shout match
And my out of whack palm read, got me on leave
In this outback with some lounge act
But don't crossbreed with my ennui it's a mousetrap
For the besmirched and weakened
I'm like a jerkhead telling you to twerk for the church of England
My advice stay so socratic, don't panic if I'm looking like a dope addict
Because I'm depressed as shit
Knowing that my capricious lover is a migrant bird
Your absence caused quiet stirs
That progressed into a violent dirge
Of victim blaming and miscellaneous quips to prove that my discourse's boyish
I had my heart explained to me
I was drawn to quarters by hoarse voices
But you forgot to listen to me when I said

I'm impossible to love and cannot keep an open mind
So you left me where I was
Shredded in your motion lines
(x2)

We never touched on it, touched on it
What we left
To be in love and treated love like a brush with death
We never touched on it
(x2)

This shit is depressing, man. Get over it
Slice at the knuckle where the mind bends
And I become a motherfucker fucker times ten
Crisis all look enormous when your body suffers a sugar shortage
I'll cook a swordfish or prep any gourmet platter to stimulate your gray matter
Girl, this rap shit left me worse for wear
And I ain't got that perfect hair, my love feels like a cervix tear
But you kissed me by my desk light
Cause you're looking like my next wife
Cause you're looking like my next wife
Cause you're looking like my next wife
I'm here burning midnight oil
Soaking gravitas into cotton swabs
In return I get tight coils of human waste as toothpaste
Oh I get it, I'm old news, a motherfucking brontosaurus
And to think that I invited you to my underwater forest
A thousand fuck-you’s sprung-loaded in a balled up fist
I open my palms and my eyelids become two devolved pussy lips
And I deserve it",https://genius.com/Busdriver-motion-lines-lyrics
Retirement Ode,Perfect Hair,2014.0,"The chef used during the seven days in which Perfect Hair was recorded cost roughly
Everything
Oh shoot (yeah)
Driver!
Ohh

Hi, I'm Regan
I don't rap for free
And listen I’ve got a bachelors degree, but you knew that, come on
And still you never would admit how sick I've become
This year my pigment’s bluer
What am I, a crip from hoover?
Oh no, It’s a malignant tumour!
Oh, I knew it. Come on!
And still you never would admit how sick I’ve become
(Second Interlude)

This is ""Perfect Hair"" by Busdriver
It costs .146 million US dollars to make
The musical accompaniment on tracks 5 through 12, cost 6000 euros each
The backup singers used on tracks 1 through 3, cost 3500 US dollars per take
The studio time at our home studios cost half a million Brazilian reals per lockout session

I'm a frequent flyer
And a decent liar
And that's a lie in itself but you knew that, come on
And still you never would admit how sick I've become
I eat my food raw
Grew up bourgeois
Now I run game like a cue ball
But you knew that, come on
And so you'll never admit how sick I've become
I'm not a cool dad
Nor a new fad
I'm my daughter's own private enigma, come on
And still she never could admit how sick I've become
I'm dope as fuck
I know what's up
And I did not blow up but you knew that, come on
And so you never would admit how sick I always was

My clothes are dirty
And I'm over thirty
And you can't quit me cold turkey but you knew that, come on
It's about time we've admitted how sick this has become
I'm no one
And everywhere I only breathe heavy air
But you knew that, come on
Why can't we admit how sick this has become?
I used to wake up at noon
To punch the moon
And fuck my life in her puncture wound
Come on

Come on",https://genius.com/Busdriver-retirement-ode-lyrics
