title,album,year,lyrics,urls
They Reminisce Over You (T.R.O.Y.),Mecca And The Soul Brother,1992,"(I reminisce, I reminisce)
(I reminisce, I reminisce)
(I reminisce, I reminisce)
I reminisce, I reminisce
Uh! (I reminisce, I reminisce)
Yeah (I reminisce, I reminisce)
(I reminisce, I reminisce)
(I reminisce, I reminisce)

I reminisce for a spell, or shall I say think back
Twenty-two years ago to keep it on track
The birth of a child on the 8th of October
A toast, but my granddaddy came sober
Countin' all the fingers and the toes
Now I suppose you hope the little black boy grows
Huh, eighteen years younger than my mama
But I rarely got beatings 'cause the girl loved drama
In single parenthood, there I stood
By the time she was 21, had another one
This one's a girl, let's name her Pam
Same father as the first, but you don't give a damn
Irresponsible, plain not-thinking
Papa said chill but the brother keep winking
Still he won't down you or tear out your hide
On your side while the baby maker slide
But mama got wise to the game
The youngest of five kids, hon here it is
After 10 years without no spouse
Momma's gettin married and a house
Listen, positive over negative for the women and master
Mother Queen's rising a chapter
Déjà vu, tell you what I'm gonna do
When they reminisce over you, my God

My God
It's so
Yeah, so lovely
That's how we like to do it in the 90's
Pete Rock & CL Smooth comin' atcha

When I date back I recall a man off the family tree
My right hand Poppa Doc I see
Took me from a boy to a man so I always had a father
When my biological didn't bother
Taking care of this, so who am I to bicker
Not a bad ticker but I'm clocking pop's liver
But you can never say that his life is through
Five kids at 21 believe he got a right too
Here we go while I check the scene
With the 
Portuguese Lover
 at the age of 14
The same age, front page, no fuss
But I bet you all your dough they live longer than us
Never been senile, that's where you're wrong
But give the man a taste and he's gone
Noddin' off, sleep to a jazz tune
I can hear his head banging on the wall in the next room
I get the pillow and hope I don't wake him
For this man do cuss, hear it all in verbatim
Telling me how to raise my boy unless he's taking over
I said pop maybe when you're older
We laughed all night about the hookers at the party
My old man standing, yelling ""Good God Almighty""
Use your condom, take sips of the brew
When they reminisce over you, for real

For real, baby
Like that
We for real
Comin' atcha
In '92
Pete Rock & CL Smooth
Yeah, c'mon, hit me!

I reminisce so you never forget this
The days of way-back,
 so many bear witness the fitness
Take the first letter out of each word in this joint
Listen close as I prove my point
T to the R the O-Y, how did you and I meet?
In front of Big Lou's, fighting in the street
But only you saw what took many time to see
I dedicate this to you for believing in me
Rain or shine, yes, in any weather
My Grandmom Pam holds the family together
My Uncle Doc's the greatest, better yet the latest
If we're talking about a car, Uncle Sterling got the latest
I strive to be live 'cause I got no choice
And run my own business like my Aunt Joyce
So Pete Rock hit me, 'nough respect due
When they reminisce over you, listen

Listen, just listen
To the funky song as I rock on
And that's word is bond
I'm not playin'
Everybody, just coolin'
This song we dedicate
To the one and only
Never be another
He was my brother
Trouble T-Roy
It's like that y'all
And you don't stop
Pete Rock and CL Smooth for '92
And we out, later",https://genius.com/Pete-rock-and-cl-smooth-they-reminisce-over-you-troy-lyrics
The Creator,Good Life: The Best Of Pete Rock & C.L. Smooth,1991,"It's time to dip dive dip, you might break a hip
To the sound that's legit, I've come to make a hit
I usually bust scratches with my brother, C.L. Smooth
But, I decided to get wreck on this groove
As I provide the slide you're going on a ride
I know the weather's nice, there's no need to play the outside
Guess who's on the flyer, the man of your desire
Pete Rock and C.L. Smooth all the honey-dips admire
Beats are rough and rugged, Pete Rock is the creator
Now I'm busting raps while switching cross-faders
Making sure my sound hits from here to Grenada
Honey gave me skins, man, I told her friends I ate her
But, wait up, I save this subject for later
But, it's time to get wreck with the creator

I'm addicted like a stoag, not into vogue
(Yo, Pete, there's a girl on the phone)
Tell her to hold cause I'm busy kickin' rhymes to the rhythm
Fortified with soul cause that's what I give 'em
Honeys form a line form a line cause I always seem to capture
Beats made of rupture, rhymes made of rapture
Far from illiterate, always seem to get a hit
If you try to step to this, don't even consider it
Skins when I want 'em, but, only when I need 'em
To set the record straight, I'll be damned if eat 'em
Call me Pete Rock, I make the girls flock
And if you want a beat like this, I got them in stock
So, flow with the flow, because you know I'm good to go
As I proceed to get wreck on your stereo
Not an imitator, just a crowd motivator
But, it's time to get wreck with the creator
Now, C.L. Smooth, cut it up like this
(scratching)

Now, I'm'a take a try and get a piece of the pie
If they give me one sec to get some wreck
Never filled with anger, a good body banger
If you try to step to this you'll get hung on my hanger
Before I say good-bye suckers gave a good try
But, point blank you just can't see this
My word is beneficial, Pete Rock is the issue
And I know you know my style is official
I might give a scratch (Yes, cousin)
Or I might kick a verse (No question)
Either one, I can't be seen, honeys call me tall and lean
And if you want to stick around, I'll show you what I mean
Not an imitator, just a crowd motivator
But, it's time to get wreck with the creator
It's time to get wreck with the creator
Get wreck with the creator
The creator
C.L. Smooth, get busy",https://genius.com/Pete-rock-and-cl-smooth-the-creator-lyrics
Take You There,The Main Ingredient,1994,"Never judge a book by the cover
Discover the soul brother with the Mecca don
Working brunette to blonde
How many Edison con when I respond in full black
With us having the vernon villains back-to-back
Amazing grace when I face the great paper chase
For real its long overdue
So I dont wanna talk to you
I stroke the hell out of mademoiselle who insisted
Every night, she get her back twisted in the unlisted
Im living through my son so daddy see it this way
I want him in the NFL, his brother in the NBA
No doubt I'm with a piece, down in mecca, all crazy
To the late Eve, none of this is make-believe
I breathe some of the most powerful lyrics of our century
Battle physically, conquer mentally
Essentially, youre dealing with a Mecca affair
So anywhere you wanna go yknow, Ill take you there

C.L., whatcha gonna do?
You know you can make me move
Over, over again
Come on and take me there

Control now so in the future see me calling the shots
From larger plots to cash to mini-bikes and open mics
Im blowing up spots for knots in the millennium years
And now I drop it on my peers, brings tears and fears
And now the question manifest in my only
My soldiers wear Versace or the army fatigue
That brings a world of intrigue and glamour to my arsenal
Of gods, pimps to players and layers of decepticons
My whole mind-state gravitate to weapon
Making people in the business get a misconception
It aint hard to the core, it aint sex on the beach
Its just another plateau the brothers have to reach
Emphatic with non-cypher, then we were broke and misguided
Try to gas me like Hitler once we get divided
No question, youre dealing with a Mecca affair
So anywhere you wanna go, Ill take you there

C.L., whatcha gonna do?
You know you can make me move
Over, over again
Come on and take me there

Set it so I can make em all respect my fame
When brothers try to count all my chips in the game
Now let me civilize your foolish acts of gunplay
The plan of a stick man, the price in how to get away
Chose for negroes, the most hypnotical flows
On the planet, another East Coast track rose, goddammit
My theme, to mainstreams the knocker
Only time I get writer's block is when my lucci's on lock
Pretty much Im coming through in the clutch see
My thought is a bombshell, built to only propel
Or is it just my style of hustle making a mark
To rumble the playgrounds with more danger than Jurassic Park
It was dark, when I brought it to the light, for spite
My staffs got me taking nothing but champagne baths
Now the aftermaths dealing with a Mecca affair
So anywhere you wanna go, Ill take you there

C.L., whatcha gonna do?
You know you can make me move
Over, over again
Come on and take me there",https://genius.com/Pete-rock-and-cl-smooth-take-you-there-lyrics
Searching,The Main Ingredient,1994,"You're everything that I dream about, talk about
Walk around and brag about, cause I don't give a damn about
What they say, what he say, or she say
I'm addicted like drugs to your loving, but hey
You got me strung like I'm young and it's crazy
You're making me nervous, I don't deserve this, 
I'm Swayze
I wish I could be but you really got a hold on me
With your sex appeal, I'm telling you how I feel, shit is real
Now I don't really want to play myself so I say to myself:
""Self get a grip and don't slip""
Cause I don't want you to think I'm some clown from out of town
I get down, I've been around, I ain't no hand-me-down
So you gotta show respect for me if you're checking for me
And don't sweat me cause I really don't want no sweat on me
If you got it, good, flaunt it
You know what it takes and you know how I want it

(I know how you want it) Don't tease me, just please me
(I know how you want it) Now what you gonna do when you get it?

Everybody knows you and they show you mad respect
You give me funny feelings with your million-dollar step
Never quiet is kept, honey always stayed dip
I'm thirsty for your love, sugar can I get a sip?
Well maybe just a taste in the place that make your face bend
And I would never try to kick it to your best friend
So what's the deal, what's the haps, where we at now?
Keeping it strong, moving it along, I'm here to show you how
So all I wanna know is what you really wanna do
I try to flex but sex ain't sex unless I'm sexing you
And I'll be swimming in some trim with a beachfront view
Cause all I wanna do is get next to you
Now leave your crew so we can step into my hideaway
So I can step into it right away
If you got it, good, flaunt it
You know what it takes and you know how I want it


Before you sit back and think I ain't saying nothing
You need to sit back and think about what I'm saying
Now relaying, my carmel flow
So you can see the arrow fly before it leaves the bow
Slow like Cupid, taken from a mobster
At night I crack her open just like a lobster
(My CL Smooth) It's all good baby
Now you know why I'm stressed when you act shady
Sometimes you chit chat, now and then hide the cat
When all I wanna do is just flip that
But there's a side to me only you can see
Only you can so believe in your man
I want you to love me in a special way
When I come home from making lucci to parlay
If you got it, good, flaunt it
You know what it takes and you know how I want it",https://genius.com/Pete-rock-and-cl-smooth-searching-lyrics
Lots of Lovin,Mecca And The Soul Brother,1992,"Lots of lovin, lots of lovin

A sweet serenade, sip lemonade
As we laid inside the shade
My heart was captured when you possessed it
Carressed and blessed it, even suggested
You love me and I love you
And together, it would just be us two
I would protect ya, in your moment of fear
Relax, lover come here
And let's create this heavenly fantasy
When you lay next to me
I need you, and only you, to give me more
Tender love right down to the core
If you could read what's on my mind
You will find my feelings are genuine
Day after day, you're the one I'm thinking of
With lots of love

Lots of lovin, lots of lovin
Lots of lovin, lots of lovin
Lots of lovin, lots of lovin
Heat, the heat

Some say the blacker the berry, the sweeter the juice
Make love everyday, okay, produce
I ride through the tunnel of love, share a milkshake
Carve our name in a tree by the lake
Look in your eyes cause I miss you much
The way you say, ""I love you, C.L."" and your gentle touch
We reminisce with a french kiss
And out of all the girls, you're the first on my list
The only one now, and truly for life
My fiancée and future wife
Now you realize, you're the one I'm thinking of
With lots of love

Lots of lovin, lots of lovin
Lots of lovin, lots of lovin
Lots of lovin, lots of lovin
Heat, the heat

You want to be treated like a queen, stroked like a kitten
Every night you're the mitten I'm fittin'
Tease your lips with the tip of my tongue
And there's no doubt about it, lady, I'm strung
On your love, looks, and affection
You qualify, top choice selection
Woman of a darker breed
Mmm, cutie, you got what I need
Pour the champagne and toast the glass
Taste, but don't drink too fast
Cause we got many nights to cuddle by the fireplace
You blush when I touch your face
Now you realize you're the one I'm thinking of
With lots of love

Lots of lovin, lots of lovin
Lots of lovin, lots of lovin
Lots of lovin, lots of lovin
Heat, the heat

Allah made you beautiful and youthful
So I feel giving you love is suitable
A walk by the beach, watch the sunset
Love is strong, like when we first met
Wake up in the morning, see your face
And I feel no one can take your place
Ever, so don't even think about it
I need your love and I can't live without it
Baby, you're the one I'm thinking of
From C.L. Smooth, with lots of love

Lots of lovin, lots of lovin
Lots of lovin, lots of lovin
Lots of lovin, lots of lovin
Heat, the heat",https://genius.com/Pete-rock-and-cl-smooth-lots-of-lovin-lyrics
Straighten It Out,Mecca And The Soul Brother,1992,"Uh, yeah. Uh-huh
We got Pete Rock and C.L. Smooth
And we're here to tell you to...
And that's a fact, baby
Now you're gonna kick some lyrics
Like this, c'mon...

Walk the fine chalk line, and put the needle to the grind
Representin' one kind, seeing eye for the blind
Witness what I carry on bears a further purpose
From how we do slam a few, then you want to purchase
A dialogue of funk, you love to pop it in your trunk
I win, 
more disciplined than a Shaolin monk
Pete Rock and C.L., well set to spark it
The powerful target to destroy the black market
But when you say black, listen, I don't know, you lose me
I guess another beggar can't afford to be choosey
I come to the maximum, artist on a major label
Any duplication of this one is fatal
On one two five, I gotta hit ya live
Beat your ass with my tape, any race or shape
Cuz if they got mine, they got yours too
But together here's what we gotta do

Tell 'em... straighten it out
Ah, yeah... straighten it out
You know this is the word (say what?)... straighten it out
That's right y'all... straighten it out (say what?)
You got to... straighten it out
Everybody must... straighten it out (say what?)
Straighten it out... yeah
Straighten it out... it's like that (say what?)

The funk legacy I pass on, clearancy for high rates
Every time we sample all the past time greats
Stick it in the SP-1200 beat, I make a loop
Lovely, way to troop in a Lexus coupe
Just a little bit, set to make a whole lot happen
The musical inside my rappin'
Written by the C.L., produced by the P.R
And add in any credit that you heard thus far
I start from scratch, cuz the bassline's critical
Better than the original who first made it
Now you want to sue me, but fans never boo me
Believe I know the times, we been broke, too, G
Here's another sample clear, see ya, get the hell outta here
Like a bootleg, you're over for the year
You'll only get the credit where the credit is due
So, listen, what I shout out is true

Yeah, true... straighten it out
You gots to tell 'em to... straighten it out
(Say what?)... straighten it out
You got to tell 'em to... straighten it out
(Say what?)... straighten it out
That's right... straighten it out
C'mon (say what?)... straighten it out
That's right... straighten it out
Straighten it out (say what?)

Like the strands of lamb's wool, I'm thinkin' that's said
Here to go to the head and count the locks on a dred
I and I'd 'mit to verify, goin' to multiply
A theory many thought a conspiracy
Here to let you know that it applies to all of us
You're no exceptions to the rule and that's a plus
Cause who Jah bless, let no one curse
Straighten out what I be about, reckon above the clout
And let the management work for me
Because I don't need the unnecessary hostility
A proper marketing plan so we can gobble up the dough
Straighten it out, so everybody know
The kids are official with the purpose of a smooth surface
Kickin' the service one time to make 'em nervous
We're finally here and very long overdue
Pete Rock, this one's for the crew

You gotta... straighten it out
Everybody must... straighten it out (say what?)
You gotta... straighten it out
Everybody must... straighten it out (say what?)
Straighten it out... you got to
Straighten it out... c'mon (say what?)
Straighten it out
All black people must... straighten it out
Say what?

Straighten it out
Everybody must... straighten it out
The YG's, they must... straighten it out
The Hilltop, they must...straighten it out
The whole money-earnin' must... straighten it out
Everybody must... straighten it out
Come on... straighten it out
Ah, yeah... straighten it out (to close)",https://genius.com/Pete-rock-and-cl-smooth-straighten-it-out-lyrics
For Petes Sake,Mecca And The Soul Brother,1992,"Here come's the rugged one, bust the way I flip it
I collect the loot and then I knock the boots
A smooth dark brother, prefer to be called the chocolate lover
'Cause I can do wonders undercover
I'm dip-dip-dope, I rhyme like riz-ope
I cleanse like soap, cause it's the great black hope
Stay away from the penile, I can rock the senile
Hons always wave cause slick like Nu-nile
Pete Rock on the boot knock, on the boot knock
Plus the way that I flow...blood clot
Mm-hmm, mm-hmm, yeah...
So funky, like a street junky
Like I said before, here we go, c'mon...
For Pete's sake I break and update, wait, I radiate
A dubplate to navigate the tune I make
I fit like a slipper, so catch the Big Dipper
Vital signs are quicker, not the flat line picture
Showtime original, official with the smooth criminal
I hit the cliches on the subliminal
With the soul technician to fill the prescription
In addition listen close to the mission
The P.E.T.E.R.O.C.K., resume
With the route to Brut by Faberge
No doubt, to shout about a 20-bar segment
Offspring of lyrics when the microphone's pregnant
Give it a rubdown, now here's the sermon
Everywhere you go you hear Mecca from the Vernon
Pound for pound, uptown, I get down
And bound to spin the record like a merry-go-round
The klepto flow that I touch is not a preemie
And who would ever see me when I dream of Jeanie
I don't think so, peace, I gotta go
And shake like an earthquake, cousin, for Pete's sake
To my man...
Here come's the rugged one, bust the way I flip it
I collect the loot and then I knock the boots
A smooth dark brother, prefer to be called the chocolate lover
'Cause I can do wonders undercover
I'm dip-dip-dope, I rhyme like riz-ope
I cleanse like soap, cause it's the great black hope
Stay away from the penile, I can rock the senile
Hons always wave cause I'm slick like Nu-nile
Pete Rock on the boot knock, on the boot knock
Bust the way that I flow...blood clot
Yo, my style's cock-diesel and I can do the hustle
Niggas know the time, I don't have to flex a muscle
I'm not the type to fake it, I wouldn't try to take it
Tie your girl to the back of my Jeep butt-naked
Slide her monkey ass down the hill
So if you don't want beef, money, chill for Pete's sake
To my man...
Music please...
(C.L.) The Mecca's sweet like nectar, maybe 'cause you need it
There's a ribbon in the sky, but I wonder if you see it
In the days of thunder, notice how I suplex in the proper context
Here steps the one, the answer to the riddle
Survey says the black pres can make you wiggle
The staff to the craft, the stroke of a painter
Perfect stranger, melody arranger
Loopholes are filled when I build with the skill
Liquid steels the mic on the Rock's chill
No financial aid wade when I'm paid
Deep as the Everglade, the escapade a renegade
Study in the archives, place your bet, sonny
Head crack back to back for the bail money
For you, a chapter, slayed by the author
Lickin' on your daughter, say, south of the border
Now, here we are with the funky repertoire
Draw warm like a spa, star, forget all the hoopla
C.L. Smooth and Pete Rock
Could break and penetrate, piece of cake, cousin, for Pete's sake
To my man...
For Pete's Sake, c'mon...
To my godson little CL rock the house
And Dafo rock the house
And To my brother Grap Luva rock the house
And B.I. rock the house
To the YGs rock the house
And the hilltop rock the house
To my man Black Jay rock the house
And Groovy Lou rock the house
To my man Walt G. rock the house
And Ronald B. rock the house
And G.O. rock the house
To my man Rob-O rock the house
And David Tisdale rock the house
And Terry Steele rock the house
And Eric Coleman rock the house
And Alan A. rock the house
To my man D.O. rock the house
And Rude Rudy rock the house
And Derek Coleman rock the house
And Nick T. rock the house
To my man Mike Daddy rock the house
And Joe Black rock the house
To my man J Steel rock the house
And everybody rock the house, signin' off!!!
Peace",https://genius.com/Pete-rock-and-cl-smooth-for-petes-sake-lyrics
In the House,The Main Ingredient,1994,"I'd like to...introduce myself
Check it out and give me my 'spect
Check it out and give me my 'spect
Check it out and give me my 'spect
Check it out and give me my 'spect

Hit the lights and I appear beyond the stratosphere of Meccable function
And if you're pretty let your lady sleep in Carmel City
Begin and end the day on Lennon hunts for beachfronts
To lit blunts, now all agreed we're sippin OJ with the Dom P
Bounce and bring it like it counts to be Luccified
CL is sextified and women spell me nationwide
You say you want my lips where and I can grab your what?
I love your hips legs breasts faces with the firm butt
Now feel the muscle when I hustle in the bedsheets
Cause my manly treats can hit the fridge for more sweets
SPLASH, and let me do my thing til it's hot and sweaty
Reload the CamCorder, I guess by then you'll be ready
Cause All My Children got One Life to Live
But knockin wifey out the box is clearly a negative
I'm in rugged wears with fancy facial wears
And all the real shit come in pairs, and bounce em in the house y'all

Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house

Back again, I'm here to win, to bust rhymes on beats again
Copycats and rugrats, sit back and watch a champion
It's time to wreck shop and show the world I'm true to hip-hop
So check the style and peace to niggas in the penile
Now umm, it's the original Funky Chicken tactic
I run game on your brain for the fame cause I'm active
You try to follow in my footsteps, you can't do it
I'm pullin your card it ain't hard, I don't have to prove it
It's Pete Rock and CL Smooth to the utmost
From coast to coast, the music makes you overdose
You fiend, for the gangsta lean, I makes you scream
Rugged Bro Soul on the scene
A.k.a. the funk doer, numero uno, that means
Number one I get the job done plus I pack a gun
So run, and tell your peoples you'll be on the lookout
It's all about ""Who's in the House?"" with the funk

Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house

Money up steps the new era of my lyrical terror
Funkadelic for lightin up spots ever since little tots
When the dust settle I'm packin heavy metal plenty
The drop'll slaughter many, strictly off illegal entry
It's elementary Watson, I drive a Benz not a Datsun
Before my kicks hit the stage, we've been Foot Locking
Body rockin to keep the ladies flockin with a concoction
Rippin your blouse for no less than arrest in Morehouse
My teeth grits where my knife slits, we train em
And scar em like pits, off vibes of the Mecca joint
Vibe to position, never runnin out of ammunition
Now to the heart, I'm steppin with a concealed weapon
Nothing's calm when the bomb blaze you know the phrase
It's Pete Rock and CL Smooth knockin nowadays
Eastside kid, you don't want none, so catch a relay
I'm lettin off on anybody tryin to steal my DJ

Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Check it out and give me my 'spect
Check it out and give me my 'spect
Check it out and give me my 'spect
Check it out and give me my 'spect
Check it out and give me my 'spect
Check it out and give me my 'spect
Check it out and give me my 'spect
Check it out and give me my 'spect
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house
Pete Rock is in the house, C.L. is in the house",https://genius.com/Pete-rock-and-cl-smooth-in-the-house-lyrics
Carmel City,The Main Ingredient,1994,"Let me take you on a journey through Carmel City
Where CL's God, and the ladies gotta hit me off
Ballin on the set now baby what's the matter
When all this is Hot Sex served on a platter
Enter my flow so I can hit this show with somethin rugged
It's mainly how all the honeys dug it
Like every single day and, bounce around the way and
Chicks are never waiting when the bodies start marinating
We expand in player's land to unknowns
To turn my stumbling blocks, into my stepping stones
The pound Donna Karan New York down found
Where there can be no type of slacking in your macking
The whole agenda is for me to decide; the major hustle
Is God, when brothers coincide, with the bonafide
CL Smooth, you know the Mecca Don
Where love is only for me, in Carmel City

C'mon y'all

Top notch, butterscotch, lyrics hits the mode
To make the most gorgeous women wanna get nude
Your eyes stay glued, when this is popping word is bond
Wifey's gone, now I'm about to get my swerve on
Lay my clothes across the bed, cause I'm here to make a point
Plenty chips, got me balling in a hot joint
Respect the sextafied aura you could never take light
It's like bringing a knife to a gunfight
My large releases got me mixing with the dimepieces
And down to rival one of Uncle L's little nieces
In my palace of pleasure, everything is done properly
And if you didn't know, you better ask somebody
Right now, the players are the power structure
Check the roly-poly, now it's time you see the brother
CL Smooth, you know the Mecca Don
Where love is only for me, in Carmel City

It's freaktacular, wasn't hard to get em out the blouse
If only wifey knew, hubby got a stash house
And what moves your man got with so much emphasis
Maybe one or two many get ridiculous
So scandalous, the honey arrives with her crew
And now they're talking bout coming back without you
Yeah my boys are balling, here's the raw deal:
Come to my house, you gotta get naked for real
Indulging, my peoples said let's have a talk
About the time my lady's plane hit New York
I'm bailing off the set, heading for the crib G
Cause I'm the first thing the woman wanna see
Take a hot shower, slip on some linen
Now it's a new time, a new day, a new beginning
CL Smooth, you know the Mecca Don
Where love is only for me, in Carmel City",https://genius.com/Pete-rock-and-cl-smooth-carmel-city-lyrics
Return of the Mecca,Mecca And The Soul Brother,1992,"To know the truth is to know the self
To know the self is to know the Mecca
Mecca's not a state of mind or a place
Mecca is a way of life
It is the answer to all confusion
The attribute
Adolpho, Abdullah, Mohammed
Makes way for the return of the Mecca
Salaam

Return of the Mecca

Be sure to explore the hardcore that came before Columbus
Discover no other serve the soul on a dish
Okay means official kid, not decrepit though
The lyrical dynamo set the flow when I do so
Entice the price with the mic device
Hit ya slice so precise that you never hurt twice
Fierce how I pierce when you near the frontier
A world premiere so put the armor on your gear
The overlord aboard with the two-edged sword
Adored and restored, now the young gun toward
Preserve the herb, never kick it to the curb
Vocalize a verb, and the return of the word
Mecca, the reincarnated selector
From the whole agenda, something to remember
A richer voice than Robin Leach
I'll reach with a speech, no bleach so you can't impeach
Monumentally smooth, I'll prove it sincerely
To barely when you're near me clearly never sound weary
Maintain the gravity, assault and battery
So sweet the repeat you're bound to catch a cavity
My ability to wreck a facility
C.L.'s potential, smooth and sequential
Deep in every measure, hit the lotto for the beggar
The midnight wrecker, return of the Mecca


Overstand the Mecca in command
Part of the plan is the man who built the land he began
A scripture ripped out the piece of a scroll
Better the know yes, a foretold, the beautiful and bold
Start em in Harlem with the motto, the Apollo
Boogie to me, I'll swallow hollow when you follow
Stable like a turntable, lyrics I cradle
No fable, label or run my tongue around your navel
You're coming to me so therefore the program's Mecca
The silhouette, a weirder fella, darker than vanilla
Talking about the theoretical, isometrical
Alphabetical rebel, a dissect-the-devil
Unveil a tale in detail, the third rail
Read it in braille, a bigger male leave a trail
Now I sink into the link, that'll make you think
You's too large to shrink, I need a drink
And toast to emperor, Mecca said to invent
To know of a child, worth your while so surrender
And never to be lobotomized, the flexin' of the stanza
But you know the answer when I drop a proper grammar
Tabasco, the Late Show, flow to make a peso
I manage to do damage so honey, get Macco
Risen from the prison, the division, Black and Decker
Strictly for your pleasure, return of the Mecca



OD off the black Baryshnikov
Taking it up north, back and forth, never been soft
Bound to see me swollen like a Beethoven
Listen wide open, never toking, do or die's my slogan
Save the sarcasm, I'll hit you like a orgasm
Back off of that and maybe later let you pat em
Necessary for any adversary to worry
The legendary, primary, never secondary
Dip in Peru, overdue in Honolulu
Now if you knew the preview, could bubble like shampoo
Outclass the mass so we'll look in the hourglass
No time to waste for those in contrast
Like the New York Philharmonic, sent to blow melodic
With the logic I hear like a narcotic
Put your best to rest, so get your bulletproof vest
I got the wild, wild west to your chest
You know the cause of death, so forget the autopsy
Another got sloppy so I lit it in poppy
Smooth as Peabo, with dough like Lillo
For the grand finale I slip on like a Bally
C.L. and P.R., categorizing we are
The soul brother, Mecca lover, funky by far
The classic fantastic, rip it like elastic
Here to get drastic, return of the Mecca",https://genius.com/Pete-rock-and-cl-smooth-return-of-the-mecca-lyrics
