title,album,year,lyrics,urls
Takeover Freestyle, Diplomats Volume 1,UnKnown,"When it comes to these guns my men'll clap this
Bullets I will send you access
I'm about to Reynolds Wrap this
School all the haters, blue is the gators
Do me a favor dawg don't do me no favors
I've put undercovers, under covers
Not only that I put guns to mothers
Sons and brothers, aunts, nieces, nephews
Cousins to in-laws, no one's above us
Guns in Ruckers (Ruckers) now no one can duck us
Your parents ain't shit, y'all the sons of suckers
Son of a bitch, I sell the slugs
Keep a shotgun like Elmer Fudd
You could tell the judge dawg
I sat in the cell with thugs
One year and eight months still felt the love (no homo, all good)
Act drastic killa, pack plastic
You rap black bastard get your cap clapped backwards
Round ice, I'm as nice as Gretzky
Dug Lewinsky NC like Mike Krzyzewski
Bomb missions, Saddam vision
But I send you a tape of your sister and your mom kissin'
My dick that is, see how I foul them bitches is
Four minutes they gon' lick my kids
But no presents, keep your Rolies
I don't want you to teach me or mold me
I don’t need you to hold me, lease me or loan me
Ma I ain’t gonna feed you a phony
Keep it as homies or leave me alone B
Apologize?, I’m not sorry
I done came through got my jollies, undercovers say not the Ferrari
Yes he did do a part in dolly
What color he get? hot tamale
Who in the car with him, Oh my god its Hollys
Robinson and Berry, Fuck Eric Benet
Send slugs wherever you stay
Matter fact have her back, she was just used
She get married every two years the bitch is confused
Come to ice, I get it in cubes
Tried to get another bracelet, my wrist just refused
Bout time that I get at you dudes
If you wore size 30 couldn’t fit in these shoes
That cokey though, it fit in these shoes
Fuck the okie doke, opinion and views
Why you runnin, I’m gunnin, your linen is through
Bust you onion, a bunyon, any limb you can lose
I spit rounds, to cut kids down
And I sign to the Roc man don’t suck dick now
Dame looked out signed a gem
It’s all creme de la creme, now run tell a friend
Cats say how I get out my deal?
Dawg I pulled out my steal, I’m bout it for real
I ran in the Sony buildings
Smack grown folks around like they were only children
No one outta line, cause they spotted nines
I want out an y'all sign on the dotted line
Word homie I ain't kidding you hops
Only one to leave Sony without getting dropped
I’m about getting Glocks, I’m about hittin blocks
I’m about findin bitches that’s about lickin cock
Niggas ballin but they hoop game is sloppy
Dudes ill knock me, coupes ill drop me
Ask Luca Brasi
Before I come the mood be groggy
I hit four five, Hallelujah Papi
Yo I’m tryin to get through to Papi
I’m paying thirty-four and I want two from Papi
So you think you loc, we locer
You got that diplomat tattoo
We like coastra nostra
It’s perpetual, sit up in correctional
Come through shoot up a precinct like The Professional
Jim Jones get indicted just let me know
Put up the house buy the perico
We movin down to Mexico
Yeah there they won’t mention me
Call Tavisia we need new identities
You want Santiago
I’m Jose Perez, down there they don’t know them heads, shit
Who don’t think I’m the Don of Dons then bet me
Shit the way I bomb Saddam respects me
R-O-C, runnin that rap shit
Cam’ron, runnin that crack shit
Santana, runnin that gat shit
Beef nigga? that’s it, we come through and clap quick
Jimmy Jones, believe me that’s it
Fuck with Zeke you know you get slapped, bitch
I’m downtown, Gucci or Sack Fifth
Tripped on and licked on and yes by a bad bitch",https://genius.com/Camron-takeover-freestyle-lyrics
Funeral,1st of the Month Volume 1,2014,"I'm at my man funeral (funeral x2)
Looking at his girl cry (girl cry x2)
Preacher sayin' he a good man (good man x2)
Man, that's a fuckin' lie (fuckin' lie x2)
I'm at my man funeral (funeral x2)
And I'm wearing all black (all black x2)
Wanna tell his mother that (mother that x2)
""Your son was a fuckin' rat""

I wish that I could be like (be like x2)
That's what I was here to say (here to say x2)
For two years he wore a wire (a wire x2)
So we all here today (here today x2)
Then I seen his paperwork (his paperwork x2)
It was hotter than Tobasco (Tabasco x2)
And all I could think about (think about)
Was Don-(Don, Don, Don) Donnie Brasco
I spit it out like tobacco ('bacco x2)
We gon' have to kill him, yo (kill him, yo x2)
Cause I'm more like the Sopranos (Sopranos x2)
(Who you talkin?)
I'm talking Tony, Paulie, Silvio
Looking back it was lots of cream
But circle back, this is how I dream
How your man gonna plot and scheme with the government
They lovin' it
Just shot my team
I'm cooler than Pac though
When he say
""Man, somebody shot Raheem""
I'm at my man funeral (kill 'em x2)
Looking at his kids face (kill 'em x2)
But he the one that did it to 'em (kill 'em x2)
Man, what a fuckin' waste (kill 'em x2)
Then I see his baby mom (baby mom x2)
Sayin' that she stay the strongest (strongest x2)
I'm thinking like sure, yeah right (sure, yeah right x2)
She be fuckin' talkin' for the longest (the longest x2)
(Word)
They think I went to school with 'em (didn't x2)
I thought that I knew the fool (knew the fool x2)
I really feel bad for 'em (bad for 'em x2)
But that nigga knew the rule (knew the rule x2)
Every meetin' that we had done (we had done x2)
No snitches we stayed (we stayed x2)
He had me on fire (fire x2)
Now he gettin' cremated
He gotta leave Earth, yo (Earth, yo x2)
We ain't doing burial (burial x2)
Ten shots to the face, man (face, man x2)
Oooh kill ‘em, TerRio (TerRio x2)
Be glad we did it this way (this way x2)
Cause my dog still bark (still bark x2)
We gave him back to the family (family x2)
His status would have been milk carton
Yeah, you know that Lost and Found (Lost and Found x2)
Where they never find shit (find shit x2)
Ain't nobody see a damn thing (a damn thing x2)
That Stevie Wonder blind shit (blind shit x2)

But I'm at my man funeral (funeral x2)
I'm at my man funeral (funeral x2)
I'm at my man funeral (funeral x2)",https://genius.com/Camron-funeral-lyrics
Other Side,1st of the Month Volume 1,2014,"I can show these hoes the other side
Where these niggas spend they rent
Give these bitches them hood dreams
New Coupe so I show the lean
I can teach you bout the other side
When they shake it we blow it
Grab those clips up and load em'
Can't find your bitch we the ones they going to

I grew up around the animals
The cannibals and hannibals
So if I act up understand its understandable
My father died from AIDS
And nowhere was his health
I don't care fuck him he left me to fend for myself
He smoked angel dust
And my kitchen was funky
Tried to tell me what to do
I don't listen to junkies
Two pieced him at Nana crib his tooth was broke
Then  start selling the shit my momma used to smoke
It ain't easy here
Trust me it get greasy here
Grizzly
And I ain't got no grease for my peezy hair
My uncle Bill the Thrill
Tried to get me to box
But my uncle called
He would get me them Glocks
My uncle Ted though
He would get it in flocks
My uncle Steve robbed banks and he shot at the cops
Caught the murder charges
Attempts too
This is what I can do


Ain't nobody pulling no book out
Before we book we book out
My niggas shoot up don't cook out
This barber steal my look now
is still my partner
Sug is still my stickman
Bret is still my barber
In other words my hitman
He'll clip a nigga
You know click the trigger
It gets no bigger
You beg to differ
I'll rip a nigga
Flip a nigga
Let the coroner
Zip the zipper
We don't murder cats
44 long, ever heard of that?
I'm swerving back to MIA
I need some of that Turbo Tax
Sak pase!
My Haitians let me eat
That home invasion shit
Don't ever go to sleep
In my pocket though
44k
Fuck the hired, I'll take shorty for that short stay
She ain't beef
She ain't never mad
That's the best three hours that she ever had
Murder charges
Attempts too
This is what I can do",https://genius.com/Camron-other-side-lyrics
Put It In The Sky,1st of the Month Volume 1,2014,"Kill em's good, nigga
Time is now, man
Was real good, nigga
It's been a while


Ride around, trunk full that funk, call it that parliament
Shit go for 60 a brick, I got a lot of it
Glock 9, thirty shot clip still filled with hollow tips
Get up in the booth, put the beat on and knock the molly shit
Dope came straight out the jula, like polishin'
Watch them niggas that's close, know who you ridin' with
Never get caught in between, know who you sidin' with
Watch all the bitches you fuckin', know who you slidin' with
Pussy all slippery, wrist all glittery
One five one is the mob where my niggas be
Rest in peace, Train, we gon' ball in yo memory
Fifty blunts o' sour, a gallon of the Hennessy
Slow medicine, like I got the remedy
Niggas find link, they pay the penity
Niggas get hit with the gun that killed Kennedy
New rafe and side color, cinamon grint - cuss

This shit is tough, mane
This shit it tough, mane
This shit it tough, mane

I put it in the sky (that money)
I put it in the sky (the weed)
I put it in the sky (that money)
I put it in the sky (the skunk)

Shit, if ya down, let's get it, I ride around wid it
No quarters or halfs, I'm moving by the pound wid it
Then I sit at home, gettin' dome
Bird chirpin' on the dick, that's a chicken bone
Started touching shiz-shit, I sell this shit alone
Took her from first to third base, so I sent her home
You be happy to be me, much as sassy as Ree-Ree
But every mornin', man, , you happy to see me
I deserve this life, I come from hot things to murder knife
Shoot-out, knife fights, you heard it right
From a hell tale to gosh children, I'm hellbound
ATF, CIA, FBI, DOH, what the hell now?
DT's, DA, DEA, feel like hell solo, spellbound!
It's the circus stuff, so I deserve the clown
But I'm a show closer, hell, I'll blow ya curtains down
 + ",https://genius.com/Camron-put-it-in-the-sky-lyrics
Talk About It,1st of the Month Volume 1,2014,"Call the doctor up, the jewels sick
Front get confronted, the tools grip
My gun stay long like a pool stick
I don't need it, I could kill em with a toothpick
Like a bad hand, no prob. folding em
Make em a golf course, 18 holes in em
Like a Jamaican shirt, 28 grams I could make it work
Straight to work, like amber stay alert
'Fore I creep up behind you
Won't see me coming like the swine flu, huh... times two
Remind you I'm way way worse
Like the FK, AK, trey 8 first
I tell mami ""ohh display your purse""
Treat my dick like a sprite obey your thirst
Walk in the weed spot, Louie shirt, g-shock
Lennox Ave to d-block, we hot... oowww

My mom had 3 strokes, fell hard
No sympathys, flowers, get well cards
All swell god, no lost love Ak
She driving again, put her in soft spot
Gotta thank Tito Poppin, off top
Got her medicine, vicodins, cough drop
Now I'm back out, niggas jaw drop
Girls dras drop, glass say fuck em all ock
Hit em hard rocks, right in they soft spot
January 2nd until the ball drop
I don't lobby for more props, I'm something that ya'll not
Porsche hot, out in the ball park
The faucet leaking, I don't play with leaks
Song get played early, break his teeth
I'm a fuck the nigga up that made this beat
Two piece, dope fiend, straight to sleep

I'm a keep it a hundred, these niggas don't want it
Either a head shot or a bullet to the stomach
If you live, you'll never fully recover from it
If you die, we gon pop bottles 'til we vomit
And nah, we don't wear diamonds, we roc comets
My money came illegally, fuck it at least I'm honest
Finally bout to leave all the bullshit behind u
So right now death is the only thing I can promise
40's and the lamas, we hitting everything except the shorties in pajamas
Shooting in the Miami heat, like Chalmers
Slugs make you feel like you rocking leather bombers
Somebody call the coroners, I'm a hustler did numbers in the drought
You at your moms crib for the summer on the couch
A lot of niggas suck, nothing to figure out
They put themselves in the hole, want you to dig em out",https://genius.com/Camron-talk-about-it-lyrics
So Bad,1st of the Month Volume 2,2014,"I really thought we could've worked it out
Even gave us the benefit of doubt
But we couldn't stop playing around
Didn't understand, but I do now
Sometimes I wish that we could get it back
Because everyone deserves a second chance
But we can never go back like that
It's a shame how our good thing turned so bad
Too bad, baby
So sad
Look at all that we could've had
Just too bad

Yo, baby
Let me rescue you from the residue
I don't know what the rest'll do
But this is what the best'll do
Take you to a better view
Do things we never do
Pleasure you, treasure you
Don't skimp and measure you, girl
And they scrutinize cause you get the coupe to drive
But you caught me cheating and in stupid lies
Yeah we argued a little -- no need to pout, mama
I changed, I ain't about drama -- Scout's honor!
And you forgave me; that's why I behaved, b
You don't have to bathe me to love that you gave me, it's gravy
Grade me -- would I get a A, B?
Maybe you my lady, but you my baby


Yeah we made love; man, I wish I ain't acknowledge ya
(Wish you ain't acknowledge me?) Wish I ain't acknowledge ya
Acting like drugs -- if I do, I would have bottled ya
Bitter on Twitter, following my followers
And I don't like a follower, uh
I heard enough complaining
You getting chilly, I'mma let it burn, Usher Raymond
That's where game was served
, 
let me explain my words
You like a app in my iPhone, a angry bird
Screaming Cam name cause I do the damn thing
Forget a low down dirty, it's a damn shame
Cause you a thug cutie, Louis, snug booty
Ooh-wee, but the attitude on Judge Judy",https://genius.com/Camron-so-bad-lyrics
Soul Plane,1st of the Month Volume 2,2014,"....I could tell you how a female fake a nut for a relationship
Or how a nigga fake a relationship for a nut
How a smart nigga can play stupid but a stupid nigga can't play smart
But I'd rather just tell you about me and the things I do...You ready baby?

Got the fiends dancin, like Soul Train
Stamp on the dope, Soul Plane
They losin hair, get em Rogaine
Sell Kung-Fu, nothin like Coltrane
To keep you informed, won't catch em in a uniform
Before that, you'll see a unicorn
I blew the horn
Two girls hopped in
Oh-ten nine-eleven, homie I'm boxed in
Don't start a mess, Ima architect
Ya bum ass shirt stink, it need Carpet Fresh
White tee, Louis jeans, my Audemar the best
Two chains, hat, please don't disregard the specs
They from Switzerland, boy-boy I gits it in
Money all around the world where you niggas friends?
Actually, factually, a car you livin in
I'm three times coke baby, I need the dividends


As I'm sittin on this mailbox
Waitin for my bitch to leave the nail shop
Auntie lookin at me like I sell rock
Point-blank range, call it shell-shock
I, started off makin ounce moves
Was invited to a dinner with The Council
Two-piece, black rose on my brown suit
In two weeks, I was eatin with my mouth full
In the streets like the seventies
Long Cadillacs, bumpin Frankie Beverly
Mama known to work and go to church faithfully
I ain't gotta ask, every day she pray for me
She knew soon I'd be seven up
By the window like X with my weapon up
Fuck ya intro I'm the next best gunner up
Stand in first place with my medal yous a runner-up


Niggas runnin around, wit street dreams
Til I put em to sleep - Sweet dreams!
I played dirty, so I keep clean
The back of Deleanor is where I meet fiends
Got the whole plate, you don't have three beans
Did Eighth with a eighth in Lee jeans
Tonight, got the chauffeur
Showin off the loafers
You cowards: turkeys, the bullets: Stouffer's

Dom P, Cliq, and Rose
Fruit bowls, few hoes, on the Dolce
OG's round the table but I won't say
Let's make a toast to everyone on the coke chase
Coupe rose, two-tone, parked with no plates
You too close, you gotta ask, can you approach me?
I told em sports wasn't my forte
How can I be like you, and get all this dope cake?

Let me know, you feel me right?
Live niggas know the game its sad but they ain't got the change to play it
You talk a good one, but are you good son?
Keep it real wit ya self
Before you end up dealin wit ya health, man
You know me, Vado!",https://genius.com/Camron-soul-plane-lyrics
C.F.W.U.,1st of the Month Volume 2,2014,"Yo, I had a dream Hud 6
Said 'Killa Yo, killa, you put the real in rap'
And your style, man your style, he be stealin’ that'
And those niggas uptown, we gon’ be feelin’ that
But with that deep shit
You gon’ be feelin’ that Fuck the schools
Jumped in and pushed the ceiling back
And if it tires like the orange
I was peelin’ that
Pardon my absence
I was spendin’ too much time
In the Aspens, killin’ ‘em off with asprin
I ain’t talkin’ slopes
When I say skeet up
And this movie money got me with my feet up
Percentage do come in
I should name it the re-up
We up, TBE, no-one can defeat me Shawn
That nigga money made
The weather don’t matter, I fly to a sunny day
I backed out fact, man
Who wanna come and play?
You ain’t got to run away, british
Go put the gun away
I’m gone
I smoke spliffs
On my lawn
I'm slicker than the Fonz
With more kicks than Solange
Cool shit, waistline
Full clip them off Finish with the judges
With tha’ bullshit they on
We started gifts with a train
Dealt with part of the team

In 98? killa went platinum
Then broke jaws for the team
Them big stupid old mansions
Ain’t nuttin’ change but the mansions
I’m still in the cut with a bad bitch
Lettin’ that champagne spill while
I’m dancing The all by just text me
Said the Lord’s always gon’ bless me
I pray you, I got the gun on me
If a nigga eva try to scratch me
I still kill for killas, make one call for my dealer
In a hall of war, in the summertime we still do
Four wheelers Rich Porter
Brick orders one nigga won six quarters
Still fuck on that white girl
But I’m gettin’ money with that bitch daughter
(Hey, molly)
Brenda had a baby
When I had Mercedes I’m a serial killa
Just might stab yo lady

Cam certified me on day one
I shot a nigga on day two
Bought a Benz on day three
See why these niggas hatin’ me?
I’m Mr. Ruga
I’m still as the shooter
Baby We both got a Mac, but his a computer
Got yo shit in the stupor
Put yo bitch in Aruba
She came back with a tan
I sent her back to her man
He lookin’ for me in the club
I’m in the back bustin’ champ’ 30 racks in my hand
Clap you and yo man Bitch
Spread the word, go tell ‘em we dippin’
Again Shout out to Plugs
No name, but he settlin’ in Ride around
Drop Rari, colors Cinnamon
Temps Shootah got Glock
Nigga sneeze and the nigga abyss
Every time I pull up I look like a brick-a cooker
Yo BM in my DM talkin’ bout when we gon’ hook up
Somebody slipped her a pill
She on the bad back
Straight shotta
Killa hunt niggas
Like a Mad Max
Yeah!",https://genius.com/Camron-cfwu-lyrics
Sweetest,1st of the Month Volume 2,2014,"Cam'ron: What you expect growing up on Lenox man?
We old at a young age, nigga

First Blood died, then Reg Def
Then Big L killed, his brother Lee next
Weeyes, E stress, V next, late 90’s Lynch Mob, Lou Simms, Squeeze Texx
C2 died, Pap Lawdy gone (gone)
Lawdy ma nigga I miss him, shot to Lawdy moms
Two 5, Hefele 33rd, he got shot in Mt Vernon, it’s a dirty world
Then grandpa Jerry, his son Theodore
Ma neighbour, Frieda, Warnell too, Jesus Lord
R.I.P. Mamsy, my boys Bert an Jazz, Vernon an DJ, Ake man- first half
They shot me, word black no dirt nap
I thank God, Henlo, the lam murf texx
It gets me bitter, forget d twitter I stay high and glitter
Cause I miss my niggas

You’re the sweetest thing I know
But then the rain blows cold
There’s no power on this earth
To separate us baby!
Cause

No Cosby show, rocky roads
So it's fuck haters, weirdos and cocky hoes
I'm from Lennox Ave, shots fired, stop and roll
Or shoot back and let him catch it like a common cold
We had common goals, but even mama knows
Our drama goes Obama with the Llama, they dominoes
I'm Brett Favre, rather sorta like em
I took my cheeseheads on Jets to see my Vikings
I quarterback em, it's more than rapping
Few names won't say, but I oughta slap em
They envious of the ambiance
Guess it's strenuous living with your mom and aunt
You thirty-something
Yeah, thirty-something
No ki's, pounds, towns on the curb he pumping
I'm top model, getting model top
I bust a nut like a bottle pop, Mazel Tov",https://genius.com/Camron-sweetest-lyrics
Dumb B*tch,1st of the Month Volume 3,2014,"Look at this dumb bitch, thinkin' she all that
Talk crazy, well I talk back
You need your jaw cracked, raw rap
She said, ""You need yours slapped!""
I said, ""MA, You can't afford that!""
Brought the mace out and switchblade, what is this fifth grade?
Said, ""Cam'ron, you bitch made!""
I don't hit women, not at at all so
I called Candy up, she called Brandy up, she called Tammy up
Tam' called Tiffany, Tiff can't stand the sweat
Tiff called Erica, Tanya and Janice up
Janice called Nika, even Havana up
They came twelve deep, three cars, bandana'd up
Seen her, beat her like a slave out in Africa
Standin' there lookin' like ""Damn, I embarrassed ya!""
Blood in her mascara, now it's a massacre
Had to stop 'em, they were gonna casket her
I don't care, call ya boyfriend or ya brother up
Father or ya uncle or ya cousin we can knuckle up
Seatbelt? No, but believe I'm buckled up
You will get muzzled up, for a couple bucks
Had to let her know my shit was unsinkable
Character who you are, reputation what they think of you
Everybody like, ""Yo, Cam, let me drink with you!""
""Link with you!"" ""Um, stink to you cuz I ain't do the clink with you!""
Shit, and these bullets you can drink a few
I did links, minks, one wink, they'll get at you
Don't matter if you're senator, principal, 
New school, conventional, hood nigga, pretendable
Criminal, general, taking vitamins, minerals
All identical, we'll lean you like benadryll
Spend a 'mil, make five and ten to kill
Any real, nigga wanna be, let me know ho I'm on his heels
Wet work, I water steel, I'm sorta real
Don't come to my hood, it's Slaughterville, you oughta chill
Bitch niggas is Betty Boo, so Betty Bye
The 4/4's the airport, I let it fly",https://genius.com/Camron-dumb-btch-lyrics
