title,album,year,lyrics,urls
The Light,Like Water for Chocolate,2000.0,"Yeah, doo-doo-doo
Doo-doo-d-doo, diggy-doo, yo

There are times
When you'll need someone
I will be by your side
There is a light that shines
Special for you and me

I never knew a luh, luh-luh, a love like this
Gotta be somethin' for me to write this
Queen, I ain't seen you in a minute
Wrote this letter, and finally decide to send it
Signed, sealed, delivered, for us to grow together
Love has no limit, let's spend it slow forever
I know your heart is weathered by what studs did to you
I ain't gon' assault them, ‘cause I probably did it too
Because of you, feelings I handle with care
Some niggas recognize the light
But they can't handle the glare
You know I ain't the type to walk around with matchin' shirts
If relationship is effort I will match your work
I want to be the one to make you happiest
And hurt you the most
They say the end is near, it's important that we close
To the most high
Regardless of what happen, on Him let's rely

There are times
When you'll need someone
I will be by your side
There is a light that shines
Special for you and me

It's important we communicate
And tune the fate of this union to the right pitch
I never call you my bitch or even my boo
There's so much in a name and so much more in you
Few understand the union of woman and man
And sex and a tingle is where they assume that it land
But that's fly by night, for you in the sky I write
For in these cold Chi night's moon, you my light
If Heaven had a height, you would be that tall
Ghetto to coffee shop, through you I see that all
Let's stick to understandin' and we won't fall
For better or worse times, I hope to me you call
So I pray every day more than anything
Friends we'll stay as we begin to lay
This foundation for a family, love ain't simple
Why can't it be anything worth havin' you work at annually?
Granted we known each other for some time
It don't take a whole day to recognize sunshine

There are times
When you'll need someone
I will be by your side
There is a light that shines
Special for you and me

It's kind of fresh you listen to more than hip-hop
And I can catch you in the mix from beauty to thrift shop
Plus you shit pop when it's time to
Thinkin' you fresh, suggestin' beats I should rhyme to
At times when I'm lost I try to find you
You know to give me space when it's time to
My heart's dictionary defines you, it's love and happiness
Truthfully it's hard tryin' to practice abstinence
The time we committed love, it was real good
Had to be for me to arrive and it still feel good
I know the sex ain't gon' keep you
But as my equal, it's how I must treat you
As my reflection in light I'ma lead you
And whatever's right I'ma feed you
Digga-da, digga-da, digga-da, digga-digga-da-da
Yo, I tell you the rest when I see you; peace!

There are times
When you'll need someone
I will be by your side
There is a light that shines
Special for you and me

I'll take my chances
Before they pass
Pass me by, oh, darling
You need to look at the other side
You'll agree",https://genius.com/Common-the-light-lyrics
I Used to Love H.E.R.,Resurrection,1994.0,"A-yes, yes y'all, and you don't stop
To the beat, y'all, and you don't stop
Yes, yes, y'all, and you don't stop
A-one, two, y'all, and you don't stop
A-yes, yes y'all, and you don't stop
And to the beat Com Sense'll be the sure shot, come on

I met this girl when I was ten years old
And what I loved most, she had so much soul
She was old school when I was just a shorty
Never knew throughout my life she would be there for me
On the regular, not a church girl, she was secular
Not about the money, those studs was mic-checkin' her
But I respected her, she hit me in the heart
A few New York niggas had did her in the park
But she was there for me, and I was there for her
Pull out a chair for her, turn on the air for her
And just cool out, cool out, and listen to her
Sittin' on a bone, wishin' that I could do her
Eventually if it was meant to be, then it would be
‘Cause we related, physically and mentally
And she was fun then, I'd be geeked when she'd come around
Slim was fresh, joe, when she was underground
Original, pure, untampered, a down sister
Boy, I tell you, I miss her

A-yes, yes y'all, and you don't stop
To the beat, y'all, and you don't stop
A-yes, yes y'all, and you don't stop
A-one, two, y'all, and you don't stop
A-yes, yes y'all, and you don't stop
A-Com Sense y'all, and you don't stop
A-yes, yes y'all, and you don't stop
UAC, yo, we gotta be the sure shot

Now periodically I would see
Ol' girl at the clubs, and at the house parties
She didn't have a body, but she started gettin' thick quick
Did a couple of videos and became Afrocentric
Out goes the weave, in goes the braids, beads, medallions
She was on that tip about stoppin' the violence
About my people she was teachin' me
By not preachin' to me but speakin' to me
In a method that was leisurely, so easily I approach
She dug my rap, that's how we got close
But then she broke to the West Coast, and that was cool
Cause around the same time, I went away to school
And I'm a man of expandin', so why should I stand in her way?
She probably get her money in L.A
And she did stud, she got big pub, but what was foul
She said that the pro-black was goin' out of style
She said, ""Afrocentricity was of the past""
So she got into R&B, hip-house, bass, and jazz
Now black music is black music and it's all good
I wasn't salty she was with the boys in the hood
Cause that was good for her, she was becomin' well-rounded
I thought it was dope how she was on that freestyle shit
Just havin' fun, not worried about anyone
And you could tell by how her titties hung

A-yes, yes y'all, and you don't stop
To the beat, y'all, and you don't stop
A-yes, yes y'all, and you don't stop
A-one, two, y'all, and you don't stop
A-yes, yes y'all, and you don't stop
And to the beat Com gotta be the sure shot
A-yes, yes y'all, and you don't stop
If you don't check it, mm-mm, bust it, bust it

I might've failed to mention that this chick was creative
Once the man got to her, he altered her native
Told her if she got an image and a gimmick
That she could make money, and she did it like a dummy
Now I see her in commercials, she's universal
She used to only swing it with the inner-city circle
Now she be in the burbs, lookin' rock and dressin' hippie
And on some dumb shit when she comes to the city
Talkin' bout poppin' Glocks, servin' rocks and hittin' switches
Now she's a gangsta rollin' with gangsta bitches
Always smokin' blunts and gettin' drunk
Tellin' me sad stories, now she only fucks with the funk
Stressin' how hardcore and real she is
She was really the realest, before she got into showbiz
I did her, not just to say that I did it
But I'm committed (girl, he's committed) but so many niggas hit it
That she's just not the same lettin' all these groupies do her
I see niggas slammin' her and takin' her to the sewer
But I'ma take her back, hopin' that the shit stop
‘Cause who I'm talkin' about, y'all, is hip-hop

To the beat, y'all, and you don't stop
A-yes, yes y'all, and you don't stop
Mainframe, yo, they gotta be the sure shot
A-yes, yes, y'all, and you don't stop
To the beat, y'all, and you don't stop
A-yes, yes y'all, and you don't stop
A-one, two, Com Sense is gonna drop, haha

I used to love H.E.R
I used to love H.E.R
I used to love H.E.R
I used to love H.E.R
I used to love H.E.R
I used to love H.E.R
I used to love H.E.R., went and fucked up all the shit, y'all

You ain't got your woman in check, man?
I think you’re overstepping your bounds just a little bit
I can't do this anymore",https://genius.com/Common-i-used-to-love-her-lyrics
Glory,Selma (Music from the Motion Picture),2014.0,"One day when the glory comes
It will be ours, it will be ours
One day when the war is won
We will be sure, we will be sure
Oh glory
(Glory, glory) Ohh (Glory, glory)

Hands to the Heavens, no man, no weapon
Formed against, yes glory is destined
Every day women and men become legends
Sins that go against our skin become blessings
The movement is a rhythm to us
Freedom is like religion to us
Justice is juxtapositionin' us
Justice for all just ain't specific enough
One son died, his spirit is revisitin' us
True and livin' livin' in us,
 
resistance is us
That's why Rosa sat on the bus
That's why we walk through Ferguson with our hands up
When it go down we woman and man up
They say, ""Stay down"", and we stand up
Shots, we on the ground, the camera panned up
King pointed to the mountain top and we ran up

One day when the glory comes
It will be ours, it will be ours
One day when the war is won
We will be sure, we will be sure
Oh glory (glory, glory)
Ohh (glory, glory)

Now the war is not over, victory isn't won
But we'll fight on to the finish, and when it's all done
We'll cry glory (glory), oh glory (glory), oh (glory, glory)
We'll cry glory, oh glory, oh (glory, glory)

Selma is now for every man, woman and child
Even Jesus got his crown in front of a crowd
They marched with the torch, we gon' run with it now
Never look back, we done gone hundreds of miles
From dark roads he rose, to become a hero
Facin' the league of justice, his power was the people
Enemy is lethal,
 
a king became regal
Saw the face of Jim Crow under a bald eagle
The biggest weapon is to stay peaceful
We sing, our music is the cuts that we bleed through
Somewhere in the dream we had an epiphany
Now we right the wrongs in history
No one can win the war individually
It takes the wisdom of the elders and young people's energy
Welcome to the story we call victory
The comin' of the Lord, my eyes have seen the glory

One day when the glory comes
It will be ours, it will be ours
One day when the war is won
We will be sure, we will be sure
Oh glory
(Glory, glory)
Oh (glory, glory)
Oh glory
(Glory, glory)
Yeah (glory, glory)

When the war is won, when it's all said and done
We'll cry glory, oh glory (glory, glory)",https://genius.com/Common-glory-lyrics
Stay Schemin’,UnKnown,2012.0,"My motto is: Chicago, bitch
Everybody know you sweet, what the problem is
Don’t play dumb, I’m the one that acknowledged it
Son of a bitch, I imagine what your father is
She said, “How you make your opponent
The rapper of the moment?” His style, he don’t own it
Acting all hard when he hardly like that
You gon’ mess around and make me catch a body like that
Awwww, don’t do it
Cause every song you make, Joe, is really ho music
I heard you said you wasn’t a bitch because you sing
You a bitch because you cling like a bitch that’s eighteen
Can’t say my name but rap about a nigga’s wife
You so black and white, trying to live a nigga’s life
I’m taking too long with this amateur guy
You ain’t wet nobody, nigga, you Canada dry

Soft nigga. Make no mistake, I’m talking to Drake
It’s the remix. Rick Ross, Common, and that ho-ass nigga
No, man-to-man, don’t hide behind them other niggas
Nah, this man-to-man. You can’t run behind them man
This is some real man shit right here

Say my name, say my name
If no one is around you
If you ain't running game
Say my name, say my name
You acting kinda shady
Why the sudden change?
Say my name, say my name
If no one is around you
If you ain’t running game
Say my name, say my name
You acting kinda shady
Better say my name",https://genius.com/Common-stay-schemin-lyrics
Love Is…,Be,2005.0,"How beautiful love can be
On the streets love is hard to see
It's a place I got to be
Loving you is loving me
How beautiful love can be
On the streets love is hard to see
Gotta reach that frequency
Loving you is loving me

Yeah, you know what love is
Even found it on the ground where the thugs live
My man had to dig deep to find his
Couldn't sleep cause on the real he had five kids
Live nig's, real niggas express and taste it
At crap games, black dames and big faces
Cases in court, fam' showing love and support
You and your baby's mom thought that love was a sport
As men we were taught to hold it in
That's why we don't know how 'til we're older men
If love is a place I'ma go again
At least now, now I know to go within
At times it can take ya for a spin
Heartbreak hotel then you're home again
I've seen love make a nigga soul pretend
Like a story that he don't want to end, yo

How beautiful love can be
On the streets love is hard to see
It's a place I got to be
Loving you is loving me
How beautiful love can be
On the streets love is hard to see
Gotta reach that frequency
Loving you is loving me

It's all love where we come from
In the hood love we was told to run from
That same hood where the guns sung
We holla love, hoping it'd become one
Crack got so many lives undone
From lack of love many hide, some run
I knew this girl with a son who dreamt of acting in plays
Demonstration with her man had her trapped in a maze
Trying to find herself again, much of that she'd have gave
Love can free us, to it some of us react as a slave
Funny, we love 'em more when they're relaxed in a grave
Wonder if a thug is raw, is he actin' afraid?
Everybody loves sun, why do I attract shade?
Heard of the love of money, but compassion it pays
Talk about it with my youth so she'd understand
What it is to be loved by a man

How beautiful love can be
On the streets love is hard to see
It's a place I got to be
Loving you is loving me
How beautiful love can be
On the streets love is hard to see
Gotta reach that frequency
Loving you is loving me

Some say that I'm a dreamer 'cause I talk about it often
Seen the hardest nigga soften wit' his homie in a coffin
We walk and stand in, fall in it
With the right companion we all in it
Mary sang a song about it, having broad limits
In the game of life, it's the scrimmage
Reminiscing on letters I wrote in my small days
A letter to the people, love always, yeah

How beautiful love can be
On the streets love is hard to see
It's a place I got to be
Loving you is loving me
How beautiful love can be
On the streets love is hard to see
Gotta reach that frequency
Loving you is loving me",https://genius.com/Common-love-is-lyrics
GO!,Be,2005.0,"(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go, go
And on the count of three everybody run back to your fantasy, now
(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go, go
And on the count of three everybody run back to your fantasy, now

(Go) She was a bad uh
The type at the club niggas would grab her
(Go) Fantasized when I had her
In the bathroom sweatin' with her ass up
(Go) The body of a dancer
We had chemistry cause she was a Cancer
Thought forever it would last for
But forever move faster, so I had to
(Go) Still I gotta pause
When I think about her in them draws
(Go) And uh, ooh baby she liked it raw and
Like rain when she came it poured
(Go) And like a car that I can't afford
I would want it then want some more
The positions our frames explored let me know
She was secure, back for more I wanna

(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go, go
And on the count of three everybody run back to your fantasy, now
(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go, go
And on the count of three everybody run back to your fantasy, now

(Go) Freaky like the daughter of a pastor
Said I was bait for her to master
(Go) Little red corvette, nah she was faster
Wet dreams La Mer cream the bathroom
(Go) We make love and then laughter
And anyway I wanted I could have her
Said there were some girls that did attract her
A new chapter she was after so I said let's
(Go) To a place that you wanna be, uh
Get what you want from her and me, uh
(Go) Free love I wanna see, uh
Hot sex in the third degree, uh
(Go) You gettin' served while servin' me, uh
Dirty words encourage me to
Rock steady and sturdily on
You turnin' me no turnin' back the further we

(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go, go
And on the count of three everybody run back to your fantasy, now
(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go and on the count of three
(Go) go, go, go, go, go, go
And on the count of three everybody run back to your fantasy, now",https://genius.com/Common-go-lyrics
Sweet,The Dreamer/The Believer,2011.0,"Yeah
You know they be asking ’bout Common, where he at?
What that man doing now?
I’m doing what I do, hip-hop
That's what I do
Yeah

How can I say this, fuck it I’m the greatest
I am the A-list for all these great debaters
A lot of ya’ll nah nah, forgot now who I am
The '87 nigga used to rah rah in the jam
Aw yeah, we put them things in the air
When I drop a single, it’s really like a pair
Of Air Jordans, important to the culture
If you ain't true to it, cállate la boca
Get my drink on like a coaster
Post up on the wall that Mike used to live off
Hip-hop Master Cleansin', I’mma get my shit off
Rollin’ in a Maserati Gran with the lid off
I bit all like a monster, live nigga this is my encore
Encore, encore,
 
I rhyme for the commoners
My name synonymous with prominence
I’m to Hip-Hop what Obama is to politics
Common is

Yeah, man
Y’all niggas man, you soft muthafuckers
Yeah my man, muthafucker
Then come around my crib
You know where I’m from
Some ho ass niggas
Singing all around me man, la la la
You ain't muthafucking Frank Sinatra
Uh, lil' bitch
Yeah, this the raw right here
This the raw right here nigga
Sweet muthafucka
Sweet ass bitch muthafucka

Wa da da da, wa dada dada dang
The C-O double-M O-N, I’m not playin’
Da da man at work, I make my own lane
I’m the franchise so I rock my own chain
No I said give 'em that 80′s cocaine
Somethin’ raw, something pure so I stayed in that vein
The hero that he know, that he cold
Like when it's below in the G.O.,
 
wipe ya feet off in the Regal
I’m king, observe the throne and the dream
I have it, 
supreme like mathematics
Yeah, a breath of fresh air for you asthmatic rap addicts
Pro black magic, this is semi-automatic
Rap we won’t jam in traffic
The game need direction, I’m here to map it
Uh, some people say that they be missing creativity
But when it come to hip-hop, it begins and ends with me
Sweet

You know man, you should know where I come from
You should know who I am nigga
You should never wanna go against me
You know man, you too soft for that man
I be seeing you man, I see it in your eyes man
You ain't the type of nigga that could go against me
You get in my presence you gon’ feel like a little ho
You ain't a man yet, you tryna be somebody else
Man, be yourself man, you come around my crib, you get your shit took
Huh! Wherever you go, you probably be overseas in Europe and get yo shit took
You’s a ho, you know you sweet
Ain't nothing you can do man, people see that man
Broads be seeing you sweet
Done wit’ you muthafuckas, it’s over for you
It’s over for you
It’s over, sweet muthafucka",https://genius.com/Common-sweet-lyrics
Be (Intro),Be,2005.0,"Yeah, yes

I wanna be as free as the spirits of those who left
I'm talking Malcolm, Coltrane, my man Yusef
Through death grew conception, new breath and resurrection
For moms, new steps in a direction
In the right way, told her, ""Inside is where the fight lay
And everything a nigga do may not be what he might say""
Chicago nights, they, stay on the mind
But I write many lives, they, lay on these lines
Wavin' signs of the times, 
many say the grind's on the mind
Shorties blunted-eyed and everyone wanna rhyme
Bush pushing lies, killers immortalized
We got arms but won't reach for the skies
Waiting for the Lord to rise, I look into my daughter's eyes
And realize I'ma learn through her
The Messiah might even return through her
If I'ma do it, I gotta change the world through her
Furs and a Benz, Gramps wantin 'em
Demons and old friends, Pops, they hauntin' him
The chosen one from the land of the frozen sun
Where drunk nights get remembered more than sober ones
Walk like warriors, we were never told to run
Explored the world to return to where my soul begun
Never looking back, or too far in front of me
The present is a gift, and I just wanna be (Be, be, be, be)",https://genius.com/Common-be-intro-lyrics
Blue Sky,The Dreamer/The Believer,2011.0,"Mr. Blue Sky, please tell us
Mr. Blue Sky, please tell us
Mr. Blue Sky, please tell us
Mr. Blue Sky, please tell us
(Listen) Why you had to hide away for
(Listen) Why you had to hide away for
(Listen) Why you had to hide away for
(Listen) Why you had to hide away for

Aston Martin king, Luther with dreams
The young Denzel the way I move through scenes
I’m like a preacher that once was a fiend
A story of change that came with wings
Pretty as the skyline, the sky is my eyeline
Son of the most so from up high I shine
Suited in Prada, stay mellow like lala
Young, fresh, with dollars, ladies go gaga
I’m the cum-lada, top of the class
Black Wall Street so my stock will never crash
Given what I ask, pure religion and cash
From the windows that open, I’m raising my glass
Daylight beams, night life schemes
This is my inception, I’m writing my dreams
Immortal view of a star doing what I’m born to do
I see the blue sky, see the Lord's coming through

Ohh, in the sky we'll find the light
Ohh, ain't too high, we'll shine at night
Now we in the skies, blue skies
And we going higher, that's right

It all started with a dream,
 
I wanted to be Run–D.M.C
The Lord put the blessing upon the MC
O to the M, dreams were spoken to him
That's when I knew my flows would overflow to the rim
Open my eyes, yes sir this is what I'm made for
To go hard in the paint like D. Wade or
D. Rose,
 
from the same streets that we rose
International heroes at world primos
Red carpet magic, taking pictures with the president
Told him for health care, my music is the medicine
My name holds weight, I am never hesitant
Different state resident, this is hood elegance
SLS classic, pursuing my passion
NOVA Fashion, now I'm Oscar party crashing
Immortal view of a star doing what I'm born to do
I see the blue sky, see the Lord's coming through

Ohh, in the sky we'll find the light
Ohh, ain't too high, we'll shine at night
Now we in the skies, blue skies
And we going higher, that's right

Silhouettes of dreams that we had high, huh
Even now it don't seem so bad, ma
Close my eyes to see things in front of me
I'm gone now, imagine what I'm gonna be
Dirty to worthy, now I'm all wordy
My broad up in Paris
, looking all purty
Immortal view of a star doing what I'm born to do
I see the blue sky, see the Lord's coming through

Ohh, in the sky we'll find the light
Ohh, ain't too high, we'll shine at night
Now we in the skies, blue skies
And we going higher, that's right

I had these dreams in my head of an endless sphere
I could see it from my window
Wouldn't take that long to get me there
Keep running til' I can go
Remember the beautiful things that life could give me
Crazy how I'm the one
Could've been anywhere, but I'm sitting in the air
With the wheels up staring at the sun
Ohh, in the sky we'll find the light
Ohh, until high we'll shine at night
Now we in the skies, blue skies
And we going higher, that's right",https://genius.com/Common-blue-sky-lyrics
Ghetto Dreams,The Dreamer/The Believer,2011.0,"Ghetto dreams
Ghetto ghetto dreams
Ghetto niggas' dreams
Ghetto ghetto dreams
Ghetto niggas' dreams
Ghetto dreams
Ghetto niggas' dreams
From the hood

I want a bitch that look good and cook good
Cinderella fancy, but she still look hood
Butt naked in the kitchen flipping pancakes
Plus she trickin' off the dough that her man makes
We got our own handshake, her titties ain't fake
Fucking in the car cause we just can't wait
To get home, early in the morn' getting stoned
Pretty with her eyes low, money by her Bible
The type of bitch that B.I.G. said he would die for
Is the type that I ride and stay alive for
Tats on her back, looking all tribal
She know shoes like she know survival
Well put together, she weathered the storm
Seen her brother die so forever she's strong
Hear Beyonce's song and she gotta perform
Whether fucking or fighting: we getting it on

Ghetto dreams
Ghetto ghetto dreams
Ghetto niggas' dreams
Ghetto ghetto dreams
Ghetto niggas' dreams
Ghetto dreams
Ghetto niggas' dreams
From the hood

I don't even say shit, she can feel it
Eye talk's the realest, toenails acrylic
Ass is a weapon and it's hard to conceal it
Baby in one arm, the other is a skillet
Fried chicken, macaroni, raised on the back of Stony
Ghetto Prince, she's my Apollonia
Like chick that had the back of Tony, Montana
Reminded me a me of my, of my mama
Knowing the drama like she know when to joke
Steal a nigga's squares, not wanting me to smoke
I poke my head out of Benzes
My tweets is the streets that I know who my friends is
Endless love for the money, power and clothes
My ghetto housewife watch reality shows
She might get to snapping if the cabinets ain't closed
When the cameras start snapping, she's ready to pose

Ghetto dreams
Ghetto ghetto dreams
Ghetto niggas' dreams
Ghetto ghetto dreams
Ghetto niggas' dreams
Ghetto dreams
Ghetto niggas' dreams
From the hood

I notice all my flaws when it comes to writing rhymes
Subject matter be changing too quickly at times
So I keep it strictly 'bout dimes and stick to the story
Call me a pro in the pussy category
Had explicit experiences I shouldn't mention
For me, getting women turned from sport to addiction
Powerful women playing the roles of submission
Lawyers on leashes, congresswomen inflictin'
Pain onto my game, wanted and I'm sadistic
They liked it, they dyked it, devices twisted
'til I get a nice chick, to get me on some nice shit
Crib raising kids, Labrador behind the white fence
But I'm still single, looking for Cleopatra
African Queen, yo look at me, I'm a bachelor
Y'all niggas in trouble, keep your girls behind closed doors
Cross your fingers, be happy I haven't chose yours
She love glamour, bought her Vera Wang sandals
Valentino bags is my etiquette, my manors
Half hood half class, photographers' cameras
Caught us out there, the spotlight, hope she can handle this
She can join me, red carpet at my next non-profit
Events having sponsored by some alcohol product
Jumping out a Bentley with some fresh red bottoms
You live your dream with me when you were just in the projects

Ghetto dreams
Ghetto ghetto dreams
Ghetto niggas' dreams
Ghetto ghetto dreams
Ghetto niggas' dreams
Ghetto dreams
Ghetto niggas' dreams
From the hood",https://genius.com/Common-ghetto-dreams-lyrics
