title,album,year,lyrics,urls
Love Ain’t,SouthernUnderground,2003.0,"Love ain't for the faint of heart
Start training, this game is hard
And arduous, you're gonna play in the dark, like when it rains in the park
You're hardly conscious of the stains and scars, enabling your partly clouded logic
To pay to impart bliss with arrangements of chocolates
Now, you're working yourself out the same as when you strain' with a nautilus
And you're willing to embrace pain facing sustained negative consequence
If nothing you say when in love is embedded with common sense
Then, do you really regret when you've shredded your promises?
Now, I've tested the waters, kid. Sipped it; rippled the pond a bit
Visits have been abolished, and this shit's killing my confidence
Is this filling your conscience when distance is an accomplishment?
If you miss chicks when they're around, the phrase ""Let's quit"" isn't an option
You best fix whatever's wrong and just move on and get on with it
Cause, You'll catch bigger fish in the sea if you manage not to drown in it
It's sad, but proud or not, most your standards go down a notch
When loneliness drinks at the bar you set too high
Cause, It isn't really my time, is it? Shit, I just found the watch
But hearing the bell toll for me twice a day, has me fearing my grandfather clock
And I can't die without trying, my hands tied in knots
Knowing that I'll never learn to brave the waves if I stand by the docks
Love is hampered by thought, if you can handle the prospect of
Death - it's as massive a shock
And to intellects, it's a fuckin' smack in the crotch
It's a cancer that rots your soul, tosses demons off of the road
Just use caution and know, that, love ain't nothing but a loss of control
Off then, we go

Traces of love, long ago
That didn't work out
Traces of love, long ago
That didn't work out

Love'll have you nervous, doing stupid shit on purpose
Brain out of service, words slurred when you blurt shit
Studderin', utterin' non-sensical shit in your verses
Feeling like a shirtless four-breasted woman in a circus
Furthurly trying to gap an unfillable void
Because of parents never transfering that unbillical joy
So girls create a false world of filling on boys
Exploited, guys playing with her heart like her feelings are toys
But when you have it, there's nothing like it, you get excited
Seeking those who provide it, on phones talking to psychics
Some fear it, spend their entire lives trying to fight it
Living in a confusing Hayes, like they're grooving to Isaac
It ain't the end of the rainbow with a treasure chest and a map
It ain't easily learnable with definitions in tact
It can ride your train of thought and demolition your tracks
Hittin' and bullwhippin you, leavin' them slits in your back
But I've been a lucky one, loving parents, loving friends
But I still spend alot of my life loving sin
But I ain't a genius on it, I can only pretend
Cause over all it's an emotion I cannot comprehend
It's love


Love ain't the basis for action
In a nation of addicts pacing and waiting for seconds of satisfaction
Where the word itself is only fashioned in fits of passion
Hand in hand with animalistic orgasmic reaction
And the past isn't felt as a match made in hell
But rather its held as a latter day meld
Of common mistakes and nice intentions
But when false love retention is simply vice invention
It's only right to mention the fights you get in
Nightly visions of these Tina and Ike revisions
So what's love really got to do with it?
From prude women to stool pidgeons in soup kitchens
The truth isn't as eloquent so be intelligent
Getting caught out of your element just for the hell of it's irrelevant
And that word'll fit like a glove if you don't get right
Now live your life for the love or stop",https://genius.com/Cunninlynguists-love-aint-lyrics
Lynguistics,Will Rap for Food (Deluxe Edition),2001.0,"""So fuck the commercial tracks you be doin'""
""A brother got to eat""
""Yeah? Why don't you rap for food then?""

The music makes me high
Even though I stay away from canibus like Wyclef
(Deacon and Kno fry sets)
Similar to Christ (we got divine reps, so tell me)
If you know your gwan die (why step?)
Show no mercy (when bruising crews)
You get hit with more bricks than New Jerus
(Riddles confusing fools) like Confucian rules
(Cause most cats are more squared than Rubik's Cubes)
We spit raps that are totally murderous
(The rhymes are like an anaconda serpent clutch)
So check out how these herbs get touched
(Unless your broads giving us brains), nigga you ain't servin us
(Deacon and Kno), cunning lynguists with stunning English
(Our true lies break more punks than) Harry Renquist
(Every week) with the best speech
Roll with cats who smoke more trees than 
the slash and burn techniques
(Sex beats between bed sheets)
Red fleets, Pulp Fiction style, (leaving your car with red seats)
We make like fly swatters and smash pests
(Put peeps under more pressure than a Kelly Price bed set)
Keep your bodies looking like samples for the Rorscach Test
(Ink blots)
, so fuck around and get your team rocked
(Jugga's in the back with the beam cocked)
The plot's to have everything between L.A. and Queen's locked

Uh huh, word, uh huh word
Yo, yo, check it out
Cunninlynguists
You know what I'm sayin'?
Ya'll know how we do?
I mean... you probably don't know how we do (ha)
But you about to find out
Like what? Like what? Like what? Yo... yo
Like what? Like what? Check it. Uh huh...",https://genius.com/Cunninlynguists-lynguistics-lyrics
Enemies With Benefits,Oneirology,2011.0,"Trust me, we can make the scene turn ugly
You hate me or you love me, trust me
We can make the scene turn ugly
You hate me or you love me
We can make the scene turn ugly, trust me

She sits in bed with her halo crooked
She says she's never been in love before
She takes time to define what we'll never get
We're turning into enemies with benefits
Enemies with benefits

She the girl of my dreams, also my nightmares
Cause she be jigglin' it, killin' it in her nightwear
Between mean glances that we might share
The space between us is like a lightyear
All in my phone like she AT&T
All in my Facebook pretendin she me
Cus her ""Not Hot"" single friends feedin her nonsense
The ghetto's trying to kill me and my chick's an accomplice
With black gloves (black gloves) black mask (black mask)
Full lips (full lips) fat ass (I like that!)
Text messaging ridiculous comments
I'd have to wash my mouth out to read you the contents
She might literally love me to death
We had a stairway to heaven til' I fell down the steps
Now I'm left with a pain in the neck
But she's my eye candy, the flavor I savor
And I'm part Vader, I think with my saber
I live in crazy town and I'm married to the mayor

She sits in bed with her halo crooked
She says she's never been in love before
She takes time to define what we'll never get
We're turning into enemies with benefits
Enemies with benefits

They call me Lex, junior
Not Rex Lewis
My ex like a six shot shooter - sex ruger
She's a sex cougar
She texts, we bang every time I sit next to her
Man, she get me hard as steel, I call her X-Ray
Coz my ex bust her neck during sex play
I get the cleanest dome, I mean it holmes
She never be at home but she never be alone
Her boyfriend is a punk, he rock a onesie
He think he fly, pullin' stunts in his undies
But she my kryptonite
I know...cryptic right?
I'm sitting back with a pipe getting ripped at night
On my window pane, the coldest rain
My enemy, Miss Lois Lane

She sits in bed with her halo crooked
She says she's never been in love before
She takes time to define what we'll never get
We're turning into enemies with benefits
Enemies with benefits

She’s a devil in a baby blue dress
Who I'm mentally redressing as an angel through sex
Who be testing my mettle - and yes, in a way, I choose the stress
And I guess that I settle cause I’m a slave to huge breasts
But it ain’t worth it
Ask me again if my mind has changed on the situation in five days
And I couldn’t say for certain
And so we stay in this deranged arrangement
Nailing ‘tween the breaks of these unwavering debates of ‘who’s the
Crazy person’?
She got them fuck-goggles on me
My judgement Impaired like I was drunk on kamakaze’s running a busted Kawasaki
Callin the love doctor cause I need a fix of this chick and it’s sickening
Wish I could quit, but my dick is mixing the signals and shit
Half of the time, I see past these disastrous signs
And half of the time, I keep asking if I’m happy to lie
If blame can be assigned, then I guess I’ll have to try this food for thought:
You can always see the shape of the pan in the pie
Savage desire in me to taste her loving
So my peace of mind will never turn into a baker’s dozen
I’m crumbling",https://genius.com/Cunninlynguists-enemies-with-benefits-lyrics
Beautiful Girl,A Piece of Strange,2006.0,"Uh uh uh uh, I love this bitch, uh uh uh
I love this girl, smack her on the ass, light the hash

Just a crush on a beautiful girl, named Jane
J to the A to the N to the E
Just a crush on a beautiful girl, named Jane
J to the A to the N to the E

I tried to stay all the way playa when it came to game
But got benched in a sense when it came to Jane
I can't explain the deep breaths that I take in her presence
Found recollections connect to every ounce of her essence
I love her, til she join with the air up above her
Love so strong it can't be wrong for her to share with another
Long as she touch my lips and my fingers, fuck it, we swingers
Cause it's Jane that keeps me sane
For what the world gonna bring us
Can make a blind man see and forget his doctor's appointment
For her sheer enjoyment I'll even risk unemployment
Can it be? Her first name changed to Calamity
Cause if saw by the law in my car, they grabbing me
Harrassing me, asking me 'where did she come from?'
Have me see a counselor asking questions thats plumb dumb
Trying to steal my love, so now I'm constantly taking shit
Cause now three times a week they wanna test our relationship
Shit!

Jane's all confused inside
Gone off that mary jane
She's making love to equalize
Gone off that sexy damn Jane

Just a crush on a beautiful girl, named Jane
J to the A to the N to the E
Just a crush on a beautiful girl, named Jane
J to the A to the N to the E

Yeah, spread them legs jane, I need a head change
Coochie hairs flame colored, sweet lil red thangs
She riddles every area of my brain with deep tickles
Mary, married her, carries my pain? Nope
An angel came to me one night chillin'
Said: ""I won't change you, just tame who's within that Villian""
I said: ""Cool, lets lay up with the stars for a minute""
Next I know we break up roaches from cigars
We done finished
Jane doing things that made me search my soul
I's a young one, she's an old freak that cuts slow
Leave her? Right now you got a hellafied no
I guess I needs her, that double edged ledge cuts throats
I love the please-her, or pleasure, whatever call it liesure
You call her a crutch, y'all hush, I call her 'Retha
Undressin her, loving the resin upon fingertips
Its over when I roll me a Fat Lady
Now sing it, bitch

Jane's all confused inside
Gone off that mary jane
She's making love to equalize
Gone off that sexy damn Jane

Just a crush on a beautiful girl, named Jane
J to the A to the N to the E
Just a crush on a beautiful girl, named Jane
J to the A to the N to the E
Damn, Damn, Damn Jane
Damn, Damn, Damn Jane
Damn, Damn, Damn Jane
I said, Damn, Damn, Damn Jane
I said, Damn, Damn, Damn Jane",https://genius.com/Cunninlynguists-beautiful-girl-lyrics
616 Rewind,Will Rap for Food (Deluxe Edition),2001.0,"Yo, first I sprinkle the verse
By addin' words, rhymes
Flippin 'em in a verse with lines
Then I'mma hit 'em disperse rhyme venom
And then I'mma split 'em in half
Feelin' my wrath
Venturin' through parts of the South so dirty
You'll want to be given a bath
It'll take pathological liar to deny that I'm nice
And the truth hurts (ow)
Wearin' a blue shirt the best buy for the price
To get six guys this live and nice on the mic
So don't diss us because we're fly
Until you try what it's like
I'm liable to slice at these emcee bastards
Leaving their knees fractured
Needin' every piece of their teeth re-crafted 
So don't front cause I see past it
You're harmless like Wolverine's adamantium claws
When they're retracted 
If the scene's backlit
Or seems static, we'll wreak havoc
We'll beat batter to keep rappin'
A leech battle, a dream shatterer
For three nanoseconds 
Count your paces, one step to Tonedeff
You're Gone in Sixty Seconds like Nicholas Cage is

I'll leave you riddled with basics
There's no need for complexity
To be beside myself I need God next to me
Just kiddin'
I'm partially bullshittin'
The only time I take a loss pussy is when I lose kittens
I pitch shit past 'ya, no matter who's hittin'
I don't capsize boats
But I got crews flippin'
You catch it? The message needs analyzation
Step and your boys'll be pouring alcoholic libations
I flew sick, you knew this
I'll puzzle you, doofus
Fuck mentally
Stretch you into a physical Rubik's
It'll take more than sticker rearrangement to change it
His language is so strange, how do we contain it?
You can't just paint this up upon the canvas
Gotta get the mental picture
To begin to understand this
So anticipate defeat, delete chances
Got your heads speared on lances
Doin' burial dances 

I'm giving body language speech impediments
Each uttered threat causes confident cats to stutter-step
Cut a reputation down to sighs too raw for porn overdubs
Plate of leftovers? Eat some warmed-over thugs
A jaded wordsmith bleeding ghostwriter's pens dry
Getting on a rapper's nerves, corroding dendrites
When my thoughts connect, you ought to step away fast
Seems I gave cats ADATs the way they make tracks
Forget a scare, I'm not generous, kid
Spit Society of Nimh and indent it in lids
Indie Pennant is sick and this is just a quick reminder
If you was to pick a cipher then I'll bus your clique to Rikers
All expenses paid, no questions asked
I'll get open in the cut and leave your flesh a gash
Can't relax, man, the last time I took a breather
I got brought up on murder charges, start the crooked fever

Hey yo, I'm not a fella to riff with
I'm so nice Mr. Rogers sued my ass
For copyright infringement
Roll with henchmen
That will switch heads
From wanna be thugs to 24/7 bitch kids
Topping my shitlist
Producting cat bastards wantin' jiggy beats
For some wack rappers
Switch my style? Who you tryin'a play?
My beats'll maraud yo' ass any time of day
Like Deuce Bigalow's chick
Whenever you do shit
People see you and holler ""That's one huge bitch!""
Shit, when the LP rolls out
The Source'll be forced to make the quotables
A three-page fold-out
No doubt, I'm fed up with this wack shit
Bombin' the next kid wearin' Abercrombie and Fitch
And any jiggy rapper actin' fly on the radio's
Gettin' pulled out of rotation like a Firestone radial

Kashal Tee, the hip hop scene I phatten
Not even my winner's belt keeps my jeans from saggin'
It seems I'm braggin'
But fiends been naggin' for my next release
I apply all my expertise and make 'em extra pleased
Even get the vexed appeased, I make any brother feel this
All I do is independent, like double helix
Sellin' out? Well I hope that you're not
But how else could you afford all the soap that you drop?
You can't fuck wit me, yo, kid, look
Takin' me out ain't no small feat, you ain't Bigfoot
You should know who the heck you're facin'
Cause my reputation leaves no room for speculation
Now battle, is that you want to do?
What kind of man are you?
I bet you sit on the urinal too
Now that it's proven to you
They got a lot to tell us
NIMH got your heart skippin' beats like acapellas

I be a cryptic author
Writing poems on tombstones
Celph-Titled, the nigga you couldn't bring home 
I'm at the crib wit your bitch givin' me slow head
Split you up in more pieces than when Jesus broke bread
My clique is raw, be prepared when you meet us
Kill an unborn baby and you still couldn't de-fetus (ooh)
I don't battle with rhymes
I'd rather battle with nines
Instead of using my mind
I'd rather shatter your spine
The closest you ever came to a punch line
Was waitin' for refreshments at the prom in '89
I'm super crafty, super nasty, super raspy
Fuckin' bitches with super asscheeks
You fucking faggots don't know what raw speech is
I beat a bitch until her whole body turn to cleavage
I'm hyperactive so I drink decaffinated
My left jab is fatal, leavin' cats decapitated",https://genius.com/Cunninlynguists-616-rewind-lyrics
Imperial,Strange Journey Volume Two,2009.0," 
Its about time, like that shit that light up ya wrist
Real niggas keep pleadin' the 5th
Concealed dealings in the heat of the mist
In the jungle where the simians pull semis a-plenty
In the league of the chimps
I'm so for real with bananas and clips
So I fail with the gangstas and pimps
Try'na prevail, quick money attempts
Couple hits, nigga thinkin' he rich
But I was headstrong, dead wrong perhaps
Playin' scenes in my mind when a fiend relapse
Eyes rolled back in they head relaxed
But money feeds the J's to the feet of the cool
And my feet were famished after walkin' from school
Wood heels, smokin' kill with a hooligan crew
Talkin' slick to the fiends, even robbin' a few
Niggas lucky that it's rappin' that he happen to do
Cause oh, lo and behold, it could happen to you

And the beat goes up (imperial)
You can feel it in your lows (imperial)
Imperial rock (imperial)
Imperial roll (imperial)
 
The politics of pushin' potent potion
One toke and I bet I got you open
Peep what I prescribe to my smokers
Give em the proper dosage
Gary boy with dreams like Michael to see the ocean
I was local til the white boy Joseph put me on different coasts
Then he left me for dead, dog
So he could push the pussy pigs Sonic The Hedgehog
The crackers wanna profit off my topics of mockin'
But yo I'm from a small town called
""Bitch when I see you, I'm in yo pockets""
Niggas rock it let it dry, trap, traffic and train hoes
Poppin' my P-95 at polices in plain clothes
The ghetto just infested with felons
So whether its the fuzz or the thugs now you under surveillance
I got a letter from the feds in the mail
That say I'm connected with some niggas that's sellin' yayo
So share some information or you'll be sharin' a cell
""Lock me up and swallow the key, throw me under the jail
Never tell, I'm a gangsta""

And the beat goes up (imperial)
You can feel it in your lows (imperial)
Imperial rock (imperial)
Imperial roll (imperial)",https://genius.com/Cunninlynguists-imperial-lyrics
The Gates,A Piece of Strange,2006.0,"Tell the Reverend Harris to pray for me, Lord
I ain't gonna live
I don't believe I'm gonna live to get much older

Lights out, so peaceful, stressless
Things used to seem so restless
Forgive me please, see I need to address this
Just haven't been this breathless since I met this
Woman who lept into my life when I was reckless
Mothered my blessed kid, but was destined to exit early
Guess you can say I've been blessed with the best gifts
Reminiscing, holding her necklace in my clenched fist
Ha, it's funny how we move in sudden directions
Dedicated my life to the public's protection
Never remarried cause love's an investment
Besides, I had a baby girl to worry about
That would struggle to blend in
Now as I think, a weightlessness is interrupting my senses
A pulsing tension carries my very frame
I rise up in ascension - WAIT!
I try to escape, but I arrive at these gates
I see a figure standing guard who invites me to pray

I tried it on
At the gates of Hell
I'm going to lay
Down, down

I walk towards the figure that's extending its hand
I move to enter past the gates yet I'm met with its grasp

Slow down son, there's things to discuss such as family
But first, let us talk about vanity

Vanity?? Man, you're sadly mistaken
Either that or your sanity's shaken
If you'd examine me patiently
You'd retract on your statement
I haven't sinned flagrantly, I've acted as faithfully
As any other single father
Who raised a baby girl graciously

Nakedly, she was at your door after her mother's death
Ignorant to racial anger and other stress
Later had a mixed baby at her sweet sixteen
How did that fit within your picnic scene?

Sometimes it's too late to fix these things
The pristine dream was over
Had to face the fact she split these genes with his sick seed
With skin the darkest pigment seen
And so I kicked and screamed
Until we found the peace that distance brings

A mixed raced queen, that was your thoughts about her mama
Up yonder went her soul, your hate growed from ponders
On life, being less trife with a white wife
So any instance of y'alls differences it was slice-slice

Oh my, it's not her race, my daughter's love flies blind
I couldn't take her making the same mistakes that crushed my life
I'm dumbstruck by these baseless allegations
I've saved too many lives of all creeds
For you to paint me as a racist
I've endangered my own safety to save babies from blazes
Black, white, latino, even asian on occasion

But why so?

How dare you question my motivation!

No need to second guess, your only aim was to be famous
Lord knows, you've left behind scorched souls
Black children left chilling, later found burnt whole
So sadly, your glory's to come urgently
Sentenced to fight fires for eternity",https://genius.com/Cunninlynguists-the-gates-lyrics
Seasons,SouthernUnderground,2003.0,"One two
It's Masta Ace, Cunninlynguists
We about to get into the seasons
The seasons of hip hop
How we gonna start it?

As we spring back to the past, it was all happening fast
We glorified coke and smoking crack in a glass
When b-boys danced to the latest jam
You could say this man was the greatest fan
When shoelaces were fat, and all the rapper's faces were black
And light-brown, a box with the right sound was all you needed
When it blast, they must move
You just proved you're hard like L in Krush Groove
And songs started to drop, Ain't nobody start at the top
Before Preme learned the art of the chop
This is way before SP's and MPC's
And long before CD's and MP3's
The game started to bloom and blossom
And masters ready for the cermony, like a groom in costume
Growth from the rain of the previous years
I took notes from what I heard through these devious ears
Yeah

As Summer's heatwaves ascended in it's splendid manner
Green was flooding our scene, although the skin was tanner
""Fuck The Police!!"" jumpin over radio scanners
It was hot in the shade, wet paint all over the canvas
Fuck Vanilla Ice cones, we had T, Cube's
 
Amerikka's Most
And wanted that Chronic on the Left-Coast
Talent pools were full and fresh for swimming
Backstrokin' through Dark Sides and Illmatic beginnings
Them lemonade stands would make you street platinum
It was 2 Live, Florida crews caught heat for rappin'
But free speech pollination kept bees colonizing in hives
And stung Delores Tucker right in her pride
The Tribes ocean splash was rising the tide
Strictly 4 My Niggas 
that were Ready To Die in the ride
I wish the summer's vibe could've lasted forever
To bad we had to have a change in that weather, that shit was beautiful

""Seasons Change, mad things rearrange""
""Play me in the winter
Play me in the summer
Play in the autumn
Any order""

""Trees bright and green turn yellow brown, autumn caught em
See all them leaves must fall down""
Verse 3: 
As the East vs. West winds blew, causing 
two
Legends to Fall like maple leaves from escalated beef
Assumed that the worst was over
Til these cats started wearing shiny costumes like the 31st of October
The weather's colder, but the word jacket/jack it
Is what they did to people's styles
Not what they covered they backs with
Tactics of the skill impaired
No Limit
 to what they'll do when the green is scarce
Some be Thanksgiving for who they know
While others get jerked for loot
Cause getting signed ain't a turkey shoot
No respect for the pilgrims who paved the way so you could rock that
Just pop crap and Plymouth Rock-Rap
Beyond gimmicks and fake plastic tits
Outkast and Raekwon dropped fall classic discs
Born to Roll, so I'm taking you back to school days of autumn
Before the bottom dropped out in 2K

By the dawn of the new millennium we saw bright chains
Winter brought along platinum causing the ice age
No more Gold, no more YO! MTV RAPS
Now we got R&B cats stealing classic rap tracks
In winter it's snowed in like the temperature's below ten
Citizens open up shows for 
more snowmen
Scrawny boys rock bubblegooses to pose like grown men
And you can catch freezer burn from women when they show skin
Jolly, fat, white men get paid when rap hits the shelves
And artists themselves get treated like Elves
Matter of fact, Santa's gotten so greedy when a rapper sells
You even need clearance to sample Jingle Bells
What the hell! You need cells and 2 ways for chicks to bone ya?
And so much ice on ya body that you can get pneumonia
Even at the beaches of Daytona it's gotten colder
But it's about time for the cycle to start over (echo)
How we gon' start it?",https://genius.com/Cunninlynguists-seasons-lyrics
Castles,Strange Journey Volume Three,2014.0,"Oh, yeah
(""You will fall, the castles you keep"")
It's time they come down—down

""—castle we will keep""
""Clean them, sell them""
""His castle we will keep""
""Clean them, sell them""
""His castle we will keep""
""Clean them, sell them""
""His castle we will keep
We will sleep""

He said, ""Fuck sobriety, death to the worker bees""
Thirteen circles I've stepped for eternity
Burning purple, stressed on a murder spree
It's self-inflicted, don't get it twisted
These knives in my back now, Elliott Smith(yeah)
Rides in the background, melodies fit (yeah)
Mixed with the misfits, fix is the hurt
When the lips that I kiss with press to the dirt
French-kiss vixens, distant and cursed
Burned bridges occurred from scriptin' my words
Word, so I'll chisel a verse
On these lie-filled halls that I've lived in and searched
I'm still lost in a head of catacombs
Cause I build walls like I'm Edgar Allan Poe
I've killed off every damsel that I know
For castles that I keep, castles that I know

""—castle we will keep""
""Clean them, sell them""
""His castle we will keep""
""Clean them, sell them""
""His castle we will keep""
""Clean them, sell them""
""His castle we will keep
We will sleep""

I'm having spirits in the dark, laying under moonlight
Laughing with a stranger, like I saved her from her doomed life
Pop a couple Percs, a perk of anonymity
Trapped within a curse that I created with my energy
A path that I rehearse, a cycle on repeat
Life is like a lion and I'm dying at its feet
I roll another sweet, check my muted Treo
I've seen them as the plot, too busy caught up in the B-roll
My eye up to the keyhole, scared to turn the knob
And go out on my own, instead I blend in with the mob
My memory bank's the only thing I tend to rob
And every time I phone the lob, I'm out of dodge
It's hard, on the boulevard, and other clichés
The type of bullshit that I'm feeding self these days
Corrosion on my relays, one thing my mirrors chose
An imp in new clothes, exposed

""—castle we will keep""
""Clean them, sell them""
""His castle we will keep""
""Clean them, sell them""
""His castle we will keep""
""Clean them, sell them""
""His castle we will keep
We will sleep""

I mow a dead lawn, aim for the alpha
Ten claws deck the halls of Valhalla
Not a man, a receptacle for crest-fallen matter
Never tempered or pressed into patterns
But just won't die, instead a palpitation from the plasma
Pumping disenchanting anecdotes and antiquated data at 'em
I get these headaches that climb down into my stomach
Then off into my extremities and out into the public
In a flood of shadow puppetry, something in the air
Got a tiny pool of energy becoming self-aware
It's recognizing family and alphanumeric characters
Scenery and deities with unassuming avatars
Close encounters exacerbate his condition
From classy to a bastion of classic misdirection
Tune into the Casio adventures
When the rest of me can barely form a god-damn sentence

""—castle we will keep""
""Clean them, sell them""
""His castle we will keep""
""Clean them, sell them""
""His castle we will keep""
""Clean them, sell them""
""His castle we will keep
We will sleep""",https://genius.com/Cunninlynguists-castles-lyrics
Stars Shine Brightest (In The Darkest Of Night),Oneirology,2011.0,"You can only see the stars when it’s Don Cheadle black
When the chips are down who dips and who reacts?
Folding under pressure ain’t get us to where we at
When all hope’s lost you battle to get it back
In fact, dark times are when heroes shine
Without them sour grapes there would be no wine
Let your ego dine, adversity for breakfast
Zero pride, in settling for less then
Fighting tooth and nail, no matter who prevails
Instead of wishing on a star grab a comet by the tail
Your ship ain’t coming in, then you got to make a sale
Catch the wind and make it sail and hit the ground runnin’
Til ya heartbeat sound like a battle drum thumpin’
Those talking ‘bout failure ain’t talkin’ ‘bout nothin’
You may weather the storm if you don’t stop punchin’
Reach for the stars and you might just touch ‘em

Stars shine, stars shine
When you think you’ve lost your way
Making for a brighter day a brighter day
Stars shine, stars shine
Coming out to light the way
Making for a brighter day a brighter day

Our money’s funny, our change is strange
These days ain’t sunny and the sea ain’t tame
We playing games where the rules ain’t clearly defined
In this coffee black world, knee deep in the grind
Be a vine in the shade, a salmon in a stream
Try lookin’ for the stars when examining your dreams
Could go from street singers to pop figures
From block niggas to a brotha that is followin’ stock tickers
To grow in the night you gotta create light
Gotta be a gamma ray burst that erase sight
No astronomer has seen your incredible gleam
And you don’t need a telescope to detect dream
You blessed with a mind that can see through space
On dark nights, in the stars you can find your face
Just look up and marvel at all the constellations
Egyptians built pyramids from these creations

Stars shine until you’re back into the, back into the
Stars shine until you’re back into the, back into the
Stars shine until you’re back into the, back into the light, light
Stars shine until you’re back into the, back into the
Stars shine until you’re back into the, back into the
Stars shine until you’re back into the, back into the light, light, light

Against all odds and against the grain
Sun becomes shelter in the midst of rain
In monsoon proportions them moments of importance
When victory’s in vain it’s the same the blood coursing
Of course when selfishness inside provides poison
Apply it to your life and let it sink in like ointment
Poised when them black clouds come ‘round don’t back down
Let haters be theme music playin’ in the background",https://genius.com/Cunninlynguists-stars-shine-brightest-in-the-darkest-of-night-lyrics
