title,album,year,lyrics,urls
Deepthroat,Cum Cake,2015.0,"Molly on the beat

Hump me, fuck me
Daddy, better make me choke (You better)
Hump me, fuck me
My tunnel loves to deep throat (It do)
Lick, lick, lick, lick (I lick it)
I want to eat yo' dick (I do)
But I can't fuck up my nails (I can't)
So I'ma pick it up with chopsticks

Mouth wide open, mouth wide open
Mouth wide open like I was at the dentist
Mouth wide open, mouth wide open
Put it so deep, I can't speak a sentence
Mouth wide open (Ah), mouth wide open (Ah)
Mouth wide open like I was at the dentist
Mouth wide open (Ah), mouth wide open (Ah)
Put it so deep I can't speak a sentence

My fingers in it, gentle (Yeah)
Explore this nigga mental
I'ma write my name on his dick (His dick)
Don't need a pen or a pencil (No, I don't)
All I need is my body (My body)
My pussy pink just like salami (Ooh)
Don't need no drink to get naughty (No)
'Cause bitch, I'm not Bill Cosby (I'm not)
My pussy mean, and it's clean (It is)
I'm not a squirter, I cream (Squirts girl)
Keep it smelling like baby wipes
I never smell like sardines (Ew)
This will never fucking end (It won't)
Ballerina that dick when I spin (I do it)
I fucked this nigga so good
I ain't swallow one kid, I think I swallowed twins (Ah)

Hump me, fuck me
Daddy better make me choke (You better)
Hump me, fuck me
My tunnel loves to deep throat (It do)
Lick, lick, lick, lick (I lick it)
I want to eat yo' dick (I do)
But I can't fuck up my nails (I can't)
So I'ma pick it up with chopsticks

Mouth wide open, mouth wide open
Mouth wide open like I was at the dentist
Mouth wide open, mouth wide open
Put it so deep, I can't speak a sentence
Mouth wide open (Ah), mouth wide open (Ah)
Mouth wide open like I was at the dentist
Mouth wide open (Ah), mouth wide open (Ah)
Put it so deep I can't speak a sentence

Just come put it down my butt (My butt)
Let's shoot a movie, no cuts
Ride the dick, get my nipples licked
That's breastfeeding while we fuck (Fuck you)
Finna get the dick wet and firm (Firm)
You better sweat me out of my perm (My perm)
Can't wait 'til it's my turn
I wanna blow bubbles with sperm (I blow)
Wanna hit it from the back
Let me arch my back
Once I arch my back
That mean attack this pussy
Don't need a pornstar
'Cause I'm the moderin'
All my spit on his dick
Sound like I'm gargling
Make him bust three nuts, is the task (Ah)
My panties stuck in my ass (Ah)
So I pulled them down to show him the pearl
Made his pubic hairs curl fast

Fuck this pussy
Fuck this pussy
Fuck this pussy
Come fuck this pussy
Fuck this pussy
Fuck this pussy
Fuck this pussy
Come fuck this pussy",https://genius.com/Cupcakke-deepthroat-lyrics
Vagina,Cum Cake,2015.0,"Remind ya I'm kinda (wet)
Runnin' down my vagina
(Wet) Runnin' down my vagina
(Wet) Runnin' down my vagina
Remind ya I'm kinda (wet)
Remind ya I'm kinda (wet)
Run it down my vagina
(Wet) Runnin' down my vagina
(Wet) Runnin' down my vagina
Remind ya I'm kinda (wet)

Slurp that dick 'til it cum
Slurp that dick 'til it cum
Slurp that dick 'til it cum
Smack my ass like a drum
Slurp that dick 'til it cum
Suck that dick 'til it cum
Slurp that dick 'til it cum
Smack my ass like a drum

I change the thongs two times a day
Its Niagara Falls in this pussy all day
Pussy so good I'm on a trip to the bay
Soon as he put it in that nigga calling me bae
I'm like ""Papi, Want to see a trick that's worth it?""
Juggle them balls in my mouth, deep throat circus
Drop something, pick it up slow on purpose
Watch me bend over, come daddy and hurt this
Freak lil bitch, I'm sorry I can't help it
He don't want me fucking nobody else, he selfish
Should've saw the face on that nigga face when he felt this
Coming all down his dick, warm and  melted

Remind ya I'm kinda (wet)
Runnin' down my vagina
(Wet) Runnin' down my vagina
(Wet) Runnin' down my vagina
Remind ya I'm kinda (wet)
Remind ya I'm kinda (wet)
Runnin' down my vagina
(Wet) Runnin' down my vagina
(Wet) Runnin' down my vagina
Remind ya I'm kinda (wet)

Slurp that dick 'til it cum
Slurp that dick 'til it cum
Slurp that dick 'til it cum
Smack my ass like a drum
Slurp that dick 'til it cum
Suck that dick 'til it cum
Slurp that dick 'til it cum
Smack my ass like a drum

Can't no bitch replace this young twat
Cause' I can go 24/7 its non stop
Know how to keep your man off the block
Roll my pussy on the dick, while I'm drinking pop
Fuck Yeah I said it and this nigga got good credit
He give me his credit card & tell me to use debit
Cause being with me, my niggas stay well feeded
He sucking my pussy while he getting his hair dreaded
He smoke trees while I'm up on my knees
After that cooked him steak with grilled cheese
Then back to riding that dick until he can't breathe
He fucked me so good, I couldn't find my weave

Remind ya I'm kinda (wet)
Runnin' down my vagina
(Wet) Runnin' down my vagina
(Wet) Runnin' down my vagina
Remind ya I'm kinda (wet)
Runnin' down my vagina
(Wet) Runnin' down my vagina
(Wet) Runnin' down my vagina

Slurp that dick 'til it cum
Slurp that dick 'til it cum
Slurp that dick 'til it cum
Smack my ass like a drum
Slurp that dick 'til it cum
Suck that dick 'til it cum
Slurp that dick 'til it cum
Smack my ass like a drum",https://genius.com/Cupcakke-vagina-lyrics
Duck Duck Goose,Ephorize,2018.0,"I thought I came but I peed on the dick
Pubic hair got inches, that's weave on the dick
Pussy like a tree, it got leaves on the shit
Bang bang this pussy, Chief Keef with the dick
Climbing on that dick, need a 10 feet ladder
I love the D, that's my favorite letter
My nudes in your phone, takin' up your data
My cakes got fatter by usin' cum as the batter
Look down to your dick and tell him I won't disappoint it
Pussy on punishment if she miss a dick appointment
Sloppy toppy for papi, leave sloppy Joe shook
I only call you Captain, 'cause your dick is off the hook

I can make your dick stand up (are you ready?)
Like Statue of Liberty once we fuck (so hard)

Tap the head of the dick, duck, duck duck goose
Head of the dick, duck, duck duck goose
Get that dick up and runnin' when he fuck this cooch
Covered in all my cum, the dick be lookin' like a goose
Head of the dick, duck, duck duck goose
Head of the dick, duck, duck duck goose
Get that dick up and runnin' when he fuck this cooch
Covered in all my cum, the dick be lookin' like a goose

Twat so wet, you could take a cruise on it
Suckin' yo neck till I leave a bruise on it
Let you eat the pussy, just don't use a spoon on it
Put it in a box like you 'bout to move on it
This that submarine pussy, Mr. Clean pussy
This that I'm 'bout to fuck you longer than the limousine pussy
High self-esteem pussy, it's a dream pussy
If you broke, then the pussy actin' funny like a meme pussy
Easy-Bake Oven and this pussy so similar
Touchin' yo head but ain't checkin' the temperature
Got the dick on lock like a motherfuckin' prisoner
Nut in my pussy hair, that's deep conditioner

I can make your dick stand up (are you ready?)
Like Statue of Liberty once we fuck (so hard)

Tap the head of the dick, duck, duck duck goose
Head of the dick, duck, duck duck goose
Get that dick up and runnin' when he fuck this cooch
Covered in all my cum, the dick be lookin' like a goose
Head of the dick, duck, duck duck goose
Head of the dick, duck, duck duck goose
Get that dick up and runnin' when he fuck this cooch
Covered in all my cum, the dick be lookin' like a goose

Cut the dick off, took it home with me
'Cause any dick that long, it belong with me
This pussy iconic, yeah it moan with me
Put your finger in the hole, come bowl with me
Let me brush your pubic hairs while I suck on your cock
Get all the cum out your dick, make it go out-of-stock
Turn it into a Yeezy shirt when you rip off my top
My box already small, it don't need to be cropped
Turn double-dutch with yo' balls while I'm jumpin' on your dick
Tell your grandma sew my pussy, since you split open my clit
Coochie guaranteed to put you to sleep so damn soon
Ridin' on that dick, I'm readin' Goodnight Moon
Vending machine, vending machine
Can't eat it until there's money between, money between
This pussy is a vendin' machine, vendin' machine
Can't eat it until there's money between, money between

Vendin' machine, vendin' machine (oh yeah)
Vendin' machine, vendin' machine (oh yeah)
Can't eat it until there's money between, money between
This pussy is a vendin' machine, vendin' machine",https://genius.com/Cupcakke-duck-duck-goose-lyrics
LGBT,Audacious,2016.0,"Fuck out my way when you see me
I'm rollin' with the LGBT
Fuck out my way when you see me
I'm rollin' with the LGBT
I'm rollin' with the LGBT
I'm rollin' with the LGBT
Lookin' like we belong on TV
I'm rollin' with the LGBT

Too cool for this shit, look at my body language
Shit on everything, I need some potty training
Money missing, had to ask him, ""Where the rest, dummy?""
(Where it's at?)
Before I call my bitches up, they say ""yes, hunty""
(You know it)
Judge one of the studs, they gone bring some thugs (ya)
Judge one of my drags, catch a heel up yo' ass (uh-oh)
Don't judge a lesbian, 'cause she don't want you back, man (woo)
Judge one of the gays, they drag you from Z to A (they will)
And shout out to the bi's, you ain't gotta pick a side (nope)
And if you in the closet, shorty, you ain't gotta hide (come out)
Gotta make these bitches sick when they see you (What?)
And if a bitch want beef, give her beef stew (yup, yup)
Stripper right in front of me, I hope she washed her ass (you know it)
She looking at my fine gays, but they don't wanna smash (nope)
Know they 'bout to act a fool, time is past due
Then the gays hop on stage, like, ""I can shake my ass too.""

Fuck out my way when you see me
I'm rollin' with the LGBT
Fuck out my way when you see me
I'm rollin' with the LGBT
I'm rollin' with the LGBT
I'm rollin' with the LGBT
Lookin' like we belong on TV
I'm rollin' with the LGBT

Fashion wise, they don't play (no, boy)
When they step out, they gone slay
I'm talkin' tight jeans, good hygienes
Mothafuckas stay fleek everyday, yeah (We fleek!)
Fuck with them, you better run off
No skydivers, gone jump off
No pun intended, hoes offended
'Cause they see we flyer than flight attendants
Do a hair flip, then I dip (then I dip)
In the strip club throwing tips
In V.I.P., I'm 'bout to buy more
'Cause life too short, like hype sports
Tissue in my bra, bitch, gone head (gone head)
Bad bitch, and I got long legs (long legs)
Ass super plump, full of cornbread
I shut a bitch up like a phone dead (no, bitch)

Fuck out my way when you see me
I'm rollin' with the LGBT
Fuck out my way when you see me
I'm rollin' with the LGBT
I'm rollin' with the LGBT
I'm rollin' with the LGBT
Lookin' like we belong on TV
I'm rollin' with the LGBT",https://genius.com/Cupcakke-lgbt-lyrics
Spider-Man Dick,Audacious,2016.0,"I'm horny
I'm horny
C'mon
C'mon now, baby
Put it in deeper
Suck that D right now, right now

The dick connected to my walls, like it's Spiderman (yeah)
My saliva don't dry up, even by a fan (it don't)
You got me caught up in yo web, you my Spiderman (uhh)
Suck ramen noodles off that dick, that's my vitamin

Taking you in private, private, private
To sit on yo private, private, private
I ride it while you drive it, drive it, drive it
Let you swim in my island, island, island
Taking you in private, private, private
To sit on yo private, private, private
I ride it while you drive it, drive it, drive it
Let you swim in my island, island, island

Pretty feet, and they don't smell like Fritos
Fuck me 'til my pussy redder than Hot Cheetos
Take a look through my clit like a peephole
After we sex it, you could exit, I'm a freeload, yeah
Hello, hello, it's nice to meet you
Come beat this pussy up like Sharkeisha
Young twat, got more eggs than Easter
Nipples look like pepperoni pizza
It's looking soft, let me jack it off
Stick it in my hole, like we playing golf
Drop them drawers, suck yo balls
Work my jaws, it's all in the law
Stroke me slow daddy, and do yo best
Bring a big dick package, no UPS
Good sex when you make a mess
Come suck the milk out my fucking breast
Just do it, you ain't gotta ask me
Put yo face in my ass cheeks
Wisconsin Dells, pussy splashy
Keep the dick wet, it never ashy
Gotta know how to treat this (treat this)
I like my dick deep dish (deep dish)
Don't want no dick that got foreskin
I'm a have to show you to the door man (bye, bye)

The dick connected to my walls, like it's Spiderman (yeah)
My saliva don't dry up, even by a fan (it don't)
You got me caught up in yo web, you my Spiderman (uhh)
Suck ramen noodles off that dick, that's my vitamin

Taking you in private, private, private
To sit on yo private, private, private
I ride it while you drive it, drive it, drive it
Let you swim in my island, island, island
Taking you in private, private, private
To sit on yo private, private, private
I ride it while you drive it, drive it, drive it
Let you swim in my island, island, island

I run yo dick, no marathon
And afterwards, I'ma need a hair salon
Got the magic touch and I don't need a wand
Make the dick come faster than Jimmy Johns
I'll suck a fart out yo ass, just pass me a lil cash
Had to show this nigga I am not a coward
And this pussy go a 100 miles per hour
The dick shock me like it taze me
Like a newborn better spank me
Can't suck no dick being lazy
Pussy lips fatter than Jay-Z
Bang me on the floor like the cry baby
I'm 'bout to shut you up like the library
Trend of sucking dick, it's important
Keep that tongue out, like Jordans
Rub on my clit, it's lit
Oh yes, my papi love this
I flip this pussy inside out, I call that Gabby Douglas
You still eat it while I'm bleeding, that's my vampire
Hot pussy on yo dick, well, we can make a campfire

The dick connected to my walls, like it's Spiderman (yeah)
My saliva don't dry up, even by a fan (it don't)
You got me caught up in yo web, you my Spiderman (uhh)
Suck ramen noodles off that dick, that's my vitamin

Taking you in private, private, private
To sit on yo private, private, private
I ride it while you drive it, drive it, drive it
Let you swim in my island, island, island
Taking you in private, private, private
To sit on yo private, private, private
I ride it while you drive it, drive it, drive it
Let you swim in my island, island, island

Pussy go up and down, like a seesaw
Up at night, that's sleepwalk
Licking all on yo meatballs
I drool on it, like a sleep dog
I can tell by the way that he sounding
He want another round, but who's counting?
Titties so perky, he so thirsty
I should show him to the Buckingham Fountain
I'm a tater thot, I'm a thot tater
On his front porch drop the newspaper
Just to fuck him and his brother
'Cause I'm a real hoe, ain't no rules to the paper
I'm a kangaroo, the way I'm 'bout to hop on that dick
Stretch this pussy out and put stretchmarks on my shit
I fuck the dick on the go
I suck the dick like a pro
Not getting snot up my nose, but you know I'm 'bout to blow
Let me prove that I'm with it
Make my legs touch the ceiling
Pussy fatter than a piglet
Eat this pussy, have a picnic
Have you ever met a girl more nasty than 2 Girls and 1 Cup?
Put the dick head down, thumb up my butt
That's how we play seven up
Let me talk all in yo ear, longer than a Martin Luther King speech
My coochie did a lot of dirty things, so of course it need bleach",https://genius.com/Cupcakke-spider-man-dick-lyrics
Juicy Coochie,Cum Cake,2016.0,"Shove down the dick so my tonsils rip
Shove down the dick so my tonsils rip
Circle my tongue all around yo tip
I said shove down the dick so my tonsils rip
Shove down the dick so my tonsils rip
Shove down the dick so my tonsils rip
Circle my tongue all around yo tip
Shove down the dick so my tonsils rip

He was like oo-wee, oo-wee
Oo-wee, oo-wee
Oo-wee , oo-wee
Oo- wee , oo- wee
Felt my juicy coochie
Juicy coochie, juicy coochie, juicy coochie
Oo-wee, oo-wee
Oo-wee , oo-wee
Oo -wee oo-wee
Oo-wee,  oo- wee
Felt my juicy coochie
Juicy coochie, juicy coochie, juicy coochie

Under the table I'm giving head while he eating cornflakes
Cause my job ain't done if that nigga still awake
Nigga moan so much I fuck him with duct tape
I'm 18 but got a tight pussy like I'm 8
Coochie stay waxed so I ain't never got to comb her
Fuck a nap time I'm fucking you into a coma
Give you the best sex, swallow yo dick
Hope it dont stick out the front of my neck
Pound pound I like to get cracked real hard
So excuse me sir if my pussy fart
To make my thighs shake like jello
I need a dick longer than a eggroll
Show you a different 69 that no one knows
Like I'm sucking yo toes while you eating my butt hole
He done busting but I'm sucking until he pee
I suck dick like a granny like I don't got no teeth

Shove down the dick so my tonsils rip
Shove down the dick so my tonsils rip
Circle my tongue all around yo tip
I said shove down the dick so my tonsils rip
Shove down the dick so my tonsils rip
Shove down the dick so my tonsils rip
Circle my tongue all around yo tip
Shove down the dick so my tonsils rip

He was like oo-wee, oo-wee
Oo-wee, oo-wee
Oo-wee , oo-wee
Oo- wee , oo- wee
Felt my juicy coochie
Juicy coochie, juicy coochie, juicy coochie
Oo-wee, oo-wee
Oo-wee , oo-wee
Oo -wee oo-wee
Oo-wee,  oo- wee
Felt my juicy coochie
Juicy coochie, juicy coochie, juicy coochie

Nobody call my phone after nine o'clock
Cause I'll be giving topnotch top
Hopping on that dick like hopscotch
He love to get inside cause the box hot
You know the pussy good when he kicking off his socks
Ain't got time to stall, let me massage yo balls
Pussy made him scream cause it ain't got thin walls
Pull his dick out the hole of a bagel
Then suck, then get anal while I'm watching cable
Then move and groove slow while I'm nude
Gotta put a bib on when he put the dick between the pool
Cause I drip so much slob on the cock you know
Give you what you want like we on The Oprah Show
Niggas chase to taste but I don't never run
Make that cock disappear that's kidnap cum
Yo dick is my bullets let me get you stung
Wrap my lips around that thang like a hot dog bun
I'm a hoochie with the coochie
Hoochie with the coochie
Hoochie with the coochie
Hoochie with  the coochie
Dick fatter than Peter Griffin and the head bigger than Stewie",https://genius.com/Cupcakke-juicy-coochie-lyrics
Search,Cum Cake,2016.0,"This shit crazy
Look

Bean bag full of shots different from a bag of Skittles
If shit get bumpy bust it in yo face like a fucking pimple
I need God to answer more prayers so I'm headed to the temple
Bitches sit around on they ass like they done failed cripple
Every convo got a time limit
Cause I dont like to put my mind in it
I don't sympathize with nobody guys
Look me in my eyes and they traumatized
A nigga can't even make me blush
Cause I get more play than Toys R Us
Lay her body out like thin crust so we can chop it up with no Pizza Hut
Waste time on a amateur, give him 31 shots no calendar
I bet he kick back when he heat it make a nigga jump like a cheerleader
Feel it like Peter pushing bitches to the side like Amina
Since I'm the color of a pork and bean
I don't wanna see no cops on the scene
Cause shit could get terrible
So when I move a body or I do a robbery I'm careful
Stained quick you ain't getting shit, money ain't shareable
So don't try to walk a day in my shoes, he-hell naw they ain't wearable

Might need me a church niggas finna get hurt
Dig deep in that dirt for that body you search
For that money I search  for that body they search
For that money I search for that body they search
Might need me a church niggas finna get hurt
Dig deep in that dirt for that body you search
For that money I search  for that body they search
For that money I search for that body they search

I'm a search search search search
I'm a search search search search
I'm a search search search search
For that money I search for that body they search

Shorty I can't even save ya, like I ran out of data
Bitch I'm typing up yo will, gone say bye to Jada
Got guns in the backseat bigger than an alligator
If I draw the chopper on you it's only out to erase you
Let me show you a sample, aim at yo head
Make it bubble like shampoo
Money ain't coming slow-mo, if it cost to be the boss
Then nigga what's the total?
Niggas say they global, they not even mobile
We can't even social ,got him getting vocal
I'm just on a move half the ones who ain't got shit
Got hella shit to prove (bitches)
Bitches still broke if you getting money and them bills due
Holla at my mans fo' he talk them bands cause I'm not a fool
Big family I got to feed more than the Huxtables
So when you see me in yo sight
Bets believe I'm finna hustle you
Motherfuckers out here owe me money thinking they untouchable
If she don't meet me with my cheese
I'm a crack her that's a Lunchable

Might need me a church niggas finna get hurt
Dig deep in that dirt for that body you search
For that money I search  for that body they search
For that money I search for that body they search
Might need me a church niggas finna get hurt
Dig deep in that dirt for that body you search
For that money I search  for that body they search
For that money I search for that body they search

I'm a search search search search
I'm a search search search search
I'm a search search search search
For that money I search for that body they search",https://genius.com/Cupcakke-search-lyrics
Old Town Hoe,UnKnown,2019.0,"I'm gonna take your dick, put it in my hole
I'm gonna ride 'til I can't no more
I'm gonna take your dick, put it in my hole
I'm gonna ride 'til I can't no more

Look like a horse show from the back, yeah
On the dick, I ride
Never turnin' his mic off like Nicki at Coachella, facts, yeah (Love you Nicki)
Ride it like a horse, good brain like a dork
Told him go pig out, but baby we don't eat no pork, yeah

This what happens when we fuckin', yeah
Every time we get to fuckin'
Keep suckin' even when he cummin', yeah
All fingers in me like a puppet

Once he paid my rent, we been fuckin' ever since, yeah
When he finger me, he gotta wear an oven mitt (It's hot)
Hey, cum up in my nose, 2, 4, 7 give him blows
Now walkin' with bad knees, like my name was Derrick Rose (Ouch)
I can't be no cheap ho, nastier than Rico
Hit this pussy harder than a mothafuckin' Creed show
I forgot to shave, so this pussy look like hay
April showers on that dick, then baby shower up in May

I'm gonna take your dick, put it in my hole
I'm gonna ride 'til I can't no more
I'm gonna take your dick, put it in my hole
I'm gonna ride 'til I can't no more

Head down, ass up, feelin' like a cockstar
Watch it grow up in my mouth every time it's not hard
Open up the box, then eat it up just like a Pop-Tart
Make the dick harder than back seats in a cop car
Why the fuck do you keep pullin' my tracks?
'Cause if it fall out, bitch, then you gluin' it back
I'm tryna suck your dick 'til my jaws get swole
I'm tryna ride like Rosa Parks on the road

I'm gonna take your dick, put it in my hole
I'm gonna ride 'til I can't no more
I'm gonna take your dick, put it in my hole
I'm gonna ride 'til I can't no more",https://genius.com/Cupcakke-old-town-hoe-lyrics
Pedophile,Cum Cake,2016.0,"Pedophile
Pedophile

(He said) Promise me you won't tell
(He said) Promise me you won't tell
(He said) Just promise me you won't tell
If I take you to the hotel
(He said) Promise me you won't tell
(He said) Promise me you won't tell
(He said) Just promise me you won't tell
If I take you to the hotel

Things are so intimate I used to be so innocent
Until he touched me in a spot that made me hot
And ever since nothing really made sense
Something was wrong because he had a beard
Even knowing his age it still felt weird
He had a suit and tie instead of pants hanging
He owned his own company not gang banging
It attracted me, loved it was scared to bring him in public
Society would judge worser than Young Thug
The way his pants hugged and attack me
It struck to my core that I liked grown men
Not 1 or 2 years older, man I'm talking about 10
Ran to him for protection to people opinions
Kept coming and coming like an election
He told me ""don't say shit we got to keep it down, erase your call log when my number get dialed""
To get used to it , it really took awhile
Running around town with a pedophile

(He said) Promise me you won't tell
(He said) Promise me you won't tell
(He said) Just promise me you won't tell
If I take you to the hotel
(He said) Promise me you won't tell
(He said) Promise me you won't tell
(He said) Just promise me you won't tell
If I take you to the hotel

Brainwashed with what you tell me
What you mean? I was 15 and you play me like R.Kelly
Ready for suicide I'm getting my tubes tied
Don't want another man on me cause I imagine you inside
Refuse to be abused, misused and bruised
You get accused and act confused fuck wrong with this dude?
Bitch ass prick you ain't slick, why me?
Why I have to be the victim you pick?
I was just a sophomore (yeah bitch)
You belong in one room, no windows, one door
I'm cool and I got God to cherish me
That's the only man  that I need until I get me some therapy

(He said) Promise me you won't tell
(He said) Promise me you won't tell
(He said) Just promise me you won't tell
If I take you to the hotel
(He said) Promise me you won't tell
(He said) Promise me you won't tell
(He said) Just promise me you won't tell
If I take you to the hotel",https://genius.com/Cupcakke-pedophile-lyrics
Doggy Style,S.T.D (Shelters to Deltas),2016.0,"My vision getting foggy now
Every time he hit this pussy up in doggystyle
My vision getting foggy now
Everytime he hit this pussy up in doggystyle
Yelling out
(Bark, bark, bark, bark, bark, bark, bark)
(Bark, bark, bark, bark)
Swallowing cum, make me
(Bark, bark, bark, bark, bark, bark, bark)
(Bark, bark, bark, bark)

Way past a freak, I'm more like disgusting
Pussy taste sweeter than sweet potato pumpkins
Stay ass naked, clothes haven't been worn
Squeezing my pussy then it drip like getting juice out a orange
No cheap hotels you taking me to the Hyatt
Eating that dick for dinner got me cheating on my diet
Ass high in the air like I been fucking the pilot
Swallow his babies so he won't be on Maury trying to deny it
Warning I'm not the type to take home
Got to give me coins to talk just like a payphone
I hit the Mimi on the dick, the shower rod I hang on
And this pussy baldhead like Amber Rose and Grace Jones
Daddy speed up, I'm throwing my knees up
It's so warm in this pussy hotter than a teacup
I'm taking you out yo shell like cracking some peanuts
And sorry you can't titty fuck my little B-cups
I ripped off his tank and then I got spanked
I'm musty ass hell so I know that I stank
If I let you fuck lil nigga say thanks
My blowjobs will make a nigga empty his bank
I make him say ""Ow""! like MJ
I like to pose with a towel like Kim K
Told him eat it, it's organic he call me punta for romantic
Got in my boat and then he sink, I wet that dick like it's Titanic

My vision getting foggy now
Every time he hit this pussy up in doggystyle
My vision getting foggy now
Everytime he hit this pussy up in doggystyle
Yelling out
(Bark, bark, bark, bark, bark, bark, bark)
(Bark, bark, bark, bark)
Swallowing cum, make me
(Bark, bark, bark, bark, bark, bark, bark)
(Bark, bark, bark, bark)

No tricks allowed but definitely gotta treat me
Give me the best dick, no gang bang that's B.D
He playing the 2K so I'm a play with his wee wee
Pussy smaller than that hole in the middle of a CD
Belly rolls wanna play trying to get in my way
The dick swab through my mouth like checking for DNA
Ride it all day everyday like it give Uber a call
Fall off the dick and get back up like Beyoncé Super Bowl
Body turnt to the side like his hat cocked
Been sucking dick for about two hours when I check watch
Brought my friend to the room, he all up on us
Cause we licking dick like Ariana lick the donuts
I got black knees but it's not from being spiritual
I call the dick Freddy Kreuger cause it's fearable
Open your mind I ain't talking 'bout no cereal
Got niggas dying just to get into my Cheerio
Let me bounce on that dick like a trampoline
Coochie wet look like he stuck it in some Vaseline
Baby yo sex feel like fitness no abuse become hitless
Pull that footlong out yo pants and let's put Subway out of business",https://genius.com/Cupcakke-doggy-style-lyrics
