title,album,year,lyrics,urls
Insane in the Brain,Black Sunday,1993.0,"Who you trying to get crazy with ése?
Don't you know I'm loco?


To the one on the flamboyant tip
I'll just toss that ham in the frying pan
Like spam, get done when I come and slam
Damn, I feel like the Son of Sam
Don't make me wreck shit, hectic
Next get the chair got me going like General Electric
""Aaaant"", the lights are blinking, I'm thinking
It's all over when I go out drinking
Ohh, making my mind slow
That's why I don't fuck with the big 4-O
Bro, I got to maintain
'Cause a nigga like me is going insane
[Hook: B-Real & 
Sen Dog
]
Insane in the membrane
Insane in the brain!
Insane in the membrane
Insane in the brain!
Insane in the membrane
Crazy insane, got no brain!
Insane in the membrane
Insane in the brain!

Do my shit undercover, now it's time for the blubber
Blabber, to watch that belly get fatter
Fat boy on a diet, don't try it
I'll jack yo' ass like a looter in a riot
My shit's fat, like a sumo, slamming dat ass
Leavin your face in the grass
'Cause you know, I don't take a duro, lightly
Punks just jealous 'cause they can't outwrite me
Or kick that style, wicked, wild
Happy face nigga never seen me smile
Rip that mainframe, I'll explain
A nigga like me is going insane
[Hook: B-Real &  
Sen Dog
]
Insane in the membrane
Insane in the brain!
Insane in the membrane
Insane in the brain!
Insane in the membrane
Crazy insane, got no brain!
Insane in the membrane
Insane in the brain!


Like Louie Armstrong, played the trumpet
I'll hit that bong and break you off something
Soon I got to get my props
Cops, come and try to snatch my crops
These pigs wanna blow my house down
Head underground to the next town
They get mad when they come to raid my pad
And I'm out in the nine-deuce Cad'
Yes I'm the pirate, pilot
Of this ship if I get with the ultraviolet dream
Hide from the red light beam
Now do you believe in the unseen?
Look, but don't make you eyes strain
A nigga like me is going insane
[Hook: B-Real & 
Sen Dog
]
Insane in the membrane
Insane in the brain!
Insane in the membrane
Insane in the brain!
Insane in the membrane
Crazy insane, got no brain!
Insane in the membrane
Insane in the brain!",https://genius.com/Cypress-hill-insane-in-the-brain-lyrics
How I Could Just Kill a Man,Cypress Hill,1991.0,"It's another one of them ol' funky Cypress Hill things
You know what I'm sayin?
And it goes like this

Hey don't miss out on what you're passin'
You're missin', the hoota of the funky Buddha
Eluder of your fucked up styles, I get wicked
So come on as Cypress starts to kick it
'Cause we're like the outlaw stridin', when suckers are hidin'
Jump behind the bush when they see me drivin'
By, hangin' out the window
With my Magnum takin' out some putos
Actin' kinda loco, I'm just another local
Kid from the street gettin' paid from my vocals
[Hook: B-Real & 
Sen Dog
]
Here is something you can't understand
How I could just kill a man
Here is something you can't understand
How I could just kill a man
Here is something you can't understand
How I could just kill a man
Here is something you can't understand
How I could just kill a man
Here is something you can't understand

I'm ignorin' all the dumb shit
Yo, because nothing is comin' from it
I'm not gonna waste no time fuckin' around
My gat straight hummin'
Hummin'... comin' at cha...
And you know I had to gat ya

Time for some action, just a fraction of friction
I got the clearance to run the interference
Into your satellite, shinin' a battle light
Sen got the gat, and I know that'll gat ya right
Here's an example, just a little sample
How I could just kill a man!
One-time tried to come in my home
Take my chrome, I said ""Yo, it's on
Take cover son, or you're assed-out
How you like my chrome?"" Then I watched the rookie pass out
Didn't have to blast out, but I did anyway...
Hahaha... that young punk had to pay
So I just killed a man!

Here is something you can't understand
How I could just kill a man
Here is something you can't understand
How I could just kill a man
Here is something you can't understand
How I could just kill a man
Here is something you can't understand
How I could just kill a man

It's gonna be a long time before I finish
One of the many missions that I have to establish
To light my spliff, ignite ya with insights
And if you ain't down: bullshit!
Say some punk try to get you for your auto
Would you call the one-time, play the role model?
No, I think you play like a thug
Next ya hear the shot of a Magnum slug
Hummin', comin' at cha
Yeah ya know I'm gonna gat ya
So how do ya know where I'm at, when you haven't been where I've been?
Understand where I'm comin' from?
When you're up on the hill in your bigger home
I'm out here riskin' my dome
Just for a bucket, or a fast ducat
Just to stay alive, ay yo I gotta say ""fuck it""

Here is something you can't understand
How I could just kill a man
Here is something you can't understand
How I could just kill a man
Here is something you can't understand
How I could just kill a man
Here is something you can't understand
How I could just kill a man
Here is something you can't understand

All I wanted was a Pepsi",https://genius.com/Cypress-hill-how-i-could-just-kill-a-man-lyrics
Hits from the Bong,Black Sunday,1993.0,"Hits from the bong
Hits from the bong
Hits from the bong
Hits from the bong

Pick it, pack it, fire it up, come along
And take a hit from the bong
Put the blunt down just for a second
Don’t get me wrong it’s not a new method
Inhale, exhale
Just got a ounce in the mail
I like a blunt or a big fat cone
But my double barrel bong is gettin’ me stoned
Home skillet, there’s water inside don’t spill it
It smells like shit on the carpet, still it
Goes down smooth when I get a clean hit
Of the skunky funky smelly green shit
Sing my song, puff all night long
As I take hits from the bong

Hits from the bong y’all
Can I get a hit?
Hits from the bong
Can I get a hit?
Hits from the bong
Can I get a hit?
Hits from the bong

Let’s smoke that bowl, hit the bong
And then take that finger off of that hole
Plug it, unplug it, don’t strain
I love you 
Mary Jane
She never complains, when I hit Mary
With that flame, I light up the cherry
She’s so good to me
When I pack a fresh bowl I clean the screen
Don’t get me stirred up the smoke, through the bub-bling
Water is makin’ it pure so I got ta’
Take my hit and hold it, 
just like
Chong
, I hit the bowl and I reload it
Get my four-footer and bring it on
As I take hits from the bong

Hits from the bong
Can I get a hit?
Hits from the bong
Can I get a hit?
Hits from the bong
Can I get a hit?
Hits from the bong
Can I get a hit?
Hits from the bong
Can I get a hit?

This shit’ll straighten your dick out
Can I get a hit?",https://genius.com/Cypress-hill-hits-from-the-bong-lyrics
Tequila Sunrise,Cypress Hill IV,1998.0,"[Intro: B-Real and 
Sen Dog
]
— Mira joven… Si busco a alguien, que mueva producto. Pero que lo mueva con madre…
— ¿Pos sabes que compa? Yo aquí, en el norte yo soy el que controla yo te lo puedo mover todo...
— ¿80, 100 palos a la semana…?
Te traemos toda la feria y limpio ese…
— Pues bueno, aquí tenemos un negocio... vamos hacer hombres ricos… ¿Tomamos no? Del gusano…
— Pa' la salud!
— Pa' la salud! Primero yo…
— Primero usted…
— Grrrrrah!
*Mexican yells*
— Word up, Tequila style
— Cometelo!

Eat the worm motherfucker
Tequila spice, hot nice
Feeling right, 
sipping on Jose Cuervo
Down in Tiajuana, Mexico
Thinking of the big score the night before
Met the connect, who was impressively dressed
In high fabrics
With troops like Beirut, up on the mezzanine
Brandishing sub-machine guns, aye-yo
It's all about the money, son
Now that's the only reason
We came south of the border, to complete this work order
We gotta get it, no looking back, going all out for it
Ready to attack, die in a minute flat for it
As God is my witness, we got ditches
For all you motherfuckin fake bitches
It all boils down to the business
Nothing personal, when niggas acting like they helping you
I fuckin blast you like Frank Castle, motherfucker!

Tequila Sunrise
, bloodshot eyes
Realize we're all born to die
So get the money nigga!
Tequila Sunrise, bloodshot eyes
Realize we're all born to die
So get the money nigga!

I never knew money like this, in the palm of my hand
'Til I met the man with mad hook-up, and big plan
Every where you look'a, he got everybody shook up
Running for cover, the big bad WOOF, motherfucker
He was like a father figure, show me the bigger picture
Fuck slangin' on the corner, don't let the pigs get you
Not like these fools who don't comprehend
You end up doing a twenty-five bit in the pen
You got that? Getting your cup, I took a swig
The bitter taste of the 'mezcal', free worm shit
Droppin' a lesson, he slapped my face, he said listen
Pay attention brotha, you're my ace, but don't ever question
Just do what I say, and you'll be rich
And keep this in your mind: rats lay in a ditch with no spine
Don't ever forget that golden rule in the game
Cheers, they all know your name, it's like fame
Why, women and money don't mix, like drinking an' driving
Watch those conniving women and keep your eye out
Always be aware of what's around you
They wanna down you, and fuckin' clown you
Keep your shit in order the money won't stop
Pretty soon you'll be on top

Tequila Sunrise, bloodshot eyes
Realize we're all born to die
So get the money nigga!
Tequila Sunrise, bloodshot eyes
Realize we're all born to die
So get the money nigga!

Tequila Sunrise, with the bloodshot eyes
My, my, my, how time flies and goes by, surprise!
My mentor passed on and passed a warn to me, emergency
For my enemies who wanna murder me
Eat the worm, mothafucka, while you burn, mothafucka
Better kill me, don't let me return, mothafucka
Trust no man, cause I'll be back, you understand?
With a plan, and my 
ice
 in hand, I want it all
I recall the words from Jesus, you are the Juice
Better go get it, don't let it get to your head, embed it
Let these words stick, you better be ready to die
Now take a fucking sip, caution it, but I never lie

Tequila Sunrise, bloodshot eyes
Realize we're all born to die
So get the money nigga!
Tequila Sunrise, bloodshot eyes
Realize we're all born to die
So get the money nigga!
Tequila, eat the worm Ese, eat that shit!
Yo, so where is he man? You know?
He said he‘d be here, homies
Damn, he’s a little late but,  he’ll be here, just wait
Is it some good shit, man?
Man, the dude said the shit was powerful as shit
I hope he’s got some good shit, man
Because he is late it‘s 5'o clock already
He is gonna be here, homies, he’s gonna be here, homies",https://genius.com/Cypress-hill-tequila-sunrise-lyrics
Illusions,Cypress Hill III: Temples of Boom,1996.0,"Some people tell me that I need help
Some people can fuck off and go to hell
God damn, why they criticize me
Now shit is on the rise so my family despise me
Fuck 'em! And feed 'em, cause I don't need 'em
I won't join 'em if I can beat 'em
They don't understand my logic
To my gat to my money and I'm hooked on chronic
I never wanted to hurt a nigga
Unless ya come flexin' that trigga, I dig ya
That grave on the east side of towwwwn
Lay ya six feet undergrounnnnd
From man, to the dust to the ashes
All I remember tell me where the cash is
Click-clack, barrel at my dome
Give all your loot or you ain't goin' home
But I ain't goin' out with a bang
Wa da da dang, wa dada daa dang

I'm havin' illusions, all this confusion's drivin' me mad inside
I'm havin' illusions, all this confusion's fuckin' me up in my mind
I'm havin' illusions, all this confusion's drivin' me mad inside
I'm havin' illusions, all this confusion's fuckin' me up in my mind

Motherfuckers be drivin' me up the walls
Hopin' that I fall but they can lick my balls
Straight jacket, strap it
In a padded room when some punk niggas can't hack it
Distracted from all reality
Now I'm let out on a minor technicality
(Ahhh) They all fucked up now
Cause they let a nigga back on the streets somehow
I'm lookin' for someone like me
Livin' in my own world to my own degree
On the loose in the city lookin' at the ho wit' the big titties
Lookin' at me and I feel shitty
A little tensed up gettin' hot
Cause she looks like my girl who got smoked at the crack spot
I'm tryin' to find ways to cope
But I ain't fuckin' round with the gauge or a rope

I'm havin' illusions, all this confusion's drivin' me mad inside
I'm havin' illusions, all this confusion's fuckin' me up in my mind
I'm havin' illusions, all this confusion's drivin' me mad inside
I'm havin' illusions, all this confusion's fuckin' me up in my mind

I'm havin' illusions
I'm havin' illusions
I'm havin' illusions
I'm havin' illusions
I'm havin' illusions
I'm havin' illusions
I'm havin' illusions
I'm havin' illusions",https://genius.com/Cypress-hill-illusions-lyrics
I Wanna Get High,Black Sunday,1993.0,"I want to get high, so high
I want to get high, so high
I want to get high, so high
I want to get high, so high

Well it's the funk elastic, the blunt I twist it
The slamafied, Buddha-fied funk on your discus
Oh, what you missed this, you got to bear witness
Catch a ho and another ho, Merry Christmas
Yes I smoke shit, straight off the roach clip
I roach it for the blunted ones to approach it
Forward motion, make you sway like the ocean
The herb is more than just a powerful potion
What's the commotion, yo I'm not joking around
People learning about, what they're smoking
My oven's on high, when I roast the quail
Tell Bill Clinton to go and inhale
Exhale, now you felt the funk of the Thai
Wanna feel the effects...
I want to get high–so high!
I want to get high–so high!
I want to get high–so high!
I want to get high–so high!
Yo hits from the bong
Yo hits from the bong
Yo hits from the bong
Yo hits from the from the bong from the bong
Yo hits from the bong
Yo hits from the from the bong from the bong
Yo hits from the from the bong from the bong",https://genius.com/Cypress-hill-i-wanna-get-high-lyrics
(Rock) Superstar,Skull & Bones,2000.0,"Alot of a...sharks out there...try'na take a bite of somethin'
What's hot
Lot of chameleons out there...try'na change up
Anytime somethin' new comes along...everybody wants a bite
Don't happen overnight

So you wanna be a rock superstar?
And live large, a big house, 5 cars, you're in charge
Comin' up in the world don't trust no body
Gotta look over your shoulder constantly

I remember the days when I was a young kid growin' up
Looking in the mirror dreamin' about blowin' up
The rock crowd, make money, chill with the honey's
Sign autographs or whatever the people want from me
Shit's funny how impossible dreams manifest
And the games that be comin' with it, nevertheless
You got to go for the gusto but you don't know
About the blood, sweat and tears and losing some of your peers
And losing some of yourself to the years past gone by
Hopefully it don't manifest for the wrong guy
Egomaniac and the brainiac don't know how to act
Shit's deep, 48 tracks
Studio gangster mack signed the deal, thinks he's gonna make a mil'
But never will 'til he crosses over
Still filling your head with fantasies
Come with me, show the sacrifice it takes to make the cheese
You wanna be a rock superstar in the biz?
And take shit from people who don't know what it is
I wish it was all fun and games but the price of fame is high
And some can't pay the way
Still trapped in what you rappin' about
Tell me what happened when you lost clout
The route you took started collapsing
No fans, no fame, no respect, no change, no women
And everybody shits on your name

So you wanna be a rock superstar?
And live large, a big house, 5 cars, you're in charge
Comin' up in the world don't trust no body
Gotta look over your shoulder constantly
So you wanna be a rock superstar?
And live large, a big house, 5 cars, you're in charge
Comin' up in the world don't trust no body
Gotta look over your shoulder constantly

People see rockstars, younawhaI'msayin?
But you still...try'na...get out more like, like everybody else
It's a fun job, but it's still a job
Save your money man, save your money too
Hit single don't last very long, younawhaI'msayin?
I mean...you're lucky in this game too
There's gon' be another cat comin' out
Lookin' like me, soundin' like me, next year I know this
They'll be a flipside, do whatchu you do
Somebody'll try to spin off like some series

You ever have big dreams of makin' big cream?
Big shot, heavy hitter on the mainstream
You wanna look shanty in the Bentley
Be a snob and never act friendly
You wanna have big fame, let me explain
What happends to these stars and their big brains
First they get played like all damn day
Long as you sell everything will be O.K
Then you get dissed by the media and fans
Things never stay the same way they began
I heard that some never give full to the fullest
That's while fools end up dining on the bullet
Think everything's fine in the big time
See me in my Lex' with the chrome raised high
So you wanna roll far and live large?
It ain't all that goes with bein' a rockstar

So you wanna be a rock superstar?
And live large, a big house, 5 cars, you're in charge
Comin' up in the world don't trust no body
Gotta look over your shoulder constantly
So you wanna be a rock superstar?
And live large, a big house, 5 cars, you're in charge
Comin' up in the world don't trust no body
Gotta look over your shoulder constantly

My own son don't know me
I'm chillin' in the hotel room lonely
But I thank God I'm with my homies
But sometimes I wish I was back home
But only no radio or video didn't show me
No love, the phony, gotta hit the road slowly
So the record gets pushed by Sony
I'm in the middle like Monie
And the press say that my own people disown me
And the best way back is to keep your head straight
Never inflate the cranium
They're too worried about them honies at the Paladium
Who just wanna cling on, swing on, and so on
Go on, fall off, the hoes roll on
'Til the next rock superstar with no shame
Give him a year, he'll be right out the game
The same as the last one who came before him
Gained fame, started gettin' ignored, I warned him
Assured him, this ain't easy take it from Weezy
Sleezy people wanna be so cheesy, the fuckin' lethal
""Assassins, assassins""

So you wanna be a rock superstar?
And live large, a big house, 5 cars, you're in charge
Comin' up in the world don't trust no body
Gotta look over your shoulder constantly
So you wanna be a rock superstar?
And live large, a big house, 5 cars, you're in charge
Comin' up in the world don't trust no body
Gotta look over your shoulder constantly",https://genius.com/Cypress-hill-rock-superstar-lyrics
When the Shit Goes Down,Black Sunday,1993.0,"Livin on fat pockets on flat with the gat
Rolling around nine deuce cadillac
Still got my homies to watch my back
And they'll smoke your ass if you wanna come and chat
That's why some pigs and the kids come sweating they follow
A hollow point shell's hard to swallow (heyy)
Why wallow when you come to roll on I put the clip in the four five
Bring your ass on, left kicking dust as you hear the gat bust
My cribs surrounded, I'm about to get rushed, I brushed with death
How many shells stuffed in my closet where my big chrome things kept

When the shit goes down you better be ready (when the shit goes down)
When the shit goes down you better be ready (when the shit goes down)
When the shit goes down you better be ready (when the shit goes down)
When the shit goes down you better be ready (you better be ready)

I told the boys get the sawed off Glock and the rest of the gats
As I strapped on the bullet-proof vest
BOOM, I think I got one to the chest
Hot damn I didn't want to kill a man shit
I still stand tall with the hill clan ya'll better stand back
Niggas bout ta fall, I'm coming out blasting like Yosemite Sam
Got the cheese an the bread for the ham

When the shit goes down you better be ready (when the shit goes down)
When the shit goes down you better be ready (when the shit goes down)
When the shit goes down you better be ready (when the shit goes down)
When the shit goes down you better be ready (you better be ready)",https://genius.com/Cypress-hill-when-the-shit-goes-down-lyrics
Dr. Greenthumb,Cypress Hill IV,1998.0,"Hello, I'm Dr. Greenthumb
Have you ever had the problem of running out of weed
And just can't find some anywhere?
Well try my Dr. Greenthumb grow tips
I'll show you how to grow inside and out
From seed to clone, and the best homegrown
And if you're afraid of those pesky pork choppers in the sky
No worries, we'll fix them too
With one of our Dr. Greenthumb 'Sizzlean' screens
To block the nosy pig's vision
Don't believe me?
Just ask one of my many satisfied clients here Jed Sanders
How well it works
Hyuh, hyuh, hello mah name is Jaid
And ahm a farmer and I've been growin
Mary-jah-wana fer about twenty years and uhh
Uhh, with Dr. Greenthumb's 'Sizzlean' screen
I don't have to point my shotgun
At them pesky porkers no more
Thanks, Dr. Green, you're the shit
Yes, Dr. Greenthumb's got it all, I guarantee it
Try my book and you'll have the chronic in no time
Dial 1-800-713-GROW
That's 1-800
713
G
R
O-W
""Hello Dr. Greenthumb, paging Dr. Greenthumb!""

Hello my name is Dr. Greenthumb
I'd like to tell you just where I'm from
In the hills where the trees grow wild with weed fields
The fuckin' pigs with shields holding the blue steels
Greenhouse effect with the weed connect
(Doctor)
 
DEA can't keep Greenthumb in check
 
(Doctor!)
HPS
, 
God Bless the whole crop
Please God, don't let me see no cops
Trunkload, ready to hit the highway
Don't let the eye in the sky fly my way
Or we gonna have big trouble, that's no shit
Can't be growin without no permit
But fuck that, I study the 215 trip
That way when they come they can suck my dick
Weed can't grow without attention
Hello my name is Dr. Greenthumb
[Chorus: B-Real & 
SenDog
]
Hello, my name is Dr. Greenthumb
Hello, my name is Dr. Greenthumb
I'd like to tell you just where I'm from
Hello, my name is Dr. Greenthumb
Hello, my name is Dr. Greenthumb
Hello, my name is Dr. Greenthumb
I'd like to tell you just where I'm from
Ayo, Dr. Greenthumb, come on back one time

People can't live without the herb man
If not they'd be drinkin and drivin and swervin
But thanks to Dr. Greenthumb weed grow
In the backyard
 
or inside with hydro
To the kush plant brush in a tangerine dream
Tasty, blowin a fuckin smokescreen
Cycles of weed are constantly grown
Somebody give me the razor to cut clones
I'd like to stop, but it feels so good
Horny plants stinkin up my whole neighborhood
DEA
, 
never wanna leave me alone
But never ever ever gotta warrant for my home
What that funny sound knockin at the door (Open up it's the DEA!)
Sorry Greenthumb can't talk no more
Please don't follow me into the sun
Hello my name is Dr. Greenthumb
[Chorus: B-Real & 
SenDog
]
Hello, my name is Dr. Greenthumb
Hello, my name is Dr. Greenthumb
I'd like to tell you just where I'm from
Hello, my name is Dr. Greenthumb

Out from the lab,
 
no need for rehab
If I can't drive then call me a cab (ese!)
In my closet the weed is dried out
Like Eiht said, ain't no place to hide out
I don't wanna buy no weed from no cop
Get locked up and they close up my shop
That's why I buy no weed from no one
That's why they call me Dr. Greenthumb
The scientifical, mystical one
Growin my crops with the rays of the sun
Come one come all and see how it's done
If you see the pigs there's no need to run
Cause some of these pigs are down with Greenthumb
But you never know what be the outcome
You see the photo in the album
The weed is growin like my erection
Look I never told you where I was from
Some call me Real, but I'm Dr. Greenthumb
[Chorus: B-Real & 
SenDog
]
Hello, my name is Dr. Greenthumb
Hello, my name is Dr. Greenthumb
I'd like to tell you just where I'm from
Hello, my name is Dr. Greenthumb
Hello, my name is Dr. Greenthumb
Hello, my name is Dr. Greenthumb
I'd like to tell you just where I'm from
Hello, my name is Dr. Greenthumb

Dr. Greenthumb
Doctor, your Bulova plant needs special tending to
Doctor, we need more oxygen we need more CO2
Doctor, Dr. Greenthumb you're needed
Doctor, dyah, Doctor",https://genius.com/Cypress-hill-dr-greenthumb-lyrics
Lowrider,Stoned Raiders,2001.0,"Low-ri-der, low-ri-der
Low-ri-der, low-ri-der

Aww, comin' through fo' real we Cypress Hill, ohh baby
Got that crunk, for yo' trunk, goin' gangsta crazy
We some real life hustlers, playin' games in the street
We got that low-ri-der, scrapin' dippin' on three (low-ri-der)
So pop your collar, give a holla, 
throw yo' dubs in the air
We tear the roof, off the mother, lady let down yo' hair
Playa do that thang, that make you feel alright (low-ri-der)
Smoke that tree
, crack that brew, we gettin' freaky tonight

Now when people are done, bumpin' they head to this
You wonder why you wanted anything instead of this
We been makin' you bounce, for many years already
Rock steady and cut, many niggas to confetti
But I just want to blaze it up; whether it's the mic or a spliff
Yes my gift is to amaze you all
Thought I couldn't come for ten my friend, but guess what?
I slay niggas and still savin' my best nut (low-ri-der)
But you better cover your eyes, cause you never know when
I spit it out and start some flowin'
I drop rhymes that grow like trees you're smokin'
Ear drums feel like lungs, your brain's chokin'
Just let it soak in, seep in, creep in
I'm keepin', all you motherfuckers in the deep end (low-ri-der)
You wanna trip? Then I got luggage
I stuff you in and send you off, cause you ain't rugged

Aww, comin' through fo' real we Cypress Hill, ohh baby
Got that crunk, for yo' trunk, goin' gangsta crazy
We some real life hustlers, playin' games in the street (low-ri-der)
We got that low-ri-der, scrapin', dippin' on three
So pop yo' collar, give a holla, throw the dubs in the air (low-ri-der)
We tear the roof, off the mother, lady let down yo' hair
Playa do that thang, that make you feel alright (low-ri-der)
Smoke that tree, crack that brew, we gettin' freaky tonight

Cause, we're Cypress Hill, come on and ride with us
Just get inside, we bouncin', dippin', chop it up real tough
Lean to the side, pimp yo' hat, tilt yo' seat on back
Don't front on me, baby boy, and break bread with the sack (low-ri-der)

I be the vato with the fine hoodrat in the ranfla
Always roll deep on the streets like the mafia
Pleito, just might come back and haunt ya
Flossin' too much, no vato's gonna want ya
Not right here homes, we're past all of that
Makin' that feria, spittin' that raps
Ya me conoces, I'm down for my calle
Cypress Ave, y el puro desmadre (low-ri-der)
Ya tu sabes, we don't play that shit
Any pendejo's gettin' hit up quick
Wassup ese? What hood you claim?
Now throw it up and down like it ain't no thang (low-ri-der)
Hands in the air with the pinky rings
Soul Assassins, runnin' everything
To all you vatos, make sure you check this
In every barrio, I'm well respected (low-ri-der)

Aww, comin' through fo' real we Cypress Hill, ohh baby
Got that crunk, for yo' trunk, goin' gangsta crazy
We some real life hustlers, playin' games in the street (low-ri-der)
We got that low-ri-der, scrapin', dippin' on three
So pop yo' collar, give a holla, throw the dubs in the air (low-ri-der)
We tear the roof, off the mother, lady let down yo' hair
Playa do that thang, that make you feel alright (low-ri-der)
Smoke that tree, crack that brew, we gettin' freaky tonight

Low-ri-der, low-ri-der
Low-ri-der, low-ri-der
Low-ri-der, low-ri-der
Low-ri-der, low-ri-der",https://genius.com/Cypress-hill-lowrider-lyrics
